   śrīḥ //	SrIH //
   sarveṣāmāpātataḥ svarūpāsiddhatvāt /	sarvezAm-ApAtatas svarUpa-asidDa-tvAt /
   tathā hi- yadi rū(yadā hi rū)pādyupalabdhīnāṃ kriyātvena karaṇatayā mano	taTA hi yadi rU(yadA hi rU)pa-Adi-upalabDInAm kriyA-tvena karaNa-tayA manaH-
   'numitiḥ, na tadā dravyatvasiddhiḥ; adravyasyāpi karaṇatvāt /	anumitiH, na tadA dravya-tva-sidDiH; adravyasya-api karaNa-tvAt /
   athāsāmeva sākṣātkāritayendriyatvena tadanumātavyam, tathāpi vyāpakasya	aTa-AsAm-eva sAkzAtkAritaya-indriya-tvena tat-anumAtavyam, taTA-api vyApakasya
   nirupādhernendriyatvamityupādhirvaktavyaḥ /	nirupADeH-na-indriya-tvam-iti-upADiH-vaktavyaH /
   tatra- yadi(tadyadi) karṇaśaṣkulīvat nipataśarīrāvayavasyopādhitvam, tadā	tatra yadi(tad-yadi) karNa-SazkulI-vat nipata-SarIra-avayavasya-upADi-tvam, tadA
   tāvanmātre vṛttilābhaḥ taddoṣe ca vṛttinirodhaḥ śrotravat prasajyeta /	tAvat-mAtre vRtti-lABaH tad-doze ca vRtti-niroDaH Srotra-vat prasajyeta /
   tataḥ śarīramātramupādhirabhidheyaḥ (ravaseyaḥ) /	tatas SarIra-mAtram-upADiH-aBiDeyaH (ravaseyaH) /
   tathā ca tadavacchedena vṛttilābhe, "śirasi me vedanā, pāde me	taTA ca tad-avacCedena vRtti-lABe, "Sirasi me vedanA, pAde me
   sukha'mityādyavyāpyavṛttitvapratītivirodhaḥ; asamavāyikāraṇānurodhena	suKa-am-iti-Adya-vyApya-vRtti-tva-pratIti-viroDaH; asamavAyi-kAraNa-anuroDena
   vibhukāryāṇāṃ prādeśikatvaniyamāt /	viBukAryANAm prAdeSika-tva-niyamAt /
   śarīratadavayavādiparamāṇuparyantopādhikalpanāyāṃ kalpanāgauravaprasaṅgaḥ,	SarIra-tad-avayava-Adi-paramANu-paryanta-upADi-kalpanAyAm kalpanA-gOrava-prasaFgaH,
   (159)niyamānupapattiśceti- tato 'nyadevaikaṃ sūkṣmamupādhitvenātīndriyaṃ	(159)niyama-anupapattiH-ceti tatas anyat-eva-ekam sUkzmam-upADi-tvena-atIndriyam
   kalpanīyam /	kalpanIyam /
   tathā ca tasyaivendriyatve svābhāvike 'dhikakalpanāyāṃ pramāṇābhāvāt	taTA ca tasya-eva-indriya-tve svABAvike aDika-kalpanAyAm pramANa-aBAvAt-
   dharmigrāhakapramāṇabādhaḥ /	Darmi-grAhaka-pramANa-bADaH /
   [ku.3.306] atha jñānakrameṇendriyasahakāritayā tadanumānam; tataḥ sutarāṃ	[ku.3.306] aTa jQAna-krameNa-indriya-sahakAri-tayA tad-anumAnam; tatas sutarAm
   prāguktadoṣaḥ /	prAc-ukta-dozaH /
   yadi ca manaso vaibhave 'pyadṛṣṭavaśāt krama upapādyeta, tadā manaso	yadi ca manasaH vEBave api-adRzwa-vaSAt kramaH upapAdyeta, tadA manasaH-
   'siddherāśrayāsiddhireva vaibhavahetūnāmiti /	asidDeH-ASraya-asidDiH-eva vEBava-hetUnAm-iti /
   [ku.3.307] atha yatrādṛṣṭasya dṛṣṭakāraṇopahāreṇopayogaḥ, tatra	[ku.3.307] aTa yatra-adRzwasya dRzwa-kAraNa-upahAreNa-upayogaH, tatra
   tatpūrṇatāyāṃ kāryamutpadyata eva anyathā antyatantusaṃyogebhyo 'pi	tad-pUrNa-tAyAm kAryam-utpadyate eva anyaTA antya-tantu-saMyogeByaH api
   kadācit, paṭo na jāyota; jāto 'pi vā kadācinnirguṇaḥ syāt; balavattā	kadAcit, pawaH na jAyota; jAtaH api vA kadAcid-nirguNaH syAt; balavat-tA
   kulālena dṛḍhadaṇḍanunnamapi cakraṃ na bhrāmyeta /	kulAlena dRXa-daNxa-nunnam-api cakram na BrAmyeta /
   yatra tu dṛṣṭānupahāreṇādṛṣṭavyāpāraḥ, tatra tadvaiguṇyāt kāryānudayaḥ;	yatra tu dRzwa-anupahAreNa-adRzwa-vyApAraH, tatra tad-vEguNyAt kAryAn-udayaH;
   yathā paramāṇukarmaṇaḥ /	yaTA paramANu-karmaNaH /
   tadihāpi yadi viṣayendriyātmanāṃ samavadhānameva jñānahetuḥ, tadā	tat-iha-api yadi vizaya-indriya-AtmanAm samavaDAnam-eva jQAna-hetuH, tadA
   tatsadbhāve sadaiva kāryaṃ syāt /	tad-sadBAve sadA-eva kAryam syAt /
   na hyetadatiriktamapyadṛṣṭasyopaharaṇīyamasti /	na hi-etat-atiriktam-api-adRzwasya-upaharaNIyam-asti /
   na ca sadaiva jñānodayaḥ /	na ca sadA-eva jQAna-udayaH /
   tato 'tiriktamapekṣitavyam /	tatas atiriktam-apekzitavyam /
   tacca yadyapisarvāṇyevendriyāṇi vyapnoti, tathāpi karaṇadharmatvena	tat-ca yadi-apisarvANi-eva-indriyANi vyapnoti, taTA-api karaNa-Darma-tvena
   kriyākramaḥ saṅgacchate /	kriyA-kramaH saFgacCate /
   akalpite tu tasminnāyaṃ nyāyaḥ; pratipatturakaraṇatvāt;	akalpite tu tasmin=-Ayam nyAyaH; pratipad-tuH-akaraNa-tva-at;
   cakṣurādīnāmanekatvāt iti cet-[ku.3.308] nanvevamapi yugapadjñānāni mā	cakzuH-AdInAm-aneka-tvAt iti cet-[ku.3.308] nanu-evam-api yugapad-jQAnAni mA
   bhūvan yugapadjñānaṃ tu kena vāryate /	BUvan yugapad-jQAnam tu kena vAryate /
   bhavatyeva samūhālambanamekaṃ jñānamiti cenna- ekendriyagrahyeṣviva	Bavati-eva samUha-Alambanam-ekam jQAnam-iti ced-na eka-indriya-grahyezu-iva
   nānendriyagrāhyeṣvapi prasaṅgāt /	nAnA-indriya-grAhyezu-api prasaFgAt /
   (160)teṣvapi bhavatyeveti cenna- vyāsaṅgakāle jñānakrameṇa vivādaviṣaye	(160)tezu-api Bavati-eva-iti ced-na vyAsaFga-kAle jQAna-krameNa vivAda-vizaye
   kramānumānāt /	krama-anumAnAt /
   [ku.3.309] bubhutsāviśeṣeṇa vyāsaṅge kriyākrama iti cet- mai(nai)vam	[ku.3.309] buButsA-viSezeNa vyAsaFge kriyA-kramaH iti cet mE(nE)vam
   nahyeṣa bubhutsāyā mahimā, yat abubhutsite viṣaye jñānasāmagryāṃ satyāmapi	na-hi-eza buButsAyA mahimA, yat abuButsite vizaye jQAna-sAmagryAm satyAm-api
   na jñānam /	na jQAnam /
   api tu na tatra saṃskārātiśayādhāyakaḥ pratyayaḥ syāt /	api tu na tatra saMskAra-atiSaya-ADAyakaH pratyayaH syAt /
   yadi tvabubhutsite viṣaye sāmagrīmeva sā nirundhyāt, ghaṭāyonmīlitaṃ	yadi tu-abuButsite vizaye sAmagrIm-eva sA nirunDyAt, GawAya-unmIlitam
   cakṣuḥ paṭaṃ naiva darśayet /	cakzuH pawam na-eva darSayet /
   tasmād bubhutsāpīndriyāntarādākṛṣya	tasmAt buButsA-api-indriya-antarAt-AkRzya
   bubhutsitārthagrāhiṇīndriye mano niveśayantī	buButsita-arTa-grAhiNI-indriye manaH niveSayantI
   yugapadjñānānutpattāvupayujyate; na tu svarūpataḥ /	yugapad-jQAna-anutpattO=-upayujyate; na tu svarUpataH /
   [ku.3.310] vibhuno 'pi manaso vyāpārakramāt krama iti cenna- tasya	[ku.3.310] viBunaH api manasaH vyApAra-kramAt kramaH iti ced-na tasya
   saṃyogātiriktasya karmarūpatve vaibhavavirodhāt, guṇarūpatve nityasya	saMyoga-atiriktasya karma-rUpa-tve vEBava-viroDAt, guNa-rUpa-tve nityasya
   kramānupapatteḥ; anityasya ca	krama-anupapatteH; anityasya ca
   nityaikaguṇasyāvibhudravyasaṃyogāsamavāyikāraṇakatvena	nitya-eka-guNasya-aviBu-dravya-saMyoga-asamavAyikAraNaka-tvena
   tadantareṇānupapatteḥ /	tad-antareNa-anupapatteH /
   tadapi kalpayiṣyata iti cet- tadeva tarhi manaḥsthāne niveśyatāṃ lāghavāya	tat-api kalpayizyate iti cet tat-eva tarhi manaH-sTAne niveSyatAm lAGavAya
   tasmādaṇveva mana iti /	tasmAt-aNu-eva manaH iti /
   [ku.3.311] tathā ca tasminnanindriyapratyāsanne nirupadhānatvādātmanaḥ	[ku.3.311] taTA ca tasmin=-anindriya-pratyAsanne nirupaDAna-tvAt-AtmanaH
   suṣuptyavasthāyāmanupalambhaḥ /	suzupti-avasTAyAm-anupalamBaH /
   etadeva manasaḥ śīlamiti kuto niścir(ṇī)tamiti cet- anvayavyatirekābhyām /	etat-eva manasaH SIlam-iti kutas niScir(NI)tam-iti cet anvaya-vyatirekAByAm /
   na kevalaṃ tasya, kiṃ tu sarveṣāmevendriyāṇām /	na kevalam tasya, kim tu sarvezAm-eva-indriyANAm /
   na hi viśeṣaguṇamanapekṣya cakṣurādyapidravye pravartate /	na hi viSeza-guNam-anapekzya cakzuH-Adi-apidravye pravartate /
   (161)svapnāvasthāyāṃ kathaṃ jñānamiti cet- tattatsaṃskārodbodhe	(161)svapna-avasTAyAm kaTam jQAnam-iti cet tad-tad-saMskAra-udboDe
   viṣayasmaraṇena svapnavibhramāṇāmutpatteḥ /	vizaya-smaraNena svapna-viBramANAm-utpatteH /
   udbodha eva kathamiti cet- mandataratamādinyāyena bāhyānāmeva	udboDaH eva kaTam-iti cet mandataratamAdi-nyAyena bAhyAnAm-eva
   śabdādīnāmupalambhāt /	Sabda-AdInAm-upalamBAt /
   antataḥ śarīrasyaivoṣmādeḥ pratipatteḥ /	antatas SarIrasya-eva-Uzma-AdeH pratipatteH /
   yadā ca manastvacamapi parihṛtya purītati vartate, tadā suṣuptiḥ /	yadA ca manaH-tvacam-api parihRtya purItati vartate, tadA suzuptiH /
   [ku.3.312] syādetat- parātmā tu kathaṃ parasyāyogyaḥ /	[ku.3.312] syAt-etat para-AtmA tu kaTam parasya-ayogyaH /
   na hi sākṣātkārijñānaviṣayatāmevāyaṃ na prāpnoti;	na hi sAkzAtkAri-jQAna-vizaya-tAm-eva-ayam na prApnoti;
   svayamapyadarśanaprasaṅgāt /	svayam-api-adarSana-prasaFgAt /
   nāpi grahīturevāyamaparādhaḥ, tasyāpi hi jñānasamavāyikāraṇataiva (162)	na-api grahItuH-eva-ayam-aparADaH, tasya-api hi jQAna-samavAyi-kAraNa-tA-eva (162)
   tadyogatā /	tad-yoga-tA /
   nāpi karaṇasya; sādhāraṇatvāt /	na-api karaNasya; sADAraNa-tvAt /
   na hyāsaṃsāramekameva mana ekamevātmānaṃ gṛhṇātītyatra niyāmakamasti /	na hi-AsaMsAram-ekam-eva manaH ekam-eva-AtmAnam gRhNAti-iti-atra niyAmakam-asti /
   svabhāva iti cet- tarhi (163) muktau niḥsvabhāvattvaprasaṅgaḥ;	svaBAvaH iti cet tarhi (163) muktO niHsvaBAvat-tva-prasaFgaH;
   tadekārthatāyā apāyāditi- na; bhojakādṛṣṭopagrahasya niyāmakatvāt /	tad-eka-arTa-tAyAH apAyAditi na; Bojaka-adRzwa-upagrahasya niyAmaka-tvAt /
   yaddhi mano yaccharīraṃ yānīndriyāṇi yasyādṛṣṭenākṛṣṭāni, tāni tasyaiveti	yat-hi manaH yat-SarIram yAni-indriyANi yasya-adRzwena-AkRzwA-ani, tAni tasya-eva-iti
   niyamaḥ /	niyamaH /
   taduktaṃ prāk- "pratyātmaniyamāt bhukte'riti /	tat-uktam prAk "pratyAtma-niyamAt Bukte-ariti /
   etena parabuddhyādayo vyākhyātāḥ /	etena para-budDi-AdayaH vyAKyAtAH /
   [ku.3.313] tadevaṃ yogyānupalabdhiḥ parātmādau nāsti /	[ku.3.313] tat-evam yogyA-anupalabDiH para-Atma-AdO na-asti /
   taditarā tu na bādhiketi tavāpi saṃmatam /	tad-itarA tu na bADikA-iti tava-api saMmatam /
   ataḥ kimadhikṛtya pratibandiḥ /	atas kim-aDikRtya pratibandiH /
   na hi śaśaśṛṅgamayogyānupalabdhyā kaścinniṣedhati /	na hi SaSa-SRFgam-ayogya-anupalabDyA kaScid-nizeDati /
   na ca prakṛte yogyānupalabdhiṃ kaścinmanyate /	na ca prakRte yogyA-anupalabDim kaScid-manyate /
   athāyamāśayaḥ- ayogyaśaśaśṛṅgādāvanupalabdhirna bādhikā syāt- iti /	aTa-ayam-ASayaH ayogya-SaSaSRFga-AdO=-anupalabDiH-na bADikA syAt iti /
   tataḥ kim /	tatas kim /
   tatsiddhyediti cet- evamastu, yadi pramāṇamasti /	tad-sidDyet-iti cet evam-astu, yadi pramANam-asti /
   paśutvādikamiti cet- parasādhane pratibandistarhi; na tadbādhane /	paSutva-Adikam-iti cet para-sADane pratibandiH-tarhi; na tad-bADane /
   tatraiva bhaviṣyatīti cet- tat kiṃ tatra pratibandireva dūṣaṇam, atha	tatra-eva Bavizyati-iti cet tat kim tatra pratibandiH-eva dUzaNam, aTa
   kathañcittulyanyāyatayā yogyā eva parātmabuddhyādayaḥ te ca bādhitā	kaTaQcid-tulya-nyAya-tayA yogyAH eva parAtma-budDi-AdayaH te ca bADitA
   evetyapahṛtaviṣayatvam? na prathamaḥ avyāpteḥ /	eva-iti-apahRta-vizaya-tvam? na praTamaH avyApteH /
   na hi paśutvādeḥ śaśaśṛṅgasādhakatvena kāryatvādeḥ kartṛmattvasādhakatvaṃ	na hi paSutva-AdeH SaSaSRFga-sADaka-tvena kArya-tva-AdeH kartR-mat-tva-sADaka-tvam
   pyāptam, yena tasminnasati tat pratiṣiddhyeta /	pyAptam, yena tasmin=-asati tat pratizidDyeta /
   na dvitīyaḥ; mitho 'nupalabhyamānatvasya vādiprativādisvīkārāt /	na dvitIyaH; miTas anupalaByamAna-tvasya vAdi-prativAdi-svIkArAt /
   tathāpi paśutvādau ko doṣa iti cet- na jīnīmastāvat; tadvicārāvasare	taTA-api paSu-tva-AdO kaH dozaH iti cet na jInImaH-tAvat; tad-vicAra-avasare
   cintayiṣyāmaḥ /	cintayizyAmaH /
   [ku.3.314] syādetat- yatpramāṇagamyaṃ hi yat, tadabhāva eva	[ku.3.314] syAt-etat yat-pramANa-gamyam hi yat, tad-aBAvaH eva
   tasyābhāvamāvedayati /	tasya-aBAvam-Avedayati /
   yathā rūpādiprati patterabhāvaścakṣurāderabhāvam /	yaTA rUpa-Adi-prati patteH-aBAvaH-cakzuH-AdeH-aBAvam /
   kāyavāgvyāpāraikapramāṇakaśya parātmā; tadabhāva eva tasyābhāve	kAya-vAc-vyApAra-eka-pramANa-kaSya para-AtmA; tad-aBAvaH eva tasya-aBAve
   pramāṇamaṅkurādiṣu- tanna- tadekapramāṇakatvāsiddheḥ /	pramANam-aFkura-Adizu tat-na tad-eka-pramANaka-tva-asidDeH /
   anyathā suṣupto 'pi na syāt /	anyaTA suzuptaH api na syAt /
   śvāsasantāno 'pi tatra pramāṇamiti cenna- niruddhapavano 'pi na syāt /	SvAsa-santAnaH api tatra pramANam-iti ced-na nirudDa-pavanaH api na syAt /
   kāyasaṃsthānaviśeṣo 'pi tatra pramāṇamiti cenna- viṣamūrcchito 'pi na syāt	kAya-saMsTAna-viSezaH api tatra pramANam-iti ced-na viza-mUrcCitaH api na syAt-
   śarīroṣmāpi tatra pramāṇamiti cenna- jalāvasiktaviṣamū(siktamū)rcchito 'pi	SarIra-Uzma-api tatra pramANam-iti ca-id-na jala-avasikta-viza-mU(sikta-mU)rcCitaH api
   na syāt /	na syAt /
   tasmāt yadyat kāryamupalabhyate, tattadanuguṇaścetanastatra tatra	tasmAt yat-yat kAryam-upalaByate, tad-tad-anuguNaH-cetanaH-tatra tatra
   siddhyati /	sidDyati /
   na ca kāryamātrasya kvacidvyāvṛttiriti /	na ca kArya-mAtrasya kvacid-vyAvRttiH-iti /
   na ca, tvadabhyupagatenaiva pramāṇena bhavitavyam, nānyeneti niyamo 'sti /	na ca, tvad-aByupagatena-eva pramANena Bavitavyam, na-anyena-iti niyamaH asti /
   [ku.3.315] na ca prameyasya pramāṇena vyāptiḥ /	[ku.3.315] na ca prameyasya pramANena vyAptiH /
   sā hi kārtsnyena vā syāt, ekadeśena vā syāt /	sA hi kArtsnyena vA syAt, eka-deSena vA syAt /
   na prathamaḥ; pratyakṣādyanyatamā(ma) sadbhāve 'pi tatprameyāvasthiteḥ /	na praTamaH; pratyakza-Adi-anyatamA(ma) sadBAve api tat-prameya-avasTiteH /
   na dvitīyaḥ; puruṣaniyamena sarvapramāṇavyāvṛttāvapi prameyāvasthiteḥ /	na dvitIyaH; puruza-niyamena sarva-pramANa-vyAvRttO=-api prameya-avasTiteH /
   aniyamena asiddheḥ; na hi sarvasya sarvadā sarvathātra pramāṇaṃ nāstīti	aniyamena asidDeH; na hi sarvasya sarvadA sarvaTA-atra pramANam na-asti-iti
   niścayaḥ śakya iti /	niScayaH SakyaH iti /
   [ku.3.316] kathaṃ tarhi cakṣurāderabhāvo niścayaḥ? vyāpakānulabdheḥ /	[ku.3.316] kaTam tarhi cakzuH-AdeH-aBAvaH niScayaH? vyApaka-anulabDeH /
   (164)caramasāmagrīniveśino hi kāryameva vyāpakam; tannivṛttau	(164)carama-sAmagrI-niveSinaH hi kAryam-eva vyApakam; tad-nivRttO
   tathābhūtānyāpi nivṛttiḥ /	taTABUta-anyApi nivRttiH /
   (165)yogyatāmātrasya kadācit kāryam, (166)tannivṛttau tathābhūtasyāpi	(165)yogya-tA-mAtrasya kadAcid kAryam, (166)tad-nivRttO taTABUtasya-api
   nivṛttiḥ /	nivRttiH /
   anyathā tatrāpi (167)sandehaḥ /	anyaTA tatra-api (167)sandehaH /
   [ku.3.317] prakṛte 'pi vyāpakānupalabdhyā tatpratiṣedho 'stu-na,	[ku.3.317] prakRte api vyApaka-an-upalabDyA tat-pratizeDaH astu-na,
   āśrayāsiddhatvāt /	ASraya-asidDa-tvAt /
   na hīśvarastadjñānaṃ vā kvacit siddham /	na hi-ISvaraH-tat-jQAnam vA kvacid sidDam /
   ābhāsapratipannamiti cenna- tasyāśrayatvānupapattaḥ;	ABAsa-pratipannam-iti ced-na tasya-aSrayatva-anupapattaH;
   pratiṣedhyatvānupapatteśca /	pratizeDya-tva-anupapatteH-ca /
   vyāvartyābhāvavattaiva bhāvikī hi viśeṣyatā /	vyAvartya-aBAva-vat-tA-eva BAvikI hi viSezyatA /
   abhāvavirahātmatvaṃ vastunaḥ pratiyogitā //2 //	aBAva-viraha-Atma-tvam vastunaH pratiyogitAH //2 //
   na caitadābhāsapratipannasyāstīti kutastasya niṣedhādhikaraṇatvaṃ	na ca-etad-ABAsa-pratipannasya-asti-iti kutas-tasya nizeDa-aDikaraNa-tvam
   niṣedhyatā ce(ve)ti /	nizeDyatA ce(ve)ti /
   [ku.3.318] kathaṃ tarhi śaśaśṛṅgasya niṣedhaḥ? na kathañcit /	[ku.3.318] kaTam tarhi SaSaSRFgasya nizeDaH? na kaTaQcid /
   sa hyabhāvapratyaya eva /	sa hi-aBAva-pratyayaH eva /
   na cāyamapāramārthikapratiyogikaḥ	na ca-ayam-apAramArTika-pratiyogikaH
   paramārthābhāvo nāma, (168)tathāpā(na cāpā)ramārthikaviṣayaṃ pramāṇaṃ	parama-arTa-aBAvaH nAma, (168)taTA-pA(na ca-apA)ramArTika-vizayam pramANam
   nāmeti /	nAma-iti /
   api ca- duṣṭopalambhasāmagrī śaśaśṛṅgādiyogyatā /	api ca duzwa-upalamBa-sAmagrI SaSaSRFga-Adi-yogya-tA /
   na tasyāṃ nopalambho 'sti nāsti sānupalambhane //3 //	na tasyAm na-upalamBaH asti na-asti sa-anupalamBane //3 //
   ken.a ca śaśaśaṅgaṃ pratiṣiddhyate, sarvathānupalabdhasya yogyatvāsiddheḥ	ken.a ca SaSa-SaFgam pratizidDyate, sarvaTA-anupalabDasya yogya-tva-asidDeH
   taditarasāmagrīsākalyaṃ hi tat /	tad-itara-sAmagrI-sAkalyam hi tat /
   nanūktamābhāsopalabdhaṃ hi tat /	nanu-uktam-ABAsa-upalabDam hi tat /
   ata evāśakyaniṣedhamityuktam /	atas eva-aSakya-nizeDam-iti-uktam /
   anupalambhakāle ābhāsopalambhasāmagryāḥ abhāvāt; tatkāle	anupalamBa-kAle ABAsa-upalamBa-sAmagryAH aBAvAt; tad-kAle
   cānupalambhābhāvāditi /	ca-anupalamBa-aBAvAt-iti /
   kastarhi śaśaśṛṅgaṃ nāstītyasyārthaḥ? śaśe 'dhikaraṇe viṣāṇābhāvo 'stīti /	kaH-tarhi SaSaSRFgam na-asti-iti-asya-arTaH? SaSe aDikaraNe vizANa-aBAvaH asti-iti /
   [ku.3.319] syādetat- yadyapīśvaro nāvagataḥ; yadyapi ca nābhāsasiddhena	[ku.3.319] syAt-etat yadi-api-ISvaraH na-avagataH; yadi-api ca na-ABAsa-sidDena
   pramāṇavyavahāraḥ śakyasampādanaḥ, tathāpi, ātmanaḥ siddhāḥ, teṣāṃ	pramANa-vyavahAraH Sakya-sampAdanaH, taTA-api, AtmanaH sidDAH, tezAm
   sārvajñyaṃ niṣiddhyate, kṣityādikartṛtvaṃ ceti /	sArvajQyam nizidDyate, kziti-Adi-kartR-tvam ca-iti /
   tathā hi- maditare na sarvajñāḥ cenatvādahamiva /	taTA hi mad-itare na sarvajQAH cena-tvAt-aham-iva /
   na ca te kṣityādikartāraḥ puruṣatvādahamiva /	na ca te kziti-Adi-kartAraH puruza-tvAt-aham-iva /
   evaṃ vastutvāderapi- iti /	evam vastu-tva-AdeH-api iti /
   tadetadapi prāgeva parihṛtam /	tat-etat-api prAk-eva parihRtam /
   tathā hi-[ku.3.320] iṣṭasiddhiḥ prasiddheśe hetvasiddhiragocare /	taTA hi-[-ku.3.320] izwa-sidDiH prasidDa-ISe hetu-asidDiH-agocare /
   nānyā sāmānyataḥ siddhirjātāvapi tathaiva sā //4 //	na-anyA sAmAnyatas sidDiH-jAtO=-api taTA-eva sA //4 //
   pramāṇa(ṇena)pratītānāṃ cetanānāṃ pakṣīkaraṇe siddhasādhanam /	pramANa-(Nena)-pratItAnAm cetanAnAm pakzIkaraNe sidDa-sADanam /
   tato 'nyeṣā(169)masiddhau hetorāśrayāsiddhatvam /	tatas anyezA(169)ma-sidDO hetoH-ASraya-asidDa-tvam /
   ātmatvamātreṇa so 'pi siddha iti cet- ko 'syārthaḥ? kimātmatvenopalakṣitā	Atma-tva-mAtreNa saH api sidDaH iti cet kaH asya-arTaH? kimAtma-tvena-upalakzitA
   saiva vastugatyā sarvajñaviśvakartṛvyaktiḥ, atha tadanyā, ātmamātraṃ	sA-eva vastu-gatyA sarvajQa-viSva-kartR-vyaktiH, aTa tad-anyA, Atma-mAtram
   ātmatvamātra(170)meva vā pakṣaḥ; sarvatra pūrvadoṣānativṛtteḥ (ttiḥ?)	Atma-tva-mAtra-(170)m-eva vA pakzaH; sarvatra pUrva-doza-an-ativRtteH (ttiH?)
   athāyamāśayaḥ- ātmatvaṃ na sarvajñasarvakartṛvyaktisamavetaṃ jātitvāt	aTa-ayam-ASayaH Atma-tvam na sarvajQa-sarva-kartR-vyakti-samavetam jAti-tvAt-
   gotvavat- iti- tadasat- niṣedhyāsiddherniṣedhasyāśakyatvāt /	go-tvavat iti tat-asat nizeDya-asidDeH-nizeDasya-aSakya-tvAt /
   tathā cāprasiddhaviśeṣaṇaḥ pakṣa ityāśrayāsiddhiriti sa eva doṣaḥ /	taTA ca-aprasidDa-viSezaNaH pakzaH iti-ASraya-asidDiH-iti saH eva dozaH /
   tvadupagatāgamalokaprasiddhasyaiveśvarasyāsarvajñatvamakartṛtvaṃ ca	tvad-upagata-Agama-loka-prasidDasya-eva-ISvarasya-asarvajQa-tvam-akartR-tvam ca
   sādhyata iti cenna- āgamādeḥ pramāṇatve bādhanādaniṣedhanam /	sADyate iti ca-id-na Agama-AdeH pramANa-tve bADanAt-anizeDanam /
   ābhāsatve tu saiva syādāśrayāsiddhiruddhatā (171) //5 //	ABAsa-tve tu sA-eva syAt-ASrayA-sidDiH-udDatA (171) //5 //
   nigadavyākhyātametat (172) /	nigada-vyAKyAtam-etat (172) /
