   akalpayitvāntas tasmād MVibhr_6c	akalpayitvA-antar tasmAt MViBH-_6c
   adṛṣṭeṣu pravarteta MVibhr_62c	adRzwezu pravarteta MViBH-_62c
   adhyārope bhaved gauṇī MVibhr_25a	aDyArope Bavet gONI MViBH-_25a
   anaṅge iti moghaiva MVibhr_113a	anaFge iti moGa-eva MViBH-_113a
   anantakṛtakarmatvāt MVibhr_144c	ananta-kRta-karma-tvAt MViBH-_144c
   anāśvāsāc ca rajata- MVibhr_59a	anASvAsAt ca rajata MViBH-_59a
   anirmokṣas tathā ca syād MVibhr_34c	anirmokzaH taTA ca syAt MViBH-_34c
   anumānaṃ bhavet tac ca MVibhr_99c	anumAnam Bavet tat ca MViBH-_99c
   anekākāravibhrāntau MVibhr_35a	aneka-AkAra-viBrAntO MViBH-_35a
   antarbhāve 'pi ca bahir- MVibhr_8c	antarBAve api ca bahis- MViBH-_8c
   anyat prakāśate cānyad MVibhr_39c	anyat prakASate ca-anyat MViBH-_39c
   anyatra tu vighātaḥ syān MVibhr_99a	anyatra tu viGAtaH syAt MViBH-_99a
   anyatra bhedagrahaṇād MVibhr_61c	anyatra Beda-grahaNAt MViBH-_61c
   anyathākhyātipakṣe ca MVibhr_130c	anyaTA-AKyAti-pakze ca MViBH-_130c
   anyathā khyātir eveṣṭā MVibhr_123a	anyaTA KyAtiH eva-izwA MViBH-_123a
   anyathā parihīyate MVibhr_28d	anyaTA parihIyate MViBH-_28d
   anyathālambanatve ca MVibhr_79a	anyaTA-Alambana-tve ca MViBH-_79a
   anyasmāt sā svaviṣayaṃ MVibhr_69a	anyasmAt sA sva-vizayam MViBH-_69a
   anyasya ..... MVibhr_132b	anyasya ..... MViBH-_132b
   anyasya ca na tasyeti MVibhr_131a	anyasya ca na tasya-iti MViBH-_131a
   anyasya tv anyathā khyātau MVibhr_31c	anyasya tu anyaTA KyAtO MViBH-_31c
   anyasyāpi hi naivānyas MVibhr_80c	anyasya-api hi na-eva-anyaH MViBH-_80c
   anyasyāpy anyathā khyātir MVibhr_39a	anyasya-api anyaTA KyAtiH MViBH-_39a
   anyasyāpy anyathā dṛṣṭiḥ MVibhr_140a	anyasya-api anyaTA dRzwiH MViBH-_140a
   anyātmanāparakhyātiḥ MVibhr_133a	anya-AtmanA-apara-KyAtiH MViBH-_133a
   anye tanmātraśūnyatvaṃ MVibhr_126c	anye tanmAtra-SUnya-tvam MViBH-_126c
   anyenāpi hi rūpeṇa MVibhr_79c	anyena-api hi rUpeNa MViBH-_79c
   anyo bahir bhāsamāno MVibhr_5a	anyaH bahis BAsamAnaH MViBH-_5a
   api cāvyatireko 'pi MVibhr_87a	api ca-avyatirekaH api MViBH-_87a
   apy anyo 'vyabhicāreṇa MVibhr_83c	api anyaH avyaBicAreNa MViBH-_83c
   aprapañcaḥ saprapañca- MVibhr_32c	aprapaQcaH sa-prapaQca MViBH-_32c
   aprāmāṇyanirākṛtiḥ MVibhr_89b	aprAmANya-nirAkRtiH MViBH-_89b
   abhāvagrāhiṇī buddhir MVibhr_133c	aBAva-grAhiNI budDiH MViBH-_133c
   abhāve hetudoṣāṇāṃ MVibhr_115a	aBAve hetu-dozANAm MViBH-_115a
   abhāvo bhāvarūpeṇa MVibhr_122c	aBAvaH BAva-rUpeNa MViBH-_122c
   abhinnaikā ca sā saṃvit MVibhr_120a	aBinnA-ekA ca sA saMvid MViBH-_120a
   arthaḥ prakāśate 'to dhīs MVibhr_2c	arTaH prakASate atas DIH MViBH-_2c
   arthāntaravivecanāt MVibhr_73b	arTa-antara-vivecanAt MViBH-_73b
   arthenāvyabhicāraś cen MVibhr_85a	arTena-avyaBicAraH ced MViBH-_85a
   arthe 'nyathāpi saty eṣa MVibhr_163c	arTe anyaTA-api sati eza MViBH-_163c
   artho nāvyatirekeṇa MVibhr_88c	arTaH na-avyatirekeNa MViBH-_88c
   artho yathā jñānarūpāt MVibhr_97c	arTaH yaTA jQAna-rUpAt MViBH-_97c
   avartamānasyāsattā MVibhr_12c	avartamAnasya-asattA MViBH-_12c
   avaśyakalpanīyatvāt MVibhr_16c	avaSya-kalpanIya-tvAt MViBH-_16c
   avastu tac ca no yena MVibhr_136c	avastu tat ca naH yena MViBH-_136c
   avidyamāne tv adhyasye MVibhr_33c	avidyamAne tu aDyasye MViBH-_33c
   avidyātvaṃ yato 'nyasya MVibhr_150c	avidyA-tvam yatas anyasya MViBH-_150c
   avidyāyā avidyātvam MVibhr_28c	avidyAyAH avidyA-tvam MViBH-_28c
   avidyaiva ca varṇyate MVibhr_31b	avidyA-eva ca varNyate MViBH-_31b
   avivekagrahe syāc cet MVibhr_160a	aviveka-grahe syAt ced MViBH-_160a
   avocan nipuṇaṃmanyo MVibhr_37c	avocat nipuNaMmanyaH MViBH-_37c
   avyāpṛtau ca tatprāpter MVibhr_77a	avyApRtO ca tad-prApteH MViBH-_77a
   asac cakasti na vyoma- MVibhr_2a	asat cakasti na vyoma MViBH-_2a
   asato 'tra prakāśanam MVibhr_10b	asataH atra prakASanam MViBH-_10b
   asato bhāsanāyogād MVibhr_37a	asataH BAsanA-yogAt MViBH-_37a
   asattāṃ khalv acīkḷpat MVibhr_6d	asattAm Kalu acIk?pad MViBH-_6d
   asattaiva varaṃ tasya MVibhr_5c	asat-tA-eva varam tasya MViBH-_5c
   asattve kiṃ prakāśatām MVibhr_47b	asattve kim prakASa-tAm MViBH-_47b
   asattvena tu seṣyate MVibhr_6b	asattvena tu sezyate MViBH-_6b
   asattvenaiva tatkḷptau MVibhr_7c	asattvena-eva tad-k?ptO MViBH-_7c
   asamyag vibhramo mataḥ MVibhr_49b	asamyak viBramaH mataH MViBH-_49b
   asaṃnidhānābodhāc cet MVibhr_60c	asaMniDAna-aboDAt ced MViBH-_60c
   asaṃbhavi ca yāvac ca MVibhr_3a	asaMBavi ca yAvat ca MViBH-_3a
   asaṃsṛṣṭasya so 'bhāva MVibhr_137a	asaMsRzwasya saH aBAvaH MViBH-_137a
   asāmarthyaṃ kathaṃ nayet MVibhr_96b	asAmarTyam kaTam nayet MViBH-_96b
   asiddhe jñānasāmarthye MVibhr_95c	asidDe jQAna-sAmarTye MViBH-_95c
   asti tatkāritaṃ yataḥ MVibhr_140d	asti tad-kAritam yatas MViBH-_140d
   asphuṭāgrahaṇe kāmam MVibhr_33a	asPuwa-agrahaNe kAmam MViBH-_33a
   asmatpakṣe tu yujyate MVibhr_158b	asmat-pakze tu yujyate MViBH-_158b
   asvātantryāc ca cetasaḥ MVibhr_141d	asvAtantryAt ca cetasaH MViBH-_141d
   aho nayavidāṃ paraḥ MVibhr_23d	aho naya-vidAm paraH MViBH-_23d
   aho nyāyavivekitā MVibhr_24d	aho nyAya-viveki-tAH MViBH-_24d
   ākārā vyaktam ekasyā MVibhr_35c	AkArAH vyaktam ekasyAH MViBH-_35c
   ātmakhyātir asatkhyātir MVibhr_1a	Atma-KyAtiH asat-KyAtiH MViBH-_1a
   ātmakhyātau sarvam evāntar āhuḥ MVibhr_164a	Atma-KyAtO sarvam eva-antar AhuH MViBH-_164a
   āpannaṃ punar anyathā MVibhr_52d	Apannam punar anyaTA MViBH-_52d
   ābhāsate kathañcic ca MVibhr_81c	ABAsate kaTaQcid ca MViBH-_81c
   ālambanaṃ na hetutva- MVibhr_40a	Alambanam na hetu-tva MViBH-_40a
   ālambanaṃ na hetutva- MVibhr_40c	Alambanam na hetu-tva MViBH-_40c
   ālambanārthas tadyukta- MVibhr_80a	Alambana-arTaH tad-yukta MViBH-_80a
   itarasya viviktatā MVibhr_55b	itarasya vivikta-tA MViBH-_55b
   iti khyātir mṛṣā ca sā MVibhr_137b	iti KyAtiH mRzA ca sA MViBH-_137b
   iti tacchrutiyuktatā MVibhr_95b	iti tat-Sruti-yukta-tA MViBH-_95b
   iti nyāyavidaḥ sthitāḥ MVibhr_4d	iti nyAya-vidaH sTitAH MViBH-_4d
   iti bhāṣye nidarśitam MVibhr_100b	iti BAzye nidarSitam MViBH-_100b
   iti mīmāṃsakasthitim MVibhr_84b	iti mImAMsaka-sTitim MViBH-_84b
   iti yukto viniścayaḥ MVibhr_27b	iti yuktaH viniScayaH MViBH-_27b
   iti lokaḥ prabhāṣate MVibhr_74d	iti lokaH praBAzate MViBH-_74d
   ity eṣā pratibhā tathā MVibhr_137d	iti ezA pratiBA taTA MViBH-_137d
   idam atra parīkṣyatām MVibhr_65b	idam atra parIkzyatAm MViBH-_65b
   indriyāṇāṃ doṣabhedān MVibhr_75a	indriyANAm doza-BedAn MViBH-_75a
   uktaṃ nāvyatirekasya MVibhr_102c	uktam na-avyatirekasya MViBH-_102c
   ucchedakeṣu bahulaṃ MVibhr_19a	ucCedakezu bahulam MViBH-_19a
   ucchede tena vā vinā MVibhr_22b	ucCede tena vA vinA MViBH-_22b
   utpattyaiva ca vijñānaṃ MVibhr_111c	utpattyA-eva ca vijQAnam MViBH-_111c
   upālambhasya na padam MVibhr_10a	upAlamBasya na padam MViBH-_10a
   upāsyo 'vyatirekaś ca MVibhr_86a	upAsyaH avyatirekaH ca MViBH-_86a
   ūrdhvatvena viśerate MVibhr_109d	UrDva-tvena viSerate MViBH-_109d
   ekadeśāpabādhena MVibhr_4a	eka-deSa-apabADena MViBH-_4a
   ekasya ca viviktatvād MVibhr_55a	ekasya ca vivikta-tvAt MViBH-_55a
   ekāntasattve kā bhrāntir MVibhr_47a	ekAnta-sattve kA BrAntiH MViBH-_47a
   ekārthaniyataṃ bodhaṃ MVibhr_105c	eka-arTa-niyatam boDam MViBH-_105c
   evaṃ nirvacanīyā ca MVibhr_150a	evam nirvacanIyA ca MViBH-_150a
   evaṃ yatas tato naivaṃ MVibhr_111a	evam yatas tatas na-evam MViBH-_111a
   kayācit tu vyapekṣayā MVibhr_130b	kayAcid tu vyapekzayA MViBH-_130b
   karmabhedān smarann api MVibhr_144b	karma-BedAn smaran api MViBH-_144b
   kalpanāyām api tv evaṃ MVibhr_15a	kalpanAyAm api tu evam MViBH-_15a
   kalpanāyāś ca gauravāt MVibhr_73d	kalpanAyAH ca gOravAt MViBH-_73d
   kalpanāyāś ca lāghavāt MVibhr_16d	kalpanAyAH ca lAGavAt MViBH-_16d
   kalpamāne ca bādhake MVibhr_4b	kalpamAne ca bADake MViBH-_4b
   kalpyante subahūny api MVibhr_142b	kalpyante su-bahUni api MViBH-_142b
   kalpyāsattā niyogataḥ MVibhr_8b	kalpyA-sattA niyogataH MViBH-_8b
   kaṃ pakṣam apabadhatām MVibhr_120b	kam pakzam apabaDatAm MViBH-_120b
   kāmaprakarṣamaraṇa- MVibhr_18c	kAma-prakarza-maraNa MViBH-_18c
   kāmādyupaplave 'py evaṃ MVibhr_146a	kAma-Adi-upaplave api evam MViBH-_146a
   kāmādyupaplute citte MVibhr_119a	kAma-Adi-upaplute citte MViBH-_119a
   kāryātireko jaṭhare MVibhr_118c	kArya-atirekaH jaWare MViBH-_118c
   kāryādhikyam udāhṛtam MVibhr_146b	kArya-ADikyam udAhRtam MViBH-_146b
   kiṃ tv ataddeśakālatvaṃ MVibhr_156a	kim tu atad-deSa-kAla-tvam MViBH-_156a
   kutaścana nimittataḥ MVibhr_104d	kutaScana nimittataH MViBH-_104d
   kusuma? na .... MVibhr_2b	kusuma? na .... MViBH-_2b
   kecid āhuḥ prakāribhyaḥ MVibhr_125c	kecid AhuH prakAriByaH MViBH-_125c
   ko vidyāt kasya kiṃ phalam MVibhr_144d	kaH vidyAt kasya kim Palam MViBH-_144d
   kvacid dṛṣṭā bhrāntibodhe MVibhr_107a	kvacid dRzwAH BrAnti-boDe MViBH-_107a
   khapuṣpatulye kā khyātir MVibhr_14a	Kapuzpa-tulye kA KyAtiH MViBH-_14a
   khapuṣpān na viśiṣyate MVibhr_12d	KapuzpAt na viSizyate MViBH-_12d
   khayogadarśane te hi MVibhr_67a	Ka-yoga-darSane te hi MViBH-_67a
   khuradharmiṇi vīkṣitam MVibhr_136d	Kura-DarmiNi vIkzitam MViBH-_136d
   khyātasya nirupākhyatā MVibhr_135d	KyAtasya nirupAKya-tA MViBH-_135d
   khyātir nihnūyate katham MVibhr_63d	KyAtiH nihnUyate kaTam MViBH-_63d
   khyātir yuktā mṛṣā ca sā MVibhr_131b	KyAtiH yuktA mRzA ca sA MViBH-_131b
   khyātiś cen nepsitātmanaḥ MVibhr_58b	KyAtiH ced na-Ipsita-AtmanaH MViBH-_58b
   khyāti sannihite 'śūnyaṃ MVibhr_148a	KyAti sannihite aSUnyam MViBH-_148a
   khyātau ca viparītāyāṃ MVibhr_87c	KyAtO ca viparItAyAm MViBH-_87c
   gandharvanagarādiṣu MVibhr_35b	ganDarvanagara-Adizu MViBH-_35b
   gamyate bāhyavastunaḥ MVibhr_156b	gamyate bAhya-vastunaH MViBH-_156b
   gṛhyate vartamānavat MVibhr_12b	gRhyate vartamAna-vat MViBH-_12b
   grahaṇaṃ vartamānavat MVibhr_138b	grahaNam vartamAna-vat MViBH-_138b
   grāhyam ity atidurghaṭam MVibhr_39d	grAhyam iti ati-durGawam MViBH-_39d
   cakṣur nālambate 'kṣadhīḥ MVibhr_79d	cakzuH na-Alambate akzaDIH MViBH-_79d
   cākṣuṣaḥ syād viparyayaḥ MVibhr_67d	cAkzuzaH syAt viparyayaH MViBH-_67d
   citau vicitrākārāyāṃ MVibhr_34a	citO vicitra-AkArAyAm MViBH-_34a
   citrādirūpān dīpādīn MVibhr_74c	citra-Adi-rUpAn dIpa-AdIn MViBH-_74c
   janayad vyabhicāry api MVibhr_105d	janayat vyaBicAri api MViBH-_105d
   janmāntarānubhūtaṃ ca MVibhr_20c	janma-antara-anuBUtam ca MViBH-_20c
   janmāntarānubhūtaṃ ca MVibhr_143a	janma-antara-anuBUtam ca MViBH-_143a
   jñānabhedamatiḥ kutaḥ MVibhr_70d	jQAna-Beda-matiH kutas MViBH-_70d
   jñānabhedāvivekajāḥ MVibhr_78b	jQAna-Beda-aviveka-jAH MViBH-_78b
   jñānam eva tu saṃprati MVibhr_139b	jQAnam eva tu saMprati MViBH-_139b
   jñānarūpasya tenaiva MVibhr_97a	jQAna-rUpasya tena-eva MViBH-_97a
   jñānarūpeṇa vedyate MVibhr_87b	jQAna-rUpeNa vedyate MViBH-_87b
   jñānasyāvyabhicārāc ca MVibhr_85c	jQAnasya-avyaBicArAt ca MViBH-_85c
   jñānaṃ kiñcana bodhakaṃ MVibhr_52b	jQAnam kiQcana boDakam MViBH-_52b
   jñānāt svapnamatir mṛṣā MVibhr_53b	jQAnAt svapna-matiH mRzA MViBH-_53b
   jñānād eva hi dṛṣṭatva- MVibhr_73c	jQAnAt eva hi dRzwa-tva MViBH-_73c
   tajjñānasya tathānyathā MVibhr_86b	tat-jQAnasya taTA-anyaTA MViBH-_86b
   tato 'nālambanaiva syāt MVibhr_41c	tatas anAlambanA-eva syAt MViBH-_41c
   tatkarmaphalasaṃbandhaṃ MVibhr_143c	tad-karma-Pala-saMbanDam MViBH-_143c
   tat kāryaṃ ..... MVibhr_147b	tat kAryam ..... MViBH-_147b
   tatkālam eva hi jñeyaṃ MVibhr_139a	tad-kAlam eva hi jQeyam MViBH-_139a
   tat tatsaṃnidhikāritam MVibhr_61b	tat tad-saMniDi-kAritam MViBH-_61b
   tattvato 'navadhāraṇam MVibhr_110d	tattvataH anavaDAraNam MViBH-_110d
   tattvabodhād apātatva- MVibhr_65c	tattva-boDAt apAta-tva MViBH-_65c
   tattvaṃ naikāntataḥ sthitam MVibhr_142d	tattvam na-ekAntataH sTitam MViBH-_142d
   tatprabodhas sakāranaḥ MVibhr_17b	tad-praboDaH sa-kAranaH MViBH-_17b
   tat pravṛtter akāraṇam MVibhr_64d	tat pravRtteH akAraNam MViBH-_64d
   tatra keyam asamyaktā MVibhr_49c	tatra kA-iyam asamyaktAH MViBH-_49c
   tatra tāvan na vibhramaḥ MVibhr_48b	tatra tAvat na viBramaH MViBH-_48b
   tatra dūrasthite sūkṣme MVibhr_51a	tatra dUra-sTite sUkzme MViBH-_51a
   tatra śūnyaiva śūnyadhīḥ MVibhr_122b	tatra SUnyA-eva SUnya-DIH MViBH-_122b
   tatrāpy avartamānaṃ ced MVibhr_12a	tatra-api avartamAnam ced MViBH-_12a
   tatrābhāvānirūpaṇāt MVibhr_134d	tatra-aBAva-anirUpaNAt MViBH-_134d
   tat satyaṃ bādhakajñānaṃ MVibhr_98c	tat satyam bADaka-jQAnam MViBH-_98c
   tatsāmarthyāptasaṃvidā MVibhr_88d	tad-sAmarTya-Apta-saMvidA MViBH-_88d
   tat siddhyati phalād ṛte MVibhr_71d	tat sidDyati PalAt Rte MViBH-_71d
   tat syāt saṃśayakāraṇam MVibhr_91d	tat syAt saMSaya-kAraNam MViBH-_91d
   tathā katham abhāvyo 'sya MVibhr_129c	taTA kaTam aBAvyaH asya MViBH-_129c
   tathākhyātiviniścayaḥ MVibhr_115b	taTA-AKyAti-viniScayaH MViBH-_115b
   tathā khyātis tu neṣyate MVibhr_50d	taTA KyAtiH tu na-izyate MViBH-_50d
   tathā khyātau na vibhramaḥ MVibhr_124d	taTA KyAtO na viBramaH MViBH-_124d
   tathā ca tatsvabhāvāyā MVibhr_42a	taTA ca tad-svaBAvAyAH MViBH-_42a
   tathā ca rajatārthinaḥ MVibhr_81b	taTA ca rajata-arTinaH MViBH-_81b
   tathātvasyāvadhārakam MVibhr_111d	taTA-tvasya-avaDArakam MViBH-_111d
   tathā bādhā vihanyate MVibhr_162b	taTA bADA vihanyate MViBH-_162b
   tathā sati tad evāstu MVibhr_88a	taTA sati tat eva-astu MViBH-_88a
   tathā hy anādau saṃsāre MVibhr_144a	taTA hi anAdO saMsAre MViBH-_144a
   tathā hy avyatireko 'pi MVibhr_94c	taTA hi avyatirekaH api MViBH-_94c
   tathā hy avyabhicārāṇāṃ MVibhr_104c	taTA hi avyaBicArANAm MViBH-_104c
   tathety adhyavasāyataḥ MVibhr_147d	taTA-iti aDyavasAyataH MViBH-_147d
   tathaikatvādhiropaṇāt MVibhr_53d	taTA-ekatva-aDiropaNAt MViBH-_53d
   tathaivety avasīyate MVibhr_97d	taTA-eva-iti avasIyate MViBH-_97d
   tad adhyārope no gauṇī MVibhr_147c	tat aDyArope naH gONI MViBH-_147c
   tadanyasmāt pṛthaktvena MVibhr_134a	tat-anyasmAt pRTaktvena MViBH-_134a
   tad api vyavahārāṅgaṃ MVibhr_14c	tat api vyavahAra-aFgam MViBH-_14c
   tadabhāve ca niścayaḥ MVibhr_45d	tad-aBAve ca niScayaH MViBH-_45d
   tadabhāve sphuṭagrahaḥ MVibhr_45b	tad-aBAve sPuwa-grahaH MViBH-_45b
   tadākāreti kecana MVibhr_2d	tat-AkAra-iti kecana MViBH-_2d
   tadbodha iti durghaṭam MVibhr_85d	tad-boDaH iti durGawam MViBH-_85d
   tadbhāvāc ca pramāṇatvam MVibhr_108c	tad-BAvAt ca pramANa-tvam MViBH-_108c
   tad yuktaṃ bādhakajñānād MVibhr_163a	tat yuktam bADaka-jQAnAt MViBH-_163a
   tadrūpāvyabhicārataḥ MVibhr_82b	tad-rUpa-avyaBicArataH MViBH-_82b
   tadvirodhaprasaṅgataḥ MVibhr_87d	tad-viroDa-prasaFgataH MViBH-_87d
   tan nātyantaṃ na bhāsate MVibhr_81d	tat na-atyantam na BAsate MViBH-_81d
   tamo bhāvo yathekṣyate MVibhr_48d	tamaH BAvaH yaTA-Ikzyate MViBH-_48d
   tayor atra vicāraṇā MVibhr_113b	tayoH atra vicAraNA MViBH-_113b
   tasmād asata evedaṃ MVibhr_16a	tasmAt asataH eva-idam MViBH-_16a
   tasmād eṣāṃ vibhramāṇāṃ vivekaḥ MVibhr_164d	tasmAt ezAm viBramANAm vivekaH MViBH-_164d
   tasmād vibhrama evāyam MVibhr_27a	tasmAt viBramaH eva-ayam MViBH-_27a
   tasmān na bāhyavastutvaṃ MVibhr_156c	tasmAt na bAhya-vastu-tvam MViBH-_156c
   tasya ca jagrato 'bhāvān MVibhr_145c	tasya ca jagrataH aBAvAt MViBH-_145c
   tasya tallakṣaṇacyuteḥ MVibhr_41d	tasya tad-lakzaNa-cyuteH MViBH-_41d
   tasya prāmāṇyasambhavaḥ MVibhr_112b	tasya prAmANya-samBavaH MViBH-_112b
   tām avidyāṃ pracakṣate MVibhr_29d	tAm avidyAm pracakzate MViBH-_29d
   tāvat saṃparihīyatām MVibhr_3b	tAvat saMparihIyatAm MViBH-_3b
   tāvan mithyeti yujyate MVibhr_154d	tAvat miTyA-iti yujyate MViBH-_154d
   tāṃ vyudasyaty apaṇḍitaḥ MVibhr_84d	tAm vyudasyati apaNxitaH MViBH-_84d
   timirādau kathaṃ svasthe MVibhr_72c	timira-AdO kaTam svasTe MViBH-_72c
   te ca santa iti sthitiḥ MVibhr_126b	te ca santaH iti sTitiH MViBH-_126b
   tena nāveādikā yat tu MVibhr_82a	tena na-AveAdikA yat tu MViBH-_82a
   tena yāvad bādhanīyaṃ MVibhr_154c	tena yAvat bADanIyam MViBH-_154c
   tenāpahṛtagocaram MVibhr_99d	tena-apahRta-gocaram MViBH-_99d
   trapākaraṃ kathaṃ tan naḥ MVibhr_83a	trapAkaram kaTam tat naH MViBH-_83a
   tridhāpi vyabhicāreṇa MVibhr_102a	triDA-api vyaBicAreNa MViBH-_102a
   durnirūpaṃ prakāśanam MVibhr_29b	durnirUpam prakASanam MViBH-_29b
   durlabhā cāñjanādivat MVibhr_77d	durlaBA ca-aQjana-Adi-vat MViBH-_77d
   duṣṭatāntarvivartitā MVibhr_18b	duzwatA-antar-vivartitA MViBH-_18b
   duṣyati vyabhicāreṇa MVibhr_92a	duzyati vyaBicAreNa MViBH-_92a
   dūṣitaṃ vyabhicāreṇa MVibhr_91c	dUzitam vyaBicAreNa MViBH-_91c
   dūṣite vyabhicāreṇa MVibhr_89c	dUzite vyaBicAreNa MViBH-_89c
   dṛṣṭam anyatra rūpyate MVibhr_139d	dRzwam anyatra rUpyate MViBH-_139d
   dṛṣṭasmṛtāvivekāc ced MVibhr_65a	dRzwa-smRtOvivekAt ced MViBH-_65a
   dṛṣṭaṃ tad yena rūpeṇa MVibhr_64c	dRzwam tat yena rUpeNa MViBH-_64c
   dṛṣṭitā smaraṇātmani MVibhr_119b	dRzwitA smaraNa-Atmani MViBH-_119b
   dṛṣṭe pravṛttiḥ pūrvasmin MVibhr_66a	dRzwe pravRttiH pUrvasmin MViBH-_66a
   dṛṣṭeś cāvartamānasya MVibhr_13c	dRzweH ca-AvartamAnasya MViBH-_13c
   doṣakṣatasya manasas MVibhr_147a	doza-kzatasya manasaH MViBH-_147a
   doṣakṣatiḥ kāryaśakti- MVibhr_24a	doza-kzatiH kArya-Sakti MViBH-_24a
   doṣāṇāṃ nitarāṃ doṣa- MVibhr_118a	dozANAm nitarAm doza MViBH-_118a
   doṣair avikṛtaṃ svasthaṃ MVibhr_23a	dozEH avikRtam svasTam MViBH-_23a
   doṣaiḥ kṣataṃ manaḥ kāryi MVibhr_22c	dozEH kzatam manaH kAryi MViBH-_22c
   dvayaṃ vipratiṣedhavat MVibhr_120d	dvayam vipratizeDa-vat MViBH-_120d
   dvayānuguṇyād vṛddhānāṃ MVibhr_47c	dvaya-anuguNyAt vRdDAnAm MViBH-_47c
   dvayor abhāvāt svapne ca MVibhr_161c	dvayoH aBAvAt svapne ca MViBH-_161c
   dvayor ekasya vā khyātir MVibhr_49a	dvayoH ekasya vA KyAtiH MViBH-_49a
   dvicandrādibhramās te hi MVibhr_78c	dvi-candra-Adi-BramAH te hi MViBH-_78c
   dvaividhyāt saṃśayodbhavaḥ MVibhr_109b	dvEviDyAt saMSaya-udBavaH MViBH-_109b
   dhiyākāraḥ pratīyate MVibhr_163d	DiyAkAraH pratIyate MViBH-_163d
   dhiyo 'satyāś cakāsati MVibhr_35d	DiyaH asatyAH cakAsati MViBH-_35d
   dhīprāmāṇyam upāgamat MVibhr_83d	DI-prAmANyam upAgamat MViBH-_83d
   dhīr anyad avabhāsate MVibhr_41b	DIH anyat avaBAsate MViBH-_41b
   dhīḥ pratītivirodhataḥ MVibhr_58d	DIH pratIti-viroDataH MViBH-_58d
   dhūmādīnām api na tad MVibhr_103c	DUma-AdInAm api na tat MViBH-_103c
   dhetubhāve na yujyate MVibhr_44d	Detu-BAve na yujyate MViBH-_44d
   na kaścid anirūpaṇāt MVibhr_128b	na kaScid anirUpaNAt MViBH-_128b
   na kaścid avabhāsate MVibhr_132d	na kaScid avaBAsate MViBH-_132d
   na kāryavaj jāgarāyām MVibhr_23c	na kArya-vat jAgarAyAm MViBH-_23c
   na kiñcid bhāsate ceti MVibhr_38a	na kiQcid BAsate ca-iti MViBH-_38a
   na krame yaugapadye vā MVibhr_159c	na krame yOgapadye vA MViBH-_159c
   na khyānaṃ vartamānavat MVibhr_13d	na KyAnam vartamAna-vat MViBH-_13d
