   yuktidīpikā //	yukti dIpikA //
   api pradhānādiṣvartheṣu buddhiṃ sūcayatīti sūtram / athavā,	api praDAna Adizu arTezu budDim sUcayati iti sUtram / aTavA,
   saukṣmyāttadanupalabdhiriti (ISk 8) sūtram / tadyathā 	sOkzmyAt tad anupalabDiH iti (ISj 8) sUtram / tat yaTA 
        alpākṣaramasandigdhaṃ sāravadviśvatomukham /	alpa akzaram asandigDam sAravat viSvatomuKam /
        astobhamanavadyaṃ ca sūtraṃ sūtravido viduḥ //	astoBamanavadyam ca sUtram sUtra vidaH viduH //
   astobhamapunaruktamityarthaḥ / tathā	astoBama punaruktam iti arTaH / taTA
        labhūni sūcitārthāni svalpākṣarapadāni ca /     	laBUni sUcita arTAni su alpa akzara padAni ca /
        sarvataḥ sārabhūtāni sūtrāṇyāhurmanīṣiṇaḥ //	sarvatas sAra BUtAni sUtrANi AhuH manIziNaH //
        pramāṇāni ca pratyakṣādīni, tānyuttaratra vakṣyati	pramANAni ca pratyakza AdIni, tAni uttaratra vakzyati
   'dṛṣṭamanumānamāptavacanaṃ ca'; (ISk 4), 'prativiṣayādhyavasāyo	adRzwam anumAnam Apta vacanam ca a; (ISj 4), aprativizaya aDyavasAyaH 
   dṛṣṭamityādi'; (ISk 5) /	dRzwam ityAdi a; (ISj 5) /
        avayavāḥ punarjijñāsādayaḥ, pratijñādayaśca / tatra jijñāsādayo	avayavAH punar jijQAsA AdayaH, pratijQa AdayaH ca / tatra jijQAsA AdayaH 
   vyākhyāṅgam / pratijñādayaḥ parapratyāyanāṅgam /tānuttaratra vakṣyāmaḥ /	vyAKyA aFgam / pratijQa AdayaH para pratyAyana aFgam /tA anuttaratra vakzyAmaH /
        āha, avayavānabhidhānamupadeśāt / na hi tathā pratyakṣādīni	Aha, avayavAn aBiDAnam upadeSAt / na hi taTA pratyakza AdIni
   pramāṇānyupadiṣṭāni tathā avayavā upadiṣṭāḥ /	pramANAni upadizwAni taTA avayavAH upadizwAH /
   tasmādavayavopapattirityetadasat /	tasmAt avayava upapattiH iti etat asat /
        bhāṣyakāraprāmāṇyādadoṣa iti cet syānmatam / yadyapi	BAzya kAra prAmANyAt adozaH iti ced syAt matam / yadi api
   sūtrakāreṇāvayavopadeśo na kṛtastathāpi bhāṣyakārāḥ kecideṣāṃ saṃgrahaṃ	sUtra kAreNa avayava upadeSaH na kRtaH taTA api BAzya kArAH kecid ezAm saMgraham
   cakruḥ / te ca naḥ pramāṇam / tasmādyukatamavayavopapattiriti /	cakruH / te ca naH pramANam / tasmAt yukatam avayava upapattiH iti /
   etaccāyuktam / kasmāt ?	etat ca ayuktam / kasmAt ?
        utsūtratvāt / nahyutsūtraṃ vyācakṣāṇā bhāṣyakārāḥ pramāṇaṃ bhavanti /	utsUtra tvAt / na hi utsUtram vyAcakzANAH BAzya kArAH pramANam Bavanti /
   tathā caitadutsūtritamiti /	taTA ca etat utsUtritam iti /
        ucyate, na / liṅgāt / naitadyuktamanupadeśānna santi jijñāsādayaḥ /	ucyate, na / liFgAt / na etat yuktam anupadeSAt na santi jijQAsA AdayaH /
   kintarhyanupadiṣṭamapyeṣāmastitvaṃ liṅgāt pratipadyāmahe yadayamācāryo	kintarhi anupadizwam api ezAm astitvam liFgAt pratipadyAmahe yat ayam AcAryaH 
   duḥkhatrayābhighātājjijñāsā tadapaghātake hetāviti (ISk 1)	duHKa traya aBiGAtAt jijQAsA tad apaGAtake hetO= iti (ISj 1)
   jijñāsāprayojanamācaṣṭe / kāraṇamastyavyaktamiti (ISk 16) pratijñāṃ karoti	jijQAsA prayojanam Acazwe / kAraNam asti avyaktam iti (ISj 16) pratijQAm karoti
   / bhedānāṃ parimāṇāditi (ISk 15) hetumupadiśati / naṭavad vyavatiṣṭhate	/ BedAnAm parimANAt iti (ISj 15) hetum upadiSati / nawa vat vyavatizWate
   liṅgamiti (ISk 42) dṛṣṭāntaṃ dyotayati / kṣīrasya yathā tathā pravṛttiḥ	liFgam iti (ISj 42) dRzwAntam dyotayati / kzIrasya yaTA taTA pravRttiH
   pradhānastyetyupasaṃharati (ISk 57) / tasmāt trividhaṃ karaṇaṃ dvārīti	praDAnastyA iti upasaMharati (ISj 57) / tasmAt triviDam karaNam dvAri iti
   (ISk 35) nigamayati / na cānabhipretairācāryāṇāṃ śāstre vyavahāro lakṣyate	(ISj 35) nigamayati / na ca anaBipretEH AcAryANAm SAstre vyavahAraH lakzyate
   / tena vayaṃ liṅgātpratipadyāmahe santi jijñāsādayo 'vayavāḥ śāstra iti /	/ tena vayam liFgAt pratipadyAmahe santi jijQAsA AdayaH avayavAH SAstraH iti /
        āha, satāmanupadeśe prayojanavacanam / evaṃ cenmanyase  santi	Aha, satAm anupadeSe prayojana vacanam / evam ced manyase santi
   jijñāsādayo 'vayavāḥ, śāstre teṣāmanupadeśe prayojanaṃ vaktavyam 	jijQAsA AdayaH avayavAH, SAstre tezAm anupadeSe prayojanam vaktavyam 
   amuṣmāddhetorācāryeṇa nopadiśyante, santi ca te iti /	amuzmAt hetoH AcAryeNa na upadiSyante, santi ca te iti /
        ucyate, pramāṇāntarbhāvāt / pramāṇeṣvantarbhāva eṣāmityayamupadiṣṭo	ucyate, pramANa antarBAvAt / pramANezu antarBAvaH ezAm iti ayam upadizwaH 
   heturasmābhiḥ / anumānāṅgaṃ hi jijñāsādayaḥ, tasmāttadantarbhūtāste iti na	hetuH asmABiH / anumAna aFgam hi jijQAsA AdayaH, tasmAt tad antarBUtAH te iti na
   pṛthagupadiśyante / kiñca, tantrāntarokteḥ / tantrāntareṣu hi	pRTak upadiSyante / kiQca, tantra antara ukteH / tantra antarezu hi
   vindhyavāsiprabhṛtirācāryairupadiṣṭāḥ / pramāṇaṃ ca naste ācāryā	vinDya vAsi praBRtiH AcAryEH upadizwAH / pramANam ca naH te AcAryA
   ityataścānupadeśo jijñāsādīnāmiti /	iti atas ca anupadeSaH jijQAsA AdInAm iti /
        āha na, pramāṇānupadeśaprasaṃgāt / yadi ca	Aha na, pramANa anupadeSa prasaMgAt / yadi ca
   tantrāntaropadeśādevāvayavānāmanupadeśaḥ, pratyakṣādīnyapi ca	tantra antara upadeSAt eva avayavAnAm anupadeSaH, pratyakza AdIni api ca
   tantrāntareṣūpadiśyante / śrotrādivṛttiḥ pratyakṣam /	tantra antarezu upadiSyante / Srotra Adi vRttiH pratyakzam /
   sambandhādekasmāccheṣasiddhiranumānam / yo yatrābhiyuktaḥ karmaṇi	sambanDAt ekasmAt Seza sidDiH anumAnam / yaH yatra aBiyuktaH karmaNi
   cāduṣṭassa tatrāptastasyopadeśa āptavacanamiti teṣāmapyanupadeśaprasaṅgaḥ	ca Aduzwassa tatra AptaH tasya upadeSaH Apta vacanam iti tezAm api anupadeSa prasaFgaH
   / atha sati tantrāntaropadeśe pramāṇānyupadiśyante nāvayavā iti,	/ aTa sati tantra antara upadeSe pramANAni upadiSyante na avayavAH iti,
   nanvetadicchāmātramiti /	nanu etat icCA mAtram iti /
        ucyate, pūrva eva tarhi parihāro 'stu / athavā punarastu	ucyate, pUrvaH eva tarhi parihAraH astu / aTavA punar astu
   tantrāntarokterityayamapi parihāraḥ / yattūktaṃ pramāṇānupadeśaprasaṅga	tantra antara ukteH iti ayam api parihAraH / yat tu uktam pramANa anupadeSa prasaFga 
   iti atra brūmaḥ  ayuktametat / kasmāt ? prayojanavatāmupadeśasyādoṣatvāt /	iti atra brUmaH ayuktam etat / kasmAt ? prayojanavatAm upadeSasya adoza tvAt /
   anupadeśo hi prayojanavataścodyata iti yuktametat / upadeśameva tu sadoṣa	anupadeSaH hi prayojanavataH ca udyate iti yuktam etat / upadeSam eva tu sa doza
   iti kṛtvā kaḥ pratyācakṣīta ? tasmānna kiñcidetat / kiñcānyat,	iti kRtvA kaH pratyAcakzIta ? tasmAt na kiQcid etat / kiQca anyat,
   pradhānopadeśe guṇabhūtāntarbhāvasiddheḥ / tadyathā, takṣṇuhi caitra	praDAna upadeSe guNa BUta antar BAva sidDeH / tat yaTA, takzNu hi cEtra
   ityukte yāvadbhissādhanaviśeṣairvinā takṣaṇaṃ nopapadyate sarvāstāṃścaitra	iti ukte yAvadBiH sADana viSezEH vinA takzaNam na upapadyate sarvAH tAn= cEtra
   upādatte / tathā pratyakṣādiṣu pramāṇeṣūpadiṣṭeṣu yaireṣāmavinābhāvaḥ	upAdatte / taTA pratyakza Adizu pramANezu upadizwezu yEH ezAm avinABAvaH
   sarvāṇi tānyupādāsyāmahe / kiñcānyāt, anyatrāpi tadanuṣṭhānāt / na	sarvANi tAni upAdAsyAmahe / kiQca anyAt, anyatra api tad anuzWAnAt / na
   kevalamiha, anyatrāpyayamācāryaḥ pradhānāmevopadeśaṃ karoti /	kevalam iha, anyatra api ayam AcAryaH praDAnAm eva upadeSam karoti /
   tadaṅgabhūtāstu tadupadeśādeva pratīyante / tadyathā, kāraṇamastyavyaktam	tad aFga BUtAH tu tad upadeSAt eva pratIyante / tat yaTA, kAraNam asti avyaktam
   (ISk 16) bhedānāṃ parimāṇāditi (ISk 15) / itarathā hi	(ISj 16) BedAnAm parimANAt iti (ISj 15) / itaraTAH hi
   dṛṣṭāntābhāvādasādhanametatsyāt / paśyati tvācāryo nādṛṣṭāntaṃ sādhanaṃ	dRzwAnta aBAvAt asADanam etat syAt / paSyati tu AcAryaH na adRzwAntam sADanam
   sādhyamāpnotīti kṛtvā pratipādakāḥ pratipādanakāle tantrāntaropadiṣṭānapi	sADyam Apnoti iti kRtvA pratipAdakAH pratipAdana kAle tantra antara upadizwAn api
   mūlaśakalādīnākṣepsyanti iti / kiñcānyat, anumāne bhūtavadupadeśāt /	mUla Sakala AdIn Akzepsyanti iti / kiQca anyat, anumAne BUta vat upadeSAt /
   ataścaitadevaṃ yadayamācāryastrividhamanumānamākhyātamiti (ISk 5) bravīti	atas ca etat evam yat ayam AcAryaH triviDam anumAnam AKyAtam iti (ISj 5) bravIti
   / kathaṃ kṛtvā jñāpakam? ākhyātasya hi pratyāmnāye bhūtavācinā	/ kaTam kRtvA jQApakam? AKyAtasya hi pratyAmnAye BUta vAcinA
   śabdenopadeśo bhavati / na cānena pūrvaṃ trividhamanumānamākhyātam /	Sabdena upadeSaH Bavati / na ca anena pUrvam triviDam anumAnam AKyAtam /
   ākhyātamiti cet, na tadākhyātaṃ kvaciditi śakyaṃ pratipādayitum / so	AKyAtam iti cet, na tat AKyAtam kvacid iti Sakyam pratipAdayitum / saH 
   'yamanākhyāyāpi yadbhūtavācinaṃ śabdamupādatte	ayam anAKyAya api yat BUta vAcinam Sabdam upAdatte
   tajjñāpayatyācāryastantrāntaraklṛptānāmapīha sanniveśo 'ṅgīkriyate /	tat jQApayati AcAryaH tantra antara klRptAnAm api iha sanniveSaH aFgIkriyate /
   kimetasya jñāpane prayojanam ? tantrāntaropadiṣṭo 'pi karmayonīnām	kim etasya jQApane prayojanam ? tantra antara upadizwaH api karma yonInAm
   prāṇabhedādīnāṃ ca lakṣaṇopadeśassaṃgṛhīto bhavatīti siddhaṃ	prANa Beda AdInAm ca lakzaNa upadeSa ssaMgRhItaH Bavati iti sidDam
   tantrāntaropadeśādavayavānupadeśaḥ / tasmātsūktamevāvayavopapattiriti /	tantra antara upadeSAt avayavAn upadeSaH / tasmAt sUktam eva avayava upapattiH iti /
        anyūnatā / padārthakārtsnyamaśeṣatānyūnatetyabhidhīyate / padārthāśca	anyUna tA / padArTa kArtsnyam aSeza tAnyUnata iti aBiDIyate / padArTAH ca
   daśa cūlikārthāḥ, paṃcāśatpratyayāḥ / tatrāstitvamekatvaṃ paṃcabhirvītaiḥ	daSa cUlikA arTAH, paMcASat pratyayAH / tatra astitvam eka tvam paMcaBiH vItEH
   siddham / arthavattvaṃ kāryakāraṇabhāvaḥ / pārārthyaṃ saṃhatyakāriṇāṃ	sidDam / arTavat tvam kArya kAraNa BAvaH / pArArTyam saMhatyakAriNAm
   parārthatvāt / ata evānyatvam /	para arTa tvAt / atas eva anya tvam /
   cetanāśakterguṇatrayājjanmamaraṇakaraṇānāmityevamādibhiḥ puruṣabahutvam /	cetanA SakteH guNa trayAt janma maraNa karaNAnAm iti evamAdiBiH puruza bahu tvam /
   puruṣasya darśanārtha iti saṃyogaḥ / prāpte śarīrabhede iti viyogaḥ /	puruzasya darSana arTaH iti saMyogaH / prApte SarIra Bede iti viyogaH /
   samyagjñānādhigamāditi śeṣavṛttiḥ / tasmācca viparyāsāditi	samyak jQAna aDigamAt iti Seza vRttiH / tasmAt ca viparyAsAt iti
   puruṣasyākartṛtvamityete daśa cūlikārthāḥ /	puruzasya akartR tvam iti ete daSa cUlikA arTAH /
        pañca viparyayabhedā bhavantyaśaktiśca karaṇavaikalyāt /	paQca viparyaya BedAH Bavanti aSaktiH ca karaNa vEkalyAt /
        aṣṭāviṃśatibhedā tuṣṭirnavadhāṣṭadhā siddhiḥ // (ISk 47)	azwAviMSati BedA tuzwiH navaDA azwaDA sidDiH // (ISj 47)
        iti pañcāśatpratyayāḥ / saiṣā ṣaṣṭiḥ padārthānām /	iti paQcASat pratyayAH / sA ezA zazwiH padArTAnAm /
   tadupapattiranyūnatā /	tad upapattiH anyUna tA /
        saṃśayanirṇayoktiḥ / saṃśayaśca nirṇayaśca tau saṃśayanirṇayau	saMSaya nirNaya uktiH / saMSayaH ca nirNayaH ca tO saMSaya nirNayO
   tayoruktissaṃśayanirṇayoktiḥ / sāmānyābhidhānaṃ saṃśayaḥ / tadyathā	tayoH ukti ssaMSaya nirNaya uktiH / sAmAnya aBiDAnam saMSayaH / tat yaTA
   mahadādi tacca kāryaṃ prakṛtivirūpaṃ sarūpaṃ cetyukte (ISk 8) saṃśayo	mahat Adi tat ca kAryam prakRti virUpam sarUpam ca iti ukte (ISj 8) saMSayaH 
   bhavati kena dharmeṇa kāryaṃ prakṛtivirūpaṃ kena vā sarūpamiti /	Bavati kena DarmeNa kAryam prakRti virUpam kena vA sarUpam iti /
   viśeṣābhidhānaṃ nirṇayaḥ / sa ca dvividhaḥ, śabdato 'rthataśca /	viSeza aBiDAnam nirNayaH / sa ca dviviDaH, SabdataH arTataH ca /
   śabdastāvat yathā hetumadādibhiḥ kāryaṃ prakṛtivirūpam, traiguṇyādibhiḥ	SabdaH tAvat yaTA hetumat AdiBiH kAryam prakRti virUpam, trEguNya AdiBiH
   prakṛtisarūpamiti / arthatastat yathā tebhyo bhūtāni pañca pañcabhyaḥ, ete	prakRti sarUpam iti / arTataH tat yaTA teByaH BUtAni paQca paQcaByaH, ete
   smṛtā viśeṣāḥ (ISk 38) / kiṃ kāraṇam ? yasmāt śāntā ghorāśca mūḍhāśca (ISk	smRtAH viSezAH (ISj 38) / kim kAraNam ? yasmAt SAntAH GorAH ca mUXAH ca (ISk
   38) / aśāntaghoramūḍhatvāttanmātrāṇyaviśeṣāḥ /	38) / aSAnta Gora mUXa tvAt tanmAtrANi aviSezAH /
        uddeśanirdeśam / uddeśaśca nirdeśaśca uddeśanirdeśam / sarvo dvandvo	uddeSa nirdeSam / uddeSaH ca nirdeSaH ca uddeSa nirdeSam / sarvaH dvandvaH 
   vibhāṣayaikavadbhavati iti dvandvaikavadbhāvaḥ / saṅkṣepavacanamuddeśaḥ /	viBAzaya eka vat Bavati iti dvandva eka vat BAvaH / saFkzepa vacanam uddeSaH /
   tadyathā, eṣa pratyayasargo viparyayāśaktituṣṭisiddhyākhyaḥ (ISk 46) /	tat yaTA, eza pratyaya sargaH viparyaya aSakti tuzwi sidDi AKyaH (ISj 46) /
   vistaravacanaṃ nirdeśaḥ / tadyathā, pañca viparyayabhedā bhavanti (ISk 47)	vistara vacanam nirdeSaH / tat yaTA, paQca viparyaya BedAH Bavanti (ISj 47)
   bhedastamaso 'ṣṭavidha (ISk 48) ityādiḥ /	BedaH tamasaH azwaviDaH (ISj 48) ityAdiH /
        anukramaśca  padārthānāmānupūrvyā sanniveśopadeśo 'nukramaḥ, tadyathā	anukramaH ca padArTAnAm AnupUrvyA sanniveSa upadeSaH anukramaH, tat yaTA
     'prakṛtermahāṃstato 'haṃkārastasmād gaṇaśca ṣoḍaśakaḥ'; (ISk 22)	 aprakRteH mahAn= tatas ahaMkAraH tasmAt gaNaH ca zoxaSakaH a; (ISj 22)
   ityantena /	iti antena /
        saṃjñopadeśau / saṃjñipratyāyanārthaḥ śabdaḥ saṃjñā / sā ca dvividhā	saMjQA upadeSO / saMjQi pratyAyana arTaH SabdaH saMjQA / sA ca dviviDA
   / arthanibandhanā, svarūpanibandhanā ca /	/ arTa nibanDanA, svarUpa nibanDanA ca /
   tatrārthanibandhanārthavaśenārthakriyāpekṣā / jātyādyarthasvarūpāntarbhāvī	tatra arTa nibanDana arTa vaSena arTa kriyA apekzA / jAti Adi arTa svarUpa antarBAvI
   yathārthastathābhūtameva saṃjñinaṃ pratyāyati / tadyathā pācako lāvaka iti	yaTArTaH taTABUtam eva saMjQinam pratyAyati / tat yaTA pAcakaH lAvakaH iti
   / svarūpanibandhanā punaḥ saṃjñipratyāyanopāyamātram /	/ svarUpa nibanDanA punar saMjQi pratyAyana upAya mAtram /
   svarūpamātropakāriṇī vināvayavārthaṃ samayavaśādatathābhūtamapi saṃjñinaṃ	sva rUpa mAtra upakAriNI vinA avayava arTam samaya vaSAt ataTABUtam api saMjQinam
   pratyāyati / tadyathā, gajakarṇo 'śvakarṇa iti / prayatnato bhagavataḥ	pratyAyati / tat yaTA, gajakarNaH aSvakarNaH iti / prayatnataH BagavataH
   paramarṣerārṣeṇa jñānena sarvatattvānāṃ svarūpamupalabhya saṃjñāṃ	parama RzeH ArzeNa jQAnena sarva tattvAnAm svarUpam upalaBya saMjQAm
   vidadhato nāsti svarūpanibandhanaḥ śabdaḥ / tadyathā, pradhīyante 'tra	vidaDataH na asti svarUpa nibanDanaH SabdaH / tat yaTA, praDIyante atra
   vikārā iti pradhānam, puri śeta iti puruṣa ityādi /	vikArAH iti praDAnam, puri SetaH iti puruzaH ityAdi /
   tanmatānusāriṇāmapyācāryāṇāṃ tābhireva	tad mata anusAriNAm api AcAryANAm tABiH eva
   saṃvyavahārānnāstyapūrvasaṃjñāvidhānaṃ pratyādaraḥ /	saMvyavahArAt na asti apUrva saMjQA viDAnam pratyAdaraH /
        upadeśaḥ / itikartavyatā, phalasamākhyānamupadeśaḥ / tadyathā,	upadeSaH / itikartavya tA, Pala samAKyAnam upadeSaH / tat yaTA,
        evaṃ tattvābhayasānnāsmi na me nāhamityapariśeṣam /	evam tattva aBayasAn nA asmi na me na aham iti apariSezam /
        aviparyayādviśuddhaṃ kevalamutpadyate jñānam // (ISk 64)	aviparyayAt viSudDam kevalam utpadyate jQAnam // (ISj 64)
        ete sūtropapattyādayastantraguṇāḥ /	ete sUtra upapatti AdayaH tantra guNAH /
        iti karaṇaṃ prakārārtham / evamprakārā anye 'pi draṣṭavyāḥ /	iti karaNam prakAra arTam / evamprakArAH anye api drazwavyAH /
   tadyathā, utsargo 'pavādo 'tideśa ityādiḥ / tatrotsargaḥ prakṛtivirūpaṃ	tat yaTA, utsargaH apavAdaH atideSaH ityAdiH / tatra utsargaH prakRti virUpam
   (ISk 8) vyaktam, sarūpaṃ (ISk 8) cetyapavādaḥ / tathā tadviparīta (ISk 11)	(ISj 8) vyaktam, sarUpam (ISj 8) ca iti apavAdaH / taTA tad viparItaH (ISj 11)
   ityutsargaḥ, tathā ca pumān (ISk 11 ) ityapavādaḥ / sāmānyamacetanaṃ	iti utsargaH, taTA ca pumAn (ISj 11 ) iti apavAdaH / sAmAnyam acetanam
   prasavadharmi vyaktaṃ, tathā pradhānam (ISk 11) ityatideśaḥ / ityevamanyā	prasava Darmi vyaktaM, taTA praDAnam (ISj 11) iti atideSaH / iti evam anyA
   api tantrayuktayaḥ śakyā iha pradarśayitum / atiprasaṅgastu prakṛtaṃ	api tantra yuktayaH SakyAH iha pradarSayitum / atiprasaFgaH tu prakRtam
   tirodadhātīti nivartyate / siddhaṃ tantrayuktīnāṃ	tirodaDAti iti nivartyate / sidDam tantra yuktInAm
   sambandhopapattestantramidamiti /	sambanDa upapatteH tantram idam iti /
        kiñca tantrāntarāvirodhāt / yadi khalvapīdamapi prakaraṇaṃ syāt	kiQca tantra antara aviroDAt / yadi Kalvapi idam api prakaraNam syAt 
   tantrāntare pātañjalapañcādhikaraṇavārṣagaṇaprabhṛtīnāmanyatamasya	tantra antare pAtaQjala paQca aDikaraNa vArza gaNa praBRtInAm anyatamasya
   śeṣabhūtaṃ syāt / taiścāpyavirodhastatra tatreti vakṣyāmaḥ /	Seza BUtam syAt / tEH ca api aviroDaH tatra tatra iti vakzyAmaH /
