   atulaṃ bhaktivatsale RahPps_4d	atulam Bakti-vatsale RahPpH-_4d
   na paśyanty antaraṃ santaś RahPps_3c	na paSyanti antaram santaH RahPpH-_3c
   nāgacchasi kutaś cit tvaṃ RahPps_13a	na-AgacCasi kutas cit tvam RahPpH-_13a
   nānānāmabhir īḍyase RahPps_9d	nAnA-nAmaBiH Ixyase RahPpH-_9d
   nāsty anya iti niścayaḥ RahPps_17d	na-asti anyaH iti niScayaH RahPpH-_17d
   niravadyair nirīkṣyase RahPps_1d	niravadyEH nirIkzyase RahPpH-_1d
   nirnimittāṃ nirañjanām RahPps_19b	nirnimittAm niraQjanAm RahPpH-_19b
   nirmalābhir anindite RahPps_8b	nirmalABiH anindite RahPpH-_8b
   nirvikalpe namas tubhyaṃ RahPps_1a	nirvikalpe namaH tuByam RahPpH-_1a
   niṣprapañcāṃ nirakṣarām RahPps_2b	nizprapaQcAm nirakzarAm RahPpH-_2b
   parārthaniratātmanām RahPps_6b	para-arTa-nirata-AtmanAm RahPpH-_6b
   putrās tava kṛpālavaḥ RahPps_7b	putrAH tava kRpA-lavaH RahPpH-_7b
   poṣikā janayitrī ca RahPps_6c	pozikA janayitrI ca RahPpH-_6c
   prajñaptyarthaṃ śarīriṇām RahPps_18b	prajQapti-arTam SarIriNAm RahPpH-_18b
   prajñāpāraparāyaṇam RahPps_21d	prajQApAra-parAyaNam RahPpH-_21d
   prajñāpāramitāṃ stutvā RahPps_21a	prajQApAramitAm stutvA RahPpH-_21a
   prajñāpāramite 'mite RahPps_1b	prajQApAramite amite RahPpH-_1b
   prapadya ca vimucyante RahPps_14c	prapadya ca vimucyante RahPpH-_14c
   prapadyante ca bhāvataḥ RahPps_14b	prapadyante ca BAvataH RahPpH-_14b
   prabhāṃ prāpyeva dīptāṃśor RahPps_10a	praBAm prApya-iva dIptAMSoH RahPpH-_10a
   prāpyate 'moghadarśane RahPps_5d	prApyate amoGa-darSane RahPpH-_5d
   bahurūpā tvam evaikā RahPps_9c	bahu-rUpA tvam eva-ekA RahPpH-_9c
   bālānāṃ bhīmadarśanā RahPps_11b	bAlAnAm BIma-darSanA RahPpH-_11b
   buddhadharmapuraḥsarīm RahPps_4b	budDa-Darma-puraHsarIm RahPpH-_4b
   buddhasya ca jagadguroḥ RahPps_3b	budDasya ca jagadguroH RahPpH-_3b
   buddhaiḥ pratyekabuddhaiś ca RahPps_17a	budDEH pratyekabudDEH ca RahPpH-_17a
   mātā tvam asi vatsalā RahPps_6d	mAtA tvam asi vatsalAH RahPpH-_6d
   mārgas tvam ekā mokṣasya RahPps_17c	mArgaH tvam ekA mokzasya RahPpH-_17c
   yad buddhā lokaguravaḥ RahPps_7a	yat budDAH loka-guravaH RahPpH-_7a
   yan mayopacitaṃ śubham RahPps_21b	yat mayA-upacitam SuBam RahPpH-_21b
   yas tvāṃ paśyati bhāvena RahPps_2c	yaH tvAm paSyati BAvena RahPpH-_2c
   yas tvāṃ vidhivad īkṣate RahPps_5b	yaH tvAm viDivat Ikzate RahPpH-_5b
   yasya tvayy apy abhiṣvaṅgas RahPps_12a	yasya tvayi api aBizvaFgaH RahPpH-_12a
   yā tvaṃ kva cid aniśritā RahPps_19d	yA tvam kva cit aniSritA RahPpH-_19d
   yā tvaṃ sarvānavadyāṅgi RahPps_1c	yA tvam sarva-anavadya-aFgi RahPpH-_1c
   ye tvām evaṃ na paśyanti RahPps_14a	ye tvAm evam na paSyanti RahPpH-_14a
   rāgadveṣau bhaviṣyataḥ RahPps_12d	rAga-dvezO BavizyataH RahPpH-_12d
   vākpathair vayam īdṛśaiḥ RahPps_20b	vAc-paTEH vayam IdRSEH RahPpH-_20b
   viduṣāṃ saumyadarśanā RahPps_11d	viduzAm sOmya-darSanAH RahPpH-_11d
   vidvadbhir nopalabhyase RahPps_13d	vidvadBiH na-upalaByase RahPpH-_13d
   vineyaṃ janam āsādya RahPps_9a	vineyam janam AsAdya RahPpH-_9a
   vyavahāraṃ puraskṛtya RahPps_18a	vyavahAram puraskRtya RahPpH-_18a
   śaktaḥ kas tvām iha stotuṃ RahPps_19a	SaktaH kaH tvAm iha stotum RahPpH-_19a
   śrāvakaiś ca niṣevitā RahPps_17b	SrAvakEH ca nizevitA RahPpH-_17b
   sakṛd apy āśaye śuddhe RahPps_5a	sakRt api ASaye SudDe RahPpH-_5a
   saty evam api saṃvṛtyā RahPps_20a	sati evam api saMvRtyAH RahPpH-_20a
   sa paśyati tathāgatam RahPps_2d	sa paSyati taTAgatam RahPpH-_2d
   sarvapāramitābhis tvaṃ RahPps_8a	sarva-pAramitABiH tvam RahPpH-_8a
   sarvavāgviśayātītāṃ RahPps_19c	sarva-vAc-viSaya-atItAm RahPpH-_19c
   sarvasattvapitāmahī RahPps_7d	sarva-sattva-pitAmahI RahPpH-_7d
   sarveṣām api vīrāṇāṃ RahPps_6a	sarvezAm api vIrANAm RahPpH-_6a
   sukhenāyānti māhātmyam RahPps_4c	suKena-AyAnti mAhAtmyam RahPpH-_4c
   sudurbodhāsi māyeva RahPps_16c	su-durboDA-asi mAyA-iva RahPpH-_16c
   sthāneṣv api ca sarveṣu RahPps_13c	sTAnezu api ca sarvezu RahPpH-_13c
