   1. daivapuruṣākārādhyāye 21 verses	1. dEva-puruza-AkAra-aDyAye 21 verseH-
   YY_1.6b/.homopavāsasurayāgajapādimātram/	YY_1.6b/.ha-uma-upavAsa-suraya-Aga-ja-pAdi-mAtram/
   YY_1.6c/.syāt siddhihetur atha ced vijagīāato[K.vijigīṣato] 'rīṇ	YY_1.6c/.-syAt sidDi-hetuH aTa ced vijagIAato[-K.-vijigIzato] arIN
   YY_1.6d/.kasmāt tadā narapatir na bhavet purodhāḥ//	YY_1.6d/.kasmAt tadA narapatiH na Bavet puroDAH//
   YY_1.7a/.budhārthaśāstrāṇy[K.buddhvā 'rthaśāstrāṇy] api mantriṇo 'pi	YY_1.7a/.buDa-arTa-SAstrANi-[K.budDvA arTaSAstrANy] api mantriNaH api
   YY_1.7b/.kuyuḥ praṇāmaṃ na nareśvarāṇām/	YY_1.7b/.kuyuH praNAmam na nareSvarANAm-/
   YY_1.7c/.yady ābhijātyadvipavājipatti	YY_1.7c/.yadi ABijAtya-dvipa-vAjipatti
   YY_1.7d/.kośādyapekṣā na bhavet pradhānā//	YY_1.7d/.koSa-Adi-apekzA na Bavet praDAnA//
   YY_1.8a/.svadeśe santuṣṭaḥ karituragakośe sati na yo	YY_1.8a/.sva-deSe santuzwaH kari-turaga-koSe sati na yaH-
   YY_1.8b/.bhaved yāyī saindhaiḥ[K.so 'nyaiḥ] kṛtaparibhavo yāti vilayam/	YY_1.8b/.Bavet yAyI sEnDEH[K.saH anyEH] kRta-pariBavaH yAti vilayam/
   YY_1.8c/.svacakreṇaiva 'sau kṣapitadhanarāṣṭro bhavati vā/	YY_1.8c/.-sva-cakreNa-eva asO kzapita-Dana-rAzwraH Bavati vA/
   YY_1.8d/.gato yo nādatte[K.'nyān ādatte] sunayacarito nītividhūrān//	YY_1.8d/.gataH yaH na-Adatta-i[K.-anyAn Adatte] su-naya-caritaH nIti-viDUrAn-//
   YY_1.9a/.ulūkasya dhvāṃkṣo niśi valibhujāṃ so 'hni vaśagaḥ	YY_1.9a/.ulUkasya DvAMkzaH niSi valiBujAm saH ahni vaSa-gaH
   YY_1.9a/.sthale nakraṃ siṃho mṛgapam udke hanti jalajaḥ/	YY_1.9a/.sTale nakram siMhaH mRgapam udke hanti jalajaH/
   YY_1.9b/.abudhyā yaḥ kālaṃ vrajati nṛpatir deśam athavā[K.omitted]	YY_1.9b/.a-buDyAH yaH kAlam vrajati nRpatiH deSam aTa-vA-a[K.omitted]
   YY_1.9c/.hate darpe vākyaṃ smarati viduṣāṃ so 'rivaśagaḥ//[K.this lline	YY_1.9c/.-hate darpe vAkyam smarati viduzAm saH ari-vaSa-gaH//[K.TiH lline
   omitted]	omittet-]
   YY_1.10a/.ripoḥ kṛtvā 'vajñāṃ jitam iti viditvā madabalān	YY_1.10a/.ripoH kRtvA avajQAm jitam iti viditvA mada-balAn
   YY_1.10b/.na yatno hātavyaḥ śikhiviṣasamo 'lpo 'pi hi ripuḥ/	YY_1.10b/.na yatnaH hAtavyaH SiKi-viza-samaH alpaH api hi ripuH/
   YY_1.10c/.pramatto 'dreḥ kuñjād ayutabalabhāgair api narair	YY_1.10c/.-pramattaH adreH kuQjAt ayuta-bala-BAgEH api narEH-
   YY_1.10d/.hato baddhastambhe kakhati[K.baddhaḥ stambhekaṣati] madalekhāṃ	YY_1.10d/.hataH badDa-stamBe kaKati[K.-badDaH stamBekazati] mada-leKAm
   dvipapatiḥ//	dvipa-patiH//
   YY_1.11a/.vapraprākārayantrapraharaṇaparikhātoya*meyendhanāḍhyaṃ[K.dhānyendhanāḍhyaṃ	YY_1.11a/.vapra-prAkAra-yantra-praharaNa-pariKA-toya*meya-inDana-AXyaM[K.-DAnya-inDana-AXyam
   YY_1.11b/.durgaṃ kṛtvā ''tmagupataṃ[K.''tmagulma]	YY_1.11b/.durgam kRtvA aatmagupataM[K.-aatma-gulma]
   dvipaturagabhiṣakśilpiviprābhyupetam/	dvipa-turagaBizaj-Silpi-vipra-aByupetam/
   YY_1.11c/.lubdhatrastābhimāniprakupitakubhṛtāṃ jñātaśīlair vihīnaṃ	YY_1.11c/.-lubDa-trasta-aBimAni-prakupita-kuBRtAm jQAta-SIlEH vihInam
   YY_1.11d/.kṛtvā śūrāptasaṃsthaṃ paraviṣayam iyāc chuddhapārṣṇir	YY_1.11d/.kRtvA SUra-Apta-saMsTam para-vizayam iyAt SudDa-pArzNiH-
   narendraḥ//	narendraH//
   YY_1.12a/.budhvā śaktiṃ svaparabalayoḥ sāmam	YY_1.12a/.buDvA Saktim sva-para-balayoH sAmam
   ekapradānaiḥ[K.sāmabhekapradānaiḥ]	eka-pradAnEH-[K.sAma-Beka-pradAnEH]
   YY_1.12b/.kṛtvopāyair	YY_1.12b/.kRtvA-upAyEH-
   vyasanasamaropāyasaṃrakṣaṇaiś[K.gamanasamaropāyasaṃsarpaṇaiś] ca/	vyasana-samara-upAya-saMrakzaNa-ES[K.-gamana-samara-upAya-saMsarpaNa-ES] ca/
   YY_1.12c/.bhaktyā[K.sāmnā] sādhūn dhanavirahitān arthalubdhāṃś ca dānair	YY_1.12c/.-BaktyA-a[K.-sAmnA] sADUn Dana-virahitAn arTa-lubDAn ca dAnEH-
   YY_1.12d/.neyād[K.bhedyān] bhedais tribhir api na ye sādhayet tāṃś ca	YY_1.12d/.neyAt-[K.BedyAn] BedEH triBiH api na ye sADayet tAn ca
   daṇḍaiḥ//	daNxEH//
   YY_1.13a/.sāmno jīvaḥ sabhṛgutanayo daṇḍanāthau kujārkau	YY_1.13a/.sAmnaH jIvaH sa-BRgu-tanayaH daNxa-nATO kuja-arkO
   YY_1.13b/.dānasyenduḥ śikhiyamabudhāḥ sāsurā bhedanāthāḥ/	YY_1.13b/.dAn-asya-induH SiKi-yama-buDAH sa-asurAH Beda-nATAH/
   YY_1.13c/.vīryopetair upacayakarair lagnagair vīryagair[K.kendragair] vā	YY_1.13c/.-vIrya-upetEH upacaya-karEH lagna-gEH vIrya-gEr[K.kendra-gEr] vA
   YY_1.13d/.tat tat siddhiṃ vrajati tad ahaḥsv āṃśakair[K.aṃśake] vāpi	YY_1.13d/.-tat tat sidDim vrajati tat ahaHsu AMSakEH-[K.aMSake] vA-api
   teṣāṃ//	tezAM//
   YY_1.14a/.ṣāḍguṇye sandhir ādau paripaṇaracito vigraho	YY_1.14a/.zAxguNye sanDiH AdO paripaNa-racitaH vigrahaH-
   'syāpakārī[K.'syapākāro]	asya-apakArI[-K.-asi-apAkAraH-]
   YY_1.14b/.naitau ced āsanaṃ tat parapuragamanaṃ sarvasaineyna yānam/	YY_1.14b/.na-etO ced Asanam tat para-pura-gamanam sarva-sEneyna yAnam/
   YY_1.14c/.sainyārddhenābhiyukte parapuram api yat tad dvidhāyānam uktaṃ	YY_1.14c/.-sEnya-ardDena-aBiyukte para-puram api yat tat dviDAyAnam uktam
   YY_1.14d/.saṃśleṣo 'nyatra yaḥ syāt sa khalu nigaditaḥ saṃśrayo	YY_1.14d/.-saMSlezaH anyatra yaH syAt sa Kalu nigaditaH saMSrayaH-
   'nyo[K.'ntyo] guṇānam//	anyo[K.-antyo] guNAn-am//
   YY_1.15a/.madhyāhne 'rkas tuhinakiraṇo nityam ākrandasaṃjñaḥ	YY_1.15a/.-maDyAhne arkaH tuhina-kiraNaH nityam Akranda-saMjQaH
   YY_1.15b/.pauraḥ pūrve bhavati dinakṛd yāyisaṃjño	YY_1.15b/.pOraH pUrve Bavati dinakRt yAyi-saMjQaH-
   'ntyasaṃsthāḥ[K.'ntyasaṃsthaḥ]/	antya-saMsTAH[K.-antya-saMsTaH]/
   YY_1.15c/.jīvaḥ sauris[K.sauras] tuhinakiraṇāsyātmajaś ceti paurāḥ	YY_1.15c/.jIvaH sOri-s[K.-sOras] tuhina-kiraNa-asya-AtmajaH ca-iti pOrAH
   YY_1.15d/.ketur yāyī sabhṛgujakujaḥ siddhikānandanaś ca//	YY_1.15d/.ketuH yAyI sa-BRguja-kujaH sidDika-AnandanaH ca//
   YY_1.16a/.yānaṃ yāyibhir āsanaṃ śubhakarair vīryānvitair nāgarair	YY_1.16a/.yAnam yAyiBiH Asanam SuBa-karEH vIrya-anvitEH nAgarEH-
   YY_1.16b/.dvaidhībhāvam iyād yadā śubhakarāḥ paurāḥ sayāyigrahāḥ/	YY_1.16b/.dvEDIBAvam iyAt yadA SuBa-karAH pOrAH sa-yAyigrahAH/
   YY_1.16c/.saumyaiḥ sandhir asadgrahaiś ca balibhir yuddhe 'nukūlair jayaḥ	YY_1.16c/.-sOmyEH sanDiH asat-grahEH ca baliBiH yudDe anukUlEH jayaH
   YY_1.16d/.sarvair apy aśubhapradair narapatir daivāmbitaṃ saṃśrayet//	YY_1.16d/.-sarvEH api aSuBa-pradEH narapatiH dEva-ambitam saMSrayet//
   YY_1.17a/.kośo hi rājyatarumūlam ato 'sya śākhāḥ	YY_1.17a/.koSaH hi rAjya-taru-mUlam atas asya SAKAH
   YY_1.17b/.pakṣī vipakṣa iva kiṃ nidhanaḥ[K.vidhanaṃ] karoti/	YY_1.17b/.pakzI vipakzaH iva kim niDanaH[K.-viDanan] karoti/
   YY_1.17c/.annād ivendriyagaṇo vasutas tathā 'nnaṃ	YY_1.17c/.annAt iva-indriya-gaNaH vasutaH taTA annam
   YY_1.17d/.tatprāptirakṣaṇavivṛddhiṣu yatnavān syāt//	YY_1.17d/.-tad-prApti-rakzaNa-vivRdDizu yatnavAn syAt//
   YY_1.18a/.nīcācirāḍhyanṛpavallabhataskarebhyo	YY_1.18a/.nIca-acira-AXya-nRpa-vallaBa-taskareByaH-
   YY_1.18b/.rāṣṭraṃ nṛpeṇa parirakṣyam ato 'sya kośaḥ/	YY_1.18b/.rAzwram nRpeNa parirakzyam atas asya koSaH/
   YY_1.18c/.kāle karapraṇayanaṃ ca yathocitānāṃ	YY_1.18c/.-kAle kara-praNayanam ca yaTocitAnAm
   YY_1.18d/.tan[K.taṃ] nārthayed bhavati yena janāpavādaḥ//	YY_1.18d/.tan[-K.taM] na-arTayet Bavati yena jana-apavAdaH//
   YY_1.19a/.yātrā nṛpasya śaradīṣṭaphalā madhau ca	YY_1.19a/.yAtrA nRpasya Saradi-izwa-PalA maDO ca
   YY_1.19b/.chidre ripor na niyamo 'sti[K.'tra] ca kecid āhuḥ/	YY_1.19b/.Cidre ripoH na niyamaH asti[K.-atra] ca kecid AhuH/
   YY_1.19c/.chidre 'py arer bhavati daivayutasya siddhiḥ	YY_1.19c/.-Cidre api areH Bavati dEva-yutasya sidDiH
   YY_1.19d/.sāmānyam āmiṣam idaṃ pratibhūmipānām//	YY_1.19d/.-sAmAnyam Amizam idam pratiBUmipAnAm//
   YY_1.20a/.śatror vadhāya sacivaṃ śubhadaivayuktam	YY_1.20a/.SatroH vaDAya sacivam SuBa-dEva-yuktam
   YY_1.20b/.ājñāpayen nṛpatir ātmani daivahīne/	YY_1.20b/.AjQApayet nRpatiH Atmani dEva-hIne/
   YY_1.20c/.jahyān na cārtham ati[K.api] daivaparo 'pi bhūtvā	YY_1.20c/.-jahyAt na ca-arTam ati[K.api] dEva-paraH api BUtvA
   YY_1.20d/.dṛṣṭe dvipe dvipapadānusṛtiḥ kim artham//	YY_1.20d/.-dRzwe dvipe dvipa-pada-anusRtiH kim arTam//
   YY_1.21a/.kālo 'bhyupaiti sakṛd eva naraṃ kathaṃcit	YY_1.21a/.kAlaH aByupEti sakRt eva naram kaTaMcid-
   YY_1.21b/.prāpnoti tan na samayaṃ[K.sa punaḥ] khalu kālakāṃksī/	YY_1.21b/.prApnoti tat na samayaM[K.sa punar-] Kalu kAlakAMksI/
   YY_1.21c/.kālena gocaragatān anapekṣya bhakṣyān	YY_1.21c/.-kAlena gocara-gatAn anapekzya BakzyAn
   YY_1.21d/.mandakramo 'py ajagaraḥ samupaiti siddhim//	YY_1.21d/.manda-kramaH api ajagaraH samupEti sidDim//
   YY_1.22a/.durgasthitaṃ phalam apakvam analpayatnāt[K.analpayatnaṃ]	YY_1.22a/.durga-sTitam Palam apakvam analpa-yatnAt[-K.analpa-yatnaM]
   YY_1.22b/.saṃsiddhim apy upakaroti guṇaṃ na puṃsām/	YY_1.22b/.-saMsidDim api upakaroti guNam na puMsAm-/
   YY_1.22c/.sādhāraṇaṃ svapatitaṃ ca bhaved yato 'taḥ	YY_1.22c/.-sADAraNam sva-patitam ca Bavet yatas atas-
   YY_1.22d/.kāle 'bhiyuktapatitaṃ rasavat sukhāya//E22	YY_1.22d/.-kAle aBiyukta-patitam rasavat suKAya/-/E22
   YY_2.1ab/.raktāsitādyā hi yathāmbarasya varṇāḥ sitasyaiṣa bhavanti samyak/	YY_2.1ab/.-rakta-asita-AdyAH hi yaTA-ambarasya varNAH sitasya-eza Bavanti samyak-/
   YY_2.1cd/.vilagnatithyādiguṇās tathaiva viśuddhadoṣasya bhavanti yātuḥ//	YY_2.1cd/.-vilagna-tiTi-Adi-guNAH taTA-eva viSudDa-dozasya Bavanti yAtuH//
   YY_2.2ab/.madyāṅganāvāditanṛtyagītāny akṣā vṛthādyā[K.vṛthāṭyā] mṛgayā	YY_2.2ab/.madya-aFganA-vAdita-nRtya-gItAni akzA vRTA-Adya-a[K.vRTAwyA] mRgayA
   dyunidrā/	dyunidrA/
   YY_2.2cd/.parokṣanindeti ca kāmajāni daśaiva vindyād[K.vidyād] vyasanāni	YY_2.2cd/.-parokza-nindA-iti ca kAma-jAni daSa-eva vindyAt-[K.vidyAd] vyasanAni
   puṃsām//	puMsAm//
   YY_2.3ab/.vākpāruṣyaṃ daṇḍapāruṣyam īrṣyāṃ[K.īrṣyā] droho 'sūyā paiśunaṃ	YY_2.3ab/.vAc-pAruzyam daNxa-pAruzyam IrzyAM[K.IrzyA] drohaH asUyA pESunam
   sāhasañ ca/	sAhasan ca/
   YY_2.3cd/.arthasyoktaṃ dūṣaṇaṃ ca 'ṣṭasaṃkhyaḥ krodhodbhūto varga eṣa	YY_2.3cd/.arTasya-uktam dUzaNam ca azwa-saMKyaH kroDa-udBUtaH vargaH eza
   pradiṣṭaḥ/	pradizwaH/
   YY_2.4ab/.mahad idam anayānām āspadaṃ madyam āhus	YY_2.4ab/.-mahat idam anayAnAm Aspadam madyam AhuH-
   tanudhanamatisattvaśreyasāṃ karṣaṇāya/	tanu-Danam-ati-sattva-SreyasAm karzaNAya/
   YY_2.4cd/.samupahatamatiḥ san[K.saṃs] tatpradhānendriyatvād gaṇayati na hi	YY_2.4cd/.samupahata-matiH sa-n[K.-saMs] tad-praDAna-indriya-tvAt gaNayati na hi
   bhakṣyābhakṣyam anyāni caivam//	Bakzya-aBakzyam anyAni ca-evam//
   YY_2.5a/.patnīyaty api mātaraṃ madavaśāt patnīṃ ca mātrīyati	YY_2.5a/.patnIyati api mAtaram mada-vaSAt patnIm ca mAtrIyati
   YY_2.5b/.śvabhrīyaty api mandiraṃ ślathaśilaṃ kūpaṃ ca gehīyati/	YY_2.5b/.SvaBrIyati api mandiram SlaTa-Silam kUpam ca gehIyati/
   YY_2.5c/.svalpaṃ vāry udadhīyatīśvaram apāṃ mohāt sthalīyaty api	YY_2.5c/.su-alpam vAri udaDIyati-ISvaram apAm mohAt sTalIyati api
   YY_2.5d/.mitrīyaty api pārthivaṃ kim aparaṃ kuryān na yan madyapaḥ//	YY_2.5d/.mitrIyati api pArTivam kim aparam kuryAt na yat madyapaH//
   YY_2.6ab/.bhūyo 'pi dīvyati jito jayalipsayaiva prāpnoti tac ca	YY_2.6ab/.BUyas api dIvyati jitaH jaya-lipsayA-eva prApnoti tat ca
   saviśeṣataraṃ kadācit/	sa-viSezataram kadAcid-/
   YY_2.6cd/.kṛtvā 'priyāṇi madataḥ parito 'py aṭanti[K.paritapya cānte]	YY_2.6cd/.kRtvA apriyANi madataH paritas api awanti[K.-paritapya ca-ante]
   bhūyaḥ[K.bhūpaḥ] pivet kim api doṣaviśeṣakāṃkṣī//	BUyas-[K.BUpaH] pivet kim api doza-viSeza-kAMkzI//
   YY_2.7ab/.abhyāgamotsavabhiṣagvacanopadeśaiḥ kāmaṃ pibed amatilopakṛd	YY_2.7ab/.aByAgama-utsava-Bizaj-vacana-upadeSEH kAmam pibet amatila-upakRt-
   aprakāśam[K.āprakāmam]/	aprakASa-m[K.A-prakAmam]/
   YY_2.7cd/.dyūtaṃ vinendriyasukhāni hitāni yuktyā vijñasya[K.śūnyaṃ hi]	YY_2.7cd/.-dyUtam vinA-indriya-suKAni hitAni yuktyA vijQasya[K.-SUnyam hi]
   jīvitaphalaṃ viṣayair vinā kim//	jIvita-Palam vizayEH vinA kim//
   YY_2.8a/.śaucācāravivarjitaḥ śava iva tyaktaḥ suhṛdbāndhavair	YY_2.8a/.SOca-AcAra-vivarjitaH SavaH iva tyaktaH suhRd-bAnDavEH-
   YY_2.8b/.niśśaṅko nirapatrapo gataghṛṇaḥ kṛcchrād avāptāśanaḥ/	YY_2.8b/.niSSaFkaH nirapatrapaH gata-GRNaH kRcCrAt avApta-aSanaH/
   YY_2.8c/.bandhur nāsya nibandhanaṃ na śapatho lokadvayaṃ nekṣyate	YY_2.8c/.banDuH na-asya nibanDanam na SapaTaH loka-dvayam na-Ikzyate
   YY_2.8d/.māyāvī kulapāṃśalaś ca kitavo doṣākaro[K.doṣārṇavo] niḥsukhaḥ//	YY_2.8d/.mAyAvI kulapAMSalaH ca kitavaH doza-akaro[K.doza-arNavo] niHsuKaH//
   YY_2.9ab/.daivajñamantrisuhṛdāptavacāṃsi rājā yo na ''driyen	YY_2.9ab/.dEvajQa-mantri-suhRd-Apta-vacAMsi rAjA yaH na aadriyet-
   nijaviceṣṭitaduṣṭabuddhiḥ[K.driyet svamaticeṣṭitaduṣṭabuddhiḥ]/	nija-vicezwita-duzwa-budDiH-[K.driyet svam-ati-cezwita-duzwa-budDiH]/
   YY_2.9cd/.so 'gremareṇa[K.sannāyakena] rahito 'ndha iva 'cireṇa hāsyatvam	YY_2.9cd/.saH agremareNa[K.-sannAyakena] rahitaH anDaH iva acireNa hAsya-tvam
   eti patito viṣaye ripūṇām//	eti patitaH vizaye ripUNAm//
   YY_2.10a/.medhāvī matimān adīnavacano dakṣaḥ kṣamāvān ṛjur	YY_2.10a/.-meDAvI matimAn adIna-vacanaH dakzaH kzamAvAn RjuH-
   YY_2.10b/.dharmātmāpy[K.dharmātmā tv] anasūyako laghukaraḥ ṣāḍguṇyavic	YY_2.10b/.Darma-AtmA-api-[K.Darma-AtmA tv] anasUyakaH laGukaraH zAxguNya-vic
   chaktimān/	CaktimAn/
   YY_2.10c/.utsāhī pararandhravit kṛtadhṛtir vṛddhikṣayasthānavit	YY_2.10c/.utsAhI para-ranDra-vid kRta-DRtiH vRdDi-kzaya-sTAna-vid-
   YY_2.10d/.śūro na vyasanī smaraty upakṛtiṃ[K.upakṛtaṃ] vṛddhopasevī ca	YY_2.10d/.-SUraH na vyasanI smarati upakRti-M[K.upakRtaM] vRdDa-upasevI ca
   yaḥ//	yaH//
   YY_2.11ab/.parīkṣyakārī na vikasthanaś[K.vikatthanaś] ca dṛḍhapatijño	YY_2.11ab/.parIkzya-kArI na vikasTana-S[K.-vikatTa-naS] ca dRXa-pati-jQaH-
   'tidṛḍhapahārī/	ati-dRXa-pahArI/
   YY_2.11cd/.jitendriyaḥ syāj jitakopalobhanidrālasasthānaparigrahaś ca//	YY_2.11cd/.jita-indriyaH syAt jita-kopa-loBa-nidrA-alasa-sTAna-parigrahaH ca//
   YY_2.12ab/.tyāgī vinītaḥ priyadarśanaś ca vyapetamohaḥ pratipattiyuktaḥ/	YY_2.12ab/.tyAgI vinItaH priyadarSanaH ca vyapeta-mohaH pratipatti-yuktaH/
   YY_2.12cd/.deśasya kālasya ca bhāgavijñaḥ[K.bhāgavid yaḥ] svayaṃ ca yaḥ	YY_2.12cd/.-deSasya kAlasya ca BAga-vijQaH-[K.-BAga-vid yaH] svayam ca yaH
   syād vyavahāradarśī//	syAt vyavahAra-darSI//
   YY_2.13ab/.śabdārthavin nyāyāpaṭuḥ pragalbhaḥ saṃgrāmavidyākuśalo	YY_2.13ab/.-Sabda-arTa-vid nyAya-apawuH pragalBaH saMgrAma-vidyA-kuSalaH-
   'bhijātaḥ/	aBijAtaH/
   YY_2.13cd/.smitābhibhāṣī mitasatyavaktā daivānvito yasya[K.yaś ca] sa	YY_2.13cd/.-smita-aBiBAzI mita-satya-vaktA dEva-anvitaH yasya[K.yaH ca] sa
   dhāma lakṣmyāḥ//	DAma lakzmyAH//
   YY_2.14ab/.guṇaiḥ samastair api saṃprayuktā kanyeva yātrā viguṇāya dattā/	YY_2.14ab/.guNEH samastEH api saMprayuktA kanyA-iva yAtrA viguNAya dattA/
   YY_2.14cd/.karoty akīrtiṃ sukhavittahāniṃ[K.sukhavittahīnāṃ]	YY_2.14cd/.karoti akIrtim suKa-vitta-hAniM[K.-suKa-vitta-hInAM]
   yātrāntarajñānajaḍasya[K.pātrāntarajñānajaḍasya] dātuḥ/	yAtrA-antara-jQAna-jaxa-sya[K.-pAtra-antara-jQAna-jaxasya] dAtuH/
   YY_2.15ab/.guṇānvitasyaiva guṇaṃ karoti yātrā śubharkṣagrahalagnayogāt/	YY_2.15ab/.guNa-anvitasya-eva guNam karoti yAtrA SuBa-Rkza-graha-lagna-yogAt/
   YY_2.15cd/.vyarthā sadoṣasya guṇānvitā 'pi vīṇeva śabdāśrayavarjitasya//	YY_2.15cd/.vyarTA sa-dozasya guNa-anvitAH api vINA-iva Sabda-ASraya-varjitasya//
   YY_2.16ab/.yātrā viśuddhā 'pi samaṃ pravṛttā pātrānurūpāṇi phalāni dhatte/	YY_2.16ab/.yAtrA viSudDA api samam pravRttA pAtra-anurUpANi PalAni Datte/
   YY_2.16cd/.jagaty udīrṇā 'pi hi kauśikasya bhā bhānavī naiva tamaḥ	YY_2.16cd/.-jagati udIrNA api hi kOSikasya BAs BAnavI na-eva tamaH
   pramārṣṭi//	pramArzwi//
   YY_2.17ab/.vicintya kāryāṇi niśāvasāne dviṣatsuhṛnmaṇḍalasaṃśritānām/	YY_2.17ab/.vicintya kAryANi niSA-avasAne dvizat-suhRd-maNxala-saMSritAnAm-/
   YY_2.17cd/.balārthadeśeṣu niyojitānāṃ samāśritānāṃ ca kṛtākṛtāni//	YY_2.17cd/.-bala-arTa-deSezu niyojitAnAm samASritAnAm ca kRta-akRtAni//
   YY_2.18ab/.anādśritaḥ khyātaguṇaḥ paro 'pi śūro 'thavā sādhujanaḥ	YY_2.18ab/.anAt-SritaH KyAta-guNaH paraH api SUraH aTavA sADu-janaH
   praśastaḥ/	praSastaH/
   YY_2.18cd/.sampūjanīyo janasaṃprahārtham mameti deśopagato vicintya//	YY_2.18cd/.-sampUjanIyaH jana-saMpraha-arTam mama-iti deSa-upagataH vicintya//
