   Abhinanda: Kādambarīkathāsāra	ABinanda: KAt-ambarI-kaTA-sAra
   vahann ahiṃsram ākāraṃ caṇḍālasthaviro 'viśat // AKad_1.26 //	vahan ahiMsram AkAram caNxAla-sTaviraH aviSat // AKat-_1.26 //
   praviśantīṃ tu tāṃ dṛṣṭvā kanyām adbhutadarśanām /	praviSantIm tu tAm dRzwvA kanyAm adButa-darSanAm /
   paraṃ vyasmayata kṣmāpaḥ kṣaṇaṃ caivam acintayat // AKad_1.27 //	param vyasmayata kzmApaH kzaNam ca-evam acintayat // AKat-_1.27 //
   idaṃ rūpam iyaṃ kāntir ime lāvaṇyaśīkarāḥ /	idam rUpam iyam kAntiH ime lAvaNya-SIkarAH /
   martyatām api na prāhurmātaṅgatve tu kā kathā // AKad_1.28 //	martyatAm api na prAhuH-mAtaFga-tve tu kA kaTA // AKat-_1.28 //
   tat satyam eva paśyāmi nūnaṃ mātaṅgamāyayā /	tat satyam eva paSyAmi nUnam mAtaFga-mAyayA /
   channeyaṃ devatā kācin martyalokam upāgatā // AKad_1.29 //	Canneyam devatA kAcid martya-lokam upAgatA // AKat-_1.29 //
   ityādi cintayantaṃ sā pragalbhavaniteva tam /	ityAdi cintayantam sA pragalBa-vanitA-iva tam /
   praṇanāma mahīpālam anākulavilokinī // AKad_1.30 //	praNanAma mahIpAlam anAkula-vilokinI // AKat-_1.30 //
   tataḥ kṣititalanyastajānuḥ praṇatakandharaḥ /	tatas kziti-tala-nyasta-jAnuH praNata-kanDaraH /
   gāḍhobhayakarāsaktapañjaraḥ sthaviro 'bravīt // AKad_31 //	gAXa-uBaya-kara-Asakta-paQjaraH sTaviraH abravIt // AKat-_31 //
   vaiśampāyananāmāyaṃ ratnam atyadbhutaṃ śukaḥ /	vESampAyana-nAmA-ayam ratnam atyadButam SukaH /
   ratnānāṃ cāspadaṃ devo dugdhodadhir ivāparaḥ // AKad_1.32 //	ratnAnAm ca-Aspadam devaH dugDa-udaDiH iva-aparaH // AKat-_1.32 //
   ity ādareṇa naḥ svāmiduhitrāyam upāhṛtaḥ /	iti AdareNa naH svAmi-duhitrA-ayam upAhRtaH /
   prasādaḥ kriyatām asyā vihagaḥ parigṛhyatām // AKad_1.33 //	prasAdaH kriyatAm asyAH vihagaH parigRhyatAm // AKat-_1.33 //
   ity uktvā so 'grato rājñaḥ pañjaraṃ maṇikuṭṭime /	iti uktvA saH agratas rAjQaH paQjaram maNi-kuwwime /
   vinidhāya praṇamyainaṃ sapraśrayam apāsarat // AKad_1.34 //	viniDAya praNamya-enam sa-praSrayam apAsarat // AKat-_1.34 //
   iṅgitajñā pratīhārī vivṛtadvārasampuṭam /	iFgita-jQA pratIhArI vivRta-dvAra-sampuwam /
   akarot pañjaraṃ tasmān niryayau ca vihaṅgamaḥ // AKad_1.35 //	akarot paQjaram tasmAt niryayO ca vihaFgamaH // AKat-_1.35 //
   utkṣipya dakṣiṇaṃ pādaṃ jayaśabdam udīrya saḥ /	utkzipya dakziNam pAdam jaya-Sabdam udIrya saH /
   prayuktavedamantrāśīr imām āryām athāpaṭhat // AKad_1.36 //	prayukta-veda-mantra-ASIH imAm AryAm aTa-apaWat // AKat-_1.36 //
   stanayugamaśrusnātaṃ samīpataravarti hṛdayaśokāgneḥ /	stana-yugam-aSru-snAtam samIpatara-varti hRdaya-Soka-agneH /
   carati vimuktāhāraṃ vratam iva bhavato ripustrīṇām // AKad_1.37 //	carati vimukta-AhAram vratam iva BavataH ripu-strINAm // AKat-_1.37 //
   tām ākarṇya mahīpālo vismayotphullalocanaḥ /	tAm AkarNya mahIpAlaH vismaya-utPulla-locanaH /
   kumārapālanāmānaṃ pradhānāmātyam abravīt // AKad_1.38 //	kumArapAla-nAmAnam praDAna-amAtyam abravIt // AKat-_1.38 //
   dṛṣṭaṃ bhavadbhir āścaryam īdṛśaṃ śrutam eva vā /	dRzwam BavadBiH AScaryam IdRSam Srutam eva vA /
   tiryaktve 'tiśayaḥ ko 'yaṃ yo manuṣyeṣu durlabhaḥ // AKad_1.39 //	tiryaktve atiSayaH kaH ayam yaH manuzyezu durlaBaH // AKat-_1.39 //
   śrutādhyayanasaṃskāro mātaṅgajanasaṃgatiḥ /	Sruta-aDyayana-saMskAraH mAtaFga-jana-saMgatiH /
   mātaṅgeṣu ca kanyeyam ity āścaryaparamparā // AKad_1.40 //	mAtaFgezu ca kanyA-iyam iti AScarya-paramparA // AKat-_1.40 //
   amātyas tv abhyadhād deva pūrvasaṃskārakāritāḥ /	amAtyaH tu aByaDAt deva pUrva-saMskAra-kAritAH /
   bhavanty atiśayāḥ prāyaḥ prāṇināṃ ko 'tra vismayaḥ // AKad_1.41 //	Bavanti atiSayAH prAyas prANinAm kaH atra vismayaH // AKat-_1.41 //
   etāni tāni liṅgāni paralokānumāṃ prati /	etAni tAni liFgAni para-loka-anumAm prati /
   tārkikair upapādyante lokāyatanirākṛtau // AKad_1.42 //	tArkikEH upapAdyante lokAyata-nirAkRtO // AKat-_1.42 //
   vicitrā vedhasaḥ sṛṣṭirvicitrā karmavāsanā /	vicitrA veDasaH sRzwiH-vicitrA karma-vAsanA /
   vicitras tadvipākaś ca vicitraḥ kālaparyayaḥ // AKad_1.43 //	vicitraH tad-vipAkaH ca vicitraH kAla-paryayaH // AKat-_1.43 //
   ityādiśukasambandhikathāvicchedakāraṇam /	iti-Adi-Suka-sambanDi-kaTA-vicCeda-kAraNam /
   udabhūt tāragambhīro madhyāhṇapaṭahadhvaniḥ // AKad_1.44 //	udaBUt tAra-gamBIraH maDyAhNa-pawaha-DvaniH // AKat-_1.44 //
   bahiḥ prakalpyatām asyāḥ sukhāyāvasathādikam /	bahis prakalpyatAm asyAH suKAya-AvasaTa-Adikam /
   ayaṃ cābhyantaraṃ patrarathabhūpaḥ praveśyatām // AKad_1.45 //	ayam ca-aByantaram patraraTa-BUpaH praveSyatAm // AKat-_1.45 //
   ity ādiśya pratīhārīṃ sabhām aujjhan mahīpatiḥ /	iti AdiSya pratIhArIm saBAm OjJan mahIpatiH /
   visasarja ca rājanyacakraṃ sevārtham āgatam // AKad_1.46 //	visasarja ca rAjanya-cakram sevA-arTam Agatam // AKat-_1.46 //
   tataḥ kṛtālpavyāyāmaḥ snātaḥ pūjitadaivataḥ /	tatas kRta-alpa-vyAyAmaH snAtaH pUjita-dEvataH /
   hutāgniḥ śrutaviprāśīr bhuktvā śayyāgṛhaṃ yayau // AKad_1.47 //	huta-agniH Sruta-vipra-ASIH BuktvA SayyA-gRham yayO // AKat-_1.47 //
   tatra paryaṅkam āruhya dhyātvaiva kim api kṣaṇam /	tatra paryaFkam Aruhya DyAtvA-eva kim api kzaNam /
   tam antaḥpuraviśrāntaṃ śukam ānāyayat punaḥ // AKad_1.48 //	tam antaHpura-viSrAntam Sukam AnAyayat punar // AKat-_1.48 //
   taṃ ca kañcukinānītamādau pṛṣṭvā sukhāsikām /	tam ca kaQcukinA-AnItam-AdO pRzwvA suKAsikAm /
   papraccha kautukākṣiptas tadvṛttāntam anantaram // AKad_1.49 //	papracCa kOtuka-AkziptaH tad-vRttAntam anantaram // AKat-_1.49 //
   vaiśampāyana ko nu tvaṃ kva jātaḥ kvoṣitaś ciram /	vESampAyana kaH nu tvam kva jAtaH kva-uzitaH ciram /
   kutastyam idam īdṛk te kalāśāstrādikauśalam // AKad_1.50 //	kutastyam idam IdRS te kalA-SAstra-Adi-kOSalam // AKat-_1.50 //
   manye jātismaraḥ ko 'pi bhavān bhūmim imāṃ gataḥ /	manye jAtismaraH kaH api BavAn BUmim imAm gataH /
   na hy asty atiśayaprāptir iyatī pakṣijātiṣu // AKad_1.51 //	na hi asti atiSaya-prAptiH iyatI pakzi-jAtizu // AKat-_1.51 //
   kena vā bhavato nāma kṛtaṃ viprajanocitam /	kena vA BavataH nAma kRtam vipra-jana-ucitam /
   īdṛśānyabhidhānāni kuto 'ntyajanaveśmasu // AKad_1.52 //	IdRSAni-aBiDAnAni kutas antya-jana-veSmasu // AKat-_1.52 //
   kathaṃ caṇḍālasamparka iha vā katham āgamaḥ /	kaTam caNxAla-samparkaH iha vA kaTam AgamaH /
   iti kārtsnyena vṛttāntam ātmano vaktum arhasi // AKad_1.53 //	iti kArtsnyena vRttAntam AtmanaH vaktum arhasi // AKat-_1.53 //
   iti pṛṣṭaḥ kṣitīśena bahumānapuraḥsaram /	iti pRzwaH kzitISena bahu-mAna-puraHsaram /
   kṣaṇaṃ buddhyānusaṃdhāya śuko vaktuṃ pracakrame // AKad_1.54 //	kzaNam budDyA-anusaMDAya SukaH vaktum pracakrame // AKat-_1.54 //
   deva vindhyāṭavī tāvattava śrutipathaṃ gatā /	deva vinDya-awavI tAvat-tava Sruti-paTam gatAH /
   pūrvāparapayorāśivelāsaṃsparśaśālinī // AKad_1.55 //	pUrva-apara-payaH-rASi-velA-saMsparSa-SAlinI // AKat-_1.55 //
   yadekadeśe kaṇḍūlagaṇḍebhadalitadrume /	yat-eka-deSe kaNxUla-gaNxa-iBa-dalita-drume /
   uṣitau daṇḍakāraṇye sasītau rāmalakṣmaṇau // AKad_1.56 //	uzitO daNxaka-araNye sasItO rAma-lakzmaNO // AKat-_1.56 //
   *yugmam*	*yugmam*
   yatrāgastyamuner āsīd āśramaḥ śamināṃ mataḥ /	yatra-agastya-muneH AsIt ASramaH SaminAm mataH /
   lopāmudrākarākṣiptajalasaṃvardhitadrumaḥ // AKad_1.57 //	lopAmudrA-kara-Akzipta-jala-saMvarDita-drumaH // AKat-_1.57 //
   tasyopakaṇṭhe pampākhyam asti puṇyajalaṃ saraḥ /	tasya-upakaNWe pampa-AKyam asti puNya-jalam saraH /
   sītākaratalollūnaśravaṇābharaṇotpalam // AKad_1.58 //	sItA-kara-tala-ullUna-SravaNa-ABaraNa-utpalam // AKat-_1.58 //
   tasyāsti paścime tīre jīrṇaḥ śālmalipādapaḥ /	tasya-asti paScime tIre jIrNaH SAlmali-pAdapaH /
   ārohapariṇāhābhyāṃ vyāptavyomadigantaraḥ // AKad_1.59 //	Aroha-pariNAhAByAm vyApta-vyoma-digantaraH // AKat-_1.59 //
   tasmin kṛtakulāyāni vītabhītīni durgame /	tasmin kRta-kulAyAni vIta-BItIni durgame /
   vihaṅgamasahasrāṇi nivasanti nirantaram // AKad_1.60 //	vihaFgama-sahasrANi nivasanti nirantaram // AKat-_1.60 //
   divā tāny abhinirvartya prāṇayātrām itas tataḥ /	divA tAni aBinirvartya prANa-yAtrAm itas tatas /
   tatrāgatya svanīḍeṣu sukhaṃ rātriṣu śerate // AKad_1.61 //	tatra-Agatya sva-nIxezu suKam rAtrizu Serate // AKat-_1.61 //
   tatraiva baddhavasatī abhūtāṃ pitarau mama /	tatra-eva badDa-vasatI aBUtAm pitarO mama /
   jāto 'ham ekas tanayas tayor vayasi paścime // AKad_1.62 //	jAtaH aham ekaH tanayaH tayoH vayasi paScime // AKat-_1.62 //
   udvoḍhumasamarthā sā tīvrāṃ prasavavedanām /	udvoXum-asamarTA sA tIvrAm prasava-vedanAm /
   tayaiva pañcatāṃ nītā jananī me durātmanaḥ // AKad_1.63 //	tayA-eva paQcatAm nItA jananI me durAtmanaH // AKat-_1.63 //
   jāyāviyogadagdho 'pi tātaḥ putraiṣaṇāturaḥ /	jAyA-viyoga-dagDaH api tAtaH putra-ezaNa-AturaH /
   śokamutsṛjya matprāṇapoṣaṇe yatnam agrahīt // AKad_1.64 //	Sokam-utsRjya mad-prANa-pozaNe yatnam agrahIt // AKat-_1.64 //
   na śaśāka kvacid gantum ātmanaḥ prāṇavṛttaye /	na SaSAka kvacid gantum AtmanaH prANa-vRttaye /
   māṃ vakṣasi nidhāyāsta nīḍa eva divāniśam // AKad_1.65 //	mAm vakzasi niDAya-asta nIxaH eva divAniSam // AKat-_1.65 //
   anyapatrarathānītabhuktojjhitaphalādinā /	anya-patra-raTa-AnIta-Bukta-ujJita-Pala-AdinA /
   madāpyāyanaśiṣṭena so 'karod vṛttim ātmanaḥ // AKad_1.66 //	mad-ApyAyana-Sizwena saH akarot vRttim AtmanaH // AKat-_1.66 //
   atikrāmati kāle 'tha kiñcidudbhinnapakṣatau /	atikrAmati kAle aTa kiQcid-udBinna-pakzatO /
   tātavakṣaḥsthalasthe 'pi mayy uḍḍayanalālase // AKad_1.67 //	tAta-vakzaH-sTala-sTe api mayi uxxayana-lAlase // AKat-_1.67 //
   akasmād eva sambhrāntamṛgapakṣikulaśrutaḥ /	akasmAt eva samBrAnta-mRga-pakzi-kula-SrutaH /
   abhūt kalakalas tasminn araṇye yamadundubhiḥ // AKad_1.68 //	aBUt kalakalaH tasmin araNye yama-dunduBiH // AKat-_1.68 //
   yugmam	yugmam
   tatas tātorasaḥ kiñcid unnamayya śirodharām /	tatas tAta-urasaH kiQcid unnamayya SiroDarAm /
   kutūhalavaśāc cakṣur dikṣu nikṣiptavānaham // AKad_1.69 //	kutUhala-vaSAt cakzuH dikzu nikziptavAn-aham // AKat-_1.69 //
   athāpaśyam asaṃkhyātakirātaparivāritam /	aTa-apaSyam asaMKyAta-kirAta-parivAritam /
   vane śabarasenānyam āyāntaṃ mṛgayārasāt // AKad_1.70 //	vane Sabarasena-anyam AyAntam mRgayA-rasAt // AKat-_1.70 //
   tato mṛtam ivātmānam utkhātam iva śālmalim /	tatas mRtam iva-AtmAnam utKAtam iva SAlmalim /
   parivṛttam ivāraṇyaṃ bhayenāham acintayam // AKad_1.71 //	parivRttam iva-araNyam Bayena-aham acintayam // AKat-_1.71 //
   hataprāṇisahasrāṅgasravadrudhiracarcitaiḥ /	hata-prANi-sahasra-aFga-sravat-ruDira-carcitEH /
   murhūrtād eva tadvyādhair athāraṇyam apūryata // AKad_1.72 //	murhUrtAt eva tad-vyADEH aTa-araNyam apUryate // AKat-_1.72 //
   senāpatiḥ sa nistriṃśo mṛgayājanitaśramaḥ /	senApatiH sa nistriMSaH mRgayA-janita-SramaH /
   niṣasāda tataḥ pampāsarasas tīraśādvale // AKad_1.73 //	nizasAda tatas pampAsarasaH tIra-SAdvale // AKat-_1.73 //
   kṣaṇaṃ viśramya pītvāpaḥ prāśya bālamṛṇālikāḥ /	kzaNam viSramya pItvA-apaH prASya bAla-mRNAlikAH /
   pulindaiḥ saha senānīḥ sa jagāma yathāgatam // AKad_1.74 //	pulindEH saha senAnIH sa jagAma yaTAgatam // AKat-_1.74 //
   eko jaratpulindas tu pāpas tatra vyalambata /	ekaH jarat-pulindaH tu pApaH tatra vyalambata /
   prāṃśur bhayaṅkarākāraḥ kṛtāntasyeva kiṅkaraḥ // AKad_1.75 //	prAMSuH BayaFkara-AkAraH kRtAntasya-iva kiFkaraH // AKat-_1.75 //
   ajātapiśitaprāptir anubhūtavṛthāśramaḥ /	ajAta-piSita-prAptiH anuBUta-vRTa-ASramaH /
   yamadūtīm iva dṛśaṃ sa dadau tatra śālmalau // AKad_1.76 //	yamadUtIm iva dRSam sa dadO tatra SAlmalO // AKat-_1.76 //
   sa durārohatāṃ tasya jānann api mahātaroḥ /	sa durArohatAm tasya jAnan api mahA-taroH /
   jātānadhyavasāyo 'pi yatnam ārohaṇe 'karot // AKad_1.77 //	jAta-an-aDyavasAyaH api yatnam ArohaNe akarot // AKat-_1.77 //
   athāham asamatrāsaviparyāsitamānasaḥ /	aTa-aham asama-trAsa-viparyAsita-mAnasaH /
   aviśaṃ pitur utsaṅgaṃ tatpakṣāvṛtavigrahaḥ // AKad_1.78 //	aviSam pituH utsaFgam tad-pakza-AvRta-vigrahaH // AKat-_1.78 //
   sa tu pāpas tam āruhya taruṃ nīḍanivāsinaḥ /	sa tu pApaH tam Aruhya tarum nIxa-nivAsinaH /
   hatvā hatvā yathāśakti śukān bhūmāv apātayat // AKad_1.79 //	hatvA hatvA yaTASakti SukAn BUmO apAtayat // AKat-_1.79 //
   krameṇa sa durācāras tātasyāpi śirodharam /	krameNa sa durAcAraH tAtasya-api SiroDaram /
   babhañja taṃ ca cikṣepa kṣitau vigatajīvitam // AKad_1.80 //	baBaQja tam ca cikzepa kzitO vigata-jIvitam // AKat-_1.80 //
   tadā mama na tacchoko nānyat kiñcic ca cetasi /	tadA mama na tad-SokaH na-anyat kiQcid ca cetasi /
   kevalaṃ sahajātena bhayenaivāsmi viplutaḥ // AKad_1.81 //	kevalam sahajAtena Bayena-eva-asmi viplutaH // AKat-_1.81 //
   tato 'haṃ pitur utsaṅgādvinirgatya sasādhvasam /	tatas aham pituH utsaFgAt-vinirgatya sa-sADvasam /
   antaraṃ taruśīrṇānāṃ parṇānāṃ tūrṇamāviśam // AKad_1.82 //	antaram taru-SIrNAnAm parNAnAm tUrNam-AviSam // AKat-_1.82 //
   pāpaḥ so 'py avaruhyātha śālmaler mūlavartinaḥ /	pApaH saH api avaruhya-aTa SAlmaleH mUlavartinaH /
   śukān gatāsūn ādāya vyādhān anusarann agāt // AKad_1.83 //	SukAn gatAsUn AdAya vyADAn anusaran agAt // AKat-_1.83 //
   ahaṃ vidhiniyogāt tu tena duṣkṛtakāriṇā /	aham viDi-niyogAt tu tena duzkRta-kAriNA /
   jīrṇaparṇasavarṇatvāttadānīṃ nāvadhāritaḥ // AKad_1.84 //	jIrNa-parNa-savarNa-tvAt-tadAnIm na-avaDAritaH // AKat-_1.84 //
   tato dūram atikrānte tasmin dāruṇakarmaṇi /	tatas dUram atikrAnte tasmin dAruNa-karmaNi /
   saṃjātajīvitāśaṃ māṃ pipāsā paryabādhata // AKad_1.85 //	saMjAta-jIvitASam mAm pipAsA paryabAData // AKat-_1.85 //
   anuḍḍayanasāmarthyāt padbhyām eva yathātathā /	anuxxayana-sAmarTyAt padByAm eva yaTA-taTA /
   pampāpulinaparyantaṃ gantum aicchaṃ pipāsitaḥ // AKad_1.86 //	pampA-pulina-paryantam gantum EcCam pipAsitaH // AKat-_1.86 //
   tathāpy atinirutsāhaḥ patan muhur itas tataḥ /	taTA-api ati-nirutsAhaH patan muhur itas tatas /
   tam eva pāpakarmāṇaṃ śaṅkamānaḥ pade pade // AKad_1.87 //	tam eva pApa-karmANam SaFkamAnaH pade pade // AKat-_1.87 //
   ciraṃ hā tāta tāteti śocan kaṇṭhāntavartibhiḥ /	ciram hA tAta tAta-iti Socan kaNWa-anta-vartiBiH /
   prāṇair āyāsyamāno 'ham atiṣṭham atiniṣṭhuraḥ // AKad_1.88 //	prANEH AyAsyamAnaH aham atizWam atinizWuraH // AKat-_1.88 //
   *yugmam*	*yugmam*
   tasmād anatidūre 'sti sarasas tapasāṃ nidheḥ /	tasmAt anatidUre asti sarasaH tapasAm niDeH /
   nirdhūtakleśajālasya jābāler āśramo muneḥ // AKad_1.89 //	nirDUta-kleSa-jAlasya jAbAleH ASramaH muneH // AKat-_1.89 //
   tatas tasmin sutas tasya sarasi snātum āgataḥ /	tatas tasmin sutaH tasya sarasi snAtum AgataH /
   hārītanāmā māṃ tatra tadavasthaṃ vyalokayat // AKad_1.90 //	hArIta-nAmA mAm tatra tad-avasTam vyalokayat // AKat-_1.90 //
   kaṣṭaṃ kenāpi pāpena pātitaḥ śukaśāvakaḥ /	kazwam kena-api pApena pAtitaH SukaSAvakaH /
   kulāyātklāmyatītyuktvā kṛpayā māṃ kare 'grahīt // AKad_1.91 //	kulAyAt-klAmyati-iti-uktvA kRpayA mAm kare agrahIt // AKat-_1.91 //
   apāyayat payobindūn marutāśvāsayan muhuḥ /	apAyayat payaH-bindUn marutA-ASvAsayan muhur /
   kṛtāhnikaś ca kāruṇyād anayat pitur āśramam // AKad_1.92 //	kRta-AhnikaH ca kAruNyAt anayat pituH ASramam // AKat-_1.92 //
   samāśvastasya hārītatātaṃ dṛṣṭyaiva paśyataḥ /	samASvastasya hArIta-tAtam dRzwyA-eva paSyataH /
   padaṃ sthiram iva nyastaṃ hṛdi me jīvitāśayā // AKad_1.93 //	padam sTiram iva nyastam hRdi me jIvita-ASayAH // AKat-_1.93 //
   nīḍacyuto 'yamānīto mayā vihagapotakaḥ /	nIxa-cyutaH ayam-AnItaH mayA vihaga-potakaH /
