   oṃ tatsadbrahmaṇai namaḥ	om tad-sat-brahmaNE namaH
   pratipādyā arthāḥ, ye ca nītiśāstroktā rājadharmāḥ, te sarve	pratipAdyAH arTAH, ye ca nIti-SAstra-uktAH rAja-DarmAH, te sarve
   'pyasminbhūpatāvupalabhyante |	api-asmin-BUpatO=-upalaByante |
   nītipakṣe - yuktiryogaḥ saṃdhiḥ |	nIti-pakze  yuktiH-yogaH saMDiH |
   sā ca yuktirmānavatī |	sA ca yuktiH-mAnavatI |
   mānaḥ satkāraścaturṣu sāmabhedadānadaṇḍeṣūpāyeṣu prathama upāyaḥ |	mAnaH satkAraH-caturzu sAma-Beda-dAna-daNxezu-upAyezu praTamaH upAyaH |
   vairiṇo buddhibhedo dvitīyaḥ |	vEriNaH budDi-BedaH dvitIyaH |
   etābhyāṃ dānadaṇḍāvapyupalakṣyete |	etAByAm dAna-daNxO=-api-upalakzyete |
   etaiścaturbhirūpāyairviśeṣeṇārthaṃ dhanaṃ bhajati prāpnoti |	etEH-caturBiH-UpAyEH-viSezeNa-arTam Danam Bajati prApnoti |
   etāvatā śatrukṣayaḥ kathitaḥ |	etAvatA Satru-kzayaH kaTitaH |
   avaśiṣṭena svarājyapratipālanaprakāraḥ pratipadyate --	avaSizwena sva-rAjya-pratipAlana-prakAraH pratipadyate --
   āpteṣvamātyaprabhṛtiṣu puruṣeṣu 'ayamīdṛśasya vyāpārasya yogyo nānyasya'	Aptezu-amAtya-praBRtizu puruzezu aayam-IdRSasya vyApArasya yogyaH na-anyasya-a
   ityevamūhāpohakuśalaḥ |	iti-evam-Uha-apoha-kuSalaH |
   'rājasabhāyāmete	arAja-saBAyAm-ete
   tapasvinaḥ pūjyā viprā dakṣiṇabhāga upaveśanīyāḥ, ete ca bhṛtyā vāmabhāge'	tapasvinaH pUjyAH viprAH dakziNa-BAgaH upaveSanIyAH, ete ca BRtyAH vAma-BAge-a
   iti kramaṃ karoti tattadgrāmeṣvadhikṛtānpuruṣānucitabuddhipradānena	iti kramam karoti tad-tad-grAmezu-aDikRtAn-puruza-anucita-budDi-pradAnena
   prayoktuṃ nipuṇaḥ |	prayoktum nipuNaH |
   samudraparyantatvenātibahalasya deśasyonnatiḥ samastavastusaṃpattiḥ |	samudra-paryanta-tvena-ati-bahalasya deSasya-unnatiH samasta-vastu-saMpattiH |
   sā ca pararāṣṭranivāsibhiḥ sakalapraṇibhiḥ ślāghyate |	sA ca para-rAzwra-nivAsiBiH sakala-praNiBiH SlAGyate |
   'idaṃ kartavyam, idaṃ na' ityevaṃ kāryākāryaviṣayā sphūrtistasyāmadhikāro	aidam kartavyam, idam na-a iti-evam kArya-akArya-vizayA sPUrtiH-tasyAm-aDikAraH-
   'sya rājño nityaḥ sarvatrāpratihatabuddhitvāt |	asya rAjQaH nityaH sarvatra-apratihata-budDi-tvAt |
   gato nivāritaḥ satāṃ tapasvināmābādho vighno yenāsau gatasadābādhaḥ |	gataH nivAritaH satAm tapasvi-nAm-AbADaH viGnaH yena-asO gata-sadAbADaH |
   deśāntarādhipatīnāṃ rājñāmetadadhīnatvenāparapreṣyatvādayaṃ svatantraḥ |	deSa-antara-aDipatInAm rAjQAm-etat-aDIna-tvena-apara-prezya-tvAt-ayam svatantraH |
   jagadīśvarasya vidyātīrthamunerbhogamūrtitvenāyamīśvaraḥ |	jagat-ISvarasya vidyA-tIrTa-muneH-Boga-mUrti-tvena-ayam-ISvaraH |
   yasya sabhāyāṃ goṣṭhīrūpaḥ prasaṅgo vedārthaviṣayatvena śrutimān |	yasya saBAyAm gozWI-rUpaH prasaFgaH veda-arTa-vizaya-tvena SrutimAn |
   yadīyaṃ caritamapi nirantaraṃ vedoktarahasyārthandhyānarūpatvena	yadi-iyam caritam-api nirantaram veda-ukta-rahasya-arTanDyAna-rUpa-tvena
   śrutimadbhavati so 'yaṃ śrutimatprasaṅgcaritaḥ |	Srutimat-Bavati saH ayam Srutimat-prasaFgcaritaH |
   evaṃvidho bukkabhūpatirantaḥ parameśvaradhyāne, bahiḥ prajāpālane ca	evaMviDaH bukka-BUpatiH-antar parameSvara-DyAne, bahis prajA-pAlane ca
   nityaṃ jāgarti |	nityam jAgarti |
   yathā nītiśāstrokteṣu sāmabhedādiṣvayaṃ kuśalastathā	yaTA nIti-SAstra-uktezu sAma-Beda-Adizu-ayam kuSalaH-taTA
   sarvajñāvatāratvāddharmaśāstrokteṣu pramāṇādiprasaṅgānteṣvadhyāyārtheṣu	sarvajQa-avatAra-tvAt-Darma-SAstra-uktezu pramANa-Adi-prasaFga-antezu-aDyAya-arTezu
   kuśalaḥ |	kuSalaH |
   te cādhyāyārthā upariṣṭātpradarśyante || MJaiNyC_1,1.2 ||	te ca-aDyAya-arTAH uparizwAt-pradarSyante || MJENyC_1,1.2 ||
   START MJaiNy 1,1.3	START MJENi 1,1.3
   rājñaḥ sarvajñatvaṃ sopapattikaṃ prakaṭayati --	rAjQaH sarvajQa-tvam sa-upapattikam prakawayati --
   yadbrahma pratipādyate praguṇayattatpañcamūrtiprathāṃ tatrāyaṃ	yat-brahma pratipAdyate praguNayat-tat-paQcamUrti-praTAm tatra-ayam
   sthitimūrtimākalayati śrī bukkaṇakṣmāpatiḥ /	sTiti-mUrtim-Akalayati SrI buk-kaNa-kzmApatiH /
   vidyātīrthamunistadātmani lasanmūrtistvanugrāhikā tenāsya	vidyA-tIrTa-muniH-tad-Atmani lasat-mUrtiH-tu-anugrAhikA tena-asya
   svaguṇairakhaṇḍitapadaṃ sārva muddyotate // MJaiNy_1,1.3 //	sva-guNEH-aKaNxita-padam sArva muddyotate // MJENi-_1,1.3 //
   sarvāsūpaniṣatsu pratīyamānaṃ yatparaṃ brahma tadeva śaivāgameṣu	sarvAsu-upanizatsu pratIyamAnam yat-param brahma tat-eva SEva-Agamezu
   sṛṣṭisthitisaṃhāranirodhanānugrahalakṣaṇapañcakṛtya	sRzwi-sTiti-saMhAra-niroDana-anugraha-lakzaNa-paQcakRtya
   siddhyarthamīśānatatpuruṣāghoravāmadevasadyojātalakṣaṇānāṃ pañcānāṃ	sidDi-arTam-ISAna-tatpuruza-aGora-vAmadeva-sadyojAta-lakzaNAnAm paQcAnAm
   mūrtīnāṃ prathāṃ prasiddhiṃ vistāraṃ vā praguṇayati prakaṭī karotīti	mUrtInAm praTAm prasidDim vistAram vA praguNayati prakawI karoti-iti
   pratipādyate |	pratipAdyate |
   tatra tāsu mūrtiṣvayaṃ bhūpālaḥ sthitimūrtiṃ dhatte |	tatra tAsu mUrtizu-ayam BUpAlaH sTiti-mUrtim Datte |
   tasyā mūrterātmani lasanvidyātīrthamuniḥ kṛtsnasya jagato 'nugrāhikā	tasyAH mUrteH-Atmani lasan-vidyA-tIrTa-muniH kRtsnasya jagataH anugrAhikA
   mūrtirityucyate |	mUrtiH-iti-ucyate |
   yasmādayaṃ bhūpo vedāntoktaṃ paraṃ brahma, yasmāccā'gamoktā maheśvarasya	yasmAt-ayam BUpaH vedAnta-uktam param brahma, yasmAt-cA-agama-uktA maheSvarasya
   sthitimūrtiḥ, yasmācca śrīvidyātīrthamunistadātmani saṃnidhāya prakāśate,	sTiti-mUrtiH, yasmAt-ca SrIvidyA-tIrTa-muniH-tad-Atmani saMniDAya prakASate,
   tasmātsarvajñatvamasya rājña utkarṣeṇā'vidva- daṅganāgopālamavivādena	tasmAt-sarvajQa-tvam-asya rAjQaH utkarzeNA-avidva daFga-nAga-upAlam-avivAdena
   pratibhāsate || MJaiNyC_1,1.3 ||	pratiBAsate || MJENyC_1,1.3 ||
   START MJaiNy 1,1.4	START MJENi 1,1.4
   uktaguṇopetasya rājño mantriṇaṃ nānāpurāṇaprasiddhadṛṣṭāntairhitakāritayā	ukta-guNa-upetasya rAjQaH mantriNam nAnA-purANa-prasidDa-dRzwAntEH-hita-kAritayA
   praśaṃsati --	praSaMsati --
   indrasyāṅgiraso nalasya sumatiḥ śaivyasya medhātithir dhaumyo	indrasya-aFgirasaH nalasya sumatiH SEvyasya meDAtiTiH DOmyaH-
   dharmasutasya vainyanṛpateḥ svaujā nimergautamiḥ /	Darmasutasya vEnya-nRpateH sva-ojAH nimeH-gOtamiH /
   pratyagdṛṣṭirarundhatīsahacaro rāmasya puṇyātmano yadvattasya	pratyak-dRzwiH-arunDatI-sahacaraH rAmasya puNya-AtmanaH yadvat-tasya
   vibhorabhūtkulagururmantrī tathā mādhavaḥ // MJaiNy_1,1.4 //	viBoH-aBUt-kula-guruH-mantrI taTA mADavaH // MJENi-_1,1.4 //
   START MJaiNy 1,1.5	START MJENi 1,1.5
   cikīrṣitagranthe śraddhātiśayamutpādayituṃ kartṛgauravaṃ prakaṭayati --	cikIrzita-granTe SradDA-atiSayam-utpAdayitum kartR-gOravam prakawayati --
   śrutismṛtisadācārapālako mādhavo budhaḥ /	Sruti-smRti-sat-AcAra-pAlakaH mADavaH buDaH /
   smārtaṃ vyākhyāya sarvārthaṃ dvijārthaṃ śrauta udyataḥ // MJaiNy_1,1.5 //	smArtam vyAKyAya sarva-arTam dvija-arTam SrOtaH udyataH // MJENI-_1,1.5 //
   sarvavarṇāśramānugrahāya purāṇasārapārāśarasmṛtivyākhyādinā smārto dharmaḥ	sarva-varNa-ASrama-anugrahAya purANa-sAra-pArASara-smRti-vyAKyAdinA smArtaH DarmaH
   pūrvevyākhyātaḥ |	pUrvevyAKyAtaH |
   idānīṃ dvijānāṃ viśeṣānu grahāya śrautadharmavyākhyānāya pravṛttaḥ ||	idAnIm dvijAnAm viSeza-anu grahAya SrOta-Darma-vyAKyAnAya pravRttaH ||
   MJaiNyC_1,1.5 ||	MJENyC_1,1.5 ||
   START MJaiNy 1,1.6	START MJENi 1,1.6
   granthamāripsurgurumūrtyupādhikaṃ	granTam-AripsuH-guru-mUrti-upADikam
   sakalavedaśāstrapravartakatvenātrociteṣṭadevatārūpaṃ parameśvaramādau	sakala-veda-SAstra-pravartaka-tvena-atra-ucita-izwa-devatA-rUpam parameSvaram-AdO
   namaskṛtya śrotṛpravṛttisiddhyarthaṃ viṣayaprayojane darśayaṃstaṃ granthaṃ	namaskRtya SrotR-pravRtti-sidDi-arTam vizaya-prayojane darSayan=-tam granTam
   pratijānīte --	pratijAnIte --
   praṇamya paramātmānaṃ śrīvidyātīrtharūpiṇam /	praNamya paramAtmAnam SrIvidyA-tIrTa-rUpiNam /
   jaiminīyanyāyamālā ślokaiḥ saṃgṛhyate sphuṭam // MJaiNy_1,1.6 //	jEminIya-nyAya-mAlA SlokEH saMgRhyate sPuwam // MJENi-_1,1.6 //
   jaiminīproktāni dharmanirṇāyakānyadhikaraṇāni nyāyāḥ |	jEminI-proktAni Darma-nirNAyakAni-aDikaraNAni nyAyAH |
   te 'sya granthasya viṣayaḥ |	te asya granTasya vizayaH |
   paṭhituṃ suśakaiḥ katipayaireva ślokaisteṣāṃ sphuṭībhāvaḥ prayojanam |	paWitum suSakEH katipayEH-eva SlokEH-tezAm sPuwIBAvaH prayojanam |
   nyāyamālā saṃgṛhyata iti granthanāmanirdeśapūrvikā pratijñā ||	nyAya-mAlA saMgRhyate iti granTa-nAma-nirdeSa-pUrvikA pratijQA ||
   MJaiNyC_1,1.6 ||	MJENyC_1,1.6 ||
   START MJaiNy 1,1.7-8	START MJENi 1,1.7-8
   kariṣyamāṇasya granthasya prakāraṃ darśayati --	karizyamANasya granTasya prakAram darSayati --
   eko viṣayasaṃdehapūrvapakṣāvabhāsakaḥ /	ekaH vizaya-saMdeha-pUrva-pakza-avaBAsakaH /
   śloko 'parastu siddhāntavādī prāyeṇa kathyate // MJaiNy_1,1.7 //	SlokaH aparaH-tu sidDAnta-vAdI prAyeNa kaTyate // MJENi-_1,1.7 //
   catvāro 'vayavā ekaślokenoktāḥ kvacitkvacit /	catvAraH avayavAH eka-Slokena-uktAH kvacid-kvacid /
   yatra kvāpi bahuślokairucyante 'to na vistaraḥ // MJaiNy_1,1.8 //	yatra kvApi bahu-SlokEH-ucyante atas na vistaraH // MJENi-_1,1.8 //
   ekaikasyādhikaraṇasya viṣayaḥ, saṃdehaḥ, saṃgatiḥ, pūrvapakṣaḥ,	ekEkasya-aDikaraNasya vizayaH, saMdehaH, saMgatiH, pUrva-pakzaH,
   siddhāntaśceti paścāvayavāḥ |	sidDAntaH-ca-iti paSca-avayavAH |
   tatra saṃgatiranantarameva vyutpādayiṣyamāṇena prakāreṇa pratyadhikaraṇaṃ	tatra saMgatiH-anantaram-eva vyutpAdayizyamANena prakAreNa pratyaDikaraNam
   svayamevohituṃ śakyate |	svayam-eva-uhitum Sakyate |
   avaśiṣṭānāṃ caturṇāmavayavānāṃ saṃgrāhakāḥ kvacidbhahavaḥ ślokāḥ,	avaSizwAnAm caturNAm-avayavAnAm saMgrAhakAH kvacid-BahavaH SlokAH,
   kvacideka ityāvāpodvāpābhyāmantataḥ pratyadhikaraṇaṃ ślokadvitve saṃkhyā	kvacid-ekaH iti-AvApa-udvApAByAm-antatas pratyaDikaraNam Sloka-dvi-tve saMKyA
   paryavasyati |	paryavasyati |
   ato bahutvādbibhyatā granthagauravaśaṅkā na kartavyā || MJaiNyC_1,1.7 ||	atas bahu-tvAt-biByatA granTa-gOrava-SaFkA na kartavyA || MJENyC_1,1.7 ||
   START MJaiNy 1,1.9	START MJENi 1,1.9
   tameva granthāgauvarabhāvaṃ sphuṭīkurvanrūpakavyājena subodhatvaṃ	tam-eva granTAgOvara-BAvam sPuwIkurvan-rUpaka-vyAjena su-boDa-tvam
   darśayati --	darSayati --
   sarvathāpi sahasre dve nātikrāmati saṃgrahaḥ /	sarvaTA-api sahasre dve na-atikrAmati saMgrahaH /
   mīmāṃsāsāgarastena krīḍāpuṣkariṇī bhavet // MJaiNy_1,1.9 //	mImAMsA-sAgaraH-tena krIxA-puzkariNI Bavet // MJENi-_1,1.9 //
   ślokena ślokābhyāṃ ślokairvā yathāsaṃbhavaṃ nyāyaḥ saṃgṛhyatām |	Slokena SlokAByAm SlokEH-vA yaTAsaMBavam nyAyaH saMgRhyatAm |
   sarvathāpisahasranyāyasaṃgraharūpo granthaḥ	sarvaTA-api-sahasra-nyAya-saMgraha-rUpaH granTaH
   ślokasahasradvayapūrterarvāgeva samāṃpsyate, na tu	Sloka-sahasra-dvaya-pUrteH-arvAk-eva samAMpsyate, na tu
   sahasradvayamattikrāmati |	sahasra-dvayam-attikrAmati |
   bhāṣyaṭīkādīnāṃ bahutvādduravagāhatvācca mīmāṃsā sāgarasabhā pūrvamāsīt |	BAzyawIkA-AdInAm bahu-tvAt-duravagAha-tvAt-ca mImAMsA sAgara-saBA pUrvam-AsIt |
   kriyamāṇenānena granthena doṣadvayarahitena rājaputrāṇāṃ bālānāṃ	kriyamANena-anena granTena doza-dvaya-rahitena rAja-putrANAm bAlAnAm
   krīḍārthaṃ nirmitayā nābhidaghnyā puṣkariṇyā samā bhaviṣyati |	krIxA-arTam nirmitayA nABidaGnyA puzkariNyA samA Bavizyati |
   yadyapi śāstradīpikādau kvacitkvacitsaṃgrahaśloko 'sti, tathāpi na	yadi-api SAstra-dIpikA-AdO kvacid-kvacid-saMgraha-SlokaH asti, taTA-api na
   sarvatra vidyate |	sarvatra vidyate |
   yatrāsti tatrāpi viṣayasaṃśayayoresaṃgrahānna	yatra-asti tatra-api vizaya-saMSayayoH-esaMgrahAn-na
   ślokapāṭhamātreṇādhikaraṇamupanyasituṃ śakyate |	Sloka-pAWa-mAtreNa-aDikaraNam-upanyasitum Sakyate |
   ato na kvāpi gatārthatvaṃ śaṅkanīyam || MJaiNyC_1,1.9 ||	atas na kvApi gata-arTa-tvam SaFkanIyam || MJENyC_1,1.9 ||
   START MJaiNy 1,1.10	START MJENi 1,1.10
   saṃgatiṃ vyutpādayati -	saMgatim vyutpAdayati -
   śāstre 'dhyāye tathā pāde nyāyasaṃgatayastridhā /	SAstre aDyAye taTA pAde nyAya-saMgatayaH-triDA /
   śāstrādiviṣaye jñāte tattatsaṃgatirūhyatām // MJaiNy_1,1.10 //	SAstra-Adi-vizaye jQAte tad-tad-saMgatiH-UhyatAm // MJENI-_1,1.10 //
   śāstrasaṃgitaḥ, adhyāyasaṃgatiḥ, pādasaṃgatiśceti tridhā saṃgatiḥ |	SAstra-saMgitaH, aDyAya-saMgatiH, pAda-saMgatiH-ca-iti triDA saMgatiH |
   sā ca śāstrādīnāṃ trayāṇāmasādharaṇe viṣaye jñāte sati svayamepvohituṃ	sA ca SAstra-AdInAm trayANAm-asADaraNe vizaye jQAte sati svayam-epvohitum
   śakyā || MJaiNyC_1,1.10 ||	SakyAH || MJENyC_1,1.10 ||
   START MJaiNy 1,1.11-12	START MJENi 1,1.11-12
   śāstrasyādhyāyānāṃ cāsādhāraṇaṃ viṣayaṃ darśayati -	SAstrasya-aDyAyAnAm ca-asADAraNam vizayam darSayati -
   dharmo dvādaśalakṣaṇyā vyutpādyastatra lakṣaṇaiḥ /	DarmaH dvAdaSa-lakzaNyAH vyutpAdyaH-tatra lakzaNEH /
   pramāṇabhedaśeṣatvaprayuktikramasaṃjñakāḥ // MJaiNy_1,1.11 //	pramANa-Beda-Seza-tva-prayukti-krama-saMjQakAH // MJENi-_1,1.11 //
   adhikāro 'tideśaśca sāmānyena viśeṣataḥ /	aDikAraH ati-deSaH-ca sAmAnyena viSezataH /
   ūho bādhaśca tantraṃ ca prasaṅgaścoditāḥ kramāt // MJaiNy_1,1.12 //	UhaH bADaH-ca tantram ca prasaFgaH-coditAH kramAt // MJENi-_1,1.12 //
   lakṣaṇānyadhyāyāḥ |	lakzaNAni-aDyAyAH |
   dvādaśānāṃ lakṣaṇānāṃ samāhāro dvādaśalakṣaṇī |	dvAdaSAnAm lakzaNAnAm samAhAraH dvAdaSa-lakzaNI |
   tādṛśasya dvādaśalakṣaṇopetasya śāstrasya dharmo viṣayaḥ |	tAdRSasya dvAdaSa-lakzaNa-upetasya SAstrasya DarmaH vizayaH |
   pramāṇādayaḥ prasaṅgāntā dvādaśa padārthāḥ kramāddvādaśānāmadhyāyānāṃ	pramANa-AdayaH prasaFga-antAH dvAdaSa padArTAH kramAt-dvAdaSAnAm-aDyAyAnAm
   viṣayāḥ |	vizayAH |
   prathame 'dhyāye - vidhyarthavādādirūpaṃ pramāṇaṃ nirūpitam |	praTame aDyAye  viDi-arTavAda-Adi-rUpam pramANam nirUpitam |
   dvitīye-yāgadānādi karmabhedaḥ |	dvitIye-yAga-dAna-Adi karma-BedaH |
   tṛtīye - prayājādīnāṃ darśapūrṇamāsādyarthatvena taccheṣatvam |	tRtIye  prayAja-AdInAm darSa-pUrNamAsa-Adi-arTa-tvena tat-Seza-tvam |
   caturthe - 'godohanasya puruṣārthatvaprayuktyānuṣṭhānam, na tu	caturTe  agodohanasya puruza-arTa-tva-prayuktyA-anuzWAnam, na tu
   kratvarthatvaprayuktyā' ityevamādayaḥ |	kratu-arTa-tva-prayuktyAa iti-evamAdayaH |
   pañcame - kramaniyatividheyatvādayaḥ |	paQcame  krama-niyati-viDeya-tva-AdayaH |
   ṣaṣṭhe - 'karturadhikāro nāndhādeḥ' ityādayaḥ |	zazWe  akartuH-aDikAraH na-anDa-AdeH-a ityAdayaH |
   saptame -"samānaṣitaracchayenena"ityādipratyakṣavacanena,	saptame -"-samAna-zitara=-Sayenena-"iti-Adi-pratyakza-vacanena,
   agnihotrādināmnānumitavacanena ca sāṃmānyato 'tideśaḥ |	agnihotra-Adi-nAmnA-anumita-vacanena ca sAMmAnyatas ati-deSaH |
   aṣṭame -"saurye caruṃ nirvapet"ityatra nirvāpastaddhitena devatānirdeśa	azwame -"-sOrye carum nirvapet"iti-atra nirvApaH-tat-hitena devatA-nirdeSa
   ekadevatātvamauṣadhadravyakatvamiti liṅgenā'gneyapuroḍāśetikartavyataiva,	eka-devatA-tvam-OzaDa-dravyaka-tvam-iti liFgenA-agneya-puroxASa-iti-kartavya-tA-eva,
   nānyasyetyevamādirviśeṣato 'tideśaḥ |	na-anyasya-iti-evamAdiH-viSezataH ati-deSaH |
   navame - prakṛtau"agnaye juṣṭaṃ nirvapāmi"iti paṭhite mantre vikṛtau	navame  prakRtO"-agnaye juzwam nirvapAmi"-iti paWite mantre vikRtO
   sauryacarāvagnipadaparityāgena sūryapadaprakṣepeṇa 'sūryāya juṣṭaṃ	sOrya-carO=-agni-pada-parityAgena sUrya-pada-prakzepeNa asUryAya juzwam
   nirvapāmi ' ityevamādyūhaḥ |	nirvapAmi a iti-evamAdyUhaH |
   daśame - kṛṣṇaleṣu codakaprāptasyāvaghātasya vituṣīkaraṇāsaṃbhavena lopa	daSame  kRzNalezu ca-udaka-prAptasya-avaGAtasya vituzIkaraNa-asaMBavena lopa
   ityevamādirbādhaḥ |	iti-evam-AdiH-bADaH |
   ekādaśe - bahūnāmagneyādīnāṃ pradhānānāṃ sakṛdanuṣṭhitena	ekAdaSe  bahUnAm-agneya-AdInAm praDAnAnAm sakRt-anuzWitena
   prayājādyaṅgenopakāra iti tantram |	prayAja-Adi-aFgena-upakAraH iti tantram |
   dvādaśe - pradhānasya paśorupakārāyānuṣṭhitena prayājādyaṅgena	dvAdaSe  praDAnasya paSoH-upakArAya-anuzWitena prayAja-Adi-aFgena
   paśvaṅgapuroḍāṣe 'pyupakāra ityādiprasaṅgaḥ || MJaiNyC_1,1.11-12 ||	paSu-aFga-puroxAze api-upakAraH iti-Adi-prasaFgaH || MJENyC_1,1.11-12 ||
   START MJaiNy 1,1.13	START MJENi 1,1.13
   pādānāmasādhāraṇaṃ viṣayaṃ darśayati -	pAdAnAm-asADAraNam vizayam darSayati -
   vidhyarthavādasmṛtayo nāma ceti caturvidham /	viDi-arTavAdasmRtayaH nAma ca-iti caturviDam /
   prathamādhyāyagaiḥ pādaiścaturbhirmānamīritam // MJaiNy_1,1.13 //	praTama-aDyAya-gEH pAdEH-caturBiH-mAnam-Iritam // MJENi-_1,1.13 //
   prathame pāde - vidhirūpaṃ mānamīritam |	praTame pAde  viDi-rUpam mAnam-Iritam |
