   prathamaḥ samādhi-pādaḥ |	praTamaH samADi-pAdaH |
   īśvara-praṇidhānād vā ||1.23||	ISvara--praNiDAnAt vA ||1.23||
   kleśa-karma-vipākāśayair aparāmṛṣṭaḥ puruṣa-viśeṣa īśvaraḥ ||1.24||	kleSa--karma--vipAka-ASayEH aparAmRzwaH puruza--viSezaH ISvaraH ||1.24||
   tatra niratiśayaṃ sarvajña-bījam ||1.25||	tatra niratiSayam sarvajQa-bIjam ||1.25||
   pūrveṣām [ ] api guruḥ kālenānavacchedāt ||1.26||	pUrvezAm [ ] api guruH kAlena-anavacCedAt ||1.26||
   tasya vācakaḥ praṇavaḥ ||1.27||	tasya vAcakaH praNavaH ||1.27||
   taj-japas tadartha-bhāvanam ||1.28||	taj-japaH tad-arTa--BAvanam ||1.28||
   tataḥ pratyak-cetanādhigamo '-py antarāyābhāvaś ca ||1.29||	tatas pratyak-cetana-aDigamaH a-pi antarAya-aBAvaH ca ||1.29||
   vyādhi-styāna-saṃśaya-pramādālasyāvirati-bhrānti-darśanālabdha-bhuumikatvānavasthitatvāni	vyADi-styAna--saMSaya--pramAda-Alasya-avirati--BrAnti--darSana-alabDa-Buumika-tva-anavasTita-tvAni
   citta-vikṣepās. te '-ntarāyāḥ ||1.30||	citta--vikzepa-as. te a-ntarAyAH ||1.30||
   duḥkha-daurmanasyāṅgamejayatva-śvāsa-praśvāsā vikṣepa-sahabhuvaḥ ||1.31||	duHKa-dOrmanasya-aFga-mejaya-tva--SvAsa--praSvAsAH vikzepa--sahaBuvaH ||1.31||
   tat-pratiṣedhārtham eka-tattvābhyāsaḥ ||1.32||	tat--pratizeDa-arTam eka--tattva-aByAsaH ||1.32||
   maitrī-karuṇā-muditopekṣaṇāṃsukha-duḥkha-puṇyāpuṇya-viṣayāṇāṃ bhāvanātaś	mEtrI-karuNA--mudita-upekzaNa-aMsuKa--duHKa--puNyA-puNya--vizayANAm BAvanAtas-
   citta-prasādanam ||1.33||	citta--prasAdanam ||1.33||
   pracchardana-vidhāraṇābhyāṃ vā prāṇasya ||1.34||	pracCardana-viDAraNAByAm vA prANasya ||1.34||
   viṣayavatī vā pravṛttir utpannā manasaḥ sthiti-nibandhanī ||1.35||	vizayavatI vA pravRttiH utpannA manasaH sTiti-nibanDanI ||1.35||
   viśokā vā jyotiṣmatī ||1.36||	viSokA vA jyotizmatI ||1.36||
   vīta-rāga-viṣayaṃ vā cittam ||1.37||	vIta--rAga--vizayam vA cittam ||1.37||
   svapna-nidrā-jñānālambanaṃ vā ||1.38||	svapna--nidrA--jQAna-Alambanam vA ||1.38||
   yathābhimata-dhyānād vā ||1.39||	yaTA-aBimata--DyAnAt vA ||1.39||
   paramāṇu-parama-mahattvānto '-sya vaśīkāraḥ ||1.40||	paramANu--parama--mahat-tva-antaH a-sya vaSIkAraH ||1.40||
   kṣīṇa-vṛtter, abhijātasyeva maṇer,	kzINa-vRtter, aBijAtasya-iva maNeH-,
   grahītṛ-grahaṇa-grāhyeṣutatstha-tadañjanatā-samāpattiḥ ||1.41||	grahItR-grahaNa-grAhya-izu-tad-sTa-tad-aQjana-tA--samApattiH ||1.41||
   tatra śabdārtha-jñāna-vikalpaiḥ saṃkīrṇā savitarkā samāpattiḥ ||1.42||	tatra Sabda-arTa--jQAna--vikalpEH saMkIrNA sa-vitarkA samApattiH ||1.42||
   smṛti-pariśuddhau sva-rūpa-śūnyevārtha-mātra-nirbhāsā [ ]nirvitarkā	smRti-pariSudDO sva--rUpa--SUnyA-iva-arTa--mAtra--nirBAsA [ ]nirvitarkA
   etayaiva savicārā nirvicārā ca sūkṣma-viṣayā vyākhyātā ||1.44||	etayA-eva sa-vicArA nirvicArA ca sUkzma--vizayA vyAKyAtAH ||1.44||
   sūkṣma-viṣayatvaṃ cāliṅga-paryavasānam ||1.45||	sUkzma--vizaya-tvam ca-aliFga--paryavasAnam ||1.45||
   tā eva sabījaḥ samādhiḥ ||1.46|| nirvicāra-vaiśāradye '-dhyātma-prasādaḥ	tAH eva sa-bIjaH samADiH ||1.46|| nirvicAra--vESAradye a-Dya-Atma--prasAdaH
   rtaṃbharā tatra prajñā ||1.48||	rtaMBarA tatra prajQA ||1.48||
   śrutānumāna-prajñābhyām anya-viṣayā [ ] viśeṣārthatvāt ||1.49||	Sruta-anumAna--prajQAByAm anya-vizayAH [ ] viSeza-arTa-tvAt ||1.49||
   tajjaḥ saṃskāro '-nya-saṃskāra-pratibandhī ||1.50||	tad-jaH saMskAraH a-nya--saMskAra--pratibanDI ||1.50||
   tasyāpi nirodhe sarva-nirodhān nirbījaḥ samādhiḥ [ ] ||1.51||	tasya-api niroDe sarva--niroDAt nirbIjaH samADiH [ ] ||1.51||
   [iti patañjali-viracite yoga-sūtre prathamaḥ samādhi-pādaḥ |]	[iti pataQjali-viracite yoga-sUtre praTamaH samADi-pAdaH |]
   [ ]dvitīyaḥ sādhana-pādaḥ |	[ ]dvitIyaH sADana--pAdaH |
   tapaḥ-svādhyāyeśvara-praṇidhānāni kriyā-yogaḥ ||2.1||	tapaH--svADyAya-ISvara--praNiDAnAni kriyA--yogaH ||2.1||
   samādhi-bhāvanārthaḥ kleśa-tanūkaraṇārthaś ca ||2.2||	samADi-BAvanA-arTaH kleSa-tanUkaraNa-arTaH ca ||2.2||
   avidyāsmitā-rāga-dveṣābhiniveśāḥ kleśāḥ [ ] ||2.3||	avidyA-smitA--rAga--dveza-aBiniveSAH kleSAH [ ] ||2.3||
   avidyā kṣetram uttareṣāṃ prasupta-tanu-vicchinnodārāṇām ||2.4||	avidyA kzetram uttarezAm prasupta--tanu--vicCinna-udArANAm ||2.4||
   anityāśuci-duḥkhānātmasu nitya-śuci-sukhātma-khyātir avidyā ||2.5||	anitya-aSuci--duHKa-anAtmasu nitya--Suci--suKa-Atma--KyAtiH avidyA ||2.5||
   dṛg-darśana-śaktyor ekātmatevāsmitā ||2.6||	dRS--darSana--SaktyoH eka-Atma-tA-iva-asmitA ||2.6||
   sukhānuśayī [ ] rāgaḥ ||2.7|| duḥkhānuśayī [ ] dveṣaḥ ||2.8||	suKa-anuSayI [ ] rAgaH ||2.7|| duHKa-anuSayI [ ] dvezaH ||2.8||
   sva-rasa-vāhī viduṣo '-pi tathā-rūḍho '-bhiniveśaḥ ||2.9||	sva--rasa-vAhI viduzaH a-pi taTA-A-rUXaH a-BiniveSaH ||2.9||
   te pratiprasava-heyāḥ sūkṣmāḥ ||2.10||	te pratiprasava--heyAH sUkzmAH ||2.10||
   dhyāna-heyās tad-vṛttayaḥ ||2.11||	DyAna--heyAH tad--vRttayaH ||2.11||
   kleśa-mūlaḥ karmāśayo dṛṣṭādṛṣṭa-janma-vedanīyaḥ ||2.12||	kleSa-mUlaH karma-ASayaH dRzwa-adRzwa--janma--vedanIyaH ||2.12||
   sati mūle tad-vipāko jātyāyur-bhogāḥ ||2.13||	sati mUle tad--vipAkaH jAti-AyuH--BogAH ||2.13||
   te hlāda-paritāpa-phalāḥ puṇyāpuṇya-hetutvāt ||2.14||	te hlAda--paritApa--PalAH puNyA-puNya--hetutvAt ||2.14||
   pariṇāma-tāpa-saṃskāra-duḥkhair guṇa-vṛtti-virodhāc ca duḥkhameva sarvaṃ	pariNAma--tApa--saMskAra--duHKEH guNa-vRtti-viroDAt ca duHKam-eva sarvam
   vivekinaḥ ||2.15||	vivekinaH ||2.15||
   heyaṃ duḥkham anāgatam ||2.16||	heyam duHKam anAgatam ||2.16||
   draṣṭṛ-dṛśyayoḥ saṃyogo heya-hetuḥ ||2.17||	drazwR-dRSyayoH saMyogaH heya--hetuH ||2.17||
   prakāśa-kriyā-sthiti-śīlaṃ bhūtendriyātmakaṃ bhogāpavargārthaṃdṛśyam	prakASa--kriyA--sTiti--SIlam BUta-indriya-Atmakam Boga-apavarga-arTaMdRSyam
   viśeṣāviśeṣa-liṅga-mātrā-liṅgāni [ ] guṇa-parvāṇi [ ] ||2.19||	viSeza-aviSeza---liFga--mAtrA--liFgAni [ ] guNa--parvANi [ ] ||2.19||
   draṣṭā dṛśi-mātraḥ śuddho '-pi pratyayānupaśyaḥ ||2.20||	drazwA dRSi--mAtraH SudDaH a-pi pratyaya-anupaSyaH ||2.20||
   tadartha eva dṛśyasyātmā ||2.21||	tad-arTaH eva dRSyasya-AtmA ||2.21||
   kṛtārthaṃ prati naṣṭam apy anaṣṭaṃ tad, anya-sādhāraṇatvāt ||2.22||	kRtArTam prati nazwam api anazwam tad, anya--sADAraNa-tvAt ||2.22||
   sva-svāmi-śaktyoḥ sva-rūpopalabdhi-hetuḥ saṃyogaḥ ||2.23||	sva-svAmi--SaktyoH sva---rUpa-upalabDi--hetuH saMyogaH ||2.23||
   tasya hetur avidyā ||2.24||	tasya hetuH avidyA ||2.24||
   tadabhāvāt saṃyogābhāvo hānaṃ. tad dṛśeḥ kaivalyam ||2.25||	tad-aBAvAt saMyoga-aBAvaH hAnaM. tat dRSeH kEvalyam ||2.25||
   viveka-khyātir aviplavā hānopāyaḥ ||2.26||	viveka---KyAtiH aviplavAH hAna-upAyaH ||2.26||
   tasya saptadhā prānta-bhūmiḥ prajñā ||2.27||	tasya saptaDA prAnta-BUmiH prajQA ||2.27||
   yogāṅgānuṣṭhānād aśuddhi-kṣaye jñāna-dīptir, āviveka-khyāteḥ ||2.28||	yoga-aFga-anuzWAnAt aSudDi-kzaye jQAna--dIptir, Aviveka--KyAteH ||2.28||
   yama-niyamāsana-prāṇāyāma-pratyāhāra-dhāraṇā-dhyāna-samādhayo'-ṣṭāv aṅgāni	yama-niyama-Asana--prANAyAma--pratyAhAra--DAraNA--DyAna--samADayaH-a-zwO aFgAni
   ||2.29|| ahiṃsā-satyāsteya-brahmacaryāparigrahā [ ] yamāḥ ||2.30||	||2.29|| ahiMsA--satyAsteya--brahmacarya-aparigrahAH [ ] yamAH ||2.30||
   jāti-deśa-kāla-samayānavacchinnāḥ [ ] sārvabhaumā mahā-vratam ||2.31||	jAti-deSa--kAla--samayAn-avacCinnAH [ ] sArvaBOmAH mahA-vratam ||2.31||
   śauca-saṃtoṣa-tapaḥ-svādhyāyeśvara-praṇidhānāni niyamāḥ ||2.32||	SOca--saMtoza--tapaH--svADyAya-ISvara--praNiDAnAni niyamAH ||2.32||
   vitarka-bādhane pratipakṣa-bhāvanam ||2.33||	vitarka-bADane pratipakza--BAvanam ||2.33||
   vitarkā hiṃsādayaḥ kṛta-kāritānumoditā	vitarkA hiMsA-AdayaH kRta-kArita-anumoditA
   lobha-krodha-moha-pūrvakāmṛdu-madhyādhimātrā duḥkhājñānānanta-phalā	loBa--kroDa--moha--pUrvakA-mRdu-maDya-aDimAtrA duHKa-ajQAna-ananta-PalA
   itipratipakṣa-bhāvanam ||2.34||	iti-pratipakza--BAvanam ||2.34||
   ahiṃsā-pratiṣṭhāyāṃ tat-saṃnidhau vaira-tyāgaḥ ||2.35||	ahiMsA--pratizWAyAm tat-saMniDO vEra-tyAgaH ||2.35||
   satya-pratiṣṭhāyāṃ kriyā-phalāśrayatvam ||2.36||	satya--pratizWAyAm kriyA-Pala-ASraya-tvam ||2.36||
   asteya-pratiṣṭhāyāṃ sarva-ratnopasthānam ||2.37||	asteya--pratizWAyAm sarva-ratna-upasTAnam ||2.37||
   brahmacarya-pratiṣṭhāyāṃ vīrya-lābhaḥ ||2.38||	brahmacarya--pratizWAyAm vIrya--lABaH ||2.38||
   aparigraha-sthairye janma-kathaṃtā-saṃbodhaḥ ||2.39||	aparigraha--sTErye janma--kaTaMtA--saMboDaH ||2.39||
   śaucāt svāṅga-jugupsā parair asaṃsargaḥ ||2.40||	SOcAt sva-aFga-jugupsA parEH asaMsargaH ||2.40||
   sattva-śuddhi-saumanasyaikāgryendriya-jayātma-darśana-yogyatvāni [ ]ca	sattva--SudDi--sOmanasya-ekAgrya-indriya-jaya-Atma--darSana-yogya-tvAni [ ]ca
   saṃtoṣād anuttamaḥ [ ] sukha-lābhaḥ ||2.42||	saMtozAt anuttamaH [ ] suKa--lABaH ||2.42||
   kāyendriya-siddhir aśuddhi-kṣayāt tapasaḥ ||2.43||	kAya-indriya--sidDiH aSudDi-kzayAt tapasaH ||2.43||
   svādhyāyād iṣṭa-devatā-saṃprayogaḥ ||2.44||	svADyAyAt izwa-devatA--saMprayogaH ||2.44||
   samādhi-siddhir īśvara-praṇidhānāt ||2.45||	samADi-sidDiH ISvara--praNiDAnAt ||2.45||
   sthira-sukham āsanam ||2.46||	sTira--suKam Asanam ||2.46||
   prayatna-śaithilyānanta-samāpattibhyām [ ] ||2.47||	prayatna--SETilya-ananta--samApattiByAm [ ] ||2.47||
   tato dvandvānabhighātaḥ ||2.48||	tatas dvandva-anaBiGAtaH ||2.48||
   tasmin sati śvāsa-praśvāsayor gati-vicchedaḥ prāṇāyāmaḥ ||2.49||	tasmin sati SvAsa--praSvAsayoH gati--vicCedaH prANAyAmaH ||2.49||
   bāhyābhyantara-stambha-vṛttir [ ] deśa-kāla-saṃkhyābhiḥparidṛṣṭo	bAhya-aByantara--stamBa--vRttiH [ ] deSa--kAla--saMKyABiH-paridRzwaH-
   dīrgha-sūkṣmaḥ ||2.50||	dIrGa--sUkzmaH ||2.50||
   bāhyābhyantara-viṣayākṣepī caturthaḥ ||2.51||	bAhya-aByantara--vizaya-AkzepI caturTaH ||2.51||
   tataḥ kṣīyate prakāśāvaraṇam ||2.52||	tatas kzIyate prakASa-AvaraNam ||2.52||
   dhāraṇāsu ca yogyatā manasaḥ ||2.53||	DAraNAsu ca yogyatA manasaH ||2.53||
   sva-viṣayāsaṃprayoge cittasya sva-rūpānukāra [ ] ivendriyāṇāṃpratyāhāraḥ	sva---vizaya-asaMprayoge cittasya sva-rUpa-anukAraH [ ] iva-indriyANAMpratyAhAraH
   tataḥ paramā vaśyatendriyāṇām ||2.55||	tatas paramA vaSyatA-indriyANAm ||2.55||
   [iti patañjali-viracite yoga-sūtre dvitīyaḥ sādhana-pādaḥ |]	[iti pataQjali-viracite yoga-sUtre dvitIyaH sADana--pAdaH |]
   tṛtīyaḥ vibhūti-pādaḥ |	tRtIyaH viBUti-pAdaH |
   deśa-bandhaś cittasya dhāraṇā ||3.1||	deSa-banDaH cittasya DAraNA ||3.1||
   tatra pratyayaika-tānatā dhyānam ||3.2||	tatra pratyaya-eka-tAnatA DyAnam ||3.2||
   tad evārtha-mātra-nirbhāsaṃ sva-rūpa-śūnyam iva samādhiḥ ||3.3||	tat eva-arTa--mAtra--nirBAsam sva--rUpa--SUnyam iva samADiH ||3.3||
   trayam ekatra saṃyamaḥ ||3.4||	trayam ekatra saMyamaH ||3.4||
   taj-jayāt prajñālokaḥ ||3.5||	taj-jayAt prajQA-lokaH ||3.5||
   tasya bhūmiṣu viniyogaḥ ||3.6||	tasya BUmizu viniyogaH ||3.6||
   trayam antaraṅgaṃ pūrvebhyaḥ ||3.7||	trayam antaraFgam pUrveByaH ||3.7||
   tad api bahiraṅgaṃ nirbījasya ||3.8||	tat api bahis-aFgam nirbIjasya ||3.8||
   vyutthāna-nirodha-saṃskārayor	vyutTAna--niroDa--saMskArayoH-
   abhibhava-prādurbhāvaunirodha-kṣaṇa-cittānvayo nirodha-pariṇāmaḥ ||3.9||	aBiBava--prAdurBAvOniroDa--kzaNa-citta-anvayaH niroDa--pariNAmaH ||3.9||
   tasya praśānta-vāhitā saṃskārāt ||3.10||	tasya praSAnta--vAhitA saMskArAt ||3.10||
   sarvārthataikāgratayoḥ kṣayodayau cittasya samādhi-pariṇāmaḥ ||3.11||	sarva-arTa-tA-eka-agra-tayoH kzaya-udayO cittasya samADi-pariNAmaH ||3.11||
   tataḥ punaḥ [ ] śāntoditau tulya-pratyayaucittasyaikāgratā-pariṇāmaḥ	tatas punar [ ] SAnta-uditO tulya--pratyayOcittasya-ekAgra-tA--pariNAmaH
   etena bhūtendriyeṣu dharma-lakṣaṇāvasthā-pariṇāmā vyākhyātāḥ ||3.13||	etena BUta-indriyezu Darma--lakzaNa-avasTA--pariNAmAH vyAKyAtAH ||3.13||
   śāntoditāvyapadeśya-dharmānupātī dharmī ||3.14||	SAnta-udita-avyapadeSya--Darma-anupAtI DarmI ||3.14||
   kramānyatvaṃ pariṇāmānyatve hetuḥ ||3.15||	krama-anya-tvam pariNAma-anya-tve hetuH ||3.15||
   pariṇāma-traya-saṃyamād atītānāgata-jñānam ||3.16||	pariNAma-traya--saMyamAt atIta-anAgata--jQAnam ||3.16||
   śabdārtha-pratyayānām itaretarādhyāsāt saṃkaraḥ.tat-pravibhāga-saṃyamāt	Sabda-arTa--pratyayAnAm itaretara-aDyAsAt saMkaraH.tat--praviBAga--saMyamAt
   sarva-bhūta-ruta-jñānam ||3.17||	sarva-BUta--ruta--jQAnam ||3.17||
   saṃskāra-sākṣat-karaṇāt pūrva-jāti-jñānam ||3.18||	saMskAra--sAkzat--karaNAt pUrva-jAti-jQAnam ||3.18||
   pratyayasya para-citta-jñānam ||3.19||	pratyayasya para-citta--jQAnam ||3.19||
   na ca tat sālambanaṃ, [ ] tasyāviṣayībhūtatvāt ||3.20||	na ca tat sa-AlambanaM, [ ] tasya-avizayI-BUta-tvAt ||3.20||
   kāya-rūpa-saṃyamāt tad-grāhya-śakti-stambhecakṣuḥ-prakāśāsaṃprayoge	kAya---rUpa-saMyamAt tad--grAhya--Sakti--stamBecakzuH--prakASa-asaMprayoge
   '-ntar-dhānam ||3.21||	a-ntar-DAnam ||3.21||
   sopakramaṃ nirupakramaṃ ca karma. tat-saṃyamād aparānta-jñānam,ariṣṭebhyo	sa-upakramam nirupakramam ca karma. tat-saMyamAt apara-anta--jQAnam-,arizweByaH-
   vā ||3.22||	vA ||3.22||
   maitryādiṣu balāni ||3.23||	mEtrI-Adizu balAni ||3.23||
   baleṣu hasti-balādīni ||3.24||	balezu hasti-bala-AdIni ||3.24||
   pravṛttyāloka-nyāsāt sūkṣma-vyavahita-viprakṛṣṭa-jñānam ||3.25||	pravRtti-Aloka-nyAsAt sUkzma--vyavahita--viprakRzwa-jQAnam ||3.25||
   bhuvana-jñānaṃ sūrye saṃyamāt ||3.26||	Buvana--jQAnam sUrye saMyamAt ||3.26||
   candre tārā-vyūha-jñānam ||3.27||	candre tArA--vyUha--jQAnam ||3.27||
   dhruve tad-gati-jñānam ||3.28||	Druve tad--gati-jQAnam ||3.28||
   nābhi-cakre kāya-vyūha-jñānam ||3.29||	nABi-cakre kAya--vyUha--jQAnam ||3.29||
   kaṇṭha-kūpe kṣut-pipāsā-nivṛttiḥ ||3.30||	kaNWa-kUpe kzut--pipAsA--nivRttiH ||3.30||
   kūrma-nāḍyāṃ sthairyam ||3.31|| mūrdha-jyotiṣi siddha-darśanam ||3.32||	kUrma-nAxyAm sTEryam ||3.31|| mUrDa--jyotizi sidDa--darSanam ||3.32||
   prātibhād vā sarvam ||3.33||	prAtiBAt vA sarvam ||3.33||
   hṛdaye citta-saṃvit ||3.34||	hRdaye citta--saMvid ||3.34||
   sattva-puruṣayor atyantāsaṃkīrṇayoḥ pratyayāviśeṣo [ ] bhogaḥparārthatvāt	sattva--puruzayoH atyanta-asaMkIrNayoH pratyaya-aviSezaH [ ] BogaH-para-arTa-tvAt-
   svārtha-saṃyamāt [ ] puruṣa-jñānam ||3.35|| tataḥ	sva-arTa--saMyamAt [ ] puruza--jQAnam ||3.35|| tatas-
   prātibha-śrāvaṇa-vedanādarśāsvāda-vārtā jāyante ||3.36||	prAtiBa--SrAvaNa--vedanA-AdarSa-AsvAda-vArtAH jAyante ||3.36||
   te samādhāv upasargā. vyutthāne siddhayaḥ ||3.37||	te samADO upasargA. vyutTAne sidDayaH ||3.37||
   bandha-kāraṇa-śaithilyāt pracāra-saṃvedanāc ca cittasyapara-śarīrāveśaḥ	banDa--kAraNa--SETilyAt pracAra--saMvedanAt ca cittasya-para--SarIra-AveSaH
   udāna-jayāj jala-paṅka-kaṇṭakādiṣv asaṅga utkrāntiś ca ||3.39||	udAna--jayAt jala--paFka-kaNwaka-Adizu asaFgaH utkrAntiH ca ||3.39||
   samāna-jayāj jvalanam [ ] ||3.40||	samAna--jayAt jvalanam [ ] ||3.40||
   śrotrākāśayoḥ saṃbandha-saṃyamād divyaṃ śrotram ||3.41||	Srotra-AkASayoH saMbanDa--saMyamAt divyam Srotram ||3.41||
   kāyākāśayoḥ saṃbandha-saṃyamāl laghu-tūla-samāpatteścākāśa-gamanam	kAya-AkASayoH saMbanDa--saMyamAt laGu-tUla--samApatteH-ca-AkASa--gamanam
   bahir akalpitā vṛttir mahā-videhā. tataḥ prakāśāvaraṇa-kṣayaḥ ||3.43||	bahis akalpitA vRttiH mahA--videhA. tatas prakASa-AvaraNa-kzayaH ||3.43||
   sthūla-sva-rūpa-sūkṣmānvayārthavattva-saṃyamād bhūta-jayaḥ ||3.44||	sTUla--sva--rUpa--sUkzma-anvaya-arTavat-tva--saMyamAt BUta-jayaH ||3.44||
   tato '-ṇimādi-prādurbhāvaḥ kāya-saṃpat tad-dharmānabhighātaś ca ||3.45||	tatas a-Nima-Adi-prAdurBAvaH kAya--saMpad tad--Darma-anaBiGAtaH ca ||3.45||
   rūpa-lāvaṇya-bala-vajra-saṃhananatvāni kāya-saṃpat ||3.46||	rUpa--lAvaNya--bala-vajra--saMhanana-tvAni kAya--saMpad ||3.46||
   grahaṇa-sva-rūpāsmitānvayārthavattva-saṃyamād indriya-jayaḥ ||3.47||	grahaNa--sva-rUpa-asmita-anvaya-arTavat-tva--saMyamAt indriya-jayaH ||3.47||
   tato mano-javitvaṃ [ ] vikaraṇa-bhāvaḥ pradhāna-jayaś ca ||3.48||	tatas mano-javi-tvam [ ] vikaraNa-BAvaH praDAna-jayaH ca ||3.48||
   sattva-puruṣānyatā-khyāti-mātrasya sarva-bhāvādhiṣṭhātṛtvaṃsarva-jñātṛtvaṃ	sattva--puruza-anyatA-KyAti--mAtrasya sarva--BAva-aDizWAtR-tvaMsarva--jQAtR-tvam
   ca ||3.49||	ca ||3.49||
   tad-vairāgyād api doṣa-bīja-kṣaye kaivalyam ||3.50||	tat--vErAgyAt api doza--bIja--kzaye kEvalyam ||3.50||
   sthānyupanimantraṇe [ ] saṅga-smayākaraṇaṃ punaraniṣṭa-prasaṅgāt ||3.51||	sTAni-upanimantraNe [ ] saFga--smayA-karaNam punar-anizwa--prasaFgAt ||3.51||
   kṣaṇa-tat-kramayoḥ saṃyamād vivekajaṃ jñānam ||3.52||	kzaNa--tat--kramayoH saMyamAt viveka-jam jQAnam ||3.52||
   jāti-lakṣaṇa-deśair anyatānavacchedāt tulyayos tataḥ pratipattiḥ ||3.53||	jAti-lakzaNa--deSEH anyatA-anavacCedAt tulyayoH tatas pratipattiH ||3.53||
   tārakaṃ sarva-viṣayaṃ sarvathā-viṣayam akramaṃ ceti vivekajaṃjñānam	tArakam sarva--vizayam sarvaTA-a-vizayam akramam ca-iti viveka-jaMjQAnam
   sattva-puruṣayoḥ śuddhi-sāmye kaivalyam iti [ ] ||3.55||	sattva--puruzayoH SudDi--sAmye kEvalyam iti [ ] ||3.55||
   [iti patañjali-viracite yoga-sūtre tṛtīyo vibhūti-pādaḥ]	[iti pataQjali-viracite yoga-sUtre tRtIyaH viBUti-pAdaH]
   caturthaḥ kaivalya-pādaḥ |	caturTaH kEvalya-pAdaH |
   janmauṣadhi-mantra-tapaḥ-samādhijāḥ siddhayaḥ ||4.1||	janma-OzaDi-mantra--tapaH--samADi-jAH sidDayaH ||4.1||
   jātyantara-pariṇāmaḥ prakṛtyāpūrāt ||4.2||	jAti-antara--pariNAmaH prakRti-ApUrAt ||4.2||
   nimittam aprayojakaṃ prakṛtīnāṃ. varaṇa-bhedas tu tataḥ kṣetrikavat	nimittam aprayojakam prakRtInAM. varaNa-BedaH tu tatas kzetrika-vat-
   nirmāṇa-cittāny asmitā-mātrāt ||4.4||	nirmANa--cittAni asmitA--mAtrAt ||4.4||
   pravṛtti-bhede prayojakaṃ cittam ekam anekeṣām ||4.5||	pravRtti-Bede prayojakam cittam ekam anekezAm ||4.5||
   tatra dhyānajam anāśayam ||4.6||	tatra DyAna-jam anASayam ||4.6||
   karmāśuklākṛṣṇaṃ yoginas. trividham itareṣām ||4.7||	karma-aSukla-akRzNam yoginas. triviDam itarezAm ||4.7||
   tatas tad-vipākānuguṇānām evābhivyaktir vāsanānām ||4.8||	tatas tad--vipAka-anuguNAnAm eva-aBivyaktiH vAsanAnAm ||4.8||
