   {...} = akṣara unclear	{...}  akzaraH unclear
   anena ślokena buddhasya bhagavata eva pūjā stotrataḥ, nānyepām	anena Slokena budDasya BagavataH eva pUjA stotrataH, na anyepAm
   nirdiṣṭaguṇodbhavāt |	nirdizwa guNa udBavAt |
   stotramapi sva  parārthasampattyai sambhāvtīti pūrva svārthasampada	stotram api sva para arTa sampattyE samBAvti iti pUrva sva arTa sampada
   bhagavatī darsahyati jayanti jātivyasanetyādinā sugataparyantenaḥ	BagavatI darsahyati jayanti jAti vyasana ityAdinA sugata paryantenaH
   manastamastānabetyādinā parārthasampadam |	manaH tamaH tAn aba iti AdinA para arTa sampadam |
   jayanti =jayaṃ kurvanti | vāca iti sambandhaḥ | kasya vācaḥ? ityāha 	jayanti =jayam kurvanti | vAcaH iti sambanDaH | kasya vAcaH? iti Aha 
   sugatasye ti | suśabdo 'tra śobhane, atiśaye, apunarāvṛtau ca vartateḥ	sugatasye ti | su SabdaH atra SoBane, atiSaye, apunarAvRtO ca vartateH
   anekārthatvāt nipātānām | tadavamayaṃḥ śobhanaṃ gataḥ sugataḥ sucaritavat	aneka arTa tvAt nipAtAnAm | tad avamayaMH  SoBanam gataH sugataH su carita vat 
   | atiśayena gataḥ sugataḥ suparipūrṇa	| atiSayena gataH sugataH su paripUrNa
   1 samyagjñānapūrvikā sarvapuruṣārthasiddhiriti tad vyutpādayate ||	1 samyak jQAna pUrvikA sarva puruza arTa sidDiH iti tat vyutpAdayate ||
   [nyā] atha nyāyabinduḥ pratipadaṃ vibhajyate  samyagiti |	[nyA] aTa nyAya binduH pratipadam viBajyate samyak iti |
   'samyagjñānapūrvikā sarvapruṣārthasiddhiriti tadvayutpādayate' iti	asamyak jQAna pUrvikA sarva pruza arTa sidDiH iti tat vayutpAdayate a iti
   prathamavākyenāsya prakaraṇasya sambandha prayojana abhiveyāni, tathā	praTama vAkyena asya prakaraNasya sambanDa  prayojana  aBiveyAni, taTA
   prayojanasya prayojanamapyupadiśyante | tathā hi sambandha prayojana	prayojanasya prayojanam api upadiSyante | taTA hi sambanDa prayojana
   abhidheyānāmabhāve prakaraṇaśāstrarmadaṃ prekṣāpūrva[dha]	aBiDeyAnAm aBAve prakaraNaSAstrarma dam prekzA pUrva[ Da]
   samyagjñānapūrviketyādinā asya prakaraṇasyābhidheya  prayojanamucyate |	samyak jQAna pUrvikA ityAdinA asya prakaraNasya aBiDeya prayojanam ucyate |
   [ṭi] ghaṭavat | apunarāvṛttyā gata sugataḥ, pradīpavat | kiviśiṣṭasya	[wi] Gawa vat | apunarAvRttyA gata sugataH, pradIpa vat | kiviSizwasya
   tasya? ityāha  rāgādayarāteriti | rāgaśaktirādau | sa ādiryeṣāṃ dveṣādīnāṃ	tasya? iti Aha rAga AdayarAteH iti | rAga SaktiH AdO | saH AdiH yezAm dveza AdInAm
   te rāgādayo bhavanti kleśāḥ | teṣāmarātiḥ = śatruḥ | yato bhagavatā	te rAga AdayaH Bavanti kleSAH | tezAm arAtiH  SatruH | yatas BagavatA
   sarvakleśāḥ niḥśeṣa nirdagdhāḥ, yata eva rāgādayarātirbhagavān, ata eva	sarva kleSAH niHSeza nirdagDAH, yatas eva rAga AdayarAtiH BagavAn, atas eva
   jagatastraidhātukajīvalokasya vijetā | anena svārthasampat sopāyā darśitā	jagataH trEDAtuka jIva lokasya vijetA | anena sva arTa sampad sa upAyA darSitA
   kiṃviśiṣṭasya jagato vijetuḥ? ityāha  jātivyasanetyādi | vyasanam=	kiMviSizwasya jagataH vijetuH? iti Aha jAti vyasana ityAdi | vyasanam=
   anarthasajananam | jātau vyasanamiti "saptamī' (pā sū 2 1 40) iti	anarTa sa jananam | jAtO vyasanam iti "saptamI a (pA sU 2 1 40) iti
   yogavibhāgāt samāsaḥ | tatrābhilāṣa iti yāvat | 'devāhaṃ syām', 'manuṣyo	yoga viBAgAt samAsaH | tatra aBilAzaH iti yAvat | adeva aham syAm a, amanuzyaH 
   'haṃ syām' ityabhilāṣaḥ | yadvā  vividhamanekaprakāreṇāsyate ksipyate iti	aham syAm a iti aBilAzaH | yadvA viviDam aneka prakAreNa Asyate ksipyate iti
   vyasanam | sāmānyana kamasādhanam | paścājjātiśabdasya viśeṣaṇasamāsaḥ 	vyasanam | sAmAnya na kama sADanam | paScAt jAti Sabdasya viSezaNa samAsaH 
   jātireva vyasanam | jātyā vyasanaṃ viśiṣyate | tena jātiśabdasya	jAtiH eva vyasanam | jAtyA vyasanam viSizyate | tena jAti Sabdasya
   viśeṣaṇatvāt pūrvanipātaḥ | jātivyasanasya prabandhaḥ=pravāhaḥ, tasya	viSezaNa tvAt pUrva nipAtaH | jAti vyasanasya prabanDaH= pravAhaH, tasya
   prasūtiḥ= prasavaḥ, utpattiḥ | tasyā hetuḥ= kāraṇam, jagat tasya jagato	prasUtiH prasavaH, utpattiH | tasyAH hetuH kAraNam, jagat tasya jagataH 
   vijeturiti | tatrāyaṃ samudāyārthaḥ  yasmāccobhanādinā gato bhagavān,	vijetuH iti | tatra ayam samudAya arTaH yasmAt ca uBana AdinA gataH BagavAn ,
   ataeva rāgādayarātiḥ, yata eva nirdagdhakleśo 'to jagato vijeteti |	ataA iva rAga AdayarAtiH, yatas eva nirdagDa kleSaH atas jagataH vijetA iti |
   kiṃviśiṣṭā vāco jayanti? ityāha  manastama ityād | manasaḥ=	kiMviSizwAH vAcaH jayanti? iti Aha manaH tamaH ityAt | manasaH=
   vikalpavijñānasya | tṛṣṇā avidayā tama eva | tama iti kṛtvā na gamatayā	vikalpa vijQAnasya | tRzNA avidayA tamaH eva | tamaH iti kRtvA na gamatayA
   tamo 'ndhakārī dhaṭādipratibandhaṃ karoti | tanorbhavastānavam |	tamaH anDakArI Dawa Adi pratibanDam karoti | tanoH BavaH tAnavam |
   "igantācca laghupūrvāt" (pā sū 5 1 131) ityaṇ | manastamasi tānavam,	"igantAt ca laGu pUrvAt" (pA sU 5 1 131) iti aN | manaH tamasi tAnavam,
   ṣaṣṭhī  samāso vā vacana pramātho draṣṭavyaḥ |	zazWI samAsaH vA vacana pramATaH drazwavyaH |
   manastamastānavamādadhānāḥ=tanutvaṃ kurvāṇāḥ sakalajanasya	manaH tamastAn avamAdaDAnAH=tanu tvam kurvANAH sakala janasya
   śruticintābhāvanākrameṇa sugatasya vācaḥ sutra abhidharma vinayasvabhāvāḥ	Sruti cintA BAvanA krameNa sugatasya vAcaH sutraH aBiDarma vinaya svaBAvAH
   jayanti | jayaḥ punastāsā tīrthikaśāstrābhibhavalakṣaṇaḥ | yasmād	jayanti | jayaH punar tAsA tIrTika SAstra aBiBava lakzaNaH | yasmAt 
   bhagavatpravacane pramāṇaparicinna upāyo vimukti lakṣaṇaśca upāyo	Bagavat pravacane pramANa paricinnaH upAyaH vimukti lakzaNaH ca upAyo
   nirdiśyate, teṣāṃ cāgama upāyopeyayoḥ pramāṇarahitatvāt tato bhagavata eva	nirdiSyate, tezAm ca AgamaH upAya upeyayoH pramANa rahita tvAt tatas BagavataH eva
   vāco jayanti, nānyeṣāmiti bhagavataḥ stutiḥ |	vAcaH jayanti, na anyezAm iti BagavataH stutiH |
   samyagjñānetyādinā vinītadevavyākhyā dūṣayati | yato 'bhidheyasyaiva	samyak jQAna ityAdinA vinIta deva vyAKyA dUzayati | yatas aBiDeyasya eva
   prayojanam, [nyā] gāmināmanumarta na syāt | tataśca kimiha vyākhyeyam? 	prayojanam, [nyA] gAminAm anumarta na syAt | tatas ca kim iha vyAKyeyam? 
   ityāśaṅkānirāsārtham abhidheyamuktam phalābhāvaśaṅkānirākaraṇārtha	iti ASaFkA nirAsa arTam aBiDeyam uktam Pala aBAva SaFkA nirAkaraNa arTa
   prayojanamuktam | upāyābhāvaśaṅkānirākaraṇārtha sambandha uktaḥ | tena	prayojanam uktam | upAya aBAva SaFkA nirAkaraNa arTa sambanDaH uktaH | tena
   śrotrutsāhavivardhanārtha sambandhādikamuktamiti |	SrotrutsAha vivarDana arTa sambanDa Adikam uktam iti |
   tatra tad vyutpādayate ityanena abhidheyaṃ prayojanaṃ ca sākṣādukte |	tatra tat vyutpAdayate iti anena aBiDeyam prayojanam ca sAkzAt ukte |
   sambandastu sāmarthyāt pratipādayate | etacca tatra sāmarthyam 	sambandaH tu sAmarTyAt pratipAdayate | etat ca tatra sAmarTyam 
   samyagjñānapratipādanārtha prakaraṇārambhād arthād prakaraṇamupāya eveti	samyak jQAna pratipAdana arTa prakaraNa AramBAt arTAt prakaraNam upAyaH eva iti
   darśitam anyathā yadi upāyo na syāt, kimarthamārabhyeta | tasmāt sambandho	darSitam anyaTA yadi upAyaH na syAt, kimarTam AraByeta | tasmAt sambanDaH 
   'rthāt pratipādayate |	arTAt pratipAdayate |
   atra samyagjñānamityetadabhidheyam | samyagjñānavyutpattistu prayojanam |	atra samyak jQAnam iti etat aBiDA iyam | samyak jQAna vyutpattiH tu prayojanam |
   tacca vyutpattayātmakaṃ samyagjñānapratipādanamanena kriyata iti	tat ca vyutpattaya Atmakam samyak jQAna pratipAdanam anena kriyate iti
   prakaraṇamidaṃ tasyārthasya sādhanaṃ bhavati | tena prakarana prayojanayoḥ	prakaraNam idam tasya arTasya sADanam Bavati | tena prakarana prayojanayoH
   sādhyasādhanalakṣaṇaḥ sambandhaḥ | tathā ca  etatprakaraṇaśravaṇāt |	sADya sADana lakzaNaH sambanDaH | taTA ca etad prakaraNa SravaNAt |
   samyagjñānasvarūpamabhrāntatayā jñāyate | tena prakaraṇaṃ sādhanam,	samyak jQAna svarUpam aBra anta tayA jQAyate | tena prakaraNam sADanam,
   samyagjñāna parijñānaṃ ca upāyasādhyamiti sthitiḥ | sa ca sādhya	samyak jQAna parijQAnam ca upAya sADyam iti sTitiH | sa ca sADya
   sādhanalakṣaṇaḥ sambandhaḥ kāryakāraṇalakṣaṇa eva | tathā ca prakaraṇaṃ	sADana lakzaNaH sambanDaH kArya kAraNa lakzaNaH eva | taTA ca prakaraNam
   sādhanaṃ, phalaṃ ca sādhyamḥ prakāṇaṃ kāraṇam, phalaṃ ca kāryamiti |	sADanaM, Palam ca sADyamH prakANam kAraNam, Palam ca kAryam iti |
   tasmāt samyagjñānaparijñānahetoretatprakaraṇārambha iti sthitiḥ ||	tasmAt samyak jQAna parijQAna hetoH etat prakaraNa AramBaH iti sTitiH ||
   athaivaṃ sthite 'pi, yadi kaścit pṛcchati  ko 'rthaḥ	aTa evam sTite api, yadi kaScid pRcCati kaH arTaH
   samyagjñānabyutpādane? tadeva tāvanniṣprayojanamiti | etat	samyak jQAna byutpAdane? tat eva tAvat nizprayojanam iti | etat 
   kākadantāprīkṣākalpam |	kAka dantA prIkzA kalpam |
   mā bhūdupadeśaḥ, kimarthamayaṃ śrama iti? tasmādāha  samyagjñānapūrvikāṃ	mA BUt upadeSaH, kimarTa mayam SramaH iti? tasmAt Aha samyak jQAna pUrvikAm
   sarvapuruṣārthasiddhiriti | tena prayojanasya prayojanamuktam | tatrāyaṃ	sarva puruza arTa sidDiH iti | tena prayojanasya prayojanam uktam | tatra ayam
   vākyārthaḥ  yasmāt sarvapuruṣārtha dvividhaṃ hi prakaraṇaśarīram  śabdaḥ	vAkya arTaH yasmAt sarva puruza arTa dviviDam hi prakaraNa SarIram SabdaH
   arthaśca |	arTaH ca |
   tatra śabdasya svābhidheyapratipādanameva prayojanam, nānyat | atastanna	tatra Sabdasya sva aBiDeya pratipAdanam eva prayojanam, na anyat | atas tat na
   nirūpyate |	nirUpyate |
   na samyagjñānavyutpatteḥ śāstraprayojanasya prayojanam |	na samyak jQAna vyutpatteH SAstra prayojanasya prayojanam |
   sarvapuruṣārthasiddhirbyutpatteḥ samyagjñānaparijñānasyaiva prayojanam |	sarva puruza arTa sidDiH byutpatteH samyak jQAna parijQAnasya eva prayojanam |
   sarvapuruṣārthasiddhiḥ prayojanaṃ yena syāt prayojana prayojanam, tena ca	sarva puruza arTa sidDiH prayojanam yena syAt prayojana prayojanam, tena ca
   prayojana prayojanamākhyātamiti dūṣitam sāmarthyāt |	prayojana prayojanam AKyAtam iti dUzitam sAmarTyAt |
   atha kasmāt prakaraṇasyābhidheyaprayojanamityuktam, na punaḥ prakaraṇasya	aTa kasmAt prakaraNasya aBiDeya prayojanam iti uktam, na punar prakaraNasya
   śarīra prayojanam? ityāha  dvividhaṃ hītyādi | yato dvividhaṃ prakaraṇasya	SarIra prayojanam? iti Aha dviviDam hi ityAdi | yatas dviviDam prakaraNasya
   śarīraṃ prakaraṇasya svabhāvaḥ | tasmāt abhidheyeti viśeṣaṇaṃ kṛtam |	SarIram prakaraNasya svaBAvaH | tasmAt aBiDeya iti viSezaNam kRtam |
   nanu yathābhidheyasya prayojanaṃ cintyate, tathā śabdasyāpi kimiti na	nanu yaTA aBiDeyasya prayojanam cintyate, taTA Sabdasya api kim iti na
   cintyate? ityāha  tatretyādi |	cintyate? iti Aha tatra ityAdi |
   tatpratipattaya iti | abhidheyapratipattaye | sabdarbho racanāviśeṣaḥ |	tad pratipattayaH iti | aBiDeya pratipattaye | sabdarBaH racanA viSezaH |
   apiśabdādarthasambandho 'pi gṛhyate | [nyā] siddhau samyagjñānamāvaśyakam,	api SabdAt arTa sambanDaH api gRhyate | [nyA] sidDO samyak jQAnam AvaSya kam,
   tasmādanubaddhaṃ puruṣārthasiddhayā | tacca vyutpāddam | taddhi	tasmAt anubadDam puruza arTa sidDayA | tat ca vyutpAddam | tat hi
   vyutpādanaṃ prakaraṇād bhavati | tena āvaśyakasamyagjñānavyutpattihetoḥ	vyutpAdanam prakaraNAt Bavati | tena AvaSyaka samyak jQAna vyutpatti hetoH
   prakaraṇamidamārabdhamiti | eṣa samāsārthaḥ ||	prakaraNam idam ArabDam iti | eza samAsa arTaH ||
   avayavārthastu  samaygjñānapūrvikā iti | atra avisaṃvādakaṃ jñānaṃ	avayava arTaH tu samayk jQAna pUrvikA iti | atra avisaMvAdakam jQAnam
   asmyagjñānam | arthakriyāyāṃ yadavisaṃvādakaṃ tadabhrāntam, tadeva ca	asmi agjQAnam | arTa kriyAyAm yat avisaMvAdakam tat aBra antam, tat eva ca
   samyagjñānam | anyathā prakaraṇena yogācāranayanirāsaḥ syāt | iṣṭaśca	samyak jQAnam | anyaTA prakaraNena yoga AcAra naya nirAsaH syAt | izwaH ca
   prakaraṇārambhaḥ sautrāntikaḥ yogācārobhayanayānu abhidheyaṃ tu yadi	prakaraNa AramBaH sOtra antikaH yoga AcAra uBayanayA anu aBiDeyam tu yadi
   nipprayojanaṃ syāt, tadā tatpratipattaye śabdasandarbho 'pi nārambhaṇīyaḥ	nipprayojanam syAt, tadA tad pratipattaye Sabda sandarBaH api na AramBaNIyaH
   syāt | yathā kākadantaprayojanābhāvāt na tatparīkṣā ārambhaṇīyā prekṣāvatā	syAt | yaTA kAka danta prayojana aBAvAt na tad parIkzA AramBaNIyA prekzAvatA
   tasmādasya prakaraṇasyārambhaṇīyatvaṃ darśayatā	tasmAt asya prakaraNasya AramBaNIya tvam darSayatA
   abhidheyaprayojanamanenocyate | yasmāt samyagjñānapūrvikā	aBiDeya prayojanam anena ucyate | yasmAt samyak jQAna pUrvikA
   sarvapuruṣārthasiddhiḥ, tasmāt tatpratipattaye idamārabhayate  ityayamatra	sarva puruza arTa sidDiH, tasmAt tad pratipattaye idam AraBayate iti ayam atra
   vākyārthaḥ |	vAkya arTaH |
   atra ca prakaraṇābhidheyasya samaygjñānasya sarvapuruṣārthasiddhihetutvaṃ	atra ca prakaraNa aBiDeyasya samayk jQAnasya sarva puruza arTa sidDi hetu tvam
   prayojanamuktam |	prayojanam uktam |
   asmiṃmaścārtha ucyamāne sambandhaprayojanābhidheyāni uktāni bhavanti |	asmiMmaH ca arTaH ucyamAne sambanDa prayojana aBiDeyAni uktAni Bavanti |
   tathā hi  'puruṣārthopayogi samyagjñānaṃ vyutpādayitavyamanena	taTA hi  apuruza arTa upayogi samyak jQAnam vyutpAdayitavyam anena
   prakaraṇena' iti bruvatā samyagjñānamaraya śabdasandarbhasya abhidheyam,	prakaraNena a iti bruvatA samyak jQAnam araya Sabda sandarBasya aBiDeyam,
   tadvayutpādanaṃ prayojanam, prakaraṇaṃ cedamupāyo vyutpādanasya  ityukta	tadvayutpAdanam prayojanam, prakaraNam ca idam upAyaH vyutpAdanasya iti ukta
   bhavati |	Bavati |
   tasmādabhidheyabhāgaprayojanābhidhānasāmarthyāt sambandhādīni uktāni	tasmAt aBiDeya BAga prayojana aBiDAna sAmarTyAt sambanDa AdIni uktAni
   bhavanti | na tvidamekaṃ vākayaṃ sambandham, abhidheyaṃ, prayojanaṃ ca	Bavanti | na tu idam ekam vAkayam sambanDam, aBiDeyan, prayojanam ca
   vaktuṃ sākṣāt samartham | ekaṃ tu vadat trayaṃ sākṣāt sāmarthyād darśayati	vaktum sAkzAt samarTam | ekam tu vadat trayam sAkzAt sAmarTyAt darSayati
   parīkṣeti | parīkṣyate 'nayeti parīkṣā, śāstramucyate | aneneti |	parIkzA iti | parIkzyate anayA iti parIkzA, SAstram ucyate | anena iti |
   ādivākyena | yasmādityādinā samudāyārtha darśayati | atreti | ādivākye |	Adi vAkyena | yasmAt ityAdinA samudAya arTa darSayati | atra iti | Adi vAkye |
   nanu ca yatrābhidheyaprayojanaṃ prekṣāvatāṃ pravṛttāvaṅga tathā	nanu ca yatra aBiDeya prayojanam prekzAvatAm pravRttO= aFga taTA
   samvandhādīnyapi, atastāni kimiti na kathyante? ityāha  asminniti |	samvanDa AdIni api, atas tAni kim iti na kaTyante? iti Aha asmin= iti |
   asminnabhidheyaprayojane kathite tānyapi sāmarthyāt kathitāni	asmin= aBiDeya prayojane kaTite tAni api sAmarTyAt kaTitAni
   bhavantītyarhtaḥ | abhidheya eva bhāgaḥ= aṃśaḥ, sambandhādirāśeḥ | tasya	Bavanti iti arhtaH | aBiDeyaH eva BAgaH aMSaH, sambanDa Adi rASeH | tasya
   prayojanaṃ kathayatītyarthaḥ | tad darśayati | abhidheyaprayojanameva	prayojanam kaTayati iti arTaH | tat darSayati | aBiDeya prayojanam eva
   sakṣād vācyatayā nirdiśyate, abhidheyādīni tu tadviśeṣaṇatayā | codakena	sakzAt vAcya tayA nirdiSyate, aBiDeya AdIni tu tad viSezaNa tayA | ca udakena
   pradhānavācyatayābhidheyādīnyapaśyatā coditam | sāmarthyāpātatayā	praDAna vAcyatayA aBiDeya AdIni apaSyatA coditam | sAmarTya ApAta tayA
   parihṛtaṃ siddhāntavādinā |	parihRtam sidDAnta vAdinA |
   na caikena vākyenārthatrayaṃ sākṣāchakyate darśayitumiti darśayati  na	na ca ekena vAkyena arTa trayam sAkzASakyate darSayitum iti darSayati na
   tvidamityādi |	tu idam ityAdi |
   ekaṃ tvittyādivākyaṃ prādhānyenaikaṃ	ekam tu itti Adi vAkyam prADAnyena ekam
   vadadabhidheyavyutpattiprayojanasambandhārthatrayaṃ pratipadayati tatra	vadat aBiDeya vyutpatti prayojana sambanDa arTa trayam pratipadayati tatra
   tadityādinā | apoddhāreṇāvayavārtha darśayati tatretyādivākye | nanu ca	tat ityAdinA | apa udDAreNa avayava arTa darSayati tatra ityAdi vAkye | nanu ca
   taddhāavnārtham | tasmādubhayanayasaṃgrahādavisaṃvādaka jñānameva	tat hAavna arTam | tasmAt uBaya naya saMgrahAt avi saMvAdaka jQAnam eva
   samyagjñānamiti bodhyam |	samyak jQAnam iti boDyam |
   samyagjñānaṃ pūrva yasyāḥ sā samyagjñānapūrvikā | pūrvaśabdo 'yaṃ	samyak jQAnam pUrva yasyAH sA samyak jQAna pUrvikA | pUrva SabdaH ayam
   kāraṇaparaḥ | yasmāt kāraṇaṃ pūrva kāryasya, tasmāt tat pūrvamityucyate |	kAraNa paraH | yasmAt kAraNam pUrva kAryasya, tasmAt tat pUrvam iti ucyate |
   samyagjñānakraṇiketi śeṣaḥ |	samyak jQAna kraNikA iti SezaH |
   sarvapuruṣārthasiddhiriti | puruṣasyārthaḥ puruṣārthaḥ | arthaśabdena	sarva puruza arTa sidDiH iti | puruzasya arTaH puruza arTaH | arTa Sabdena
   prayojanamukyate | puruṣaprayojanamiti śeṣaḥ | sarvaścāsau puruṣārthaśceti	prayojanam ukyate | puruza prayojanam iti SezaH | sarvaH ca asO puruza arTaH ca iti
   sarvapruṣārthaḥ | sarva iti sannikṛṣṭaviprakṛṣṭa laukika lokottara	sarva pruza arTaH | sarve iti sannikRzwa viprakRzwa lOkika lokottara
   heyopādeyopekṣaṇīyāḥ | tatra samīpadeśavartī sannikṛṣṭaḥ | dūradeśavartī	heya upAdeya upekzaNIyAH | tatra samIpa deSa vartI sannikRzwaH | dUra deSa vartI
   viprakṛṣṭaḥ | laukikaḥ saṃsāramadhyaparyāpannaḥ | lokottarastu duḥkhātītaḥ	viprakRzwaH | lOkikaH saMsAra maDya paryApannaH | loka uttaraH tu duHKa atItaH
   | heyaḥ aniṣṭaḥ, ahi kaṇṭaka viṣa śūlādilakṣaṇaḥ | upādeya iṣṭaḥ, strak	| heyaH anizwaH, ahi kaNwaka viza SUla Adi lakzaNaH | upAdeyaH izwaH, strak
   candana vasanāśana tatra tad ityābhidheyam, vyutpādyate iti prayojanapadam	candana vasa nASana tatra tat iti ABiDeyam, vyutpAdyate iti prayojana padam
   | prayojane cātra vaktuḥ prakaraṇakaraṇavyāpārasya cintyate, śrotuśca	| prayojane ca atra vaktuH prakaraNa karaNa vyApArasya cintyate, SrotuH ca
   śravaṇavyāpārasya |	SravaNa vyApArasya |
   tathā hi  sarve prekṣāvantaḥ pravṛttiprayojanamanviṣya pravartante |	taTA hi sarve prekzAvantaH pravRtti prayojanam anvizya pravartante |
   tataścācāryeṇa prakaraṇe kimartha kṛtam, śrotṛbhiśca kimartha śrūyate? 	tatas ca AcAryeNa prakaraNe kim arTa kRtam, SrotRBiH ca kimarTa SrUyate? 
   iti saṃśaye vyutpādanaṃ prayojanamabhidhauyate | samyagjñānaṃ	iti saMSaye vyutpAdanam prayojanam aBiDOyate | samyak jQAnam
   vyutpadyamānānāmātmānaṃ vyutpādakaṃ kartu prakaraṇamidaṃ kṛtam |	vyutpadyamAnAnAm AtmAnam vyutpAdakam kartu prakaraNam idam kRtam |
   śiṣyaiścācāryaprayuktāmātmano vyutpattimiccadbhiḥ prakaraṇamidaṃ śrūyata	SizyEH ca AcArya prayuktAm AtmanaH vyutpattim iccadBiH prakaraNam idam SrUyata
   iti prakaraṇakaraṇa śravaṇayo prayojanaṃ vyutpādanam |	iti prakaraNa karaNa SravaNayaH prayojanam vyutpAdanam |
   sambandhapradarśanapadaṃ tu na bidyate | sāmarthyādeva tu sa	sambanDa pradarSana padam tu na bidyate | sAmarTyAt eva tu sa
   pratipattavyaḥ |	pratipattavyaH |
   vyutpattiḥ kriyata ityevaṃ yujyate vaktum kimiti atdvayutpādyate iti ṇicā	vyutpattiH kriyate iti evam yujyate vaktum kim iti atdvayutpAdyate iti NicA
   nirdeśa iti | tatphalamāha  prayojanaṃ cātretyādi | atreti prakaraṇe |	nirdeSaH iti | tad Palam Aha prayojanam ca atra ityAdi | atra iti prakaraNe |
   vakturiti śāstrakartu śrotuśca prakaraṇakaraṇaśravaṇavyāpārasya prayojanaṃ	vaktuH iti SAstra kartu SrotuH ca prakaraNa karaNa SravaNa vyApArasya prayojanam
   vintyate |	vintyate |
   yasmād dvayorapi vaktṛśrotrostatra prakaraṇe prakaraṇakaraṇaśravaṇāsyo	yasmAt dvayoH api vaktR SrotroH tatra prakaraNe prakaraNa karaNa SravaNa AsyaH 
   vyāpārau staḥ, kimiti punastayoḥ karaṇaśravaṇayoḥ prayojanaṃ cintyate?	vyApArO staH, kim iti punar tayoH karaNa SravaNayoH prayojanam cintyate?
   ityāha  tathā hītyādi | tata ācāryeṇetyādinā dvayorvyāpārasya prayojanaṃ	iti Aha taTA hi ityAdi | tatas AcAryeNa ityAdinA dvayoH vyApArasya prayojanam
   darśayati | yasmādanena samyagjñānaṃ vyutpādayate ityatra vākye	darSayati | yasmAt anena samyak jQAnam vyutpAdayate iti atra vAkye
   vyutpattikriyāniṣpattau karaṇaśravaṇakriyādvayakartavyatayā praviṣṭam |	vyutpatti kriyA nizpattO karaNa SravaNa kriyA dvaya kartavya tayA pravizwam |
   tacca vyutpattikaraṇa śāstrakārasyaiva nānyasyeti ṇicā nidarśitam | yasmāt	tat ca vyutpatti karaNa SAstra kArasya eva na anyasya iti NicAH nidarSitam | yasmAt 
   samyagjñānaṃ vyutpādyamānān śiṣyān prerayati  vyutpāditaṃ samyagjñānaṃ	samyak jQAnam vyutpAdyamAnAn SizyAn prerayati vyutpAditam samyak jQAnam
   vyutpadyadhvam iti | ātmānaṃ vyutpādakaṃ kartumārabdhaṃ prakaraṇam |	vyutpadyaDvam iti | AtmAnam vyutpAdakam kartum ArabDam prakaraNam |
   tasmād vaktureva karaṇavyāpārasya prayojana vyutpādanam, na bhājanādīnām |	tasmAt vaktuH eva karaNa vyApArasya prayojana vyutpAdanam, na BAjana AdInAm |
   yadyapi tairvinā vyutpādanaṃ na bavati, tathāpi na tāni vyutpādakāniḥ	yadi api tEH vinA vyutpAdanam na bavati, taTA api na tAni vyutpAdakAniH
   teṣāṃ śiṣyaviṣaye prerakatvābhāvāt | śiṣyaiścetyādi | yasmāchiṣyā	tezAm Sizya vizaye preraka tva aBAvAt | SizyEH ca ityAdi | yasma aSizyA
   ācāryaprayuktāṃ vyutpattimātmanaḥ sambandhinī kartumichanti yataste	AcArya prayuktAm vyutpattim AtmanaH sambanDinI kartumiCanti yatas te
