   REFERENCE SYSTEM (added):	RA-eFA-eRENCE SYSTEm (added):
   tatra khalu bhagavānāyuṣmantaṃ śāriputramāmantrayati sma - asti śāriputra	tatra Kalu BagavAn-Ayuzmantam SAriputram-Amantrayati sma  asti SAriputra
   paścime digbhāge ito buddhakṣetraṃ koṭiśatasahasraṃ	paScime diS-BAge itas budDa-kzetram kowi-Sata-sahasram
   buddhākṣetrāṇāmatikramya sukhāvatī nāma lokadhātuḥ | tatra amitāyurnāma	budDAkzetrANAm-atikramya suKAvatI nAma lokaDAtuH | tatra amita-AyuH-nAma
   tathāgato 'rhan samyaksaṃbuddha etarhi tiṣṭhati dhriyate yāpayati, dharmaṃ	taTAgataH arhan samyaksaMbudDaH etarhi tizWati Driyate yApayati, Darmam
   ca deśayati tatkiṃ manyase śāriputra kena kāraṇena sā lokadhātuḥ	ca deSayati tat-kim manyase SAriputra kena kAraNena sA lokaDAtuH
   sukhāvatītyucyate? tatra khalu punaḥ śāriputra sukhāvatyāṃ lokadhātau	suKAvatI-iti-ucyate? tatra Kalu punar SAriputra suKAvatyAm lokaDAtO
   nāsti sattvānāṃ kāyaduḥkhaṃ na cittaduḥkham | apramāṇānyeva sukhakāraṇāni	na-asti sattvAnAm kAya-duHKam na citta-duHKam | apramANAni-eva suKa-kAraNAni
   | tena kāraṇena sā lokadhātuḥ sukhāvatītyucyate || Sukhs_2 ||	| tena kAraNena sA lokaDAtuH suKAvatI-iti-ucyate || SuKH-_2 ||
   punaraparaṃ śāriputra sukhāvatī lokadhātuḥ saptabhirvedikābhiḥ	punar-aparam SAriputra suKAvatI lokaDAtuH saptaBiH-vedikABiH
   saptabhistālapaṅktibhiḥ kiṅkiṇījālaiśca samalaṃkṛtā samantato	saptaBiH-tAla-paFktiBiH kiFkiNI-jAlEH-ca samalaMkRtA samantataH-
   'nupatikṣiptā citrā darśanīyā caturṇāṃ ratnānām | tadyathā suvarṇasya	anupatikziptA citrA darSanIyA caturNAm ratnAnAm | tat-yaTA suvarNasya
   rūpyasya vaiḍūryasya sphaṭikasya | evaṃrūpaiḥ śāriputra	rUpyasya vExUryasya sPawikasya | evaMrUpEH SAriputra
   buddhakṣetraguṇavyūhaiḥ samalaṃkṛtaṃ tadbuddhakṣetram || Sukhs_3 ||	budDa-kzetra-guNa-vyUhEH samalaMkRtam tat-budDa-kzetram || SuKH-_3 ||
   punaraparaṃ śāriputra sukhāvatyāṃ lokadhātau saptaratnamayyaḥ puṣkariṇyaḥ	punar-aparam SAriputra suKAvatyAm lokaDAtO sapta-ratna-mayyaH puzkariNyaH
   - tadyathā suvarṇasya rūpyasya vaiḍūryasya sphaṭikasya lohitamuktasya	 tat-yaTA suvarNasya rUpyasya vExUryasya sPawikasya lohita-muktasya
   aśmagarbhasya musāragalvasya saptamasya ratnasya |	aSmagarBasya musAra-galvasya saptamasya ratnasya |
   aṣṭāṅgopetavāriparipūrṇāḥ samatīrthakāḥ kākapeyā suvarṇavālukāsaṃstṛtāḥ |	azwAFga-upeta-vAri-paripUrNAH sama-tIrTakAH kAkapeyA suvarNa-vAlukA-saMstRtAH |
   tāsu ca puṣkariṇīṣu samantāccaturdiśaṃ catvāri sopānāni citrāṇi	tAsu ca puzkariNIzu samantAt-caturdiSam catvAri sopAnAni citrANi
   darśanīyāni caturṇāṃ ratnānām - tadyathā suvarṇasya rūpyasya vaiḍūryasya	darSanIyAni caturNAm ratnAnAm  tat-yaTA suvarNasya rUpyasya vExUryasya
   sphaṭikasya | tāsāṃ ca puṣkariṇīnāṃ samantādratnavṛkṣā jātāścitrā	sPawikasya | tAsAm ca puzkariNInAm samantAt-ratna-vRkzAH jAtAH-citrA
   darśanīyāḥ saptānāṃ ratnānām - tadyathā suvarṇasya rūpyasya vaiḍūryasya	darSanIyAH saptAnAm ratnAnAm  tat-yaTA suvarNasya rUpyasya vExUryasya
   sphaṭikasya lohitamuktasyāśmagarbhasya musāragalvasya saptamasya ratnasya	sPawikasya lohita-muktasya-aSma-garBasya musAra-galvasya saptamasya ratnasya
   | tāsu ca puṣkariṇīṣu santi padmāni jātāni nīlāni nīlavarṇāni	| tAsu ca puzkariNIzu santi padmAni jAtAni nIlAni nIla-varNAni
   nīlanirbhāsāni nīlanidarśanāni | pītāni pītavarṇāni pītanirbhāsāni	nIla-nirBAsAni nIla-nidarSanAni | pItAni pIta-varNAni pIta-nirBAsAni
   pītanidarśanāni | lohitāni lohitavarṇāni lohitanirbhāsāni	pIta-nidarSanAni | lohitAni lohita-varNAni lohita-nirBAsAni
   lohitanidarśanāni | (# Sukhs, Vaidya 255.#) avadātāni avadātavarṇāni	lohita-nidarSanAni | (# SuKs, VEdyaH 255.#) avadAtAni avadAta-varNAni
   avadātanirbhāsāni avadātanidarśanāni | citrāṇi citravarṇāni	avadAta-nirBAsAni avadAta-nidarSanAni | citrANi citra-varNAni
   citranirbhāsāni citranidarśanāni śakaṭacakrapramāṇapariṇāhāni | evaṃrūpaiḥ	citra-nirBAsAni citra-nidarSanAni Sakawa-cakra-pramANa-pariNAhAni | evaMrUpEH
   śāriputra buddhakṣetraguṇavyūhaiḥ samalaṃkṛtaṃ tadbuddhakṣetram || Sukhs_4	SAriputra budDa-kzetra-guNa-vyUhEH samalaMkRtam tat-budDa-kzetram || SuKH-_4
   punaraparaṃ śāriputra tatra buddhakṣetre nityapravāditāni divyāni tūryāṇi	punar-aparam SAriputra tatra budDa-kzetre nitya-pravAditAni divyAni tUryANi
   | suvarṇavarṇā ca mahāpṛthivī ramaṇīyā | tatra ca buddhakṣetre triṣkṛtvo	| suvarNa-varNA ca mahA-pRTivI ramaNIyAH | tatra ca budDa-kzetre trizkRtvA-u
   rātrau triṣkṛtvo divasasya puṣpavarṣaṃ pravarṣati divyānāṃ	rAtrO trizkRtvas divasasya puzpa-varzam pravarzati divyAnAm
   māndāravapuṣpāṇām | tatra ye sattvā upapannāste ekena purobhaktena	mAnda-Arava-puzpANAm | tatra ye sattvAH upapannAH-te ekena puroBaktena
   koṭiśatasahasraṃ buddhānāṃ vandanti anyāṃllokadhātūn gatvā | ekaikaṃ ca	kowi-Sata-sahasram budDAnAm vandanti anyAn=-loka-DAtUn gatvA | ekEkam ca
   tathāgataṃ koṭiśatasahasrābhiḥ puṣpavṛṣṭibhirabhyavakīrya punarapi tāmeva	taTAgatam kowi-Sata-sahasrABiH puzpa-vRzwiBiH-aByavakIrya punar-api tAm-eva
   lokadhātumāgacchanti divāvihārāya | evaṃrūpaiḥ śāriputra	lokaDAtum-AgacCanti divA-vihArAya | evaMrUpEH SAriputra
   buddhakṣetraguṇavyūhaiḥ samalaṃkṛtaṃ tadbuddhakṣetram || Sukhs_5 ||	budDa-kzetra-guNa-vyUhEH samalaMkRtam tat-budDa-kzetram || SuKH-_5 ||
   punaraparaṃ śāriputra tatra buddhakṣetre santi haṃsāḥ krauñcā mayūrāśca |	punar-aparam SAriputra tatra budDa-kzetre santi haMsAH krOQcAH mayUrAH-ca |
   te triṣkṛtvo rātro triṣkṛtvo divasasya saṃnipatya saṃgītiṃ kurvanti sma,	te trizkRtvaH rAtraH trizkRtvas divasasya saMnipatya saMgItim kurvanti sma,
   svakasvakāni ca rutāni pravyāharanti | teṣāṃ	sva-ka-svakAni ca rutAni pravyAharanti | tezAm
   pravyāharatāmindriyabalabodhyaṅgaśabdo niścarati | tatra teṣāṃ manuṣyāṇāṃ	pravyAharatAm-indriya-bala-boDi-aFga-SabdaH niScarati | tatra tezAm manuzyANAm
   taṃ śabdaṃ śrutvā buddhamanasikāra utpadyate, dharmamanasikāra utpadyate,	tam Sabdam SrutvA budDa-manasikAraH utpadyate, Darma-manasikAraH utpadyate,
   saṃghamanasikāra utpadyate | tatkiṃ manyase śāriputra tiryagyonigatāste	saMGa-manasikAraH utpadyate | tat-kim manyase SAriputra tiryagyoni-gatAH-te
   sattvāḥ? na punarevaṃ draṣṭvyam | tatkasmāddhetoḥ? nāmāpi śāriputra tatra	sattvAH? na punar-evam drazwvyam | tat-kasmAt-hetoH? nAma-api SAriputra tatra
   buddhakṣetre nirayāṇāṃ nāsti, tiryagyonīnāṃ yamalokasya nāsti | te punaḥ	budDa-kzetre nirayANAm nAsti, tiryagyonInAm yama-lokasya na-asti | te punar-
   pakṣisaṃghāstenāmitāyuṣā tathāgatena nirmitā dharmaśabdaṃ niścārayanti |	pakzi-saMGAH-tena-amita-AyuzA taTAgatena nirmitAH Darma-Sabdam niScArayanti |
   evaṃrūpaiḥ śāriputra buddhakṣetraguṇavyūhaiḥ samalaṃkṛtaṃ tadbuddhakṣetram	evaMrUpEH SAriputra budDa-kzetra-guNa-vyUhEH samalaMkRtam tat-budDa-kzetram
   || Sukhs_6 ||	|| SuKH-_6 ||
   punaraparaṃ śāriputra tatra buddhakṣetre tāsāṃ ca tālapaṅktīnāṃ teṣāṃ ca	punar-aparam SAriputra tatra budDa-kzetre tAsAm ca tAla-paFktInAm tezAm ca
   kiṅkiṇījālānāṃ vāteritānāṃ valgurmanojñaḥ śabdo niścarati - tadyathāpi	kiFkiNI-jAlAnAm vAta-IritAnAm valguH-manojQaH SabdaH niScarati  tat-yaTA-api
   nāma śāriputra koṭiśatasahasrāṅgikasya divyasya tūryasya cāryaiḥ	nAma SAriputra kowi-Sata-sahasra-AFgikasya divyasya tUryasya ca-AryEH
   saṃpravāditasya valgurmanojñaḥ śabdo niścarati, evameva śāriputra tāsāṃ ca	saMpravAditasya valguH-manojQaH SabdaH niScarati, evam-eva SAriputra tAsAm ca
   tālapaṅktīnāṃ teṣāṃ ca kiṅkiṇījālānāṃ vāteritānāṃ valgurmanojñaḥ śabdo	tAla-paFktInAm tezAm ca kiFkiNI-jAlAnAm vAta-IritAnAm valguH-manojQaH SabdaH-
   niścarati | tatra teṣāṃ manuṣyāṇāṃ taṃ śabdaṃ śrutvā buddhānusmṛtiḥ kāye	niScarati | tatra tezAm manuzyANAm tam Sabdam SrutvA budDa-anusmRtiH kAye
   saṃtiṣṭhati, dharmānusmṛtiḥ kāye saṃtiṣṭhati, saṃghānusmṛtiḥ kāye	saMtizWati, Darma-anusmRtiH kAye saMtizWati, saMGa-anusmRtiH kAye
   saṃtiṣṭhati | evarūpaiḥ śāriputra buddhakṣetraguṇavyūhaiḥ samalaṃkṛtaṃ	saMtizWati | eva-rUpEH SAriputra budDa-kzetra-guNa-vyUhEH samalaMkRtam
   tadbuddhakṣetram || Sukhs_7 ||	tat-budDa-kzetram || SuKH-_7 ||
   tatkiṃ manyase śāriputra kena kāraṇena sa tathāgato 'mitāyurnāmocyate?	tat-kim manyase SAriputra kena kAraNena sa taTAgataH amita-AyuH-nAma-ucyate?
   tasya khalu punaḥ śāriputra tathāgatasya teṣāṃ ca	tasya Kalu punar SAriputra taTAgatasya tezAm ca
   manuṣyāṇāmaparimitamāyuḥpramāṇam | tena kāraṇena sa tathāgato	manuzyANAm-aparimitam-AyuH-pramANam | tena kAraNena sa taTAgataH-
   'mitāyurnāmocyate | tasya ca śāriputra tathāgatasya daśa kalpā anuttarāṃ	amita-AyuH-nAma-ucyate | tasya ca SAriputra taTAgatasya daSa kalpAH anuttarAm
   samyaksaṃbodhimabhisaṃbuddhasya || Sukhs_8 ||	samyaksaMboDim-aBisaMbudDasya || SuKH-_8 ||
   tatkiṃ manyase śāriputra kena kāraṇena sa tathāgato 'mitābho nāmocyate?	tat-kim manyase SAriputra kena kAraNena sa taTAgataH amita-ABaH nAma-ucyate?
   tasya khalu punaḥ śāriputra tathāgatasyābhā apratihatā sarvabuddhakṣetreṣu	tasya Kalu punar SAriputra taTAgatasya-ABA apratihatA sarva-budDa-kzetrezu
   | tena kāraṇena sa tathāgato 'mitābho nāmocyate | tasya ca śāriputra	| tena kAraNena sa taTAgataH amita-ABaH nAma-ucyate | tasya ca SAriputra
   tathāgatasyāprameyaḥ śrāvakasaṃgho yeṣāṃ na sukaraḥ pramāṇamākhyātuḥ	taTAgatasya-aprameyaH SrAvaka-saMGaH yezAm na sukaraH pramANam-AKyAtuH
   śuddhānāmarhatām | evaḥrūpaiḥ śāriputra buddhakṣetraguṇavyūhaiḥ	SudDAnAm-arhatAm | evaH-rUpEH SAriputra budDa-kzetra-guNa-vyUhEH
   samalaḥkṛtaḥ tadbuddhakṣetram || Sukhs_9 ||	samalaH-kRtaH tat-budDa-kzetram || SuKH-_9 ||
   punaraparaṃ śāriputra ye amitāyuṣastathāgatasya buddhakṣetre sattvā	punar-aparam SAriputra ye amita-AyuzaH-taTAgatasya budDa-kzetre sattvA
   upapannāḥ śuddhā bodhisattvā avinivartanīyā ekajātipratibaddhāsteṣāṃ	upapannAH SudDAH boDisattvAH avinivartanIyAH eka-jAti-pratibadDAH-tezAm
   śāriputra bodhisattvānāṃ na sukaraṃ pramāṇa#	SAriputra boDisattvAnAm na sukaram pramANa-#
   mā.#khyātumanyatrāprameyāsaṃkhyeyā (# Sukhs, Vaidya 256.#) iti gacchanti |	mA.#KyAtum-anyatra-aprameya-asaMKyeyAH (# SuKs, VEdyaH 256.#) iti gacCanti |
   tatra khalu punaḥ śāriputra buddhakṣetre sattvaiḥ praṇidhānaṃ kartavyam |	tatra Kalu punar SAriputra budDa-kzetre sattvEH praNiDAnam kartavyam |
   tatkasmāddhetoḥ? yatra hi nāma tathārūpaiḥ satpuruṣaiḥ saha samavadhānaṃ	tat-kasmAt-hetoH? yatra hi nAma taTArUpEH sat-puruzEH saha samavaDAnam
   bhavati | nāvaramātrakeṇa śāriputra kuśalamūlena amitāyuṣastathāgatasya	Bavati | nAvara-mAtrakeNa SAriputra kuSala-mUlena amita-AyuzaH-taTAgatasya
   buddhakṣetre sattvā upapadyante | yaḥ kaścicchāriputra kulaputro vā	budDa-kzetre sattvAH upapadyante | yaH kaScid-SAriputra kula-putraH vA
   kuladuhitā vā tasya bhagavato 'mitāyuṣastathāgatasya nāmadheyaṃ śroṣyati,	kula-duhitA vA tasya BagavataH amita-AyuzaH-taTAgatasya nAmaDeyam Srozyati,
   śrutvā ca manasikariṣyati, ekarātraṃ vā dvirātraṃ vā trirātraṃ vā	SrutvA ca manasi-karizyati, eka-rAtram vA dvi-rAtram vA tri-rAtram vA
   catūrātraṃ vā pañcarātraṃ vā ṣaḍrātraṃ vā saptarātraṃ vāvikṣiptacitto	catUrAtram vA paQca-rAtram vA zaz-rAtram vA sapta-rAtram vA-avikzipta-cittaH-
   manasikariṣyati, yadā sa kulaputro vā kuladuhitā vā kālaṃ kariṣyati, tasya	manasi-karizyati, yadA sa kula-putraH vA kula-duhitA vA kAlam karizyati, tasya
   kālaṃ kurvataḥ so 'mitāyustathāgataḥ śrāvakasaṃghaparivṛto	kAlam kurvataH saH amita-AyuH-taTAgataH SrAvaka-saMGa-parivRtaH-
   bodhisattvaguṇapuraskṛtaḥ purataḥ sthāsyati | so 'viparyastacittaḥ kālaṃ	boDisattva-guNa-puraskRtaH puratas sTAsyati | saH aviparyasta-cittaH kAlam
   kariṣyati ca | sa kālaṃ kṛtvā tasyaivāmitāyuṣastathāgatasya buddhakṣetre	karizyati ca | sa kAlam kRtvA tasya-eva-amita-AyuzaH-taTAgatasya budDa-kzetre
   sukhāvatyāṃ lokadhātāvupapatsyate | tasmāttarhi śāriputra idamarthavaśaṃ	suKAvatyAm lokaDAtO=-upapatsyate | tasmAt-tarhi SAriputraH idam-arTa-vaSam
   saṃpaśyamāna eva vadāmi - satkṛtya kulaputreṇa vā kuladuhitrā vā tatra	saMpaSyamAnaH eva vadAmi  satkRtya kula-putreNa vA kula-duhitrA vA tatra
   buddhakṣetre cittapraṇidhānaṃ kartavyam || Sukhs_10 ||	budDa-kzetre citta-praNiDAnam kartavyam || SuKH-_10 ||
   tadyathāpi nāma śāriputra ahametarhi tāṃ parikīrtayāmi, evameva śāriputra	tat-yaTA-api nAma SAriputra aham-etarhi tAm parikIrtayAmi, evam-eva SAriputra
   pūrvasyāṃ diśi akṣobhyo nāma tathāgato merudhvajo nāma tathāgato	pUrvasyAm diSi akzoByaH nAma taTAgataH meruDvajaH nAma taTAgataH-
   mahāmerurnāma tathāgato meruprabhāso nāma tathāgato mañjudhvajo nāma	mahAmeruH-nAma taTAgataH merupraBAsaH nAma taTAgataH maQjuDvajaH nAma
   tathāgataḥ | evaṃpramukhāḥ śāriputra pūrvasyāṃ diśi gaṅgānadīvālukopamā	taTAgataH | evaMpramuKAH SAriputra pUrvasyAm diSi gaFgA-nadI-vAlukA-upamA
   buddhā bhagavantaḥ svakasvakāni buddhakṣetrāṇi jihvendriyeṇa saṃchādayitvā	budDAH BagavantaH sva-ka-svakAni budDa-kzetrANi jihvA-indriyeNa saMCAdayitvA
   nirveṭhanaṃ kurvanti | pratīyatha yūyamidamacintyaguṇaparikīrtanaṃ	nirveWanam kurvanti | pratIyaTa yUyam-idam-acintya-guNa-parikIrtanam
   sarvabuddhaparigrahaṃ nāma dharmaparyāyam || Sukhs_11 ||	sarva-budDa-parigraham nAma Darma-paryAyam || SuKH-_11 ||
   evaṃ dakṣiṇasyāṃ diśi candrasūryapradīpo nāma tathāgato yaśaḥprabho nāma	evam dakziNasyAm diSi candra-sUryapradIpaH nAma taTAgataH yaSaHpraBaH nAma
   tathāgato mahārciḥskandho nāma tathāgato merupradīpo nāma tathāgato	taTAgataH mahArciHskanDaH nAma taTAgataH merupradIpaH nAma taTAgataH-
   'nantavīryo nāma tathāgataḥ | evaṃpramukhāḥ śāriputra dakṣiṇasyāṃ diśi	ananta-vIryaH nAma taTAgataH | evaMpramuKAH SAriputra dakziNasyAm diSi
   gaṅgānadīvālukopamā buddhā bhagavantaḥ svakasvakāni buddhakṣetrāṇi	gaFgA-nadI-vAlukA-upamAH budDAH BagavantaH sva-ka-svakAni budDa-kzetrANi
   jihvendriyeṇa saṃchādayitvā nirveṭhanaṃ kurvanti | pratīyatha	jihvA-indriyeNa saMCAdayitvA nirveWanam kurvanti | pratIyaTa
   yūyamidamacintyaguṇaparikīrtanaṃ sarvabuddhaparigrahaṃ nāma dharmaparyāyam	yUyam-idam-acintya-guNa-parikIrtanam sarva-budDa-parigraham nAma Darma-paryAyam
   || Sukhs_12 ||	|| SuKH-_12 ||
   evaṃ paścimāyāṃ diśi amitāyurnāma tathāgato 'mitaskandho nāma tathāgato	evam paScimAyAm diSi amitAyuH-nAma taTAgataH amitaskanDaH nAma taTAgataH-
   'mitadhvajo nāma tathāgato mahāprabho nāma tathāgato mahāratnaketurnāma	amitaDvajaH nAma taTAgataH mahApraBaH nAma taTAgataH mahAratna-ketuH-nAma
   tathāgataḥ śuddharaśmiprabho nāma tathāgataḥ | evaṃpramukhāḥ śāriputra	taTAgataH SudDaraSmipraBaH nAma taTAgataH | evaMpramuKAH SAriputra
   paścimāyāṃ diśi gaṅgānadīvālukopamā buddhā bhagavantaḥ svakasvakāni	paScimAyAm diSi gaFgA-nadI-vAlukA-upamAH budDAH BagavantaH sva-ka-svakAni
   buddhakṣetrāṇi jihvendriyeṇa saṃchādayitvā nirveṭhanaṃ kurvanti |	budDa-kzetrANi jihvA-indriyeNa saMCAdayitvA nirveWanam kurvanti |
   pratīyatha yūyamidamacintyaguṇaparikīrtanaṃ sarvabuddhaparigrahaṃ nāma	pratIyaTa yUyam-idam-acintya-guNa-parikIrtanam sarva-budDa-parigraham nAma
   dharmaparyāyam || Sukhs_13 ||	Darma-paryAyam || SuKH-_13 ||
   evamuttarāyāṃ diśi mahārciḥskandho nāma tathāgato vaiśvānaranirghoṣo nāma	evam-uttarAyAm diSi mahArciHskanDaH nAma taTAgataH vESvAnara-nirGozaH nAma
   tathāgato dundubhisvaranirghoṣo nāma tathāgato duṣpradharṣo nāma	taTAgataH dunduBisvaranirGozaH nAma taTAgataH duzpraDarzaH nAma
   tathāgataḥ ādityasaṃbhavo nāma tathāgato jaleniprabho nāma tathāgataḥ	taTAgataH AdityasaMBavaH nAma taTAgataH jalenipraBaH nAma taTAgataH
   prabhākaro nāma tathāgataḥ | evaṃpramukhāḥ śāriputra uttarāyāṃ diśi	praBAkaraH nAma taTAgataH | evaMpramuKAH SAriputraH uttarAyAm diSi
   gaṅgānadīvālukopamā buddhā bhagavantaḥ svakasvakāni buddhakṣetrāṇi	gaFgA-nadI-vAlukA-upamAH budDAH BagavantaH sva-ka-svakAni budDa-kzetrANi
   jihvendriyeṇa saṃchādayitvā nirveṭhanaṃ kurvanti | pratīyatha	jihvA-indriyeNa saMCAdayitvA nirveWanam kurvanti | pratIyaTa
   yūyamidamacintyaguṇaparikīrtanaṃ sarvabuddhaparigrahaṃ nāma dharmaparyāyam	yUyam-idam-acintya-guNa-parikIrtanam sarva-budDa-parigraham nAma Darma-paryAyam
   || Sukhs_14 ||	|| SuKH-_14 ||
   (# Sukhs, Vaidya 257.#) evamadhastāyāṃ diśi siṃho nāma tathāgato yaśo nāma	(# SuKs, VEdyaH 257.#) evam-aDastAyAm diSi siMhaH nAma taTAgataH yaSaH nAma
   tathāgato yaśaḥprabhāso nāma tathāgato dharmo nāma tathāgato dharmadharo	taTAgataH yaSaHpraBAsaH nAma taTAgataH DarmaH nAma taTAgataH Darma-DaraH-
   nāma tathāgato dharmadhvajo nāma tathāgataḥ | evaṃpramukhāḥ śāriputra	nAma taTAgataH DarmaDvajaH nAma taTAgataH | evaMpramuKAH SAriputra
   adhastāyāṃ diśi gaṅgānadīvālukopamā buddhā bhagavantaḥ svakasvakāni	aDastAyAm diSi gaFgA-nadI-vAlukA-upamAH budDAH BagavantaH sva-ka-svakAni
   buddhakṣetrāṇi jihvendriyeṇa saṃchādayitvā nirveṭhanaṃ kurvanti |	budDa-kzetrANi jihvA-indriyeNa saMCAdayitvA nirveWanam kurvanti |
   pratīyatha yūiyamidamacintyaguṇaparikīrtanaṃ sarvabuddhaparigrahaṃ nāma	pratIyaTa yUiyam-idam-acintya-guNa-parikIrtanam sarva-budDa-parigraham nAma
   dharmaparyāyam || Sukhs_15 ||	Darma-paryAyam || SuKH-_15 ||
   evamupariṣṭhāyāṃ diśi brahmaghoṣo nāma tathāgato nakṣatrarājo nāma	evam-uparizWAyAm diSi brahmaGozaH nAma taTAgataH nakzatrarAjaH nAma
   tathāgata indraketudhvajarājo nāma tathāgato gandhottamo nāma tathāgato	taTAgataH indraketuDvajarAjaH nAma taTAgataH ganDottamaH nAma taTAgataH-
   gandhaprabhāso nāma tathāgato mahārciskandho nāma tathāgato	ganDapraBAsaH nAma taTAgataH mahArciskanDaH nAma taTAgataH-
   ratnakusumasaṃpuṣpitagātro nāma tathāgataḥ sālendrarājo nāma tathāgato	ratnakusuma-saMpuzpita-gAtraH nAma taTAgataH sAlendra-rAjaH nAma taTAgataH-
   ratnotpalaśrīrnāma tathāgataḥ sarvārthadarśī nāma tathāgataḥ sumerukalpo	ratnotpalaSrIH-nAma taTAgataH sarvArTa-darSI nAma taTAgataH sumeru-kalpaH-
   nāma tathāgataḥ | evaṃpramukhāḥ śāriputra upariṣṭhāyāṃ diśi	nAma taTAgataH | evaMpramuKAH SAriputraH uparizWAyAm diSi
   gaṅgānadīvālukopamā buddhā bhagavantaḥ svakasvakāni buddhakṣetrāṇi	gaFgA-nadI-vAlukA-upamAH budDAH BagavantaH sva-ka-svakAni budDa-kzetrANi
   jihvendriyeṇa saṃchādayitvā nirveṭhanaṃ kurvanti | pratīyatha	jihvA-indriyeNa saMCAdayitvA nirveWanam kurvanti | pratIyaTa
   yūyamidamacintyaguṇaparikīrtanaṃ sarvabuddhaparigrahaṃ nāma dharmaparyāyam	yUyam-idam-acintya-guNa-parikIrtanam sarva-budDa-parigraham nAma Darma-paryAyam
   || Sukhs_16 ||	|| SuKH-_16 ||
   tatkiṃ manyase śāriputra kena kāraṇenāyaṃ dharmaparyāyaḥ	tat-kim manyase SAriputra kena kAraNena-ayam Darma-paryAyaH
   sarvabuddhaparigraho nāmocyate? ye kecicchāriputra kulaputra vā	sarva-budDa-parigrahaH nAma-ucyate? ye kecid-SAriputra kula-putra vA
   kuladuhitaro vā asya dharmaparyāyasya nāmadheyaṃ śroṣyanti, teṣāṃ va	kula-duhitaraH vE asya Darma-paryAyasya nAmaDeyam Srozyanti, tezAm va
   buddhānāṃ bhagavatāṃ nāmadheyaṃ dhārayiṣyanti, sarve te buddhaparigṛhītā	budDAnAm BagavatAm nAmaDeyam DArayizyanti, sarve te budDa-parigRhItA
