   Cīvaravastu	SIva-ravaH-tu
   abhipretaṃ tad viṃśatīnāṃ nābhipretam* / sarvathā vaiśālīṃ gacchāmīti /	aBipretam tat viMSatInAm nABi-pretam* / sarvaTA vESAlIm gacCAmi-iti /
   tena vaiśālakānāṃ licchavīnāṃ dūtasaṃpreṣaṇaṃ kṛtam* / gacchāmy ahaṃ	tena vESAlakAnAm licCavInAm dUta-saMprezaNam kRtam* / gacCAmi aham
   bhavatāṃ bāhucchāyāyāṃ vastum iti / tair ādarajātaiḥ pratisandeśo dattaḥ /	BavatAm bAhu=-CAyAyAm vastum iti / tEH Adara-jAtEH pratisandeSaH dattaH /
   iyam eva vaiśālī svāgatam āgaccheti / tataḥ khaṇḍenāgrāmātyena jñātaya	iyam eva vESAlI svAgatam AgacCa-iti / tatas KaNxena-agra-amAtyena jQAtaya
   āhūya uktāḥ / bhavanto vaiśālīṃ saṃprasthito yeṣāṃ yuṣmākam abhirucitam	AhUya uktAH / BavantaH vESAlIm saMprasTitaH yezAm yuzmAkam aBirucitam
   ihāvasthānaṃ te (240v1 = GBM 6.793) 'bhitiṣṭhantu yeṣāṃ nābhirucitaṃ te	iha-avasTAnam te (240v1  GBm 6.793) aBitizWantu yezAm nABi-rucitam te
   sajjā bhavantu gacchāmaḥ / gopālakāḥ paśupālakāś coktāḥ / yūyaṃ gomahiṣīḥ	sajjAH Bavantu gacCAmaH / gopAlakAH paSupAlakAH ca-uktAH / yUyam go-mahizIH
   yena vaiśālīṃ tena khaṭayata / pauruṣeyā uktāḥ / sannāhayata vaiśālīṃ	yena vESAlIm tena Kawayate / pOruzeyAH uktAH / sannAhayata vESAlIm
   gacchāma iti / tato janakāyam evaṃ prerayitvā rājñaḥ sakāśaṃ gataḥ pādayor	gacCAmaH iti / tatas jana-kAyam evam prerayitvA rAjQaH sakASam gataH pAdayoH-
   nipatya kathayati / deva kiṃcit karaṇīyam asti / udyānaṃ gacchāmy (MSV II	nipatya kaTayati / deva kiMcid karaNIyam asti / udyAnam gacCAmi (MSV II
   6) avalokito bhaveti / rājā kathayaty evaṃ bhavatu gaccheti /	6) avalokitaH Bava-iti / rAjA kaTayati evam Bavatu gacCa-iti /
   sodyānaśobhāṃ kārayitvā sārādānaṃ śakaṭeṣv āropya upari	sa-udyAna-SoBAm kArayitvA sArAdAnam Sakawezu Aropya upari
   khādanīyabhojanīyena ācchādya saṃprasthitaḥ / amātyaiḥ śrutam* / khaṇḍo	KAdanIya-BojanIyena AcCAdya saMprasTitaH / amAtyEH Srutam* / KaNxaH-
   niṣpalāyatīti / te tvaritaṃ tvaritaṃ rājñaḥ sakāśaṃ gatvā kathayanti /	nizpalAyati-iti / te tvaritam tvaritam rAjQaH sakASam gatvA kaTayanti /
   deva khaṇḍo niṣpalāyatīti / rājā kathayati / bhavanto gacchata	deva KaNxaH nizpalAyati-iti / rAjA kaTayati / BavantaH gacCata
   nirvartayateti / te caturaṅgaṃ balakāyaṃ sannāhya nirgatāḥ kathayanti /	nirvartayata-iti / te catur-aFgam balakAyam sannAhya nirgatAH kaTayanti /
   khaṇḍa devo śabdayatīti nivartayasveti / sa kathayati / bhavanto yuṣmākaṃ	KaNxa devaH Sabdayati-iti nivartayasva-iti / sa kaTayati / BavantaH yuzmAkam
   dīrgharātram ayam āśvāsakaḥ / aho bata khaṇḍaḥ kālaṃ kuryān niṣpalāyeta	dIrGarAtram ayam ASvAsakaH / aho bata KaNxaH kAlam kuryAt nizpalAyeta
   iti vā iti / sa yuṣmākam alpakṛcchreṇa paripūrṇaḥ / gacchata niṣpalāyaty	iti vA iti / sa yuzmAkam alpa-kRcCreNa paripUrNaH / gacCata nizpalAyati-
   ayam iti / te rājñaś cittānurakṣayā kāṇḍakāṇḍiṃ kṛtvā nivṛttā rājñaḥ	ayam iti / te rAjQaH citta-anurakzayA kANxakANxim kRtvA nivRttAH rAjQaH
   kathayanti / deva niṣpalāyitaḥ khaṇḍo agrāmātya iti / rājā kathayati / na	kaTayanti / deva nizpalAyitaH KaNxaH agra-amAtyaH iti / rAjA kaTayati / na
   śobhanam iti kṛtvā tūṣṇīm avasthitaḥ / khaṇḍo 'py anupūrveṇa vaiśālīṃ	SoBanam iti kRtvA tUzNIm avasTitaH / KaNxaH api anupUrveNa vESAlIm
   gataḥ /	gataH /
   tena khalu samayena vaiśālī tribhiḥ skandhaiḥ prativasati / prathame	tena Kalu samayena vESAlI triBiH skanDEH prativasati / praTame
   skandhe sapta kūṭāgārasahasrāṇi suvarṇamayair niryūhair madhyame skandhe	skanDe sapta kUwAgAra-sahasrANi suvarNa-mayEH niryUhEH maDyame skanDe
   caturdaśa rūpyamayair niryūhair adharime skandhe ekaviṃśatis tāmramayair	caturdaSa rUpya-mayEH niryUhEH aDarime skanDe ekaviMSatiH tAmra-mayEH-
   niryūhais teṣu yathāyogaṃ manuṣyāḥ pratvasanti / uttamā madhyamā adhamā /	niryUhEH tezu yaTAyogam manuzyAH pratvasanti / uttamA maDyamA aDamA /
   vaiśālyāṃ gaṇena kriyākārā vyavasthāpitāḥ / yā prathame (MSV II 7) skandhe	vESAlyAm gaNena kriyAkArAH vyavasTApitAH / yA praTame (MSV II 7) skanDe
   dārikā jāyate sā prathama eva skandhe dīyate na madhyame nādharime / yā	dArikA jAyate sA praTamaH eva skanDe dIyate na maDyame na-aDarime / yA
   madhyame sā prathame skandhe dīyate madhyame vā nādharime / yādharime sā	maDyame sA praTame skanDe dIyate maDyame vA na-aDarime / yADarime sA
   triṣv api skandheṣu dīyate / kanyāyā anirvāhaḥ nānyatra dīyate iti /	trizu api skanDezu dIyate / kanyAyAH anirvAhaH na-anyatra dIyate iti /
   vaiśālīstrīratnaṃ na kasyacid dīyate / gaṇasāmānyaṃ paribhojyam eva /	vESAlI-strI-ratnam na kasyacid dIyate / gaNa-sAmAnyam pariBojyam eva /
   khaṇḍasya pradhānapuruṣa iti kṛtvā prathame skandhe gṛhaṃ dattam* / tatra	KaNxasya praDAna-puruzaH iti kRtvA praTame skanDe gRham dattam* / tatra
   prativastum ārabdhaḥ /	prativastum ArabDaH /
   yadā gaṇaḥ saṃnipatati tadāsāv āhūyamāno 'pi na saṃnipatati / sa	yadA gaNaH saMnipatati tadA-asO AhUyamAnaH api na saMnipatati / sa
   vaiśālakair ucyate / khaṇḍa kasmāt tvaṃ na saṃnipatasīti / sa kathayati /	vESAlakEH ucyate / KaNxa kasmAt tvam na saMnipatasi-iti / sa kaTayati /
   saṃnipatitād eva ayam ādīnavaḥ prādurbhūto nāhaṃ saṃnipatāmīti /	saMnipatitAt eva ayam AdInavaH prAdurBUtaH na-aham saMnipatAmi-iti /
   vaiśālakāḥ kathayanti / khaṇḍa saṃnipāte ko 'tra ādīnavo bhaviṣyatīti / sa	vESAlakAH kaTayanti / KaNxa saMnipAte kaH atra AdInavaH Bavizyati-iti / sa
   saṃnipatitum ārabdhaḥ / mataṃ nānuprayacchati / te kathayanti / khaṇḍa	saMnipatitum ArabDaH / matam na-anuprayacCati / te kaTayanti / KaNxa
   matam anuprayaccheti / sa kathayati / matam api nānuprayacchāmi yasmān	matam anuprayacCa-iti / sa kaTayati / matam api na-anuprayacCAmi yasmAn
   matād eva me ādīnavāḥ prādurbhūtā iti / te kathayanti / anuprayaccha	matAt eva me AdInavAH prAdurBUtA iti / te kaTayanti / anuprayacCa
   matam* / ko 'trādīnavo bhaviṣyatīti / sa ca nigame saṃnipatati mataṃ	matam* / kaH atra-AdInavaH Bavizyati-iti / sa ca nigame saMnipatati matam
   cānuprayacchati / pūrvaṃ vaiśālakā licchavayo yasya kasyacil lekham	ca-anuprayacCati / pUrvam vESAlakAH licCavayaH yasya kasyacid leKam
   anupreṣayanti sakarkaśam anupreṣayanti / yadā tu khaṇḍo mataṃ dātum	anuprezayanti sa-karkaSam anuprezayanti / yadA tu KaNxaH matam dAtum
   ārabdhas tadā sānunayaṃ likhanti / (MSV II 8) yeṣāṃ sānunayo (241r1 = GBM	ArabDaH tadA sa-anunayam liKanti / (MSV II 8) yezAm sa-anunayaH (241r1  GBm
   6.794) lekho nīto bhavati / te parasparaṃ saṃjalpaṃ kurvanti / bhavantaḥ	6.794) leKaH nItaH Bavati / te parasparam saMjalpam kurvanti / BavantaH
   ko yogo yena vaiśālako gaṇaḥ pūrvaṃ sakarkaśaṃ likhati idānīṃ tu sānunayam	kaH yogaH yena vESAlakaH gaNaH pUrvam sa-karkaSam liKati idAnIm tu sa-anunayam
   iti / apare kathayanti / asti viśeṣaḥ / videharājasya khaṇḍo nāmāgrāmātya	iti / apare kaTayanti / asti viSezaH / videha-rAjasya KaNxaH nAma-agrAmAtya
   ihāgatas tasya matenānuvyavaharanti yenādhunā sānunayaṃ likhantīti /	iha-AgataH tasya matena-anuvyavaharanti yena-aDunA sa-anunayam liKanti-iti /
   khaṇḍena gopasya siṃhasya ca niveśanaṃ kṛtam* / siṃhasya krīḍato	KaNxena gopasya siMhasya ca niveSanam kRtam* / siMhasya krIxataH-
   ramamāṇasya paricārayato duhitā jātā / tasyāpi vistareṇa jātimahaṃ kṛtvā	ramamANasya paricArayataH duhitA jAtAH / tasya-api vistareNa jAti-maham kRtvA
   celeti nāmadheyaṃ vyavasthāpitam* / sā naimittikena dṛṣṭvā vyākṛtā putraṃ	cela-iti nAmaDeyam vyavasTApitam* / sA nEmittikena dRzwvA vyAkRtA putram
   janayiṣyati / sa pitaraṃ jīvitād vyaparopya svayam eva paṭṭaṃ baddhvā	janayizyati / sa pitaram jIvitAt vyaparopya svayam eva pawwam badDvA
   rājyaṃ kārayiṣyatīti / bhūyo 'sya krīḍato ramamāṇasya paricārayato duhitā	rAjyam kArayizyati-iti / BUyas asya krIxataH ramamANasya paricArayataH duhitA
   jātā / tasya api vistareṇa jātimahaṃ kṛtvopaceleti nāmadheyaṃ	jAtAH / tasya api vistareNa jAti-maham kRtvA-upacelA-iti nAmaDeyam
   vyavasthāpitam* / sāpi naimittikena vyākṛtā putraṃ janayiṣyati	vyavasTApitam* / sA-api nEmittikena vyAkRtA putram janayizyati
   lakṣaṇasaṃpūrṇam iti / gopo vyāḍo vikrānto vaiśālakānāṃ licchavīnām	lakzaNa-saMpUrNam iti / gopaH vyAxaH vikrAntaH vESAlakAnAm licCavInAm
   udyānāni vināśayati / udyānapālair ucyate / vaiśālakā licchavayo vyāḍā	udyAnAni vinASayati / udyAna-pAlEH ucyate / vESAlakA licCavayaH vyAxA
   vikrāntāḥ / mā teṣām udyānāni vināśayeti / sa nivāryamāṇo 'pi na	vikrAntAH / mA tezAm udyAnAni vinASaya-iti / sa nivAryamANaH api na
   saṃtiṣṭhate / udyānapālaiḥ khaṇḍasyārocitam* / putras te vaiśālakānāṃ	saMtizWate / udyAna-pAlEH KaNxasya-Arocitam* / putraH te vESAlakAnAm
   licchavīnām udyānāni vināśayati / nivārayainam* / licchavayo vyāḍā	licCavInAm udyAnAni vinASayati / nivAraya-enam* / licCavayaH vyAxA
   vikrāntā māsyānarthaṃ kariṣyanti / sa tenāhūyoktaḥ / putra vaiśālakā	vikrAntAH mA-asya-anarTam karizyanti / sa tena-AhUya-uktaH / putra vESAlakA
   licchavayo vyāḍā vikrāntā mā teṣām udyānāni vināśaya mā te anarthaṃ	licCavayaH vyAxA vikrAntA mA tezAm udyAnAni vinASaya mA te anarTam
   kariṣyantīti / sa kathayati / tāta eṣām udyānāni santi asmākaṃ tu na santi	karizyanti-iti / sa kaTayati / tAta ezAm udyAnAni santi asmAkam tu na santi
   / sa kathayti / putra udyānasyārthāya gaṇaṃ (MSV II 9) vijñāpayāmīti /	/ sa kaTayti / putraH udyAnasya-arTAya gaNam (MSV II 9) vijQApayAmi-iti /
   tena gaṇo vijñapto mama putrayor udyānaṃ nāsti /tad arhaṃ mama udyāne	tena gaNaH vijQaptaH mama putrayoH udyAnam na-asti /tat arham mama udyAne
   prasādaṃ kartum iti / tais tābhyāṃ jīrṇodyānaṃ dattam* / tasmin	prasAdam kartum iti / tEH tAByAm jIrNa-udyAnam dattam* / tasmin
   mahāśālavṛkṣaḥ / tatraikena bhagavataḥ pratimā kāritā / dvitīyena vihāraḥ	mahASAla-vRkzaH / tatra-ekena BagavataH pratimA kAritA / dvitIyena vihAraH
   pratiṣṭhāpitaḥ / tathā sthavirair api sūtrānte upanibaddhaṃ buddho	pratizWApitaH / taTA sTavirEH api sUtrAnte upanibadDam budDaH-
   bhagavān vaiśālyāṃ viharati gopasiṃhaśālavane iti / gopaḥ akriyāsahasrāṇi	BagavAn vESAlyAm viharati gopa-siMha-SAla-vane iti / gopaH akriyA-sahasrANi
   karoti / licchavayo 'vadhyāyanti kṣipanti vivācayanti / tataḥ	karoti / licCavayaH avaDyAyanti kzipanti vivAcayanti / tatas-
   khaṇḍenāhūyoktaḥ / putra gaccha tvam amuka karvaṭaṃ tatra svādhiṣṭhitān	KaNxena-AhUya-uktaH / putra gacCa tvam amuka karvawam tatra sva-aDizWitAn
   karmāntān kāraya / tiṣṭha mā gaṇaprakopo bhaviṣyatīti / sa tatra gatvā	karmAntAn kAraya / tizWa mA gaNa-prakopaH Bavizyati-iti / sa tatra gatvA
   svādhiṣṭhitān karmāntān kārayitum ārabdhaḥ / yāvad apareṇa samayena	sva-aDizWitAn karmAntAn kArayitum ArabDaH / yAvat apareNa samayena
   vaiśālyāṃ senāpatiḥ kālagataḥ / taiḥ khaṇḍo 'grāmātyaḥ senāpatye sthāpitaḥ	vESAlyAm senApatiH kAlagataH / tEH KaNxaH agra-amAtyaH senApatye sTApitaH
   / so 'pi kaṃcit kālaṃ dharmeṇa senāpatyaṃ kārayitvā kālagataḥ / vaiśālako	/ saH api kaMcid kAlam DarmeNa senApatyam kArayitvA kAlagataH / vESAla-kaH-
   gaṇaḥ saṃnipatitaḥ / kaṃ senāpatiṃ sthāpayāma iti / tatra eke kathayanti /	gaNaH saMnipatitaH / kam senApatim sTApayAmaH iti / tatra eke kaTayanti /
   khaṇḍenāgrāmātyena gaṇaḥ paripālitaḥ / tasyaiva putraṃ sthāpayāma iti /	KaNxena-agra-amAtyena gaNaH paripAlitaH / tasya-eva putram sTApayAmaH iti /
   apare kathayanti / tasya putro gopo vyāḍo vikrāntaḥ / yady asau senāpatye	apare kaTayanti / tasya putraH gopaH vyAxaH vikrAntaH / yadi asO senApatye
   sthāpyate niyataṃ gaṇasya bhedaṃ kariṣyati yas tu tasya bhrātā siṃhaḥ sa	sTApyate niyatam gaNasya Bedam karizyati yaH tu tasya BrAtA siMhaH sa
   sūrataḥ (241v1 = GBM 6.795) sukhasaṃvāsaḥ śaknoti gaṇasya cittam	sUrataH (241v1  GBm 6.795) suKa-saMvAsaH Saknoti gaNasya cittam
   ārāgayitum* / yadi gaṇasyābhirucitaṃ taṃ senāpatiṃ sthāpayāma iti /	ArAgayitum* / yadi gaNasya-aBirucitam tam senApatim sTApayAmaH iti /
   sarveṣām abhirucitam* / te saṃbhūya siṃhasya sakāśaṃ gatāḥ / siṃha	sarvezAm aBirucitam* / te saMBUya siMhasya sakASam gatAH / siMha
   senāpatitvaṃ pratīccheti / sa kathayati / mama (MSV II 10) jyeṣṭho bhrātā	senApati-tvam pratIcCa-iti / sa kaTayati / mama (MSV II 10) jyezWaH BrAtA
   gopas taṃ senāpatiṃ sthāpayateti / te kathayanti / siṃha na yuṣmākaṃ	gopaH tam senApatim sTApayata-iti / te kaTayanti / siMha na yuzmAkam
   kulakramāgataṃ senāpatyaṃ yo gaṇasyābhirucitaḥ sa senāpatir bhavati / yadi	kula-krama-Agatam senApatyam yaH gaNasya-aBirucitaH sa senApatiH Bavati / yadi
   bhavato nābhirucitaṃ vayam anyaṃ senāpatiṃ sthāpayāma iti / sa	BavataH nABirucitam vayam anyam senApatim sTApayAmaH iti / sa
   saṃlakṣayati / yady asmākaṃ gṛhāt senāpatyam anyatra gamiṣyati naitad	saMlakzayati / yadi asmAkam gRhAt senApatyam anyatra gamizyati na-etat-
   yuktam* / sarvathā pratīcchāmīti / tenādhyavasitam* / sa tair mahatā	yuktam* / sarvaTA pratIcCAmi-iti / tena-aDyavasitam* / sa tEH mahatA
   satkāreṇa senāpatye pratiṣṭhāpitaḥ / vaiśālakāḥ pūrvaṃ yasya lekham	satkAreNa senApatye pratizWApitaH / vESAlakAH pUrvam yasya leKam
   anupreṣayanti tasya khaṇḍapramukho gaṇa ājñāpayatīti likhanti / yadā	anuprezayanti tasya KaNxa-pramuKaH gaNaH AjQApayati-iti liKanti / yadA
   siṃhaḥ senāpatiḥ saṃvṛttas tadā siṃhapramukho gaṇa ājñāpayatīti / yāvad	siMhaH senApatiH saMvRttaH tadA siMha-pramuKaH gaNaH AjQApayati-iti / yAvat-
   apareṇa samayena yasmin karvaṭake gopaḥ svādhiṣṭhitān karmāntān kārayati	apareNa samayena yasmin karvawake gopaH sva-aDizWitAn karmAntAn kArayati
   tadā karvaṭakaṃ lekho gataḥ / gopenodghāṭya vācitaḥ / sa kathayati /	tadA karvawakam leKaH gataH / gopena-udGAwya vAcitaH / sa kaTayati /
   bhavantaḥ pūrvaṃ vaiśālako gaṇaḥ khaṇḍapramukho gaṇa ājñāpayatīti likhanti	BavantaH pUrvam vESAlakaH gaNaH KaNxa-pramuKaH gaNaH AjQApayati-iti liKanti
   / idānīṃ siṃhapramukho gaṇaḥ ājñāpayatīti likhanti / kim asmākaṃ pitā	/ idAnIm siMha-pramuKaH gaNaH AjQApayati-iti liKanti / kim asmAkam pitA
   kālagataḥ / te kathayanti / kālagataḥ / sa saṃjātāmarṣo vaiśālīṃ gatvā	kAlagataH / te kaTayanti / kAlagataH / sa saMjAta-amarzaH vESAlIm gatvA
   kathayati / bhrātaḥ yuktaṃ nāma tava mayi jyeṣṭhatare tiṣṭhati senāpatyaṃ	kaTayati / BrAtar yuktam nAma tava mayi jyezWatare tizWati senApatyam
   kartum iti / siṃhena tasya yathāvṛttam ārocitam* / sa vaiśālakānāṃ	kartum iti / siMhena tasya yaTAvRttam Arocitam* / sa vESAlakAnAm
   licchavīnāṃ saṃjātāmarṣaḥ saṃlakṣayati / mama vaiśālakair asatkāraḥ	licCavInAm saMjAta-amarzaH saMlakzayati / mama vESAlakEH asatkAraH
   prayukto gacchāmi rājagṛham iti / tena rajño bimbisārasya dūtapreṣaṇaṃ	prayuktaH gacCAmi rAja-gRham iti / tena rajQaH bimbisArasya dUta-prezaNam
   kṛtam* / icchāmi devasya bāhucchāyāyāṃ vastum* / tenāsya likhitam* /	kRtam* / icCAmi devasya bAhu=-CAyAyAm vastum* / tena-asya liKitam* /
   svāgatam* / āgaccheti / sa rājagṛhaṃ gataḥ / tato rājñā bimbisāreṇa	svAgatam* / AgacCa-iti / sa rAja-gRham gataH / tatas rAjQA bimbisAreNa
   agrāmātye sthāpitaḥ / yāvad apareṇa samayena rājño bimbisārasyāgramahiṣī	agra-amAtye sTApitaH / yAvat apareNa samayena rAjQaH bimbisArasya-agra-mahizI
   kālagatā / sa (MSV II 11) kare kapolaṃ datvā cintāparo vyavasthitaḥ /	kAlagatA / saH (MSV II 11) kare kapolam datvA cintA-paraH vyavasTitaH /
   gopena sa dṛṣṭa uktaś ca / deva kasyārthāya devaḥ kare kapolaṃ datvā	gopena sa dRzwaH uktaH ca / deva kasya-arTAya devaH kare kapolam datvA
   cintāparo vyavasthita iti / sa kathayati / agramahiṣī me kālagatā kim iti	cintA-paraH vyavasTitaH iti / sa kaTayati / agra-mahizI me kAlagatA kim iti
   na cintāparas tiṣṭhāmi / alaṃ deva tyajyatāṃ śokaḥ / asti mama bhrātur	na cintA-paraH tizWAmi / alam deva tyajyatAm SokaH / asti mama BrAtuH-
