   atha karatoyāmāhātmyam ||	aTa karatoyAmAhAtmyam ||
   adhyāsitaṃ karajalāmbuvidhūtapāpaṃ śrīpauṇḍravardhanapuraṃ śirasā namāmi	aDyAsitam kara-jala-ambu-viDUta-pApam SrI-pONxravarDana-puram SirasA namAmi
   // KtoM_24 //	// Ktom_24 //
   karajāpaścime bhāge sadā vahati jāhnavī /	karaja-apaScime BAge sadA vahati jAhnavI /
   pūrvabhāge tu karajā pādonā jāhnavī jalā // KtoM_25 //	pUrva-BAge tu karajA pAdonA jAhnavI jalA // Ktom_25 //
   karatoyāpaścime tīre lohinī yatra mṛttikā /	karatoya-apaScime tIre lohinI yatra mRttikA /
   muktikṣetraṃ samākhyātaṃ mahāpātakanāśanam // KtoM_26 //	mukti-kzetram samAKyAtam mahApAtaka-nASanam // Ktom_26 //
   karatoyānadīṃ prāpya trirātropoṣito naraḥ /	karatoyAnadIm prApya tri-rAtra-upozitaH naraH /
   aśvamedham avāpnoti śakralokaṃ ca gacchati /	aSvameDam avApnoti Sakra-lokam ca gacCati /
   atraiva jñānam āsādya harisāyujyam āpnuyāt // KtoM_27 //	atra-eva jQAnam AsAdya hari-sAyujyam ApnuyAt // Ktom_27 //
   [COMM.: e. atraiva: corr., atrava ed. Cf. vs. 46.]	[COMM.: e. atra-eva: ca-Urr., atravaH ed. Cf. vs. 46.]
   karatoyāṃ samāsādya ye tyajanti kalevaram /	karatoyAm samAsAdya ye tyajanti kalevaram /
   teṣāṃ muktir na sandeho yāvad indrāś caturdaśa // KtoM_28 //	tezAm muktiH na sandehaH yAvat indrAH caturdaSa // Ktom_28 //
   na mānuṣās te te devā nadīs tisraḥ pibanti ye /	na mAnuzAH te te devAH nadIH tisraH pibanti ye /
   devikāṃ karatoyāṃ ca vipāśāṃ pāpanāśinīm // KtoM_29 //	devikAm karatoyAm ca vipASAm pApa-nASinIm // Ktom_29 //
   skandagovindayor madhye somavāre kuhūtithau /	skanda-govindayoH maDye somavAre kuhUtiTO /
   prātar maunena yaḥ snāyāt kulakoṭīḥ samuddharet // KtoM_30 //	prAtar mOnena yaH snAyAt kula-kowIH samudDaret // Ktom_30 //
   kiyanto reṇavaḥ pṛthvyāṃ kiyān ākāśasaṃbhavaḥ /	kiyantaH reNavaH pRTvyAm kiyAn AkASa-saMBavaH /
   māhātmyaṃ karatoyāyā vaktuṃ naiva hi śakyate // KtoM_31 //	mAhAtmyam karatoyAyAH vaktum na-eva hi Sakyate // Ktom_31 //
   puruṣottame mahājyaiṣṭhīsamaye darśanāt phalam /	puruzottame mahA-jyEzWI-samaye darSanAt Palam /
   karatoyāmbhasi snātvā yat tat phalam avāpnuyāt // KtoM_32 //	karatoya-amBasi snAtvA yat tat Palam avApnuyAt // Ktom_32 //
   karatoyājalaṃ prāpya yadi somayutā kuhūḥ /	karatoyA-jalam prApya yadi soma-yutA kuhUH /
   aruṇodayavelāyāṃ sūryagrahaśataiḥ samā // KtoM_33 //	aruNa-udaya-velAyAm sUrya-graha-SatEH samAH // Ktom_33 //
   śilādvīpaṃ samāsādya tac ca koṭiguṇaṃ bhavet /	SilA-dvIpam samAsAdya tat ca kowi-guNam Bavet /
   tad eva koṭiguṇitaṃ pauṣārke ca yadaiva sā // KtoM_34 //	tat eva kowi-guNitam pOza-arke ca yadA-eva sA // Ktom_34 //
   vārāṇasyāṃ kurukṣetre yat puṇyaṃ rāhudarśane /	vArANasyAm kurukzetre yat puNyam rAhu-darSane /
   śilādvīpaṃ samāsādya tac ca koṭiguṇaṃ bhavet // KtoM_35 //	SilA-dvIpam samAsAdya tat ca kowi-guNam Bavet // Ktom_35 //
   pauṣe vā māghamāse vā yadi somayutā kuhūḥ /	pOze vA mAGa-mAse vA yadi soma-yutA kuhUH /
   vyatipātena yogena koṭikoṭiguṇaṃ bhavet // KtoM_36 //	vyatipAtena yogena kowi-kowi-guNam Bavet // Ktom_36 //
   cāpārke mūlasaṃyukte yadi somayutā kuhūḥ /	cApa-arke mUla-saMyukte yadi soma-yutA kuhUH /
   nārāyaṇīti vikhyātā trikoṭikulam uddharet // KtoM_37 //	nArAyaNI-iti viKyAtA trikowi-kulam udDaret // Ktom_37 //
   vārāṇasyāṃ kṛtā pūjā saṃpūrṇaphaladāyinī /	vArANasyAm kRtA pUjA saMpUrNa-Pala-dAyinI /
   tato 'pi dviguṇā proktā karatoyānadījale // KtoM_38 //	tatas api dviguNA proktA karatoyAna-dIjale // Ktom_38 //
   [COMM.: b. saṃpūrṇa-: corr., samparṇa- ed.]	[COMM.: b. saMpUrNa-: ca-Urr., samparNa ed.]
   dvārāvatyāṃ ca gaṇḍakyāṃ prayāge puṣkare tathā /	dvArAvatyAm ca gaNxakyAm prayAge puzkare taTA /
   badaryākhye kurukṣetre yā pūjā phaladāyinī /	badarI-AKye kurukzetre yA pUjA Pala-dAyinI /
   tataś caturguṇā proktā karatoyānadījale // KtoM_39 //	tatas caturguNA proktA karatoyAna-dIjale // Ktom_39 //
   karatoyājale devi viṣṇupūjā viśeṣataḥ /	karatoyA-jale devi vizNu-pUjA viSezataH /
   tato 'pi phalabāhulyaṃ śivaśaktyoḥ prapūjanāt // KtoM_40 //	tatas api Pala-bAhulyam Siva-SaktyoH prapUjanAt // Ktom_40 //
   ādau karkaṭake devi tryahaṃ gaṅgā rajasvalā /	AdO karkawake devi tri-aham gaFgA rajasvalA /
   sarvā raktavahā nadyaḥ karatoyāmbuvāhinī // KtoM_41 //	sarvA rakta-vahAH nadyaH karatoyA-ambu-vAhinI // Ktom_41 //
   iyaṃ śrīsundarī devi sadānīravahā smṛtā /	iyam SrI-sundarI devi sadAnIra-vahA smRtA /
   ye kurvanti sadā snānaṃ tarpayanti ca ye sadā /	ye kurvanti sadA snAnam tarpayanti ca ye sadA /
   kiṃ bahūktena deveśi muktis teṣāṃ kare sthitā // KtoM_42 //	kim bahu-uktena deveSi muktiH tezAm kare sTitAH // Ktom_42 //
   aho jalasya māhātmyaṃ mamaiva karasaṃbhavaṃ /	aho jalasya mAhAtmyam mama-eva kara-saMBavam /
   nṛṇāṃ pāpaharaṃ puṇyaṃ snānapānāc ca muktidam // KtoM_43 //	nRNAm pApa-haram puNyam snAna-pAnAt ca mukti-dam // Ktom_43 //
   karatoyānadītīre vāso vā kriyate yadi /	karatoyAnadItIre vAsaH vA kriyate yadi /
   vārāṇasīsamo vāsaḥ pātakān mucyate naraḥ // KtoM_44 //	vArANasI-samaH vAsaH pAtakAt mucyate naraH // Ktom_44 //
   karajāyās tīre devapūjā sarvārthasādhikā /	karajAyAH tIre deva-pUjA sarva-arTa-sADikAH /
   anyatra pūjanād devi saṃdeho nāsti sundari // KtoM_45 //	anyatra pUjanAt devi saMdehaH na-asti sundari // Ktom_45 //
   kāratoyena toyena udarasthena ye mṛtāḥ /	kAra-toyena toyena udara-sTena ye mRtAH /
   teṣāṃ muktir na saṃdeho yāvad indrāś caturdaśa /	tezAm muktiH na saMdehaH yAvat indrAH caturdaSa /
   tatraiva jñānam āsādya muktiḥ syāt kevalāmalā // KtoM_46 //	tatra-eva jQAnam AsAdya muktiH syAt kevala-amalAH // Ktom_46 //
   gaṅgāyāḥ karajāyāś ca jalam atreti sundari /	gaFgAyAH karajAyAH ca jalam atra-iti sundari /
   sarvapāpaharaṃ puṇyaṃ bhuvi pāvanam uttamam // KtoM_47 //	sarva-pApa-haram puNyam Buvi pAvanam uttamam // Ktom_47 //
   asthikeśādayo yasya karajāyāṃ tapodhane /	asTi-keSa-AdayaH yasya karajAyAm tapoDane /
   patanti tasya svargaḥ syād yāvad indrāś caturdaśa // KtoM_48 //	patanti tasya svargaH syAt yAvat indrAH caturdaSa // Ktom_48 //
   karatoyāpaścime tīre sadā vahati jāhnavī /	karatoya-apaScime tIre sadA vahati jAhnavI /
   viśeṣo lohinī yatra mṛttikā muktidāyinī // KtoM_49 //	viSezaH lohinI yatra mRttikA mukti-dAyinI // Ktom_49 //
   karatoyāpaścime tīre lohinī yatra mṛttikā /	karatoya-apaScime tIre lohinI yatra mRttikA /
   muktikṣetraṃ samākhyātaṃ mahāpātakanāśanam // KtoM_50 //	mukti-kzetram samAKyAtam mahApAtaka-nASanam // Ktom_50 //
   karatoyājalaṃ puṇyaṃ pāvanaṃ bhuvi durlabham /	karatoyA-jalam puNyam pAvanam Buvi durlaBam /
   saṃpūrṇamāghamāsaṃ tu snātvā viṣṇupuraṃ vrajet // KtoM_51 //	saMpUrNamAGa-mAsam tu snAtvA vizNupuram vrajet // Ktom_51 //
   karatoyānadītīre vedapūjāpārāyaṇaḥ /	karatoyAnadItIre veda-pUjA-pArAyaNaH /
   viprabhojanamātreṇa hy aśvamedhaphalaṃ labhet // KtoM_52 //	vipra-Bojana-mAtreNa hi aSvameDa-Palam laBet // Ktom_52 //
   viśeṣaḥ pauṇḍranagare koṭikoṭiguṇaṃ bhavet /	viSezaH pONxra-nagare kowi-kowi-guNam Bavet /
   vipraikabhojanād eva sarvayajñaphalaṃ labhet // KtoM_53 //	vipra-eka-BojanAt eva sarva-yajQa-Palam laBet // Ktom_53 //
   japahomais tathā dānapūjāśrāddhakriyādibhiḥ /	japa-homEH taTA dAna-pUjA-SrAdDa-kriyA-AdiBiH /
   koṭikoṭiguṇaṃ tatra pauṇḍrakṣetre ca sundari // KtoM_54 //	kowi-kowi-guNam tatra pONxra-kzetre ca sundari // Ktom_54 //
   [COMM.: b. -kriyādibhiḥ: corr., -kniyādibhiḥ ed.]	[COMM.: b. -kriyA-AdiBiH: ca-Urr., -kniyA-AdiBiH ed.]
   karatoyāmṛdā ye ca tilakaṃ dhārayanti vai /	karatoyAmRdAH ye ca tilakam DArayanti vE /
   viṣṇurūpadharāḥ pāpān muñcanti nātra saṃśayaḥ // KtoM_55 //	vizNu-rUpa-DarAH pApAt muQcanti na-atra saMSayaH // Ktom_55 //
   skandagivindayor madhye guptā vārāṇasī purī /	skanda-givindayoH maDye guptA vArANasI purI /
   tatrārohaṇamātreṇa naro nārāyaṇo bhavet // KtoM_56 //	tatra-ArohaNa-mAtreNa naraH nArAyaNaH Bavet // Ktom_56 //
   pañcakrośam idaṃ kṣetraṃ samantāt parikīrtitam /	paQcakroSam idam kzetram samantAt parikIrtitam /
   tadantargatam etat tu krośamātraṃ maheśvari /	tad-antargatam etat tu kroSa-mAtram maheSvari /
   atiguhyatamaṃ kṣetraṃ yatrāste bhārgavo muniḥ // KtoM_57 //	ati-guhyatamam kzetram yatra-Aste BArgavaH muniH // Ktom_57 //
   paśor jñānaṃ kathayati guhas tadgṛhe tāmracūḍo dairghī haimī	paSoH jQAnam kaTayati guhaH tad-gRhe tAmracUxaH dErGI hEmI
   ghaṭitasurabhir yaṣṭivṛddhiḥ śilāsthiḥ /	Gawita-suraBiH yazwi-vRdDiH SilA-asTiH /
   kheṣu chhattraṃ na phaṇati phaṇī dvisvaro jīvalokaḥ kūpo dvīpaḥ	Kezu Chattram na PaNati PaNI dvi-svaraH jIva-lokaH kUpaH dvIpaH
   kanakapatanaṃ pauṇḍrakṣetre 'dbhutāni // KtoM_58 //	kanaka-patanam pONxra-kzetre adButAni // Ktom_58 //
   proccā bhūmir bhavati taruṇaḥ snānataḥ kāmyakuṇḍe bhogo yajño	proccA BUmiH Bavati taruNaH snAnataH kAmya-kuNxe BogaH yajQaH-
   bhramaṇanaṭanaṃ tatra vākyaṃ hi vedaḥ /	BramaNa-nawanam tatra vAkyam hi vedaH /
   itthaṃ rāmo racayati padaṃ lakṣaṇānyūnaviṃśāny asmāt khyātaṃ sakalajagatāṃ	itTam rAmaH racayati padam lakzaNAni-UnaviMSAni asmAt KyAtam sakala-jagatAm
   śrīmahāsthānam etat // KtoM_59 //	SrI-mahA-sTAnam etat // Ktom_59 //
   snānād yatra nihanti pāpanicayaṃ śrīpāṇitoyā nadī yasyāṃ	snAnAt yatra nihanti pApa-nicayam SrI-pANi-toyA nadI yasyAm
   saṃsthitamānuṣāsthi sakalaṃ prāpnoti pāṣāṇatām /	saMsTita-mAnuza-asTi sakalam prApnoti pAzANa-tAm /
   devas tārakamārako 'pi nitarāṃ jñānaṃ dadāty adbhutaṃ kaupaṃ yat paya eva	devaH tAraka-mArakaH api nitarAm jQAnam dadAti adButam kOpam yat payaH eva
   tailavipulaṃ pauṇḍraṃ puraḥ pātu vaḥ // KtoM_60 //	tEla-vipulam pONxram puras pAtu vaH // Ktom_60 //
   [COMM.: c. adbhutaṃ: corr., adbhūtaṃ ed.]	[COMM.: c. adButaM: ca-Urr., adBUtam ed.]
   ity uttarapauṇḍrakhaṇḍe pauṇḍrakṣetramāhātmyam ||	iti uttara-pONxra-KaNxe pONxra-kzetra-mAhAtmyam ||
   §sūta uvāca |	§sUtaH uvAca |
   śṛṇudhvaṃ munayaḥ sarve māhātmyaṃ tajjalasya ca /	SRNuDvam munayaH sarve mAhAtmyam tat-jalasya ca /
   bāhudāyāś ca tīre 'smin jalaṃ sarvamalāpaham // KtoM_61 //	bAhudAyAH ca tIre asmin jalam sarva-mala-apaham // Ktom_61 //
   gaṅgā vā karatoyā vā viśeṣo nātra vidyate /	gaFgA vA karatoyAH vA viSezaH na-atra vidyate /
   haramūrdhni sthitā gaṅgā sāparā karanirgatā // KtoM_62 //	hara-mUrDni sTitA gaFgA sA-aparA kara-nirgatAH // Ktom_62 //
   karatoye sadānīre saricchreṣṭhe suviśrute /	karatoye sadA-nIre sarit-SrezWe su-viSrute /
   pauṇḍrān plāvayase nityaṃ pāpaṃ hara karodbhave /	pONxrAn plAvayase nityam pApam hara kara-udBave /
   mantreṇānena vai snāyāt karatoyājale śubhe // KtoM_63 //	mantreNa-anena vE snAyAt karatoyA-jale SuBe // Ktom_63 //
   tattulyarūpāsti nadī na kā cid rajovihīnā taruṇo yato 'si /	tad-tulya-rUpA-asti nadI na kA cit rajaH-vihInA taruNaH yatas asi /
   dhanyāsi puṇyāsi saridvarāsi śrīkaṇṭhapāṇiprabhave namas te // KtoM_64 //	DanyA-asi puNyA-asi sarit-varA-asi SrIkaNWa-pANi-praBave namaH te // Ktom_64 //
   snānād iyaṃ karajalā duritāni hanti jñānaṃ dadāti bhagavān iha tārakāriḥ	snAnAt iyam kara-jalAH duritAni hanti jQAnam dadAti BagavAn iha tArakAriH
   // KtoM_65 //	// Ktom_65 //
   [COMM.: verse incomplete?]	[COMM.: verse incomplete?]
   bāhudā bāhudānāc ca likhitasya muneḥ purā /	bAhudA bAhu-dAnAt ca liKitasya muneH purA /
   sadānīrā mahāpuṇyā śītavāhinikā śubhā // KtoM_66 //	sadAnIrA mahA-puNyA SIta-vAhinikA SuBA // Ktom_66 //
   ṛṣayo munayaś caiva mārkaṇḍeyo mahāmuniḥ /	RzayaH munayaH ca-eva mArkaNxeyaH mahA-muniH /
   aśvatthāmā kapivaro vāsudevaḥ svayaṃ vibhuḥ // KtoM_67 //	aSvatTAmA kapi-varaH vAsudevaH svayam viBuH // Ktom_67 //
   caturmukhaḥ pañcamukhaḥ karimukhaś ca ṣaṇmukhaḥ /	caturmuKaH paQcamuKaH karimuKaH ca zaNmuKaH /
   sarve te paścime bhāge karatoyāsarittaṭe // KtoM_68 //	sarve te paScime BAge karatoyAsarit-tawe // Ktom_68 //
   tiṣṭhanti tapaso hetoḥ sadānīrājalārthinaḥ /	tizWanti tapasaH hetoH sadA-nIrA-jala-arTinaH /
   rajohīnā mahāpuṇyā viśeṣaḥ siṃhabhāskare // KtoM_69 //	rajaH-hInAH mahA-puNyAH viSezaH siMha-BAskare // Ktom_69 //
   karatoyāsarinnīraprāptimātreṇa sundari /	karatoyAsarit-nIra-prApti-mAtreNa sundari /
   snānatarpaṇam āvaśyaṃ tadāpāraṃ vidhīyate // KtoM_70 //	snAna-tarpaNam AvaSyam tadA-pAram viDIyate // Ktom_70 //
   asnātvā gacchataḥ pāraṃ pūrvadharmakṣayo bhavet /	asnAtvA gacCataH pAram pUrva-Darma-kzayaH Bavet /
   snātvā pītvā tathā nīraṃ pārāvāre na dūṣayet // KtoM_71 //	snAtvA pItvA taTA nIram pArAvAre na dUzayet // Ktom_71 //
   pauṇḍrakṣetraṃ mahāpuṇyaṃ plāvitaṃ karasaṃbhavaiḥ /	pONxra-kzetram mahA-puNyam plAvitam kara-saMBavEH /
   tajjalasnānamātreṇa viṣṇuprītivivardhanam // KtoM_72 //	tad-jala-snAna-mAtreNa vizNu-prIti-vivarDanam // Ktom_72 //
   pauṇḍrakṣetrād uttare ca yojanadvayam antarā /	pONxra-kzetrAt uttare ca yojana-dvayam antarA /
   tatrāste caṇḍikā devī lohinī yatra mṛttikā // KtoM_73 //	tatra-Aste caNxikA devI lohinI yatra mRttikA // Ktom_73 //
   taddhāre prārthanāmātrāt turagān bhavanāni ca /	tad-hAre prArTanA-mAtrAt turagAn BavanAni ca /
   dadāti caṇḍikā devī karatoyāsarittaṭe /	dadAti caNxikA devI karatoyAsarit-tawe /
   aho kṣetrasya māhātmyād brahmahatyāṃ vyapohati // KtoM_74 //	aho kzetrasya mAhAtmyAt brahma-hatyAm vyapohati // Ktom_74 //
   [COMM.: a. taddhāre: is this the intended reading? Or taddhari? The	[COMM.: a. tad-DAre: iH TiH Te intendet reading? OH tad-hari? The
   printing is unclear.]	printing iH unclear.]
   cāṇḍālāntyajasaṃspṛṣṭaṃ tīrthatoyaṃ na pāvanam /	cANxAla-antyaja-saMspRzwam tIrTa-toyam na pAvanam /
   vihāya karajāgaṅgānarmadāyamunājalam // KtoM_75 //	vihAya karajAgaFgA-narmadA-yamunA-jalam // Ktom_75 //
   bhāṇḍānītajalenāpi snānaṃ kurvanti ye narāḥ /	BANxa-AnIta-jalena-api snAnam kurvanti ye narAH /
   pāpaughān aviśeṣeṇa muñcanti nātra saṃśayaḥ // KtoM_76 //	pApa-oGAn aviSezeNa muQcanti na-atra saMSayaH // Ktom_76 //
   karatoyājale jñānājñānataḥ snāti yo naraḥ /	karatoyA-jale jQAna-ajQAnataH snAti yaH naraH /
   brahmalokam avāpnoti dinapāpān vinaśya vai // KtoM_77 //	brahma-lokam avApnoti dina-pApAn vinaSya vE // Ktom_77 //
   ajñānenāpi karajājalaṃ ye manujāḥ sakṛt /	ajQAnena-api karajA-jalam ye manujAH sakRt /
   durvṛttāḥ pāparahitā prapibanti bhavanti te // KtoM_78 //	durvRttAH pApa-rahitA prapibanti Bavanti te // Ktom_78 //
   atraiva pauṇḍranagare puruṣārthasiddhir vārāṇasī vyasanam eva paraṃ	atra-eva pONxra-nagare puruza-arTa-sidDiH vArANasI vyasanam eva param
   narāṇām /	narANAm /
   tatraiva viṣṇunilayaṃ sakalaṃ ca yajño jñānaṃ samādhivividhaṃ	tatra-eva vizNu-nilayam sakalam ca yajQaH jQAnam samADi-viviDam
   japasādhyasiddhiḥ // KtoM_79 //	japa-sADya-sidDiH // Ktom_79 //
   kṛṣṇaveṇī tāmraparṇī sarayūr gaṇḍakī tathā /	kRzNaveNI tAmraparNI sarayUH gaNxakI taTA /
   viṣṇupādodbhavā puṇyā yamunā ca sarasvatī // KtoM_80 //	vizNu-pAda-udBavA puNyA yamunA ca sarasvatI // Ktom_80 //
   kāverī kauśikī candrabhāgā ca ciravallabhī /	kAverI kOSikI candraBAgA ca cira-vallaBI /
   svarṇā campā vetravatī tathātreyī punarbhavā // KtoM_81 //	svarNA campA vetravatI taTA-AtreyI punarBavAH // Ktom_81 //
   vipāpā ca vipāśā ca citrā citrotpalā tathā /	vipApA ca vipASA ca citrA citrotpalA taTA /
   gotamī gomukhī revā tathā cirasarasvatī // KtoM_82 //	gotamI gomuKI revA taTA cirasarasvatI // Ktom_82 //
   pṛthvyāṃ vasantyaḥ saritaḥ sarvās toyacayāḥ priye /	pRTvyAm vasantyaH saritaH sarvAH toya-cayAH priye /
   āsāṃ nadīnāṃ ca jalaṃ sadaiva ca karāmbhasi // KtoM_83 //	AsAm nadInAm ca jalam sadA-eva ca kara-amBasi // Ktom_83 //
   pauṇḍradvīpe paṭhitvemaṃ śrīvīro bhārgavo muniḥ /	pONxra-dvIpe paWitvA-imam SrI-vIraH BArgavaH muniH /
   pauṇḍrān pradakṣiṇīkṛtya mucyate brahmahatyayā // KtoM_84 //	pONxrAn pradakziNIkRtya mucyate brahmahatyayA // Ktom_84 //
   karatoyāmahātīrthamāhātmyaṃ yaḥ paṭhec chuciḥ /	karatoyAmahAtIrTamAhAtmyam yaH paWet SuciH /
