   //mausalaṃ parva//	//mOsalam parva//
   caṇḍāṃśumaṇḍaloccaṇḍaṃ tataścakraṃ suradviṣaḥ // Bhmj_16.7 //	caNxAMSu-maNxala-uccaNxam tatas-cakram suradvizaH // Bhmd-_16.7 //
   ratho dhvajaśca sauvarṇaḥ sahasāntaradhīyata /	raTaH DvajaH-ca sOvarNaH sahasA-antaraDIyata /
   atha mārjāravicchāye kabandhāvṛtamaṇḍale // Bhmj_16.8 //	aTa mArjAra-vicCAye kabanDa-AvRta-maNxale // Bhmd-_16.8 //
   sūrye vighaṭṭitāśeṣadiktaṭe vāti mārute /	sUrye viGawwita-aSeza-diS-tawe vAti mArute /
   muṇḍo viṭaṅkavadano yādavānāṃ gṛhe gṛhe // Bhmj_16.9 //	muNxaH viwaFka-vadanaH yAdavAnAm gRhe gRhe // Bhmd-_16.9 //
   saṃdarśya vadanaṃ prāyādvācānviṣṭo 'pyadṛśyata /	saMdarSya vadanam prAyAt-vAcA-anvizwaH api-adRSyata /
   cītkārapuruṣaḥ śabdaḥ śārikānāṃ gṛheṣvabhūt // Bhmj_16.10 //	cItkAra-puruzaH SabdaH SArikAnAm gRhezu-aBUt // Bhmd-_16.10 //
   gṛdhragomāyunādena rājamārgau'pyapūryata /	gRDra-gomAyu-nAdena rAjamArgO-api-apUryata /
   viparītā prasūtiśca paśūnāmabhavattadā // Bhmj_16.11 //	viparItA prasUtiH-ca paSUnAm-aBavat-tadA // Bhmd-_16.11 //
   kośeṣu kanakābandhe ratnāni svayamasphuṭan /	koSezu kanaka-AbanDe ratnAni svayam-asPuwan /
   teṣu ghoranimitteṣu jāteṣvapyaviśaṅkitāḥ // Bhmj_16.12 //	tezu Gora-nimittezu jAtezu-api-aviSaFkitAH // Bhmd-_16.12 //
   babhūvurvṛṣṇayo bhānti na hi nāśeṣu buddhayaḥ /	baBUvuH-vRzNayaH BAnti na hi nASezu budDayaH /
   prabhāsamatha saṃprāpte kṛṣṇe yādavavṛṣṇayaḥ // Bhmj_16.13 //	praBAsam-aTa saMprApte kRzNe yAdava-vRzNayaH // Bhmd-_16.13 //
   tameva deśamabhyetya cakrire vipulotsavam /	tam-eva deSam-aByetya cakrire vipula-utsavam /
   udyāneṣu vicitreṣu vijahnustatra te sukham // Bhmj_16.14 //	udyAnezu vicitrezu vijahnuH-tatra te suKam // Bhmd-_16.14 //
   gītanṛtyarasāsaktāḥ kalitāḥ kālacakṣuṣā /	gIta-nRtya-rasa-AsaktAH kalitAH kAla-cakzuzA /
   āpānakelisaṃsakte tato vṛṣṇikule 'bhavat // Bhmj_16.15 //	ApAna-keli-saMsakte tatas vRzNi-kule aBavat // Bhmd-_16.15 //
   vivāde yuddhasaṃbaddhaḥ śaineyakṛtavarmaṇoḥ /	vivAde yudDa-saMbadDaH SEneya-kRtavarmaNoH /
   hārdikyaṃ sātyākiḥ prāha suptahā sauptiko bhavān // Bhmj_16.16 //	hArdikyam sAtyAkiH prAha supta-hA sOptikaH BavAn // Bhmd-_16.16 //
   sa tamūce tvayā prāyagato bhūriśravā hataḥ /	sa tam-Uce tvayA prAya-gataH BUriSravAH hataH /
   evaṃ vivādātsaṃgrāmasteṣāmāsītsudāruṇaḥ // Bhmj_16.17 //	evam vivAdAt-saMgrAmaH-tezAm-AsIt-su-dAruNaH // Bhmd-_16.17 //
   prāktasmādvajramusalātprajātairvallarīcayaiḥ /	prAk-tasmAt-vajra-musalAt-prajAtEH-vallarI-cayEH /
   tṛṇamapyabhavattatra brahmadaṇḍamadotkaṭam // Bhmj_16.18 //	tRNam-api-aBavat-tatra brahmadaNxa-mada-utkawam // Bhmd-_16.18 //
   kṣayāya musalībhūtaṃ sahasāndhakavṛṣṇiṣu /	kzayAya musalIBUtam sahasA-anDaka-vRzNizu /
   yā bhūdāpānabhūsteṣāṃ lalanānayanotsavaḥ // Bhmj_16.19 //	yA BUdApAn-aBUH-tezAm lalanA-nayana-utsavaH // Bhmd-_16.19 //
   saiva mṛtyorabhūddhorasaṃhārāhāramaṇḍapaḥ /	sA-eva mRtyoH-aBUt-hora-saMhAra-AhAra-maNxapaH /
   sāmbe gade cārudoṣṇi pradyumne kṛtavarmaṇi // Bhmj_16.20 //	sAmbe gade cAru-dozNi pradyumne kRtavarmaNi // Bhmd-_16.20 //
   aniruddhe ca śaineye nihate paśyato hareḥ /	anirudDe ca SEneye nihate paSyataH hareH /
   vṛtte vṛṣṇikṣaye ghore strīśeṣā yādave kule // Bhmj_16.21 //	vRtte vRzNi-kzaye Gore strI-SezAH yAdave kule // Bhmd-_16.21 //
   dvārakā prarurodeva cchinnahārāśrunirjharaiḥ /	dvArakA praruroda-iva cCinna-hAra-aSru-nirJarEH /
   tataḥ śaurirhaladharaṃ draṣṭuṃ duḥkhākulo vrajan // Bhmj_16.22 //	tatas SOriH-halaDaram drazwum duHKa-AkulaH vrajan // Bhmd-_16.22 //
   dārukaṃ tatkathayituṃ prāhiṇotsavyasācine /	dArukam tat-kaTayitum prAhiNot-savyasAcine /
   yoṣitāṃ dasturakṣāyai babhrumādāya keśavaḥ // Bhmj_16.23 //	yozitAm dastu-rakzAyE baBrum-AdAya keSavaH // Bhmd-_16.23 //
   gatvā janakamāmantrya rauhiṇeyamupāyayau /	gatvA janakam-Amantrya rOhiNeyam-upAyayO /
   athāpaśyanmukhāttasya niḥsṛtaṃ madhusūdanaḥ // Bhmj_16.24 //	aTa-apaSyat-muKAt-tasya niHsRtam maDusUdanaH // Bhmd-_16.24 //
   sahasraśīrṣaṃ bhujagaṃ śvetaṃ śvetācalopamam /	sahasra-SIrzam Bujagam Svetam Sveta-acala-upamam /
   vāsukipramukhairnāgairatha pratyudyataiḥ saha // Bhmj_16.25 //	vAsuki-pramuKEH-nAgEH-aTa pratyudyatEH saha // Bhmd-_16.25 //
   dṛṣṭvārṇavaṃ praviṣṭaṃ taṃ varuṇenārcitaṃ punaḥ /	dRzwvA-arNavam pravizwam tam varuNena-arcitam punar /
   gatijñaḥ sarvabhūtānāṃ na śuśoca janārdanaḥ // Bhmj_16.26 //	gati-jQaH sarva-BUtAnAm na SuSoca janArdanaH // Bhmd-_16.26 //
   bhave hyabhāvasadbhāve bhāvānāṃ sthiratā kutaḥ /	Bave hi-aBAva-sadBAve BAvAnAm sTira-tA kutas /
   anantadhāmni milite balabhadre sakānane // Bhmj_16.27 //	ananta-DAmni milite balaBadre sa-kAnane // Bhmd-_16.27 //
   praviśya yogī suṣvāpa nibaddhaprāṇadhāraṇaḥ /	praviSya yogI suzvApa nibadDa-prANa-DAraNaH /
   taṃ svajyotiṣi saṃsaktaṃ lubdhako mṛgaśaṅkayā // Bhmj_16.28 //	tam sva-jyotizi saMsaktam lubDakaH mRga-SaFkayA // Bhmd-_16.28 //
   jaghāna niśitāgreṇa śareṇa caraṇodare /	jaGAna niSita-agreNa SareNa caraNa-udare /
   kṛṣṇaśāradhiyā kṛṣṇo lubdhakeneṣuṇā hataḥ // Bhmj_16.29 //	kRzNa-SAra-DiyA kRzNaH lubDakena-izuNA hataH // Bhmd-_16.29 //
   nārāyaṇākhyamaviśatparaṃ dhāma sanātanam /	nArAyaNa-AKyam-aviSat-param DAma sanAtanam /
   surasiddharṣigandharvaiḥ pūjyamāne saha śriyā // Bhmj_16.30 //	sura-sidDa-Rzi-ganDarvEH pUjyamAne saha SriyA // Bhmd-_16.30 //
   viṣṇuṃ praviṣṭe govinde babhūva kṣubhitaṃ jagat /	vizNum pravizwe govinde baBUva kzuBitam jagat /
   atrāntare dārukena kathite yādavakṣaye // Bhmj_16.31 //	atra-antare dArukena kaTite yAdava-kzaye // Bhmd-_16.31 //
   śokaṃ trāsaṃ ca dainyaṃ ca bhejire pāṇḍavāḥ param /	Sokam trAsam ca dEnyam ca Bejire pANxavAH param /
   tato yudhiṣṭhiragirā dvārakāṃ śvetavāhanaḥ // Bhmj_16.32 //	tatas yuDizWira-girA dvArakAm SvetavAhanaH // Bhmd-_16.32 //
   dārukenaiva sahitaḥ prayayau śokamūrcchitaḥ /	dArukena-eva sahitaH prayayO Soka-mUrcCitaH /
   sa prāpa yādavapurīmapadmāmiva padminīm // Bhmj_16.33 //	sa prApa yAdava-purIm-apadmAm-iva padminIm // Bhmd-_16.33 //
   vṛṣṇisiṃhairvirahitā guhāṃ haimavatīmiva /	vRzNi-siMhEH-virahitAH guhAm hEmavatIm-iva /
   kaṣṭairariṣṭanicayaiḥ spṛṣṭāṃ duḥkhādvilokya tām // Bhmj_16.34 //	kazwEH-arizwa-nicayEH spRzwAm duHKAt-vilokya tAm // Bhmd-_16.34 //
   draṣṭuṃ viveśa śokārtaṃ janakaṃ kaṃsavidviṣaḥ /	drazwum viveSa Soka-Artam janakam kaMsa-vidvizaH /
   tārapralāpamukharairvṛtaṃ vṛṣṇivadhūjanaiḥ // Bhmj_16.35 //	tAra-pralApa-muKarEH-vRtam vRzNi-vaDU-janEH // Bhmd-_16.35 //
   ṣoḍaśastrīsahasrāṇi kalatraṃ kamalāpateḥ /	zoxaSa-strI-sahasrANi kalatram kamalApateH /
   saubhadrajanako dṛṣṭvā mumoha bhayavihvalam // Bhmj_16.36 //	sOBadra-janakaH dRzwvA mumoha Baya-vihvalam // Bhmd-_16.36 //
   śayānaṃ bhuvi pārtho 'pi vasudevaṃ pralāpinam /	SayAnam Buvi pArTaH api vasudevam pralApinam /
   vilokya śokavivaśo vajrabhinna ivāpatat // Bhmj_16.37 //	vilokya Soka-vivaSaH vajra-BinnaH iva-apatat // Bhmd-_16.37 //
   kva rāmaḥ kva ca govindaḥ kva pradyumnaḥ kva sātyakiḥ /	kva rAmaH kva ca govindaH kva pradyumnaH kva sAtyakiH /
   aho vidherduranteyaṃ śaktirityarjuno 'vadat // Bhmj_16.38 //	aho viDeH-durantA-iyam SaktiH-iti-arjunaH avadat // Bhmd-_16.38 //
   maṇikaṅkaṇajhāṅkārinṛttagītaghanadhvaniḥ /	maNi-kaFkaNa-JAFkAri-nRtta-gIta-Gana-DvaniH /
   aviśrāntamabhūdyatra śravaṇānandanirjharaiḥ // Bhmj_16.39 //	aviSrAntam-aBUt-yatra SravaNa-Ananda-nirJarEH // Bhmd-_16.39 //
   tatraiva vṛṣṇinārīṇāṃ śṛṇvannārodanadhvanim /	tatra-eva vRzNi-nArINAm SRNvan=-Arodana-Dvanim /
   niśāṃ nināya bībhatsurnirapāyamayīṃ śriyam // Bhmj_16.40 //	niSAm ninAya bIBatsuH-nirapAya-mayIm Sriyam // Bhmd-_16.40 //
   tataḥ prātaḥ priyasuto vasudevaḥ priyāṃ tanum /	tatas prAtar priya-sutaH vasudevaH priyAm tanum /
   tatyāja devakīmukhyairanuyāto vadhūjanaiḥ // Bhmj_16.41 //	tatyAja devakI-muKyEH-anuyAtaH vaDU-janEH // Bhmd-_16.41 //
   tataḥ sāttvatamukhyānāṃ sarveṣāṃ śokavihvalaḥ /	tatas sAttvata-muKyAnAm sarvezAm Soka-vihvalaH /
   pārthaḥ śarīraṃ saṃskṛtya cakāra salilakriyām // Bhmj_16.42 //	pArTaH SarIram saMskRtya cakAra salila-kriyAm // Bhmd-_16.42 //
   vajrābhidhānaṃ kṛṣṇasya pautraṃ kuntīsutastataḥ /	vajra-aBiDAnam kRzNasya pOtram kuntI-sutaH-tatas /
   ādāya vṛṣṇikāntāśca pratasthe dārukānugaḥ // Bhmj_16.43 //	AdAya vRzNi-kAntAH-ca pratasTe dAruka-anugaH // Bhmd-_16.43 //
   atha dvāravatīṃ sphārataraṅgabhujamaṇḍalaiḥ /	aTa dvAravatIm sPAra-taraFga-Buja-maNxalEH /
   śaṅkhāṭṭahāsavikaṭo jahāra makarākaraḥ // Bhmj_16.44 //	SaFKa-awwahAsa-vikawaH jahAra makara-AkaraH // Bhmd-_16.44 //
   hate vṛṣṇipure kṣipraṃ ratnalobhādivābdhinā /	hate vRzNi-pure kzipram ratna-loBAt-iva-abDinA /
   puruṣānugataṃ sarvamityūce duḥkhito janaḥ // Bhmj_16.45 //	puruza-anugatam sarvam-iti-Uce duHKitaH janaH // Bhmd-_16.45 //
   kalatraṃ vṛṣṇisiṃhānāmādāya śvetavāhanaḥ /	kalatram vRzNi-siMhAnAm-AdAya SvetavAhanaH /
   indraprasthaṃ vrajanprāpa durgamāṃ vikaṭāṭavīm // Bhmj_16.46 //	indraprasTam vrajan-prApa durgamAm vikawa-awavIm // Bhmd-_16.46 //
   dasyavastatra gopālā balinaḥ paśujīvinaḥ /	dasyavaH-tatra gopAlAH balinaH paSu-jIvinaH /
   adṛṣṭapūrvāḥ svaryoṣitsubhagāḥ sāttvatāṅganāḥ // Bhmj_16.47 //	adRzwa-pUrvAH svar-yozit-suBagAH sAttvata-aFganAH // Bhmd-_16.47 //
   taḍittaralaratnāṃśupuñjaritāmbarāḥ /	taxit-tarala-ratna-aMSu-puQjarita-ambarAH /
   vilokya lobhavaśagā hartumabhyudyayurbalāt // Bhmj_16.48 //	vilokya loBa-vaSa-gAH hartum-aByudyayuH-balAt // Bhmd-_16.48 //
   gopānāpatitāndṛṣṭā tānugralaguḍāyudhān /	gopAn-ApatitAn-dRzwA tAn-ugra-laguxa-AyuDAn /
   gāṇḍīvadhanvā gāṇḍīpamadhijyamakarotkrudhā // Bhmj_16.49 //	gANxIvaDanvA gANxIpam-aDijyam-akarot-kruDA // Bhmd-_16.49 //
   kālaśaktihatasyāpi tasyāpi kṣapitadviṣaḥ /	kAla-Sakti-hatasya-api tasya-api kzapita-dvizaH /
   na śaktirabhavatkācitkṣīṇeṣorjyāvikarṣaṇe // Bhmj_16.50 //	na SaktiH-aBavat-kAcid-kzINa-izoH-jyA-vikarzaNe // Bhmd-_16.50 //
   cāpayaṣṭiranāyattā tasyābhūdatiduḥkhagā /	cApa-yazwiH-anAyattA tasya-aBUt-ati-duHKa-gAH /
   vṛddhasyeva daridrasya taruṇī rūpiṇī vadhūḥ // Bhmj_16.51 //	vRdDasya-iva daridrasya taruNI rUpiNI vaDUH // Bhmd-_16.51 //
   tasya kopāgnitaptasya vṛthā bhrūbhaṅgakāriṇaḥ /	tasya kopa-agni-taptasya vRTA BrU-BaFga-kAriNaH /
   bhṛtyā ivāvinītasya babhūvuravaśāḥ śarāḥ // Bhmj_16.52 //	BRtyAH iva-avinItasya baBUvuH-avaSAH SarAH // Bhmd-_16.52 //
   te divyāstragaṇāḥ kvāpi jagmurutsṛjya taṃ mṛdhe /	te divya-astra-gaNAH kvApi jagmuH-utsRjya tam mRDe /
   guṇasaṅgāmanādṛtya dhūrtā mitramivādhanam // Bhmj_16.53 //	guNa-saFgAm-anAdRtya DUrtAH mitram-iva-aDanam // Bhmd-_16.53 //
   sa niḥśaśvāsa vipulairmārgaṇaiḥ parivarjitaḥ /	sa niHSaSvAsa vipulEH-mArgaNEH parivarjitaH /
   kṣīṇakośa iva tyāgī vailakṣyavinatānanaḥ // Bhmj_16.54 //	kzINa-koSaH iva tyAgI vElakzya-vinata-AnanaH // Bhmd-_16.54 //
   tato niṣpratibhe tatra pārthe sarvāyudhakṣayāt /	tatas nizpratiBe tatra pArTe sarva-AyuDa-kzayAt /
   vṛṣṇipaurāṅganā jahrurnirvivekā vanecarāḥ // Bhmj_16.55 //	vRzNi-pOra-aFganAH jahruH-nirvivekAH vanecarAH // Bhmd-_16.55 //
   na tu pradhānanārīṣu teṣāmāsītpragalbhatā /	na tu praDAna-nArIzu tezAm-AsIt-pragalBa-tA /
   anarhasya mahārheṣu nīcasyojasvitā katham // Bhmj_16.56 //	anarhasya mahArhezu nIcasi-ojasvitA kaTam // Bhmd-_16.56 //
   taiḥ prasahya hṛte straiṇe bhagnamāno dhanaṃjayaḥ /	tEH prasahya hRte strENe Bagna-mAnaH DanaMjayaH /
   pratasthe nijadordaṇḍe sāsūyāḥ pātayandṛśaḥ // Bhmj_16.57 //	pratasTe nija-dos-daNxe sa-asUyAH pAtayan-dRSaH // Bhmd-_16.57 //
   aho balavatī devī saṃsāre 'sminnanityatā /	aho balavatI devI saMsAre asmin=-anityatA /
   aho niḥsāraparyantā bhāvānāṃ prabhaviṣṇutā // Bhmj_16.58 //	aho niHsAra-paryantAH BAvAnAm praBavizNu-tA // Bhmd-_16.58 //
   aho sarvakaṣaḥ kālaścitrapākamaho jagat /	aho sarva-kazaH kAlaH-citra-pAkam-aho jagat /
   vijite vijayo gopairduḥkhādityavadajjanaḥ // Bhmj_16.59 //	vijite vijayaH gopEH-duHKAt-iti-avadat-janaH // Bhmd-_16.59 //
   dhiganityavilāsasya vibhramabhrāntikāriṇaḥ /	Dik-anitya-vilAsasya viBrama-BrAnti-kAriNaH /
   dhāturadbhutanirmāṇavinodaviśarārutām // Bhmj_16.60 //	DAtuH-adButa-nirmANa-vinoda-viSara-ArutAm // Bhmd-_16.60 //
   ākhaṇḍalaprabhṛtayaḥ khāṇḍave yena khaṇḍitāḥ /	AKaNxala-praBRtayaH KANxave yena KaNxitAH /
   kairāte tripurārātiḥ samare yena toṣitaḥ // Bhmj_16.61 //	kErAte tripurArAtiH samare yena tozitaH // Bhmd-_16.61 //
   jitvā tamapi gopālā varākāḥ suhṛdaṃ hareḥ /	jitvA tam-api gopAlAH varAkAH suhRdam hareH /
   jahrurviṣṇukalatrāṇi dhikkālasya durantatām // Bhmj_16.62 //	jahruH-vizNu-kalatrANi Dik-kAlasya duranta-tAm // Bhmd-_16.62 //
   revatīṃ rukmiṇīṃ satyabhāmāṃ jāmbavatīṃ tathā /	revatIm rukmiNIm satyaBAmAm jAmbavatIm taTA /
   vajraṃ pautraṃ ca kaṃsāreranyāśca yaduyoṣitaḥ // Bhmj_16.63 //	vajram pOtram ca kaMsAreH-anyAH-ca yadu-yozitaH // Bhmd-_16.63 //
   ādāya phalguṇaḥ śocannindraprasthaṃ samāviśat /	AdAya PalguNaH Socan=-indraprasTam samAviSat /
   sabāṣpaṃ paurasaṃghātairabhitaḥ parivāritaḥ // Bhmj_16.64 //	sa-bAzpam pOra-saMGAtEH-aBitas parivAritaH // Bhmd-_16.64 //
   rājye nidhāya tatraiva vajraṃ yāte dhanaṃjaye /	rAjye niDAya tatra-eva vajram yAte DanaMjaye /
   satyabhāmānugā devyaḥ pāvakaṃ viviśuḥ śucā // Bhmj_16.65 //	satyaBAmA-anugAH devyaH pAvakam viviSuH SucA // Bhmd-_16.65 //
   vrajanvṛṣṇiviyogārtaḥ kirīṭi hastināpuram /	vrajan-vRzNi-viyoga-ArtaH kirIwi hastinApuram /
   parāvarajñaṃ bhāvānāṃ vane vyāsaṃ vyalokayat // Bhmj_16.66 //	parAvara-jQam BAvAnAm vane vyAsam vyalokayat // Bhmd-_16.66 //
   duḥkhānnyavedayattasmai ghoraṃ vṛṣṇikulakṣayam /	duHKAt-nyavedayat-tasmE Goram vRzNi-kula-kzayam /
   ātmanaścāttacāpasya gopaiḥ pathi parābhavam // Bhmj_16.67 //	AtmanaH-ca-Atta-cApasya gopEH paTi parABavam // Bhmd-_16.67 //
   tamabravījjñānanidhirmunirāśvāsya mūrcchitam /	tam-abravIt-jQAna-niDiH-muniH-ASvAsya mUrcCitam /
   putra kālavilāsānāṃ sarvametadvijṛmbhitam // Bhmj_16.68 //	putra kAla-vilAsAnAm sarvam-etat-vijRmBitam // Bhmd-_16.68 //
   matirvibhūtayo bhogāḥ prabhāvāḥ śaktayo guṇāḥ /	matiH-viBUtayaH BogAH praBAvAH SaktayaH guNAH /
   sarvathā kālakalayā nīyate smṛtiśeṣatām // Bhmj_16.69 //	sarvaTA kAla-kalayA nIyate smRti-Seza-tAm // Bhmd-_16.69 //
   dhruvaṃ sarvaparityāge na kuryurmunayo matim /	Druvam sarva-parityAge na kuryuH-munayaH matim /
   avasānaikavirasā yadi na syādbhavasthitiḥ // Bhmj_16.70 //	avasAna-eka-virasA yadi na syAt-Bava-sTitiH // Bhmd-_16.70 //
   ityukto muninā pārthaḥ prayayau hastināpuram /	iti-uktaH muninA pArTaH prayayO hastinApuram /
   prabhāvaṃ vṛṣṇisiṃhasya kalayanbhṛśavihvalaḥ // Bhmj_16.71 //	praBAvam vRzNi-siMhasya kalayan-BRSa-vihvalaH // Bhmd-_16.71 //
   iti śrīkṣemendraviracitāyāṃ bhāratamañjaryāṃ mausalaṃ parva	iti SrIkzema-indra-viracitAyAm BArata-maQjaryAm mOsalam parva
