   Guṇakāraṇḍavyūha sūtra	GuNa kAraNxavyUha sUtra
   tataḥ sarve 'pi logakāśca yathākramamupāgatāḥ //	tatas sarve api logakAH ca yaTAkramam upAgatAH //
   tamarhantaṃ yatiṃ natvā parivṛtya samāśrayan /	tam arhantam yatim natvA parivRtya samASrayan /
   tadāśokaḥ sa rājendro dṛṣṭvā sabhāśritān janān //	tadA aSokaH sa rAja indraH dRzwvA saBA ASritAn janAn //
   utthāya svāsanācchāstuḥ purataḥ samupāśritaḥ /	utTAya svAsanAt SAstuH puratas samupASritaH /
   udvahannuttarāsaṃgaṃ jānubhyāṃ bhuvi saṃsthitaḥ //	udvahan= uttarAsaMgam jAnuByAm Buvi saMsTitaH //
   sāṃjalistaṃ yatiṃ natvā prārthayedevamādarāt /	sAMjaliH tam yatim natvA prArTayet evam AdarAt /
   bhadanta śrotumichāmi triratnotpattisatkathām //	Badanta Srotum iCAmi tri ratna utpatti sat kaTAm //
   kiṃ triratnamiti khyātam tatsamādeṣṭumarhasi /	kim tri ratnam iti KyAtam tad samAdezwum arhasi /
   iti saṃprārthite rājñā so 'rhan jinātmajaḥ sudhīḥ //	iti saMprArTite rAjQA saH arhan jina AtmajaH suDIH //
   upagupto narendraṃ taṃ samālokyaivamādiśat //	upaguptaH narendram tam samAlokya evam AdiSat //
   sādhu śṛṇu mahārāja samādhāya jagaddhite //	sADu SRNu mahA rAja samADAya jagat hite //
   yathā me guruṇādiṣṭaṃ tathā te vakṣyate mayā /	yaTA me guruNA Adizwam taTA te vakzyate mayA /
   tadyathādisamudbhūto dharmadhātusvarupakaḥ //	tat yaTA Adi samudBUtaH DarmaDAtu svarupakaH //
   paṃcabuddhāṃśasaṃjāto jagadīśastathāgataḥ /	paMca budDa aMSa saMjAtaH jagadISaH taTAgataH /
   mahābuddho jagannātho jagacchāstā maheśvaraḥ //	mahAbudDaH jagannATaH jagat SAstAH maheSvaraH //
   dharmarājo munīndro 'rhanvairocanasamādhidhṛk /	DarmarAjaH muni indraH arhan vErocana samADi DRk /
   sarvajñaḥ sadguṇādhāraḥ sarvavidyādhipo jinaḥ //	sarvajQaH sat guNa ADAraH sarva vidyA aDipaH jinaH //
   samantabhadrarupāṃgaḥ sugataḥ śrīsukhākaraḥ /	samantaBadra rupa aMgaH sugataH SrI suKa AkaraH /
   ṣaḍabhijño mahāvīro vajrasattvavināyakaḥ //	zaxaBijQaH mahAvIraH vajra sattva vinAyakaH //
   māradarpatamohantā saṃbodhijñānabhāskaraḥ /	mAra darpa tamaH hantA saMboDi jQAna BAskaraH /
   eṣa sa bhagavāṃlloke buddharatna iti smṛtaḥ //	eza sa BagavAn= loke budDa ratnaH iti smRtaH //
   (Gkv 4)	(Gku 4)
   ye caitaccharaṇaṃ gatvā boddhisattvā jagaddhite /	ye ca etat SaraNam gatvA bodDi sattvAH jagat hite /
   bodhicaryāvrataṃ dhṛtvā caranto bhadracārikān //	boDi caryA vratam DRtvA carantaH BadracArikAn //
   jitvā māragaṇān sarvānarhanto nirmalāśayāḥ /	jitvA mAra gaNAn sarvAn arhantaH nirmala ASayAH /
   samyaksaṃbodhimāsādya saṃbuddhapadamāgatāḥ //	samyaksaMboDim AsAdya saMbudDa padam AgatAH //
   te 'pi sarve jagannāthāstathāgatā munīśvarāḥ /	te api sarve jagannATAH taTAgatAH muni ISvarAH /
   bhagavanto mahābhijñā buddharatnā iti smṛtāḥ /	BagavantaH mahA aBijQAH budDa ratnAH iti smRtAH /
   yā śrī bhagavatī devī prajñā sarvaguṇāśrayā /	yA SrI BagavatI devI prajQA sarva guNa ASrayAH /
   jananī sarvabuddhānāṃ saṃbodhijñānabhāskarī //	jananI sarva budDAnAm saMboDi jQAna BAskarI //
   māradarpatamohantrī saddharmaguṇadāyinī /	mAra darpata maH hantrI sat Darma guNa dAyinI /
   sarvavidyādharī lakṣmī sarvasattvaśubhaṃkarī //	sarva vidyADarI lakzmI sarva sattva SuBaMkarI //
   eṣaḥ saddharmasambhartā dharmaratna iti smṛtaḥ //	ezaH sadDarma samBartA Darma ratnaH iti smRtaH //
   ye cānye 'pi mahāyānasūtrādayaḥ subhāṣitāḥ /	ye ca anye api mahAyAna sUtra AdayaH su BAzitAH /
   deśitāḥ sugataiste 'pi dharmaratna iti smṛtaḥ /	deSitAH sugatEH te api Darma ratnaH iti smRtaH /
   yaśca saddharmasaṃbhirtā bodhisattvo jagatprabhuḥ /	yaH ca sadDarma saMBirtA boDisattvaH jagatpraBuH /
   mahāsattvo jagannāthaḥ sarvadharmādhipeśvaraḥ //	mahAsattvaH jagannATaH sarva Darma aDipa ISvaraH //
   duṣṭakleśatamohantā saṃbodhigiṇabhāskaraḥ /	duzwa kleSa tamaH hantA saMboDi giNa BAskaraH /
   viśvarupo mahābhijñaḥ sarvasattvahitārthabhṛt //	viSvarupaH mahA aBijQaH sarva sattva hita arTa BRt //
   sarvalokādhipaḥ śrīmān dharmarājo jinātmajaḥ /	sarva loka aDipaH SrImAn DarmarAjaH jina AtmajaH /
   eṣa lokeśvaraḥ śāstā saṃgharatna iti smṛtaḥ //	eza loka ISvaraH SAstA saMGa ratnaH iti smRtaH //
   ye cānye 'pi mahāsattvā bodhisattvā jitendriyāḥ /	ye ca anye api mahAsattvAH boDisattvAH jita indriyAH /
   arhanto nirmalātmānaḥ saṃbodhijñānasādhinaḥ //	arhantaH nirmala AtmAnaH saMboDi jQAna sADinaH //
   bhadracaryāsamācārāścaturbrahmavihāriṇaḥ /	Badra caryA samAcArAH catur brahma vihAriNaH /
   saṃbuddhasāṃghikāste 'pi saṃgharatnāḥ smṛtā jinaiḥ //	saMbudDa sAMGikAH te api saMGa ratnAH smRtAH jinEH //
   ye teṣāṃ śaraṇaṃ gatvā bhaktiśraddhāsamāhitāḥ /	ye tezAm SaraNam gatvA Bakti SradDA samAhitAH /
   bhajanti sarvadā nityaṃ smṛtvāpi ca divāniśam //	Bajanti sarvadA nityam smRtvA api ca divAniSam //
   te bhavanti mahāsattvā bodhisattvā guṇākarāḥ /	te Bavanti mahAsattvAH boDisattvAH guNa AkarAH /
   sacchrīsaṃpatsamāpannāḥ sarvasattvahitotsavāḥ //	sat SrI saMpad samApannAH sarva sattva hita utsavAH //
   bodhicaryāvrataṃ dṛtvā kṛtvā loke śubhaṃ sadā /	boDi caryA vratam dRtvA kRtvA loke SuBam sadA /
   sukhānyeva sadāa bhuktvāa prānte yāanti sukhāvatīm //	suKAni eva sadAa BuktvAa prAnte yAanti suKAvatIm //
   (Gkv 5)	(Gku 5)
   ityevaṃ saṃgharatnasya bhajanaṃ puṇyamuttamam /	iti evam saMGa ratnasya Bajanam puNyam uttamam /
   matvā taccharaṇaṃ gatvā bhajantyetadguṇārthinaḥ //	matvA tat SaraNam gatvA Bajanti etat guNa arTinaH //
   etatpuṇyaviśuddhātmā kadāpyeti na durgatim /	etat puNya viSudDa AtmA kadApyeti na durgatim /
   sarvadā sadgatiṣveva jāto dharmādhipo bhavet //	sarvadA sat gatizu eva jAtaH Darma aDipaH Bavet //
   ye cāpi dharmaratnasya pragatvā śaraṇaṃ sadā /	ye ca api Darma ratnasya pragatvA SaraNam sadA /
   bhajanti śraddhayā bhaktyā śrutvāpyetatsubhāṣitam //	Bajanti SradDayA BaktyA SrutvA api etat suBAzitam //
   te 'pi santo mahāsattvā bodhisattvā guṇāśrayāḥ /	te api santaH mahAsattvAH boDisattvAH guNa ASrayAH /
   saṃbodhiśrīsukhādhārāḥ sarvasattvaśubhāratāḥ //	saMboDi SrI suKa ADArAH sarva sattva SuBA ratAH //
   saṃbodhicārikāṃ dhṛtvā kṛtvā sattvahitaṃ sadā /	saMboDi cArikAm DRtvA kRtvA sattva hitam sadA /
   satsukhānyeva bhuktvānte saṃyānti sugatālayam //	sat suKAni eva BuktvA ante saMyAnti sugata Alayam //
   ityevaṃ dharmaratnasya bhajanārthaṃ varaṃ vṛṣam /	iti evam Darma ratnasya Bajana arTam varam vRzam /
   vijñāya śaraṇaṃ gatvā bhajantvetacchubhārthinaḥ //	vijQAya SaraNam gatvA Bajantu etat SuBa arTinaH //
   etaddharmaviśuddhātmā durgatiṃ naiva yāti saḥ /	etad Darma viSudDa AtmA durgatim na eva yAti saH /
   sadgatiṣveva saṃjāto prāonte yāti jinālayam //	sat gatizu eva saMjAtaH prAonte yAti jina Alayam //
   iti vijñāya ye martyāḥ saddharmasukhavāṃchinaḥ /	iti vijQAya ye martyAH sadDarma suKavAMCinaH /
   triratnaśaraṇaṃ gatvā bhajantu te sadā bhave //	tri ratna SaraNam gatvA Bajantu te sadA Bave //
   etatpuṇyānubhāvena pariśuddhāśayā narāḥ /	etat puNya anuBAvena pariSudDa ASayAH narAH /
   saṃbodhicittamāsādya caranti bodhisaṃvaram //	saMboDi cittam AsAdya caranti boDi saMvaram //
   bodhicaryāṃ carantaste pūrya pāramitāḥ kramāt //	boDi caryAm carantaH te pUrya pAramitAH kramAt //
   caturmārān vinirjitya niḥkleśā vimalāśayāḥ /	catur mArAn vinirjitya niHkleSAH vimala ASayAH /
   arhantaṃ prāpya saṃbodhiṃ saṃbuddhapadamāpnuyuḥ //	arhantam prApya saMboDim saMbudDa padam ApnuyuH //
   iti vijñāya yo martyaḥ saṃbuddhapadamicchati /	iti vijQAya yaH martyaH saMbudDa padam icCati /
   sa ādau śaraṇaṃ gatvā sadguroḥ samupāśrayet //	saH AdO SaraNam gatvA sat guroH samupASrayet //
   ārādhya sadguruṃ bhaktyā santoṣya saṃprasādayan /	ArADya sat gurum BaktyA santozya saMprasAdayan /
   tadupadeśamāsādya tīrtha snātvā vrataṃ caret //	tat upadeSam AsAdya tIrTa snAtvA vratam caret //
   vratānāṃ poṣadhaṃ śreṣṭhaṃ samākhyātaṃ munīśvaraiḥ /	vratAnAm pozaDam SrezWam samAKyAtam muni ISvarEH /
   etatpuṇyānubhāvena saṃprāpnoti bodhimuttamām //	etat puNya anuBAvena saMprApnoti boDim uttamAm //
   atītā api saṃbuddhā etatpuṇyānubhāvataḥ /	atItAH api saMbudDAH etat puNya anuBAvataH /
   jitvā mārān samāsādya saṃbodhimabhavan jināḥ /	jitvA mArAn samAsAdya saMboDim aBavan jinAH /
   (Gkv 6)	(Gku 6)
   ye caitarhi sthitāḥ sarve te 'pyetatpuṇyabhāvataḥ /	ye ca etarhi sTitAH sarve te api etat puNya BAvataH /
   arhantaṃ prāpya saṃbodhiṃ bhavanti sugatāḥ khalu //	arhantam prApya saMboDim Bavanti sugatAH Kalu //
   ye cāpyanāgatāḥ sarve bodhisattvā vratopamāḥ /	ye ca api anAgatAH sarve boDisattvAH vrata upamAH /
   te 'pyetatpuṇyapākena bhaviṣyanti munīśvarāḥ //	te api etat puNya pAkena Bavizyanti muni ISvarAH //
   evamanyetatpuṇyapākena bhaviṣyanti munīśvarāḥ //	evam anyetat puNya pAkena Bavizyanti muni ISvarAH //
   evamanye 'pi sattvāśca ye ye 'pyetadvrataṃcarāḥ /	evam anye api sattvAH ca ye ye api etat vrataMcarAH /
   te te sarve mahāsattvā bhaveyurbodhibhāginaḥ //	te te sarve mahAsattvAH BaveyuH boDi BAginaH //
   śrīmantaḥ sadguṇādhārā niḥkleśā vijitendriyāḥ /	SrImantaH sat guNa ADArAH niHkleSAH vijita indriyAH /
   sarvasattvahitodyuktāścaturbrahmavihāriṇaḥ //	sarva sattva hita udyuktAH catur brahma vihAriNaH //
   durgatiṃ te na gacchanti kadāpi hi bhavālaye //	durgatim te na gacCanti kadApi hi Bava Alaye //
   sadāpi sadgatāveva saṃjātāḥ satsukhānvitāḥ /	sadA api sat gatO= eva saMjAtAH sat suKa anvitAH /
   bodhisattvāḥ sudhīmantaḥsaddharmaguṇasādhinaḥ //	boDisattvAH suDIm antar sad Darma guNa sADinaH //
   krameṇa bodhisaṃbhāraṃ pūrayitvā samāhitāḥ /	krameNa boDi saMBAram pUrayitvA samAhitAH /
   trividhāṃ bodhimāsādha nirvṛtipadamāpnuyuḥ //	triviDAm boDimAsADa nirvRti padam ApnuyuH //
   iti vijñāna ye martyā nirvṛtipadakāṃkṣiṇaḥ /	iti vijQAna ye martyAH nirvRti pada kAMkziNaH /
   te etad vratamādhāya saṃcaranto yathāvithi //	te etat vratam ADAya saMcarantaH yaTA viTi //
   etatpuṇyaviśuddhā hi naiva gacchanti durgatim /	etat puNya viSudDAH hi na eva gacCanti durgatim /
   sadā sadgatisaṃjātāḥ prānte yayuḥ sunirvṛtim //	sadA sat gati saMjAtAH prAnte yayuH su nirvRtim //
   evaṃ me guruṇādiṣṭaṃ munīndraideśitaṃ yathā /	evam me guruNA Adizwam muni indrEdeSitam yaTA /
   tathāhaṃ te mayā rājan gaditaṃ saṃpradhyatām //	taTA aham te mayA rAjan gaditam saMpraDyatAm //
   tvamapyevaṃ sadā rājan durgatiṃ na yadīcchasi //	tvam api evam sadA rAjan durgatim na yadi icCasi //
   sadā sadgatisaṃjāto nirvṛtiṃ hi yadīcchasi //	sadA sat gati saMjAtaH nirvRtim hi yadi icCasi //
   carasvaitadvrataṃ rājan poṣadhākhyaṃ yathāvidhi /	carasva etat vratam rAjan pozaDA AKyam yaTAviDi /
   etatpuṇyaviśuddhātmā nūnaṃ yāyāḥ sunirvṛtim //	etat puNya viSudDa AtmA nUnam yAyAH su nirvRtim //
   iti tenārhatā śāyā samādiṣṭaṃ niśamya saḥ /	iti tena arhatA SAyA samAdizwam niSamya saH /
   aśoko nṛpatī rājā tadvrataṃ dhartumaicchata //	aSokaH nRpatiH rAjA tad vratam Dartum EcCate //
   tataḥ sa nṛpatī rājā kṛtāṃjalirupāśritaḥ /	tatas sa nRpatiH rAjA kRta aMjaliH upASritaH /
   upaguptaṃ tamarhantaṃ natvaivaṃ prārthayanmudā //	upaguptam tam arhantam natvA evam prArTayat mudA //
   bhavante bhavatādiṣṭaṃ śrutvā me rocate manaḥ /	Bavante BavatA Adizwam SrutvA me rocate manaH /
   tathāhaṃ saṃcariṣyedaṃ poṣadhaṃ vratamuttamam //	taTA aham saMcarizya idam pozaDam vratam uttamam //
   (Gkv 7)	(Gku 7)
   tadvidhānaṃ samākhyāhi tatphalaṃ ca viśeṣataḥ /	tad viDAnam samAKyAhi tad Palam ca viSezataH /
   triratnabhajanotpannaṃ puṇyafalaṃ ca vistaram //	tri ratna Bajana utpannam puNya falam ca vistaram //
   iti saṃprārthite rājñā sa śāstārhanyatiḥ sudhiḥ /	iti saMprArTite rAjQA sa SAstA arhanyatiH suDiH /
   aśokaṃ taṃ mahārājaṃ samālokyaivamādiśat //	aSokam tam mahA rAjam samAlokya evam AdiSat //
   sādhu śṛṇu mahārāja yadicchasi samāhitaḥ /	sADu SRNu mahA rAja yat icCasi samAhitaH /
   yathā me guruṇākhyātaṃ tathā te saṃpravakṣyate //	yaTA me guruNA AKyAtam taTA te saMpravakzyate //
   tadyāthāyaṃ prasannātmā vrataṃ caritumicchati /	tat yATA ayam prasanna AtmA vratam caritum icCati /
   sa ādau prātarutthāya tīrtha snātvā yathāvidhi //	saH AdO prAtar utTAya tIrTa snAtvA yaTAviDi //
   śuddhakyāvṛtaḥ śuddhacitto brahmavihārikaḥ /	SudDakyAvRtaH SudDa cittaH brahma vihArikaH /
   aṣṭāṃgavidhisaṃyuktaṃ poṣadhaṃ vratamādadhat //	azwa aMga viDi saMyuktam pozaDam vratam AdaDat //
   śrīmadamopāśasya lokeśvarasya maṇḍalam /	SrImat ama upASasya lokeSvarasya maNxalam /
   sagaṇaṃ vartayedraṃgaiḥ paṃcabhiḥ pariśobhitam //	sa gaNam vartayet raMgEH paMcaBiH pariSoBitam //
   yathāvidhi pratiṣṭhāpya śuciśīlaḥ samāhitaḥ /	yaTAviDi pratizWApya Suci SIlaH samAhitaH /
   tathaiva madyamāṃsādyā rasunādyā vivarjayet //	taTA eva madya mAMsa AdyAH rasunA AdyAH vivarjayet //
   ādau guruṃ samabhyarcya yathāvidhi praṇāmayet /	AdO gurum samaByarcya yaTAviDi praNAmayet /
   tatayiratnamabhyarcya praṇameccharaṇaṃ gataḥ //	tatayiratnam aByarcya praNamet SaraNam gataH //
   tataścāmoghapāśākhyaṃ lokeśvaraṃ jagatprabhum //	tatas ca amoGapASa AKyam lokeSvaram jagatpraBum //
   nidhyāya manasāvāhya datvā pādyārghamādarāt //	niDyAya manasA AvAhya datvA pAdya arGam AdarAt //
   saṃsthāpya maṇḍale tatra sagaṇaṃ saṃpramoditaḥ /	saMsTApya maNxale tatra sa gaNam saMpramoditaH /
   yathāvithi samārādhya śraddhābhaktisamanvitaḥ //	yaTA viTi samArADya SradDA Bakti samanvitaH //
   dhūpairgandhaiḥ supuṣpaiśca dīpaiḥ paṃcāmṛtāśanaiḥ /	DUpEH ganDEH su puzpEH ca dIpEH paMcAmRta aSanEH /
   sarvairdravyaiḥ saratnaiśca samabhyarcyābhitoṣayet //	sarvEH dravyEH sa ratnEH ca samaByarcya aBitozayet //
   japastotrādibhiḥ stutvā kṛtvā naikapradakṣiṇām /	japa stotra AdiBiH stutvA kRtvA na eka pradakziNAm /
   aṣṭāṃgaiḥ sāṃjalirnatvā prārthayedbhadrasaṃvaram //	azwa aMgEH sAMjaliH natvA prArTayet Badra saMvaram //
   tataśca sāṃjaliḥ sthitvā kuryāt svapāpadeśanām /	tatas ca sAMjaliH sTitvA kuryAt sva pApa deSanAm /
   puṇyānumodanāṃ cāpi suciraṃ cāpi saṃsthitim /	puNya anumodanAm ca api su ciram ca api saMsTitim /
   evaṃ sa suprasannātmā saṃprārthya bodhisaṃvaram /	evam sa su prasanna AtmA saMprArTya boDi saMvaram /
   tataḥ kṣamārthanāṃ kṛtvā tanmaṇḍalaṃ visarjayet //	tatas kzamA arTanAm kRtvA tat maNxalam visarjayet //
   (Gkv 8)	(Gku 8)
   tato 'hneḥ tṛtīye yāme paṃcāmṛtādibhojanam /	tatas ahneH tRtIye yAme paMcAmRta Adi Bojanam /
   nirāmiṣaṃ yathākāmaṃ bhuktvā caret samāhitaḥ //	nirAmizam yaTAkAmam BuktvA caret samAhitaH //
   evaṃ tadvratasaṃpūrṇaṃ kṛtvā saṃpālayan mudā /	evam tad vrata saMpUrNam kRtvA saMpAlayan mudA /
   sarvasattvahitaṃ kṛtvā caretsaṃbodhimānasaḥ //	sarva sattva hitam kRtvA caret saMboDi mAnasaH //
   eatatpuṇyaviśuddhātmā niḥkleśaḥ sa jitendriyaḥ /	eatat puNya viSudDa AtmA niHkleSaH sa jita indriyaH /
   bodhisattvo mahāsattvaḥ svaparātmahitārthabhṛt //	boDisattvaH mahAsattvaH sva para Atma hita arTa BRt //
   śrīmān sadguṇasaṃvāso bodhicaryāvrataṃ dadhat /	SrImAn sat guNa saMvAsaH boDi caryA vratam daDat /
   sadā sadgatisaṃjāto bhuktvā bhoyaṃ yathepsitam //	sadA sat gati saMjAtaH BuktvA Boyam yaTA Ipsitam //
   trividhāṃ bodhimāsādya prānte yāyāt sunirvṛtim //	triviDAm boDim AsAdya prAnte yAyAt su nirvRtim //
   evamevadvratodbhūtaṃ puṇyafalaṃ mahattaram /	evam evat vrata udBUtam puNya falam mahattaram /
   pramātuṃ śakyate naiva sarvairapi munīśvaraiḥ //	pramAtum Sakyate na eva sarvEH api muni ISvarEH //
   tatpūjākṛtapuṇyānāṃ viśeṣaṃ phalamucyate /	tad pUjA kRta puNyAnAm viSezam Palam ucyate /
   tacchṛṇuṣva mahārāja samādhāya sucetasā //	tat SRNuzva mahA rAja samADAya su cetasA //
   ye puṇyakāmā manujāyiratnaṃ samīkṣya harṣāccharaṇaṃ prayānti /	ye puNya kAmAH manujAyi ratnam samIkzya harzAt SaraNam prayAnti /
   te dharmaraktāḥ śubhalakṣmīmantaḥ sambodhicaryābhiratā bhavanti //	te Darma raktAH SuBa lakzmIm antar samboDi caryA aBiratAH Bavanti //
   paṃcāmṛtaiḥ paṃcasugandhitoyairye snāpayanti pramudā triratnam /	paMcAmRtEH paMca suganDi toyEH ye snApayanti pramudA tri ratnam /
   mandākinīdivyasugandhitoye snātvā sukhaṃ te divi saṃramante //	mandAkinI divya suganDi toye snAtvA suKam te divi saMramante //
   ye ca triratneṣu sugandhidhūpaṃ pradhupayanti pratimodayantaḥ /	ye ca tri ratnezu suganDi DUpam praDupayanti pratimodayantaH /
   te śuddhacitāḥ śucigandhitāṃgā ratnopamāḥ śrīīguṇitā bhavanti //	te SudDa citAH Suci ganDitAMgAH ratna upamAH SrII guNitAH Bavanti //
   ye paṃcagandhairanupayanti triratnadehe pariśuddhacittāḥ /	ye paMcaganDEH anupayanti tri ratna dehe pariSudDa cittAH /
