   yogācārabhūmau	yoga AcAra BUmO
   tena khalu gotreṇa samanvāgatānāṃ bodhisattvānāṃ	tena Kalu gotreNa samanvAgatAnAm boDisattvAnAm
   sarvaśrāvakapratyekabuddhānatikramya prāgevānyān sattvānniruttaro viśeṣo	sarva SrAvaka pratyekabudDAn atikramya prAk eva anyAn sattvAt niruttaraH viSezaH 
   veditavyaḥ / tatkasya hetoḥ / dve ime samāsato viśuddhī /	veditavyaH / tat kasya hetoH / dve ime samAsatas viSudDI /
   kleśāvaraṇaviśuddhirjñeyāvaraṇaviśuddhiśca / tatra	kleSa AvaraNa viSudDiH jQeya AvaraNa viSudDiH ca / tatra
   sarvaśrāvakapratyekabuddhānāṃ tadgotraṃ kleśāvaraṇaviśuddhyā viśudhyati na	sarva SrAvaka pratyekabudDAnAm tad gotram kleSa AvaraNa viSudDyA viSuDyati na
   tu jñeyāvaraṇaviśuddhyā / bodhisattvagotraṃ punarapi kleśāvaraṇaviśuddhyā	tu jQeya AvaraNa viSudDyA / boDisattva gotram punar api kleSa AvaraNa viSudDyA
   api jñeyāvaraṇaviśuddhyā viśudhyati / tasmātsarvaprativiśiṣṭaṃ	api jQeya AvaraNa viSudDyA viSuDyati / tasmAt sarva prativiSizwam
   niruttaramityucyate /	niruttaram iti ucyate /
   api ca caturbhirākārairbodhisattvasya śrāvakapratyekabuddhebhyo viśeṣo	api ca caturBiH AkArEH boDisattvasya SrAvaka pratyekabudDeByaH viSezaH 
   veditavyaḥ / katamaiścaturbhiḥ / indriyakṛtaḥ pratipattikṛtaḥ	veditavyaH / katamEH caturBiH / indriya kRtaH pratipatti kRtaH
   kauśalyakṛtaḥ phalakṛtaśca / tatrāyamindriyakṛto viśeṣaḥ / prakṛtyaiva	kOSalya kRtaH Pala kRtaH ca / tatra ayam indriya kRtaH viSezaH / prakRtyA eva
   bodhisattvastīkṣṇendriyo bhavati / pratyekabuddho madhyendriyaḥ śrāvako	boDisattvaH tIkzNa indriyaH Bavati / pratyekabudDaH maDya indriyaH SrAvakaH 
   mṛdvindriyaḥ / tatrāyaṃ pratipattikṛto viśeṣaḥ /	mRdu indriyaH / tatra ayam pratipatti kRtaH viSezaH /
   śrāvakapratyekabuddhaścātmahitāya pratipanno bhavati / bodhisattvaḥ	SrAvaka pratyekabudDaH ca Atma hitAya pratipannaH Bavati / boDisattvaH
   apyātma hitāya api parahitāya bahujanahitāya bahujanasukhāya	api Atma hitAya api para hitAya bahu jana hitAya bahu jana suKAya
   lokānukampāyai arthāya hitāya sukhāya devamanuṣyāṇām / tatrāyaṃ	loka anukampAyE arTAya hitAya suKAya deva manuzyANAm / tatra ayam
   kauśalyakṛto viśeṣaḥ / śrāvakaḥ pratyekabuddhaśca	kOSalya kRtaH viSezaH / SrAvakaH pratyekabudDaH ca
   skandhadhātvāyatanapratītyasamutpāda sthānāsthānasatyakauśalyaṃ karoti	skanDa DAtu Ayatana pratItyasamutpAda  sTAna AsTAna satya kOSalyam karoti
   bodhisattvastatra cānyeṣu ca sarvavidyāsthāneṣu / tatrāyaṃ phalakṛto	boDisattvaH tatra ca anyezu ca sarva vidyA sTAnezu / tatra ayam Pala kRtaH 
   viśeṣaḥ / śrāvakaḥ śrāvakabodhiphalamadhigacchati / pratyekabuddhaḥ	viSezaH / SrAvakaH SrAvaka boDi Palam aDigacCati / pratyekabudDaH
   pratyekabodhimadhigacchati / bodhisattvo 'nuttaraṃ	pratyeka boDim aDigacCati / boDisattvaH anuttaram
   samyaksaṃbodhiphalamadhigacchati /	samyaksaMboDi Palam aDigacCati /
   (Dutt 3)	(Dutt 3)
   ṣaḍimāni bodhisattvasya pāramitānāṃ gotraliṅgāni saṃpadyante / yairevaṃ	zaw imAni boDisattvasya pAramitAnAm gotra liFgAni saMpadyante / yEH evam
   pare saṃjānate bodhisattvo 'yamiti / dānapāramitāyā gotraliṅgaṃ	pare saMjAnate boDisattvaH ayam iti / dAna pAramitAyAH gotra liFgam
   śīlakṣāntivīryadhyānaprajñāpāramitāyā gotraliṅgam / tatredaṃ	SIla kzAnti vIrya DyAna prajQApAramitAyAH gotra liFgam / tatra idam
   bodhisattvasya dānapāramitāyā gotraliṅgam / iha bodhisattvaḥ prakṛtyaiva	boDisattvasya dAna pAramitAyAH gotra liFgam / iha boDisattvaH prakRtyA eva
   dānarucirbhavati / satsu ca saṃvidyamāneṣu deyadharmeṣu satatasamitaṃ	dAna ruciH Bavati / satsu ca saMvidyamAnezu deya Darmezu satata samitam
   pareṣāṃ saṃvibhāgaśīlo bhavati pramuditacittaśca dadāti na vimanaskaḥ /	parezAm saMviBAga SIlaH Bavati pramudita cittaH ca dadAti na vimanaskaH /
   alpādapi ca saṃvibhāgasya karttā bhavati / viśadañca dānamanuprayacchati /	alpAt api ca saMviBAgasya karttA Bavati / viSadaQca dAnam anuprayacCati /
   na hīnam / adānena ca jihreti / pareṣāñca dānasya varṇaṃ bhāṣate / dāne	na hInam / adAnena ca jihrA iti / parezAQca dAnasya varNam BAzate / dAne
   cainānupacchandayati / dātārañca dṛṣṭvā āttamanā bhavati sumanaskaḥ /	ca ena an upacCandayati / dAtAraQca dRzwvA Atta manA Bavati sumanaskaH /
   gurubhyo vṛddhatarakebhyo dakṣiṇīyebhyaḥ satkārārhebhya	guruByaH vRdDatarakeByaH dakziNIyeByaH satkAra arheBya
   utthāyāsanamanuprayacchati / pṛṣṭo 'pṛṣṭo vā teṣu teṣu	utTAya Asanam anuprayacCati / pRzwaH apRzwaH vA tezu tezu
   sattvakṛtyeṣvanapāyamihaloke paraloke nyāyopadeśamanuprayacchati /	sattva kRtyezu anapAyam iha loke para loke nyAya upadeSam anuprayacCati /
   rājacaurāmitrāṇyudakādibhayabhītānāñca sattvānāmabhayamanuprayacchati /	rAja cOra amitrANi udaka Adi Baya BIta anAQca sattvAnAm aBayam anuprayacCati /
   yathāśaktyā cainān paritrāyate tasmādvicitrāt pratatādugrādbhayāt /	yaTASaktyA ca enAn paritrAyate tasmAt vicitrAt pratatAt ugrAt BayAt /
   nikṣiptañcāsya haste paradhanaṃ nābhidruhyati / ṛṇaṃ gṛhītvā parebhyo na	nikziptaQca asya haste para Danam na aBidruhyati / RNam gRhItvA pareByaH na
   visaṃvādayati nābhidruhyati / svadāyādaṃ na vañcayate na vipralambhayati /	visaMvAdayati na aBidruhyati / sva dAyAdam na vaQcayate na vipralamBayati /
   maṇimuktāvaidūryaśaṃkhaśilāpravālajātarūparajatāśmagarbhamusāragalvalohitikādakṣiṇāvartaprabhṛtiṣūpakaraṇajāteṣu	maNi muktA vEdUrya SaMKa SilA pravAla jAtarUpa rajata aSma garBa musAra galva lohitikA dakziNa Avarta praBRtizu upakaraNa jAtezu
   mūḍhaṃ viparyasyacittaṃ samyaksaṃbodhayati / yathāsyānyato 'pi na	mUXam viparyasya cittam samyaksaMboDayati / yaTA asya anyatas api na
   vipralambhaḥ syāt / kutaḥ punaḥ svayamenaṃ vipralambhayiṣyati / prakṛtyā	vipralamBaH syAt / kutas punar svayam enam vipralamBayizyati / prakRtyA
   codārabhogādhimukto bhavati / udāreṣvasya sarvabhogaparibhogeṣu cittaṃ	ca udAra Boga aDimuktaH Bavati / udArezu asya sarva Boga pariBogezu cittam
   krāmati / udāreṣu ca karmānteṣvadhimukto bhavati na parīttāyadvāreṣu /	krAmati / udArezu ca karmAntezu aDimuktaH Bavati na parIttAya dvArezu /
   santi cemāni loke vyasanāni / tadyathā strīvyasanam / madyavyasanam /	santi ca imAni loke vyasanAni / tat yaTA strI vyasanam / madya vyasanam /
   dyūtavyasanam /	dyUta vyasanam /
   naṭa nartaka hāsaka lāsakādisaṃdarśanavyasanamityevaṃrūpebhyovyasanebhyo	nawa  nartaka hAsa ka lAsaka Adi saMdarSana vyasanam iti evaMrUpeByaH vyasaneByaH 
   laghu ladhveva vairāgyaṃ pratilabhate / hrīvyapatrāpyaṃ prāviṣkaroti	laGu laDvA iva vErAgyam pratilaBate / hrI vyapatrApyam prAvizkaroti
   vipule 'pi ca bhogapratilambhe nādhimātralolupo bhavati prāgevālpe /	vipule api ca Boga pratilamBe na aDimAtra lolupaH Bavati prAk eva alpe /
   itimānyevaṃ bhāgīyāni bodhisattvasya dānapāramitāyā gotraliṅgāni	itimAni evam BAgIyAni boDisattvasya dAna pAramitAyAH gotra liFgAni
   veditavyāni /	veditavyAni /
   (Dutt 4)	(Dutt 4)
   tatremāni bodhisattvasya śīlapāramitāyā gotraliṅgāni / iha bodhisattvaḥ	tatra imAni boDisattvasya SIla pAramitAyAH gotra liFgAni / iha boDisattvaH
   prakṛtyā mṛdunā kāyavāṅmanaskarmaṇā samanvāgato bhavatyakuśalena	prakRtyA mRdunA kAya vAc manaskarmaNA samanvAgataH Bavati akuSalena
   nātyartharaudreṇa nātyarthasattvopaghātakena / kṛtvāpi ca pāpakaṃ karma	na atyarTa rOdreNa na atyarTa sattva upaGAtakena / kRtvA api ca pApakam karma
   laghu ladhveva vipratisāraṃ pratilabhate / tañca jehrīyamāṇaḥ samācarati	laGu laDvA iva vipratisAram pratilaBate / taQca jehrIyamANaH samAcarati
   na nandījātaḥ / pāṇiloṣṭadaṇḍaśastrādibhiśca sattvānāmaviheṭhanajātīyo	na nandI jAtaH / pANi lozwa daNxa Sastra AdiBiH ca sattvAnAm aviheWana jAtIyo
   bhavati / prakṛtivatsalaśca bhavati sattvapriyaḥ / satkārārheṣu ca kālena	Bavati / prakRti vatsalaH ca Bavati sattva priyaH / satkAra arhezu ca kAlena
   kālamabhivādanavandanapratyutthānāñjalisāmīcīkarmaṇā pratyupasthito	kAlam aBivAdana vandana pratyutTAna aQjali sAmIcI karmaNA pratyupasTitaH 
   bhavati / dakṣiṇaśca bhavati / nāgarikaḥ paracittānuvartī /	Bavati / dakziNaH ca Bavati / nAgarikaH para citta anuvartI /
   smitapūrvaṅgamaśca bhavatyuttānamukhavarṇavigatabhrūkuṭiḥ pūrvābhibhāṣī /	smita pUrvaFgamaH ca Bavati uttAna muKa varNa vigata BrU kuwiH pUrva aBiBAzI /
   upakāriṣu ca sattveṣu kṛtajño bhavati kṛtavedī / arthikeṣu ca sattveṣu	upakArizu ca sattvezu kRtajQaH Bavati kRtavedI / arTikezu ca sattvezu
   ṛjutāṃ pratipadyate / na māyāśāṭhyenaitān vilobhayati / dharmeṇāsāhasena	Rju tAm pratipadyate / na mAyA SAWyena etAn viloBayati / DarmeNa asAhasena
   ca bhogān samudānayati nādharmeṇa / prakṛtyaiva ca puṇyakāmo bhavati /	ca BogAn samudAnayati na aDarmeNa / prakRtyA eva ca puNya kAmaH Bavati /
   parapuṇya kriyāsvapi vyāpāraṃ gacchati prāgevātmanaḥ / parabādhayā	parapuNya kriyAsu api vyApAram gacCati prAk eva AtmanaH / para bADayA
   cāttyartha bādhyate yaduta pareṣāṃ	ca atti arTa bADyate yat uta parezAm
   vadhabandhanacchedanatāḍanakutsanatarjanādikayā dṛṣṭvā vā śrutvā vā /	vaDa banDana= Cedana tAxana kutsana tarjana AdikayA dRzwvA vA SrutvA vA /
   dharmasamādānagurukaśca bhavati saṃparāyagurukaḥ / aṇumātre 'pyavadye	Darma samAdAna gurukaH ca Bavati saMparAya gurukaH / aNu mAtre api avadye
   bhayadarśī prāgeva prabhūte / parakṛtyeṣu ca parakaraṇīyeṣu sahāyībhāvaṃ	Baya darSI prAk eva praBUte / para kRtyezu ca para karaNIyezu sahAyIBAvam
   gacchati yaduta	gacCati yat uta
   kṛṣivaṇijyāgorakṣyarājapauruṣyalipigaṇananyasanasaṃkhyāmudrāyāṃ	kRzi vaNijyA gorakzya rAja pOruzya lipi gaNana nyasana saMKyA mudrAyAm
   bhartṛprasādane kulaprasādane rājakulaprasādane mitrāmitraprasādane	BartR prasAdane kula prasAdane rAja kula prasAdane mitra amitra prasAdane
   bhogānāmarjane rakṣaṇe sannidhau prayoge visarge	BogAnAm arjane rakzaNe sanniDO prayoge visarge
   āvāhavivāhābhakṣaṇasaṃbhakṣaṇeṣvevaṃbhāgīyeṣu sattvakṛtyeṣu sahāyībhāvaṃ	AvAha vivAha aBakzaNa saMBakzaNezu evaMBAgIyezu sattva kRtyezu sahAyIBAvam
   gacchati / na kalahabhaṇḍanavigrahavivādeṣu ca paraviheṭhanakaraṇīyeṣu ye	gacCati / na kalaha BaNxana vigraha vivAdezu ca para viheWana karaNIyezu ye
   ātmanaḥ pareṣāñcānarthāyāhitāya duḥkhāya saṃvartante / akṛtyāccaitāṃ	AtmanaH parezAQca an arTAya ahitAya duHKAya saMvartante / akRtyAt ca etAm
   nivārayati yaduta daśabhyaḥ pāpakebhyo 'kuśalebhyaḥ / karmapathebhyaḥ /	nivArayati yat uta daSaByaH pApakeByaH akuSaleByaH / karma paTeByaH /
   paravaśyaśca bhavati paravidheyaḥ / samānakṣāntiśīlatayā apahāya svakāryaṃ	para vaSyaH ca Bavati para viDeyaH / samAna kzAnti SIla tayA apahAya sva kAryam
   parairātmakārye yathākāmaṃ niyojyate / ārdracittaśca bhavati peśalacitto	parEH Atma kArye yaTAkAmam niyojyate / Ardra cittaH ca Bavati peSala cittaH 
   na ca ciramāghātacittatāṃ pratighacittatāmudvahati nānyatra tatkṣaṇa	na ca ciram AGAta citta tAm pratiGa citta tAm udvahati na anyatra tad kzaNa
   evāsya taccittaṃ bhadratāyāṃ parivartate / satyagurukaśca bhavati	eva asya tat cittam Badra tAyAm parivartate / satya gurukaH ca Bavati
   nābhūtavacanena parān visaṃvādayati / na ca pareṣāṃ mitrabhedaṃ rocayati	na aBUta vacanena parAn visaMvAdayati / na ca parezAm mitra Bedam rocayati
   na karoti / (Dutt 5) na cāsambaddhamapārtha nirartha sahasā pralapati /	na karoti / (Dutt 5) na ca asambadDam apArTa nirarTa sahasA pralapati /
   priyaṃvadaśca bhavatyaparakaṭukaḥ api svakasya dāsādiparijanasya prāgeva	priyaMvadaH ca Bavati apara kawukaH api svakasya dAsa Adi parijanasya prAk eva
   pareṣām guṇapriyaśca bhavati pareṣāṃ bhūtasya varṇasyāhartā /	parezAm guNa priyaH ca Bavati parezAm BUtasya varNasya AhartA /
   itīmānyevaṃbhāgīyāni bodhisattvasya śīlapāramitāyā gotraliṅgāni	iti imAni evaMBAgIyAni boDisattvasya SIla pAramitAyAH gotra liFgAni
   veditavyāni /	veditavyAni /
   tatremāni bodhisattvasya kṣāntipāramitāyā gotraliṅgāni / iha bodhisattvaḥ	tatra imAni boDisattvasya kzAnti pAramitAyAH gotra liFgAni / iha boDisattvaH
   prakṛtyā pareṣāmantikādapakāraṃ labdhvā nāghātacittatāṃ prāviṣkaroti	prakRtyA parezAm antikAt apakAram labDvA na AGAta citta tAm prAvizkaroti
   nāpyapakārāya prapadyate / saṃjñapyamānaścāśu saṃjñaptiṃ pratigṛhṇāti / na	na api apakArAya prapadyate / saMjQapyamAnaH ca ASu saMjQaptim pratigRhNAti / na
   ca khilaṃ dhārayati na cirakālikaṃ vairāśayaṃ vahati /	ca Kilam DArayati na cirakAlikam vErASayam vahati /
   itīmānyevaṃbhāgīyāni bodhisattvasya kṣāntipāramitāyā gotraliṅgāni	iti imAni evaMBAgIyAni boDisattvasya kzAnti pAramitAyAH gotra liFgAni
   veditavyāni /	veditavyAni /
   tatremāni bodhisattvasya vīryapāramitāyā gotraliṅgāni / iha bodhisattvaḥ	tatra imAni boDisattvasya vIrya pAramitAyAH gotra liFgAni / iha boDisattvaH
   prakṛtyā utthānavān bhavati / kālyotthāyī sāyaṃ nipātī na nidrāsukhaṃ	prakRtyA utTAnavAn Bavati / kAlyA utTAyI sAyam nipAtI na nidrA suKam
   śayanasukhaṃ pārśvasukhamatyarthaṃ svīkaroti / pratyupasthite ca kṛtye	Sayana suKam pArSva suKam atyarTam svIkaroti / pratyupasTite ca kRtye
   abhibhūyākartukāmatāmālasyaṃ pratisaṃkhyāya prayujyate tasya	aBiBUya akartu kAma tAm Alasyam pratisaMKyAya prayujyate tasya
   kṛtyasyābhiniṣpattaye / sarvakṛtyasamārambheṣu ca dṛḍhaniścayo bhavati	kRtyasya aBinizpattaye / sarva kRtya samAramBezu ca dRXa niScayaH Bavati
   nākṛtvā nāpariprāpya sarveṇa sarvaṃ vīryasraṃsayati antarā vā	na akRtvA na apariprApya sarveNa sarvam vIrya sraMsayati antarA vA
   viṣādamāpadyate / udāreṣu ca parameṣvartheṣu na cetasā saṃkocamāpadyate /	vizAdam Apadyate / udArezu ca paramezu arTezu na cetasA saMkocam Apadyate /
   nāpyātmānaṃ paribhavati / śakto 'haṃ pratibalameṣāmadhigamāyetyutsāhajātaḥ	na api AtmAnam pariBavati / SaktaH aham pratibalam ezAm aDigamAya iti utsAha jAtaH
   / vīraśca bhavati mahāsabhāpraveśe vā paraiḥ sahābhiprayoga pratyabhiyoge	/ vIraH ca Bavati mahA saBA praveSe vA parEH saha aBiprayoga pratyaBiyoge
   vā tadanyatra vā duṣkarakarmaṇi mahāvyavasāyeṣvapi cārthopasaṃhiteṣu	vA tat anyatra vA duzkara karmaNi mahA vyavasAyezu api ca arTa upasaMhitezu
   nātyarthaṃ khedamāpadyate prāgeva parītteṣu / itīmānyevaṃbhāgīyāni	na atyarTam Kedam Apadyate prAk eva parIttezu / iti imAni evaMBAgIyAni
   bodhisattvasya vīryapāramitāyā gotraliṅgāni veditavyāni /	boDisattvasya vIrya pAramitAyAH gotra liFgAni veditavyAni /
   tatremāni bodhisattvasya dhyānapāramitāyā gotraliṅgāni / iha bodhisattvaḥ	tatra imAni boDisattvasya DyAna pAramitAyAH gotra liFgAni / iha boDisattvaH
   prakṛtyā dharmārthopanidhyāne avikṣepabahulo bhavati /	prakRtyA Darma arTa upaniDyAne avikzepa bahulaH Bavati /
   araṇyavanaprasthānāni / ca prāntāni śayanāsanāni manuṣyarahaḥsevitāni	araNya vana prasTAnAni / ca prAntAni Sayana AsanAni manuzya rahaH sevitAni
   vigatapāpakāni pratisaṃlayanasārūpyakāṇi dṛṣṭvā śrutvā sukhaṃ	vigata pApakAni pratisaMlayana sArUpyakANi dRzwvA SrutvA suKam
   tannaiṣkramyaṃ prāvivekyamiti (Dutt 6) naiṣkramyaprāvivekye	tat nEzkramyam prAvivekyam iti (Dutt 6) nEzkramya prAvivekye
   tīvramautsukyamutpādayati / prakṛtyā ca mandakleśo bhavati mandanivaraṇo	tIvram Otsukyam utpAdayati / prakRtyA ca manda kleSaH Bavati manda nivaraNaH 
   mandadauṣṭhulyaḥ / pravivekagatasya cāsya svārthaṃ paritulayataḥ pāpakāḥ	manda dOzWulyaH / praviveka gatasya ca asya sva arTam paritulayataH pApakAH
   asadvitarkā nātyarthaṃ cittaṃ kṣobhayanti na paryādāya tiṣṭhanti / [saḥ]	asat vitarkAH na atyarTam cittam kzoBayanti na paryAdAya tizWanti / [saH]
   amitrapakṣe 'pi tvaritaṃ tvaritaṃ maitracittatāmupasthāpayati prāgeva	amitra pakze api tvaritam tvaritam mEtra citta tAm upasTApayati prAk eva
   mitrodāsīnapakṣe / vicitraiśca duḥkhairduḥkhitānāṃ sattvānāṃ duḥkhaṃ	mitra udAsIna pakze / vicitrEH ca duHKEH duHKitAnAm sattvAnAm duHKam
   śrutvā vā dṛṣṭvā vā mahatkāruṇyacittamutpādayati / duḥkhāpanayāya ca teṣāṃ	SrutvA vA dRzwvA vA mahat kAruNya cittam utpAdayati / duHKa apanayAya ca tezAm
   sattvānāṃ yathāśaktyā yathābalaṃ vyāpāraṃ gacchati / prakṛtyā ca sattveṣu	sattvAnAm yaTASaktyA yaTAbalam vyApAram gacCati / prakRtyA ca sattvezu
   hitakāmo bhavati sukhakāmaḥ / dhṛtimāṃśca bhavatyāpatsu jñātivyasane vā	hita kAmaH Bavati suKa kAmaH / DRtimAn= ca Bavati Apatsu jQAti vyasane vA
   bhogavyasane vā vadhe vā bandhane vā pravāse vā ityevaṃbhāgīyāsvāpatsu /	Boga vyasane vA vaDe vA banDane vA pravAse vA iti evaMBAgIyAsu Apatsu /
   medhāvī ca dharmāṇāṃ grahaṇadhāraṇohanasamarthaḥ smṛtibalena ca	meDAvI ca DarmANAm grahaNa DAraNa Uhana samarTaH smRti balena ca
   samanvāgato bhavati / sa cirakṛtacirabhāṣitamapyanusmarttā bhavati	samanvAgataH Bavati / sa cira kRta cira BAzitam api anusmarttA Bavati
   pareṣāñcānusmārayitā / itīmānyevaṃbhāgīyāni bodhisattvasya	parezAQca anusmArayitA / iti imAni evaMBAgIyAni boDisattvasya
   dhyānapāramitāyā gotraliṅgāni veditavyāni /	DyAna pAramitAyAH gotra liFgAni veditavyAni /
   tatremāni bodhisattvasya prajñāpāramitāyā gotraliṅgāni / iha bodhisattvaḥ	tatra imAni boDisattvasya prajQApAramitAyAH gotra liFgAni / iha boDisattvaH
   sarvavidyāsthānajñeyapraveśāya sahajayā prajñayā samanvāgato bhavati /	sarva vidyA sTAna jQeya praveSAya sahajayA prajQayA samanvAgataH Bavati /
   adhandhaśca bhavatyamandaḥ amomuhajātīyaḥ / tāsu tāsu ca	aDanDaH ca Bavati amandaH amomuha jAtIyaH / tAsu tAsu ca
   pramādasthānaviratiṣu pratisaṃkhyānabaliko bhavati / itīmānyevaṃbhāgīyāni	pramAda sTAna viratizu pratisaMKyAna balikaH Bavati / iti imAni evaMBAgIyAni
   bodhisattvasya prajñāpāramitāyā gotraliṅgāni veditavyāni /	boDisattvasya prajQApAramitAyAH gotra liFgAni veditavyAni /
   tānīmāni bodhisattvasya audārikāṇyānumānikāni gotraliṅgāni veditavyāni /	tAni imAni boDisattvasya OdArikANi AnumAnikAni gotra liFgAni veditavyAni /
   bhūtārthaniścaye tu buddhā eva bhagavantaḥ pratyakṣadarśinaḥ /	BUta arTa niScaye tu budDAH eva BagavantaH pratyakza darSinaH /
   yasmācca tadgotraṃ bodhisattvānāṃ prakṛtyaiva guṇayuktaṃ bhadraṃ kalyāṇaṃ	yasmAt ca tad gotram boDisattvAnAm prakRtyA eva guNa yuktam Badram kalyANam
   śukladharmasamanvāgataṃ tasmāttāvad durabhisaṃbhavasya	Sukla Darma samanvAgatam tasmAt tAvat duraBisaMBavasya
   śreṣṭhasyācintyasyācalasyānuttarasya tathāgatasya padasyāvāptaye	SrezWasya acintyasya acalasya anuttarasya taTAgatasya padasya avAptaye
