   oṃ	om
   omityārabhya hi yasmādudgāyatyata udgītha oṅkāra ityarthaḥ /	om iti AraBya hi yasmAt udgAyati atas udgITaH oFkAraH iti arTaH /
   tasyopavyākhyānaṃ	tasya upavyAKyAnam
   tasyākṣarasyopavyākhyānamevamupāsanamevaṃvibhūtyevaṃphalamityādikathanamupavyākhyānam	tasya akzarasya upavyAKyAnam evam upAsanam evaMviBUti evaMPalam ityAdi kaTanam upavyAKyAnam
   pravartata iti vākyaśeṣaḥ //1 //	pravartate iti vAkya SezaH //1 //
   START ChUp 1,1.2	START ShUp 1,1.2
   eṣāṃ bhūtānāṃ pṛthivī rasaḥ |	ezAm BUtAnAm pRTivI rasaH |
   pṛthivyā āpo rasaḥ |	pRTivyAH ApaH rasaH |
   apām oṣadhayo rasaḥ |	apAm ozaDayaH rasaH |
   oṣadhīnāṃ puruṣo rasaḥ |	ozaDInAm puruzaH rasaH |
   puruṣasya vāg rasaḥ |	puruzasya vAc rasaH |
   vāca ṛg rasaḥ |	vAcaH Rc rasaH |
   ṛcaḥ sāma rasaḥ |	RcaH sAma rasaH |
   sāmna udgītho rasaḥ || ChUp_1,1.2 ||	sAmnaH udgITaH rasaH || ShUp_1,1.2 ||
   ChUpBh_1,1.2 eṣāṃ carācarāṇāṃ bhūtānāṃ pṛthivī raso gatiḥ	ShUpBh_1,1.2 ezAm cara acarANAm BUtAnAm pRTivI rasaH gatiH
   parāyaṇamavaṣṭambhaḥ /	parAyaNam avazwamBaH /
   pṛthivyā āpo raso 'psu hyotā ca protā ca pṛthivyatastā rasaḥ pṛthivyāḥ /	pRTivyAH ApaH rasaH apsu hi otA ca protA ca pRTivI ataH tAH rasaH pRTivyAH /
   apāmoṣadhayo raso 'ppariṇāmatvādoṣadhīnām /	apAm ozaDayaH rasaH appariNAma tvAt ozaDInAm /
   tāsāṃ puruṣo raso 'nnapariṇāmatvāt puruṣasya /	tAsAm puruzaH rasaH anna pariNAma tvAt puruzasya /
   tasyāpi puruṣasya vāgrasaḥ /	tasya api puruzasya vAc rasaH /
   puruṣāvayavānāṃ hi vāksāriṣṭhā /	puruza avayavAnAm hi vAc sArizWAH /
   ato vākpuruṣasya rasa ucyate /	atas vAc puruzasya rasaH ucyate /
   tasyā api vāca ṛgrasaḥ sāratarā /	tasyAH api vAcaH Rc rasaH sAratarAH /
   ṛcaḥ sāma rasaḥ sārataram /	RcaH sAma rasaH sArataram /
   tasyāpi sāmna udgīthaḥ prakṛtatvādoṅkāraḥ sārataraḥ //2 //	tasya api sAmnaH udgITaH prakRta tvAt oFkAraH sArataraH //2 //
   START ChUp 1,1.3	START ShUp 1,1.3
   sa eṣa rasānāṃ rasatamaḥ paramaḥ parārdhyo 'ṣṭamo yadudgīthaḥ ||	saH eza rasAnAm rasatamaH paramaH parArDyaH azwamaH yat udgITaH ||
   ChUp_1,1.3 ||	ChUp_1,1.3 ||
   ChUpBh_1,1.3 evaṃ sa eṣa udgīthākhya oṅkāro	ShUpBh_1,1.3 evam saH ezaH udgITa AKyaH oFkAraH 
   bhūtādīnāmuttarottararasānāmatiśayena raso rasatamaḥ /	BUta AdInAm uttarottara rasAnAm atiSayena rasaH rasatamaH /
   paramaḥ paramātmapratīkatvāt /	paramaH paramAtma pratIka tvAt /
   parārdhyor'dhaṃ sthānaṃ, paraṃ ca tadardhaṃ ca parārdhaṃ tadarhatīti	parArDyoH aDam sTAnaM, param ca tad arDam ca parArDam tat arhati iti
   parārdhyaḥ paramātmasthānārhaḥ paramātmavadupāsyatvādityabhiprāyaḥ /	parArDyaH paramAtma sTAna arhaH paramAtma vat upAsya tvAt iti aBiprAyaH /
   aṣṭamaḥ pṛthivyādirasasaṃkhyāyāṃ yadudgītho ya udgīthaḥ //3 //	azwamaH pRTivI Adi rasa saMKyAyAm yat udgITaH yaH udgITaH //3 //
   START ChUp 1,1.4	START ShUp 1,1.4
   katamā katama rk katamat katamat sāma katamaḥ katama udgītha iti vimṛṣṭaṃ	katamA katama rc katamat katamat sAma katamaH katamaH udgITaH iti vimRzwam
   bhavati || ChUp_1,1.4 ||	Bavati || ShUp_1,1.4 ||
   ChUpBh_1,1.4 vāca ṛgrasa ityuktam /	ShUpBh_1,1.4 vAcaH Rc rasaH iti uktam /
   katamā sarkkatamattatsāma katamo vā sa udgīthaḥ /	katamA sarkkatamat tad sAma katamaH vA saH udgITaH /
   katamā katameti vīpsā'darārthā /	katamA katama iti vIpsA adara arTAH /
   nanu"vā bahūnāṃ jātiparipraśne ḍatamac" /	nanu"vA bahUnAm jAti paripraSne xatam ac" /
   na hyatra ṛgjātibahutvaṃ kathaṃ ḍatamacprayogaḥ /	na hi atra Rc jAti bahu tvam kaTam xatamat prayogaH /
   naiṣa doṣaḥ /	na eza dozaH /
   jātau paripraśno jātiparipraśna ityetasminvigrahe jātāvṛgvyaktīnāṃ	jAtO paripraSnaH jAti paripraSnaH iti etasmin vigrahe jAtAvRc vyaktInAm
   bahutvopapatteḥ /	bahutva upapatteH /
   na tu jāteḥ paripraśna iti vigṛhyate /	na tu jAteH paripraSnaH iti vigRhyate /
   nanu jāteḥ paripraśna ityasminvigrahe katamaḥ kaṭha	nanu jAteH paripraSnaH iti asmin vigrahe katamaH kaWa
   ityādyudāharaṇamupapannaṃ jātau paripraśna ityatra tu na yujyate /	iti Adi udAharaNam upapannam jAtO paripraSnaH iti atra tu na yujyate /
   tatrāpi kaṭhādijātāveva vyaktibahitvābhiprāyeṇa paripraśna ityadoṣaḥ /	tatra api kaWAdi jAtO= eva vyakti bahitvA aBiprAyeNa paripraSnaH iti adozaH /
   yadi jāteḥ paripraśnaḥ syātkatamā katamargityādāvupasaṃkhyānaṃ kartavyaṃ	yadi jAteH paripraSnaH syAt katamA katamarj iti AdO= upasaMKyAnam kartavyam
   syādvimṛṣṭaṃ bhavati vimarśaḥ kṛto bhavati //4 //	syAt vimRzwam Bavati vimarSaH kRtaH Bavati //4 //
   START ChUp 1,1.5	START ShUp 1,1.5
   vāg evark |	vAc eva Rc |
   prāṇaḥ sāma |	prANaH sAma |
   om ity etad akṣaram udgīthaḥ |	om iti etat akzaram udgITaH |
   tad vā etan mithunaṃ yad vāk ca prāṇaś cark ca sāma ca || ChUp_1,1.5 ||	tat vE etat miTunam yat vAc ca prANaH ca Rc ca sAma ca || ShUp_1,1.5 ||
   ChUpBh_1,1.5 vimarśe hi kṛte sati prativacanoktirupapannā vāgevarkprāṇaḥ	ChUpBu _1,1.5 vimarSe hi kRte sati prati vacana uktiH upapannAH vAc eva RkprANaH
   sāmeti /	sAma iti /
   vāgṛcorekatve 'pi nāṣṭamatvavyāghātaḥ	vAgRcoH eka tve api na azwamatva vyAGAtaH
   pūrvasmādvākyāntaratvādāptiguṇasiddhaya omityetadakṣaramudgītha iti /	pUrvasmAt vAkya antara tvAt Apti guNa sidDaya om iti etat akzara mudgITaH iti /
   vākprāṇāvṛksāmayonī iti vāgevarkprāṇaḥ sāmetyucyate /	vAc prANOvRksAma yonI iti vAc eva RkprANaH sAma iti ucyate /
   yathākramamṛksāmayonyorvākprāṇayorgrahaṇe hi sarvāsāmṛcāṃ sarveṣāṃ ca	yaTAkramam Rc sAma yonyoH vAc prANayoH grahaNe hi sarvAsAm RcAm sarvezAm ca
   sāmnāmavarodhaḥ kṛtaḥ syāt /	sAmnAm avaroDaH kRtaH syAt /
   sarvarksāmāvarodhe carksāmasādhyānāṃ ca sarvakarmaṇāmavarodhaḥ kṛtaḥ syāt	sarva RksAma avaroDe caRksAm asADyAnAm ca sarva karmaNAm avaroDaH kRtaH syAt 
   tadavarodhe ca sarve kāmā avaruddhāḥ syuḥ /	tad avaroDe ca sarve kAmAH avarudDAH syuH /
   omityetadakṣaramudgītha iti bhaktyāśaṅkā vinartyate /	om iti etat akzara mudgITaH iti BaktyASaFkA vinartyate /
   tadvā etaditi mithunaṃ nirdiśyate /	tat vA etat iti miTunam nirdiSyate /
   kiṃ tanmithunamityāha yadvākca prāṇaśca sarvaṛksāmakāraṇabhūtau mithunam /	kim tat miTunam iti Aha yat vAc ca prANaH ca sarvaRksAma kAraNa BUtO miTunam /
   ṛkva sāma ceti ṛksāmakāraṇāvṛksāmaśabdoktāvityarthaḥ /	Rkva sAma ca iti Rc sAma kAraNA vRc sAma Sabda uktO= iti arTaH /
   na tu svatantramṛkca sāma ca mithunam /	na tu svatantra mRc ca sAma ca miTunam /
   anyathā hi vākca prāṇaścetyekaṃ mithunamṛksāma cāparaṃ mithunamiti dve	anyaTA hi vAc ca prANaH ca iti ekam miTunam Rc sAma ca aparam miTunam iti dve
   mithune syātām /	miTune syAtAm /
   tathā ca tadetanmithunamityekavacananirdeṣo 'nupapannaḥ syāt /	taTA ca tat etat miTunam iti eka vacana nirdezaH anupapannaH syAt /
   tasmādṛksāmayonyorvākprāṇayoreva mithunatvam //5 //	tasmAt RS sAma yonyoH vAc prANayoH eva miTuna tvam //5 //
   START ChUp 1,1.6	START ShUp 1,1.6
   tad etan mithunam om ity etasminn akṣare saṃsṛjyate |	tat etat miTunam om iti etasmin akzare saMsRjyate |
   yadā vai mithunau samāgacchata āpayato vai tāv anyo 'nyasya kāmam ||	yadA vE miTunO samAgacCate ApayataH vE tO anyaH anyasya kAmam ||
   ChUp_1,1.6 ||	ChUp_1,1.6 ||
   ChUpBh_1,1.6 tadetadevaṃlakṣaṇaṃ mithunamomityetasminnakṣare saṃsṛjyate /	ShUpBh_1,1.6 tat etat evaMlakzaNam miTunam om iti etasmin= akzare saMsRjyate /
   evaṃ sarvakāmāvāptiguṇaviśiṣṭaṃ mithunamoṅkāre saṃsṛṣṭaṃ vidyata	evam sarva kAma avApti guNa viSizwam miTunam oFkAre saMsRzwam vidyata
   ityoṅkārasya sarvakāmāvāptiguṇavattvaṃ prasiddham /	iti oFkArasya sarva kAma avApti guNavat tvam prasidDam /
   vāṅmayatvamoṅkārasya prāṇaniṣpādyatvaṃ ca mithunena saṃsṛṣṭatvaṃ	vAc maya tvam oFkArasya prANa nizpAdya tvam ca miTunena saMsRzwa tvam
   mithunasya kāmāpayitṛtvaṃ prasiddhamiti dṛṣṭānta ucyate /	miTunasya kAmApayitR tvam prasidDam iti dRzwAntaH ucyate /
   yathā loke mithunau mithunāvayavau strīpuṃsau yadā samāgacchato	yaTA loke miTunO miTuna avayavO strI puMsO yadA samAgacCataH 
   grāmyadharmatayā saṃyujyeyānāṃ tadā'payataḥ prāpayato	grAmya Darma tayA saMyujyeyAnAm tadA apayataH prApayataH 
   'nyonyasyetaretarasya tau kāmam /	anyonyasya itaretarasya tO kAmam /
   tathā ca svātmānupraviṣṭena mithunena sarvakāmāptiguṇavattvamoṅkārasya	taTA ca sva Atma anupravizwena miTunena sarva kAma Apti guNavat tvam oFkArasya
   siddhamityabhiprāyaḥ //6 //	sidDam iti aBiprAyaH //6 //
   START ChUp 1,1.7	START ShUp 1,1.7
   āpayitā ha vai kāmānāṃ bhavati ya etad evaṃ vidvān akṣaram udgītham upāste	ApayitA ha vE kAmAnAm Bavati yaH etat evam vidvAn akzaram udgITam upAste
   || ChUp_1,1.7 ||	|| ShUp_1,1.7 ||
   ChUpBh_1,1.7 tadupāsako 'pyudgātā taddharmā bhavatītyāha āpayitā ha vai	ShUpBh_1,1.7 tad upAsakaH api udgAtA tad DarmA Bavati iti Aha ApayitA ha vE
   kāmānāṃ yajamānasya bhavati ya etadakṣaramevamāptiguṇavadudgīthamupāste	kAmAnAm yajamAnasya Bavati yaH etat akzaram evam Apti guNavat udgITam upAste
   tasyaitadyathoktaṃ phalamityarthaḥ /	tasya etat yaTA uktam Palam iti arTaH /
   "taṃ yathā yathopāsate tadeva bhavati"iti śruteḥ //7 //	"tam yaTA yaTA upAsate tat eva Bavati" iti SruteH //7 //
   START ChUp 1,1.8	START ShUp 1,1.8
   tad vā etad anujñākṣaram |	tat vE etat anujQa akzaram |
   yad dhi kiṃcānujānāty om ity eva tad āha |	yat Di kiMca anujAnAti om iti eva tat Aha |
   eṣo eva samṛddhir yad anujñā |	ezaH eva samRdDiH yat anujQA |
   samardhayitā ha vai kāmānāṃ bhavati ya etad evaṃ vidvān akṣaram udgītham	samarDayitA ha vE kAmAnAm Bavati yaH etat evam vidvAn akzaram udgITam
   upāste || ChUp_1,1.8 ||	upAste || ShUp_1,1.8 ||
   ChUpBh_1,1.8 samṛddhiguṇavāṃścoṅkāraḥ /	ChUpBu _1,1.8 samRdDi guNavAn= ca uFkAraH /
   katham tadvā etatprakṛmanujñākṣaramanujñā ca sākṣaraṃ ca tat /	kaTam  tat vA etad prakRmanujQA akzara manujQA ca sa akzaram ca tat /
   anujñānumatiroṅkāra ityarthaḥ /	anujQA anum atiroFkAraH iti arTaH /
   kathamanujñetyāha śrutireva /	kaTam anujQA iti Aha SrutiH eva /
   yaddhi kiñca yatkiñca loke jñānaṃ dhanaṃ vānujānāti vidvāndhanī vā	yat hi kiQca yat kiQca loke jQAnam Danam vA anujAnAti vidvAn DanI vA
   tatrānumatiṃ kurvannomityeva tadāha /	tatra anumatim kurvan= om iti eva tat Aha /
   tathā ca vede"trayastriṃśadityomiti hovāca"ityādinā /	taTA ca vede"trayastriMSat iti om iti ha uvAca" ityAdinA /
   tathā ca loke 'pi tavedaṃ dhanaṃ gṛhṇāmītyukta omityāha /	taTA ca loke api tava idam Danam gRhNAmi iti uktaH om iti Aha /
   ata eṣā u evaiṣaiva samṛddhiryadanujñā yānujñā sā	atas ezA u eva ezA eva samRdDiH yat anujQA yA anujQA sA
   samṛddhistanmūlatvādanujñāyāḥ /	samRdDiH tad mUla tvAt anujQAyAH /
   samṛddho hyomityanujñāṃ dadāti tasmātsamṛddhiguṇavānoṅkāra ityarthaḥ /	samRdDaH hi om iti anujQAm dadAti tasmAt samRdDi guNavAn oFkAraH iti arTaH /
   samṛddhiguṇopāsakatvāttaddharmā sansamardhayitā ha vai kāmānāṃ yajamānasya	samRdDi guNa upAsaka tvAt tat DarmA san samarDayitA ha vE kAmAnAm yajamAnasya
   bhavati ya etadevaṃ vidvānakṣaramudgīthamupāsta ityādi pūrvavat //8 //	Bavati yaH etat evam vidvAn akzara mudgITam upAste ityAdi pUrvavat //8 //
   START ChUp 1,1.9	START ShUp 1,1.9
   teneyaṃ trayī vidyā vartate |	tena iyam trayI vidyA vartate |
   om ity āśrāvayati |	om iti ASrAvayati |
   om iti śaṃsati |	om iti SaMsati |
   om ity udgāyati |	om iti udgAyati |
   etasyaiva akṣarasyāpacityai mahimnā rasena || ChUp_1,1.9 ||	etasya eva akzarasya apacityE mahimnA rasena || ShUp_1,1.9 ||
   ChUpBh_1,1.9 athedānīmakṣaraṃ stautyupāsyatvātprarocanārtham /	ShUpBu _1,1.9 aTa idAnIm akzaram stOti upAsya tvAt prarocana arTam /
   kathaṃ, tenākṣareṇa prakṛteneyamṛgvedādilakṣaṇā trayī vidyā	kaTaM, tena akzareNa prakRtena iyamRgveda Adi lakzaNA trayI vidyA
   trayīvidyāvihitaṃ karmetyarthaḥ /	trayI vidyA vihitam karma iti arTaH /
   na hi trayī vidyaivā'śrāvaṇādibhirvartate karma tu tathā pravartata iti	na hi trayI vidyA evA aSrAvaNa AdiBiH vartate karma tu taTA pravartate iti
   prasiddham /	prasidDam /
   kathamomityāśrāvatyomiti śaṃsatyomityudgāyatīti liṅgācca somayāga iti	kaTam omityASrAvatyom iti SaMsatyomiti udgAyati iti liFgAt ca soma yAgaH iti
   gamyate /	gamyate /
   tacca karmaitasyaivākṣarasyāpacityai pūjārtham /	tat ca karma etasya eva akzarasya apacityE pUjA arTam /
   paramātmapratīkaṃ hi tat /	paramAtma pratIkam hi tat /
   tadapacitiḥ paramātmana eva sā /	tad apacitiH paramAtmanaH eva sA /
   "svakarmaṇā tamabhyarcya siddhiṃ vindati mānavaḥ"iti smṛteḥ /	"sva karmaNA tam aByarcya sidDim vindati mAnavaH" iti smRteH /
   mahimnā rasena /	mahimnA rasena /
   kiñcaitasyaivākṣarasya mahimnā mahattvena ṛtvigyajamānādiprāṇairityarthaḥ	kiQca etasya eva akzarasya mahimnA mahat tvena Rtvij yajamAna Adi prANEH iti arTaH
   tathaitasyaivākṣarasya rasena vrīhiyavādirasanirvṛttena haviṣetyarthaḥ /	taTA etasya eva akzarasya rasena vrIhi yava Adi rasa nirvRttena havizA iti arTaH /
   yāgahomādyakṣareṇa kriyate /	yAga homa Adi akzareNa kriyate /
   taccā'dityamupatiṣṭhate /	tat cA adityam upatizWate /
   tato vṛṣṭyādikrameṇa prāṇo 'nnaṃ ca jāyate /	tatas vRzwi Adi krameNa prANaH annam ca jAyate /
   prāṇairannena ca yajñastāyate /	prANEH annena ca yajQaH tAyate /
   ata ucyate 'kṣarasya mahimnā rasnti //9 //	atas ucyate akzarasya mahimnA rasnti //9 //
   START ChUp 1,1.10	START ShUp 1,1.10
   tenobhau kurutaḥ |	tena uBO kurutaH |
   yaś caitad evaṃ veda yaś ca na veda |	yaH ca etat evam veda yaH ca na veda |
   nānā tu vidyā cāvidyā ca |	nAnA tu vidyA ca avidyA ca |
   yad eva vidyayā karoti śraddhayopaniṣadā tad eva vīryavattaraṃ bhavatīti	yat eva vidyayA karoti SradDayA upanizadA tat eva vIryavattaram Bavati iti
   khalv etasyaivākṣarasyopavyākhyānaṃ bhavati || ChUp_1,1.10 ||	Kalu etasya eva akzarasya upavyAKyAnam Bavati || ShUp_1,1.10 ||
