   govardhanācārya-viracitā	govarDana-AcArya--viracitA
   śaṅkara-paryanta-jito vijaya-stambhaḥ smarasyeva ||GAss_*18||	SaFkara--paryanta--jitaH vijaya-stamBaH smarasi-a-iva ||GAsH-_*18||
   unnāla-nābhi-paṅkeruha iva yenāvabhāti śambhur api |	unnAla--nABi--paFkeruhaH iva yena-avaBAti SamBuH api |
   jayati puruṣāyitāyās tad-ānanaṃ śaila-kanyāyāḥ ||GAss_*19||	jayati puruzAyitAyAH tat--Ananam SEla-kanyAyAH ||GAsH-_*19||
   aṅka-nilīna-gajānana-śaṅkākula-bāhuleya-hṛta-vasanau |	aFka-nilIna--gaja-Anana--SaFkA-Akula--bAhuleya--hRta--vasanO |
   sa-smita-hara-kara-kalitau hima-giri-tanayā-stanau jayataḥ ||GAss_*20||	sa-smita-hara-kara--kalitO hima-giri-tanayA--stanO jayataH ||GAsH-_*20||
   kaṇṭhocito 'pi huṅkṛti-mātra-nirastaḥ padāntike patitaḥ |	kaNWa-ucitaH api huFkRti--mAtra--nirastaH pada-antike patitaH |
   yasyāś candra-śikhaḥ smara-bhalla-nibho jayati sā caṇḍī ||GAss_*21||	yasyAH candra-SiKaH smara--Balla--niBaH jayati sA caNxI ||GAsH-_*21||
   deve'rpita-varaṇa-sraji bahumāye vahati kaiṭabhī-rūpam |	deve-arpita--varaNa--sraji bahu-mAye vahati kEwaBI--rUpam |
   jayati surāsura-hasitā lajjā-jihmekṣaṇā lakṣmīḥ ||GAss_*22||	jayati sura-asura--hasitA lajjA--jihma-IkzaNA lakzmIH ||GAsH-_*22||
   tān asurān api harim api taṃ vande kapaṭa-kaiṭabhī-rūpam |	tAn asurAn api harim api tam vande kapawa--kEwaBI--rUpam |
   yair yad bimbādhara-madhu-lubdhaiḥ pīyuṣam api mumuce ||GAss_*23||	yEH yat bimba-aDara--maDu--lubDEH pIyuzam api mumuce ||GAsH-_*23||
   talpī-kṛtāhir agaṇita-garuḍo hārābhihata-vidhir jayati |	talpI-kRta-ahiH agaNita--garuxaH hAra-aBihata--viDiH jayati |
   phaṇa-śata-pīta-śvāso rāgāndhāyāḥ śriyaḥ keliḥ ||GAss_*24||	PaNa--Sata--pIta-SvAsaH rAga-anDAyAH SriyaH keliH ||GAsH-_*24||
   smerān anena hariṇā yat spṛham ākāra-vedinākalitam |	smerAn anena hariNA yat spRham AkAra-vedinA-kalitam |
   jayati puruṣāyitāyāḥ kamalāyāḥ kaiṭabhī-dhyānam ||GAss_*25||	jayati puruzAyitAyAH kamalAyAH kEwaBI-DyAnam ||GAsH-_*25||
   kṛta-kānta-keli-kutuka-śrī-śīta-śvāsa-seka-nidrāṇaḥ |	kRta-kAnta--keli--kutuka--SrI--SIta--SvAsa--seka--nidrANaH |
   ghorita-vitatāli-ruto nābhi-saroje vidhir jayati ||GAss_*26||	Gorita--vitatAli--rutaH nABi-saroje viDiH jayati ||GAsH-_*26||
   eka-rada dvaimātura nistriguṇa caturbhujāpi pañca-kara |	eka-rada dvEmAtura nistriguNa caturBujA-api paQca-karaH |
   jaya ṣaṇ-mukha-nuta sapta-cchada-gandhi-madāṣṭa-tanu-tanaya ||GAss_*27||	jaya zaN-muKa--nuta sapta--cCada--ganDi--mada-azwa--tanu--tanayaH ||GAsH-_*27||
   maṅgala-kalaśa-dvaya-maya-kumbham adambhena bhajata gaja-vadanam |	maFgala--kalaSa--dvaya--maya--kumBam adamBena Bajata gaja--vadanam |
   yad-dāna-toya-taralais tila-tulanālambi rolambaiḥ ||GAss_*28||	yat--dAna--toya--taralEH tila--tulana-Alambi rolambEH ||GAsH-_*28||
   yābhir anaṅgaḥ sāṅgī-kṛtaḥ striyo 'strī-kṛtāś ca tā yena |	yABiH anaFgaH sa-aFgI-kRtaH striyaH astrI-kRtAH ca tAH yena |
   vāmācaraṇa-pravaṇau praṇamtatau kāminī-kāmau ||GAss_*29||	vAma-AcaraNa--pravaNO praNamtatO kAminI--kAmO ||GAsH-_*29||
   vihita-ghanālaṅkāraṃ vicitra-varṇāvalī-maya-sphuraṇam |	vihita-Gana-alaFkAram vicitra--varNa-AvalI--maya--sPuraNam |
   śakrāyudham iva vakraṃ valmīka-bhuvaṃ kaviṃ naumi ||GAss_*30||	SakrAyuDam iva vakram valmIka-Buvam kavim nOmi ||GAsH-_*30||
   vyāsa-girāṃ niryāsaṃ sāraṃ viśvasya bhārataṃ vande |	vyAsa--girAm niryAsam sAram viSvasya BAratam vande |
   bhūṣaṇayaiva sañjñāṃ yad aṅkitāṃ bhāratī vahati ||GAss_*31||	BUzaNayA-eva saQjQAm yat aFkitAm BAratI vahati ||GAsH-_*31||
   sati kākutstha-kulonnati-kāriṇi rāmāyaṇe kim anyena |	sati kAkutsTa--kula-unnati--kAriNi rAmAyaNe kim anyena |
   rohati kulyā gaṅgā-pūre kiṃ bahurase vahati ||GAss_*32||	rohati kulyA gaFgA-pUre kim bahu-rase vahati ||GAsH-_*32||
   atidīrgha-jīvi-doṣād vyāsena yaśo 'pahāritaṃ hanta |	ati-dIrGa--jIvi--dozAt vyAsena yaSaH apahAritam hanta |
   kair nocyeta guṇāḍhyaḥ sa eva janmāntarāpannaḥ ||GAss_*33||	kEH na-ucyeta guNa-AXyaH saH eva janma-antarApannaH ||GAsH-_*33||
   śrī-rāmāyaṇa-bhārata-bṛhat-kathānāṃ kavīn namaskurmaḥ |	SrI--rAmAyaNa--BArata--bRhat--kaTAnAm kavIn namaskurmaH |
   trisrotā iva sarasā sarasvatī sphurati yair bhinnā ||GAss_*34||	tri-srotAH iva sarasA sarasvatI sPurati yEH BinnAH ||GAsH-_*34||
   sākūta-madhura-komala-vilāsinī-kaṇṭha-kūjita-prāye |	sa-AkUta--maDura--komala-vilAsi-nI--kaNWa--kUjita--prAye |
   śikṣa-samaye'pi mude rata-līlā-kālidāsoktī ||GAss_*35||	Sikza--samaye-api mude rata--lIlA--kAli-dAsa-uktI ||GAsH-_*35||
   bhavabhūteḥ sambandhād bhūdhara-bhūr eva bhāratī bhāti |	Bava-BUteH sambanDAt BUDara-BUH eva BAratI BAti |
   etat-kṛta-kāruṇye kim anyathā roditi grāvā ||GAss_*36||	etat--kRta-kAruNye kim anyaTA roditi grAvAH ||GAsH-_*36||
   jātā śikhaṇḍinī prāg yathā śikhaṇḍī tathāvagacchāmi |	jAtA SiKaNxinI prAk yaTA SiKaNxI taTA-avagacCAmi |
   prāgalbhyam adhikam āptuṃ vāṇī bāṇo babhūveti ||GAss_*37||	prAgalByam aDikam Aptum vANI bANaH baBUva-iti ||GAsH-_*37||
   yaṃ gaṇayati guror anu yasyās te dharma-karma saṅkucitam |	yam gaNayati guroH anu yasyAH te Darma-karma saFkucitam |
   kavim aham uśanasam iva taṃ tātaṃ nīlāmbaraṃ vande ||GAss_*38||	kavim aham uSanasam iva tam tAtam nIla-ambaram vande ||GAsH-_*38||
   sakala-kalāḥ kalpayituṃ prabhuḥ prabandhasya kumuda-bandhoś ca |	sakala--kalAH kalpayitum praBuH prabanDasya kumuda-banDoH ca |
   sena-kula-tila-bhūpatir eko rākā-pradoṣaś ca ||GAss_*39||	sena-kula-tila--BUpatiH ekaH rAkA--pradozaH ca ||GAsH-_*39||
   kāvyasyākṣara-maitrī-bhājo na ca karkaśā na ca grāmyāḥ |	kAvyasya-akzara--mEtrI-BAjaH na ca karkaSAH na ca grAmyAH |
   śabdā api puruṣā api sādhava evārtha-bodhāya ||GAss_*40||	SabdAH api puruzAH api sADavaH eva-arTa-boDAya ||GAsH-_*40||
   vaṃśe ghuṇa iva na viśati doṣo rasa-bhāvite satāṃ manasi |	vaMSe GuNaH iva na viSati dozaH rasa-BAvite satAm manasi |
   rasam api tu na pratīcchati bahu-doṣaḥ sannipātīva ||GAss_*41||	rasam api tu na pratIcCati bahu-dozaH sannipAtI-iva ||GAsH-_*41||
   viguṇo 'pi kāvya-bandhaḥ sādhūnām ānanaṃ gataḥ svadate |	viguNaH api kAvya-banDaH sADUnAm Ananam gataH svadate |
   phūtkāro 'pi suvaṃśair anūdyamānaḥ śrutiṃ harati ||GAss_*42||	PUtkAraH api su-vaMSEH anUdyamAnaH Srutim harati ||GAsH-_*42||
   svayam api bhūri-cchidraś cāpalam api sarvatomukhaṃ tanvan |	svayam api BUri-=-CidraH cApalam api sarvatomuKam tanvan |
   titaus tuṣasya piśuno doṣasya vivecane'dhikṛtaḥ ||GAss_*43||	titOH tuzasya piSunaH dozasya vivecane-aDikRtaH ||GAsH-_*43||
   antar-gūḍhānarthānavyañjayataḥ prasāda-rahitasya |	antar-gUXa-anarTAn-avyaQjayataH prasAda--rahitasya |
   sandarbhasya nadasya ca na rasaḥ prītyai rasa-jñānām ||GAss_*44||	sandarBasya nadasya ca na rasaH prItyE rasa-jQAnAm ||GAsH-_*44||
   yadasevanīyam asatām amṛta-prāyaṃ suvarṇa-vinyāsam |	yat-asevanIyam asatAm amRta--prAyam suvarNa--vinyAsam |
   surasārthamayaṃ kāvyaṃ triviṣṭapaṃ vā samaṃ vidmaḥ ||GAss_*45||	surasA-arTa-mayam kAvyam trivizwapam vA samam vidmaH ||GAsH-_*45||
   sat-kavi-rasanā-śūrpī-nistuṣatara-śabda-śāli-pākena |	sat-ka-vi-rasanA--SUrpI--nistuzatara--Sabda--SAli-pAkena |
   tṛpto dayitādharam api nādriyate kā sudhā dāsī ||GAss_*46||	tRptaH dayitA-aDaram api na-Adriyate kA suDA dAsI ||GAsH-_*46||
   akalita-śabdālaṅkṛtir anukūlā skhali-pada-niveśāpi |	akalita--Sabda-alaFkRtiH anukUlA sKali-pada--niveSa-api |
   abhisārikeva ramayati sūktiḥ sotkarṣa-śṛṅgārā ||GAss_*47||	aBisArikA-iva ramayati sUktiH sa-utkarza--SRFgArAH ||GAsH-_*47||
   adhvani pada-graha-paraṃ madayati hṛdayaṃ na vā na vā śravaṇam |	aDvani pada-graha-param madayati hRdayam na vA na vA SravaNam |
   kāvyam abhijña-sabhāyāṃ mañjīraṃ keli-velāyām ||GAss_*48||	kAvyam aBijQa--saBAyAm maQjIram keli-velAyAm ||GAsH-_*48||
   āsvādita-dayitādhara-sudhā-rasasyaiva sūktayo madhurāḥ |	AsvAdita--dayita-aDara--suDA-rasasya-eva sUktayaH maDurAH |
   akalita-rasāla-mukulo na kokilaḥ kalam udañcayati ||GAss_*49||	akalita--rasAla--mukulaH na kokilaH kalam udaQcayati ||GAsH-_*49||
   bālā-kaṭākṣa-sūtritam asatī-netra-tribhāga-kṛta-bhāṣyam |	bAlA--kawAkza--sUtritam asatI--netra--tri-BAga-kRta---BAzyam |
   kavi-māṇavakā dūtī-vyākhyātam adhīyate bhāvam ||GAss_*50||	kavi-mANavakAH dUtI--vyAKyAtam aDIyate BAvam ||GAsH-_*50||
   masṛṇa-pada-gīti-gatayaḥ sajjana-hṛdayābhisārikāḥ surasāḥ |	masRNa-pada-gIti-gatayaH sat-jana--hRdaya-aBisArikAH surasAH |
   madanādvayopaniṣado viśadā govardhanasyāryāḥ ||GAss_*51||	madanA-dvaya-upanizadaH viSadAH govarDanasya-AryAH ||GAsH-_*51||
   vāṇī prākṛta-samucita-rasā balenaiva saṃskṛtaṃ nītā |	vANI prAkRta--samucita-rasAH balena-eva saMskRtam nItA |
   nimnānurūpa-nīrā kalinda-kanyeva gagana-talam ||GAss_*52||	nimna-anurUpa--nIrA kalinda-kanyA-iva gagana-talam ||GAsH-_*52||
   āryā-saptaśatīyaṃ pragalbha-manasām anādṛtā yeṣām |	AryA--saptaSatIyam pragalBa--manasAm anAdRtAH yezAm |
   dūtī-rahitā iva te na kāminī-manasi niviśante ||GAss_*53||	dUtI--rahitAH iva te na kAminI--manasi niviSante ||GAsH-_*53||
   rata-rīti-vīta-vasanā priyeva śuddhāpi vāṅ-mude sarasā |	rata-rIti--vIta--vasanA priyA-iva SudDA-api vA-ac--mude sarasA |
   arasā sālaṅkṛtir api na rocate śālabhañjīva ||GAss_*54||	arasA sa-alaFkRtiH api na rocate SAlaBaQjI-iva ||GAsH-_*54||
   iti granthārambha-vrajyā samāptā |	iti granTa-AramBa-vrajyA samAptAH |
   a-kāra-vrajyā	a-kAra-vrajyA
   avadhi-dināvadhi-jīvāḥ prasīda jīvantu pathika-janajāyāḥ |	avaDi-dina-avaDi-jIvAH prasIda jIvantu paTika--jana-jAyAH |
   durlaṅghya-vartma-śailau stanau pidhehi prapāpāli ||GAss_1||	durlaFGya-vartma--SElO stanO piDehi prapApAli ||GAsH-_1||
   ativatsalā suśīlā sevā-caturā mano 'nukūlā ca |	ati-vatsalA suSIlA sevA--caturA manaH anukUlA ca |
   ajani vinītā gṛhiṇī sapadi saptnī-stanodbhede ||GAss_2||	ajani vinItA gRhiNI sapadi saptnI--stana-udBede ||GAsH-_2||
   ayi kūla-nicula-mūlocchedana-duḥśīla-vīci-vācāle |	ayi kUla--nicula--mUla-ucCedana--duHSIla--vIci--vAcAle |
   baka-vighasa-paṅka-sārā na cirāt kāveri bhavitāsi ||GAss_3||	baka--viGasa--paFka---sArAH na cirAt kAveri BavitAsi ||GAsH-_3||
   ayi vividha-vacana-racane dadāsi candraṃ kare samānīya |	ayi viviDa-vacana--racane dadAsi candram kare samAnIya |
   vyasana-divaseṣu dūti kva punas tvaṃ darśanīyāsi ||GAss_4||	vyasana--divasezu dUti kva punar tvam darSanIyA-asi ||GAsH-_4||
   astu mlānir loko lāñchanam apadiśatu hīyatām ojaḥ |	astu mlAniH lokaH lAQCanam apadiSatu hIyatAm ojaH |
   tad api na muñcati sa tvāṃ vasudhā-chāyām iva sudhāṃśuḥ ||GAss_5||	tat api na muQcati sa tvAm vasuDA-CAyAm iva suDAMSuH ||GAsH-_5||
   aticāpalaṃ vitanvann antarniviśan nikāma-kāṭhinyaḥ |	ati-cApalam vitanvan antar-niviSan nikAma-kAWinyaH |
   mukharayasi svayam etāṃ sad-vṛttāṃ śaṅkur iva ghaṇṭām ||GAss_6||	muKarayasi svayam etAm sat--vRttAm SaFkuH iva GaNwAm ||GAsH-_6||
   aṅgeṣu jīryati paraṃ khañjana-yūnor manobhava-prasaraḥ |	aFgezu jIryati param KaQjana--yUnoH manoBava--prasaraH |
   na punar anantar-garbhita-nidhini dharā-maṇḍale keliḥ ||GAss_7||	na punar anantar--garBita--niDini DarA--maNxale keliH ||GAsH-_7||
   andhatvam andha-samaye badhiratvaṃ badhira-kāla ālambya |	anDa-tvam anDa--samaye baDira-tvam baDira-kAle Alambya |
   śrī-keśavayoḥ praṇayī prajāpatir nābhi-vāstavyaḥ ||GAss_8||	SrI-keSavayoH praNayI prajApatiH nABi-vAstavyaH ||GAsH-_8||
   ayi koṣa-kāra kuruṣe vanecarāṇāṃ puro guṇodgāram |	ayi koza-kAra kuruze vanecarANAm puras guNa-udgAram |
   yan na vidārya vicārita-jaṭharas tvaṃ sa khalu te lābhaḥ ||GAss_9||	yat na vidArya vicArita--jaWaraH tvam sa Kalu te lABaH ||GAsH-_9||
   agaṇita-mahimā laṅghita-gurur adhanehaḥ stanandhaya-virodhī |	agaNita--mahimA laFGita--guruH aDana-IhaH stananDaya--viroDI |
   iṣṭākīrtis tasyās tvayi rāgaḥ prāṇa-nirapekṣaḥ ||GAss_10||	izwa-akIrtiH tasyAH tvayi rAgaH prANa--nirapekzaH ||GAsH-_10||
   aparādhād adhikaṃ māṃ vyathayati tava kapaṭa-vacana-racaneyam |	aparADAt aDikam mAm vyaTayati tava kapawa--vacana--racanA-iyam |
   śastrāghāto na tathā sūcī-vyadha-vedanā yādṛk ||GAss_11||	Sastra-AGAtaH na taTA sUcI--vyaDa--vedanAH yAdRS ||GAsH-_11||
   asatī-locana-mukure kim api pratiphalati yan manovarti |	asatI--locana--mukure kim api pratiPalati yat manaH-varti |
   sārasvatam api cakṣuḥ satimiram iva tan na lakṣayati ||GAss_12||	sArasvatam api cakzuH sa-timiram iva tat na lakzayati ||GAsH-_12||
   anya-mukhe durvādo yaḥ priya-vadane sa eva parihāsaḥ |	anya--muKe durvAdaH yaH priya-vadane saH eva parihAsaH |
   itarendhana-janmā yo dhūmaḥ so 'gurubhavo dhūpaḥ ||GAss_13||	itara-inDana--janmA yaH DUmaH saH aguru-BavaH DUpaH ||GAsH-_13||
   ayi subhaga kutuka-taralā vicarantī saurabhānusāreṇa |	ayi suBaga kutuka-taralA vicarantI sOraBa-anusAreNa |
   tvayi mohāya varākī patitā madhupīva viṣa-kusume ||GAss_14||	tvayi mohAya varAkI patitAH maDupI-iva viza-kusume ||GAsH-_14||
   ayi mugdha-gandha-sindhura-śaṅkā-mātreṇa dantino dalitāḥ |	ayi mugDa--ganDa--sinDura--SaFkA--mAtreNa dantinaH dalitAH |
   upabhuñjate kareṇūḥ kevalam iha mat-kuṇāḥ kariṇaḥ ||GAss_15||	upaBuQjate kareNUH kevalam iha mat--kuNAH kariNaH ||GAsH-_15||
   ativinaya-vāmana-tanur vilaṅghate geha-dehalīṃ na vadhūḥ |	ati-vinaya-vAmana-tanuH vilaFGate geha--dehalIm na vaDUH |
   asyāḥ punar ārabhaṭīṃ kusumbhavāṭī vijānāti ||GAss_16||	asyAH punar AraBawIm kusumBa-vAwI vijAnAti ||GAsH-_16||
   antar-gatair guṇaiḥ kiṃ dvitrā api yatra sākṣiṇo viralāḥ |	antar--gatEH guNEH kim dvitrAH api yatra sAkziNaH viralAH |
   sa guṇo gīter yad asau vanecaraṃ hariṇam api harati ||GAss_17||	sa guNaH gIteH yat asO vanecaram hariNam api harati ||GAsH-_17||
   alulita-sakala-vibhūṣāṃ prātar bālāṃ vilokya muditaṃ prāk |	alulita-sakala--viBUzAm prAtar bAlAm vilokya muditam prAk |
   priya-śirasi vīkṣya yāvakam atha niḥśvasitaṃ sapatnībhiḥ ||GAss_18||	priya--Sirasi vIkzya yAvakam aTa niHSvasitam sapatnIBiH ||GAsH-_18||
   ayi lajjāvati nibhara-niśītha-rata-niḥsahāṅgi sukha-supte |	ayi lajjAvati niBara--niSITa--rata--niHsaha-aFgi suKa--supte |
   locana-kokanada-cchadam unmīlaya suprabhātaṃ te ||GAss_19||	locana--kokanada--cCadam unmIlaya su-praBAtam te ||GAsH-_19||
   amilita-vadanam apīḍita-vakṣoruham atividūra-jaghanoru |	amilita-vadanam apIxita-vakzoruham ati-vidUra--jaGana-uru |
   śapatha-śatena bhujābhyāṃ kevalam āliṅgito 'smi tayā ||GAss_20||	SapaTa--Satena BujAByAm kevalam AliFgitaH asmi tayA ||GAsH-_20||
   atipūjita-tāreyaṃ dṛṣṭiḥ śruti-laṅghana-kṣamā sutanu |	ati-pUjita-tArA-iyam dRzwiH Sruti-laFGana--kzamA su-tanu |
   jina-siddhānta-sthitir iva sa-vāsanā kaṃ na mohayati ||GAss_21||	jina-sidDAnta--sTitiH iva sa--vAsanA kam na mohayati ||GAsH-_21||
   alam aviṣaya-bhaya-lajjā-vañcitam ātmānam iyam iyat samayam |	alam avizaya--Baya--lajjA--vaQcitam AtmAnam iyam iyat samayam |
   nava-paricita-dayita-guṇā śocati nālapati śayana-sakhīḥ ||GAss_22||	nava--paricita---dayita-guNA Socati na-alapati Sayana-saKIH ||GAsH-_22||
   anurāga-vartinā tava viraheṇogreṇa sā gṛhītāṅgī |	anurAga-vartinA tava viraheNa-ugreNa sA gRhIta-aFgI |
   tripura-ripuṇeva gaurī vara-tanur ardhāvaśiṣṭaiva ||GAss_23||	tripura-ripuNA-iva gOrI vara-tanuH arDa-avaSizwA-eva ||GAsH-_23||
   anya-pravaṇe preyasi viparīte srotasīva vihitāsthāḥ |	anya--pravaNe preyasi viparIte srotasi-iva vihita-AsTAH |
   tad-gatim icchantyaḥ sakhi bhavanti viphala-śramāḥ hāsyāḥ ||GAss_24||	tad--gatim icCantyaH saKi Bavanti viPala-SramAH hAsyAH ||GAsH-_24||
   adhikaḥ sarvebhyo yaḥ priyaḥ priyebhyo hṛdi sthitaḥ satatam |	aDikaH sarveByaH yaH priyaH priyeByaH hRdi sTitaH satatam |
   sa luṭhati virahe jīvaḥ kaṇṭhe'syās tvam iva sambhoge ||GAss_25||	sa luWati virahe jIvaH kaNWe-asyAH tvam iva samBoge ||GAsH-_25||
   anayana-pathe priye na vyathā yathā dṛśya eva duṣprāpe |	anayana--paTe priye na vyaTA yaTA dRSyaH eva duzprApe |
   mlānaiva kevalaṃ niśi tapana-śilā vāsare jvalati ||GAss_26||	mlAnA-eva kevalam niSi tapana-SilA vAsare jvalati ||GAsH-_26||
   avibhāvyo mitre'pi sthiti-mātreṇaiva nandayan dayitaḥ |	aviBAvyaH mitre-api sTiti--mAtreNa-eva nandayan dayitaH |
   rahasi vyapadeśād ayam arthaḥ ivārājake bhogyaḥ ||GAss_27||	rahasi vyapadeSAt ayam arTaH iva-arAjake BogyaH ||GAsH-_27||
   aśrauṣīr aparādhān mama tathyaṃ kathaya man-mukhaṃ vīkṣya |	aSrOzIH aparADAn mama taTyam kaTaya man-muKam vIkzya |
   abhidhīyate na kiṃ yadi na māna-caurānanaḥ kitavaḥ ||GAss_28||	aBiDIyate na kim yadi na mAna--cOra-AnanaH kitavaH ||GAsH-_28||
   anyonyam anu srotasam anyad athānyat taṭāt taṭaṃ bhajatoḥ |	anyonyam anu srotasam anyat aTa-anyat tawAt tawam BajatoH |
   udite'rke'pi na māgha-snānaṃ prasamāpyate yūnoḥ ||GAss_29||	udite-arke-api na mAGa--snAnam prasamApyate yUnoH ||GAsH-_29||
   ayi cūta-valli phala-bhara-natāṅgi viṣvag-vikāsi-saurabhye |	ayi cUta-valli Pala--Bara-nata-aFgi vizvag-vikAsi--sOraBye |
