   oṃ namo vighnavināyakāya |	om namaH viGna-vinAyakAya |
   pāścātyā dākṣiṇātyāśca śeṣoktā drāviḍāḥ smṛtāḥ // Valc_1.22 //	pAScAtyAH dAkziNAtyAH-ca Seza-uktAH drAvixAH smRtAH // Valt-_1.22 //
   ballālaviṣaye nūnaṃ kulīmā devatāḥ svayam /	ballAla-vizaye nUnam kulImAH devatAH svayam /
   śrotriyā meravo jñeyā ghaṭakāḥ stutipāṭhakāḥ // Valc_1.23 //	SrotriyAH meravaH jQeyAH GawakAH stuti-pAWakAH // Valt-_1.23 //
   ācāro vinayo vidyā pratiṣṭhā tīrthadarśanam /	AcAraH vinayaH vidyA pratizWA tIrTa-darSanam /
   niṣṭhāvṛttistapodānaṃ navadhā kulalakṣaṇam // Valc_1.24 //	nizWA-vRttiH-tapaH-dAnam navaDA kula-lakzaNam // Valt-_1.24 //
   kāmamāmaraṇāt tiṣṭhet gṛhe kanyarttumatyapi /	kAmam-A-maraNAt tizWet gRhe kanyaRttum-atI-api /
   na caivaināṃ prayacchettu kulahīnāya karhicit // Valc_1.25 //	na ca-eva-enAm prayacCet-tu kula-hInAya karhicit // Valt-_1.25 //
   ekāṃ śākhāṃ sakalpāṃ vā ṣaḍbhiraṅgairadhītya ca /	ekAm SAKAm sa-kalpAm vA zaxBiH-aFgEH-aDItya ca /
   ṣaṭkarmmanirato vipraḥ śrotriyo nāma dharmmavit // Valc_1.26 //	zaz-karmma-nirataH vipraH SrotriyaH nAma Darmma-vid // Valt-_1.26 //
   guṇānusārato'kāri kulīnaścaiva maulikaḥ /	guNa-anusArataH-akAri kulInaH-ca-eva mOlikaH /
   vaṃśajaśca purā rājñā vallālena suniścitam // Valc_1.27 //	vaMSa-jaH-ca purA rAjQA vallAlena su-niScitam // Valt-_1.27 //
   iti vallālacarite varṇānāmutpattikathanam |	iti vallAla-carite varNAnAm-utpatti-kaTanam |
   atha pratigrāhi-saṃjñā-kāraṇa-kathanama |	aTa pratigrAhi--saMjQA--kAraNa--kaTa-namaH |
   dhenuṃ svarṇamayīṃ yajñe viprebhyaḥ pradadau nṛpaḥ /	Denum svarNa-mayIm yajQe vipreByaH pradadO nRpaH /
   dhenostasyāḥ svarṇamayyāśchedane patito'bhavat // Valc_1.28 //	DenoH-tasyAH svarNa-mayyAH-Cedane patitaH-aBavat // Valt-_1.28 //
   tato nirvvāsito rājñā kaścana svarṇakārakaḥ /	tatas nirvvAsitaH rAjQA kaScana svarNa-kArakaH /
   viprāḥ pratigrahājjātāḥ sarvvadharmmabahiṣkṛtāḥ // Valc_1.29 //	viprAH pratigrahAt-jAtAH sarvu-aDarmma-bahizkRtAH // Valt-_1.29 //
   iti pratigrāhikāraṇam |	iti pratigrAhi-kAraNam |
   atha pratigrāhi-saṃjñakānāṃ sagrāmi-nāmāni |	aTa pratigrAhi--saMjQakAnAm sa-grAmi--nAmAni |
   śaṅkare pītamuṇḍī ca gaḍopi ca divākaraḥ /	SaFkare pItamuNxI ca gaxopi ca divAkaraH /
   guḍo dāḍakanāmā ca dokaḍiścaiva pippalī // Valc_1.30 //	guxaH dAxaka-nAmA ca dokaxiH-ca-eva pippalI // Valt-_1.30 //
   vandyo mārttaṇḍanāmā ca brāhmaṇo nāma nāmataḥ /	vandyaH mArttaNxa-nAmA ca brAhmaNaH nAma nAmataH /
   āyāniśca gaṇāyiśca hāḍo gopī ca vandyajāḥ // Valc_1.31 //	AyAniH-ca gaNAyiH-ca hAxaH gopI ca vandya-jAH // Valt-_1.31 //
   māṣo dokaḍināmā ca rāyo ca madhusūdanaḥ /	mAzaH dokaxi-nAmA ca rAyaH ca maDusUdanaH /
   kuśiko yavanāmā ca haḍo nārāyaṇo 'pi ca // Valc_1.32 //	kuSikaH yava-nAmA ca haxaH nArAyaNaH api ca // Valt-_1.32 //
   mahintā dividho nāma dāvāriścaiva keśavaḥ /	mahintA diviDaH nAma dAvAriH-ca-eva keSavaH /
   caṭṭaḥ śakunināmā ca tailavāṭīrnayārikaḥ // Valc_1.33 //	cawwaH Sakuni-nAmA ca tEla-vAwIH-nayArikaH // Valt-_1.33 //
   kundo viśveśvaro nāma vandyajo viṭhusaṃjñakaḥ /	kundaH viSveSvaraH nAma vandya-jaH viWu-saMjQakaH /
   ghoṣajau bhrātarāvetau madanaviśvarūpakau // Valc_1.34 //	Goza-jO BrAtarO=-etO madana-viSva-rUpakO // Valt-_1.34 //
   gāṅgulirhāsyanāmā ca pūtirgautamasaṃjñakaḥ /	ga-aFguliH-hAsya-nAmA ca pUtiH-gOtama-saMjQakaH /
   parāśarākhyaḥ śimlī ca śaṅkaro ḍiṇḍisaṃjñakaḥ // Valc_1.35 /	parASara-AKyaH SimlI ca SaFkaraH xiNxi-saMjQakaH // Valt-_1.35 /
   amī viprakulodbhatūā godānaṃ jagṛhurdvijāḥ /	amI vipra-kula-udBatUA go-dAnam jagRhuH-dvijAH /
   teṣāṃ sambandhamātreṇa paṅke gauriva sīdati // Valc_1.36 //	tezAm sambanDa-mAtreNa paFke gOH-iva sIdati // Valt-_1.36 //
   sambandhe bhojane caiva dāne yajñe tathaiva ca /	sambanDe Bojane ca-eva dAne yajQe taTA-eva ca /
   vidvadbhiḥ śrāddhakāle ca varjjyā ete punaḥ punaḥ // Valc_1.37 //	vidvadBiH SrAdDa-kAle ca varjjyAH ete punar punar // Valt-_1.37 //
   iti pratigrāhiṇāṃ nāmādayaḥ |	iti pratigrAhiNAm nAma-AdayaH |
   atha pratigrāhisutānāṃ vivāhakathanam |	aTa pratigrAhi-sutAnAm vivAha-kaTanam |
   gaṇakanyā vaśiṣṭhena ṭoṭena śakuneḥ sutāḥ /	gaNa-kanyAH vaSizWena wowena SakuneH sutAH /
   hāḍkanyā dāyikena kubero hāsyajāpatiḥ // Valc_1.38 //	hAxkanyA dAyikena kuberaH hAsya-jApatiH // Valt-_1.38 //
   cakrapāṇināpi kanyā gṛhītā dhanalobhataḥ /	cakra-pANinA-api kanyA gRhItAH Dana-loBataH /
   viṭhusutāpatirbhūtvā caṭṭajaḥ kulabhūṣaṇaḥ /	viWusutA-patiH-BUtvA cawwa-jaH kula-BUzaNaH /
   pratigrāhisutodvāhāt ṣaḍete vaṃśajāḥ smṛtāḥ // Valc_1.39 //	pratigrAhi-suta-udvAhAt zaw-ete vaMSa-jAH smRtAH // Valt-_1.39 //
   śrotriyāya sutāṃ dattvā kulīno vaṃśajaḥ punaḥ // Valc_1.40 //	SrotriyAya sutAm dattvA kulInaH vaMSa-jaH punar // Valt-_1.40 //
   grāmaṃ labdhvā ca vallālāt kauṇḍilyastatpracāritaḥ /	grAmam labDvA ca vallAlAt kONxilyaH-tad-pracAritaH /
   yavagrāmī kaḍāro ca kauṇḍilyo vaiduḍīstathā // Valc_1.41 //	yavagrAmI kaxAraH ca kONxilyaH vEduxIH-taTA // Valt-_1.41 //
   iti pratigrāhisutānāṃ vivāhakathanam |	iti pratigrAhi-sutAnAm vivAha-kaTanam |
   atha pañcagotrīyānāṃ sagrāmi-nāmādi-kathanam |	aTa paQca-gotrIyAnAm sa-grAmi-nAma-Adi-kaTanam |
   atha śāṇḍilyagotrasya bhaṭṭanārāyaṇasya vaṃśadharāṇāṃ gāṁināmāni |	aTa SANxilya-gotrasya Bawwa-nArAyaNasya vaMSa-DarANAm gAṁi-nAmAni |
   ādau vandyo varāhaḥ syāt rāmo gaḍgaḍistathā /	AdO vandyaH varAhaH syAt rAmaH gaxgaxiH-taTA /
   nṛpaḥ syāt keśaraścaiva nānaḥ kusumakaulikaḥ // Valc_1.42 //	nRpaH syAt keSaraH-ca-eva nAnaH kusuma-kOlikaH // Valt-_1.42 //
   vāṭuḥ syāt pārihālosau kulabhirguināmakaḥ /	vAwuH syAt pArihAla-UsO kulaBiH-guinAmakaH /
   gaṇo ghoṣalitāṃ prāptaḥ seyuḥ śāṇḍīśvarīstathā // Valc_1.43 //	gaNaH GozalitAm prAptaH seyuH SANxISvarIH-taTA // Valt-_1.43 //
   vuḍomāścarakaścaiva, vaṭavyālo vikarttanaḥ /	vuxomAH-carakaH-ca-eva, vawa-vyAlaH vikarttanaH /
   vasurāyistathā nīlaḥ kaḍyālo madhusūdanaḥ // Valc_1.44 //	vasurAyiH-taTA nIlaH kaxyAlaH maDusUdanaH // Valt-_1.44 //
   kuśī ca koyanāmā ca kulisā caiva vāsukaḥ /	kuSI ca koyanAmA ca kulisA ca-eva vAsukaH /
   ākāśo mādhavo dīrghagrāmī caiva mahāmatiḥ // Valc_1.45 //	AkASaH mADavaH dIrGa-grAmI ca-eva mahAmatiH // Valt-_1.45 //
   ete ṣoḍaśa śāṇḍilyāḥ kathitā rājapūjitāḥ /	ete zoxaSa SANxilyAH kaTitAH rAja-pUjitAH /
   tataḥ kāśyapa-gotrīya-dakṣa-vaṃśaśca kathyate // Valc_1.46 //	tatas kASyapa-gotrIya-dakza-vaMSaH-ca kaTyate // Valt-_1.46 //
   atha kāśyapagotrasya dakṣasya vaṃśadharāṇāṃ gāṁināmāni |	aTa kASyapa-gotrasya dakzasya vaMSa-DarANAm gAṁi-nAmAni |
   dhīro 'bhavat guḍīgrāmī nīraḥ syādāmarūlikaḥ /	DIraH aBavat guxI-grAmI nIraH syAt-AmarUlikaH /
   bhūriṣṭālaḥ śubhaścaiva śambhuḥ syāttailavāṭikaḥ // Valc_1.47 //	BUH-izwAlaH SuBaH-ca-eva SamBuH syAt-tElavAwikaH // Valt-_1.47 //
   kautukaḥ pītamuṇḍī syāt caṭṭagrāmī sulocanaḥ /	kOtukaH pItamuNxI syAt cawwa-grAmI sulocanaH /
   palaśāyī pālunāmā haḍḥkāko matastathā // Valc_1.48 //	pala-SAyI pAlu-nAmA haxHkAkaH mataH-taTA // Valt-_1.48 //
   poḍāriḥ kṛṣṇasaṃjño 'sau pāladhī rāmanāmakaḥ /	poxAriH kRzNa-saMjQaH asO pAlaDI rAma-nAmakaH /
   jananāmā koyāriḥ syāt parkkaṭirvanamālikaḥ // Valc_1.49 //	jana-nAmA koyAriH syAt parkkawiH-vanamAlikaH // Valt-_1.49 //
   simalāyī śrīhariḥ syāt jaṭaḥ pūṣalikastathā /	simalAyI SrI-hariH syAt jawaH pUzalikaH-taTA /
   bhaṭṭagrāmī śaśidharo mūlagrāmī ca keśavaḥ /	Bawwa-grAmI SaSiDaraH mUla-grAmI ca keSavaH /
   ete ṣoḍaśa bhūdevāḥ jñeyāḥ kāśyapasaṃjñakāḥ // Valc_1.50 //	ete zoxaSa BUdevAH jQeyAH kASyapa-saMjQakAH // Valt-_1.50 //
   atha bharadvājagotrasya śrīharṣasya vaṃśadharāṇām gāṁināmāni |	aTa BaradvAja-gotrasya SrI-harzasya vaMSa-DarANAm gAṁi-nAmAni |
   dhāṁdunāmā mukhaiṭiḥ syāt janaḥ syāddīnasāyikaḥ /	DAṁdu-nAmA muKEwiH syAt janaH syAt-dIna-sAyikaH /
   nānaḥ sāhariko jñeyo rāyī ca rāmanāmakaḥ // Valc_1.51 //	nAnaH sAharikaH jQeyaH rAyI ca rAma-nAmakaH // Valt-_1.51 //
   śrīharṣasya sutā ete bharadvājakulodbhavāḥ /	SrI-harzasya sutAH ete BaradvAja-kula-udBavAH /
   sarvvadeśeṣu viditamagravartacatuṣṭayam // Valc_1.52 //	sarvvadeSezu viditam-agra-varta-catuzwayam // Valt-_1.52 //
   atha sāvarṇagotrasya vedagarbhasya vaṃśadharāṇāṃ gāṁināmāni |	aTa sAvarNa-gotrasya veda-garBasya vaMSa-DarANAm gAṁi-nAmAni |
   gāṅgulī halanāmā ca kundo rājyadharastathā /	gAFgulI halanAmA ca kundaH rAjya-DaraH-taTA /
   vaśiṣṭhaḥ siddhalo jñeyo dāyī ca madano bhavat // Valc_1.53 //	vaSizWaH sidDalaH jQeyaH dAyI ca madanaH Bavat // Valt-_1.53 //
   viśvarūpastathā nandī vāligrāmī kumārakaḥ /	viSvarUpaH-taTA nandI vAligrAmI kumArakaH /
   yogī siyāriko jñeyaḥ puṃsiko rāmanāmakaḥ // Valc_1.54 //	yogI siyArikaH jQeyaH puMsikaH rAma-nAmakaH // Valt-_1.54 //
   dakṣaḥ sākaṭasaṃjño 'sau pārī ca madhusūdanaḥ /	dakzaH sAkawa-saMjQaH asO pArI ca maDusUdanaH /
   ghaṇṭāgrāmī mādhavaśca nāyārī ca guṇākaraḥ /	GaNwA-grAmI mADavaH-ca nAyArI ca guNa-AkaraH /
   ete putrā mahāprājñāḥ sāvarṇā dvādaśa smṛtāḥ // Valc_1.55 //	ete putrAH mahA-prAjQAH sAvarNAH dvAdaSa smRtAH // Valt-_1.55 //
   atha vātsyagotrasya chāndaḍsya vaṃśadharāṇāṃ gāṁināmāni |	aTa vAtsya-gotrasya CAndaxsya vaMSa-DarANAm gAṁi-nAmAni |
   ravirmahintā surabhiśca ghoṣaḥ kaviḥ pṛthivyāṃ khalu śimbalālaḥ /	raviH-mahintA suraBiH-ca GozaH kaviH pRTivyAm Kalu SimbalAlaH /
   mahāyaśā vāpulikaśca piplī dhīraśca pūtirnanu śaṅkarākhyaḥ // Valc_1.56 //	mahA-yaSA vApulikaH-ca piplI DIraH-ca pUtiH-nanu SaFkara-AKyaH // Valt-_1.56 //
   viśvambharo 'bhūt khalu pūrbbagrāmī vātsyāśca tādarthanivāsadeśāḥ	viSvamBaraH aBUt Kalu pUrbba-grAmI vAtsyAH-ca tAdarTa-nivAsa-deSAH
   śrīśrīdharobhūt khalu kāñjivillī nārāyaṇo nāma ca kāñjiyārī /	SrI-SrIDaroBUt Kalu kAQjivillI nArAyaNaH nAma ca kAQjiyArI /
   cautkhaṇḍiko nāma guṇākaraḥ syāt mano dīghālo bhuvi rudratulyaḥ //	ca-OtKaNxikaH nAma guNa-AkaraH syAt manaH dIGAlaH Buvi rudra-tulyaH //
   Valc_1.57 //	Valt-_1.57 //
   atha gauṇakulīnānāmullekhanam |	aTa gONa-kulInAnAm-ulleKanam |
   dīrghāṅgī pāriḥ kulabhī poḍārī rāiḥ keśarī /	dIrGAFgI pAriH kulaBI poxArI rAiH keSarI /
   ghaṇṭā ḍiṇḍiḥ pītamuṇḍīr mahintā guḍpippalī /	GaNwA xiNxiH pIta-muNxIH mahintA guxpippalI /
   haḍśca gaḍgaḍiścaiva ime gauṇāḥ prakīrttitāḥ /	haxH-ca gaxgaxiH-ca-eva ime gONAH prakIrttitAH /
   ataḥparaṃ viśeṣaṃ yadatraiva varṇyate mayā // Valc_1.58 //	atas-param viSezam yat-atra-eva varNyate mayA // Valt-_1.58 //
   ekadā rājavallālaḥ kaulinya-sthāpanāya ca /	ekadA rAja-vallAlaH kOlinya--sTApanAya ca /
   āmantrayāmāsa viprān sabhārohaṇa-karmmaṇi // Valc_1.59 //	AmantrayAmAsa viprAn saBA-ArohaNa-karmmaNi // Valt-_1.59 //
   nityakarmmāṇi niṣpādya tatastanniścite 'hani /	nityakarmmANi nizpAdya tatas-tad-niScite ahani /
   āyayurbrāhmaṇāḥ sarvve sabhāyāṃ nṛpasannidhau // Valc_1.60 //	AyayuH-brAhmaNAH sarvve saBAyAm nRpa-sanniDO // Valt-_1.60 //
   kecit praharamadhye ca sārddhapraharamadhyataḥ /	kecid prahara-maDye ca sArdDa-prahara-maDyatas /
   sārddhadviprahare ke vā yayurnṛpatisannidhim // Valc_1.61 //	sArdDa-t-viprahare ke vA yayuH-nRpati-sanniDim // Valt-_1.61 //
   tatastu matimān rājā vivicya dvija-ceṣṭitān /	tatas-tu matimAn rAjA vivicya dvija--cezwitAn /
   kaulīnyādiyathāyogyaṃ tebhyastatra dadau mudā // Valc_1.62 //	kOlIni-Adi-yaTA-yogyam teByaH-tatra dadO mudA // Valt-_1.62 //
   sārddhadvipraharātīte sabhāyāmāgatāstu ye /	sArdDat-viprahara-atIte saBAyAm-AgatAH-tu ye /
   te samparṇūdharmma-niṣṭhāḥ kaulīnyaṃ lebhire dvijāḥ // Valc_1.63 //	te samparNU-Darmma-nizWAH kOlInyam leBire dvijAH // Valt-_1.63 //
   ye sārddhaprahare prāptāḥ śrotriyāste prakīrttitāḥ /	ye sArdDa-prahare prAptAH SrotriyAH-te prakIrttitAH /
   babhūrgauṇakulīnāste yāmāntaragatāstu ye // Valc_1.64 //	baBUH-gONa-kulInAH-te yAma-antara-gatAH-tu ye // Valt-_1.64 //
   kālenādiśrotriyeṣu viśuddheṣu niveśitāḥ /	kAlena-Adi-Srotriyezu viSudDezu niveSitAH /
   āsan gauṇāśca vikhyātāḥ kaṣṭaśrotriyasaṃjñayā // Valc_1.65 //	Asan gONAH-ca viKyAtAH kazwa-Srotriya-saMjQayA // Valt-_1.65 //
   yathā gauṇāstathā kaṣṭā heyā eva samaṃ sadā /	yaTA gONAH-taTA kazwA heyAH eva samam sadA /
   iti rāḍhīyaviprāṇāṃ kathitaḥ kulaniścayaḥ // Valc_1.66 //	iti rAXIya-viprANAm kaTitaH kula-niScayaH // Valt-_1.66 //
   iti rāḍhīyaviprāṇām kaulīnyādiprāptikathanam /	iti rAXIya-viprANAm kOlIni-Adi-prApti-kaTanam /
   atha varendravaṃśakathanam /	aTa vara-indra-vaMSa-kaTanam /
   kāśyape 'ṣṭādaśa jñeyāḥ śāṇḍilyeṣu caturdaśa /	kASyape azwAdaSa jQeyAH SANxilyezu caturdaSa /
   caturvviṃśatirvātsyānām bharadvāje tathāvidhaḥ // Valc_1.67 //	caturvviMSatiH-vAtsyAnAm BaradvAje taTAviDaH // Valt-_1.67 //
   sāvarṇe viṃśatirjñeyāḥ kathitāḥ pañcagotrakāḥ /	sAvarNe viMSatiH-jQeyAH kaTitAH paQcagotrakAH /
   teṣāṃ grāmī savistāraṃ kathyate ca yathākramam // Valc_1.68 //	tezAm grAmI sa-vistAram kaTyate ca yaTAkramam // Valt-_1.68 //
   atha kāśyapagotrasya kṛpānidhervaṃśadharāṇām gāṁināmāni /	aTa kASyapa-gotrasya kRpA-niDeH-vaMSa-DarANAm gAṁi-nAmAni /
   karañjo bhāduḍī maitro bālayaṣṭikakeralau /	karaQjaH BAduxI mEtraH bAla-yazwikakeralO /
   madhugrāmī balīhārī moyālī bījakuñjakaḥ // Valc_1.69 //	maDugrAmI balIhArI moyAlI bIja-kuQjakaH // Valt-_1.69 //
   koṭiḥ sarvvagrāmakoṭiḥ pareśaścaiva dhosakaḥ /	kowiH sarvu-agrAma-kowiH para-ISaH-ca-eva DosakaH /
   bhadrayāmī cāśrukoṭiḥ śaragrāmī ca viśrutaḥ /	BadrayAmI ca-aSru-kowiH Sara-grAmI ca viSrutaH /
   velagrāmī camagrāmau vaṃśajāśca kṛpānidheḥ // Valc_1.70 //	vela-grAmI cama-grAmO vaMSa-jAH-ca kRpA-niDeH // Valt-_1.70 //
   atha śāṇḍilyagotrasya dāmodarasya vaṃśadharāṇāṃ gāṁināmāni /	aTa SANxilya-gotrasya dAmodarasya vaMSa-DarANAm gAṁi-nAmAni /
   rudravāgcī sādhuvāgcī lāhiḍī campaṭistathā /	rudravAgcI sADuva-agcI lAhixI campawiH-taTA /
   nandanāvāṭī kālindī caṭṭagrāmī ca pūṣaṇaḥ // Valc_1.71 //	nandana-AvAwI kAlindI cawwa-grAmI ca pUzaNaH // Valt-_1.71 //
   śiharirviśī matsyāśī veluḍīścampasaṃjñakaḥ /	SihariH-viSI matsya-ASI veluxIH-campa-saMjQakaH /
   suvarṇatoṭaḥ śāṇḍilyodāmodarasya vaṃśajāḥ // Valc_1.72 //	suvarNa-towaH SANxilya-udAma-udarasya vaMSa-jAH // Valt-_1.72 //
   atha vātsyagotrasya dharādharasya vaṃśadharāṇāṃ gāṁināmāni /	aTa vAtsya-gotrasya DarADarasya vaMSa-DarANAm gAṁi-nAmAni /
   saṃyāminī bhīmakālī bhaṭṭaśālī ca kuḍmuḍiḥ // Valc_1.73 //	saMyAminI BImakAlI BawwaSAlI ca kuxmuxiH // Valt-_1.73 //
