   maṅgalācaraṇam	maFgala-AcaraNam
   ādyā hāsyaya vṛddhatve dvitīyādriyate sadā // Hit_0.7 //	AdyA ha-Asyaya vRdDa-tve dvitIya-Adriyate sadA // Hid-_0.7 //
   yan nave bhājane lagnaḥ saṃskāro nānyathā bhavet |	yat nave BAjane lagnaH saMskAraH na-anyaTA Bavet |
   kathā-cchalena bālānāṃ nītis tad iha kathyate // Hit_0.8 //	kaTA-=-Calena bAlAnAm nItiH tat iha kaTyate // Hid-_0.8 //
   mitra-lābhaḥ suhṛd-bhedo vigrahaḥ sandhir eva ca |	mitra--lABaH suhRd-BedaH vigrahaH sanDiH eva ca |
   pañca-tantrāt tathānyasmād granthād ākṛṣya likhyate // Hit_0.9 //	paQca-tantrAt taTA-anyasmAt granTAt AkRzya liKyate // Hid-_0.9 //
   atha kathā-mukham	aTa kaTA-muKam
   asti bhāgīrathī-tīre pāṭaliputra-nāmadheyaṃ nagaram | tatra	asti BAgIraTI--tIre pAwaliputra--nAmaDeyam nagaram | tatra
   sarva-svāmi-guṇopetaḥ sudarśano nāma narapatir āsīt | sa bhūpatir ekadā	sarva-svAmi--guNa-upetaH sudarSanaH nAma narapatiH AsIt | sa BUpatiH ekadA
   kenāpi pāṭhyamānaṃ śloka-dvayaṃ śuśrāva-	kena-api pAWyamAnam Sloka--dvayam SuSrAva-
   aneka-saṃśayocchedi parokṣārthasya darśakam |	aneka-saMSaya-ucCedi parokza-arTasya darSakam |
   sarvasya locanaṃ śāstraṃ yasya nāsty andha eva saḥ // Hit_0.10 //	sarvasya locanam SAstram yasya na-asti anDaH eva saH // Hit-_0.10 //
   yauvanaṃ dhana-sampattiḥ prabhutvam avivekitā |	yOvanam Dana--sampattiH praBu-tvam aviveki-tA |
   ekaikam apy anarthāya kim u yatra catuṣṭayam // Hit_0.11 //	ekEkam api anarTAya kim u yatra catuzwayam // Hid-_0.11 //
   ity ākarṇyātmanaḥ putrāṇām anadhigata-śāstrāṇāṃ nityam unmārga-gāmināṃ	iti AkarNya-AtmanaH putrANAm anaDigata-SAstrANAm nityam unmArga--gAminAm
   śāstrānanuṣṭhānenodvigna-manāḥ sa rājā cintayāmāsa |	SAstra-ananuzWAnena-udvigna--manAH sa rAjA cintayAmAsa |
   ko 'rthaḥ putreṇa jātena yo na vidvān na dhārmikaḥ |	kaH arTaH putreNa jAtena yaH na vidvAn na DArmikaH |
   kāṇena cakṣuṣā kiṃ vā cakṣuḥ pīḍaiva kevalam // Hit_0.12 //	kANena cakzuzA kim vA cakzuH pIxA-eva kevalam // Hit-_0.12 //
   ajāta-mṛta-mūrkhāṇāṃ varam ādyau na cāntimaḥ |	ajAta--mRta-mUrKANAm varam AdyO na ca-antimaH |
   sakṛd duḥkha-karāv ādyāv antimas tu pade pade // Hit_0.13 //	sakRt duHKa-karO AdyO antimaH tu pade pade // Hit-_0.13 //
   kiṃ ca-	kim ca-
   varaṃ garbha-srāvo varam api ca naivābhigamanaṃ	varam garBa-srAvaH varam api ca na-eva-aBigamanam
   varaṃ jātaḥ preto varam api ca kanyāvajanitā |	varam jAtaH pretaH varam api ca kanyA-avajanitAH |
   varaṃ bandhyā bhāryā varam api ca garbheṣu vasatir	varam banDyA BAryA varam api ca garBezu vasatiH-
   na vāvidvān rūpa-draviṇa-guṇa-yukto 'pi tanayaḥ // Hit_0.14 //	na vA-avidvAn rUpa--draviNa-guNa--yuktaH api tanayaH // Hit-_0.14 //
   sa jāto yena jātena yāti vaṃśaḥ samunnatim |	sa jAtaH yena jAtena yAti vaMSaH samunnatim |
   parivartini saṃsāre mṛtaḥ ko vā na jāyate // Hit_0.15 //	parivartini saMsAre mRtaH kaH vA na jAyate // Hid-_0.15 //
   anyac ca-	anyat ca-
   guṇi-gaṇa-gaṇanā'rambhe	guNi--gaNa--gaNanA-aramBe
   na patati kaṭhinī sa-sambhramād yasya |	na patati kaWinI sa--samBramAt yasya |
   tenāmbā yadi sutinī	tena-ambA yadi sutinI
   vada bandhyā kīdṛśī bhavati ? // Hit_0.16 //	vada banDyA kIdRSI Bavati ? // Hit-_0.16 //
   api ca-	api ca-
   dāne tapasi śaurye ca yasya na prathitaṃ manaḥ |	dAne tapasi SOrye ca yasya na praTitam manaH |
   vidyāyām artha-lābhe ca mātur uccāra eva saḥ // Hit_0.17 //	vidyAyAm arTa-lABe ca mAtuH uccAraH eva saH // Hit-_0.17 //
   aparaṃ ca-	aparam ca-
   varam eko guṇī putro na ca mūrkha-śatair api |	varam ekaH guNI putraH na ca mUrKa-SatEH api |
   ekaś candramas tamo hanti na ca tārā-gaṇair api // Hit_0.18 //	ekaH candramaH tamaH hanti na ca tArA--gaNEH api // Hit-_0.18 //
   puṇya-tīrthe kṛtaṃ yena tapaḥ kvāpy atiduṣkaram |	puNya-tIrTe kRtam yena tapaH kvApi ati-duzkaram |
   tasya putro bhaved vaśyaḥ samṛddho dhārmikaḥ sudhīḥ // Hit_0.19 //	tasya putraH Bavet vaSyaH samRdDaH DArmikaH suDIH // Hit-_0.19 //
   tathā coktaṃ-	taTA ca-uktaM-
   arthāgamo nityam arogitā ca priyā ca bhāryā priya-vādinī ca |	arTa-AgamaH nityam arogitA ca priyA ca BAryA priya-vAdinI ca |
   vaśyaś ca putro 'rtha-karī ca vidyā ṣaḍ jīva-lokasya sukhāni rājan //	vaSyaH ca putraH arTa-karI ca vidyA zaw jIva--lokasya suKAni rAjan //
   Hit_0.20 //	Hit-_0.20 //
   ko dhanyo bahubhiḥ putraiḥ kuśūlāpūraṇāḍhakaiḥ |	kaH DanyaH bahuBiH putrEH kuSUla-ApUraNa-AXakEH |
   varam ekaḥ kulālambī yatra viśrūyate pitā // Hit_0.21 //	varam ekaH kula-AlambI yatra viSrUyate pitA // Hit-_0.21 //
   ṛṇa-kartā pitā śatrur mātā ca vyabhicāriṇī |	RNa-kartA pitA SatruH mAtA ca vyaBicAriNI |
   bhāryā rūpavatī śatruḥ putraḥ śatrur apaṇḍitaḥ // Hit_0.22 //	BAryA rUpavatI SatruH putraH SatruH apaNxitaH // Hit-_0.22 //
   yasya kasya prasūto 'pi guṇavān pūjyate naraḥ |	yasya kasya prasUtaH api guNavAn pUjyate naraH |
   dhanur vaṃśa-viśuddho 'pi nirguṇaḥ kiṃ kariṣyati // Hit_0.23 //	DanuH vaMSa--viSudDaH api nirguNaH kim karizyati // Hit-_0.23 //
   hā hā putraka nādhītaṃ gatāsv etāsu rātriṣu |	hA hA putraka na-aDItam gatAsu etAsu rAtrizu |
   tena tvaṃ viduṣāṃ madhye paṅke gaur iva sīdasi // Hit_0.24 //	tena tvam viduzAm maDye paFke gOH iva sIdasi // Hid-_0.24 //
   tat katham idānīm ete mama putrā guṇavantaḥ kriyantām ? yataḥ-	tat kaTam idAnIm ete mama putrAH guNavantaH kriyantAm ? yatas--
   āhāra-nidrā-bhaya-maithunāni sāmānyam etat paśubhir narāṇām |	AhAra--nidrA--Baya--mETunAni sAmAnyam etat paSuBiH narANAm |
   jñānaṃ narāṇām adhiko viśeṣo jñānena hīnāḥ paśubhiḥ samānāḥ // Hit_0.25 //	jQAnam narANAm aDikaH viSezaH jQAnena hInAH paSuBiH samAnAH // Hid-_0.25 //
   yataḥ-	yatas--
   dharmārtha-kāma-mokṣāṇāṃ yasyaiko 'pi na vidyate |	Darma-arTa-kAma-mokzANAm yasya-ekaH api na vidyate |
   ajāgala-stanasyeva tasya janma nirarthakam // Hit_0.26 //	ajAgala--stanasya-iva tasya janma nirarTakam // Hid-_0.26 //
   yac cocyate-	yat ca-ucyate-
   āyuḥ karma ca vittaṃ ca vidyā nidhanam eva ca |	AyuH karma ca vittam ca vidyA niDanam eva ca |
   pañcaitāni hi sṛjyante garbhasthasyaiva dehinaḥ // Hit_0.27 //	paQca-etAni hi sRjyante garBa-sTasya-eva dehinaH // Hit-_0.27 //
   kiṃ ca-	kim ca-
   avaśyaṃ bhāvino bhāvā bhavanti mahatām api |	avaSyam BAvinaH BAvAH Bavanti mahatAm api |
   nagnatvaṃ nīlakaṇṭhasya mahāhi-śayanaṃ hareḥ // Hit_0.28 //	nagna-tvam nIlakaNWasya mahA-hi-Sayanam hareH // Hit-_0.28 //
   anyac ca-	anyat ca-
   yad abhāvi na tad bhāvi bhāvi cen na tad anyathā |	yat aBAvi na tat BAvi BAvi ced na tat anyaTA |
   iti cintā-viṣa-ghno 'yam agadaḥ kiṃ na pīyate // Hit_0.29 //	iti cintA--viza-GnaH ayam agadaH kim na pIyate // Hid-_0.29 //
   etat kāryākṣamāṇāṃ keṣāṃcid ālasya-vacanam | puruṣakārautkārṣyam āha-	etat kArya-akzamANAm kezAMcid Alasya-vacanam | puruzakAra-OtkArzyam Aha-
   yathā hy ekena cakreṇa na rathasya gatir bhavet |	yaTA hi ekena cakreNa na raTasya gatiH Bavet |
   tathā puruṣakāreṇa vinā daivaṃ na siddhyati // Hit_0.30 //	taTA puruzakAreNa vinA dEvam na sidDyati // Hit-_0.30 //
   tathā ca-	taTA ca-
   pūrva-janma-kṛtaṃ karma tad daivam iti kathyate |	pUrva--janma-kRtam karma tat dEvam iti kaTyate |
   tasmāt puruṣakāreṇa yatnaṃ kuryād atandritaḥ // Hit_0.31 //	tasmAt puruzakAreNa yatnam kuryAt atandritaH // Hit-_0.31 //
   na daivam api saṃcintya tyajed udyogam ātmanaḥ |	na dEvam api saMcintya tyajet udyogam AtmanaH |
   anudyogena tailāni tilebhyo nāptum arhati // Hit_0.32 //	anudyogena tElAni tileByaH na-Aptum arhati // Hit-_0.32 //
   anyac ca-	anyat ca-
   udyoginaṃ puruṣa-siṃham upaiti lakṣmīr	udyoginam puruza--siMham upEti lakzmIH-
   daivena deyam iti kāpuruṣā vadanti |	dEvena deyam iti kApuruzAH vadanti |
   daivaṃ nihatya kuru pauruṣam ātma-śaktyā	dEvam nihatya kuru pOruzam Atma--SaktyA
   yatne kṛte yadi na sidhyati ko 'tra doṣaḥ // Hit_0.33 //	yatne kRte yadi na siDyati kaH atra dozaH // Hit-_0.33 //
   yathā mṛt-piṇḍataḥ kartā kurute yad yad icchati |	yaTA mRt-piNxataH kartA kurute yat yat icCati |
   evam ātma-kṛtaṃ karma mānavaḥ pratipadyate // Hit_0.34 //	evam Atma-kRtam karma mAnavaH pratipadyate // Hid-_0.34 //
   kākatālīyavat prāptaṃ dṛṣṭvāpi nidhim agrataḥ |	kAkatAlIya-vat prAptam dRzwvA-api niDim agratas |
   na svayaṃ daivam ādatte puruṣārtham apekṣate // Hit_0.	na svayam dEvam Adatte puruza-arTam apekzate // Hit-_0.
   udyamena hi sidhyanti kāryāṇi na manorathaiḥ |	udyamena hi siDyanti kAryANi na manoraTEH |
   nahi suptasya siṃhasya praviśanti mukhe mṛgāḥ // Hit_0.36 //	na-hi suptasya siMhasya praviSanti muKe mRgAH // Hit-_0.36 //
   tathā coktaṃ-	taTA ca-uktaM-
   mātā śatruḥ pitā vairī yena bālo na pāṭhitaḥ |	mAtA SatruH pitA vErI yena bAlaH na pAWitaH |
   na śobhate sabhā-madhye haṃsa-madhye bako yathā // Hit_0.37 //	na SoBate saBA-maDye haMsa--maDye bakaH yaTA // Hit-_0.37 //
   rūpa-yauvana-sampannā viśāla-kula-sambhavāḥ |	rUpa-yOvana--sampannAH viSAla--kula--samBavAH |
   vidyā-hīnā na śobhante nirgandhā iva kiṃśukāḥ // Hit_0.38 //	vidyA--hInAH na SoBante nirganDAH iva kiMSukAH // Hit-_0.38 //
   aparac ca-	aparat ca-
   pustakeṣu ca nādhītaṃ nādhītaṃ guru-sannidhau |	pustakezu ca na-aDItam na-aDItam guru--sanniDO |
   na śobhate sambhā-madhye jāra-garbha iva striyāḥ // Hit_0.39 //	na SoBate samBA--maDye jAra--garBaH iva striyAH // Hit-_0.39 //
   etac cintayitvā rājā paṇḍita-sabhāṃ kāritavān | rājovāca-bho bhoḥ paṇḍitāḥ	etat cintayitvA rAjA paNxita-saBAm kAritavAn | rAjA-uvAca--BaH BoH paNxitAH
   ! śrūyatāṃ mama vacanam | asti kaścid evambhūto vidvān yo mama putrāṇāṃ	! SrUyatAm mama vacanam | asti kaScid evamBUtaH vidvAn yaH mama putrANAm
   nityam unmārga-gāminām anadhigata-śāstrāṇām idānīṃ nīti-śāstropadeśena	nityam unmArga--gAminAm anaDigata-SAstrANAm idAnIm nIti-SAstra-upadeSena
   punar janma kārayituṃ samarthaḥ ? yataḥ-	punar janma kArayitum samarTaH ? yatas--
   kācaḥ kāñcana-saṃsargād dhatte mārakatīr dyutīḥ |	kAcaH kAQcana--saMsargAt Datte mArakatIH dyutIH |
   tathā sat-sannidhānena mūrkho yāti pravīṇatām // Hit_0.40 //	taTA sat--sanniDAnena mUrKaH yAti pravINa-tAm // Hid-_0.40 //
   uktaṃ ca-	uktam ca-
   hīyate hi matis tāta hīnaiḥ saha samāgamāt |	hIyate hi matiH tAta hInEH saha samAgamAt |
   samaiś ca samatām eti viśiṣṭaiś ca viśiṣṭatām // Hit_0.41 //	samEH ca sama-tAm eti viSizwEH ca viSizwa-tAm // Hit-_0.41 //
   atrāntare viṣṇu-śarma-nāmā mahā-paṇḍitaḥ sakala-nīiti-śāstra-tattva-jño	atra-antare vizNu-Sarma--nAmA mahA--paNxitaH sakala--nIiti--SAstra--tattva--jQo
   bṛhaspatir ivābravīt-deva mahākula-sambhūtā ete rājaputrāḥ | tat mayā	bRhaspatiH iva-abravIt-deva mahA-kula--samBUtAH ete rAja-putrAH | tat mayA
   nītiṃ grāhayituṃ śakyante | yataḥ-	nItim grAhayitum Sakyante | yatas--
   nādravye nihitā kācit kriyā phalavatī bhavet |	na-adravye nihitA kAcid kriyA PalavatI Bavet |
   na vyāpāra-śatenāpi śukavat pāṭhyate bakaḥ // Hit_0.42 //	na vyApAra--Satena-api Suka-vat pAWyate bakaH // Hit-_0.42 //
   anyac ca-	anyat ca-
   asmiṃs tu nirguṇaṃ gotre nāpatyam upajāyate |	asmin tu nirguNam gotre na-apatyam upajAyate |
   ākare padya-rāgānāṃ janma kāca-maṇeḥ kutaḥ // Hit_0.43 //	Akare padya--rAgAnAm janma kAca-maNeH kutas // Hid-_0.43 //
   ato 'haṃ ṣaṇ-māsābhyantare bhavat-putrān nīti-śāstrābhijñān kariṣyāmi |	atas aham zaN--mAsa-aByantare Bavat-putrAn nIti--SAstra-aBijQAn karizyAmi |
   rājā sa-vinayaṃ punar uvāca |	rAjA sa-vinayam punar uvAca |
   kīṭo 'pi sumanaḥ-saṅgād ārohati satāṃ śiraḥ |	kIwaH api sumanaH--saFgAt Arohati satAm SiraH |
   aśmāpi yāti devatvaṃ mahadbhiḥ supratiṣṭhitaḥ // Hit_0.44 //	aSmA-api yAti deva-tvam mahadBiH su-pratizWitaH // Hit-_0.44 //
   anyac ca-	anyat ca-
   yathodaya-girer dravyaṃ sannikarṣeṇa dīpyate |	yaTA-udaya-gireH dravyam sannikarzeNa dIpyate |
   tathā sat-sannidhānena hīna-varṇo 'pi dīpyate // Hit_0.45 //	taTA sat--sanniDAnena hIna-varNaH api dIpyate // Hid-_0.45 //
   guṇā guṇajñeṣu guṇā bhavanti	guNAH guNa-jQezu guNAH Bavanti
   te nirguṇaṃ prāpya bhavanti doṣāḥ |	te nirguNam prApya Bavanti dozAH |
   āsvādya-toyāḥ pravahanti nadyaḥ	AsvAdya--toyAH pravahanti nadyaH
   samudram āsādya bhavanty upeyāḥ // Hit_0.46 //	samudram AsAdya Bavanti upeyAH // Hit-_0.46 //
   tad eteṣām asmat-putrāṇāṃ nīti-śāstropadeśāya bhavantaḥ pramāṇam ity uktvā	tat etezAm asmat-putrANAm nIti-SAstra-upadeSAya BavantaH pramANam iti uktvA
   tasya viṣṇu-śarmaṇo kare bahumāna-puraḥsaraṃ putrān samarpitavān //	tasya vizNu-SarmaNaH kare bahu-mAna--puraHsaram putrAn samarpitavAn //
   --o)0(o--	--aH-)0(o--
   i.	i.
   mitra-lābhaḥ	mitra-lABaH
   atha prāsāda-pṛṣṭhe sukhopaviṣṭānāṃ rājaputrāṇāṃ purastāt prastāva-krameṇa	aTa prAsAda--pRzWe suKa-upavizwAnAm rAja-putrANAm purastAt prastAva--krameNa
   paṇḍito 'bravīt-bho rāja-putrāḥ śṛṇuta-	paNxitaH abravIt-BaH rAja--putrAH SRNuta-
   kāvya-śāstra-vinodena kālo gacchati dhīmatām |	kAvya--SAstra-vinodena kAlaH gacCati DImatAm |
   vyasanena tu mūrkhāṇāṃ nidrayā kalahena vā // Hit_1.1 //	vyasanena tu mUrKANAm nidrayA kalahena vA // Hit-_1.1 //
   tad bhavatāṃ vinodāya kāka-kūrmādīnāṃ vicitrāṃ kathāṃ kathayiṣyāmi |	tat BavatAm vinodAya kAka-kUrma-AdInAm vicitrAm kaTAm kaTayizyAmi |
   rāja-putrair uktam-ārya ! kathyatāṃ | viṣṇu-śarmovāca-śṛṇuta yūyam |	rAja--putrEH uktam--AryaH ! kaTyatAm | vizNu-SarmA-uvAca--SRNuta yUyam |
   samprati mitra-lābhaḥ prastūyate | yasyāyam ādyaḥ ślokaḥ-	samprati mitra-lABaH prastUyate | yasya-ayam AdyaH SlokaH-
   asādhanā vitta-hīnā buddhimantaḥ suhṛn-matāḥ |	asADanAH vitta--hInAH budDimantaH suhRn-matAH |
   sādhayanty āśu kāryāṇi kāka-kūrma-mṛgākhuvat // Hit_1.2 //	sADayanti ASu kAryANi kAka-kUrma--mRga-AKu-vat // Hid-_1.2 //
   rājaputrā ūcuḥ-katham etat ?	rAja-putrAH UcuH-kaTam etat ?
   so 'bravīt-asti godāvarī-tīre viśālaḥ śālmalī-taruḥ | tatra nānā-dig-deśād	saH abravIt--asti godAvarI--tIre viSAlaH SAlmalI-taruH | tatra nAnA-diS--deSAt-
   āgatya rātrau pakṣiṇo nivasanti | atha kadācid avasannāyāṃ rātrau	Agatya rAtrO pakziNaH nivasanti | aTa kadAcid avasannAyAm rAtrO
   astācala-cūḍāvalambini bhagavati kumudinī-nāyake candramasi |	asta-acala--cUxa-avalambini Bagavati kumudinI-nAyake candramasi |
   laghupatana-nāmā vāyasaḥ prabuddhaḥ kṛtāntam iva dvitīyam aṭantaṃ	laGupatana--nAmA vAyasaH prabudDaH kRtAntam iva dvitIyam awantam
   pāśa-hastaṃ vyāgham apaśyat | tam ālokyācintayat-adya prātar	pASa-hastam vyAGam apaSyat | tam Alokya-acintayat-adya prAtar
   evāniṣṭa-darśanaṃ jātam | na jāne kim anabhimataṃ darśayiṣyati | ity uktvā	eva-anizwa--darSanam jAtam | na jAne kim anaBimatam darSayizyati | iti uktvA
   tad anusaraṇa-krameṇa vyākulaś calati | yataḥ-	tat anusaraNa-krameNa vyAkulaH calati | yatas--
   śoka-sthāna-sahasrāṇi bhaya-sthāna-śatāni ca |	Soka--sTAna--sahasrANi Baya--sTAna--SatAni ca |
   divase divase mūḍham āviśanti na paṇḍitam // Hit_1.3 //	divase divase mUXam AviSanti na paNxitam // Hid-_1.3 //
   anyac ca-viṣayiṇām idam avaśyaṃ kartavyam |	anyat ca-vizayiNAm idam avaSyam kartavyam |
   utthāyotthāya boddhavyaṃ kim adya sukṛtaṃ kṛtam |	utTAya-utTAya bodDavyam kim adya sukRtam kRtam |
   āyuṣaḥ khaṇḍam ādāya ravir astaṃ gamiṣyati // Hit_1.4 //	AyuzaH KaNxam AdAya raviH astam gamizyati // Hit-_1.4 //
   atha tena vyādhena taṇḍula-kaṇān vikīrya jālaṃ vistīrṇam | sa ca tatra	aTa tena vyADena taNxula--kaNAn vikIrya jAlam vistIrNam | sa ca tatra
   pracchanno bhūtvā sthitaḥ | asminn eva kāle citragrīva-nāmā kapota-rājaḥ	pracCannaH BUtvA sTitaH | asmin eva kAle citragrIva--nAmA kapota-rAjaH
   sa-parivāro viyati visarpaṃs taṇḍula-kaṇān avalokayāmāsa | tataḥ	sa-parivAraH viyati visarpan taNxula-kaNAn avalokayAmAsa | tatas-
   kapota-rājas taṇḍula-kaṇa-lubdhān kapotān prāha-kuto 'tra nirjane vane	kapota-rAjaH taNxula--kaNa-lubDAn kapotAn prAha-kutas atra nirjane vane
   taṇḍula-kaṇānāṃ sambhavaḥ | tan nirūpyatāṃ tāvat | bhadram idaṃ na paśyāmi	taNxula--kaNAnAm samBavaH | tat nirUpyatAm tAvat | Badram idam na paSyAmi
   prāyeṇānena taṇḍula-kaṇa-lobhenāsmābhir api tathā bhavitavyam |	prAyeNa-anena taNxula--kaNa--loBena-asmABiH api taTA Bavitavyam |
   kaṅkaṇasya tu lobhena magnaḥ paṅke sudustare |	kaFkaNasya tu loBena magnaH paFke su-dustare |
   vṛddha-vyāghreṇa samprāptaḥ pathikaḥ sammṛtaḥ // Hit_1.5 //	vRdDa--vyAGreNa samprAptaH paTikaH sammRtaH // Hit-_1.5 //
   kapotā ūcuḥ-katham etat ?	kapotAH UcuH-kaTam etat ?
   kathā 1	kaTA 1
   so 'bravīt-aham ekadā dakṣiṇāraṇye carann apaśyam eko vṛddho vyāghraḥ	saH abravIt--aham ekadA dakziNa-araNye caran apaSyam ekaH vRdDaH vyAGraH
   snātaḥ kuśa-hastaḥ saras-tīre brūte-bho bho panthāḥ ! idaṃ	snAtaH kuSa--hastaH saras--tIre brUte-Bo Bo panTAH ! idam
   suvarṇa-kaṅkaṇaṃ gṛhyatām | tato lobhākṛṣṭena kenacit pānthena	suvarNa--kaFkaNam gRhyatAm | tatas loBa-AkRzwena kenacid pAnTena
   ālocitam-bhāgyena etat sambhavati | kintu asmin ātma-sandehe pravṛttir na	Alocitam--BAgyena etat samBavati | kintu asmin Atma--sandehe pravRttiH na
   vidheyā | yataḥ-	viDeyAH | yatas--
   aniṣṭād iṣṭa-lābhe'pi na gatir jāyate śubhā |	anizwAt izwa--lABe-api na gatiH jAyate SuBA |
   yatrāste viṣa-saṃsargo 'mṛtaṃ tad api mṛtyave // Hit_1.6 //	yatra-Aste viza--saMsargaH amRtam tat api mRtyave // Hit-_1.6 //
   kintu sarvatrārthārjana-pravṛttau sandeha eva | tathā coktam-	kintu sarvatra-arTa-arjana--pravRttO sandehaH eva | taTA ca-uktam-
   na saṃśayam anāruhya naro bhadrāṇi paśyati |	na saMSayam anAruhya naraH BadrANi paSyati |
   saṃśayaṃ punar āruhya yadi jīvati paśyati // Hit_1.7 //	saMSayam punar Aruhya yadi jIvati paSyati // Hit-_1.7 //
   tan nirūpayāmi tāvat | prakāśaṃ brūte | kutra tava kaṅkaṇam ? vyāghro	tat nirUpayAmi tAvat | prakASam brUte | kutra tava kaFkaNam ? vyAGraH-
   hastaṃ prasārya darśayati | pāntho 'vadat-kathaṃ mārātmake tvayi viśvāsaḥ	hastam prasArya darSayati | pAnTaH avadat--kaTam mAra-Atmake tvayi viSvAsaH
   vyāghra uvāca-śṛṇu re pāntha ! prāg eva yauvana-daśāyām aham atīva	vyAGraH uvAca--SRNu re pAnTa ! prAk eva yOvana-daSAyAm aham atIva
   durvṛtta āsam | aneka-go-mānuṣāṇāṃ vadhād me putrā mṛtā dārāś ca |	durvRttaH Asam | aneka--go--mAnuzANAm vaDAt me putrAH mRtAH dArAH ca |
   vaṃśa-hīnaś cāham | tataḥ kenacid dhārmikeṇāham upadiṣṭaḥ |	vaMSa-hInaH ca-aham | tatas kenacid DArmikeNa-aham upadizwaH |
   dāna-dharmādikaṃ caratu bhavān iti | tad-upadeśādi-dānīm ahaṃ snāna-śīlo	dAna--Darma-Adikam caratu BavAn iti | tad--upadeSa-Adi--dAnIm aham snAna--SIlaH-
   dātā vṛddho galita-nakha-dantaḥ na kathaṃ viśvāsa-bhūmiḥ ? uktaṃ ca-	dAtA vRdDaH galita-naKa--dantaH na kaTam viSvAsa--BUmiH ? uktam ca-
   ijyā'dhyayana-dānāni tapaḥ satyaṃ dhṛtiḥ kṣamā |	ijyA-aDyayana-dAnAni tapaH satyam DRtiH kzamA |
   alobha iti mārgo 'yaṃ dharmasyāṣṭa-vidhaḥ smṛtaḥ // Hit_1.8 //	aloBaH iti mArgaH ayam Darmasya-azwa-viDaH smRtaH // Hit-_1.8 //
   tatra pūrvaś caturvargo dambhārtham api sevyate |	tatra pUrvaH caturvargaH damBa-arTam api sevyate |
   uttaras tu caturvargo mahātmany eva tiṣṭhati // Hit_1.9 //	uttaraH tu caturvargaH mahAtmani eva tizWati // Hit-_1.9 //
   mama caitāvān lobha-virahaḥ | yena sva-hasta-stham api suvarṇa-kaṅkaṇaṃ	mama ca-etAvAn loBa-virahaH | yena sva-hasta-sTam api suvarNa--kaFkaNam
   yasmai kasmaicid dātum icchāmi tathāpi vyāghro mānuṣaṃ khādatīti	yasmE kasmEcid dAtum icCAmi taTA-api vyAGraH mAnuzam KAdati-iti
   lokāpavādo durnivāraḥ | yataḥ-	loka-apavAdaH durnivAraH | yatas--
   gatānugatiko lokaḥ kuṭṭanīm upadeśinīm |	gatAnugatikaH lokaH kuwwanIm upadeSinIm |
   pramāṇayati no dharme yathā goghnam api dvijam // Hit_1.10 //	pramANayati naH Darme yaTA go-Gnam api dvijam // Hit-_1.10 //
   mayā ca dharma-śāstrāṇi adhītāni | śṛṇu-	mayA ca Darma-SAstrANi aDItAni | SRNu-
   maru-sthalyāṃ yathā vṛṣṭiḥ kṣudhārte bhojanaṃ tathā |	maru--sTalyAm yaTA vRzwiH kzuDA-Arte Bojanam taTA |
   daridre dīyate dānaṃ saphalaṃ pāṇḍu-nandana // Hit_1.11 //	daridre dIyate dAnam saPalam pANxu-nandana // Hit-_1.11 //
   prāṇā yathātmano 'bhīṣṭā bhūtānām api te tathā |	prANAH yaTA-AtmanaH aBIzwAH BUtAnAm api te taTA |
