   cittaparikarma dvādaśaḥ paricchedaḥ ||	citta-parikarma dvAdaSaH paricCedaH ||
   labdho 'dhunā sa pravaraḥ kṣaṇo 'dya tyajati pramādaṃ yadi moktukāma |	labDaH aDunA sa pravaraH kzaNaH adya tyajati pramAdam yadi moktu-kAmaH |
   iti ||	iti ||
   tathā |	taTA |
   mayôpamaṃ vitatham etat svapnôpamaṃ ca saṃskṛtam avekṣya na cirād	mayô-pamam vitaTam etat svapnô-pamam ca saMskRtam avekzya na cirAt-
   bhaviṣyati viyogaḥ sarvapriyaiḥ |	Bavizyati viyogaH sarva-priyEH |
   na nityam iha kaścit |	na nityam iha kaScid |
   udyujya yathā ghaṭata nityaṃ pāramitāsu bhūmiṣu baleṣu |	udyujya yaTA Gawata nityam pAramitAsu BUmizu balezu |
   mā jātu sraṃsaya vīryaṃ yāvan na budhyathā pravarabodhim |	mA jAtu sraMsaya vIryam yAvat na buDyaTA pravara-boDim |
   iti ||	iti ||
   āryalalitavistare 'py uktaṃ |	Arya-lalita-vistare api uktam |
   jvalitaṃ tribhuvaṃ jaravyādhidukhair maraṇâgnipradīptam anātham idam |	jvalitam tri-Buvam jara-vyADi-duKEH maraNâgni-pradIptam anATam idam |
   bhavaniḥśaraṇe sada mūḍha jagad bhramati bhramaro yathā kumbhagataḥ ||	Bava-niHSaraNe sada mUXa jagat Bramati BramaraH yaTA kumBa-gataH ||
   [ Bendall ed p204 ---> ]	[ Bet-dalt ed p204 ---> ]
   adhruvaṃ tribhuvaṃ śaradabhranibhaṃ naṭaraṅgasamā jagi janmacyutiḥ |	aDruvam tri-Buvam Sarad-aBra-niBam nawaraFga-samA jagi janma-cyutiH |
   girinadyasamaṃ laghuśīghrajavaṃ vrajatāyu jage yatha vidyu nabhe || bhuvi	giri-nadi-asamam laGu-SIGra-javam vrajata-Ayu jage yaTa vidyu naBe || Buvi
   devapure triapāyapathe bhavatṛṣṇâvidyavaśā janatā |	deva-pure triapAya-paTe Bava-tRzNâ-vidya-vaSA janatA |
   parivarttiṣu pañcagatiṣv abudhā yatha kumbhakarasya hi cakra bhramī ||	parivarttizu paQcagatizu abuDAH yaTa kumBakarasya hi cakra BramI ||
   priyarūpavaraiḥ sada snigdharutaiḥ śubhagandharasair varasparśasukhaiḥ |	priya-rUpa-varEH sada snigDa-rutEH SuBa-ganDa-rasEH vara-sparSa-suKEH |
   pariṣiktam idaṃ kalipāśa jagat mṛgalubdhakapāśi yathâiva kapi ||	pariziktam idam kali-pASa jagat mRga-lubDaka-pASi yaTâiva kapi ||
   sabhayāḥ saraṇāḥ sada vairakarāḥ bahuśokôpadrava kāmaguṇāḥ |	sa-BayAH saraNAH sadaH vEra-karAH bahu-Sokôpadrava kAma-guNAH |
   asidhārasamā viṣapattranibhāḥ jahitâryajanair yatha mīḍhaghaṭaḥ ||	asi-DAra-samAH vizapattra-niBAH jahitârya-janEH yaTa mIXa-GawaH ||
   smṛtimoṣakarās tamasīkaraṇā bhayahetukarā dukhamūla sadā |	smRti-moza-karAH tamasIkaraNA Baya-hetu-karA duKa-mUla sadA |
   bhavatṛṣṇalatāya vivṛddhikarāḥ sabhayāḥ saraṇā sada kāmaguṇāḥ ||	Bava-tRzNa-latAya vivRdDi-karAH sa-BayAH saraNA sada kAma-guNAH ||
   yathâgnikhadāḥ jvalitāḥ sabhayāḥ tatha kāmême viditâryajanaiḥ |	yaTâgni-KadAH jvalitAH sa-BayAH taTa kAmême viditâryajanEH |
   mahapaṅkasamâśiśūlasamā madhudigdhêva kṣuradhārasamā ||	maha-paFka-samâSiSUla-samA maDudigDêva kzura-DAra-samA ||
   yatha sarpaśiro yatha mīḍhaghaṭaḥ tatha kāmême viditā viduṣām |	yaTa sarpa-SiraH yaTa mIXa-GawaH taTa kAmême viditAH viduzAm |
   tatha śūlasāmā dvijapeśisamā yatha śvānakaraṃ kiśavaira	taTa SUla-sAmA dvija-peSi-samAH yaTa SvAna-karam kiSavEH-a
   tathôdakacandranibhêmi kāmaguṇāḥ pratibimbêvā girighoṣa yathā |	taTôdaka-candra-niBêmi kAma-guNAH pratibimbêvA giri-Goza yaTA |
   pratibhāsasamā naṭaraṅganibhā tatha svapnasamā viditâryajanaiḥ ||	pratiBAsa-samA nawa-raFga-niBA taTa svapna-samAH viditâryajanEH ||
   [ Bendall ed p205 ---> ]	[ Bet-dalt ed p205 ---> ]
   kṣaṇikāvasikêmi kāmaguṇāḥ tatha māyamarīcisamâlikôdakabudbudaphenasamā	kzaNikA-vasikêmi kAma-guNAH taTa mAya-marIci-samâlikôdaka-budbuda-Pena-samA
   vitathāḥ parikalpasamutthita buddha budhaiḥ ||	vitaTAH parikalpa-samutTita budDa buDEH ||
   prathame vayase vararūpadharaḥ priyêṣṭamato iya bālacārī |	praTame vayase vara-rUpa-DaraH priyêzwam-atas iya bAla-cArI |
   jaravyādhidukhair hatatejavapuṃ vijahanti mṛgêva śuṣkanadīm ||	jara-vyADi-duKEH hata-tejavapum vijahanti mRgêva Suzka-nadIm ||
   dhanadhānyavaro bahudravyabalī priyêṣṭamato iya bālacārī |	Dana-DAnya-varaH bahu-dravya-balI priyêzwam-atas iya bAla-cArI |
   parihīṇadhanaṃ puna kṛcchragataṃ vijahanti narêva śūnyaṭavīm ||	parihINa-Danam puna kRcCra-gatam vijahanti narêva SUnyawavIm ||
   yatha puṣpadrumo saphalo va drumo narudānarataḥ tatha prītikaraḥ |	yaTa puzpadrumaH saPalaH vaH drumaH narudAna-rataH taTa prIti-karaH |
   dhanahīnu jarârditu yācanako bhavate tadâpriyagṛdhrasamaḥ ||	Dana-hInu jarârditu yAcanakaH Bavate tad-âpriya-gRDra-samaH ||
   prabhudravyabalī vararūpadharaḥ priyasaṅgamanêndriyaprītikaraḥ |	praBu-dravya-balI vara-rUpa-DaraH priya-saFga-manêndriya-prIti-karaH |
   jarāvyādhidukhârditu kṣīṇadhano bhavate tadâpriyamṛtyusamaḥ ||jarayā	jarA-vyADi-duKârditu kzINa-DanaH Bavate tad-âpriya-mRtyu-samaH ||jarayA
   jaritaḥ samatītavayo druma vidyuhato va yathā bhavati |	jaritaH samatIta-vayaH druma vidyu-hataH va yaTA Bavati |
   jarajīrṇâgāra yathā sabhayo jaraniḥśaraṇaṃ laghu brūhi mune ||	jara-jIrNâ-gAra yaTA sa-BayaH jara-niHSaraNam laGu brUhi mune ||
   jara śoṣayate naranārigaṇaṃ yatha mālulatā ghana śālavanam |	jara Sozayate nara-nAri-gaNam yaTa mAlula-tA Gana SAla-vanam |
   jara vīryaparākramavegaharī jara paṅkanimagna yathā puruṣo ||	jara vIrya-parAkrama-vega-harI jara paFka-nimagna yaTA puruzaH ||
   jara rūpa surūpavirūpakarī jara tejaharī balasthāmaharī |	jara rUpa surUpa-virUpa-karI jara teja-harI balasTAma-harI |
   sada saukhyaharī paribhāvakarī jara mṛtyukarī jarâujaharī ||	sada sOKya-harI pariBAva-karI jara mRtyukarI jarâu-jaharI ||
   bahurogaśatair ghanavyādhidukhaiḥ upasṛṣṭu jagaj jvalanêva mṛgāḥ |	bahu-roga-SatEH Gana-vyADi-duKEH upasRzwu jagat jvalanêva mRgAH |
   jara vyādhigataṃ prasamīkṣya jagat dukhaniḥśaraṇaṃ laghu deśaya hī ||	jara vyADi-gatam prasamIkzya jagat duKa-niHSaraNam laGu deSaya hI ||
   [ Bendall ed p206 ---> ]	[ Bet-dalt ed p206 ---> ]
   śiśirehi yathā himadhātu mahaṃ tṛṇagulmavanâuṣadhi ojaharo |	SiSirehi yaTA himaDAtu maham tRNa-gulma-vanâuzaDi oja-haraH |
   tathâujaharo 'yu vyādhi jage parihīyatîndriyarūpabalam ||	taTâuja-haraH ayu vyADi jage parihIyatîndriya-rUpa-balam ||
   dhanadhānyamahârthakṣayântakaraḥ paribhāvakaraḥ sad vyādhi jage |	Dana-DAnya-mahârTa-kzayânta-karaH pariBAva-karaH sat vyADi jage |
   pratighātakaraḥ priyadveṣakaraḥ paridāhakaro yatha sūryu nabhe ||	pratiGAta-karaH priya-dveza-karaH paridAha-karaH yaTa sUryu naBe ||
   maraṇaṃ cyavanaṃ cyuti kālakriyā priyadravyajanena viyogu sadā |	maraNam cyavanam cyuti kAla-kriyA priya-dravya-janena viyogu sadA |
   apunâgamanaṃ câsaṃgamanaṃ drumapattraphalā nadiśrotu yathā ||	apunâgamanam câ-saMgamanam druma-pattra-PalA nadiSrotu yaTA ||
   maraṇaṃ vaśitān avaśīkurute maraṇaṃ harate nadi dāru yathā |	maraNam vaSitAn avaSIkurute maraNam harate nadi dAru yaTA |
   asahāyanaro vrajate 'dvitīyaḥ svakakarmaphalânugato vivaśaḥ ||	asahAya-naraH vrajate advitIyaH svaka-karma-PalânugataH vivaSaH ||
   maraṇaṃ grasate bahu prāṇiśatān makaro va jalâkari bhūtagaṇān |	maraNam grasate bahu prANi-SatAn makaraH va jalâkari BUta-gaNAn |
   garuḍo uragaṃ mṛgarāja gaja jvalano va tṛṇâuṣadhibhūtagaṇam |	garuxaH uragam mRgarAja gaja jvalanaH va tRNâuzaDi-BUta-gaNam |
   iti ||	iti ||
   rājâvavādakasūtre 'py āha |	rAjâvavAdaka-sUtre api Aha |
   tad yathā mahārāja catasṛbhyo digbhyaś catvāraḥ parvatâgaccheyur dṛḍhāḥ |	tat yaTA mahA-rAja catasRByaH digByaH catvAraH parvatâ-gacCeyuH dRXAH |
   [ Cambridge MS f96a ---> ]	[ Cambridge M f96aH ---> ]
   sāravanto 'khaṇḍâcchidrâsuṣirāḥ susaṃvṛtâikaghanā nabhaḥ spṛśantaḥ	sAravantaH aKaNxâ=-Cidrâ-suzirAH su-saMvRtâika-GanAH naBaH spRSantaH
   pṛthivīṃ côllikhantaḥ sarvatṛṇakāṣṭhaśākhāparṇapalāśâdi	pRTivIm côlliKantaH sarva-tRNa-kAzWa-SAKA-AparNa-palASâdi
   sarvasatvaprāṇibhūtāni nirmathnantas tebhyo na sukaraṃ javena vā palāyituṃ	sarva-satva-prANi-BUtAni nirmaTnantaH teByaH na sukaram javena vA palAyitum
   balena vā dravyamantrâuṣadhibhir vā nivartayitum |	balena vA dravya-mantrâuzaDiBiH vA nivartayitum |
   evam eva mahārāja catvārîmāni mahābhayāny āgacchanti yeṣāṃ na sukaraṃ	evam eva mahA-rAja catvArîmAni mahA-BayAni AgacCanti yezAm na sukaram
   javena vā palāyituṃ balena	javena vA palAyitum balena
   [ Bendall ed p207 ---> ]	[ Bet-dalt ed p207 ---> ]
   dravyamantrâuṣadhair vā nivartanaṃ kartum |	dravya-mantrâuzaDEH vA nivartanam kartum |
   katamāni catvāri |	katamAni catvAri |
   jarā vyādhir maraṇaṃ vipattiś ca ||	jarA vyADiH maraNam vipattiH ca ||
   jarā mahārājâgacchati yauvanaṃ pramathamānā |	jarA mahA-rAjâgacCati yOvanam pramaTamAnAH |
   vyādhir mahārājâgacchaty ārogyaṃ pramathamānaḥ |	vyADiH mahA-rAjâgacCati Arogyam pramaTamAnaH |
   maraṇam āgacchati jīvitaṃ pramathamānaṃ |	maraNam AgacCati jIvitam pramaTamAnam |
   vipattir mahārājâgacchati sarvāḥ saṃpattīḥ pramathamānā |	vipattiH mahA-rAjâgacCati sarvAH saMpattIH pramaTamAnAH |
   tat kasya hetoḥ |	tat kasya hetoH |
   tad yathā mahārāja siṃho mṛgarājo rūpasaṃpanno javasaṃpannaḥ	tat yaTA mahA-rAja siMhaH mRgarAjaH rUpa-saMpannaH java-saMpannaH
   sujātanakhadaṃṣṭrākarālo mṛgagaṇam anupraviśya mṛgaṃ gṛhītvā	su-jAta-naKa-daMzwrA-karAlaH mRga-gaNam anupraviSya mRgam gRhItvA
   yathākāmakaraṇīyaṃ karoti |	yaTAkAma-karaNIyam karoti |
   sa ca mṛgo 'tibalaṃ vyāḍamukham āsādya vivaśo bhavati |	sa ca mRgaH ati-balam vyAxa-muKam AsAdya vivaSaH Bavati |
   evam eva mahārāja viddhasya mṛtyuśalyenâpagatamadasyâparāyaṇasya marmasu	evam eva mahA-rAja vidDasya mRtyu-Salyenâpagata-madasyâparAyaNasya marmasu
   chidyamāneṣu mucyamāneṣu sandhiṣu māṃsaśoṇite pariśuṣyamāṇe	CidyamAnezu mucyamAnezu sanDizu mAMsa-SoNite pariSuzyamANe
   paritaptatṛṣitavihvalavadanasya	paritapta-tRzita-vihvala-vadanasya
   karacaraṇavikṣepâbhiyuktasyâkarmaṇyasyâsamarthasya	kara-caraNa-vikzepâBiyuktasyâkarmaNi-asyâsamarTasya
   lālāsiṅghāṇakapūyamūtrapurīṣôpaliptasya īṣajjīvitâvaśeṣasya karmabhavāt	lAlA-siFGANa-kapUya-mUtra-purIzôpaliptasya Izat-jIvitâ-vaSezasya karma-BavAt-
   punar bhavam ālambānasya yamapuruṣabhayabhītasya kālarātrivaśagatasya	punar Bavam AlambAnasya yama-puruza-Baya-BItasya kAlarAtri-vaSa-gatasya
   caramâśvāsapraśvāseṣûparudhyamāneṣu e	caramâSvAsa-praSvAsa-izû-paruDyamAnezu e
   kākino 'dvitīyasyâsahāyasyêmaṃ lokaṃ jahataḥ paralokam ākrāmato mahāpathaṃ	kAkinaH advitIyasyâsahAyasi-êmam lokam jahataH para-lokam AkrAmataH mahApaTam
   vrajato mahākāntāraṃ praviśato mahāgahanaṃ samavagāhamānasya mahândhakāraṃ	vrajataH mahA-kAntAram praviSataH mahA-gahanam samavagAhamAnasya mahânDakAram
   pratipadyamānasya mahârṇavenôrjyamānasya	pratipadyamAnasya mahârNavenôrjyamAnasya
   karmavāyunâhriyamāṇasyânimittīkṛtāṃ diśaṃ gacchato nânyat trāṇaṃ nânyac	karma-vAyunâhriyamANasyânimittIkRtAm diSam gacCataH nânyat trANam nânya-t-
   charaṇaṃ nânyat parāyaṇam ṛte dharmāt |	CaraNam nânyat parAyaNam Rte DarmAt |
   dharmo hi mahārāja tasmin samaye trāṇaṃ layanaṃ śaraṇaṃ parāyaṇaṃ bhavati	DarmaH hi mahA-rAja tasmin samaye trANam layanam SaraNam parAyaNam Bavati
   tad yathā śītârttasyâgnipratāpaḥ |	tat yaTA SItârttasi-âgni-pratApaH |
   agnim apagatasyânirvāpaṇaṃ |	agnim apagatasyânirvApaNam |
   uṣṇârttasya śaityaṃ |	uzNârttasya SEtyam |
   adhvānaṃ pratipannasya śī-	aDvAnam pratipannasya SI-
   [ Cambridge MS f96b ---> ]	[ Cambridge M f96B ---> ]
   talaṃ chāyôpavanaṃ |	talam CAyôpavanam |
   pipāsitasya śītalajalaṃ |	pipAsitasya SItala-jalam |
   bubhukṣitasya vā praṇītam annaṃ |	buBukzitasya vA praNItam annam |
   vyādhitasya vaidyâuṣadhiparicārakāḥ |	vyADitasya vEdyâuzaDi-paricArakAH |
   bhayabhītasya balavantaḥ sahāyāḥ |	Baya-BItasya balavantaH sahAyAH |
   sādhavaḥ pratiśaraṇā bhavanti |	sADavaH pratiSaraNAH Bavanti |
   evam eva mahārāja viddhasya	evam eva mahA-rAja vidDasya
   mṛtyuśalyenâpagatamadasyâtrāṇasyâśaraṇasyâparāyaṇasya nânyat trāṇaṃ nânyat	mRtyu-Salyenâpagata-madasyâtrANasyâSaraNasyâparAyaNasya nânyat trANam nânyat-
   parāyaṇam anyatra dharmāt |	parAyaNam anyatra DarmAt |
   tasmāt tarhi te mahārājânityatânudarśinā bhavitavyaṃ kṣayavyayânudarśinā	tasmAt tarhi te mahA-rAjâ-nitya-tânu-darSinA Bavitavyam kzaya-vyayânudarSinA
   bhavitavyaṃ maraṇabhayabhītena |	Bavitavyam maraNa-Baya-BItena |
   dharmeṇâiva te mahārāja rājyaṃ kārayitavyaṃ nâdharmeṇa |	DarmeNâiva te mahA-rAja rAjyam kArayitavyam nâDarmeNa |
   [ Bendall ed p208 ---> ]	[ Bet-dalt ed p208 ---> ]
   tat kasya hetoḥ |	tat kasya hetoH |
   asyâpi te mahārājâtmabhāvasyâivaṃ suciram api parirakṣitasya suciram api	asi-âpi te mahA-rAjâtma-BAvasyâivam su-ciram api parirakzitasya su-ciram api
   śucinā praṇītena khādanīyabhojanīyâsvādanīyena saṃtarpitasya	SucinA praNItena KAdanIya-BojanIyâ-svAdanIyena saMtarpitasya
   saṃpravāritasya |	saMpravAritasya |
   kṣutapipāsāparigatasya kālakriyā bhaviṣyati |	kzuta-pipAsA-parigatasya kAla-kriyA Bavizyati |
   evaṃ kāśikauśeyadūkūlapattrôrṇākṣaumâdibhir vastraviśeṣair ācchāditasya	evam kASi-kOSeya-dUkUla-pattrôRNa-akzOmâdiBiH vastra-viSezEH AcCAditasya
   caramaśayanâvasthitasya vividhasvedâmbuklinnamalinavasanâvṛtasya kālakriyā	carama-SayanâvasTitasya viviDa-svedâmbu-klinna-malina-vasanâvRtasya kAla-kriyA
   bhaviṣyati |	Bavizyati |
   evam api te mahārāja	evam api te mahA-rAja
   snānânulepanavāsadhūpapuṣpasurabhigandhasyâtmabhāvasya na cireṇa	snAnânulepana-vAsa-DUpa-puzpa-suraBi-ganDasi-âtma-BAvasya na cireNa
   durgandhatā bhaviṣyati |	durganDa-tA Bavizyati |
   evaṃ stry-āgāramadhyagatasyâpi te strīgaṇaparivṛtasya	evam strI--AgAra-maDya-gatasyâpi te strI-gaNa-parivRtasya
   nānāvādyagītatūryanādyair upagīyamānasya sumanasaḥ krīḍato ramamāṇasya	nAnA-vAdya-gIta-tUryanAdyEH upagIyamAnasya sumanasaH krIxataH ramamANasya
   paricārayato maraṇabhayabhītasyâtīva duṣkhadaurmanasyābhyāṃ kālakriyā	paricArayataH maraNa-Baya-BItasi-âti-iva duzKa-dOrmanasyAByAm kAla-kriyA
   bhaviṣyati |	Bavizyati |
   evam api te mahārāja gṛheṣûpalepanôpalipteṣu susthāpitârgaleṣu	evam api te mahA-rAja gRhezû-palepanôpaliptezu susTApitârgalezu
   supihitavātâyaneṣu bahugandhadhūpapuṣpatailavartiprajvāliteṣv	su-pihita-vAtâyanezu bahuganDa-DUpa-puzpa-tEla-varti-prajvAlitezu-
   āsaktapaṭṭadāmakalāpeṣu muktakusumâvakīrṇeṣu gandhaghaṭikānirdhūpiteṣu	Asakta-pawwa-dAma-kalApezu mukta-kusumâ-vakIrNezu ganDa-GawikA-nirDUpitezu
   anyastapādapīṭhapaṭikâstaraṇagoṇikâstaraṇakācalindikaprāvaraṇasântarôchadapaṭikôbhayakṛtôpadhāneṣu	anyasta-pAda-pIWa-pawikâstaraNa-goNikâstaraNaka-acalindika-prAvaraNa-sântarô-Cada-pawikô-Baya-kRtôpaDAnezu
   paryaṅkeṣu śayitvā |	paryaFkezu SayitvA |
   punaś ca śṛgālakākagṛdhramṛtakaḍevaramāṃsâsthikeśarudhiravaśâkule	punar ca SRgAla-kAka-gRDra-mRta-kaxevara-mAMsâsTi-keSa-ruDira-vaSâkule
   paramabībhatse śmaśāne gataceṣṭasyâtmabhāvaḥ pṛthivyām avaśaḥ śeṣyate |	parama-bIBatse SmaSAne gata-cezwasi-âtma-BAvaH pRTivyAm avaSaH Sezyate |
   evam api te mahārāja gajaskandhâśvapṛṣṭharathâbhirūḍhasya śaṅkhapaṭaheṣv	evam api te mahA-rAja gaja-skanDâSva-pRzWa-raTâBirUXasya SaFKa-pawahezu-
   āhanyamāneṣu chatreṇa dhāryamāṇena bālavyajanena vījaya-	AhanyamAnezu CatreNa DAryamANena bAla-vyajanena vIjaya-
   [ Cambridge MS f97a ---> ]	[ Cambridge M f97aH ---> ]
   mānasyânekahastyaśvarathapadātibhir anuyātasyâñjaliśatasahasrair	mAnasyâneka-hasti-aSva-raTa-padAtiBiH anuyAtasi-âQjali-Sata-sahasrEH-
   namaskriyamāṇasya |	namaskriyamANasya |
   nirgamanam anubhūya na cirān niśceṣṭasya mṛtaśayanâbhirūḍhasya caturbhiḥ	nirgamanam anuBUya na cirAt niScezwasya mRta-SayanâBirUXasya caturBiH
   puruṣair utkṣiptasya dakṣiṇena nagaradvāreṇa nirṇītasya	puruzEH utkziptasya dakziNena nagara-dvAreNa nirNItasya
   mātāpitṛbhrātṛbhaginībhāryāputraduhitṛvayasyadāsīdāsakarmakarapauruṣeyaiḥ	mAtA-pitR-BrAtR-BaginI-BAryA-putra-duhitR-vayasya-dAsI-dAsa-karmakara-pOruzeyEH
   śokagatahṛdayair vikṣiptakeśair utkṣiptabhujaiḥ sôrastāḍaṃ paramakaruṇaṃ |	Soka-gata-hRdayEH vikzipta-keSEH utkzipta-BujEH sôraH-tAxam parama-karuNam |
   hā putra hā nātha hā tāta hā svāminn ity ākrandamānaiḥ paurajānapadaiḥ	hA putra hA nATa hA tAta hA svAmin iti AkrandamAnEH pOra-jAnapadEH
   saparibhāvadṛśyamānasya śmaśānaṃ nītasya punaḥ kākagṛdhraśvaśṛgālâdibhir	sa-pariBAva-dRSyamAnasya SmaSAnam nItasya punar kAka-gRDra-Sva-SRgAlâdiBiH-
   bhakṣitasya tāny asthīny agninā vā dagdhāni pṛthivyāṃ vā nikhā-	Bakzitasya tAni asTIni agninA vA dagDAni pRTivyAm vA niKA-
   [ Bendall ed p209 ---> ]	[ Bet-dalt ed p209 ---> ]
