   samāsasūtra -	samAsa-sUtra -
   rūpatanmātrā rasatanmātrā gandhatanmātrā cetyaṣṭau prakṛtayaḥ santi /	rUpa-tanmAtrA rasa-tanmAtrA ganDa-tanmAtrA ca-iti-azwO prakRtayaH santi /
   atra tattvāntarārambhakatvaṃ prakṛtitvam ataśca mahadādīnāṃ saptānāṃ	atra tattva-antara-AramBaka-tvam prakRti-tvam atas-ca mahat-AdInAm saptAnAm
   pūrvapūrvavikṛtitve 'pi na atiḥ lakṣaṇasamanvayāt /	pUrva-pUrva-vikRti-tve api na atiH lakzaNa-samanvayAt /
   pañca buddhīndriyāṇi pañca karmendriyāṇi manaḥ	paQca budDIndriyANi paQca karmendriyANi manaH
   gaganapavanajvalanasaliladharaṇyākhyāni pañca bhūtāni caitāni ṣoḍaśa	gagana-pavana-jvalana-salila-DaraNya-AKyAni paQca BUtAni ca-etAni zoxaSa
   vikārāḥ vikṛtaya eva na tattvāntārārambhakāṇi sarvaṃ vākyaṃ	vikArAH vikRtayaH eva na tattva-antAra-AramBakANi sarvam vAkyam
   sāvadhāraṇamiti nyāyāt /	sa-avaDAraNam-iti nyAyAt /
   puruṣaḥ pañcaviṃśatitamaṃ tattvam /	puruzaH paQcaviMSatitamam tattvam /
   ayaṃ ca na prakṛtirna vikṛtiḥ tābhyaḥ pṛthakkṛtya nirūpaṇāt /	ayam ca na prakRtiH-na vikRtiH tAByaH pRTakkRtya nirUpaNAt /
   anena jaḍatvapariṇāmitvakartṛtvādidharmavadbhyaḥ prakṛtyādibhyaḥ puruṣasya	anena jaxa-tva-pariNAmi-tva-kartR-tva-Adi-DarmavadByaH prakRti-AdiByaH puruzasya
   vailakṣaṇyamapi sūcitaṃ bhavati tathā ca kārikā /	vElakzaNyam-api sUcitam Bavati taTA ca kArikA /
        mūlaprakṛtiravikṛtirmahadādyāḥ prakṛtivikṛtayaḥ sapta /	mUlaprakRtiH-avikRtiH-mahat-AdyAH prakRti-vikRtayaH sapta /
        ṣoḍaśakastu vikāro na prakṛtirna vikṛtiḥ puruṣaḥ //	zoxaSakaH-tu vikAraH na prakRtiH-na vikRtiH puruzaH //
   iti /	iti /
   nanvetebhyo 'tiriktā anye 'pi bahavo ghaṭapaṭādayaḥ padārthā dṛśyante	nanu-eteByaH atiriktAH anye api bahavaH Gawa-pawa-AdayaH padArTAH dRSyante
   tatkathameṣāmupapattirata āha /	tat-kaTam-ezAm-upapattiH-atas Aha /
   traiguṇyasañcāraḥ // Tats_4 //	trEguNya-saQcAraH // Tats_4 //
   triguṇa eva traiguṇyaṃ sattvarajastamāṃsi teṣāṃ sañcāraḥ	triguNaH eva trEguNyam sattva-rajaH-tamAMsi tezAm saQcAraH
   mattakapotakaṇṭhanyāyena pratikṣaṇaṃ vilakṣaṇapariṇāmo varttata iti śeṣaḥ	matta-kapota-kaNWa-nyAyena pratikzaNam vilakzaNa-pariNAmaH varttate iti SezaH
   anena mūlaprakṛtistriguṇātmikā tritvena ca bhedabodhakena guṇāḥ	anena mUlaprakRtiH-triguNa-AtmikA tri-tvena ca Beda-boDakena guNAH
   parasparaviruddhasvabhāvāḥ prītyaprītiviṣādātmakāḥ sañcāreṇa ca	paraspara-virudDa-svaBAvAH prIti-aprIti-vizAda-AtmakAH saQcAreNa ca
   saṅgatasamyakcaraṇārthakena teṣāṃ nityasabhāvaḥ puruṣārthe jananīye	saFgata-samyak-caraNa-arTakena tezAm nitya-saBAvaH puruza-arTe jananIye
   kāryānusāreṇa parasparasahāyatā ca /	kArya-anusAreNa paraspara-sahAya-tA ca /
   tataśca prakṛtermahadādīnāṃ bhūtebhyaśca ghaṭapaṭādisakalapadārthānāṃ	tatas-ca prakRteH-mahat-AdInAm BUteByaH-ca Gawa-pawa-Adi-sakala-padArTAnAm
   triguṇalakṣaṇapariṇāmādeva saṃsiddhiḥ kāryotpādaśca nāpūrvaḥ	triguNa-lakzaNa-pariNAmAt-eva saMsidDiH kArya-utpAdaH-ca na-apUrvaH
   kintvāvirbhāvamātraṃ sūkṣmakāraṇarūpeṇa sthitasya sthūlakāryakṣamarūpeṇa	kintu-A-AvirBAva-mAtram sUkzma-kAraNa-rUpeNa sTitasya sTUla-kArya-kzama-rUpeNa
   vipariṇāma iti sadvyāptivādaśca ityete siddhāntāḥ saṃsūcitā bhavantīti	vipariNAmaH iti sat-vyAptivAdaH-ca iti-ete sidDAntAH saMsUcitAH Bavanti-iti
   bodhyam //	boDyam //
   nanu guṇānāmanavaratapariṇatisvabhāvatvāt kadācidapi dṛśyajātādarśanaṃ na	nanu guNAnAm-anavarata-pariNati-svaBAva-tvAt kadAcid-api dRSya-jAta-adarSanam na
   syāt tataśca pralayocchedaḥ syādata āha /	syAt tatas-ca pralaya-ucCedaH syAt-atas Aha /
   pratisañcaraḥ // Tats_5 //	pratisaQcaraH // Tats_5 //
   yathā sṛṣṭiprakriyānirvāhakastriguṇapariṇamastathā pratisañcāraḥ	yaTA sRzwi-prakriyA-nirvAhakaH-triguNa-pariNamaH-taTA pratisaQcAraH
   pratikūlopi vipariṇāmosti tathā ca pratilomapariṇāmena tattatkāryāṇāṃ	pratikUlA-upi vipariNAma-usti taTA ca pratiloma-pariNAmena tad-tad-kAryANAm
   svasvakāraṇe laye jāte triguṇāyāḥ prakṛteḥ sāmyasthitireva pralaya iti	sva-sva-kAraNe laye jAte triguNAyAH prakRteH sAmya-sTitiH-eva pralayaH iti
   sūcitam /	sUcitam /
   tadā ca samānapariṇāmatvena vailakṣaṇyānāvirbhāva iti bhāvaḥ //	tadA ca samAna-pariNAma-tvena vElakzaNya-anAvirBAvaH iti BAvaH //
   atha jāyamānasya sukhaduḥkhādervivekārthaṃ traividhyaṃ	aTa jAyamAnasya suKa-duHKa-AdeH-viveka-arTam trEviDyam
   vaktumekenādāvāntaramāha /	vaktum-ekena-AdA=-Antaram-Aha /
   adhyātmam // Tats_6 //	aDyAtmam // Tats_6 //
   ātmānamadhikṛtyetyadhyātmam taddvividhaṃ śārīraṃ mānasaṃ ceti śārīraṃ	AtmAnam-aDikRtya-iti-aDyAtmam tat-dviviDam SArIram mAnasam ca-iti SArIram
   vātapittaśleṣmavaiṣamyanimittaṃ mānasaṃ	vAta-pitta-Slezma-vEzamya-nimittam mAnasam
   kāmakrodhalobhamoherṣyāviṣayaviśeṣadarśanādarśananimittam /	kAma-kroDa-loBa-moha-IrzyA-vizaya-viSeza-darSana-adarSana-nimittam /
   etadubhayamapi āntaropāyasādhyatvādadhyātmamityucyate //	etat-uBayam-api Antara-upAya-sADya-tvAt-aDyAtmam-iti-ucyate //
   bāhyabhedadvayamāha dvābhyām /	bAhya-Beda-dvayam-Aha dvAByAm /
   adhibhūtam // Tats_7 //	aDiBUtam // Tats_7 //
   mānuṣapaśupakṣisarīsṛpasthāvarādibhūtānyadhikṛtya tadadhibhūtamityarthaḥ	mAnuza-paSu-pakzi-sarIsRpa-sTAvara-Adi-BUtAni-aDikRtya tat-aDiBUtam-iti-arTaH
   ādhidaivam // Tats_8 //	ADidEvam // Tats_8 //
   yakṣarākṣasavināyakagrahādyāveśanimittametat /	yakza-rAkzasa-vinAyaka-graha-Adi-AveSa-nimittam-etat /
   idaṃ dvayamapi bāhyopāyasādhyatvādbāhyamityuktam //	idam dvayam-api bAhya-upAya-sADya-tvAt-bAhyam-iti-uktam //
   nanu satsvapi vilakṣaṇeṣu bahuṣu padārtheṣu puruṣasya tatsambandhābhāvāt	nanu satsu-api vilakzaNezu bahuzu padArTezu puruzasya tad-sambanDa-aBAvAt
   kathaṃ tato duḥkhamatastatsāmagrīṃ nirūpayiṣurādau buddhīndriyāṇyāha /	kaTam tatas duHKam-atas-tad-sAmagrIm nirUpayizuH-AdO budDIndriyANi-Aha /
   pañcābhibuddhayaḥ // Tats_9 //	paQca-aBibudDayaH // Tats_9 //
   abhito buddhyante jñāyante vastūnyābhirityabhibuddhayaḥ buddhīndriyāṇi	aBitas budDi-ante jQAyante vastUnyABiH-iti-aBibudDayaH budDIndriyANi
   cakṣuḥśrotraghrāṇarasanatvagākhyāni rūpaśabdagandharasasparśabodhakāni //	cakzuH-Srotra-GrANa-rasana-tvac-AKyAni rUpa-Sabda-ganDa-rasa-sparSa-boDakAni //
   anena ca jñānadvārā yogaṃ darśayituṃ karmendriyāṇyāha /	anena ca jQAna-dvArAH yogam darSayitum karmendriyANi-Aha /
   pañca karmayonayaḥ // Tats_10 //	paQca karma-yonayaH // Tats_10 //
   pañca indriyāṇi karmayonayaḥ karmaṇāṃ vacanādānaviharaṇotsargānandānāṃ	paQca indriyANi karma-yonayaH karmaNAm vacana-AdAna-viharaNa-utsarga-AnandAnAm
   yonayaḥ kāraṇāni tāni ca vākpāṇipādapāyūpasthākhyāni /	yonayaH kAraNAni tAni ca vAc-pANi-pAda-pAyu-upasTa-AKyAni /
   anena karmaṇā tattadviṣayasānnidhyena tattatsambandhaḥ sūcitaḥ //	anena karmaNA tad-tad-vizaya-sAnniDyena tad-tad-sambanDaH sUcitaH //
   atha mahadahaṅkāramanasāmadhyavasāyābhimānasaṅkalpā asādhāraṇyo vṛttayaḥ	aTa mahat-ahaFkAra-manasA-maDya-vasAya-aBimAna-saFkalpAH asADAraNyaH vRttayaH
   tābhirvinendriyadvārā viṣayagrahāsambhavāt taistadgrahoktyā tāsāṃ	tABiH-vinA-indriya-dvArA vizaya-graha-asamBavAt tEH-tad-graha-uktyA tAsAm
   nirūpitaprāyatvena tatsādhāraṇī vṛttirāha /	nirUpita-prAya-tvena tad-sADAraNI vRttiH-Aha /
   pañca vāyavaḥ // Tats_11 //	paQca vAyavaH // Tats_11 //
   pañcasaṃkhyākāḥ prāṇāpānasamānodānavyānākhyāḥ vāyavaḥ mahadahaṅkāramanasāṃ	paQca-saMKyAkAH prANa-apAna-samAna-udAna-vyAn-a-AKyAH vAyavaH mahat-ahaFkAra-manasAm
   sādhāraṇavṛttayaḥ jīvanasādhanāni /	sADAraNa-vRttayaH jIvana-sADanAni /
   tatra prāṇo nāsāgrahṛnnābhipādāṅguṣṭhavṛttiḥ apānaḥ	tatra prANaH nAsA-agra-hRd-nABi-pAda-aFguzWa-vRttiH apAnaH
   kṛkāṭikāpṛṣṭhapāyupārśvopasthavṛttiḥ samāno hṛnnābhisarvasandhivṛttiḥ	kRkAwikA-pRzWa-pAyu-pArSva-upasTa-vRttiH samAnaH hRd-nABi-sarva-sanDi-vRttiH
   udāno hṛtkaṇṭhatālumūrddhabhrūmadhyavṛttiḥ vyānastvavṛttiriti //	udAnaH hRd-kaNWa-tAlu-mUrdDa-BrU-maDya-vRttiH vyAnaH-tu-avRttiH-iti //
   pañcānamaupayogamāha /	paQcAnam-Opayogam-Aha /
   pañca karmātmānaḥ // Tats_12 //	paQca karma-AtmAnaH // Tats_12 //
   bhuktapītāhārajalāderasarudhirādeśca yathāyathaṃ prāpaṇameṣāṃ karma	Bukta-pIta-AhAra-jala-AdeH-asa-ruDira-AdeH-ca yaTAyaTam prApaNam-ezAm karma
   tadekānumeyatvena tatsvarūpātmakatā (?) ityarthaḥ // 12 //	tat-eka-anumeya-tvena tad-svarUpa-Atmaka-tA (?) iti-arTaH // 12 //
   nanvastu jñānakriyādvārā mahadabhimānasarvasaṅkalpānāṃ viṣayayogitvaṃ	nanu-astu jQAna-kriyA-dvArAH mahat-aBimAna-sarva-saFkalpAnAm vizaya-yogi-tvam
   puruṣasya svapariṇāmitayā tanna ghaṭate ityāśaṅkāṃ vinivartayiṣurāha /	puruzasya sva-pariNAmi-tayA tat-na Gawate iti-ASaFkAm vinivartayizuH-Aha /
   pañcaparvāvidyā // Tats_13 //	paQca-parva-avidyA // Tats_13 //
   anātmasvātmakhyātiravidyā sā ca vidyāvirodhinī pañcaparvā bhavati tāni ca	anAtma-sva-Atma-KyAtiH-avidyA sA ca vidyA-viroDinI paQca-parvA Bavati tAni ca
   parvāṇi avidyāsmitārāgadveṣābhiniveśākhyāni /	parvANi avidyA-smitA-rAga-dveza-aBiniveSa-AKyAni /
   tathā ca yadavidyayā viparyayeṇāvadhāryate vastu	taTA ca yat-avidyayA viparyayeNa-avaDAryate vastu
   asmitādayastatsvabhāvāstadabhiniviśante tataścātmano vivekena tatsambandha	asmitA-AdayaH-tad-svaBAvAH-tad-aBiniviSante tatas-ca-AtmanaH vivekena tad-sambanDa
   iti bhāvaḥ // 13 //	iti BAvaH // 13 //
   pañcāśadbhedeśu pratyayasargeṣu pañcaviparyayā nirūpitāḥ adhunā	paQcASat-BedeSu pratyaya-sargezu paQca-viparyayAH nirUpitAH aDunA
   viśiṣṭeṣvaṣṭāviṃśatimaśaktimāha /	viSizwezu-azwAviMSatim-aSaktim-Aha /
   aṣṭāviṃśatidhā 'śaktiḥ // Tats_14 //	azwAviMSatiDA aSaktiH // Tats_14 //
   indriyavadhā ekādaśa vuddhivadhāśca saptadaśa ityetāḥ aśaktaya ucyante /	indriya-vaDAH ekAdaSa vudDi-vaDAH-ca saptadaSaH iti-etAH aSaktayaH ucyante /
   indriyavadhā yathā /	indriya-vaDAH yaTA /
   bādhiryaṃ kuṣṭhatā 'ndhatvaṃ jaḍatā 'jighratā tathā /	bADiryam kuzWa-tA anDa-tvam jaxatA ajiGratA taTA /
   mūkatākauṇyapaṅgutvaklaibyodāvartamandatāḥ /	mUka-tA-kONya-paFgu-tva-klEbya-udAvarta-manda-tAH /
   iti buddhivadhāstu navatuṣṭīnāmaṣṭasiddhīnāṃ ca viparyayādbhavanti	iti budDi-vaDAH-tu nava-tuzwInAm-azwa-sidDInAm ca viparyayAt-Bavanti
   taditthaṃ jātā aśaktayo 'ṣṭāviṃśatidheti // 14 //	tat-itTam jAtAH aSaktayaH azwAviMSatiDA-iti // 14 //
   prasakte tuṣṭisiddhī evāha dvābhyām /	prasakte tuzwi-sidDI eva-Aha dvAByAm /
   navadhā tuṣṭiḥ // Tats_15 //	navaDA tuzwiH // Tats_15 //
   yathoktam /	yaTA-uktam /
   ādhyātmikyaścatasraḥ prakṛtyupādānakālabhāgyākhyāḥ /	ADyAtmikyaH-catasraH prakRti-upAdAna-kAla-BAgya-AKyAH /
   bāhyāḥ viṣayoparamāt pañca nava tuṣṭayobhihitāḥ //	bAhyAH vizaya-uparamAt paQca nava tuzwayA-uBi-hitAH //
   iti	iti
   asyārthaḥ vivekasākṣātkāro hi prakṛtipariṇāmabhedaḥ taṃ ca saiva karotīti	asya-arTaH viveka-sAkzAtkAraH hi prakRti-pariNAma-BedaH tam ca sA-eva karoti-iti
   kṛtaṃ dhyānābhyāseneti kenacidupadiṣṭe tatra tuṣṭiḥ prakṛtyākhyā 1, atha	kRtam DyAna-aByAsena-iti kenacid-upadizwe tatra tuzwiH prakRti-AKyA 1, aTa
   prakṛteḥ sarvān pratyaviśeṣānna kevalaṃ tata eva vivekasākṣātkāraḥ kintu	prakRteH sarvAn pratyaviSezAt-na kevalam tatas eva viveka-sAkzAtkAraH kintu
   pravrajyayetyupadiṣṭe tuṣṭirupādānākhyā 2, pravrajyāpi	pravrajyayA-iti-upadizwe tuzwi-H-upAdAna-AKyA 2, pravrajyA-api
   kālaviśeṣaṇādareṇaiva vivekaṃ janayatyalamuttaptatayā ityupadiṣṭe tuṣṭiḥ	kAla-viSezaNa-AdareNa-eva vivekam janayati-alam-uttapta-tayA iti-upadizwe tuzwiH
   kālākhyā 3, bhāgyenaiva vivekakhyātiriti tuṣṭirbhāgyākhyā 4,	kAla-AKyA 3, BAgyena-eva viveka-KyAtiH-iti tuzwiH-BAgya-AKyA 4,
   ityetāścatasraḥ prakṛtivyatiriktamātmānamadhikṛtya jāyanta ityādhyātmikya	iti-etAH-catasraH prakRti-vyatiriktam-AtmAnam-aDikRtya jAyante iti-ADyAtmikya
   ucyante /	ucyante /
   viṣayāḥ śabdasparśarūparasagandhākhyāḥ pañca teṣu	vizayAH Sabda-sparSa-rUpa-rasa-ganDa-AKyAH paQca tezu
   arjanarakṣaṇakṣayabhogahiṃsādoṣadarśanaṃ tata uparamā viratayopi pañca te	arjana-rakzaNa-kzaya-Boga-hiMsA-doza-darSanam tatas uparamAH viratayA-upi paQca te
   ca mahadahaṅkārādīnanātmana ātmanobhimanyamānasya vairāgye satyutpadyante	ca mahat-ahaFkAra-AdIn-ana-AtmanaH AtmanA-uBim-anyamAnasya vErAgye sati-utpadyante
   'to bāhyā ucyante /	atas bAhyAH ucyante /
   imāśca nava uktaviparyayāḥ 5 aśaktibhiḥ 28 saha dvicatvāriṃśat 42	imAH-ca navaH ukta-viparyayAH 5 aSaktiBiH 28 saha dvicatvAriMSat 42
   siddhiparipanthitvāddheyāḥ // ?// 15 //	sidDi-paripanTi-tvAt-heyAH // ?// 15 //
   aṣṭadhāsiddhiḥ // Tats_16 //	azwaDA-sidDiH // Tats_16 //
   tadyathā ūhaḥ śabdodhyayanaṃ 3 duḥkhavighātāstrayaḥ 6 suhṛtprāptiḥ 7	tat-yaTA UhaH SabdoDyayanam 3 duHKa-viGAtAH-trayaH 6 suhRd-prAptiH 7
   dānañca 8 siddhayoṣṭāviti tatropadeśamantareṇa tattvajñānasya svayamūhādyā	dAnaQca 8 sidDa-yozwO=-iti tatra-upadeSam-antareNa tattva-jQAnasya svayam-Uha-AdyA
   asiddhiḥ sā prathamā 1 anyadīyaśāstrapāṭhamākarṇya jñānotpattau śabdākhyā	asidDiH sA praTamA 1 anyadIya-SAstra-pAWam-AkarNya jQAna-utpattO Sabda-AKyA
   dvitīyā 2 adhyayanatastattvajñāne tṛtīyā 3	dvitIyA 2 aDyaya-nataH-tattva-jQAne tRtIyA 3
   ādhyātmikādhidaivikādhibhautikaduḥkhatrayavighātena tattvajñāne jāte	ADyAtmika-ADidEvika-ADiBOtika-duHKa-traya-viGAtena tattva-jQAne jAte
   siddhitrayam 6 jñānavatsuhṛdo lābhena tattvajñāne suhṛtprāptyākhyā saptamī	sidDi-trayam 6 jQAna-vat-suhRdaH lABena tattva-jQAne suhRd-prApti-AKyA saptamI
   7 dhanādinārādhite jñānini tattvajñāne 'ṣṭamī 8 atra duḥkhavighātarūpāṇāṃ	7 Dana-AdinA-ArADite jQAnini tattva-jQAne azwamI 8 atra duHKa-viGAta-rUpANAm
   tisṛṇāṃ siddhīnāṃ mukhyatvamitarāsāṃ tadupāyatvādgauṇatvaṃ bobhyam /	tisRNAm sidDInAm muKya-tvam-itarAsAm tad-upAya-tvAt-gONa-tvam boByam /
   pañcaviparyayādārabhyāṣṭasiddhiparyantamete pratyayasargāḥ teṣu	paQca-viparyayAt-AraBya-azwa-sidDi-paryantam-ete pratyaya-sargAH tezu
   prakṛtipratyayānyatākhyātiprepsubhirdvicatvāriṃśadādito heyāḥ siddhayastu	prakRti-pratyaya-anyata-AKyAti-prepsuBiH-dvicatvAriMSat-AditaH heyAH sidDayaH-tu
   upādeyā iti tatsvarūpavyākriyayaiva sūcitaṃ bhavati // 16 //	upAdeyAH iti tad-svarUpa-vyAkriyayA-eva sUcitam Bavati // 16 //
   pratyayasargamabhidhāya prakṛtisargamāha /	pratyaya-sargam-aBiDAya prakRti-sargam-Aha /
   daśa mūlikārthāḥ // Tats_17 //	daSa mUlikA-arTAH // Tats_17 //
   daśa arthāḥ padārthāḥ mūlikāḥ santi mūlaṃ prakṛtiḥ puruṣaśca	daSa arTAH padArTAH mUlikAH santi mUlam prakRtiH puruzaH-ca
   tāvāśrayatvena vidyete yeṣām athavā mūlaṃ svabhāvaḥ sa prayojakatvenāsti	tO=-ASraya-tvena vidyete yezAm aTavA mUlam svaBAvaH sa prayojaka-tvena-asti
   yeṣāmiti mūlikā mūlaprakṛtau puruṣe ca vidyamānā iti yāvat tathā ca	yezAm-iti mUlikAH mUlaprakRtO puruze ca vidyamAnAH iti yAvat taTA ca
   rājavārttikam /	rAja-vArttikam /
   pradhānāstitvamekatvamarthavattvamathānyatā /	praDAna-astitvam-eka-tvam-arTavat-tvam-aTa-anya-tA /
   pārārthyaṃ ca tathā naikyaṃ viyogo yoga eva ca //	pArArTyam ca taTA na-Ekyam viyogaH yogaH eva ca //
   śeṣavṛttirakarttṛtvaṃ maulikārthāḥ smṛtā daśa //	Seza-vRttiH-akarttR-tvam mOlikA-arTAH smRtAH daSa //
   atraikatvamarthavattvaṃ pārārthyaṃ pradhāne anyatvaṃ prakṛtyapekṣayā	atra-eka-tvam-arTavat-tvam pArArTyam praDAne anya-tvam prakRti-apekzayA
   akartṛtvaṃ bahutvaṃ puruṣe astitvaṃ yogo viyogaścobhayoḥ /	akartR-tvam bahu-tvam puruze astitvam yogaH viyogaH-ca-uBayoH /
   śeṣavṛttiḥ aṅgāṅgibhāvena guṇānāṃ vṛttiḥ sthūlasūkṣmaśarīrayoriti /	Seza-vRttiH aFgAFgi-BAvena guNAnAm vRttiH sTUla-sUkzma-SarIrayoH-iti /
   atra prakṛtipuruṣayoḥ sādharmyavaidharmyanirūpaṇena dvayoḥ pārthakyena	atra prakRti-puruzayoH sADarmya-vEDarmya-nirUpaNena dvayoH pArTakyena
   jñānaṃ prakṛtipuruṣānyatākhyātibījamiti sūcitaṃ bhavati /	jQAnam prakRti-puruza-anyatA-KyAti-bIjam-iti sUcitam Bavati /
   tathā caiteṣāṃ dharmāṇāṃ tattatsvabhāvabhūtatvena prakṛtisargatāvyavahāra	taTA ca-etezAm DarmANAm tad-tad-svaBAva-BUta-tvena prakRti-sarga-tA-vyavahAra
   iti // 17 //	iti // 17 //
   nanu buddhyādibhireva triguṇātmakaiḥ sakalakāryasiddhau	nanu budDi-AdiBiH-eva triguNa-AtmakEH sakala-kArya-sidDO
   kimadhikaprakṛtyaṅgīkāreṇa ata āha /	kim-aDika-prakRti-aFgIkAreNa atas Aha /
   anugrahasargaḥ // Tats_18 //	anugraha-sargaH // Tats_18 //
   buddhyādibhiḥ svakārye 'haṅkārādau janayitavye	budDi-AdiBiH sva-kArye ahaFkAra-AdO janayitavye
   prakṛteranugrahasahāyopekṣyate anyathā buddhiḥ kṣīṇā satī nālamahaṅkāraṃ	prakRteH-anugraha-sahAya-upekzyate anyaTA budDiH kzINA satI na-alam-ahaFkAram
   janayitumiti sakalopi sargastadanugrahamūlaka evetyarthaḥ /	janayitum-iti sakalopi sargaH-tad-anugraha-mUlakaH eva-iti-arTaH /
   ayameva prakṛtyāpūra ityucyate tathā ca prakṛtyaivāyaṃ sargo neśvareṇa	ayam-eva prakRtyApUraH iti-ucyate taTA ca prakRtyA-eva-ayam sargaH na-ISvareNa
   nāpi brahmopādāno nāpyakāraṇo neśvarādhiṣṭhitaprakṛtita iti sūcyate // 18	na-api brahma-upAdAnaH na-api-akAraNaH na-ISvara-aDizWita-prakRtitaH iti sUcyate // 18
   tanmātrasargamāha /	tanmAtra-sargam-Aha /
   caturdaśavidho bhūtasargaḥ // Tats_19 //	caturdaSaviDaH BUta-sargaH // Tats_19 //
   devatairyagyonamānuṣyabhedena bhūtasargaścaturdaśaprakārako bhavati /	deva-tEryagyona-mAnuzya-Bedena BUta-sargaH-caturdaSa-prakArakaH Bavati /
   taccettham	tat-ca-itTam
   brāhmaprājāpatyaindrapaitragāndharvayākṣarākṣasapaiśācabhedenāṣṭavidho	brAhma-prAjApatya-Endra-pEtra-gAnDarvayA-akzara-akza-sapESAca-Bedena-azwaviDo
   daivaḥ paśumṛgapakṣisthāvarasarīsṛpabhedena pañcavidhastairyagyona	dEvaH paSu-mRga-pakzi-sTAvara-sarIsRpa-Bedena paQcaviDaH-tEryagyona
   ekavidho mānuṣya iti // 19 //	ekaviDaH mAnuzyaH iti // 19 //
        nanu puruṣārthaśiromaṇībhūtamokṣatattvākāṅkṣā sati bandhasvarūpajñāna	nanu puruza-arTa-SiromaNIBUta-mokza-tattva-AkAFkzA sati banDa-svarUpa-jQAna
   evopapadyate 'to bandhānevāha /	eva-upapadyate atas banDAn-eva-Aha /
   trividho bandhaḥ // Tats_20 //	triviDaH banDaH // Tats_20 //
   viparyayādatattvajñānājjāyamāno bandhastrividhaḥ /	viparyayAt-atattva-jQAnAt-jAyamAnaH banDaH-triviDaH /
   prākṛto vaikṛto dākṣiṇaśceti /	prAkRtaH vEkRtaH dAkziNaH-ca-iti /
   tatra puruṣadhiyā prakṛtyupāsanaṃ prākṛto bandhaḥ /	tatra puruza-DiyA prakRti-upAsanam prAkRtaH banDaH /
