   Yāmunācāryaḥ: Saṃvitsiddhiḥ	YAmunA-AcAryaH: SaMvid-sidDiH
   asattvān na hy asad brahma bhaven nāpi viśeṣaṇam // YSvs_30 //	asattvAt na hi asat brahma Bavet na-api viSezaNam // YSvH-_30 //
   tasmāt prapañcasadbhāvo nādvaitaśrutibādhitaḥ // YSvs_31 //	tasmAt prapaQca-sadBAvaH na-advEta-Sruti-bADitaH // YSvH-_31 //
   svapramāṇabalāt siddhaḥ śrutyā cāpy anumoditaḥ // YSvs_32 //	sva-pramANa-balAt sidDaH SrutyA ca-api anumoditaH // YSvH-_32 //
   tenādvitīyaṃ brahmeti śruter artho 'yam ucyate // YSvs_33 //	tena-advitIyam brahma-iti SruteH arTaH ayam ucyate // YSvH-_33 //
   dvitīyagaṇanāyogyo nāsīd asti bhaviṣyati // YSvs_34 //	dvitIya-gaNanA-yogyaH na-AsIt asti Bavizyati // YSvH-_34 //
   samo vābhyadiko vāsya yo dvitīyas tu gaṇyate // YSvs_35 //	samaH vA-aByadikaH vA-asya yaH dvitIyaH tu gaNyate // YSvH-_35 //
   yato 'sya vibhavavyūha- kalāmātram idaṃ jagat // YSvs_36 //	yatas asya viBava-vyUha kalA-mAtram idam jagat // YSvH-_36 //
   dvitīyavāgāspadatāṃ pratipadyeta tat katham // YSvs_37 //	dvitIya-vAc-Aspada-tAm pratipadyeta tat kaTam // YSvH-_37 //
   yathā colanṛpaḥ samrāḍ advitīyo 'dya bhūtale // YSvs_38 //	yaTA cola-nRpaH samrAj advitIyaH adya BU-tale // YSvH-_38 //
   iti tattulyanṛpati- nivāraṇaparaṃ vacaḥ // YSvs_39 //	iti tad-tulya-nRpati nivAraNa-param vacaH // YSvH-_39 //
   na tu tadbhṛtyatatputra- kalatrādiniṣedhakam // YSvs_40 //	na tu tad-BRtya-tad-putra kalatra-Adi-nizeDakam // YSvH-_40 //
   tathā surāsuranara- brahmabrahmāṇḍakoṭayaḥ // YSvs_41 //	taTA sura-asura-nara brahma-brahmANxa-kowayaH // YSvH-_41 //
   kleśakarmavipākādyair aspṛṣṭasyākhileśituḥ // YSvs_42 //	kleSa-karma-vipAka-AdyEH aspRzwasya-aKila-ISituH // YSvH-_42 //
   jñānādiṣāḍguṇyanidher acintyavibhavasya tāḥ // YSvs_43 //	jQAna-Adi-zAxguNya-niDeH acintya-viBavasya tAH // YSvH-_43 //
   viṣṇor vibhūtimahima- samudradrapsavipruṣaḥ // YSvs_44 //	vizNoH viBUti-mahima samudradrapsa-vipruzaH // YSvH-_44 //
   kaḥ khalv aṅgulibhaṅgena samudrān saptasaṅkhyayā // YSvs_45 //	kaH Kalu aFguli-BaFgena samudrAn sapta-saFKyayA // YSvH-_45 //
   gaṇayan gaṇayed ūrmi- phenabudbudavipruṣaḥ // YSvs_46 //	gaNayan gaNayet Urmi Pena-budbuda-vipruzaH // YSvH-_46 //
   yathaika eva savitā na dvitīyo nabhaḥsthale // YSvs_47 //	yaTA-ekaH eva savitA na dvitIyaH naBaH-sTale // YSvH-_47 //
   ity uktyā na hi sāvitrā niṣidhyante 'tra raśmayaḥ // YSvs_48 //	iti uktyA na hi sAvitrAH niziDyante atra raSmayaH // YSvH-_48 //
   yathā pradhānasaṅkhyeya- saṅkhyāyāṃ naiva gaṇyate // YSvs_49 //	yaTA praDAna-saFKyeya saFKyAyAm na-eva gaNyate // YSvH-_49 //
   saṅkhyā pṛthaksatī tatra saṅkhyeyānyapadārthatvat // YSvs_50 //	saFKyA pRTak-satI tatra saFKyeya-anya-padArTa-tvat // YSvH-_50 //
   tathā -	taTA -
   pādo 'sya viśvā bhūtāni tripād asyāmṛtaṃ divi // YSvs_51 //	pAdaH asya viSvA BUtAni tripAd asya-amRtam divi // YSvH-_51 //
   iti bruvañ jagat sarvam itthambhāve nyaveśayat // YSvs_52 //	iti bruvan jagat sarvam itTam-BAve nyaveSayat // YSvH-_52 //
   tathā -	taTA -
   etāvān asya mahimā tato jyāyastaro hi saḥ // YSvs_53 //	etAvAn asya mahimA tatas jyAyastaraH hi saH // YSvH-_53 //
   yatrānyan na vijānāti sa bhūmodaram antaram // YSvs_54 //	yatra-anyat na vijAnAti sa BUma-udaram antaram // YSvH-_54 //
   kurute 'sya bhayaṃ vyaktam ityādiśrutayaḥ parāḥ // YSvs_55 //	kurute asya Bayam vyaktam iti-Adi-SrutayaH parAH // YSvH-_55 //
   meror ivāṇur yasyedaṃ brahmāṇḍam akhilaṃ jagat // YSvs_56 //	meroH iva-aNuH yasya-idam brahmANxam aKilam jagat // YSvH-_56 //
   ityādikāḥ samastasya taditthambhāvatāparāḥ // YSvs_57 //	iti-AdikAH samastasya tat-itTam-BAvatA-parAH // YSvH-_57 //
   vācārambhaṇamātraṃ tu jagat sthāvarajaṅgamam // YSvs_58 //	vAcA-AramBaNa-mAtram tu jagat sTAvara-jaFgamam // YSvH-_58 //
   vikārajātaṃ kūṭasthaṃ mūlakāraṇam eva sat // YSvs_59 //	vikAra-jAtam kUwasTam mUla-kAraNam eva sat // YSvH-_59 //
   ananyat kāraṇāt kāryaṃ pāvakād visphuliṅgavat // YSvs_60 //	ananyat kAraNAt kAryam pAvakAt visPuliFga-vat // YSvH-_60 //
   mṛttikālohabījādi- nānādṛṣṭāntavistaraiḥ // YSvs_61 //	mRttikA-loha-bIja-Adi nAnA-dRzwAnta-vistarEH // YSvH-_61 //
   (cf. ChāUp 6.4--6)	(cf. ChAUp 6.4--6)
   nāśakad dagdhum analas tṛṇaṃ majjayituṃ jalam // YSvs_62 //	na-aSakat dagDum analaH tRNam majjayitum jalam // YSvH-_62 //
   (cf. KeUp 3.14--28)	(cf. KeUp 3.14--28)
   na vāyuś calituṃ śaktas tac chaktyāpyāyanād ṛte // YSvs_63 //	na vAyuH calitum SaktaH tat Sakti-ApyAyanAt Rte // YSvH-_63 //
   ekapradhānavijñānād vijñātam akhilaṃ bhavet // YSvs_64 //	eka-praDAna-vijQAnAt vijQAtam aKilam Bavet // YSvH-_64 //
   (cf. ChāUp 6.1.3ff.)	(cf. ChAUp 6.1.3ff.)
   ityādivedavacana- tanmūlāptāgamair api // YSvs_65 //	iti-Adi-veda-vacana tad-mUla-Apta-AgamEH api // YSvH-_65 //
   brahmātmanātmalābho 'yaṃ prapañcaś cidacinmayaḥ // YSvs_66 //	brahma-AtmanA-Atma-lABaH ayam prapaQcaH cit-acit-mayaH // YSvH-_66 //
   iti pramīyate brāhmī vibhūtir na niṣidhyate // YSvs_67 //	iti pramIyate brAhmI viBUtiH na niziDyate // YSvH-_67 //
   tanniṣedhe samastasya mithyātvāl lokavedayoḥ // YSvs_68 //	tad-nizeDe samastasya miTyAtvAt loka-vedayoH // YSvH-_68 //
   vyavahārās tu lupyeraṃs tathā syād brahmadhīr api // YSvs_69 //	vyavahArAH tu lupyeran taTA syAt brahma-DIH api // YSvH-_69 //
   vyāvahārikasatyatvān mṛṣatve 'py aviruddhatā // YSvs_70 //	vyAvahArika-satya-tvAt mRza-tve api avirudDa-tA // YSvH-_70 //
   pratyakṣāder iti mataṃ prāg eva samadūduṣam // YSvs_71 //	pratyakza-AdeH iti matam prAk eva sama-dUduzam // YSvH-_71 //
   ataś copaniṣajjāta- brahmādvaitadhiyā jagat // YSvs_72 //	atas ca-upanizad-jAta brahmAdvEta-DiyA jagat // YSvH-_72 //
   na bādhyate vibhūtitvād brahmaṇaś cety avasthitam // YSvs_73 //	na bADyate viBUti-tvAt brahmaNaH ca-iti avasTitam // YSvH-_73 //
   nanu sattve prapañcasya nāstīti pratyayaḥ katham // YSvs_74 //	nanu sattve prapaQcasya na-asti-iti pratyayaH kaTam // YSvH-_74 //
   asattve vā kathaṃ tasminn astīti pratyayo bhavet // YSvs_75 //	asattve vA kaTam tasmin asti-iti pratyayaH Bavet // YSvH-_75 //
   sadasattvaṃ tathaikasya viruddhatvād asambhavi // YSvs_76 //	sat-asat-tvam taTA-ekasya virudDa-tvAt asamBavi // YSvH-_76 //
   sadasatpratyayaprāpta- viruddhadvandvasaṅgame // YSvs_77 //	sat-asat-pratyaya-prApta virudDa-dvandva-saFgame // YSvH-_77 //
   tayor anyatarārthasya niścayābhāvahetutaḥ // YSvs_78 //	tayoH anyatara-arTasya niScaya-aBAva-hetutaH // YSvH-_78 //
   sadasattvaṃ prapañcasya jainās tu pratijānate // YSvs_79 //	sat-asat-tvam prapaQcasya jEnAH tu pratijAnate // YSvH-_79 //
   sattvaprāptiṃ puraḥkṛtya nāstīti pratyayodayāt // YSvs_80 //	sattva-prAptim puraHkRtya na-asti-iti pratyaya-udayAt // YSvH-_80 //
   sadā sattvaṃ prapañcasya sāṅkhyās tu pratipedire // YSvs_81 //	sadA sattvam prapaQcasya sAFKyAH tu pratipedire // YSvH-_81 //
   sadasatpratyayaprāpta- viruddhadvandvasaṅkaṭe // YSvs_82 //	sat-asat-pratyaya-prApta virudDa-dvandva-saFkawe // YSvH-_82 //
   virodhaparihārārthaṃ sattvāsattvāṃśabhaṅgataḥ // YSvs_83 //	viroDa-parihAra-arTam sattva-asattva-aMSa-BaFgataH // YSvH-_83 //
   sadasadbhyām anirvācyaṃ prapañcaṃ kecid ūcire // YSvs_84 //	sat-asadByAm anirvAcyam prapaQcam kecid Ucire // YSvH-_84 //
   sattvāsattve vibhāgena deśakālādibhedataḥ // YSvs_85 //	sattva-asattve viBAgena deSa-kAla-Adi-BedataH // YSvH-_85 //
   ghaṭāder iti manvānā vyavasthām apare jaguḥ // YSvs_86 //	Gawa-AdeH iti manvAnAH vyavasTAm apare jaguH // YSvH-_86 //
   tad evaṃ vādisaṃmardāt saṃśaye samupasthite // YSvs_87 //	tat evam vAdi-saMmardAt saMSaye samupasTite // YSvH-_87 //
   nirṇayaḥ kriyate tatra mīmāṃsakamatena tu // YSvs_88 //	nirNayaH kriyate tatra mImAMsaka-matena tu // YSvH-_88 //
   ghaṭasvarūpe nāstitvam astitvaṃ yady abūbudhat // YSvs_89 //	Gawa-svarUpe nAstitvam astitvam yadi abUbuDat // YSvH-_89 //
   syād eva yugapat sattvam asattvaṃ ca ghaṭādiṣu // YSvs_90 //	syAt eva yugapad sattvam asattvam ca Gawa-Adizu // YSvH-_90 //
   idānīm idam atrāsti nāstīty evaṃvidhā yataḥ // YSvs_91 //	idAnIm idam atra-asti na-asti-iti evaMviDAH yatas // YSvH-_91 //
   deśakāladaśābhedād astināstīti no dhiyaḥ // YSvs_92 //	deSa-kAla-daSA-BedAt astinA-asti-iti naH DiyaH // YSvH-_92 //
   ato deśādibhedena sadasattvaṃ ghaṭādiṣu // YSvs_93 //	atas deSa-Adi-Bedena sat-asat-tvam Gawa-Adizu // YSvH-_93 //
   vyavasthitaṃ nirastatvād vādasyeha na sambhavaḥ // YSvs_94 //	vyavasTitam nirasta-tvAt vAdasya-iha na samBavaH // YSvH-_94 //
   nanu deśādisambandhaḥ sata evopapadyate // YSvs_95 //	nanu deSa-Adi-sambanDaH sataH eva-upapadyate // YSvH-_95 //
   na deśakālasambandhād asataḥ sattvam iṣyate // YSvs_96 //	na deSa-kAla-sambanDAt asataH sattvam izyate // YSvH-_96 //
   sambandho dvyāśrayas tasmāt sataḥ sattvaṃ sadā bhavet // YSvs_97 //	sambanDaH dvi-ASrayaH tasmAt sataH sattvam sadA Bavet // YSvH-_97 //
   asataḥ kārakaiḥ sattvaṃ janmanety atidurghaṭam // YSvs_98 //	asataH kArakEH sattvam janmanA-iti ati-durGawam // YSvH-_98 //
   ādyantavān prapañco 'taḥ satkakṣyāntarniveśyate // YSvs_99 //	Adi-antavAn prapaQcaH atas sat-kakzya-antar-niveSyate // YSvH-_99 //
   uktaṃ ca--	uktam ca--
   ādāv ante ca yan nāsti nāsti madhye 'pi tat tathā // YSvs_100 //	AdO ante ca yat na-asti na-asti maDye api tat taTA // YSvH-_100 //
   iti	iti
   ato niścitasadbhāvaḥ sadā sann abhyupeyatām // YSvs_101 //	atas niScita-sadBAvaH sadA san aByupeyatAm // YSvH-_101 //
   asataḥ sarvadāsattvaṃ janyayogāt khapuṣpavat // YSvs_102 //	asataH sarvadA-asattvam janya-yogAt Ka-puzpa-vat // YSvH-_102 //
   asattve na viśeṣo 'sti prāgatyantāsator iha // YSvs_103 //	asattve na viSezaH asti prAk-atyanta-asatoH iha // YSvH-_103 //
   śvetaketum upādāya tat tvam ity api yac chrutam // YSvs_104 //	Svetaketum upAdAya tat tvam iti api yat Srutam // YSvH-_104 //
   (cf. ChāUp 6.9.4)	(cf. ChAUp 6.9.4)
   ṣaṣṭhaprapāṭhake tasya kuto mukhyārthasambhavaḥ // YSvs_105 //	zazWa-prapAWake tasya kutas muKya-arTa-samBavaH // YSvH-_105 //
   kārpaṇyaśokaduḥkhārtaś cetanas tvampadoditaḥ // YSvs_106 //	kArpaNya-Soka-duHKa-ArtaH cetanaH tu-ampada-uditaH // YSvH-_106 //
   sarvajñaḥ satyasaṅkalpo niḥsīmasukhasāgaraḥ // YSvs_107 //	sarvajQaH satya-saFkalpaH niHsIma-suKa-sAgaraH // YSvH-_107 //
   tatpadārthas tayor aikyaṃ tejastimiravat katham // YSvs_108 //	tad-padArTaH tayoH Ekyam tejaH-timira-vat kaTam // YSvH-_108 //
   tvamarthasthe taṭasthe vā (tadarthasthe vibhedake) // YSvs_109 //	tvam-arTa-sTe tawa-sTe vA (tad-arTa-sTe viBedake) // YSvH-_109 //
   guṇe tattvampadaśrutyor aikārthyaṃ dūravāritam // YSvs_110 //	guNe tattvampada-SrutyoH EkArTyam dUra-vAritam // YSvH-_110 //
   ajñatvasarvaveditva- duḥkhitvasukhitādike // YSvs_111 //	ajQa-tva-sarva-vedi-tva duHKi-tva-suKita-Adike // YSvH-_111 //
   viśeṣaṇe vā ciddhātor athavāpy upalakṣaṇe // YSvs_112 //	viSezaNe vA cit-DAtoH aTavA-api upalakzaNe // YSvH-_112 //
   viruddhaguṇasaṅkrānter bhedaḥ syāt tvaṃtadarthayoḥ // YSvs_113 //	virudDa-guNa-saFkrAnteH BedaH syAt tvaMtad-arTayoH // YSvH-_113 //
   vācyaikadeśabhaṅgena cidekavyaktiniṣṭhatā // YSvs_114 //	vAcya-eka-deSa-BaFgena cit-eka-vyakti-nizWatA // YSvH-_114 //
   so 'yaṃ gaur itivat tattvam padayor ity apeśalam // YSvs_115 //	saH ayam gOH iti-vat tattvam padayoH iti apeSalam // YSvH-_115 //
   deśakāladaśābhedād ekasminn api dharmiṇi // YSvs_116 //	deSa-kAla-daSA-BedAt ekasmin api DarmiNi // YSvH-_116 //
   viruddhadvandvasaṅkrānteḥ so 'yaṃ gaur iti yujyate // YSvs_117 //	virudDa-dvandva-saFkrAnteH saH ayam gOH iti yujyate // YSvH-_117 //
   svaprakāśasya ciddhātor viruddhadvandvasaṅgatau // YSvs_118 //	sva-prakASasya cit-DAtoH virudDa-dvandva-saFgatO // YSvH-_118 //
   na vyavasthāpakaṃ kiṃcid deśakāladaśādike // YSvs_119 //	na vyavasTApakam kiMcid deSa-kAla-daSA-Adike // YSvH-_119 //
   nirdhūtanikhiladvandva- svaprakāśe cidātmani // YSvs_120 //	nirDUta-niKila-dvandva sva-prakASe cit-Atmani // YSvH-_120 //
   dvaitānarthabhramābhāvāc chāstraṃ nirviṣayaṃ bhavet // YSvs_121 //	dvEta-anarTa-Brama-aBAvAt SAstram nirvizayam Bavet // YSvH-_121 //
   etena satyakāmatva- jagatkāraṇatādayaḥ // YSvs_122 //	etena satya-kAma-tva jagat-kAraNa-tA-AdayaH // YSvH-_122 //
   mā(yopādhau) pare 'dhyastāḥ śokamohādayaḥ punaḥ // YSvs_123 //	mA(ya-upADO) pare aDyastAH Soka-moha-AdayaH punar // YSvH-_123 //
   avidyopādhike jīve vibhāgeneti yan matam // YSvs_124 //	avidyA-upADike jIve viBAgena-iti yat matam // YSvH-_124 //
   kṣudrabrahmavidām etan mataṃ prāg eva dūṣitam // YSvs_125 //	kzudra-brahma-vidAm etat matam prAk eva dUzitam // YSvH-_125 //
   citsvarūpe viśiṣṭe vā māyāvidyādyupādhayaḥ // YSvs_126 //	cit-svarUpe viSizwe vA mAyA-vidyA-Adi-upADayaH // YSvH-_126 //
   pūrvasmin sarvasaṅkaryaṃ parajīvāvibhāgataḥ // YSvs_127 //	pUrvasmin sarva-saFkaryam para-jIva-aviBAgataH // YSvH-_127 //
   uttarasminn api tathā viśiṣṭam api cid yadi // YSvs_128 //	uttarasmin api taTA viSizwam api cit yadi // YSvH-_128 //
   citsvarūpaṃ hi nirbhedaṃ māyāvidyādyupādhibhiḥ // YSvs_129 //	cit-svarUpam hi nirBedam mAyA-vidyA-Adi-upADiBiH // YSvH-_129 //
   vibhinnam iva vibhrāntaṃ viśisṭaṃ ca (iti manyate) // YSvs_130 //	viBinnam iva viBrAntam viSiswam ca (iti manyate) // YSvH-_130 //
   taṭasthāvasthitā dharmāḥ svarūpaṃ na spṛśanti kim // YSvs_131 //	tawasTa-avasTitAH DarmAH svarUpam na spRSanti kim // YSvH-_131 //
   na hi daṇḍiśiraschedād devadatto na hiṃsitaḥ // YSvs_132 //	na hi daNxi-SirasCedAt devadattaH na hiMsitaH // YSvH-_132 //
   acidaṃśavyapohena cidekapariśeṣatā // YSvs_133 //	acit-aMSa-vyapohena cit-eka-pariSeza-tA // YSvH-_133 //
   atas tat tvam asītyāder artha ity apy asundaram // YSvs_134 //	atas tat tvam asi-ityAdeH arTaH iti api asundaram // YSvH-_134 //
   abrahmānātmatābhāve pratyakcit pariśiṣyate // YSvs_135 //	abrahmAn-Atma-tA-aBAve pratyakcit pariSizyate // YSvH-_135 //
   tattvampadadvayaṃ jīva- paratādātmyagocaram // YSvs_136 //	tat-tvampada-dvayam jIva para-tAdAtmya-gocaram // YSvH-_136 //
   tan mukhyavṛtti tādātmyam api vastudvayāśrayam // YSvs_137 //	tat muKya-vRtti tAdAtmyam api vastu-dvaya-ASrayam // YSvH-_137 //
   bhedābhedavikalpas tu yas tvayā paricoditaḥ // YSvs_138 //	Beda-aBeda-vikalpaH tu yaH tvayA paricoditaH // YSvH-_138 //
   abhedābhedino 'satye bandhe sati nirarthakaḥ // YSvs_139 //	aBeda-aBedinaH asatye banDe sati nirarTakaH // YSvH-_139 //
   abhedo bhedamardī tu svāśrayībhūtavastunoḥ // YSvs_140 //	aBedaH Beda-mardI tu sva-ASrayIBUta-vastunoH // YSvH-_140 //
   bhedaḥ parasparānātmyaṃ bhāvānām evam etayoḥ // YSvs_141 //	BedaH paraspara-anAtmyam BAvAnAm evam etayoH // YSvH-_141 //
   svarūpam abhyupetyaiva bhedābhedavikalpayoḥ // YSvs_142 //	sva-rUpam aByupetya-eva Beda-aBeda-vikalpayoH // YSvH-_142 //
   (bādhanam) tena vāgbādhād virodhena nigṛhyase // YSvs_143 //	(bADanam) tena vAc-bADAt viroDena nigRhyase // YSvH-_143 //
   bhinnābhinnatvasambandha- sadasattvavikalpanam // YSvs_144 //	Binna-aBinna-tva-sambanDa sat-asattva-vikalpanam // YSvH-_144 //
   pratyakṣānubhavāpāstaṃ kevalaṃ kaṇṭhaśoṣaṇam // YSvs_145 //	pratyakza-anuBava-apAstam kevalam kaNWa-SozaNam // YSvH-_145 //
   nīle nīlamatir yādṛg utpale nīladhīr hi sā // YSvs_146 //	nIle nIla-matiH yAdRS utpale nIla-DIH hi sA // YSvH-_146 //
   nīlam utpalam evedam iti sākṣāc cakāsti naḥ // YSvs_147 //	nIlam utpalam eva-idam iti sAkzAt cakAsti naH // YSvH-_147 //
   yathā viditasaṃyoga- sambandhe 'pyakṣagocare // YSvs_148 //	yaTA vidita-saMyoga sambanDe api-akza-gocare // YSvH-_148 //
   bhedābhedādidustarka- vikalpādhānavibhramaḥ // YSvs_149 //	Beda-aBeda-Adi-duH-tarka vikalpa-ADAna-viBramaH // YSvH-_149 //
   tadvat tādātmyasambandhe śrutipratyakṣamūlake // YSvs_150 //	tadvat tAdAtmya-sambanDe Sruti-pratyakza-mUlake // YSvH-_150 //
   śrutidaṇḍena dustarka- vikalpabhramavāraṇam // YSvs_151 //	Sruti-daNxena dustarka vikalpa-Brama-vAraNam // YSvH-_151 //
   nirdoṣāpauruṣeyī ca śrutir atyartham ādarāt // YSvs_152 //	nirdozA-pOruzeyI ca SrutiH atyarTam AdarAt // YSvH-_152 //
   asakṛt tat tvam ity āha tādātmyaṃ brahmajīvayoḥ // YSvs_153 //	asakRt tat tvam iti Aha tAdAtmyam brahma-jIvayoH // YSvH-_153 //
   brahmānandahradāntastho muktātmā sukham edhate // YSvs_154 //	brahma-Ananda-hrada-antasTaH mukta-AtmA suKam eDate // YSvH-_154 //
   phale ca phalino 'bhāvān mokṣasyāpuruṣārthatā // YSvs_155 //	Pale ca PalinaH aBAvAt mokzasya-apuruzArTa-tA // YSvH-_155 //
   ekaśeṣe hi ciddhātoḥ kasya mokṣaḥ phalaṃ bhavet // YSvs_156 //	eka-Seze hi cit-DAtoH kasya mokzaH Palam Bavet // YSvH-_156 //
   kiṃca prapañcarūpeṇa kā nu saṃvid vivartate // YSvs_157 //	kiMca prapaQca-rUpeNa kA nu saMvid vivartate // YSvH-_157 //
   na tāvad ghaṭadhīs tasyām asatyām api darśanāt // YSvs_158 //	na tAvat Gawa-DIH tasyAm asatyAm api darSanAt // YSvH-_158 //
   na hi tasyām ajātāyāṃ naṣṭāyāṃ vākhilaṃ jagat // YSvs_159 //	na hi tasyAm ajAtAyAm nazwAyAm vA-aKilam jagat // YSvH-_159 //
   nāstīti śakyate vaktum uktau pratyakṣabādhanāt // YSvs_160 //	na-asti-iti Sakyate vaktum uktO pratyakza-bADanAt // YSvH-_160 //
   nāpy anyasaṃvit tannāśe 'py anyeṣām upalambhanāt // YSvs_161 //	na-api anya-saMvid tad-nASe api anyezAm upalamBanAt // YSvH-_161 //
   nanu saṃvid abhinnaikā na tasyām asti bhedadhīḥ // YSvs_162 //	nanu saMvid aBinnA-ekA na tasyAm asti Beda-DIH // YSvH-_162 //
   ghaṭādayo hi bhidyante na tu sā citprakāśanāt // YSvs_163 //	Gawa-AdayaH hi Bidyante na tu sA cit-prakASanAt // YSvH-_163 //
   ghaṭadhīḥ paṭasaṃvitti- samaye nāvabhāti cet // YSvs_164 //	Gawa-DIH pawa-saMvitti samaye na-avaBAti ced // YSvH-_164 //
   naivaṃ ghaṭo hi nābhāti sā sphuraty eva tu sphuṭam // YSvs_165 //	na-evam GawaH hi na-ABAti sA sPurati eva tu sPuwam // YSvH-_165 //
   ghaṭavyāvṛttasaṃvittir atha na sphuratīti cet // YSvs_166 //	Gawa-vyAvRtta-saMvittiH aTa na sPurati-iti ced // YSvH-_166 //
   tadvyāvṛttipadenāpi kiṃ saivoktāthavetarat // YSvs_167 //	tad-vyAvRtti-padena-api kim sA-eva-uktA-aTa-vA-itarat // YSvH-_167 //
