   oṃ	om
   taduktaṃ"aṇumanasoścā'dyaṃ karmetyadṛṣṭakāritam" vai. da. a. 5. ā. 2. sū.	tad-uktaM"aNu-manasoH-cA-adyam karma-iti-adRzwa-kAritam" vE. da. a. 5. A. 2. sU.
   13 iti /	13 iti /
   anyasya kāraṇasyābhāvāt /	anyasya kAraNasya-aBAvAt /
   na cādṛṣṭamalabdhasvavṛtti kāryāya paryāptam, acetanatvāt vāsīvat /	na ca-adRzwam-alabDa-sva-vRtti kAryAya paryAptam, acetana-tvAt vAsIvat /
   na ca cetanānadhiṣṭhitamacetanaṃ vṛttimupalabhate /	na ca cetanA-anaDizWitam-acetanam vRttim-upalaBate /
   na khalvanadhiṣṭhitā vāsī vardhakinā vardhanāya pravartate /	na Kalu-anaDizWitA vAsI varDakinA varDanAya pravartate /
   tadevamadṛṣṭaṃ kṣetrāsamavāyi cetanādhiṣṭhitaṃ kāryāya 694paryāptamiti	tat-evam-adRzwam kzetrAsamavAyi cetanA-aDizWitam kAryAya 694paryAptam-iti
   darśanabalenāvaśyamabhyupagamanīyama695 /	darSana-balena-avaSyam-aByupagamanIyam-a695 /
   na cedamiha cintanīyam---ya eva kṣetrajñāḥ, ta eva	na ca-idam-iha cintanIyam----yaH eva kzetrajQAH, te eva
   teṣāmadṛṣṭānāmadhiṣṭhātāro696 bhaveyuriti, teṣāmajñatvāt /	tezAm-adRzwAnAm-aDizWA-tAraH-696 BaveyuH-iti, tezAm-ajQa-tvAt /
   na hi te svasamavāyinī api dharmādharmalakṣaṇe 'dṛṣṭe svarūpataḥ, kāryato	na hi te sva-samavAyinI api Darma-aDarma-lakzaNe adRzwe sva-rUpataH, kAryataH-
   vā veditumīśate /	vA veditum-ISate /
   ya eva ca yat svarūpataḥ, kāryato vā veditumīṣṭe, sa eva tasyādhiṣṭhātā /	yaH eva ca yat sva-rUpataH, kAryataH vA veditum-Izwe, saH eva tasya-aDizWAtA /
   yathā---takṣā vāsyāḥ /	yaTA---takzAH vA-asyAH /
   tasmādanyaḥ	tasmAt-anyaH
   kṣetrajñebhyassakalakṣetrajñasamavāyidharmādharmalakṣaṇādṛṣṭasākṣātkaraṇagocarācintanīyaśaktivibhavaḥ	kzetrajQeByassakala-kzetrajQa-samavAyi-Darma-aDarma-lakzaNa-adRzwa-sAkzAt-karaNa-gocara-acintanIya-Sakti-viBavaH
   ko 'pi cetanātiśayo 'dhiṣṭhātā 697nityapratiṣṭhitassvatantro	kaH api cetanA-atiSayaH aDizWAtA 697nitya-pratizWitassvatantraH-
   'bhyupagantavyaḥ /	aByupagantavyaH /
   na cedaṃ vācyaṃ kena pramāṇena tasya kṣetrajñeṣvasambhāvinī	na ca-idam vAcyam kena pramANena tasya kzetrajQezu-asamBAvinI
   dharmādharmasākṣātkaraṇaśaktiravagamyata iti /	Darma-aDarma-sAkzAt-karaNa-SaktiH-avagamyate iti /
   yata eva pramāṇāt tasya sadbhāvo 'vagamyate, tata eva tasya	yatas eva pramANAt tasya sadBAvaH avagamyate, tatas eva tasya
   jñānaśaktirapyavagamyata iti, antarbhāvitajñānaśaktirevāsau	jQAna-SaktiH-api-avagamyate iti, antar-BAvita-jQAna-SaktiH-eva-asO
   sāmānyatodṛṣṭānumānasya gocaraḥ /	sAmAnyatodRzwa-anumAnasya gocaraH /
   ata eva kathamasāvadhiṣṭhāsyatītyasyāpi paryanuyogasyānavakāśaḥ /	atas eva kaTam-asO=-aDizWAsyati-iti-asya-api paryanuyogasya-anavakASaH /
   kiṃ tasyādhiṣṭhāne prayojanamiti yo 'yamapi paryanuyogaḥ, sa	kim tasya-aDizWAne prayojanam-iti yaH ayam-api paryanuyogaH, sa
   cetanātiśayānumānāṅgīkaraṇena parākṛtaḥ /	cetanA-atiSaya-anumAna-aFgIkaraNena parAkRtaH /
   kṣetrajño hi cetanassvaprayojanamuddiśya pravartate /	kzetrajQaH hi cetana-ssva-prayojanam-uddiSya pravartate /
   sa ca kṣetrajñavilakṣaṇo 'napekṣitaprayojana eva svatantraḥ pravartate /	sa ca kzetrajQa-vilakzaNaH anapekzita-prayojanaH eva svatantraH pravartate /
   ata eva svātantryāt 698kadācit tasya pravṛttirupapattimatī /	atas eva svAtantryAt 698kadAcid tasya pravRttiH-upapattimatI /
   svātantryamapi tasya sattānumānasamadhigamyameveti, na	svAtantryam-api tasya satta-anu-mAnasam-aDigamyam-eva-iti, na
   699pṛthakpramāṇasavyapekṣam /	699pRTak-pramANa-savyapekzam /
   atassiddhaṃ tatprabhavasya tanubhuvanāderādimattvamutpattimattvañca,	atassidDam tad-praBavasya tanu-Buvana-AdeH-Adimat-tvam-utpattimat-tvaQca,
   tathā'dimattayā vināśitvam /	taTA-adimattayA vinASi-tvam /
   kṛtakā hi bhāvā dhruvabhāvivināśāḥ, tathā dṛṣṭacarā ghaṭādaya iti,	kRtakAH hi BAvAH Druva-BAvi-vinASAH, taTA dRzwa-carA Gawa-AdayaH iti,
   nānāditvaṃ vṛddhavyavahāraparamparāyāḥ /	nAnA-Adi-tvam vRdDa-vyavahAra-paramparAyAH /
   tena 700puruṣasaṅketādeva 701śabdasyār'thapratipattihetutvamāstheyam /	tena 700puruza-saFketAt-eva 701-SabdasyAraTa-pratipatti-hetu-tvam-AsTeyam /
   saṅketanibandhanaṃ vācakatvamitiśaṅkā /	saFketa-nibanDanam vAcaka-tvam-itiSaFkA /
   api ca 702devadattādipadeṣvavivādā tāvatpuruṣasaṅketanibandhanā vācakatā /	api ca 702devadatta-Adi-padezu-avivAdA tAvat-puruza-saFketa-nibanDanA vAcaka-tA /
   taddarśanādgavādiśabdanāmapi tathāvidhatmevānumātumucitam /	tad-darSanAt-gava-Adi-SabdanAm-api taTAviDatmA-iva-anumAtum-ucitam /
   ayameva hi sāmānyatodṛṣṭasya viṣayo---yadanyatra dṛṣṭam, anyatrānumīyate /	ayam-eva hi sAmAnyatodRzwasya vizayaH----yat-anyatra dRzwam, anyatra-anumIyate /
   ayameva hi sāmānyatodṛṣṭasya viṣayo---yadanyatra dṛṣṭam, anyatrānumīyate /	ayam-eva hi sAmAnyatodRzwasya vizayaH----yat-anyatra dRzwam, anyatra-anumIyate /
   devadattādipadeṣu svābhāvikaṃ svārthabodhakatbamityapi na samīcīnam,	devadatta-Adi-padezu svABAvikam sva-arTa-boDakatbam-iti-api na samIcInam,
   pramāṇābhāvāt, 703puruṣasaṅketānapekṣatvaprasaṅgācca /	pramANa-aBAva-at, 703puruza-saFketa-anapekza-tva-prasaFgAt-ca /
   na ca niyame saṅketasya vyāpāraḥ,	na ca niyame saFketasya vyApAraH,
   prāksaṅketādaniyatārthapratyayodayaprasaṅgāt /	prAc-saFketAt-aniyata-arTa-pratyaya-udaya-prasaFgAt /
   kleśamātraphalamidamucyate---gavādiṣvapiniyatārthapratipattiḥ	kleSa-mAtra-Palam-idam-ucyate---gavAdizu-apiniyata-arTa-pratipattiH
   puruṣasaṅketāyattaiva, svābhāvikī tu	puruza-saFketAyat-tA-eva, svABAvikI tu
   704svārthapratipādanaśaktirupayoginyeva viśiṣṭārthapratipattāvityalamamunā	704sva-arTa-pratipAdana-SaktiH-upayogini-eva viSizwa-arTa-pratipattO=-iti-alam-amunA
   pratipannārthavighātinā vādenātinirbandhena /	pratipanna-arTa-viGAtinA vAdena-ati-nirbanDena /
   kiñca yathoditapramāṇabalasiddhe bhagavati sakalajagannirmāṇaikapravīṇe	kiQca yaTA-udita-pramANa-bala-sidDe Bagavati sakala-jagat-nirmANa-eka-pravINe
   dharmādharmayossākṣātkartari705 tatkartṛkatvenāpi706 sidhyati	Darma-aDarma-yossAkzAt-kartari-705 tad-kartRka-tvena-api706 siDyati
   vedānāmapūrver'the prāmāṇyamiti, mīmāṃsakānāṃ vidveṣamātranibandhano 'yaṃ	vedAnAm-apUrver-aTe prAmANyam-iti, mImAMsakAnAm vidveza-mAtra-nibanDanaH ayam
   pauruṣeyatvapakṣapratikṣepaḥ, mantrārthavādānāñca bhūyasāmamumarthamajjasā	pOruzeya-tva-pakza-pratikzepaH, mantra-arTavAda-anAQca BUyasAm-amum-arTa-majjasA
   vadatāmanyathā varṇanamiti /	vadatAm-anyaTA varNanam-iti /
   siddhāntaḥ /	sidDAntaH /
   707autpattikastu sambandhaśśabdasyār'thena 708sammataḥ /	707OtpattikaH-tu sambanDaH-Sabdasya-Ar-aTena 708-sammataH /
   vṛddhasaṃvyavahārasya pravāhānāditā yataḥ // 3 //	vRdDa-saMvyavahArasya pravAha-anAditAH yatas // 3 //
   iti //	iti //
   vedārthavidāmagragaṇyasya	veda-arTa-vidAm-agra-gaNyasya
   bhagavatassakalanayanidherjaiminerapauruṣeyaśśabdasyār'thena sambandho	Bagavata-ssakala-naya-niDeH-jEmineH-apOruzeyaH-Sabdasya-Ar-aTena sambanDaH-
   'bhimataḥ /	aBimataH /
   sa hi mene---yadyapi 709devadattādiśabdānāṃ puruṣasaṅketanibandhanaṃ	sa hi mene---yadi-api 709devadatta-Adi-SabdAnAm puruza-saFketa-nibanDanam
   vācakatvam, tathāpi gavādipadeṣvanumānaṃ na śakyate kartum /	vAcaka-tvam, taTA-api gavA-Adi-padezu-anumAnam na Sakyate kartum /
   arthapratipattilakṣaṇasya kāryasyānyathāpyupapatteranaikāntikatvāditi /	arTa-pratipatti-lakzaNasya kAryasya-anyaTA-api-upapatteH-anEkAntika-tvAt-iti /
   vṛddhavyavahāranibandhanāddhi svārthe vācakatvaśaktijñānādapi bālānāṃ	vRdDa-vyavahAra-nibanDanAt-hi sva-arTe vAcakatva-Sakti-jQAnAt-api bAlAnAm
   śabdārthapratipattirdṛśyate /	Sabda-arTa-pratipattiH-dRSyate /
   tenaikāntatassaṅketa eva kalpayituṃ na śakyate /	tena-ekAntatassaFketaH eva kalpayitum na Sakyate /
   api ca śaktijñānamātranibandhanā 710gavādiśabdānāmarthapratipattiriti	api ca Sakti-jQAna-mAtra-nibanDanA 710gavAdi-SabdAnAm-arTa-pratipattiH-iti
   pratyakṣamevaitat /	pratyakzam-eva-etat /
   na ca pratyakṣe sati kāraṇe kāraṇāntaramanumātuṃ śakyate /	na ca pratyakze sati kAraNe kAraNa-antaram-anumAtum Sakyate /
   devadattādipadeṣu tu yasya saṅketanibandhanār'thapratipattirbhavati, tasya	devadatta-Adi-padezu tu yasya saFketa-nibanDanAr-aTa-pratipattiH-Bavati, tasya
   saṅketa eva kāraṇam /	saFketa eva kAraNam /
   teṣvapi ye vyavahāradarśanādeva vācakatāmavagamyār'thaṃ pratipadyante,	tezu-api ye vyavahAra-darSanAt-eva vAcaka-tAm-avagamyAr-aTam pratipadyante,
   teṣāmapi vyavahāradarśanaprasūtaṃ śaktijñānamevār'thapratipattikāraṇam, na	tezAm-api vyavahAra-darSana-prasUtam Sakti-jQAnam-eva-Ar-aTa-pratipatti-kAraNam, na
   saṅketaḥ /	saFketaH /
   kintu tatra saṅketapūrvaka eva vyavahāraḥ, arthapratipattiśca, tathā	kintu tatra saFketa-pUrvakaH eva vyavahAraH, arTa-pratipattiH-ca, taTA
   tatpūrvakamapi vācakatvajñānam /	tat-pUrvakam-api vAcaka-tva-jQAnam /
   gavādipadeṣu tu sarveṣāṃ śaktijñānādeva vyavahārasambhavādarthāvagatiriti	gavA-Adi-padezu tu sarvezAm Sakti-jQAnAt-eva vyavahAra-samBavAt-arTa-avagatiH-iti
   vaiṣamyam /	vEzamyam /
   nanu devadattādipadeṣu 71ma1saṅketadarśanāt, kimiti gavādipadeṣvapi	nanu devadatta-Adi-padezu 71ma1-saFketa-darSana-at, kim-iti gavA-Adi-padezu-api
   pūrvabhāvī saṅketa eva na kalpyate /	pUrva-BAvI saFketa eva na kalpyate /
   na /	na /
   pratyanumānagrastatvāt /	pratyanumAna-grasta-tvAt /
   śakyate hi tatraivamanumānaṃ sambhāvayitum---pūrve hi pumāṃso	Sakyate hi tatra-evam-anumAnam samBAvayitum----pUrve hi pumAMsaH-
   gavādiśabdānāṃ sāsnādimatyarthe	gavA-Adi-SabdAnAm sAsnAdim-ati-arTe
   vṛddhavyavahārasiddhaśaktijñānādarthapratipattimanto	vRdDa-vyavahAra-sidDa-Sakti-jQAnAt-arTa-pratipattimantaH-
   gavādiśabdebhyassāsnādimadarthapratipattiyogitvādadhunātanapuruṣavadit i /	gavA-Adi-SabdeByassAsnA-Adimad-arTa-pratipatti-yogi-tvAt-aDunAtana-puruza-vadit i /
   tadevaṃ pratyanumānena712 niraste 'numāne,	tat-evam pratyanumAnena712 niraste anumAne,
   713pramāṇavirahādapauruṣeyatvameva sidhyati śabdārthasambandhasya714 /	713-pramANa-virahAt-apOruzeya-tvam-eva siDyati Sabda-arTa-sambanDasya714 /
   ata idamapahastitam /	atas idam-apahastitam /
   yadāhurbāhyāḥ---"yajjātīyo yatassiddhassa tasmādagnikāṣṭhavat /	yat-AhuH-bAhyAH---"yat-jAtIyaH yatassidDassa tasmAt-agni-kAzWa-vat /
   715adṛṣṭaheturapyanyastadbhavassampratīye" //	715a-dRzwa-hetuH-api-anyaH-tad-Bava-ssampratIye" //
   pra. vā. pari. 3. ślo. 243 iti /	pra. vA. pari. 3. Slo. 243 iti /
   vṛddhavyavahārasyānāditvasamarthanam /	vRdDa-vyavahArasya-anAdi-tva-samarTanam /
   nanu siddhyedayaṃ manoratho yadi vṛddhavyavahāraparamparāyā anāditā syāt,	nanu sidDyet-ayam manoraTaH yadi vRdDa-vyavahAra-paramparAyAH anAditA syAt-,
   sā tu prācīnanayanivāritā iti /	sA tu prAcInanaya-nivAritAH iti /
   atra vadāmaḥ /	atra vadAmaH /
   bhavatu sāvayavaṃ sarvamavayavasaṃyogārabdhasattākam, avayavasaṃyogāpāye	Bavatu sa-avayavam sarvam-avayava-saMyoga-ArabDa-sattAkam, avayava-saMyoga-apAye
   vinaśvaramiti ca /	vinaSvaram-iti ca /
   tathāpyekadaiva 716sakalasya sambhavaḥ, vināśaścetyatra nāsti717pramāṇam /	taTA-api-ekadA-eva 716-sakalasya samBavaH, vinASaH-ca-iti-atra nAsti717-pramANam /
   pratyuta yathādarśanamidameva tāvadavasātumucitam---krameṇa codayaḥ,	pratyuta yaTAdarSanam-idam-eva tAvat-avasAtum-ucitam----krameNa codayaH,
   krameṇa vilayaśceti /	krameNa vilayaH-ca-iti /
   kiñca yathādyatanā janā mātṛpitṛsaṃyoganibandhanātmalābhāḥ, tathā pūrve	kiQca yaTAdyatanAH janAH mAtR-pitR-saMyoga-nibanDana-Atma-lABAH, taTA pUrve
   'pi janā janatvāditi śakyamevānumātum /	api janAH jana-tvAt-iti Sakyam-eva-anumAtum /
   na cāyamayonijānāṃ kevalena dharmādhipatyena, adharmādhipatyena ca	na ca-ayam-ayonijAnAm kevalena Darma-ADipatyena, aDarma-ADipatyena ca
   saṃsvedajānāmiva sambhavo ghaṭate /	saMsveda-jAnAm-iva samBavaH Gawate /
   jarāyujā---ṇḍajānāṃ tathā taddarśanābhāvāt718 /	jarA-yu-jA---Nxa-jAnAm taTA tad-darSana-aBAvAt718 /
   dṛṣṭānusāri hi sarvatrānumānam /	dRzwa-anusAri hi sarvatra-anumAnam /
   tena saṃsvedajeṣu niyamena dṛṣṭaṃ na jarāyujā---ṇḍajayorapyayonijatvaṃ	tena saMsveda-jezu niyamena dRzwam na jarA-yu-jA---Nxa-jayoH-api-ayonija-tvam
   śakyate 'numātum /	Sakyate anumAtum /
   na hi pāṇḍaramātreṇa bāṣpādapi vahneranumānam /	na hi pANxara-mAtreNa bAzpAt-api vahneH-anumAnam /
   kintu yādṛśameva pāṇḍaradravyaṃ niyamena vahniniyataṃ pratipannam,	kintu yAdRSam-eva pANxara-dravyam niyamena vahni-niyatam pratipannam,
   tādṛśameva tasyānumāpakamucitam /	tAdRSam-eva tasya-anumApakam-ucitam /
   īśvaranirākaraṇam /	ISvara-nirAkaraNam /
   yaccedamuditaṃ719 dharmādharmau cetanātiśayādhiṣṭhitāviti,	yat-ca-idam-uditaM719 Darma-aDarmO cetanA-atiSaya-aDizWitO=-iti,
   tadapyasiddhameva /	tat-api-asidDam-eva /
   yasyaiva tau kṣaitrajñasya, sa evādhiṣṭhātāstu /	yasya-eva tO kzEtrajQasya, saH eva-aDizWAtAH-tu /
   athājñatvāttasyādhiṣṭhātṛtvaṃ720 nopapadyata iti cet, tarhyanyasyāpi	aTa-ajQa-tvAt-tasya-aDizWAtR-tvaM720 na-upapadyate iti cet, tarhi-anyasya-api
   kathamupapadyate /	kaTam-upapadyate /
   na hi tasyāpi parapuruṣavarti dharmādharmajñānamupapadyate, kāraṇābhāvāt /	na hi tasya-api para-puruza-varti Darma-aDarma-jQAnam-upapadyate, kAraNa-aBAvAt /
   na hi tasyendriyāṇi kāraṇam, indriyāṇāṃ tatra 721sāmarthyādarśanāt /	na hi tasya-indriyANi kAraNam, indriyANAm tatra 721-sAmarTyA-darSanAt /
   na ca kevalaṃ manaḥ, kevalasya manaso 722bāhyeṣvapravṛtteḥ /	na ca kevalam manaH, kevalasya manasaH 722bAhyezu-apravRtteH /
   na hi 723dharmādharmarahitasyeśvarasyendriyamanassambandho bhavati,	na hi 723Darma-aDarma-rahitasya-ISvarasya-indriya-mana-ssambanDaH Bavati,
   dharmādharmanibandhanatvāt tatsambandhasya /	Darma-aDarma-nibanDana-tvAt tad-sambanDasya /
   atha kāraṇamanyadeveśvarabuddheḥ /	aTa kAraNam-anya-deva-ISvara-budDeH /
   tadayuktam /	tat-ayuktam /
   prasiddhakāraṇatvādbuddheḥ /	prasidDa-kAraNa-tvAt-budDeH /
   prasiddhāni hi kāraṇāni buddheḥ /	prasidDAni hi kAraNAni budDeH /
   yatkāraṇaṃ hi yatkarayaṃ dṛṣṭam, tatkāraṇakameva taditi yuktam /	yat-kAraNam hi yat-karayam dRzwam, tad-kAraNakam-eva tat-iti yuktam /
   anyathā cetanādhiṣṭhitā vāsī dṛṣṭeti, kathaṃ dharmādharmayorapi	anyaTA cetanA-aDizWitA vAsI dRzwA-iti, kaTam Darma-aDarmayoH-api
   tadadhiṣṭhitatvaṃ bhaviṣyati /	tad-aDizWita-tvam Bavizyati /
   athākāraṇā nityaiveśvarabuddhiriti cet /	aTa-akAraNA nitya-eva-ISvara-budDiH-iti ced /
   tadapyasundaram /	tat-api-asundaram /
   buddhitattvasya nityatvābhāvāt /	budDi-tattvasya nitya-tva-aBAvAt /
   nityā satī buddhireva na syāt /	nityA satI budDiH-eva na syAt /
   buddhimatā cādhiṣṭhānaṃ dṛṣṭam, na punaranyena /	budDimatA ca-aDizWAnam dRzwam, na punar-anyena /
   athādṛṣṭamapi buddhernityatvamaṅgīkriyate, tadā cetanānadhiṣṭhitatvameva	aTa-adRzwam-api budDeH-nitya-tvam-aFgIkriyate, tadA cetanA-anaDizWita-tvam-eva
   kimiti nāṅgīkriyate /	kim-iti na-aFgIkriyate /
   atha siddhe 'dhiṣṭhātṛtve, jñānamapi kalpyata iti /	aTa sidDe aDizWAtR-tve, jQAnam-api kalpyate iti /
   724tadayuktam /	724tad-ayuktam /
   725jñānādyananubaddhasyādhiṣṭhātṛtvasya kāraṇābhāvāt pratikṣipte jñāne	725-jQAna-Adi-ananubadDasya-aDizWAtR-tvasya kAraNa-aBAvAt pratikzipte jQAne
   satyanumātumaśakteḥ /	sati-anumAtum-aSakteH /
   tena śakyajñānamevācetanaṃ cetanādhiṣṭhitamiti vyāptirāśrayaṇīyā,	tena Sakya-jQAnam-eva-acetanam cetanA-aDizWitam-iti vyAptiH-ASrayaNIyA,
   tathādarśanāt /	taTA-adarSanAt /
   takṣādayo hi śakyajñānānyeva vāsyādīnyadhitiṣṭhanto dṛśyante, nānyāni /	takza-AdayaH hi Sakya-jQAnAni-eva vA-asya-AdIni-aDitizWantaH dRSyante, na-anyAni /
   api cādhiṣṭhānārtho 'pi cintanīyaḥ /	api ca-aDizWAna-arTaH api cintanIyaH /
   na tāvatsaṃyogaḥ, guṇatvena dharmādharmayossaṃyogābhāvāt /	na tAvat-saMyogaH, guNa-tvena Darma-aDarmayossaMyoga-aBAvAt /
   samavāyo 'pi parapuruṣasamavāyinordharmādharmayorīśvaraṃ pratyanupapannaḥ	samavAyaH api para-puruza-samavAyinoH-Darma-aDarmayoH-ISvaram pratyanupapannaH
   vāsyādiṣu tu takṣādīnāṃ karasaṃyogādirevādhiṣṭhānam /	vAsi-a-Adizu tu takza-AdInAm kara-saMyoga-AdiH-eva-aDizWAnam /
   tathā pravṛttirapi kīdṛśī /	taTA pravRttiH-api kIdRSI /
   na tāvat kriyā, guṇabhūtayordharmādharmayoḥ kriyābhāvāt /	na tAvat kriyA, guNa-BUtayoH-Darma-aDarmayoH kriyA-BAvAt /
   utpattiścet, tarhi sā kṣetrajñādeva samavāyikāraṇāt,	utpattiH-cet, tarhi sA kzetrajQAt-eva samavAyi-kAraNAt,
   ātmamanassaṃyogāccāsamavāyikāraṇādabhisandhyādinimittakāraṇopagṛhītāditi /	Atma-manassaMyogAt-ca-asamavAyi-kAraNAt-aBisanDyAdi-nimitta-kAraNa-upagRhItAt-iti /
   phaladānamiti cet /	Pala-dAnam-iti ced /
   na deśakālāvasthādisahakārisahitābhyāṃ 726dharmādharmābhyāmeva phalam, na	na deSa-kAla-avasTA-Adi-sahakAri-sahitAByAm 726Darma-aDarmAByAm-eva Palam, na
   cetanavyāpārāpekṣam /	cetana-vyApAra-apekzam /
   vaiśeṣikābhimateśvaranirāsaḥ //	vESezika-aBimata-ISvara-nirAsaH //
   yadapi kecidāhuḥ---paramāṇava eveśvarecchāvaśena pravartanta iti /	yat-api kecid-AhuH----paramANavaH eva-ISvara-icCA-vaSena pravartante iti /
   tadapi na yuktam /	tat-api na yuktam /
   kvacittathāvidhasyādhiṣṭhānasyādarśanāt /	kvacid-taTAviDasya-aDizWAnasya-adarSanAt /
   śarīre tathādarśanamiti cet /	SarIre taTA-adarSanam-iti ced /
   na /	na /
   tasya kṣetrajñadharmādharmaparigṛhītatvāt727 /	tasya kzetrajQa-Darma-aDarma-parigRhIta-tvAt727 /
