   ātmabhāvarakṣā ṣaṣṭhaḥ paricchedaḥ |	Atma-BAva-rakzA zazWaH paricCedaH |
   ap tu cittam evâsya vaśaṃ gacchati |	ap tu cittam eva-asya vaSam gacCati |
   cittenâsya vaśībhūtena sarvadharmā vaśībhavantîti ||	cittena-asya vaSIBUtena sarva-DarmAH vaSIBavantîti ||
   tathâryadharmasaṅgītisūtre 'py uktaṃ |	taTA-Irya-Darma-saFgI-iti-sUtre api uktam |
   mativikramo bodhisatvâha |	mati-vikramaH boDisatvâha |
   yo 'yaṃ dharmo dharmêty ucyate nâyaṃ dharmo deśastho*na pradeśastho	yaH ayam DarmaH Darmêti ucyate nâyam DarmaH deSa-sTo*na pradeSa-sTaH-
   'nyatra svacittâdhīno dharmaḥ tasmān mayā svacittaṃ svārādhitaṃ	anyatra sva-cittâ-DInaH DarmaH tasmAt mayA sva-cittam sva-ArADitam
   svadhiṣṭhitaṃ susamārabdhaṃ sunigṛhītaṃ kartavyaṃ |	su-aDizWitam su-samArabDam su-nigRhItam kartavyam |
   tat kasya hetoḥ |	tat kasya hetoH |
   yatra cittaṃ tatra guṇadoṣāḥ |	yatra cittam tatra guNa-dozAH |
   nâsti niścittatāyāṃ guṇadoṣaḥ |	nâsti niScitta-tAyAm guNa-dozaH |
   tatra bodhisatvo*doṣebhyaś cittaṃ nivārya guṇeṣu pravartayati ||	tatra boDisatva-u*dozeByaH cittam nivArya guNezu pravartayati ||
   tad ucyate |	tat ucyate |
   cittâdhīno*dharmo dharmâdhīnā bodhir iti ||	cittâDIno*-DarmaH DarmâDInAH boDiH iti ||
   ayaṃ bhagavan dharmaṃ samādānaḥ sukhâbhisaṃbodhāya saṃvartatae iti ||	ayam Bagavan Darmam samAdAnaH suKâBisaMboDAya saMvartatae iti ||
   āryagaṇḍavyūhasūtre 'pi varṇitaṃ |	Arya-gaNxavyUha-sUtre api varNitam |
   svacittâdhiṣṭhānaṃ sarvabodhisatvacaryā	sva-cittâDizWAnam sarva-boDisatva-caryA
   [ Cambridge MS f63a ---> ]	[ Cambridge M f63aH ---> ]
   svacittâdhiṣṭhānaṃ sarvasatvaparipākavinayaḥ ||	sva-cittâDizWAnam sarva-satva-paripAka-vinayaH ||
   pe ||	pe ||
   tasya mama kulaputrâivaṃ bhavati |	tasya mama kula-putrâivam Bavati |
   svacittam evôpastambhayitavyaṃ sarvakuśalamūlaiḥ |	sva-cittam evôpastamBayitavyam sarva-kuSala-mUlEH |
   svacittam evâbhiṣyandayitavyaṃ dharmameghaiḥ |	sva-cittam evâBizyandayitavyam Darma-meGEH |
   svacittam eva pariśodhayitavyam āvaraṇāya dharmebhyaḥ |	sva-cittam eva pariSoDayitavyam AvaraNAya DarmeByaH |
   svacittam eva dṛḍhīkartavyaṃ vīryeṇêty ādi ||	sva-cittam eva dRXIkartavyam vIryeNêti Adi ||
   tathâtrâiva māyādevy-adarśanâkulībhūte āryasudhane ratnanetrāyā	taTâtrâiva mAyAdevy-a-darSa-nâkulIBUte Arya-suDane ratna-netrAyAH-
   nagaradevatāyās taddarśanârtham iyam anuśāsanī |	nagara-devatAyAH tad-darSanârTam iyam anuSAsanI |
   cittanagaraparipālanakuśalena te kulaputra bhavitavyaṃ	citta-nagara-paripAlana-kuSalena te kula-putra Bavitavyam
   sarvasaṃsāraviṣayaraty-	sarva-saMsAra-vizaya-rati--
   [ Bendall ed p123 ---> ]	[ Bet-dalt ed p123 ---> ]
   asaṃvasanatayā |	asaMvasana-tayA |
   cittanagarâlaṃkāraprayuktena te kulaputra bhavitavyaṃ	citta-nagarâ-laMkAra-prayuktena te kula-putra Bavitavyam
   daśatathāgatabalâdhyālambanatayā |	daSa-taTAgata-balâDyA-Alambana-tayA |
   cittanagarapariśodhanaprayuktena te kulaputra bhavitavyam	citta-nagara-pariSoDana-prayuktena te kula-putra Bavitavyam
   īrṣyāmātsaryaśāṭhyâpanayanatayā |	IrzyA-mAtsarya-SAWyâpanayana-tayA |
   cittanagaravivardhanâbhiyuktena te kulaputra bhavitavyaṃ	citta-nagara-vivarDanâBiyuktena te kula-putra Bavitavyam
   sarvajñatāsaṃbhāramahāvīryavegavivardhanatayā |	sarvajQa-tA-saMBAra-mahA-vIrya-vega-vivarDana-tayA |
   cittanagaraduryodhanadurāsadatâbhinirhāraprayuktena te kulaputra	citta-nagara-duryoDana-durAsadatâBinirhAra-prayuktena te kula-putra
   bhavitavyaṃ sarvakleśamārakāyikapāpamitramāracakrânavamardanatayā |	Bavitavyam sarva-kleSa-mAra-kAyika-pApa-mitra-mAra-cakrânava-mardana-tayA |
   cittanagarapravistaraṇaprayuktena te kulaputra bhavitavyaṃ	citta-nagara-pravistaraNa-prayuktena te kula-putra Bavitavyam
   mahāmaitrīsarvajagatsphuraṇatayā |	mahA-mEtrI-sarva-jagat-sPuraNa-tayA |
   cittanagarapraticchādanaprayuktena te kulaputra bhavitavyaṃ	citta-nagara-praticCAdana-prayuktena te kula-putra Bavitavyam
   vipuladharmacchatrasarvâkuśala dharmapratipakṣâbhinirharaṇatayā |	vipula-Darma=-Catra-sarvâ-kuSala Darma-pratipakzâBinirharaNa-tayA |
   cittanagaravivaraṇaprayuktena te kulaputra bhavitavyaṃ	citta-nagara-vivaraNa-prayuktena te kula-putra Bavitavyam
   ādhyātmikabāhyavastu sarvajagatsaṃprāpaṇatayā |	ADyAtmika-bAhya-vastu sarva-jagat-saMprApaNa-tayA |
   cittanagaradṛḍhasthāmâbhinirharaprayuktena te kulaputra bhavitavyaṃ	citta-nagara-dRXa-sTAmâBi-nirhara-prayuktena te kula-putra Bavitavyam
   sarvâkuśaladharmasva santatyavasanatayā |	sarvâ-kuSala-Darmasva santati-avasana-tayA |
   yāvad evaṃ cittanagaraviśuddhyabhiyuktena kulaputra bodhisatvena śakyaṃ	yAvat evam citta-nagara-viSudDi-aBiyuktena kula-putra boDisatvena Sakyam
   sarvakuśalamūla samārjanam anuprāptuṃ |	sarva-kuSala-mUla samArjanam anuprAptum |
   tat kasya hetoḥ |	tat kasya hetoH |
   tathā hi tasya bodhisatvasyâivaṃ cittanagara-	taTA hi tasya boDisatvasyâivam citta-nagara-
   [ Cambridge MS f63b ---> ]	[ Cambridge M f63B ---> ]
   pariśuddhaysa sarvâvaraṇāni purato na saṃtiṣṭhante |	pariSudDaysa sarvâvaraNAni puratas na saMtizWante |
   buddhadarśanâvaraṇaṃ vā dharmaśravaṇâvaraṇaṃ vêty ādi |	budDa-darSanâ-varaNam vA Darma-SravaNâ-varaNam vêti Adi |
   tasmād vyavasthitam evaṃ |	tasmAt vyavasTitam evam |
   cittaparikarmâiva bodhisatvaśikṣêti |	citta-parikarmâ-iva boDisatva-Sikzêti |
   tac câcapalacetasaḥ ||	tat câcapala-cetasaH ||
   śamāc ca na calec cittaṃ bāhyaceṣṭānivartanāt ||	SamAt ca na calet cittam bAhya-cezwA-nivartanAt ||
   asaṃprajanyaparatantrasya muṣitasmṛteś ca cittaṃ calati samīhitād	asaMprajanya-paratantrasya muzita-smRteH ca cittam calati samIhitAt-
   ālambanād anyatra nīyamānatvāt |	AlambanAt anyatra nIyamAna-tvAt |
   yadā tu smṛtisaṃprajanyena bāhyāś ceṣṭā*nivarti-	yadA tu smRti-saMprajanyena bAhyAH cezwA*-nivarti-
   [ Bendall ed p124 ---> ]	[ Bet-dalt ed p124 ---> ]
   tā bhavanti tadā tadvaśatvād ekasminn ālambane nibaddhaṃ yāvad iṣyate	tAH Bavanti tadA tad-vaSa-tvAt ekasmin Alambane nibadDam yAvat izyate
   tāvat tiṣṭhati |	tAvat tizWati |
   tataś ca pūrvavad anuśaṃsavistaraḥ |	tatas ca pUrvavat anuSaMsa-vistaraH |
   adyatve 'pi ca satvârthakṣamo bhavaty eva prasādakaratvāt |	adya-tve api ca satu-ârTa-kzamaH Bavati eva prasAda-kara-tvAt |
   kathaṃ ||	kaTam ||
   sarvatrâcapalamandamitasnigdhâbhibhāṣaṇāt |	sarvatrâcapala-manda-mita-snigDâBi-BAzaNAt |
   āvarjayej janaṃ bhavyam ādeyaś câpi jāyate ||	Avarjayet janam Bavyam AdeyaH câpi jAyate ||
   etad eva ca bodhisatvasya kṛtyam yad uta satvâvarjanaṃ |	etat eva ca boDisatvasya kRtyam yat uta satvâ-varjanam |
   yathâryadharmasaṃgītisūtre |	yaTârya-Darma-saMgIti-sUtre |
   āryapriyadarśena bodhisatvena paridīpitaṃ |	Arya-priya-darSena boDisatvena paridIpitam |
   tathā tathā bhagavan bodhisatvena pratipattavyaṃ yat sahadarśanenâiva	taTA taTA Bagavan boDisatvena pratipattavyam yat saha-darSanenâiva
   satvāḥ prasīdeyuḥ |	satvAH prasIdeyuH |
   tat kasmād dhetoḥ |	tat kasmAt DetoH |
   na bhagavan bodhisatvasyânyat karaṇīyam asty anyatra satvâvarjanāt |	na Bagavan boDisatvasyânyat karaNIyam asti anyatra satvâ-varjanAt |
   satvaparipākâivêyaṃ bhagavan bodhisatvasya dharmasaṃgītir iti ||	satva-paripAkâivêyam Bagavan boDisatvasya Darma-saMgItiH iti ||
   evaṃ punar akriyamāṇe ko doṣêty āha |	evam punar akriyamANe kaH dozêti Aha |
   anādeyaṃ tu taṃ lokaḥ paribhūya jinâṅkuraṃ |	anAdeyam tu tam lokaH pariBUya jinâFkuram |
   bhasmachanno yathā vahniḥ pacyeta narakâdiṣu ||	Basma-CannaH yaTA vahniH pacyeta narakâdizu ||
   yathā prāg upadarśitaṃ ||	yaTA prAk upadarSitam ||
   yena câsya paribhavâivam anartho ratnameghe jinenôktas tena	yena ca-asya pariBavâivam anarTaH ratna-meGe jinet-ôktaH tena
   saṃkṣepasaṃvaraḥ |yenâprasādaḥ satvānāṃ tad yatnena vivarjayed iti ||	saMkzepa-saMvaraH |yenâ-prasAdaH satvAnAm tat yatnena vivarjayet iti ||
   yathâha |	yaTâha |
   katame ca te bodhisatvasamudācārāḥ |	katame ca te boDisatva-samudAcArAH |
   yāvad iha bodhisatvo nâsthāne viharati nâkāle |	yAvat iha boDisatvaH nâsTAne viharati nâkAle |
   nâkālabhāṇī bhavati nâkālajño bhavati nâdeśajño bhavati |	nâkAla-BANI Bavati nâkAla-jQaH Bavati nâdeSa-jQaH Bavati |
   yato nidānam asyântike satvâprasādaṃ prativedayeyuḥ |	yatas nidAnam asi-ântike satvâ-prasAdam prativedayeyuH |
   sa sarvasatvânurakṣayā |	sa sarva-satu-ânurakzayA |
   [ Cambridge MS f64a ---> ]	[ Cambridge M f64aH ---> ]
   ātmanaś ca bodhisaṃbhāraparipūraṇârthaṃ*saṃpannêryāpatho bhavati mṛdubhāṇī	AtmanaH ca boDi-saMBAra-paripUraNârTaM*saMpad-nêryA-paTaH Bavati mRduBANI
   mandabhāṇī |	mandaBANI |
   asaṃsargabahulaḥ |	asaMsarga-bahulaH |
   pravivekâbhimukhaḥ |	pravivekâ-BimuKaH |
   suprasannamukhêti ||	su-prasanna-muKêti ||
   [ Bendall ed p125 ---> ]	[ Bet-dalt ed p125 ---> ]
   atâiva dharmasaṃgītisūtre deśitaṃ |	atâiva Darma-saMgIti-sUtre deSitam |
   yaḥ satvān rakṣati sa śīlaṃ rakṣatîti |	yaH satvAn rakzati sa SIlam rakzatîti |
   anayā kanīyena mātṛgrāmeṇa saha rahoavasthâdiṣu lokarakṣā ca kṛtā syāt |	anayA kanIyena mAtR-grAmeNa saha rahaH-avasTâdizu lokarakzA ca kRtA syAt |
   evaṃ bhogyeṣu jalasthaleṣu mūtrapurīṣaśleṣmapūyâdīnāṃ kutsitānāṃ rahasy	evam Bogyezu jala-sTalezu mUtra-purIza-Slezma-pUyâdInAm kutsitAnAm rahasy
   arahasi côtsargaṃ na kuryād devamanuṣyacittarakṣârthaṃ ||	arahasi côt-sargam na kuryAt deva-manuzya-citta-rakzârTam ||
   saddharmasmṛtyupasthāne ca rahôtsiṣṭaṃ kṛtvânutsiṣṭâhāreṣv adadataḥ	sadDarma-smRti-upasTAne ca rahôtsizwam kRtvânutsizwâ-hArezu adadataH
   pretagatiḥ paṭhyate ||	preta-gatiH paWyate ||
   tathā bodhisatvaprātimokṣe 'py aprasādaparihārôktaḥ |	taTA boDisatva-prAtimokze api aprasAda-parihArôktaH |
   na purato dantakāṣṭhaṃ khāditavyaṃ na purataḥ kheṭe nikṣiptavyêti |	na puratas dantakAzWam KAditavyam na puratas Kewe nikzipta-vyêti |
   eṣa ca gauravalajjāvidhiḥ sarvadraṣṭavyo na brahmacāriṣv eva |	eza ca gOrava-lajjA-viDiH sarva-drazwavyaH na brahmacArizu eva |
   atra tu sūtre brahmacāry-adhikāraḥ teṣu gurutarâpattibhayasaṃdarśanârthaṃ	atra tu sUtre brahmacArI--aDikAraH tezu gurutarâ-patti-Baya-saMdarSan-ârTam
   yathâtrâivâha |	yaTâtrâivâha |
   nôccairbhāṣiṇā bhavitavyam iti ||	nôccEs-BAziNA Bavitavyam iti ||
   na câyaṃ vidhiḥ prādeśikaḥ |	na câyam viDiH prAdeSikaH |
   tathā brahmaparipṛcchāyām apy uktaṃ na ca vadhasadṛśena bodhisatvena	taTA brahma-paripRcCAyAm api uktam na ca vaDa-sadRSena boDisatvena
   bhavitavyam iti |	Bavitavyam iti |
   tathā prātimokṣād api lokâprasādakaram anveṣya varjanīyaṃ |	taTA prAtimokzAt api lokâ-prasAda-karam anvezya varjanIyam |
   tan na tāvad ||	tat na tAvat ||
   mukhapūraṃ na bhuñjīta saśabdaṃ prasṛtânanaḥ |	muKapUram na BuQjIta sa-Sabdam prasRtânanaH |
