   Ajitasenavyākaraṇam	Ajita-sena-vyAkaraNam
   bhagavataḥ puratastasthuḥ / atha khalu bhagavān pūrvāhṇakālasamaye nivāsya	BagavataH puratas-tasTuH / aTa Kalu BagavAn pUrvAhNa-kAla-samaye nivAsya
   pātracīvaramātraḥ śrāvastīṃ mahānagarīṃ piṇḍāya prāviśat / atha	pAtra-cIvara-mAtraH SrAvastIm mahA-nagarIm piNxAya prAviSat / aTa
   bhagavānāyuṣmantamānandamāmantrayate (Asv 104) sma / gacchānanda pātraṃ	BagavAn-Ayuzmantam-Anandam-Amantrayate (Asu 104) sma / gacCa-Ananda pAtram
   cakrikaṃ śikyamānaya / athāyuṣmānānando bhagavataḥ śrutamātreṇa pātraṃ	cakrikam Sikyam-Anaya / aTa-AyuzmAn-AnandaH BagavataH Sruta-mAtreNa pAtram
   cakrikaṃ śikyaṃ bhagavate upanāmayāmāsa / athāyuṣmānānando bhagavataḥ	cakrikam Sikyam Bagavate upanAmayAmAsa / aTa-AyuzmAn-AnandaH BagavataH
   kṛtāñjalipuṭo bhagavantaṃ gāthābhiradhyabhāṣata /	kRta-aQjali-puwaH Bagavantam gATABiH-aDi-aBAzata /
   yadā tvaṃ praviśasi piṇḍapātika vimocaye tvaṃ bahavaṃ hi prāṇinām /	yadA tvam praviSasi piNxapAtika vimocaye tvam bahavam hi prANinAm /
   uttāraye tvaṃ bahavaṃ hi sattvā narakabhayājjātijarāmahābhayā //	uttAraye tvam bahavam hi sattvAH naraka-BayAt-jAti-jarA-mahA-BayA //
   saṃsāraduḥkhakalilā mahābhayādvimocaye tvaṃ nara lokanāyaka /	saMsAra-duHKa-kalilA mahA-BayAt-vimocaye tvam nara loka-nAyakaH /
   mahānubhāvo varadakṣiṇīyo vimocayitvā punaraṃ hi āgamī //	mahA-anuBAvaH vara-dakziNIyaH vimocayitvA punar-am hi AgamI //
   athāyuṣmānānando bhagavata imā gāthā bhāṣitvā tūṣṇīṃ sthito 'bhūt / atha	aTa-AyuzmAn-AnandaH BagavataH imA gATA BAzitvA tUzNIm sTitaH aBUt / aTa
   bhagavān śrāvastyāṃ mahānagaryāṃ nātidūre sthito 'bhūt / atha te sarve	BagavAn SrAvastyAm mahA-nagaryAm na-ati-dUre sTitaH aBUt / aTa te sarve
   gavākṣatoraṇaniryūhakā hiraṇyamayāḥ sphaṭikamayā rūpyamayāḥ prādurabhūvan	gavAkza-toraNa-niryUhakAH hiraNya-mayAH sPawika-mayAH rUpya-mayAH prAduraBUvan
   / tathā śrāvastyāṃ mahānagaryāṃ mahāntaṃ janakāyaṃ saṃsthito 'bhūvan /	/ taTA SrAvastyAm mahA-nagaryAm mahAntam jana-kAyam saMsTitaH aBUvan /
   atha sa janakāyaḥ saṃśayajāto babhūva ko hetuḥ kaḥ pratyayaḥ nagarasya	aTa sa jana-kAyaH saMSaya-jAtaH baBUva kaH hetuH kaH pratyayaH nagarasya
   śubhanimittaṃ prādurabhūt / mā cedaṃ nagaraṃ bhasmapralayaṃ syāt / atha	SuBa-nimittam prAduraBUt / mA ca-idam nagaram Basma-pralayam syAt / aTa
   tatra janakāye anekavarṣaśatasahasrakoṭīko (Asv 105) vṛddhamahallakaḥ	tatra jana-kAye aneka-varza-Sata-sahasra-kowIkaH (Asu 105) vRdDamahallakaH
   puruṣaḥ saṃsthito 'bhūt / atha sa puruṣastaṃ janakāyaṃ	puruzaH saMsTitaH aBUt / aTa sa puruzaH-tam jana-kAyam
   samāśvāsayannevamāha / mā bhaiṣurbhoḥ kulaputrāḥ / asminneva	samASvAsayan=-evam-Aha / mA BEzuH-BoH kula-putrAH / asmin=-eva
   pṛthivīpradeśe jetavanaṃ nāma vihāraḥ / tatra śākyamunirnāma tathāgato	pRTivI-pradeSe jetavanam nAma vihAraH / tatra SAkyamuniH-nAma taTAgataH-
   'rhan samyaksambuddho vidyācaraṇasampannaḥ sugato lokavidanuttaraḥ	arhan samyaksambudDaH vidyA-caraNa-sampannaH sugataH loka-vid-anuttaraH
   puruṣadamyasārathiḥ śāstā devānāṃ ca manuṣyāṇāṃ ca buddho bhagavān / so	puruza-damya-sAraTiH SAstA devAnAm ca manuzyANAm ca budDaH BagavAn / saH-
   'yaṃ śrāvastīṃ mahānagarīṃ piṇḍāya prāviśat / tasyāgamanakālasamaye idaṃ	ayam SrAvastIm mahA-nagarIm piNxAya prAviSat / tasya-Agamana-kAla-samaye idam
   śubhanimittamabhūt / atha sa janakāyastaṃ jīrṇakaṃ puruṣaṃ	SuBa-nimittam-aBUt / aTa sa janakAyaH-tam jIrNakam puruzam
   kṛtāñjalirevamāha / yattasya bhagavatastathāgatasyārhataḥ	kRtAQjaliH-evam-Aha / yat-tasya BagavataH-taTAgatasya-arhataH
   samyaksambuddhasya guṇavarṇasamudīraṇasamaye idaṃ śubhanimittamabhūt /	samyaksambudDasya guNa-varNa-samudIraNa-samaye idam SuBa-nimittam-aBUt /
   dṛṣṭamātrasya tasya tathāgatasyārhataḥ samyaksambuddhasya kīdṛśaḥ	dRzwa-mAtrasya tasya taTAgatasya-arhataH samyaksambudDasya kIdRSaH
   puṇyābhisaṃskāro bhaviṣyati / atha sa jīrṇakapuruṣastaṃ janakāyaṃ	puNya-aBisaMskAraH Bavizyati / aTa sa jIrNaka-puruzaH-tam jana-kAyam
   bhagavato guṇavarṇasamudīraṇatayā gāthābhiradhyabhāṣata /	BagavataH guNa-varNa-samudIraNa-tayA gATABiH-aDi-aBAzata /
   yo lokanāthasya hi nāmu yaḥ śruṇe saṃsāraduḥkhā vinimuktu so naro /	yaH loka-nATasya hi na-amu yaH SruNe saMsAra-duHKAH vinimuktu saH naraH /
   āpāyagāmī na kadāci bheṣyate svargaṃ ca so yāsyati śīghramevam //	ApAya-gAmI na kadAci Bezyate svargam ca saH yAsyati SIGram-evam //
   yo lokanāthasya hi nāmu yaḥ śruṇe dṛḍhapratijño bahukalpakoṭibhiḥ /	yaH loka-nATasya hi na-amu yaH SruNe dRXa-pratijQaH bahu-kalpa-kowiBiH /
   mahānubhāvo sugato mahātmanaḥ kalpānakoṭīnayutānacintiyān // (Asv 106)	mahA-anuBAvaH sugataH mahAtmanaH kalpAn-a-kowIn-a-yutAn-acintiyAn // (Asu 106)
   so bodhisattvo sthita gaṅgavālukān kadāci so gacchati durgatī bhayam /	saH boDisattvaH sTitaH gaFgavAlukAn kadAci saH gacCati durgatI Bayam /
   yo lokanāthasya hi nāmu yaḥ śruṇe āpāyagāmī na kadāci bheṣyate //	yaH loka-nATasya hi na-amu yaH SruNe ApAya-gAmI na kadAci Bezyate //
   kalpānakoṭīnayutānacintiyā rājā sa bhotī sada cakravartī /	kalpAn-a-kowIn-a-yutAn-acintiyA rAjA sa BotI sada cakravartI /
   yo lokanāthasya hi nāmu dhārayet //	yaH loka-nATasya hi na-amu DArayet //
   yat kiñci pūrvaṃ sada pāpu yat kṛtaṃ sarvaṃ kṣayaṃ yāsyati śīghrametat /	yat kiQci pUrvam sada pApu yat kRtam sarvam kzayam yAsyati SIGram-etat /
   śakropi devendramahānubhāvo kalpānakoṭīnayutānacintiyā //	Sakropi deva-indra-mahA-anuBAvaH kalpAna-kowIn-a-yutAn-acintiyA //
   sukhāvatīṃ gacchati buddhakṣetraṃ paryaṅkabaddho sa ca bodhisattvo /	suKAvatIm gacCati budDa-kzetram paryaFka-badDaH sa ca boDisattvaH /
   brahmasvaro susvaru mañjughoṣa bhavanti varṣānasahasrakoṭibhiḥ //	brahma-svaraH susvaru maQjuGoza Bavanti varzAna-sahasra-kowiBiH //
   apāyagāmī na kadāci bheṣyate yo lokanāthasya hi nāmu dhārayet /	apAya-gAmI na kadAci Bezyate yaH loka-nATasya hi na-amu DArayet /
   atha sa jīrṇakaḥ purūṣo janakāyaṃ bhagavato guṇavarṇamudīrayitvā tūṣṇīṃ	aTa sa jIrNakaH purUzaH jana-kAyam BagavataH guNa-varNam-udIrayitvA tUzNIm
   sthito 'bhūt / atha bhagavān pūrveṇa nagaradvāreṇa śrāvastīṃ mahānagarīṃ	sTitaH aBUt / aTa BagavAn pUrveNa nagara-dvAreNa SrAvastIm mahA-nagarIm
   praviṣṭo 'bhut / tatra ca nagaradvāre dvādaśakoṭyaḥ padmānāṃ prādurabhūvan	pravizwaH aBut / tatra ca nagara-dvAre dvAdaSa-kowyaH padmAnAm prAduraBUvan
   / teṣu ca padmeṣu dvādaśakoṭyo bodhisattvānāṃ paryaṅkaniṣaṇṇāḥ (Asv 107)	/ tezu ca padmezu dvAdaSa-kowyaH boDisattvAnAm paryaFka-nizaNNAH (Asu 107)
   prādurabhūvan prāñjalayaḥ / atha bhagavataḥ praviṣṭamātreṇa śrāvastyāṃ	prAduraBUvan prAQjalayaH / aTa BagavataH pravizwa-mAtreNa SrAvastyAm
   mahānagaryāṃ navanavatikoṭīniyutaśatasahasrāṇi sattvānāṃ sukhāvatyāṃ	mahA-nagaryAm navanavati-kowI-niyuta-Sata-sahasrANi sattvAnAm suKAvatyAm
   lokadhātau pratiṣṭhāpitāni	lokaDAtO pratizWApitAni
   caturaśītisattvakoṭīniyutaśatasahasrāṇyābhiratyā	caturaSIti-sattva-kowI-niyuta-Sata-sahasrANi-ABiratyA
   lokadhātorakṣobhyatathāgatasya buddhakṣetre pratiṣṭhāpitāni /	lokaDAtoH-akzoBya-taTA-gatasya budDa-kzetre pratizWApitAni /
   atha bhagavān ānandena saha nagaravalambikāyā dārikāya gṛhe samāgato	aTa BagavAn Anandena saha nagara-valambikAyAH dArikAya gRhe samAgataH-
   'bhūta / atha bhagavān nagaravalambikāyā dārikāyā gṛhe cakrikaṃ	aBUta / aTa BagavAn nagara-valambikAyAH dArikAyAH gRhe cakrikam
   kaṭakaṭāpayāmāsa / atha sā dārikā taṃ cakrīśabdaṃ śrutvā saṃśayajātābhūt /	kawa-kawApayAmAsa / aTa sA dArikA tam cakrI-Sabdam SrutvA saMSaya-jAtA-aBUt /
   ko hetuḥ kaḥ pratyayaḥ / mama gṛhe na kadācit piṇḍapātika āgato 'bhūt /	kaH hetuH kaH pratyayaH / mama gRhe na kadAcid piNxapAtikaH AgataH aBUt /
   atha sa nagaravalambikā dārikā śūnyākāragṛhe niṣaṇṇā aśrukaṇṭhī rudantī	aTa sa nagaravalambikA dArikA SUnya-AkAra-gRhe nizaNNA aSru-kaNWI rudantI
   paridevantī sthitābhūt tīkṣṇadhāramasiṃ gaveṣantī paridevantī rudantī	paridevantI sTitA-aBUt tIkzNaDAram-asim gavezantI paridevantI rudantI
   sthitābhūt / atha sā dārikā śūnyākāragṛhe niṣaṇṇā paridevantī aśrukaṇṭhī	sTitA-aBUt / aTa sA dArikA SUnya-AkAra-gRhe nizaNNA paridevantI aSru-kaNWI
   rudantī gāthābhiradhyabhāṣata /	rudantI gATABiH-aDyaBAzata /
   aho bata duḥkhu daridrake gṛhe varaṃ mama maraṇu na cāpi jīvitam /	aho bata duHKu daridrake gRhe varam mama maraNu na ca-api jIvitam /
   kiṃ cāpi me kāryuṣu jīvitena yadyaivāhaṃ duḥkhu śarīra pīḍitam //	kim ca-api me kAryuzu jIvitena yadi-a-eva-aham duHKu SarIra pIxitam //
   kana.......................hyatrāṇaṃ bhavate parāyaṇam /	kana.......................hya-trANam Bavate parAyaNam /
   anāthabhūtā ahamadyameva yadyaivāhaṃ jāta daridrake gṛhe // (Asv 108)	anATa-BUtAH aham-adyam-eva yadi-a-eva-aham jAta daridrake gRhe // (Asu 108)
   atha sa nagaravalambikā dārikā śūnyākāragṛhe niṣaṇṇā imā gāthā bhāṣitvā	aTa sa nagaravalambikA dArikA SUnya-AkAra-gRhe nizaNNAH imA gATA BAzitvA
   tūṣṇīṃ sthitābhūt /	tUzNIm sTitA-aBUt /
   atha śuddhavāsakāyiko devaputro 'ntarīkṣagataḥ sthitaścintayati sma /	aTa SudDa-vAsa-kAyikaH deva-putraH antarIkza-gataH sTitaH-cintayati sma /
   paśyeccedimāṃ bhagavān / anekaduṣkarakoṭiniyutaśatasahasracīrṇacaritaḥ sa	paSyet-ced-imAm BagavAn / aneka-duzkara-kowi-niyuta-Sata-sahasra-cIrNa-caritaH sa
   śākyamunistathāgato nagaravalambikāyā dārikāyā gṛhe sthito 'bhūt / atha	SAkya-muniH-taTAgataH nagara-valambikAyAH dArikAyAH gRhe sTitaH aBUt / aTa
   śuddhavāsakāyiko devaputraḥ śatasahasramūlyaṃ muktāhāraṃ gṛhītvā	SudDa-vAsa-kAyikaH deva-putraH Sata-sahasra-mUlyam muktA-hAram gRhItvA
   śatarasabhojanapiṭakaṃ gṛhītvā kāśikāni vastrāṇi gṛhītvā yena	Sata-rasa-Bojana-piwakam gRhItvA kASikAni vastrANi gRhItvA yena
   nagaravalambikāyā dārikāyā gṛhaṃ tenopasaṅkrānto 'bhūt / atha	nagara-valambikAyAH dArikAyAH gRham tena-upasaFkrAntaH aBUt / aTa
   śuddhavāsakāyiko devaputro nagaravalambikāṃ dārikāmevamāha / prāvara	SudDa-vAsa-kAyikaH deva-putraH nagara-valambikAm dArikAm-evam-Aha / prAvara
   dārike imāni kāśikāni vastrāṇi imānyanekaśatasahasramūlyānyābharaṇāni /	dArike imAni kASikAni vastrANi imAni-aneka-Sata-sahasra-mUlyAni-ABaraNAni /
   prāvṛtya cedaṃ śatasahasramūlyaṃ muktāhāraṃ gṛhītvā imaṃ	prAvRtya ca-idam Sata-sahasra-mUlyam muktA-hAram gRhItvA imam
   śatarasabhojanapiṭakaṃ gṛhītvā bhagavantamupanāmaya / atha sā dārikā tāni	Sata-rasa-Bojana-piwakam gRhItvA Bagavantam-upanAmaya / aTa sA dArikA tAni
   kāśikāni vastrāṇi prāvṛtya śatasahasramūlyaṃ muktāhāraṃ gṛhītvā taṃ	kASikAni vastrANi prAvRtya Sata-sahasra-mUlyam muktA-hAram gRhItvA tam
   śatarasabhojanapiṭakaṃ gṛhītvā yena bhagavāṃstenopasaṅkrāntā /	Sata-rasa-Bojana-piwakam gRhItvA yena BagavAn=-tena-upasaFkrAntA /
   upasaṅkramya bhagavantamupanāmayati sma / atha bhagavān tāṃ	upasaFkramya Bagavantam-upanAmayati sma / aTa BagavAn tAm
   nagaravalambikāmevamāha / pariṇāmaya tvaṃ dārike yathā pariṇāmitaṃ	nagara-valambikAm-evam-Aha / pariNAmaya tvam dArike yaTA pariNAmitam
   vipaśyiśikhiviśvabhūkkakutasundakanakamunikāśyapaprabhṛtibhiḥ	vipaSyi-SiKi-viSva-BUkka-kuta-sunda-kanaka-muni-kASyapa-praBRtiBiH
   sadbhistathāgatairarhadbhiḥ samyaksambuddhaiḥ / anto bhaviṣyati	sadBiH-taTAgatEH-arhadBiH samyaksambudDEH / antaH Bavizyati
   strībhāvādanto bhaviṣyati daridragṛhāt / atha sā dārikā taṃ piṇḍapātaṃ	strI-BAvAt-antaH Bavizyati daridra-gRhAt / aTa sA dArikA tam piNxa-pAtam
   pariṇāmayitvā (Asv 109) bhagavantamupanāmayāmāsa / anena	pariNAmayitvA (Asu 109) Bagavantam-upanAmayAmAsa / anena
   piṇḍapātakuśalamūlena mā kaśmiṃścid daridragṛhe upapadyeya /	piNxa-pAta-kuSala-mUlena mA kaSmiMScid daridra-gRhe upapadyeya /
   atha sā nagaravalambikā dārikā taṃ piṇḍapātaṃ pariṇāmayitvā bhagavate	aTa sA nagaravalambikA dArikA tam piNxa-pAtam pariNAmayitvA Bagavate
   dattvā svagṛhagamanamārabdhā / atha bhagavān tāṃ nagaravalambikāṃ	dattvA sva-gRha-gamanam-ArabDAH / aTa BagavAn tAm nagara-valambikAm
   dārikāmevamāha / pratinivartasva dārike / pūrvejātinidānaṃ samanusmarāmi /	dArikAm-evam-Aha / pratinivartasva dArike / pUrvejAti-nidAnam samanusmarAmi /
   tadahaṃ parikīrtayiṣyāmi / atha sā dārikā pratinivṛtya sarvāṅgapraṇipātena	tat-aham parikIrtayizyAmi / aTa sA dArikA pratinivRtya sarva-aFga-praNipAtena
   bhagavantaṃ prapatitā / atha sā nagaravalambikā dārikā bhagavantaṃ	Bagavantam prapatitA / aTa sA nagaravalambikA dArikA Bagavantam
   gāthābhiradhyabhāṣata /	gATABiH-aDi-aBAzata /
   avaśyaṃ me pūrvakṛtena karmaṇā yenāhaṃ jāta daridrake gṛhe /	avaSyam me pUrva-kRtena karmaNA yena-aham jAta daridrake gRhe /
   karohi kāruṇya mamaṃ hi duḥkhita vinivartayasva narakā hi pālān //	karohi kAruNya mamam hi duHKita vinivartayasva narakAH hi pAlAn //
   karohi kāruṇya mama duḥkhitāyā istribhāvā upapannu nāyaka /	karohi kAruNya mama duHKitAyAH iH-tri-BAvAH upapannu nAyakaH /
   tvaṃ lokanātha jaravyādhiśoka vimocaye maṃ mama duḥkhitāyāḥ //	tvam lokanATa jara-vyADi-Soka vimocaye mam mama duHKitAyAH //
   trāṇaṃ bhavāhī śaraṇaṃ parāyaṇaṃ vimocayāhī mama duḥkhitāyāḥ /	trANam BavAhI SaraNam parAyaNam vimocayAhI mama duHKitAyAH /
   kṛtaṃ hi nātha praṇidhiṃ tvayā hi ye keci sattvā iha jambudvīpe // (Asv	kRtam hi nATa praNiDim tvayA hi ye keci sattvAH iha jambudvIpe // (Asu-
   tiṣṭhanti ye vai daśasu diśāsu sattvā hi sarve sukhitā kariṣye /	tizWanti ye vE daSasu diSAsu sattvAH hi sarve suKitA karizye /
   sarve ca haṃ mocayi duḥkhasāgarāt trāṇaṃ bhavāhī śaraṇaṃ parāyaṇam //	sarve ca ham mocayi duHKa-sAgarAt trANam BavAhI SaraNam parAyaNam //
   tvayaṃ hi nātha mayi mocayī jagat avaśyaṃ me pūrvakṛtena karmaṇā /	tu-ayam hi nATa mayi mocayI jagat avaSyam me pUrva-kRtena karmaNA /
   yenāhaṃ jātu daridrake gṛhe trāṇaṃ bhavāhī mama duḥkhitāyāḥ //	yena-aham jAtu daridrake gRhe trANam BavAhI mama duHKitAyAH //
   bhavaṃ tu nātha jaravyādhimocakaṃ trāṇaṃ bhavāhī guṇa sañcitāgra /	Bavam tu nATa jara-vyADi-mocakam trANam BavAhI guNa saQcita-agre /
   na cā kariṣye punareva pāpaṃ yadvedayāmī imi vedanāni //	na cA karizye punar-eva pApam yat-vedayAmI imi vedanAni //
   kṛpaṃ jani...............magra sattvā trāṇaṃ bhavāhī śaraṇaṃ parāyaṇam /	kRpam jani...............magra sattvA trANam BavAhI SaraNam parAyaNam /
   ye keci sattvā iha jambudvīpe nāmaṃ ca vai dhāraya paśca kāle //	ye keci sattvAH iha jambudvIpe nAmam ca vE DAraya paH-ca kAle //
   parinirvṛtasya tata paścakāle bhaviṣyati śāsanavipralopam /	parinirvRtasya tata paSca-kAle Bavizyati SAsana-vipralopam /
   yatakiñci pāpaṃ tadapūrva yat kṛtaṃ sarvaṃ kṣayaṃ yāsyati śīghrametat //	yata-kiQci pApam tat-apUrva yat kRtam sarvam kzayam yAsyati SIGram-etat //
   atha sā nagaravalambikā dārikā bhagavantaṃ gāthā bhāṣitvā punarapi	aTa sA nagaravalambikA dArikA Bagavantam gATAH BAzitvA punar-api
   gṛhagamanamārabdhā / atha bhagavān tāṃ nagaravalambikāṃ (Asv 111) dārikāṃ	gRha-gamanam-ArabDAH / aTa BagavAn tAm nagara-valambikAm (Asu 111) dArikAm
   kalaviṅkarutasvaranirghoṣeṇaivamāha / pratinivartasva dārike	kalaviFka-ruta-svara-nirGozeNa-evam-Aha / pratinivartasva dArike
   pūrvajātinidānaṃ samanusmarāmi tadahaṃ parikīrtayiṣyāmi / atha sā dārikā	pUrva-jAti-nidAnam samanusmarAmi tat-aham parikIrtayizyAmi / aTa sA dArikA
   pratinivṛtyaivamāha /	pratinivRtya-evam-Aha /
   parikīrtaya lokavināyakādya yadyat kṛtaṃ pāpa sadā sudāruṇam /	parikIrtaya loka-vinAyaka-adya yat-yat kRtam pApa sadA su-dAruNam /
   avaśya me pāpu kṛtaṃ sudāruṇaṃ yenāhaṃ jātu daridrake gṛhe //	avaSya me pApu kRtam su-dAruNam yena-aham jAtu daridrake gRhe //
   tvaṃ sārthavāhu iha sarvaloke vimocaye mam iha istribhāvā /	tvam sArTavAhu iha sarva-loke vimocaye mam iha iH-tri-BAvAH /
   trāṇaṃ bhavāhī śaraṇaṃ parāyaṇaṃ kṛtajñahaṃ nitya bhavāmi nāyake //	trANam BavAhI SaraNam parAyaNam kRtajQaham nitya BavAmi nAyake //
   saṃśrāvaye mam imu dharmanetrī nāsau kadācittajate apāyam /	saMSrAvaye mam imu DarmanetrI na-asO kadAcid-tajate apAyam /
   saṃśodhayī karma yathākṛtaṃ mayā trāṇaṃ bhavāhī śaraṇaṃ parāyaṇam //	saMSoDayI karma yaTA-akRtam mayA trANam BavAhI SaraNam parAyaNam //
   asaṅgajñānī varalokanāyaka vandāmi nātha śaraṇaṃ kṛtāñjalī //	asaFga-jQAnI vara-loka-nAyaka vandAmi nATa SaraNam kRtAQjalI //
   atha bhagavān tāṃ dārikāmevamāha / bhūtapūrvo dārike atīte 'dhvani	aTa BagavAn tAm dArikAm-evam-Aha / BUta-pUrvaH dArike atIte aDvani
   asaṅkhyeyaiḥ kalpai ratnaśikhī nāma tathāgato 'rhan samyaksambuddho	asaFKyeyEH kalpEH ratnaSiKI nAma taTAgataH arhan samyaksambudDaH-
   vidyācaraṇasampannaḥ sugato lokavidanuttaraḥ puruṣadamyasārathiḥ śāstā	vidyA-caraNa-sampannaH sugataH loka-vid-anuttaraH puruza-damya-sAraTiH SAstA
   devānāṃ ca manuṣyāṇāṃ ca buddho bhagavān / tena (Asv 112) khalu punaḥ	devAnAm ca manuzyANAm ca budDaH BagavAn / tena (Asu 112) Kalu punar-
   samayena padmāvatī nāma rājadhānyabhūt / tena khalu punaḥ samayena	samayena padmAvatI nAma rAjaDAnya-BUt / tena Kalu punar samayena
   padmāvatyāṃ rājadhānyāṃ padmaprabho nāma gṛhapatirabhūt / tasya	padmAvatyAm rAjaDAnyAm padmapraBaH nAma gRhapatiH-aBUt / tasya
   padmaprabhasya gṛhapatestvaṃ duhitā 'bhūḥ / tena khalu punaḥ samayena	padma-praBasya gRhapateH-tvam duhitA aBUH / tena Kalu punar samayena
   grāmanagaranigamajanapadeṣu piṇḍapātiko bhikṣuḥ piṇḍapātāyāvatarati / yadā	grAma-nagara-nigama-janapadezu piNxapAtikaH BikzuH piNxa-pAtAya-avatarati / yadA
   tvadgṛhamāgato 'bhūta tadā tvaṃ dārike piṇḍapātaṃ gṛhītvā gṛhānniṣkrāntā	tvad-gRham-AgataH aBUta tadA tvam dArike piNxa-pAtam gRhItvA gRhAt-nizkrAntA
   punareva praviṣṭā 'bhūḥ / na cāhaṃ muṇḍitaśiraso 'dhanyasya piṇḍapātaṃ	punar-eva pravizwA aBUH / na ca-aham muNxita-SirasaH aDanyasya piNxa-pAtam
   dāsyāmi / tena karmopacayena tvayā dārike dvādaśakalpasahasrāṇi punaḥ	dAsyAmi / tena karma-upacayena tvayA dArike dvAdaSa-kalpa-sahasrANi punar-
   punardaridragṛhe duḥkhānyanubhūtāni / ekena tvayā dārike kuśalamūlena	punar-daridra-gRhe duHKAni-anuBUtAni / ekena tvayA dArike kuSala-mUlena
   bodhivyākaraṇaṃ pratilapsyase / yattvayā tasya bhikṣo rūpaliṅgasaṃsthā na	boDi-vyAkaraNam pratilapsyase / yat-tvayA tasya BikzaH rUpa-liFga-saMsTA na
   dṛṣṭā bhaviṣyasi tvaṃ dārike anāgate 'dhvani acintyairaparimāṇaiḥ	dRzwA Bavizyasi tvam dArike anAgate aDvani acintyEH-aparimANEH
   kalpairnagaradhvajo nāma tathāgato 'rhan samyaksambuddho	kalpEH-nagaraDvajaH nAma taTAgataH arhan samyaksambudDaH-
   vidyācaraṇasampannaḥ sugato lokavidanuttaraḥ puruṣadamyasārathiḥ śāstā	vidyA-caraNa-sampannaH sugataH loka-vid-anuttaraH puruza-damya-sAraTiH SAstA
   devānāṃ ca manuṣyāṇāṃ ca buddho bhagavān loke / atha sā dārikā bhagavantaṃ	devAnAm ca manuzyANAm ca budDaH BagavAn loke / aTa sA dArikA Bagavantam
   triḥ pradakṣiṇaṃ kṛtvaivamāha / kīdṛśaṃ bhagavan mama buddhakṣetraṃ	tris pradakziNam kRtvA-evam-Aha / kIdRSam Bagavat mama budDa-kzetram
   bhaviṣyati yatraivāhaṃ buddho bhaviṣyāmi / bhagavānāha /	Bavizyati yatra-eva-aham budDaH BavizyAmi / BagavAn-Aha /
   aparimitaguṇasañcayā nāma sā buddhakṣetraṃ bhaviṣyati / yādṛaśī ca sā	aparimita-guNa-saQcayA nAma sA budDa-kzetram Bavizyati / yAdRaSI ca sA
   sukhāvatī lokadhātuḥ tādṛśaṃ tadbuddhakṣetraṃ bhaviṣyati / paryaṅkaniṣaṇṇā	suKAvatI lokaDAtuH tAdRSam tat-budDa-kzetram Bavizyati / paryaFka-nizaNNA
   āryopapādukā bodhisattvā bhaviṣyanti / īdṛśaṃ tadbuddhakṣetram / (Asv 113)	Arya-upapAdukAH boDisattvAH Bavizyanti / IdRSam tat-budDa-kzetram / (Asu 113)
   atha ca sā dārikā tuṣṭā udagrā āttamanāḥ pramuditā prītisaumanasyajātā	aTa ca sA dArikA tuzwAH udagrAH Atta-manAH pramuditA prIti-sOmanasya-jAtA
