   śikṣāsamuccayaḥ |	SikzAsamuccayaH |
   yadi nâtra vici-	yadi nâtra vici-
   [ Cambridge MS f2a ---> ]	[ Cambridge M f2aH ---> ]
   ntyate hitaṃ punar apy eṣa samāgamaḥ kutaḥ ||	ntyate hitam punar api eza samAgamaH kutas ||
   yathôktam āryagaṇḍavyūhasūtre |	yaTôktam Arya-gaNxa-vyUha-sUtre |
   āryajayôṣmâyatanavimokṣe ||	Arya-jayôzmâyatana-vimokze ||
   durlabhâṣṭākṣaṇanirvṛttir durlabho manuṣyapratilambho durlabhā	durlaBâzwa-akzaNa-nirvRttiH durlaBaH manuzya-pratilamBaH durlaBA
   kṣaṇasaṃpatviśuddhir durlabho buddhôtpādo |	kzaNa-saMpad-viSudDiH durlaBaH budDôt-pAdaH |
   durlabhâvikalêndriyatā |	durlaBâ-vikalêndriya-tA |
   durlabho buddhadharmaśravo |	durlaBaH budDa-DarmaSravaH |
   durlabhaṃ satpuruṣasamavadhānaṃ |	durlaBam sat-puruza-samavaDAnam |
   durlabhāni bhūtakalyāṇamitrāṇi |	durlaBAni BUta-kalyANa-mitrANi |
   durlabho bhūtanayânuśāsany- upasaṃhāraḥ |	durlaBaH BUtanayânuSAsany upasaMhAraH |
   durlabhaṃ samyagjīvitaṃ |	durlaBam samyak-jIvitam |
   durlabhaḥ saddharme tadanukūlaḥ prayatno manuṣyalokae iti ||	durlaBaH sadDarme tad-anukUlaH prayatnaH manuzya-lokae iti ||
   tad evaṃvidhaṃ samāgamam āsādya saṃvṛtiparamârthataḥ	tat evaMviDam samAgamam AsAdya saMvRti-paramârTataH
   suviditasaṃsāraduṣkhasyôpaśamanasukhâbhilāṣiṇo buddhagotrânubhāvāt tu	su-vidita-saMsAra-duzKasya-ipaSamana-suKâ-BilAziNaH budDa-gotrânuBAvAt tu
   yasya mahāsatvasyâivaṃ pratyavekṣôtpadyate ||	yasya mahA-satvasyâivam pratyavekzôt-padyate ||
   yadā mama pareṣāṃ ca bhayaṃ duṣkhaṃ ca na priyaṃ |	yadA mama parezAm ca Bayam duzKam ca na priyam |
   tadâtmanaḥ ko viśeṣo yat taṃ rakṣāmi nêtaram |	tad-âtmanaH kaH viSezaH yat tam rakzAmi nêtaram |
   iti tenâtmanaḥ satvadhātoś ca ||	iti tenâtmanaH satva-DAtoH ca ||
   duṣkhântaṃ karttukāmena sukhântaṃ gantum icchatā |	duzKântam karttu-kAmena suKântam gantum icCatA |
   śraddhāmūlaṃ dṛḍhīkṛtya bodhau kāryā matir dṛḍhā ||	SradDA-mUlam dRXIkRtya boDO kAryA matiH dRXAH ||
   uktaṃ hi ratnôlkādhāraṇyām ||	uktam hi ratnôlkA-DAraNyAm ||
   śraddhayamānu jinān jinadharmmān śraddhayate cari buddhasutānām |	SradDayamAnu jinAn jina-DarmmAn SradDayate cari budDa-sutAnAm |
   bodhi anuttara śraddhayamāno jāyati cittaṃ mahāpuruṣāṇām ||	boDi anuttara SradDayamAnaH jAyati cittam mahApuruzANAm ||
   śraddha purogatamātṛjanetrī pālikavarddhika sarvaguṇānām |	SradDa puras-gata-mAtR-janetrI pAlika-vardDika sarva-guNAnAm |
   [ Bendall ed p3 ---> ]	[ Bet-dalt ed p3 ---> ]
   kāṃkṣavinodani oghapratāraṇi |	kAMkza-vinodani oGa-pratAraNi |
   śraddhanidarśani	SradDa-nidarSani
   [ Cambridge MS f2b ---> ]	[ Cambridge M f2B ---> ]
   kṣemapurasya ||	kzemapurasya ||
   śraddhânāvilacittaprasādo mānavivarjitagauravamūlā |	SradDâna-Avila-citta-prasAdaH mAna-vivarjita-gOrava-mUlAH |
   śraddha nidhānadhanaṃ caraṇâgraṃ pāṇi yathā	SradDa niDAna-Danam caraNâgram pANi yaTA
   śubhasaṃgrahamūlam ||	SuBa-saMgraha-mUlam ||
   śraddha pramodakarī parityāge |	SradDa pramoda-karI parityAge |
   śraddha praharṣakarī jinadharmme |	SradDa praharza-karI jina-Darmme |
   śraddha viśeṣakarī guṇajñāne |	SradDa viSeza-karI guNa-jQAne |
   daiśika prāpaṇi buddhagatī ye ||	dESika prApaNi budDa-gatI ye ||
   indriyatīkṣṇaprabhāsvaratāyai |	indriya-tIkzNa-praBA-svaratAyE |
   śraddhabalaṃ avimardanatāyai |	SradDa-balam avimardana-tAyE |
   niśrayakleśâdharṣikatāyai |	niSraya-kleSâ-Darzika-tAyE |
   aiṣikā śraddha svayaṃbhuguṇānām ||	EzikA SradDa svayaMBu-guNAnAm ||
   śraddhâsaṅgatasaṅgasukheṣu akṣaṇavarjitâikakṣaṇâgram |	SradDâ-saFgata-saFga-suKezu akzaNa-varjitâi-ka-kzaNâgram |
   śraddhâtikramu mārapathasya |	SradDâti-kramu mArapaTasya |
   darśikôttamamokṣapathasya ||	darSikôttamamokza-paTasya ||
   vījam apūtiku hetuguṇānāṃ |	vIjam apUtiku hetu-guNAnAm |
   śraddha virohaṇi bodhidrumasya |	SradDa virohaNi boDi-drumasya |
   varddhani jñānaviśeṣasukhānāṃ |	vardDani jQAna-viSeza-suKAnAm |
   śraddha nidarśika	SradDa nidarSika
   sarvajinānāṃ ||	sarva-jinAnAm ||
   ye sada śraddha sagauravabuddhe |	ye sada SradDa sa-gOrava-budDe |
   te tu na śīla na śikṣa tyajanti |	te tu na SIla na Sikza tyajanti |
   ye tu na śīla na śikṣa tyajantī |	ye tu na SIla na Sikza tyajantI |
   te guṇavāṃ stutaye [[DOUBT]]	te guNavAm stutaye [[DOUBT]]
   guṇavantaḥ ||	guNavantaH ||
   ye sada śraddha sagauravadharmme |	ye sada SradDa sa-gOrava-Darmme |
   te jinadharmmâtṛptaśṛṇontī [[DOUBT]] ||	te jina-Darmmâ-tRpta-SRNontI [[DOUBT]] ||
   ye jinadharmm atṛptaśṛṇontī |	ye jina-Darmm atRpta-SRNontI |
   teṣv adhimukti acintiyadharmme ||	tezu aDimukti acintiya-Darmme ||
   ye sada śraddha sagauravasaṃghe |	ye sada SradDa sa-gOrava-saMGe |
   te 'vivarttika saṃghaprasannāḥ ||	te avivarttika saMGa-prasannAH ||
   ye 'vivarttika saṃghaprasannās te 'vivarttika śraddhabalātaḥ |	ye avivarttika saMGa-prasannAH te avivarttika SradDa-balAtaH |
   [ Bendall ed p4 ---> ]	[ Bet-dalt ed p4 ---> ]
   ye 'vivarttika śraddhabalāto |	ye avivarttika SradDa-balAtaH |
   indriyatīkṣṇaprabhāsvara teṣām ||	indriya-tIkzNa-praBAsvara tezAm ||
   indriyatīkṣṇaprabhāsvara yeṣām tehi vivarjita pāpakamitrāḥ |	indriya-tIkzNa-praBAsvara yezAm tehi vivarjita pApaka-mitrAH |
   [ Cambridge MS f3a ---> ]	[ Cambridge M f3aH ---> ]
   yehi vivarjita pāpakamitrāḥ dhārmmikamitraparigraha teṣām ||	yehi vivarjita pApaka-mitrAH DArmmika-mitra-parigraha tezAm ||
   dhārmikamitraparigraha yeṣām |	DArmika-mitra-parigraha yezAm |
   te vipulaṃ kuśalôpacinvanti |	te vipulam kuSalôpacinvanti |
   ye vipulaṃ kuśalôpacinontī hetubalôpagatāya mahâtmā ||	ye vipulam kuSalôpacinontI hetu-balôpagatAya mahâtmA ||
   hetubalôpagatāya mahâtmā |	hetu-balôpagatAya mahâtmA |
   teṣôdāradhimuktiviśeṣāḥ |	tezô-dAraDi-mukti-viSezAH |
   yeṣôdāradhimuktiviśeṣās te sadâdhiṣṭhita sarvajinebhiḥ ||	yezô-dAraDi-mukti-viSezAH te sat-âDizWita sarva-jineBiH ||
   ye sadâdhiṣṭhita sarvajinebhis teṣûpapadyati bodhayi cittam |	ye sat-âDizWita sarva-jineBiH tezûpapadyati boDayi cittam |
   yeṣûpapadyati bodhayi cittaṃ te 'bhiyukta maharṣiguṇeṣu ||	yezûpapadyati boDayi cittam te aBiyukta mahA-Rzi-guNezu ||
   ye 'bhiyukta maharṣiguṇeṣu jātayabuddhakule 'nujātāḥ |	ye aBiyukta mahA-Rzi-guNezu jAtaya-budDa-kule anujAtAH |
   jātaya buddhakule 'nujātās te samayogâyogavimuktāḥ ||	jAtaya budDa-kule anujAtAH te sama-yogâ-yoga-vimuktAH ||
   ye samayogâyogavimuktāḥ |	ye sama-yogâ-yoga-vimuktAH |
   āśaya teṣa prasādaviśuddhaḥ ||	ASaya teza prasAda-viSudDaH ||
   āśayu yeṣa prasādaviśuddhaḥ teṣâdhyāśayûttamaśreṣṭhaḥ |	ASayu yeza prasAda-viSudDaH tezâDyASayûttama-SrezWaH |
   yeṣâdhyāśayûttamaśreṣṭhas te sada pāramitāsu caranti ||	yezâDyA-Sayûttama-SrezWaH te sada pAramitAsu caranti ||
   ye sada pāramitāsu carantī te pratipannêho mahayāne |	ye sada pAramitAsu carantI te pratipannê-haH mahayAne |
   ye pratipannêho mahayāne te pratipattitu pūjayi buddhān ||	ye pratipannê-haH mahayAne te pratipattitu pUjayi budDAn ||
   ye pratipattitu pūjayi buddhān teṣu anusmṛti buddhâbhedyā |	ye pratipattitu pUjayi budDAn tezu anusmRti budDâBedyA |
   yeṣu anusmṛti buddhâbhedyā |	yezu anusmRti budDâBedyA |
   te sada paśyiya cintiya buddhān ||	te sada paSyiya cintiya budDAn ||
   ye sada paśyiya cintiya buddhān |	ye sada paSyiya cintiya budDAn |
   teṣa na jātu na tiṣṭhati buddhaḥ ||	teza na jAtu na tizWati budDaH ||
   yeṣa na jātu na tiṣṭhati buddhaḥ teṣa na jātu rahāyati dharmmaḥ |	yeza na jAtu na tizWati budDaH teza na jAtu rahAyati DarmmaH |
   [ Bendall ed p5 ---> ]	[ Bet-dalt ed p5 ---> ]
   yeṣa na jātu rahāyati dharmaḥ te sada dhiṣṭhita sarvajinebhir |	yeza na jAtu rahAyati DarmaH te sada DizWita sarva-jineBiH |
   ityā-	iti-A-
   [ Cambridge MS f3b ---> ]	[ Cambridge M f3B ---> ]
   diśraddhāmūlo guṇavistaro 'nantas tatrôktaḥ |	diSradDAmUlaH guNa-vistaraH anantaH tatrôktaH |
   tat parisamāpya saṃkṣepataḥ punar āha |	tat parisamApya saMkzepataH punar Aha |
   durllabhasatvapṛthagjanakāyā |	durllaBa-satva-pRTagjanakAyAH |
   ye imi śraddadhîdṛśi dharmmān |	ye imi SraddaDîdRSi DarmmAn |
   ye tu śubhôpacitāḥ kṛtapuṇyās te imi śraddadhi hetubalena ||	ye tu SuBô-pacitAH kRta-puNyAH te imi SraddaDi hetu-balena ||
   yo daśakṣetrarajôpamasatvān kalpam upasthihi sarvasukhena |	yaH daSa-kzetra-rajôpama-satvAn kalpam upasTihi sarva-suKena |
   nôta tu tādṛśu puṇyaviśeṣo yādṛśa śraddadhato imi dharmmān ||	nôta tu tAdRSu puNya-viSezaH yAdRSa SraddaDataH imi DarmmAn ||
   iti |	iti |
   tathâryadaśadharmasūtre 'pi deśitaṃ ||	taTârya-daSa-DarmasUtre api deSitam ||
   śraddhā hi paramaṃ yānaṃ yena niryānti nāyakāḥ |	SradDA hi paramam yAnam yena niryAnti nAyakAH |
   tasmād buddhânuśāritvaṃ bhajeta matimān naraḥ ||	tasmAt budDânuSAri-tvam Bajeta matimAn naraH ||
   aśrāddhasya manuṣyasya śuklo dharmo na rohati |	aSrAdDasya manuzyasya SuklaH DarmaH na rohati |
   vījānām agnidagdhānām aṅkuro harito yathā ||	vIjAnAm agni-dagDAnAm aFkuraH haritaH yaTA ||
   iti |	iti |
   atâivâryalalitavistarasūtre prativeditaṃ |	atâi-vârya-lalita-vistara-sUtre prativeditam |
   śraddhāyām ānanda yogaḥ karaṇīyêdaṃ tathāgato vijñapayatîti ||	SradDAyAm Ananda yogaH karaNIyêdam taTAgataH vijQapayatîti ||
   tathā siṃhaparipṛcchāyāṃ |	taTA siMha-paripRcCAyAm |
   śraddhayā |	SradDayA |
   kṣaṇam akṣaṇaṃ varjayatîty uktam ||	kzaNam akzaNam varjayatîti uktam ||
   tad evaṃ |	tat evam |
   śraddhāmūlaṃ dṛḍhīkṛtya bodhicittaṃ dṛḍhaṃ kartavyaṃ	SradDA-mUlam dRXIkRtya boDi-cittam dRXam kartavyam
   sarvapuṇyasaṃgrahatvāt tad yathâryasiṃhaparipṛcchāyāṃ |	sarva-puNya-saMgraha-tvAt tat yaTârya-siMha-paripRcCAyAm |
   siṃhena rājakumāreṇa bhagavān pṛṣtaḥ ||	siMhena rAja-kumAreNa BagavAn pRztaH ||
   saṃgrahaḥ sarvadharmāṇāṃ |	saMgrahaH sarva-DarmANAm |
   karmaṇā kena jāyate |	karmaNA kena jAyate |
   priyaś ca bhoti satvānāṃ-	priyaH ca Boti satvAnAM-
   [ Cambridge MS f4a ---> ]	[ Cambridge M f4aH ---> ]
   yatra yatrôpapadyate ||	yatra yatrôpapadyate ||
   bhagavān āha |	BagavAn Aha |
   sarvasatvapramokṣāya cittaṃ bodhāya nāmayet |	sarva-satva-pramokzAya cittam boDAya nAmayet |
   eṣa saṃgraha dharmāṇāṃ bhavate tena ca priyaḥ ||	eza saMgraha DarmANAm Bavate tena ca priyaH ||
   iti |	iti |
   tathâryagaṇḍavyūhasūtre 'pi varṇitaṃ |	taTârya-gaNxavyUha-sUtre api varNitam |
   bodhicittaṃ hi kulaputra vījabhūtaṃ sarvabuddhadharmā-	boDi-cittam hi kula-putra vIja-BUtam sarva-budDa-DarmA-
   [ Bendall ed p6 ---> ]	[ Bet-dalt ed p6 ---> ]
   ṇāṃ |	NAm |
   kṣetrabhūtaṃ sarvajagacchukladharmavirohaṇatayā |	kzetra-BUtam sarva-jagat-Sukla-Darma-virohaNa-tayA |
   dharaṇibhūtaṃ sarvalokapratiśaraṇatayā yāvat pitṛbhūtaṃ	DaraNi-BUtam sarva-loka-pratiSaraNa-tayA yAvat pitR-BUtam
   sarvabodhisatvârakṣaṇatayā ||	sarva-boDisatvâ-rakzaNa-tayA ||
   peyālaṃ ||	peyAlam ||
   vaiśravaṇabhūtaṃ sarvadāridryasaṃchedanatayā |	vESravaNa-BUtam sarva-dAridrya-saMCedana-tayA |
   cintāmaṇirājabhūtaṃ sarvârthasaṃsādhanatayā |	cintAmaNi-rAja-BUtam sarvârTa-saMsADana-tayA |
   bhadraghaṭabhūtaṃ sarvâbhiprāyaparipūraṇatayā |	Badra-Gawa-BUtam sarvâBiprAya-paripUraNa-tayA |
   śaktibhūtaṃ kleśaśatruvijayāya |	Sakti-BUtam kleSa-Satru-vijayAya |
   dharmabhūtaṃ yoniśo manaskārasaṃchedanatayā |	Darma-BUtam yoniSas manaskAra-saMCedana-tayA |
   khaḍgabhūtaṃ kleśaśiraḥprapātanatayā |	Kaxga-BUtam kleSa-SiraH-prapAtana-tayA |
   kuṭhārabhūtaṃ duṣkhavṛkṣasaṃchedanatayā |	kuWAra-BUtam duzKa-vRkza-saMCedana-tayA |
   praharaṇabhūtaṃ sarvôpadravaparitrāṇatayā |	praharaNa-BUtam sarvôpadrava-pari-trANa-tayA |
   vaḍisabhūtaṃ saṃsārajalacarâbhyuddharaṇatayā |	vaxisa-BUtam saMsAra-jala-carâByudDaraNa-tayA |
   vātamaṇḍalībhūtaṃ sarvâvaraṇanivaraṇatṛnavikiraṇatayā |	vAta-maNxalIBUtam sarvâvaraNa-nivaraNa-tRna-vikiraNa-tayA |
   uddānabhūtaṃ sarvabodhisatvacaryāpraṇidhānasaṃgrahaṇatayā |	uddAna-BUtam sarva-boDisatva-caryA-praNiDAna-saMgrahaNa-tayA |
   caityabhūtaṃ sadevamānuṣâsurasya lokasya |	cEtya-BUtam sa-deva-mAnuzâ-surasya lokasya |
   iti hi kulaputra bodhicittam ebhiś cânyaiś câpramāṇair guṇaviśeṣaiḥ	iti hi kula-putra boDi-cittam eBiH cânyEH câ-pramANEH guNa-viSezEH
   samanvāgatam iti ||	samanvAgatam iti ||
   kathaṃ punar jñāyate |	kaTam punar jQAyate |
   pṛthagjanasyâpi bodhicittam utpadyate |	pRTagjanasi-âpi boDi-cittam utpadyate |
   na vāṅmā-	na vAc-mA-
   [ Cambridge MS f4b ---> ]	[ Cambridge M f4B ---> ]
   tram etad iti |	tram etat iti |
   anekasūtrântadarśanāt ||	aneka-sUtrânta-darSanAt ||
   yathā tāvad āryavimalakīrttinirdeśe nirdiṣṭaṃ |	yaTA tAvat Arya-vimala-kIrtti-nirdeSe nirdizwam |
   sumerusamāṃ satkāyadṛṣṭim utpādya bodhicittam utpadyate |	sumeru-samAm sat-kAya-dRzwim utpAdya boDi-cittam utpadyate |
   tataś ca buddhadharmā virohantîti ||	tatas ca budDa-DarmAH virohantîti ||
   ratnakaraṇḍasūtrāc ca pṛthagjano 'pi bodhisatvêti jñāyate ||	ratna-karaNxa-sUtrAt ca pRTagjanaH api boDisatvêti jQAyate ||
   yathôktaṃ |	yaTôktam |
   tad yathâpi nāma mañjuśrīḥ aṇḍakoṣaprakṣipto 'pi	tat yaTâpi nAma maQjuSrIH aNxa-koza-prakziptaH api
   kalaviṅkapoto |	kalaviFka-potaH |
   asaṃbhinnâṇḍâniśkrāntaḥ koṣāt kalaviṅkarutam eva muñcati ||	asaMBinnâNxâ-niSkrAntaH kozAt kalaviFka-rutam eva muQcati ||
   evam eva mañjuśrīḥ avidyâṇḍakoṣaprakṣipto 'pi bodhisatvo |	evam eva maQjuSrIH avidyâNxa-koza-prakziptaH api boDisatvaH |
   asaṃbhinnâtmadṛṣṭir aniṣkrāntas traidhātukād buddharutam	asaMBinnâtma-dRzwiH anizkrAntaH trEDAtukAt budDa-rutam
   eva muñcati |	eva muQcati |
   yad idaṃ śūnyatānimittâpraṇihitarutam eva ||	yat idam SUnyatA-nimittâ-praNihita-rutam eva ||
   sarvadharmapravṛttinirdeśe 'pi kathitaṃ |	sarva-Darma-pravRtti-nirdeSe api kaTitam |
   jayamateś ca bodhisatvasya pṛthivī vidāram adāt |	jaya-mateH ca boDisatvasya pRTivI vidAram adAt |
   sa kālagato mahānirayaṃ prāpatad iti |	sa kAlagataH mahAnirayam prApatat iti |
   sa hi śūnyatāṃ nâdhimuktavān śūnyatāvādini ca pratighaṃ kṛtavān ||	sa hi SUnyatAm nâDim-uktavAn SUnyatA-vAdini ca pratiGam kRtavAn ||
   [ Bendall ed p7 ---> ]	[ Bet-dalt ed p7 ---> ]
   niyatâniyatâvatāramudrāsūtre 'py ākhyātaṃ ||	niyatâ-niyatâ-vatAramudrA-sUtre api AKyAtam ||
   katamaḥ paśurathagatiko bodhisatvaḥ |	katamaH paSu-raTa-gatikaH boDisatvaH |
   tad yathā |	tat yaTA |
   kaścit puruṣaḥ pañcabuddhakṣetraparamâṇurajaḥsamān	kaScid puruzaH paQca-budDa-kzetra-paramâNu-rajaH-samAn
   lokadhātūn abhikramitukāmaḥ syāt |	lokaDAtUn aBikramitu-kAmaH syAt |
   sa paśuratham abhiruhya mārgaṃ pratipadyate sa cireṇa dīrgheṇâdhvanā	sa paSu-raTam aBiruhya mArgam pratipadyate sa cireNa dIrGeNâ-DvanA
   yojanaśataṃ gacchet |	yojana-Satam gacCet |
   sa tatra mahatyā vātamaṇḍalyā paścāt khalu pu-	sa tatra mahatyA vAta-maNxalyA paScAt Kalu pu-
   [ Cambridge MS f5a ---> ]	[ Cambridge M f5aH ---> ]
   nar aśītiṃ yojanasahasrāṇi pratyākṛṣya pratyudāvartyêti |	nar aSItim yojana-sahasrANi pratyAkRzya pratyudAvartyêti |
   tat kiṃ śaknuyāt sa puruṣas tān lokadhātūn paśurathenâtikramitum |	tat kim SaknuyAt sa puruzaH tAn lokaDAtUn paSu-raTenâtikramitum |
   yāvad anabhilāpyânabhilāpyair api kalpair ekam api lokadhātum	yAvat anaBilApyânaBilApyEH api kalpEH ekam api lokaDAtum
   atikramitum |	atikramitum |
   āha |	Aha |
   nô hîdaṃ bhagavan |	nô hîdam Bagavan |
   bhagavān āha |	BagavAn Aha |
   evam eva mañjuśrīḥ yaḥ kaścid bodhicittam utpādya mahāyānaṃ |	evam eva maQjuSrIH yaH kaScid boDi-cittam utpAdya mahAyAnam |
   na dhārayati |	na DArayati |
   na paṭhati |	na paWati |
   śrāvakayānīyān sevate |	SrAvaka-yAnIyAn sevate |
   taiś ca sārddhaṃ saṃstavaṃ karoti |	tEH ca sArdDam saMstavam karoti |
   śrāvakayānaṃ ca paṭhati svâdhyāyati mīmāṃsate paribudhyate 'rthāṃś ca	SrAvaka-yAnam ca paWati svâDyAyati mImAMsate paribuDyate arTAn ca
   pāṭhayati yāvad bodhayati |	pAWayati yAvat boDayati |
   sa tena dhanvaprajño bhavati so 'nuttarajñānamārgāt	sa tena Danva-prajQaH Bavati saH anuttara-jQAna-mArgAt
   pratyākṛṣyate pratyudāvarttyate |	pratyAkRzyate pratyudAvarttyate |
   yad api tasya bodhisatvasya bodhibhāvanâtaḥ prajñêndriyaṃ prajñācakṣuḥ tad	yat api tasya boDisatvasya boDi-BAvanâtaH prajQêndriyam prajQAcakzuH tat-
   api tasya dhanvīkriyate pratihanyate |	api tasya DanvIkriyate pratihanyate |
   śrayaṃ paśurathagatiko bodhisatvêti ||	Srayam paSu-raTa-gatikaH boDisatvêti ||
   tad evam eṣā śūnyatânadhimuktir mahāyānânabhiratiś	tat evam ezA SUnyatânaDi-muktiH mahA-yAn-ânaBiratiH-
   câsaṃpūrṇâdhimukticittacaryasyâpi prāyo na saṃdṛśyate |	câ-saMpUrNâDi-mukti-citta-caryasi-âpi prAyas na saMdRSyate |
   prāg evâdhimātrâdhimukticaryasya bodhisatvasya |	prAk evâDi-mAtrâ-Dimukti-caryasya boDisatvasya |
   sa hi ratnameghe |	sa hi ratna-meGe |
   sarvabālacaritavipattisamatikrāntaḥ paṭhyate	sarva-bAla-carita-vipatti-samatikrAntaH paWyate
   'saṃkhyeyasamādhidhāraṇīvimokṣâbhijñāvidyāvikrīdito |	asaMKyeya-samADi-DAraNI-vimokzâBijQA-vidyA-vikrIditaH |
   anantadharmârāmaratinirāmiṣâparântakalpakoṭyanābhoganirvikalpaprītivegâlokapratilabdhaś	ananta-DarmârAma-rati-nirAmizâ-parânta-kalpa-kowi-anABoga-nirvikalpa-prIti-vegâ-loka-pratilabDa-H-
   câprameyakalpakoṭīniyutaśatasahasraparamamahāyānaprasthānavicitrabhāvanāsaṃpūrṇa	câ-prameya-kalpa-kowI-niyuta-Sata-sahasra-parama-mahAyAna-prasTAna-vicitra-BAvanA-saMpUrNa
   parârthapratipattiniryāṇa puṇyajñānasaṃbhārâbhinihārâbhinirvṛttiḥ	parârTa-pratipatti-niryANa puNya-jQAna-saMBArâBinihArâBinirvRttiH
   pūrvayogaśatasahasrasamṛddhaś ca	pUrva-yoga-Sata-sahasra-samRdDaH ca
   paṭhyate |	paWyate |
   athâitan neyârthaṃ |	aTâitat neyârTam |
   kasmād anye bodhicittôtpādakâsyāṃ bhūmau nêṣyante |	kasmAt anye boDi-cittôtpAdakâsyAm BUmO nêzyante |
   na câtrêcchayā kiñcid viśeṣacihnaṃ nītârthaṃ karttuṃ labhyate |	na câtrê=-CayA kiQcid viSeza-cihnam nItârTam karttum laByate |
   adhimātrâdhimukticaryâdharmatā vacanāc ca gamyate |	aDimAtrâDi-mukti-caryâ-Darma-tA vacanAt ca gamyate |
   yathā madhyamṛduprakārâpy adhimukticaryâsty evêti ||	yaTA maDya-mRdu-prakArâpi aDimukti-caryâsti evêti ||
   asya punas tathāgataguhyasūtrasya ko 'bhiprāyo |	asya punar taTAgata-guhya-sUtrasya kaH aBiprAyaH |
   yad uktaṃ |	yat uktam |
   [ Bendall ed p8 ---> ]	[ Bet-dalt ed p8 ---> ]
   kasya bhagavan bodhicittôtpādaḥ |	kasya Bagavan boDi-cittôt-pAdaH |
   āha |	Aha |
   yasya mahārājâdhyāśayo 'vikopitaḥ |	yasya mahA-rAjâDyASayaH avikopitaH |
   āha |	Aha |
   kasya bhagavann adhyāśayo 'vikopitaḥ |	kasya Bagavan aDyASayaH avikopitaH |
   āha |	Aha |
   yasya mahārāja mahākaruṇôtpādaḥ |	yasya mahA-rAja mahAkaruNôt-pAdaH |
   āha |	Aha |
   kasya bhagavan mahākaruṇôtpādaḥ |	kasya Bagavat mahA-karuNôt-pAdaH |
   āha |	Aha |
   yasya mahārāja sarvasatvâparityāgaḥ |	yasya mahA-rAja sarva-satvâ-parityAgaH |
   āha |	Aha |
   kathaṃ bhagavan satvâparityaktā bhavanti |	kaTam Bagavan satvâ-parityaktAH Bavanti |
   āha |	Aha |
