   akariṣyat sudhīs tadā BhStc_40d	akarizyat suDIH tadA BhStt-_40d
   eṣa muṣṭyā gṛhīto 'si BhStc_68a	eza muzwyA gRhItaH asi BhStt-_68a
   aiśvaryajñānavairāgya- BhStc_92a	ESvarya-jQAna-vErAgya BhStt-_92a
   auṣadhaṃ saṃsmṛtis tava BhStc_24b	OzaDam saMsmRtiH tava BhStt-_24b
   kaccit syāmāpi karhicit BhStc_17d	kaccit syAma-api karhicit BhStt-_17d
   kadā nu syām upasthitaḥ BhStc_113d	kadA nu syAm upasTitaH BhStt-_113d
   kayā vā prajñayā prabho BhStc_41b	kayA vA prajQayA praBo BhStt-_41b
   kartavyam idam astu naḥ BhStc_15b	kartavyam idam astu naH BhStt-_15b
   kartā tatraikako bhavān BhStc_45d	kartA tatra-ekakaH BavAn BhStt-_45d
   karma vā karaṇādi vā BhStc_45b	karma vA karaNa-Adi vA BhStt-_45b
   karmasopānamālayā BhStc_33b	karmasopAna-mAlayA BhStt-_33b
   kalākalitaśekharam BhStc_13b	kalA-kalita-SeKaram BhStt-_13b
   kalāmātraṃ kathaṃ tava BhStc_39b	kalA-mAtram kaTam tava BhStt-_39b
   kalāślāghyāya śūline BhStc_9d	kalA-SlAGyAya SUline BhStt-_9d
   kalpapādapapallavāḥ BhStc_55d	kalpa-pAdapa-pallavAH BhStt-_55d
   kalpayann api ko 'py eko BhStc_112c	kalpayan api kaH api ekaH BhStt-_112c
   kalpavṛkṣāya śambhave BhStc_16d	kalpavRkzAya SamBave BhStt-_16d
   kas tvāṃ na śaraṇaṃ gataḥ BhStc_101d	kaH tvAm na SaraNam gataH BhStt-_101d
   kasya neśas tvam īśituḥ BhStc_74b	kasya na-ISaH tvam ISituH BhStt-_74b
   kasya śaktiḥ kṛpāthavā BhStc_46d	kasya SaktiH kRpA-aTavA BhStt-_46d
   kaḥ kleśaṃ deva vāgjāleṣv BhStc_40c	kaH kleSam deva vAc-jAlezu BhStt-_40c
   kaḥ panthā yena na prāpyaḥ BhStc_21a	kaH panTAH yena na prApyaH BhStt-_21a
   kā ca vāṅ nocyase yayā BhStc_21b	kA ca vAc na-ucyase yayA BhStt-_21b
   kāmanānāṃ paraṃ phalam BhStc_28d	kAmanAnAm param Palam BhStt-_28d
   kāmāyatim atanvate BhStc_51b	kAma-Ayatim atanvate BhStt-_51b
   kāryāya mahate satām BhStc_43b	kAryAya mahate satAm BhStt-_43b
   kāṃ dātuṃ sampadaṃ na vā BhStc_87b	kAm dAtum sampadam na vA BhStt-_87b
   kim anyālambanaiḥ phalam BhStc_19d	kim anya-AlambanEH Palam BhStt-_19d
   kim anyair bandhubhiḥ kiṃ ca BhStc_75a	kim anyEH banDuBiH kim ca BhStt-_75a
   kim aśaktaḥ karomīti BhStc_52a	kim aSaktaH karomi-iti BhStt-_52a
   kim u dātuṃ jagatpate BhStc_98d	kim u dAtum jagatpate BhStt-_98d
   kiyat tvam iti vetti kaḥ BhStc_74d	kiyat tvam iti vetti kaH BhStt-_74d
   kiṃ tvaṃ niviśase kim u BhStc_117b	kim tvam niviSase kim u BhStt-_117b
   kiṃ dhyānaṃ yena na dhyeyaḥ BhStc_21c	kim DyAnam yena na DyeyaH BhStt-_21c
   kiṃ na sampādayiṣyasi BhStc_114d	kim na sampAdayizyasi BhStt-_114d
   kiṃ nindāmo na manmahe BhStc_97d	kim nindAmaH na manmahe BhStt-_97d
   kiṃphaleti tvayocyatām BhStc_108d	kiMPala-iti tvayA-ucyatAm BhStt-_108d
   kiṃ vā kiṃ nāsi yat prabho BhStc_21d	kim vA kim na-asi yat praBo BhStt-_21d
   kiṃ smayeneti matvāpi BhStc_37a	kim smayena-iti matvA-api BhStt-_37a
   kīrtane 'py amṛtaughasya BhStc_98a	kIrtane api amRta-oGasya BhStt-_98a
   kīryante pulakāṅkuraiḥ BhStc_82d	kIryante pulaka-aFkurEH BhStt-_82d
   kukarmāpi yam uddiśya BhStc_67a	kukarma-api yam uddiSya BhStt-_67a
   kutra kālakalāmātre BhStc_111c	kutra kAla-kalA-mAtre BhStt-_111c
   kṛtām aiśvaryam īśa yat BhStc_86d	kRtAm ESvaryam ISa yat BhStt-_86d
   kṛtrimāpi bhavadbhaktir BhStc_108a	kRtrimA-api Bavat-BaktiH BhStt-_108a
   ko guṇair adhikas tvattas BhStc_97a	kaH guNEH aDikaH tvattaH BhStt-_97a
   koṭīś cittasya cāpalāt BhStc_38b	kowIH cittasya cApalAt BhStt-_38b
   ko manasvī na vismitaḥ BhStc_80d	kaH manasvI na vismitaH BhStt-_80d
   ko vetti kiyatī gatiḥ BhStc_32d	kaH vetti kiyatI gatiH BhStt-_32d
   krameṇa karmaṇā kena BhStc_41a	krameNa karmaNA kena BhStt-_41a
   kliṣṭaṃ yatra na kaiḥ suraiḥ BhStc_29b	klizwam yatra na kEH surEH BhStt-_29b
   kṣamaḥ kāṃ nāpadaṃ hantuṃ BhStc_87a	kzamaH kAm na-Apadam hantum BhStt-_87a
   kṣīṇadoṣe kariṣyasi BhStc_114b	kzINa-doze karizyasi BhStt-_114b
   kṣemye mokṣasya vartmani BhStc_105b	kzemye mokzasya vartmani BhStt-_105b
   garbhaṃ trailokyanāṭakam BhStc_59b	garBam trElokya-nAwakam BhStt-_59b
   gāyatryā gīyate yasya BhStc_77a	gAyatryA gIyate yasya BhStt-_77a
   guṇātītasya nirdiṣṭa- BhStc_53a	guNa-atItasya nirdizwa BhStt-_53a
   guṇāya sthāṇave namaḥ BhStc_7d	guNAya sTANave namaH BhStt-_7d
   guṇo 'pi ca guṇaḥ ko nu BhStc_47c	guNaH api ca guNaH kaH nu BhStt-_47c
   ghoraḥ saṃsārasāgaraḥ BhStc_90b	GoraH saMsAra-sAgaraH BhStt-_90b
   cittasyeśa tamaḥsparśo BhStc_104c	cittasya-ISa tamaH-sparSaH BhStt-_104c
   cittānande rame bhṛśam BhStc_38d	citta-Anande rame BRSam BhStt-_38d
   citraṃ yac citradṛṣṭo 'pi BhStc_96a	citram yat citra-dRzwaH api BhStt-_96a
   cintayitvāpi kartavya- BhStc_38a	cintayitvA-api kartavya BhStt-_38a
   codayed api kaccin naḥ BhStc_77c	codayet api kaccit naH BhStt-_77c
   chinneṣv achinnam eva ca BhStc_6b	Cinnezu aCinnam eva ca BhStt-_6b
   jagaccitraṃ namas tasmai BhStc_9c	jagat-citram namaH tasmE BhStt-_9c
   jagatāṃ sargasaṃhāra- BhStc_18a	jagatAm sarga-saMhAra BhStt-_18a
   jagatkalyāṇakalyāṇaṃ BhStc_74c	jagat-kalyANa-kalyANam BhStt-_74c
   japanty āhlādavihvalāḥ BhStc_62d	japanti AhlAda-vihvalAH BhStt-_62d
   jayaty ullāsitānanda- BhStc_1c	jayati ullAsita-Ananda BhStt-_1c
   jayanti gītayo yāsāṃ BhStc_82a	jayanti gItayaH yAsAm BhStt-_82a
   jayanti mohamāyādi- BhStc_76a	jayanti moha-mAyA-Adi BhStt-_76a
   jñānadīpena deva tvāṃ BhStc_113c	jQAna-dIpena deva tvAm BhStt-_113c
   jñānasya paramāṃ śriyam BhStc_73b	jQAnasya paramAm Sriyam BhStt-_73b
   jñānānandaṃ ca nirdvandvaṃ BhStc_71c	jQAna-Anandam ca nirdvandvam BhStt-_71c
   jñeya eko jayaty ajaḥ BhStc_28b	jQeyaH ekaH jayati ajaH BhStt-_28b
   jñeyo 'si kila ke 'py ete BhStc_27c	jQeyaH asi kila ke api ete BhStt-_27c
   jyotiṣām api yaj jyotis BhStc_104a	jyotizAm api yat jyotiH BhStt-_104a
   tac cakṣur īkṣyase yena BhStc_109a	tat cakzuH Ikzyase yena BhStt-_109a
   tataḥ prāpya na kiṃ jitam BhStc_26d	tatas prApya na kim jitam BhStt-_26d
   tat kṣīrodadam aiśvaryaṃ BhStc_29c	tat kzIrodadam ESvaryam BhStt-_29c
   tattaddhitaniyuktiṣu BhStc_18b	tad-tad-hita-niyuktizu BhStt-_18b
   tat pātum api ko 'nyo 'laṃ BhStc_98c	tat pAtum api kaH anyaH alam BhStt-_98c
   tatra tvaddhāmni dhāvataḥ BhStc_104b	tatra tvad-DAmni DAvataH BhStt-_104b
   tadantarāyahṛtaye BhStc_110c	tad-antarAya-hRtaye BhStt-_110c
   tadantarvṛttayaś citrās BhStc_49c	tad-antar-vRttayaH citrAH BhStt-_49c
   tad abhaṅgi tad agrāmyaṃ BhStc_86a	tat aBaFgi tat agrAmyam BhStt-_86a
   tad ekam upapattimat BhStc_86b	tat ekam upapattimat BhStt-_86b
   tannirvāṇāmṛtahradaḥ BhStc_107d	tad-nirvANa-amRta-hradaH BhStt-_107d
   tava māyin yayāvṛtaḥ BhStc_44b	tava mAyin yayA-AvRtaH BhStt-_44b
   tavaiva sahajaṃ vibho BhStc_29d	tava-eva sahajam viBo BhStt-_29d
   tavaiveśo dhiyaḥ pathi BhStc_49d	tava-eva-ISaH DiyaH paTi BhStt-_49d
   tasmai namo 'stu te yas tvaṃ BhStc_107c	tasmE namaH astu te yaH tvam BhStt-_107c
   tasya te nātha kāryāṇāṃ BhStc_32c	tasya te nATa kAryANAm BhStt-_32c
   taṃ smarāmaḥ smaradviṣam BhStc_81d	tam smarAmaH smaradvizam BhStt-_81d
   tubhyaṃ bhava bhavajjuṣām BhStc_100b	tuByam Bava Bavat-juzAm BhStt-_100b
   tubhyaṃ madanamardine BhStc_91b	tuByam madanamardine BhStt-_91b
   tuṣṭaḥ sarvaṃ kariṣyasi BhStc_78d	tuzwaH sarvam karizyasi BhStt-_78d
   tūrṇaṃ tat kiṃ pratīkṣase BhStc_89d	tUrNam tat kim pratIkzase BhStt-_89d
   trayasyopakriyāsv iha BhStc_106b	trayasya-upakriyAsu iha BhStt-_106b
   triguṇatriparispanda- BhStc_46a	triguNa-tri-parispanda BhStt-_46a
   tritāpyā nopatāpitaḥ BhStc_107b	tritApyAH na-upatApitaH BhStt-_107b
   trilokīnāthatādāna- BhStc_100c	trilokI-nATatA-dAna BhStt-_100c
   trilokyām iha kas trātas BhStc_107a	trilokyAm iha kaH trAtaH BhStt-_107a
   trailokyasya layodayau BhStc_66d	trElokyasya laya-udayO BhStt-_66d
   trailokyaṃ kalpanāśataiḥ BhStc_112b	trElokyam kalpanA-SatEH BhStt-_112b
   trailokyārambhasaṃhṛtiḥ BhStc_83d	trElokya-AramBa-saMhRtiH BhStt-_83d
   trailokye 'py atra yo yāvān BhStc_61a	trElokye api atra yaH yAvAn BhStt-_61a
   trailokyaikopakāriṇe BhStc_42b	trElokya-eka-upakAriNe BhStt-_42b
   tvatkathākalpapādapāt BhStc_109d	tvad-kaTA-kalpa-pAdapAt BhStt-_109d
   tvattas tvadbhaktim evāptuṃ BhStc_99c	tvattaH tvad-Baktim eva-Aptum BhStt-_99c
   tvattaḥ ko nirguṇo 'dhikaḥ BhStc_97b	tvattaH kaH nirguNaH aDikaH BhStt-_97b
   tvattaḥ ko 'nyaḥ kaviḥ kṣamaḥ BhStc_59d	tvattaH kaH anyaH kaviH kzamaH BhStt-_59d
   tvatto na sa kuto bhavet BhStc_70d	tvattaH na sa kutas Bavet BhStt-_70d
   tvatpraveśāt prasīdet tad BhStc_117c	tvad-praveSAt prasIdet tat BhStt-_117c
   tvatprasādāt tvadekāgra- BhStc_15c	tvad-prasAdAt tvad-ekAgra BhStt-_15c
   tvatprasādena tad bhūyād BhStc_119c	tvad-prasAdena tat BUyAt BhStt-_119c
   tvadadhiṣṭhānam eva hi BhStc_118b	tvad-aDizWAnam eva hi BhStt-_118b
   tvadadhīnatvadarpeṇa BhStc_103c	tvad-aDIna-tva-darpeNa BhStt-_103c
   tvadicchānugṛhītas tu BhStc_93c	tvad-icCA-anugRhItaH tu BhStt-_93c
   tvad ṛte kā parā gatiḥ BhStc_92d	tvat Rte kA parA gatiH BhStt-_92d
   tvaddhyānanidhilābhe 'pi BhStc_44c	tvad-DyAna-niDi-lABe api BhStt-_44c
   tvadbodhadīpikā me 'stu BhStc_58c	tvad-boDa-dIpikA me astu BhStt-_58c
   tvadbhaktirasapīyūṣān BhStc_50c	tvad-Bakti-rasa-pIyUzAn BhStt-_50c
   tvadbhaktiḥ paramāñjanam BhStc_88d	tvad-BaktiH parama-aQjanam BhStt-_88d
   tvanmantraḥ syāṃ yathā prabho BhStc_84d	tvad-mantraH syAm yaTA praBo BhStt-_84d
   tvanmayībhūya nirdvandvāḥ BhStc_17c	tvad-mayIBUya nirdvandvAH BhStt-_17c
   tvam ātmā yasya so 'py aham BhStc_85b	tvam AtmA yasya saH api aham BhStt-_85b
   tvam īśa śaraṇaṃ mama BhStc_110d	tvam ISa SaraNam mama BhStt-_110d
   tvayi karmaphalanyāsa- BhStc_86c	tvayi karma-Pala-nyAsa BhStt-_86c
   tvayi me bhava vardhatām BhStc_22d	tvayi me Bava varDatAm BhStt-_22d
   tvayy anicchati kaḥ śambho BhStc_93a	tvayi anicCati kaH SamBo BhStt-_93a
   tvayy ātmani sati prabho BhStc_54b	tvayi Atmani sati praBo BhStt-_54b
   tvallābhālambanāya me BhStc_47d	tvad-lABa-AlambanAya me BhStt-_47d
   tvām āptuṃ yaḥ samāsthitaḥ BhStc_47b	tvAm Aptum yaH samAsTitaH BhStt-_47b
   tvāṃ nāptuṃ yaḥ samāsthitaḥ BhStc_47d	tvAm na-Aptum yaH samAsTitaH BhStt-_47d
   dakṣā kasmai na rocate BhStc_14d	dakzA kasmE na rocate BhStt-_14d
   dayitāya kapardine BhStc_36d	dayitAya kapardine BhStt-_36d
   darśane sparśane tathā BhStc_36b	darSane sparSane taTA BhStt-_36b
   divyapīyūṣavipruṣaḥ BhStc_76d	divya-pIyUza-vipruzaH BhStt-_76d
   divyasya jñānacakṣuṣaḥ BhStc_88b	divyasya jQAna-cakzuzaH BhStt-_88b
   durgam astaṃ stumo mṛḍam BhStc_35d	durgam astam stumaH mRxam BhStt-_35d
   duṣkaraṃ sukarīkartuṃ BhStc_81a	duzkaram sukarIkartum BhStt-_81a
   duḥkhaṃ sukhayituṃ tathā BhStc_81b	duHKam suKayitum taTA BhStt-_81b
   dūragair api yasyānto BhStc_35c	dUra-gEH api yasya-antaH BhStt-_35c
   dṛśyo 'sīty upadeśena BhStc_41c	dRSyaH asi-iti upadeSena BhStt-_41c
   dṛṣṭa eṣa kva yāsi naḥ BhStc_68b	dRzwaH eza kva yAsi naH BhStt-_68b
   deva tvadbhāvanātmakam BhStc_48b	deva tvad-BAvanA-Atmakam BhStt-_48b
   devadevo vṛṣadhvajaḥ BhStc_87d	devadevaH vRzaDvajaH BhStt-_87d
   devam ānandasāgaram BhStc_61d	devam Ananda-sAgaram BhStt-_61d
   deva vṛtvā vivṛṇvate BhStc_71d	deva vRtvA vivRNvate BhStt-_71d
   devaṃ syāt sukṛtaṃ param BhStc_67b	devam syAt sukRtam param BhStt-_67b
   dehy ehi harahaṃsa naḥ BhStc_10d	dehi ehi hara-haMsa naH BhStt-_10d
   doṣo 'pideva ko doṣas BhStc_47a	dozaH api-deva kaH dozaH BhStt-_47a
   dvandvagrastaṃ jagattrayam BhStc_46b	dvandva-grastam jagattrayam BhStt-_46b
   dviṣmas tvāṃ tvāṃ stumas tubhyaṃ BhStc_4a	dvizmaH tvAm tvAm stumaH tuByam BhStt-_4a
   dhanyā dhāvanti dhūrjaṭim BhStc_68d	DanyAH DAvanti DUrjawim BhStt-_68d
   dhanyo 'smi kṛtakṛtyo 'smi BhStc_115a	DanyaH asmi kRtakRtyaH asmi BhStt-_115a
   dharmagrāmaḥ pravṛtto yas BhStc_70c	Darma-grAmaH pravRttaH yaH BhStt-_70c
   dharmebhyo 'py upari sthitim BhStc_92b	DarmeByaH api upari sTitim BhStt-_92b
   dhiyāṃ tejaḥ pracodakam BhStc_77b	DiyAm tejaH pracodakam BhStt-_77b
   nama īśāya niḥśeṣa- BhStc_25a	namaH ISAya niHSeza BhStt-_25a
   namayeyur na dhīdhanāḥ BhStc_94d	namayeyuH na DI-DanAH BhStt-_94d
   namas te bhavasambhrānta- BhStc_71a	namaH te Bava-samBrAnta BhStt-_71a
   namas tebhyo 'pi ye soma- BhStc_13a	namaH teByaH api ye soma BhStt-_13a
   namas trailokyanāthāya BhStc_100a	namaH trElokya-nATAya BhStt-_100a
   namaḥ kṛtakṛtāntānta BhStc_91a	namaH kRtakRtAnta-anta BhStt-_91a
   namaḥ prasannasadvṛtta- BhStc_57a	namaH prasanna-sat-vRtta BhStt-_57a
   namaḥ sadasatāṃ kartum BhStc_60a	namaH sat-asatAm kartum BhStt-_60a
   namaḥ stutau smṛtau dhyāne BhStc_36a	namaH stutO smRtO DyAne BhStt-_36a
   namāmaḥ sarvasāmānyaṃ BhStc_6c	namAmaH sarva-sAmAnyam BhStt-_6c
   nameyuḥ kaṃ paraṃ kaṃ vā BhStc_94c	nameyuH kam param kam vA BhStt-_94c
   namo 'nantaprakāśāya BhStc_3c	namaH ananta-prakASAya BhStt-_3c
   namo 'nantaphalotpāda- BhStc_16c	namaH ananta-Pala-utpAda BhStt-_16c
   namo namaḥ śivāyeti BhStc_20a	namaH namaH SivAya-iti BhStt-_20a
   namo namaḥ śivāyeti BhStc_62c	namaH namaH SivAya-iti BhStt-_62c
   namo nirupakāryāya BhStc_42a	namaH nirupakAryAya BhStt-_42a
   namo niḥśeṣadhīpatri- BhStc_23a	namaH niHSeza-DIpatri BhStt-_23a
   namo bhaktyā nṛṇāṃ muktyai BhStc_30a	namaH BaktyA nRNAm muktyE BhStt-_30a
   na yo navanavāyate BhStc_111d	na yaH nava-navAyate BhStt-_111d
   nāgayajñopavītine BhStc_23d	nAga-yajQa-upavItine BhStt-_23d
   nātha tvadbhaktidīpikā BhStc_58d	nATa tvad-Bakti-dIpikA BhStt-_58d
   nātha nānyatra dṛśyate BhStc_50d	nATa na-anyatra dRSyate BhStt-_50d
   nātha prārthayamānānāṃ BhStc_92c	nATa prArTayamAnAnAm BhStt-_92c
   nātha svapne 'pi yat kuryāṃ BhStc_103a	nATa svapne api yat kuryAm BhStt-_103a
   nāthaṃ svapne 'pi paśyanti BhStc_13c	nATam svapne api paSyanti BhStt-_13c
   nāthāya sthāṇave tubhyaṃ BhStc_23c	nATAya sTANave tuByam BhStt-_23c
   nānantyāya tvayārpyate BhStc_31d	na-AnantyAya tvayA-Arpyate BhStt-_31d
   nābhaviṣyad idaṃ yadi BhStc_40b	na-aBavizyat idam yadi BhStt-_40b
   nāmāpi dhyāyatāṃ dhyānaiḥ BhStc_19c	nAma-api DyAyatAm DyAnEH BhStt-_19c
   nimeṣam api yady ekaṃ BhStc_114a	nimezam api yadi ekam BhStt-_114a
   nirāvaraṇanirdvandva- BhStc_27a	nirAvaraNa-nirdvandva BhStt-_27a
   nirupādānasambhāram BhStc_9a	nirupAdAna-samBAram BhStt-_9a
   nirguṇo 'pi guṇajñānāṃ BhStc_28a	nirguNaH api guNa-jQAnAm BhStt-_28a
   nirdvandve nirupādhau ca BhStc_54a	nirdvandve nirupADO ca BhStt-_54a
   nirbhayaṃ yad yad ānanda- BhStc_89a	nirBayam yat yat Ananda BhStt-_89a
   nirmalīkaraṇe nātha BhStc_88c	nirmalIkaraNe nATa BhStt-_88c
   nirvikalpo jayaty ajaḥ BhStc_112d	nirvikalpaH jayati ajaH BhStt-_112d
   nirvināyakaśaktaye BhStc_100d	nirvinAyaka-Saktaye BhStt-_100d
   nilaye duḥkhayādasām BhStc_26b	nilaye duHKayAdasAm BhStt-_26b
   niścayaḥ punar eṣo 'tra BhStc_118a	niScayaH punar ezaH atra BhStt-_118a
   niścalajñānasampadām BhStc_27b	niScala-jQAna-sampadAm BhStt-_27b
   niśchadmā ced bhaved eṣā BhStc_108c	niSCadmA ced Bavet ezA BhStt-_108c
   niṣkampam amṛtahradam BhStc_95b	nizkampam amRta-hradam BhStt-_95b
   niṣkāmāyāpi kāmānām BhStc_63a	nizkAmAya-api kAmAnAm BhStt-_63a
   niṣkāmo 'pi prakṛtyā yaḥ BhStc_28c	nizkAmaH api prakRtyAH yaH BhStt-_28c
   niḥśeṣakleśahānasya BhStc_101a	niHSeza-kleSa-hAnasya BhStt-_101a
   niḥśeṣaprārthanīyārtha- BhStc_99a	niHSeza-prArTanIya-arTa BhStt-_99a
   niḥśeṣātiśayātmanaḥ BhStc_53b	niHSeza-atiSaya-AtmanaH BhStt-_53b
   niḥspṛhāya kapardine BhStc_42d	niHspRhAya kapardine BhStt-_42d
   naiḥspṛhyasya parāṃ koṭiṃ BhStc_73c	nEHspRhyasya parAm kowim BhStt-_73c
   padaṃ citte tadā śambho BhStc_114c	padam citte tadA SamBo BhStt-_114c
   padaṃ dehy ehi me deva BhStc_89c	padam dehi ehi me deva BhStt-_89c
   paramānandadāyinam BhStc_13d	parama-Ananda-dAyinam BhStt-_13d
   paramānandasampadā BhStc_2b	parama-Ananda-sampadA BhStt-_2b
   paramārthaphalaṃ nātha BhStc_96c	parama-arTa-Palam nATa BhStt-_96c
   paramārthaikabhāvāya BhStc_11c	parama-arTa-eka-BAvAya BhStt-_11c
   parameśvarahaṃsasya BhStc_8c	parameSvara-haMsasya BhStt-_8c
   paraḥ ko 'pi maheśvaraḥ BhStc_90d	paraH kaH api maheSvaraH BhStt-_90d
   paraḥ pratinidhis tava BhStc_53d	paraH pratiniDiH tava BhStt-_53d
   paripūrṇaṃ prayacchasi BhStc_96d	paripUrNam prayacCasi BhStt-_96d
   pareṇa jyotiṣābhitaḥ BhStc_12b	pareNa jyotizA-aBitas BhStt-_12b
   paryantaḥ sarvakarmaṇām BhStc_49b	paryantaH sarva-karmaNAm BhStt-_49b
   paśyantyā dṛśyamānayā BhStc_1b	paSyantyAH dRSyamAnayA BhStt-_1b
   punarbhavabhayoccheda- BhStc_14c	punarBava-Baya-ucCeda BhStt-_14c
   puruṣārthaprasādhakaḥ BhStc_25b	puruza-arTa-prasADakaH BhStt-_25b
   puṣpitā pātv asau bhavaḥ BhStc_34d	puzpitA pAtu asO BavaH BhStt-_34d
   'py aṇave mahate punaḥ BhStc_7b	api aNave mahate punar BhStt-_7b
   praṇantavyaḥ praṇāmo 'pi BhStc_25c	praNantavyaH praNAmaH api BhStt-_25c
   praṇavordhvārdhamātrāto BhStc_7a	praNava-UrDva-arDa-mAtrAtaH BhStt-_7a
   prabhuśaktir abhaṅgurā BhStc_66b	praBu-SaktiH aBaFgurA BhStt-_66b
   prabho bhavata eveha BhStc_66a	praBo BavataH eva-iha BhStt-_66a
   prasanne manasi svāmin BhStc_117a	prasanne manasi svAmin BhStt-_117a
   prasaradbindunādāya BhStc_3a	prasarat-bindunAdAya BhStt-_3a
   prasādaḥ kriyatāṃ mama BhStc_41d	prasAdaH kriyatAm mama BhStt-_41d
   prasādaḥ kriyatāṃ mayi BhStc_24d	prasAdaH kriyatAm mayi BhStt-_24d
   prasādo manasaḥ svāmin BhStc_118c	prasAdaH manasaH svAmin BhStt-_118c
   prastāvya hara saṃhartuṃ BhStc_59c	prastAvya hara saMhartum BhStt-_59c
   prāptau cānandavṛndāya BhStc_36c	prAptO ca-Ananda-vRndAya BhStt-_36c
   prāyeṇārthakriyākaram BhStc_79b	prAyeNa-arTa-kriyA-karam BhStt-_79b
   prārthaye nātha sarvathā BhStc_99d	prArTaye nATa sarvaTA BhStt-_99d
