   // prathamādhyāye dvitīyāhnikam //	// praTama-aDyAye dvitIya-Ahnikam //
   // kathālakṣaṇaprakaraṇam //	// kaTA-lakzaNa-prakaraNam //
   // pariśuddhiḥ //	// pariSudDiH //
   na hi prathamasādhananivṛttāveva tattvanirṇayaḥ, niḥsādhanasya	na hi praTama-sADana-nivRttO=-eva tattva-nirNayaH, niHsADanasya
   tasyānupapatteḥ /	tasya-anupapatteH /
   nāpi pratipakṣasādhanamanivartya prathamasya sādhanatvāvasthitiḥ,	na-api pratipakza-sADanam-anivartya praTamasya sADanatva-avasTitiH,
   śaṅkitapratipakṣatvāt /	SaFkita-pratipakza-tvAt /
   yadi tu pratipakṣasādhanamanirūpyaiva vijigīṣuvitaṇḍāvat tāvataiva vādinau	yadi tu pratipakza-sADanam-anirUpya-eva vijigIzu-vitaNxA-vat tAvatA-eva vAdinO
   kṛtinau, na tarhi tattvabubhūtsū /	kRtinO, na tarhi tattva-buBUt-sU /
   evaṃ ca yadi vijigīṣuḥ, kathamapratibhādyanudbhāvanam /	evam ca yadi vijigIzuH, kaTam-apratiBA-Adi-anudBAvanam /
   na ca vijayatattvanirṇayābhyāṃ phalāntaramavaśiṣyate kathāyāḥ, yadarthaṃ	na ca vijaya-tattva-nirNayAByAm Pala-antaram-avaSizyate kaTAyAH, yad-arTam
   vādavitaṇḍā /	vAda-vitaNxA /
   anutpannasya hi tattvanirṇayasyotpādanam, utpannasya pālanam, pālitasya ca	anutpannasya hi tattva-nirNayasya-utpAdanam, utpannasya pAlanam, pAlitasya ca
   viniyogaḥ /	viniyogaH /
   sa ca svayamabhyāsaḥ, kāruṇikatayā paravyutpādanam /	sa ca svayam-aByAsaH, kAruNika-tayA para-vyutpAdanam /
   etacca sarvaṃ kathātrayaparyavasitam, nāpyekakathānirvāhyamiti //	etat-ca sarvam kaTA-traya-paryavasitam, na-api-ekakaTA-nirvAhyam-iti //
   nanvetāvatāpi na sāmānyalakṣaṇaṃ vibhāvitamityata āha---tathā ceti /	nanu-etAvatA-api na sAmAnya-lakzaNam viBAvitam-iti-atas Aha---taTA ca-iti /
   nānāpravaktṛkā mithaḥ karmatayā yuddhavadāliṅganavacca /	nAnA-pravaktRkAH miTas karma-tayA yudDa-vat-AliFgana-vat-ca /
   etena vākyasaṃdṛbdhirmahāvākyamuktaṃ syāt, mithaḥ karmatayā sākāṅkṣatvāt,	etena vAkya-saMdRbDiH-mahA-vAkyam-uktam syAt, miTas karma-tayA sa-AkAFkza-tvAt,
   vijayādyanekaprayojanavattvācceti /	vijaya-Adi-aneka-prayojana-vat-tvAt-ca-iti /
   vaktrośca praśabdena prakarṣo darśitaḥ /	vaktroH-ca praSabdena prakarzaH darSitaH /
   sa ca kathārūpamahāvākyanirvāhakatvam /	sa ca kaTA-rUpa-mahA-vAkya-nirvAhaka-tvam /
   tathā ca svasthaḥ sarvañjanapratyayānapalāpī matamātrāvalambī avahito	taTA ca svasTaH sarvaQjana-pratyayAnapalApI mata-mAtra-avalambI avahitaH-
   'kalahakāraśceti kathādhikāriṇo darśitāḥ /	akalahakAraH-ca-iti kaTA-aDikAriNaH darSitAH /
   viparyayeṇa heyā iti /	viparyayeNa heyAH iti /
   vasatīti niruktibhaṅgabhayādāha---arthābhidhāneti vādeti /	vasati-iti nirukti-BaFga-BayAt-Aha---arTa-aBiDAnA-iti vAda-iti /
   anadhikāriṇo hātumiti bhāvaḥ /	anaDikAriNaH hAtum-iti BAvaH /
   te 'pi prakṛtoktiko 'vipralambhako yathākālasphūrtikaḥ anākṣepako	te api prakRta-uktikaH avipralamBakaH yaTAkAla-sPUrtikaH anAkzepakaH-
   yuktisiddhasaṃpratyayī ceti pañca vāde upādeyāḥ viparyayeṇa heyāḥ /	yukti-sidDa-saMpratyayI ca-iti paQca vAde upAdeyAH viparyayeNa heyAH /
   evaṃ bhūtāśca viṣyādaya eva prāyeṇeti ta evoktāḥ /	evam BUtAH-ca vizya-AdayaH eva prAyeNa-iti te eva-uktAH /
   evaṃ ca sati heyān vihāya yo yathābhūtaḥ sa tathābhūtena vaktumarhati /	evam ca sati heyAn vihAya yaH yaTABUtaH sa taTABUtena vaktum-arhati /
   tathā sati kathā mahāvākyasiddhau phalasiddheḥ /	taTA sati kaTA mahA-vAkya-sidDO Pala-sidDeH /
   na hi yuyutsuriraṃsū pratipadya ciraṃ asiddhaṃ saṃbhūya samīhitaṃ	na hi yuyutsuri-raMsU pratipadya ciram asidDam saMBUya samIhitam
   sādhayataḥ /	sADayataH /
   yathoddeśamiti /	yaToddeSam-iti /
   tattvapratipattihetutvād vādasyādāvuddeśaḥ //	tattva-pratipatti-hetu-tvAt vAdasya-AdO=-uddeSaH //
   vārttikamupaveśayituṃ pīṭhamāracayati---tadanavasāyāditi /	vArttikam-upaveSayitum pIWa-m-Aracayati-----tadana-vasAyAt-iti /
   evamiti /	evam-iti /
   atideśārthamāha---na vicāramiti /	atideSa-arTam-Aha---na vicAram-iti /
   śrutivyavacchedyatayā vitaṇḍāṃ tāvad vyavacchinattiyadyapīti /	Sruti-vyavacCedya-tayA vitaNxAm tAvat vyavacCinat-tiyat-yapi-iti /
   tātparyavyavacchedyatayā idānīṃ jalpaṃ vyavacchinatti---yadyapi ceti /	tAtparya-vyavacCedya-tayA idAnIm jalpam vyavacCinatti---yadi-api ca-iti /
   pramāṇamūlaiḥ pramāṇamūlābhimatairniyameneti śeṣaḥ /	pramANa-mUlEH pramANa-mUla-aBimatEH-niyamena-iti SezaH /
   nābhiprāyaniyamaḥ śrūyata ityata āha---yathā caitaditi /	nABi-prAya-niyamaH SrUyate iti-atas Aha---yaTA ca-etat-iti /
   sādhane ca tarkasya pramāṇāpekṣā, upālambhe tu kevalo 'pi samarthaḥ,	sADane ca tarkasya pramANa-apekzA, upAlamBe tu kevalaH api samarTaH,
   pratitarkapratihatasyāsādhanatvāt /	pratitarka-pratihatasya-asADana-tvAt /
   āgāminaṃ bhāvasādhanatvasvīkāramiva dṛṣṭvā prāha---ubhayatheti /	AgAminam BAva-sADana-tva-svIkAram-iva dRzwvA prAha----uBayaTA-iti /
   tadgatākṣepastu uddeśa eva pramāṇatarkaśabdasya sādhanopālambhaśabdavat	tad-gata-AkzepaH-tu uddeSaH eva pramANa-tarka-Sabdasya sADana-upAlamBa-Sabda-vat
   svavācakalakṣaṇayā vā, śabdāvāntaravyāpāratayā vā śabdapratipāditatayā vā	sva-vAcaka-lakzaNayA vA, Sabda-avAntara-vyApAra-tayA vA Sabda-pratipAdita-tayA vA
   samarthitaprāyaḥ /	samarTita-prAyaH /
   tataḥ siddhavadāha---yada tviti /	tatas sidDavat-Aha---yada tu-iti /
   aparādhapratipādanaṃ hyupālambhaḥ /	aparADa-pratipAdanam hi-upAlamBaH /
   na ca acetano 'parādhyati, nāpi pratipādyate, kiṃ puruṣaḥ /	na ca acetanaH aparADyati, na-api pratipAdyate, kim puruzaH /
   tadidamuktam---puruṣadharmopālambheti /	tat-idam-uktam-----puruza-Darma-upAlamBa-iti /
   karmakaraṇayorhi pradhānavyāpāraḥ, phalamekameva /	karma-karaNayoH-hi praDAna-vyApAraH, Palam-ekam-eva /
   taddvārā ca viṣayaḥ /	tad-dvArA ca vizayaH /
   prakṛte karmakaraṇayorapi karmaiva /	prakRte karma-karaNayoH-api karma-eva /
   iyāṃstu viśeṣaḥ, yat karmatvadaśāyāṃ śabdāderanityatvaṃ dharmo	iyAn=-tu viSezaH, yat karma-tvadaSAyAm Sabda-AdeH-anitya-tvam DarmaH-
   karmakaraṇayorapi karmaiva /	karma-karaNayoH-api karma-eva /
   iyāṃstu viśeṣaḥ, yat karmatvadaśāyāṃ śabdāderanityatvaṃ dharmo	iyAn=-tu viSezaH, yat karma-tvadaSAyAm Sabda-AdeH-anitya-tvam DarmaH-
   jijñāsitatayā, viṣayatvadaśāyāṃ tu vastutayetyāśayavān	jijQAsita-tayA, vizaya-tvadaSAyAm tu vastu-tayA-iti-ASayavAn
   yathāśrutavārttikānurodhena vyācaṣṭe---dharmīti /	yaTA-aSruta-vArttika-anuroDena vyAcazwe---Darmi-iti /
   anyathā tu viṣayaḥ śaktiviṣayaḥ śakyaṃ kāryamiti yāvadityevamapi	anyaTA tu vizayaH Sakti-vizayaH Sakyam kAryam-iti yAvat-iti-evam-api
   sugamametat /	sugamam-etat /
   atra hi jalpe nigrahasthānaviniyogādityādibhāṣye na hiṃsyāt sarvabhūtāni /	atra hi jalpe nigraha-sTAna-viniyogAt-ityAdi-BAzye na hiMsyAt sarva-BUtAni /
   itivad vāde sarvanigrahasthānapratiṣedhe agnīṣomīyaṃ paśumālabheta itivat	iti-vat vAde sarva-nigraha-sTAna-pratizeDe agnIzomIyam paSum-AlaBeta iti-vat-
   siddhāntāviruddha ityādiviśeṣavidhirityarthaḥ /	sidDAnta-avirudDaH ityAdi-viSeza-viDiH-iti-arTaH /
   sphuṭaḥ pratīyate /	sPuwaH pratIyate /
   vārtikakārastu rāgataḥ sarvapañcanakhabhakṣaṇaprāptivat upālambhagrahaṇāt	vArtikakAraH-tu rAgataH sarva-paQca-naKa-BakzaNa-prApti-vat upAlamBa-grahaNAt-
   sarvanigrahasthānaprāptau pañca pañcanakhā bhakṣyāḥ itivat	sarva-nigraha-sTAna-prAptO paQca paQcanaKAH BakzyAH iti-vat-
   parisaṃkhyānārthamuttarapadārambha iti vyākhyātavān /	parisaMKyAna-arTam-uttara-pada-AramBaH iti vyAKyAtavAn /
   tadetadatikuśalatayā mithaḥ avirodhayannāha---jalpa iti /	tat-etat-ati-kuSala-tayA miTas aviroDayan=-Aha---jalpaH iti /
   tathāpi niyamārthe ityasaṃgatam /	taTA-api niyama-arTe iti-asaMgatam /
   pākṣikavyavacchedaphalo hi niyamaḥ /	pAkzika-vyavacCeda-PalaH hi niyamaH /
   na cātrāpratibhādi pākṣikam, upālambhapadena nirāśaṅkameva pratipāditatvāt	na ca-atra-apratiBA-Adi pAkzikam, upAlamBa-padena nirASaFkam-eva pratipAdita-tvAt-
   ityata āha---niyamaḥ parisaṃkhyeti /	iti-atas Aha----niyamaH parisaMKyA-iti /
   ayamarthaḥ, yadyapi vidhiratyantamaprāptau niyamaḥ pākṣike sati /	ayam-arTaH, yadi-api viDiH-atyantam-aprAptO niyamaH pAkzike sati /
   tatra cānyatra ca prāptau parisaṃkhyeti kīrtyate //	tatra ca-anyatra ca prAptO parisaMKyA-iti kIrtyate //
   iti bhedo darśitaḥ, tathāpyalpīyānayamiti manyamānena parisaṃkhyāyāmapi	iti BedaH darSitaH, taTA-api-alpIyA-anayam-iti manyamAnena parisaMKyAyAm-api
   niyamapadaṃ prayujyate, itaravyavacchedalakṣaṇasya phalasyāviśiṣṭatvāditi	niyama-padam prayujyate, itara-vyavacCeda-lakzaNasya Palasya-aviSizwa-tvAt-iti
   iha vāde caturdhā nigrahasthānagatiḥ /	iha vAde caturDA nigraha-sTAna-gatiH /
   kiñcidasaṃbhāvanīyameva yathā, hāniḥ sannyāso	kiQcid-asaMBAvanIyam-eva yaTA, hAniH sannyAsaH-
   nirarthakamarthāntaramavijñātārthamapārthakamiti ṣaṭkam /	nirarTakam-arTa-antaram-avijQAta-arTam-apArTakam-iti zawkam /
   kiñcit saṃbhavadapyanudbhāvyameva yathā, pratijñāntaraṃ	kiQcid saMBavat-api-anudBAvyam-eva yaTA, pratijQA-antaram
   hetvantaramajñānamapratibhā vikṣepo matānujñā paryanuyojyopekṣaṇamiti	hetu-antaram-ajQAnam-apratiBA vikzepaH mata-anujQA paryanuyojya-upekzaNam-iti
   saptakam /	saptakam /
   kiñcit tūdbhāvyamātraṃ yathā, virodho 'prāptakālaṃ nyūnamadhikaṃ	kiQcid tu-udBAvya-mAtram yaTA, viroDaH aprApta-kAlam nyUnam-aDikam
   punaruktamayathānubhāṣaṇamapasiddhānta iti saptakam /	punaruktam-ayaTA-anuBAzaNam-apasidDAntaH iti saptakam /
   kiñcicca kathāvasānikaṃ yathā, hetvābhāso niranuyojyānuyogaśceti dvayamiti	kiQcid-ca kaTA-avasAnikam yaTA, hetvABAsaH niranuyojya-anuyogaH-ca-iti dvayam-iti
   tatra hānyādīnāmaśaktisaṃguhanaprakāratvāt, tattvabubhutsutayā ca vāde	tatra hAni-AdInAm-aSakti-saMguhana-prakAra-tva-at, tattva-buBut-sutayA ca vAde
   tadabhāvāt teṣāmasaṃbhavaḥ /	tad-aBAvAt tezAm-asaMBavaH /
   saṃbhavatāmanudbhāvane hetumāha---na khalviti /	saMBavatAm-anudBAvane hetum-Aha---na Kalu-iti /
   kathāmaparyavasāyayatāmapyudbhāvane hetumāha---adhikaṃ tviti /	kaTAm-aparyavasAyayatAm-api-udBAvane hetum-Aha---aDikam tu-iti /
   tattvapratipatteḥ sākṣād vyāghāto viparītapratipattiryathā,	tattva-pratipatteH sAkzAt vyAGAtaH viparIta-pratipattiH-yaTA,
   hetvābhāsānudbhāvane niranuyojyānuyogānudbhāvane ca pāramparyavyāghāto	hetvABAsa-an-udBAvane niranuyojya-anuyoga-anudBAvane ca pAramparya-vyAGAtaH-
   vyāsaṅgādīnā tatsāmagrīpratirodhaḥ /	vyAsaFga-AdInA tad-sAmagrI-pratiroDaH /
   tatrādhikānudbhāvane prathamo yadi na syāt, tathāpi dvitīyaḥ syādeva /	tatra-aDika-an-udBAvane praTamaH yadi na syAt, taTA-api dvitIyaH syAt-eva /
   tathā hi, virodhe yogyatāvirahaḥ /	taTA hi, viroDe yogyatA-virahaH /
   aprāptakāle ākāṅkṣāvirahaḥ /	aprApta-kAle AkAFkzA-virahaH /
   nyūne ākāṅkṣitāsamabhivyāhāraḥ /	nyUne AkAFkzita-asam-aBivyAhAraH /
   sa cānāsaktiviśeṣaḥ /	sa ca-anAsakti-viSezaH /
   adhike anākāṅkṣitasamabhivyāhāraḥ /	aDike anAkAFkzita-samaBivyAhAraH /
   punarukte 'pyevam /	punarukte api-evam /
   so 'pyākāṅkṣāvirahaviśeṣaḥ /	saH api-AkAFkzA-viraha-viSezaH /
   ayathānubhāṣaṇe uktāpratisandhānam /	ayaTA-anuBAzaNe uktA-pratisanDAnam /
   apasiddhānte saṃmukhapramāṇabādhākrāntiriti ākāṅkṣāyogyatāsattimattayā	apasidDAnte saMmuKa-pramANa-bADa-AkrAntiH-iti AkAFkzA-yogya-tA-sattimattayA
   pratisaṃhitaṃ pramāṇāntarāpratihataṃ ca vākyaṃ tattvapratipatteraṅgam,	pratisaMhitam pramANa-antara-apratihatam ca vAkyam tattva-pratipatteH-aFgam,
   nānyathā /	na-anyaTA /
   tasmādetadarthamidamudbhāvyamiti //	tasmAt-etat-arTam-idam-udBAvyam-iti //
   tadetat sarvamabhiprāyaṃ niyamayataḥ sūtrakārasya saṃmataṃ sūtrādeva ca	tat-etat sarvam-aBiprAyam niyamayataH sUtrakArasya saMmatam sUtrAt-eva ca
   labhyate /	laByate /
   vārttikakṛtā tu nyūnādicatuṣṭayamudāharaṇārthaṃ darśitam, na tu niyamaḥ	vArttika-kRtA tu nyUna-Adi-catuzwayam-udAharaNa-arTam darSitam, na tu niyamaH
   kṛta iti vyājena darśayati---tathā ceti /	kRtaH iti vyAjena darSayati----taTA ca-iti /
   nanu vyatisaṅgo vyatihāraḥ /	nanu vyatisaFgaH vyatihAraH /
   sa ca sādhanopalambhavānityetāvataivokte gamyate /	sa ca sADana-upalamBavAn-iti-etAvatA-eva-ukte gamyate /
   tataḥ pramāṇatarkagrahaṇamatiricyata ityata āha---pūrvasminniti /	tatas pramANa-tarka-grahaNam-atiricyate iti-atas Aha----pUrvasmin=-iti /
   tathāpyasmin pakṣe kimasya prayojanamityata	taTA-api-asmin pakze kim-asya prayojanam-iti-ata
   āha---sādhanopālambhaviśeṣaṇāya ceti /	Aha----sADana-upAlamBa-viSezaNAya ca-iti /
   anuvidheyastheyasabhyapuruṣavatī janatā sabhetyucyate /	anuviDeya-sTeya-saByapuruzavatI janatA saBA-iti-ucyate /
   tatrānuvidheyasya yathāśakti yathāniyamaṃ saṃmānāsaṃmānavyañjakaṃ karma /	tatra-anuviDeyasya yaTASakti yaTA-niyamam saMmAna-asaMmAna-vyaQjakam karma /
   naitad vāde /	na-etat vAde /
   tatra hi tattvabubhutsutayā svayamavātattvajñaḥ tattvajñāninamupāsīta /	tatra hi tattva-buBut-sutayA svayam-avAtattva-jQaH tattva-jQAninam-upAsIta /
   stheyānāṃ tu vādasthānakathāviśeṣavyavasthāpanaṃ pūrvottaravādasthāpanaṃ	sTeyAnAm tu vAda-sTAna-kaTA-viSeza-vyavasTApanam pUrva-uttaravAda-sTApanam
   vivadamānayorguṇadoṣāvadhāraṇaṃ bhagnaprativādiprabodhanaṃ loke	vivadamAnayoH-guNa-doza-avaDAraNam Bagna-prativAdi-praboDanam loke
   niṣpannakathāphalapratipādanaṃ ca karmāṇi /	nizpanna-kaTA-Pala-pratipAdanam ca karmANi /
   etadarthaṃ ca tatra prāśnikopayogo yad vādinau kāraṇagraheṇa evaṃ	etad-arTam ca tatra prASnika-upayogaH yat vAdinO kAraNa-graheNa evam
   kartumaśaktau /	kartum-aSaktO /
   na caivaṃ vāde /	na ca-evam vAde /
   tatra tayoreva vītarāgatayā śaktatvādityāśayavānāha---na vāde	tatra tayoH-eva vIta-rAga-tayA Sakta-tvAt-iti-a-ASaya-vAn-Aha---na vAde
   prāśnikānāmiti /	prASnikAnAm-iti /
   tat kiṃ parivarjanameva tatra teṣām? netyāha---daivāgatānāṃ tviti /	tat kim parivarjanam-eva tatra tezAm? na-iti-Aha---dEva-AgatAnAm tu-iti /
   savādenaprāmādikakathābhāsaśaṅkāmapanetuṃ natūktakarmāṇi kārayitumiti	sa-vAdena-prAmAdika-kaTA-ABAsa-SaFkAm-apanetum natu-ukta-karmANi kArayitum-iti
   bhāvaḥ //1 //	BAvaH //1 //
   yathoktopapannaśchalajātinigrahasthānasādhanopālambho jalpaḥ //1 //	yaTA-ukta-upapannaH-Cala-jAti-nigraha-sTAna-sADana-upAlamBaH jalpaH //1 //
   // pariśuddhiḥ //	// pariSudDiH //
   ubhayasādhanavattvasādharmyād vādānantaraṃ jalpoddeśasiddhiḥ /	uBaya-sADana-vat-tva-sADarmyAt vAda-anantaram jalpa-uddeSa-sidDiH /
   tatsiddhau satyāṃ saṃgatim āha---uddeśeti /	tad-sidDO satyAm saMgatim Aha---uddeSa-iti /
   nanu jalpasyobhayasādhanavattvāsaṃbhavānna vitaṇḍāvyavacchedaḥ /	nanu jalpasya-uBaya-sADana-vat-tva-asaMBavAt-na vitaNxa-avyavacCedaH /
   tathā hi yadi pūrvasādhanaṃ dūṣitam, nigṛhītastarhi vādī, jitaṃ dvitīyena	taTA hi yadi pUrva-sADanam dUzitam, nigRhItaH-tarhi vAdI, jitam dvitIyena
   nivṛttā kathā /	nivRttA kaTA /
   na dūṣitaṃ cet---uttarābhāsavacanena cāvacanena ca nigṛhītastarhi dvitīyo,	na dUzitam cet---uttara-ABAsa-vacanena ca-avacanena ca nigRhItaH-tarhi dvitIyaH-,
   jitaṃ prathamena, nivṛttā katheti nāsti dvitīyasādhanāvasara iti /	jitam praTamena, nivRttA kaTA-iti na-asti dvitIya-sADana-avasaraH iti /
   naitadevam /	na-etat-evam /
   yathā hi vāde svasādhanasthitau parasādhananivṛttau ca tattvanirṇayo na	yaTA hi vAde sva-sADana-sTitO para-sADana-nivRttO ca tattva-nirNayaH na
   viparyaye, tathā jalpe 'pi svasādhanasthitau parasādhananivṛttau ca vijayo	viparyaye, taTA jalpe api sva-sADana-sTitO para-sADana-nivRttO ca vijayaH-
   viparyaye bhaṅgaḥ /	viparyaye BaFgaH /
   ubhayasthitinivṛttyoḥ pariṣadeva vijayate /	uBaya-sTiti-nivRttyoH parizad-eva vijayate /
   tadayaṃ jalprapavṛttikramaḥ vādini sādhanamātraṃ prayujya saṃkṣepato	tat-ayam jalprapavRtti-kramaH vAdini sADana-mAtram prayujya saMkzepataH-
   vistarato vā ābhāsān uddhṛtya virate sati ucyamānagrāhyanigrahāprāptau	vistarataH vA ABAsAn udDRtya virate sati ucyamAna-grAhya-nigraha-aprAptO
   ābhāsabahiruktagrāhyanigrahālābhe tadvacanārthamavagamyānūdya dūṣayitvā	ABAsa-bahirukta-grAhya-nigraha-alABe tad-vacana-arTam-avagamya-AnUdya dUzayitvA
   prativādīsvapakṣe sthāpanāṃ prayuñjīta /	prativAdI-sva-pakze sTApanAm prayuQjIta /
   aprayuñjānastu dūṣitaparapakṣo 'pi navijayī /	aprayuQjAnaH-tu dUzita-para-pakzaH api na-vijayI /
   ślādhyastu syādātmānamarakṣan paraghātīva vīraḥ /	SlADyaH-tu syAt-AtmAnam-arakzan para-GAtI-iva vIraH /
   tasminnapyevaṃ virate sati anuktocyamānagrāhyanigrahālābhe	tasmin=-api-evam virate sati anukta-ucyamAna-grAhya-nigraha-alABe
   tadvavacanamavagamyānūdya dūṣaṇāṅgaṃ prati	tat-vavacanam-avagamya-AnUdya dUzaNa-aFgam prati
   dūṣyābhāsabahiruktagrāhyanigrahālābheda prathamavādī sthāpanāṃśaṃ dūṣayet	dUzya-ABAsa-bahis-ukta-grAhya-nigraha-alABeda praTama-vAdI sTApana-aMSam dUzayet-
   adūṣayaṃsatu rakṣitasvapakṣo 'pi na vijayī /	adUzayaMsatu rakzita-sva-pakzaH api na vijayI /
   ślādhyastu syāt vañcitaparaprahāra iva tamapraharamāṇaḥ /	SlADyaH-tu syAt vaQcita-para-prahAraH iva tam-apraharamANaH /
   anuktocyamānagrāhyābhāsabahiruktagrāhyanigrahalābhe tu tāvataiva	anukta-ucyamAna-grAhya-ABAsa-bahis-ukta-grAhya-nigraha-lABe tu tAvatA-eva
   kathāviratirna sādhanavicārāvakārśaḥ /	kaTA-viratiH-na sADana-vicAra-avakArSaH /
   śarasandhānasamaya eva yo mūrcchitaḥ tadvāṇavāraṇatatpraharaṇānuṣṭhānavad	Sara-sanDAna-samayaH eva yaH mUrcCitaH tad-vANa-vAraNa-tad-praharaNa-anuzWAna-vat-
   viphalatvāt /	viPala-tvAt /
   tatrānuktagrāhyamapratibhādi /	tatra-anukta-grAhyam-apratiBA-Adi /
