   Adbhutadharmaparyāya	AdButa-Darma-paryAya
   kuladuhitā vā saptaratnamayaṃ kṛtvā srotāpannebhyaḥ sakṛdāgāmibhyo	kula-duhitA vA sapta-ratna-mayam kRtvA srotApanneByaH sakRdAgAm-iByaH-
   'nāgāmibhyo 'rhadbhyaḥ pratyekabuddhebhyaś cāturdiśe vā bhkiṣusaṃghe	anAgAmiByaH arhadByaH pratyekabudDeByaH cAturdiSe vA Bkizu-saMGe
   niryātayet. yo vā tathāgatasyārhataḥ samyakasaṃbuddhasya parinirvṛtasya	niryAtayet. yaH vA taTAgatasya-arhataH samyaka-saMbudDasya parinirvRtasya
   mṛttikāpiṇḍād āmalakaphalapramāṇaṃ stūpaṃ pratiṣṭhāpayet sūcīmātrāṃ vā	mRttikA-piNxAt Amalaka-Pala-pramANam stUpam pratizWApayet sUcI-mAtrAm vA
   yaṣṭim āropayet badarīpatramātracchattram yavaphalapramāṇaṃ pratimāṃ	yazwim Aropayet badarI-patra-mAtra=-Cattram yava-Pala-pramANam pratimAm
   kārayet sarṣaphalapramāṇaṃ dhātuṃ pratiṣṭhāpayet, idam evānanda tataḥ	kArayet sarza-Pala-pramANam DAtum pratizWApayet, idam eva-Ananda tatas-
   prabhūtataraṃ puṇyaṃ vadāmi.	praBUtataram puNyam vadAmi.
   [4] tiṣṭhatv ānanda jambūdvīpo dvīpaḥ. asty ānanda pūrvavideho nāma dvīpo	[4] tizWatu Ananda jambUdvIpaH dvIpaH. asti Ananda pUrvavidehaH nAma dvIpaH-
   'ṣṭauyojanasahasrāṇy āyāmavistāreṇa samantād ardhacandrākārapariṇāmitaḥ.	azwOyojana-sahasrANi AyAma-vistAreNa samantAt arDacandra-AkAra-pariNAmitaH.
   tam enaṃ kaścit śrāddhaḥ kulaputro vā kuladuhitā vā saptaratnamayaṃ kṛtvā	tam enam kaScid SrAdDaH kula-putraH vA kula-duhitA vA sapta-ratna-mayam kRtvA
   cāturdiśe bhkiṣusaṃghe niryātayet yo vā tathāgatasyārhataḥ	cAturdiSe Bkizu-saMGe niryAtayet yaH vA taTAgatasya-arhataH
   samyakasaṃbuddhasya parinirvṛttasya mṛtpiṇḍād āmalakaphalapramāṇaṃ stūpaṃ	samyaka-saMbudDasya parinirvRttasya mRd-piNxAt Amalaka-Pala-pramANam stUpam
   pratiṣṭhāpayet sūcīmātrāṃ yaṣṭim āropayed badarīpatramātraṃ cchattram	pratizWApayet sUcI-mAtrAm yazwim Aropayet badarI-patra-mAtram cCattram
   yavaphalapramāṇaṃ pratimāṃ kārayet sarṣaphalapramāṇaṃ dhātuṃ	yava-Pala-pramANam pratimAm kArayet sarza-Pala-pramANam DAtum
   pratiṣṭhāpayet idam evānanda tataḥ bahutaraṃ puṇyaṃ vadāmi.	pratizWApayet idam eva-Ananda tatas bahutaram puNyam vadAmi.
   [5] tiṣṭhatv ānanda jambūdvīpo dvīpaḥ. asty ānandāvaragodānīyo nāma dvīpo	[5] tizWatu Ananda jambUdvIpaH dvIpaH. asti AnandAvaragodAnIyaH nAma dvIpaH-
   navayojanasahasrāṇy āyāmavistāreṇa samantāt pūrṇacandrākārapariṇāmitaḥ.	nava-yojana-sahasrANi AyAma-vistAreNa samantAt pUrNa-candra-AkAra-pariNAmitaH.
   tam enaṃ kaścic chrāddhaḥ kulaputro vā kuladuhitā vā saptaratnamayaṃ kṛtvā	tam enam kaScid SrAdDaH kula-putraH vA kula-duhitA vA sapta-ratna-mayam kRtvA
   yāvac cāturdiśe bhkiṣusaṃghe niryātayed yo vā tathāgatasyārhataḥ	yAvat cAturdiSe Bkizu-saMGe niryAtayet yaH vA taTAgatasya-arhataH
   samyakasaṃbuddhasya parinirvṛttasya mṛtpiṇḍād āmalakaphalapramāṇaṃ stūpaṃ	samyaka-saMbudDasya parinirvRttasya mRd-piNxAt Amalaka-Pala-pramANam stUpam
   pratiṣṭhāpayet sūcīmātrāṃ yaṣṭim āropayed badarīpatramātraṃ cchattram	pratizWApayet sUcI-mAtrAm yazwim Aropayet badarI-patra-mAtram cCattram
   yavaphalapramāṇaṃ pratimāṃ kārayet sarṣaphalapramāṇaṃ dhātuṃ	yava-Pala-pramANam pratimAm kArayet sarza-Pala-pramANam DAtum
   pratiṣṭhāpayet idam evānanda tataḥ prabhūtataraṃ puṇyaṃ vadāmi.	pratizWApayet idam eva-Ananda tatas praBUtataram puNyam vadAmi.
   [6] tiṣṭhatv ānanda jambūdvīpo dvīpaḥ. tiṣṭhatu pūrvavideho dvīpaḥ.	[6] tizWatu Ananda jambUdvIpaH dvIpaH. tizWatu pUrva-videhaH dvIpaH.
   tiṣṭhatv avaragodānīyo dvīpaḥ. asty ānanda uttarakurur nāma dvīpaḥ	tizWatu avaragodAnIyaH dvIpaH. asti AnandaH uttarakuruH nAma dvIpaH
   daśayojanasahasrāṇy āyāmavistāreṇa samantāt samantacaturasraḥ. tam enaṃ	daSa-yojana-sahasrANi AyAma-vistAreNa samantAt samanta-caturasraH. tam enam
   kaścic chrāddhaḥ kulaputro vā kuladuhitā vā saptaratnamayaṃ kṛtvā yāvac	kaScid SrAdDaH kula-putraH vA kula-duhitA vA sapta-ratna-mayam kRtvA yA-avat-
   cāturdiśe bhkiṣusaṃghe niryātayed yo vā tathāgatasyārhataḥ	cAturdiSe Bkizu-saMGe niryAtayet yaH vA taTAgatasya-arhataH
   samyakasaṃbuddhasya parinirvṛttasya mṛtpiṇḍād āmalakaphalapramāṇaṃ stūpaṃ	samyaka-saMbudDasya parinirvRttasya mRd-piNxAt Amalaka-Pala-pramANam stUpam
   pratiṣṭhāpayet sūcīmātrāṃ yaṣṭim āropayed badarīpatramātraṃ cchattram	pratizWApayet sUcI-mAtrAm yazwim Aropayet badarI-patra-mAtram cCattram
   yavaphalapramāṇaṃ pratimāṃ kārayet sarṣaphalapramāṇaṃ dhātuṃ	yava-Pala-pramANam pratimAm kArayet sarza-Pala-pramANam DAtum
   pratiṣṭhāpayet tataḥ prabhūtataraṃ puṇyaṃ vadāmi.	pratizWApayet tatas praBUtataram puNyam vadAmi.
   [7] tiṣṭhatv ānanda jambūdvīpo dvīpas. tiṣṭhatu pūrvavideho dvīpaḥ.	[7] tizWatu Ananda jambUdvIpaH dvIpas. tizWatu pUrva-videhaH dvIpaH.
   tiṣṭhatv avaragodānīyo dvīpaḥ. tiṣṭhatūttarakuru dvīpaḥ. asty ānanda	tizWatu avaragodAnIyaH dvIpaH. tizWatu-uttara-kuru dvIpaH. asti Ananda
   śakrasya devānām indrasya vaijayanto nāma prāsādaḥ. tam enaṃ kaścic	Sakrasya devAnAm indrasya vEjayantaH nAma prAsAdaH. tam enam kaScid-
   chrāddhaḥ kulaputro vā kuladuhitā vā saptaratnamayaṃ kṛtvā yāvac cāturdiśe	CrAdDaH kula-putraH vA kula-duhitA vA sapta-ratna-mayam kRtvA yAvat cAturdiSe
   bhkiṣusaṃghe niryātayed yo vā tathāgatasyārhataḥ samyakasaṃbuddhasya	Bkizu-saMGe niryAtayet yaH vA taTAgatasya-arhataH samyaka-saMbudDasya
   parinirvṛttasya mṛtpiṇḍād āmalakaphalapramāṇaṃ stūpaṃ pratiṣṭhāpayet	parinirvRttasya mRd-piNxAt Amalaka-Pala-pramANam stUpam pratizWApayet-
   sūcīmātrāṃ yaṣṭim āropayed badarīpatramātraṃ cchattram yavaphalapramāṇaṃ	sUcI-mAtrAm yazwim Aropayet badarI-patra-mAtram cCattram yava-Pala-pramANam
   pratimāṃ kārayet sarṣaphalapramāṇaṃ dhātuṃ pratiṣṭhāpayet idam evānanda	pratimAm kArayet sarza-Pala-pramANam DAtum pratizWApayet idam eva-Ananda
   tataḥ prabhūtataraṃ puṇyaṃ vadāmi.	tatas praBUtataram puNyam vadAmi.
   [8] tiṣṭhatv ānanda jambūdvīpo dvīpaḥ. tiṣṭhatu pūrvavideho dvīpaḥ.	[8] tizWatu Ananda jambUdvIpaH dvIpaH. tizWatu pUrva-videhaH dvIpaH.
   tiṣṭhatv avaragodānīyo dvīpaḥ. tiṣṭhatūttarakuru dvīpaḥ. tiṣṭhatu śakrasya	tizWatu avaragodAnIyaH dvIpaH. tizWatu-uttara-kuru dvIpaH. tizWatu Sakrasya
   devānām indrasya vaijayantaḥ prāsādaḥ. asty ānanda trisāharsamahāsāhasro	devAnAm indrasya vEjayantaH prAsAdaH. asti Ananda tri-sAharsa-mahA-sAhasraH-
   lokadhātuḥ. tam enaṃ kaścic chrāddhaḥ kulaputro vā kuladuhitā vā	lokaDAtuH. tam enam kaScid SrAdDaH kula-putraH vA kula-duhitA vA
   saptaratnamayaṃ kṛtvā srotāpannebhyaḥ sakṛdāgāmibhyo 'nāgāmibhyo	sapta-ratna-mayam kRtvA srotApanneByaH sakRdAgAmiByaH anAgAm-iByaH-
   'rhadbhyaḥ pratyekabuddhebhyaś yāvac cāturdiśe vā bhkiṣusaṃghe niryātayed	arhadByaH pratyekabudDeByaH yAvat cAturdiSe vA Bkizu-saMGe niryAtayet-
   yo vā tathāgatasyārhataḥ samyakasaṃbuddhasya parinirvṛttasya mṛtpiṇḍād	yaH vA taTAgatasya-arhataH samyaka-saMbudDasya parinirvRttasya mRd-piNxAt-
   āmalakaphalapramāṇaṃ stūpaṃ pratiṣṭhāpayet sūcīmātrāṃ yaṣṭim āropayed	Amalaka-Pala-pramANam stUpam pratizWApayet sUcI-mAtrAm yazwim Aropayet-
   badarīpatramātraṃ cchattram yavaphalapramāṇaṃ pratimāṃ kārayet	badarI-patra-mAtram cCattram yava-Pala-pramANam pratimAm kArayet-
   sarṣaphalapramāṇaṃ dhātuṃ pratiṣṭhāpayet idam evānanda tataḥ prabhūtataraṃ	sarza-Pala-pramANam DAtum pratizWApayet idam eva-Ananda tatas praBUtataram
   puṇyaṃ vadāmi.	puNyam vadAmi.
   [9] tat kasya hetoḥ. aprameyo hy ānanda tathāgato dānenāprameyaḥ	[9] tat kasya hetoH. aprameyaH hi Ananda taTAgataH dAnena-aprameyaH
   śīlenāprameyaḥ kṣāntyāprameyo vīryeṇāprameyo tyāgenāprameyo	SIlena-aprameyaH kzAntyA-aprameyaH vIryeNa-aprameyaH tyAgena-aprameyaH-
   maitryāprameyaḥ karuṇayāprameyo muditayāprameya upekṣayā caturbhir	mEtryAprameyaH karuNayA-aprameyaH muditayA-aprameyaH upekzayA caturBiH-
   vaiśāradyais daśabhis tathāgatabalaiś aṣṭādaśabhir āveṇikair	vESAradyEH daSaBiH taTAgata-balEH azwAdaSaBiH AveNikEH-
   buddhadharmair aprameyāprameyaguṇasamanvāgato hy ānanda tathāgato 'rhan	budDa-DarmEH aprameya-aprameya-guNa-samanvAgataH hi Ananda taTAgataH arhan
   samyaksaṃbuddhaḥ.	samyaksaMbudDaH.
   [10] evam ukto āyuṣmān ānando bhagavantam idam avocat: āścaryaṃ bhagavann	[10] evam uktaH AyuzmAn AnandaH Bagavantam idam avocat: AScaryam Bagavat-=-
   āścaryaṃ sugata yāvad ayaṃ dharmaparyāyaḥ. ko nāmāyaṃ dharmaparyāyaḥ.	AScaryam sugata yAvat ayam Darma-paryAyaH. kaH nAma-ayam Darma-paryAyaH.
   kathaṃ cainaṃ dhārayāmi. tasmāt tarhi tvam ānanda imaṃ dharmaparyāyam	kaTam ca-enam DArayAmi. tasmAt tarhi tvam AnandaH imam Darma-paryAyam
   adbhutam adbhutadharmaparyāyaṃ iti dhāraya. idam avocad bhagavān āttamanās	adButam adButa-Darma-paryAyam iti DAraya. idam avocat BagavAn Atta-manAH-
   te bhikṣava āyuṣmāṃś cānando bhagavato bhāṣitam abhyanandan.	te BikzavaH AyuzmAn ca-AnandaH BagavataH BAzitam aByanandan.
