   kāmaśūtrasya viṣayānukramaḥ	kAmaSUtrasya vizaya-anukramaH
   bhāryā^adhikārikam/ goṇikāputraḥ pāradārikam/ kucumāra aupaniṣadikam iti/	BAryA^aDikArikam/ goNikAputraH pAradArikam/ kucumAraH Opanizadikam iti/
   1.1.13/.evaṃ bahubhir ācāryais tacchāstraṃ khaṇḍaśaḥ praṇītam	1.1.13/.evam bahuBiH AcAryEH tat-SAstram KaNxaSas praNItam
   utsannakalpam abhūt/	utsanna-kalpam aBUt-/
   1.1.14/.tatra dattaka^ādibhiḥ praṇītānāṃ śāstra^avayavānām ekadeśatvāt,	1.1.14/.tatra dattakaH-^AdiBiH praNItAnAm SAstra^avayavAnAm eka-deSa-tva-at,
   mahad iti ca bābhravīyasya duradhyeyatvāt, saṃkṣipya sarvam artham alpena	mahat iti ca bABravIyasya duraDyeya-tva-at, saMkzipya sarvam arTam alpena
   granthena kāmasūtram idaṃ praṇītam//(p.6)	granTena kAmasUtram idam praNItam-//(p.6)
   1.1.15/.tasya^ayaṃ prakaraṇa^adhikaraṇa^samuddeśaḥ ---(p.7)	1.1.15/.tasya^ayam prakaraNaH-^aDikaraNa^samuddeSaH ---(p.7)
   1.1.16/.śāstra^saṃgrahaḥ/ trivarga^pratipattiḥ/ vidyā^samuddeśaḥ/	1.1.16/.SAstra^saMgrahaH/ trivarga^pratipattiH/ vidyA^samuddeSaH/
   nāgarika^vṛttam/ nāyaka^sahāya^dūtīkarma^vimarśaḥ/ iti sādhāraṇaṃ	nAgarika^vRttam/ nAyaka^sahAya^dUtI-karma^vimarSaH/ iti sADAraNam
   prathamam adhikaraṇam/ adhyāyāḥ pañca/ prakaraṇāni pañca/(p.7)	praTamam aDikaraNam/ aDyAyAH paQca/ prakaraNAni paQca-/(p.7)
   1.1.17/.pramāṇa^kāla^bhāvebhyo rata^avasthāpanam/ prīti^viśeṣāḥ/	1.1.17/.-pramANa^kAla^BAveByaH rata^avasTApanam/ prIti^viSezAH/
   āliṅgana^vicārāḥ/ cumbana^vikalpāḥ/ nakha^radana^jātayaḥ/	AliFgana^vicArAH/ cumbana^vikalpAH/ naKa^radana^jAtayaH/
   daśana^cchedya^vidhayaḥ/ deśyā upacārāḥ/ saṃveśana^prakārāḥ/ citra^ratāni/	daSana^cCedya^viDayaH/ deSyAH upacArAH/ saMveSana^prakArAH/ citra^ratAni/
   prahaṇana^yogāḥ/ tadyuktāś ca sītkṛta^upakramāḥ/ puruṣāyitam/	prahaNana^yogAH/ tad-yuktAH ca sItkRtaH-^upakramAH/ puruzAyitam/
   puruṣopasṛptāni/ aupariṣṭakam/ rata^ārambha^avasānikam/ rata^viśeṣāḥ/	puruza-upasRptAni/ Oparizwakam/ rataH-^AramBa^avasAni-kam/ rata^viSezAH/
   praṇayakalahaḥ/ iti sāṃprayogikaṃ	praNaya-kalahaH/ iti sAMprayogikam
   dvitīyam adhikaraṇam/ adhyāyā daśa/ prakaraṇāni saptadaśa/(p.7)	dvitIyam aDikaraNam/ aDyAyAH daSa/ prakaraNAni saptadaSa-/(p.7)
   1.1.18/.varaṇa^vidhānam/ saṃbandha^nirṇayaḥ/ kanyā^visrambhaṇam/	1.1.18/.varaNa^viDAnam/ saMbanDa^nirNayaH/ kanyA^visramBaNam/
   *bālāyā[ch:bālāyāḥ] upakramāḥ/ iṅgita^ākāra^sūcanam/ eka^puruṣa^abhiyogaḥ/	*bAlAyA[-S:bAlAyAH] upakramAH/ iFgitaH-^AkAra^sUcanam/ eka^puruza^aBiyogaH/
   prayojyasya^upāvartanam/ abhiyogataś ca kanyāyāḥ pratipattiḥ/	prayojyasya^upAvartanam/ aBiyogataH ca kanyAyAH pratipattiH/
   vivāha^yogaḥ/ iti kanyā^saṃprayuktakaṃ tṛtīyam adhikaraṇam/ adhyāyāḥ	vivAha^yogaH/ iti kanyA^saMprayuktakam tRtIyam aDikaraNam/ aDyAyAH
   pañca/ prakaraṇāni nava/(p.7)	paQca/ prakaraNAni nava-/(p.7)
   1.1.19/.eka^cāriṇī^vṛttam/ pravāsa^caryā/ sapatnīṣu jyeṣṭhā^vṛttam/	1.1.19/.eka^cAriNI^vRttam/ pravAsa^caryA/ sapatnIzu jyezWA^vRttam/
   kaniṣṭhā^vṛttam/ punarbhū^vṛttam/ durbhagā^vṛttam/	kanizWA^vRttam/ punarBU^vRttam/ durBagA^vRttam/
   *āntaḥpurikam[ch:antaḥpurikam]/ puruṣasya (p.8) bahvīṣu pratipattiḥ/ iti	*a-antaHpurikam-[C:antaHpurikam]/ puruzasya (p.8) bahvIzu pratipattiH/ iti
   bhāryā^adhikārikaṃ caturtham adhikaraṇam/ adhyāyau dvau/ prakaraṇāny	BAryA^aDikArikam caturTam aDikaraNam/ aDyAyO dvO/ prakaraNAni-
   aṣṭau/(p.8)	azwO/(p.8)
   1.1.20/.strī^puruṣa^śīla^avasthāpanam/ vyāvartana^kāraṇāni/ strīṣu siddhāḥ	1.1.20/.-strI^puruza^SIla^avasTApanam/ vyAvartana^kAraNAni/ strIzu sidDAH
   puruṣāḥ/ ayatna^sādhyā yoṣitaḥ/ paricaya^kāraṇāni/ abhiyogāḥ/	puruzAH/ ayatna^sADyAH yozitaH/ paricaya^kAraNAni/ aBiyogAH/
   bhāva^parīkṣā/ dūtī^karmāṇi/ īśvara^kāmitam/ āntaḥpurikaṃ dāra^rakṣitakam/	BAva^parIkzA/ dUtI^karmANi/ ISvara^kAmitam/ AntaHpurikam dAra^rakzitakam/
   iti pāra^dārikaṃ pañcamam adhikaraṇam/ adhyāyāḥ ṣaṭ/ prakaraṇāni	iti pAra^dArikam paQcamam aDikaraNam/ aDyAyAH zaw/ prakaraNAni
   daśa/(p.8)	daSa/(p.8)
   1.1.21/.gamya^cintā/ gamana^kāraṇāni/ upāvartana^vidhiḥ/	1.1.21/.gamya^cintA/ gamana^kAraNAni/ upAvartana^viDiH/
   kānta^anuvartanam/ artha^āgama^upāyāḥ/ virakta^liṅgāni/	kAnta^anuvartanam/ arTaH-^AgamaH-^upAyAH/ virakta^liFgAni/
   virakta^pratipattiḥ/ niṣkāsana^prakārāḥ/ viśīrṇa^pratisaṃdhānam/	virakta^pratipattiH/ nizkAsana^prakArAH/ viSIrNa^pratisaMDAnam/
   lābha^viśeṣaḥ/ artha^anartha^anubandha^saṃśaya^vicāraḥ/ veśyā^viśeṣāś ca/	lABa^viSezaH/ arTaH-^anarTaH-^anubanDa^saMSaya^vicAraH/ veSyAH-^viSezAH ca/
   iti vaiśikaṃ ṣaṣṭham adhikaraṇam/ adhyāyāḥ ṣaṭ/ prakaraṇāni dvādaśa/(p.8)	iti vESikam zazWam aDikaraNam/ aDyAyAH zaw/ prakaraNAni dvAdaSa-/(p.8)
   1.1.22/.subhagaṃ^karaṇam/ vaśīkaraṇam/ vṛṣyāś ca yogāḥ/	1.1.22/.suBagam^karaNam/ vaSIkaraNam/ vRzyAH ca yogAH/
   naṣṭa^rāga^pratyānayanam/ vṛddhi^vidhayaḥ/ citrāś ca yogāḥ/ ity	nazwa^rAga^pratyAnayanam/ vRdDi^viDayaH/ citrAH ca yogAH/ iti-
   aupaniṣadikaṃ saptamam adhikaraṇam/ adhyāyau dvau/ prakaraṇāni ṣaṭ/ (p.8)	Opanizadikam saptamam aDikaraNam/ aDyAyO dvO/ prakaraNAni zaw/ (p.8)
   1.1.23/.evaṃ ṣaṭtriṃśad adhyāyāḥ/ catuḥṣaṣṭiḥ prakaraṇāni/ adhikaraṇāni	1.1.23/.evam zawtriMSat aDyAyAH/ catuHzazwiH prakaraNAni/ aDikaraNAni
   sapta/ sapādaṃ ślokasahasram/ iti śāstrasya saṃgrahaḥ//(p.8)	sapta/ sa-pAdam Sloka-sahasram/ iti SAstrasya saMgrahaH//(p.8)
   1.1.24a/.saṃkṣepam imam uktvā^asya vistaro +ataḥ pravakṣyate/(p.9)	1.1.24a/.-saMkzepam imam uktvA^asya vistaraH +ataH pravakzyate/(p.9)
   1.1.24b/.iṣṭaṃ hi viduṣāṃ loke samāsa^vyāsa^bhāṣaṇam//(p.9)	1.1.24b/.izwam hi viduzAm loke samAsa^vyAsa^BAzaNam-//(p.9)
   1.2.(2) trivargapratipattiḥ	1.2.(2) trivarga-pratipattiH
   1.2.1/.śata^āyur vai puruṣo vibhajya kālam anyonya^anubaddhaṃ	1.2.1/.SataH-^AyuH vE puruzaH viBajya kAlam anyonya^anubadDam
   parasparasya^anupaghātakaṃ trivargaṃ seveta//(p.10)	parasparasya^anupaGAtakam trivargam seveta//(p.10)
   1.2.2/.bālye vidyā^grahaṇa^ādīn arthān//(p.10)	1.2.2/.bAlye vidyA^grahaNe-^AdIn arTAn//(p.10)
   1.2.3/.kāmaṃ ca yauvane//(p.11)	1.2.3/.kAmam ca yOvane//(p.11)
   1.2.4/.sthāvire dharmaṃ mokṣaṃ ca//(p.11)	1.2.4/.-sTAvire Darmam mokzam ca//(p.11)
   1.2.5/.anityatvād āyuṣo yathā^upapādaṃ vā seveta//(p.11)	1.2.5/.a-nitya-tvAt AyuzaH yaTA^upapAdam vA seveta//(p.11)
   1.2.6/.brahmacaryam eva tv ā vidyā^grahaṇāt//(p.11)	1.2.6/.brahmacaryam eva tu A vidyA^grahaNa-at//(p.11)
   1.2.7/.alaukikatvād adṛṣṭa^arthatvād apravṛttānāṃ yajñā^ādīnāṃ śāstrāt	1.2.7/.alOkika-tvAt adRzwa^arTa-tvAt apravRttAnAm yajQAH-^AdInAm SAstrAt-
   pravartanam, *laukikatvād[ch:laukitvād] dṛṣṭa^arthatvāc ca pravṛttebhyaś	pravartanam, *lOkika-tvAt-[S:lOki-tvAd] dRzwa^arTa-tvAt ca pravRtteByaS
   ca māṃsa^bhakṣaṇa^ādibhyaḥ śāstrād eva nivāraṇaṃ dharmaḥ//(p.12)	ca mAMsa^BakzaNaH-^AdiByaH SAstrAt eva nivAraNam DarmaH//(p.12)
   1.2.8/.taṃ śruter dharmajña^samavāyāc ca pratipadyeta//(p.12)	1.2.8/.tam SruteH Darma-jQa^samavAyAt ca pratipadyeta//(p.12)
   1.2.9/.vidyā^bhūmi^hiraṇya^paśu^dhānya^bhāṇḍa^upaskara^mitra^ādīnām	1.2.9/.vidyA^BUmi^hiraNya^paSu^DAnya^BANxaH-^upaskara^mitraH-^AdInAm
   arjanam arjitasya vivardhanam arthaḥ//(p.12)	arjanam arjitasya vivarDanam arTaH//(p.12)
   1.2.10/.tam adhyakṣa^pracārād vārtā^samayavidbhyo vaṇigbhyaś	1.2.10/.tam aDyakza^pracArAt vArtA^samaya-vidByaH vaNigByaS
   ca^iti//(p.13)	ca^iti//(p.13)
   1.2.11/.srotra^tvak^cakṣur^jihvā^ghrāṇānām ātma^saṃyuktena	1.2.11/.srotra^tvac-^cakzuH-^jihvA^GrANAnAm Atma^saMyuktena
   manasā^adhiṣṭhitānāṃ sveṣu sveṣu viṣayeṣv ānukūlyataḥ pravṛttiḥ	manasA^aDizWitAnAm svezu svezu vizayezu AnukUlyataH pravRttiH
   kāmaḥ//(p.13)	kAmaH//(p.13)
   1.2.12/.sparśa^viśeṣa^viṣayāt tv asya^abhimānika^sukha^anuviddhā phalavaty	1.2.12/.sparSa^viSeza^vizayAt tu asya^aBimAnika^suKa^anuvidDA PalavatI-
   artha^pratītiḥ prādhānyāt kāmaḥ//(p.14)	arTa^pratItiH prADAnyAt kAmaH//(p.14)
   1.2.13/.taṃ kāmasūtrān nāgarika^jana^samavāyāc ca pratipadyeta//(p.15)	1.2.13/.tam kAmasUtrAt nAgarika^jana^samavAyAt ca pratipadyeta//(p.15)
   1.2.14/.eṣāṃ samavāye pūrvaḥ pūrvo garīyān//(p.15)	1.2.14/.ezAm samavAye pUrvaH pUrvaH garIyAn-//(p.15)
   1.2.15/.arthaś ca rājñaḥ/ tan^mūlatvāl lokayātrāyāḥ/ veśyāyāś ca^iti	1.2.15/.arTaH ca rAjQaH/ tat-^mUla-tvAt lokayAtrAyAH/ veSyAyAH ca^iti
   trivarga^pratipattiḥ//(p.15)	trivarga^pratipattiH//(p.15)
   1.2.16/.dharmasya^alaukikatvāt tadabhidhāyakaṃ śāstraṃ yuktam/	1.2.16/.Darmasya^alOkika-tvAt tad-aBiDAyakam SAstram yuktam/
   upāya^pūrvakatvād artha^siddheḥ/ upāya^pratipattiḥ śāstrāt//(p.16)	upAya^pUrvaka-tvAt arTa^sidDeH/ upAya^pratipattiH SAstra-at//(p.16)
   1.2.17/.tiryag^yoniṣv api tu svayaṃ pravṛttatvāt kāmasya nityatvāc ca na	1.2.17/.tiryak-^yonizu api tu svayam pravRtta-tvAt kAmasya nitya-tvAt ca na
   śāstreṇa kṛtyam asti^ity ācāryāḥ//(p.16)	SAstreNa kRtyam asti^iti AcAryAH//(p.16)
   1.2.18/.saṃprayoga^parādhīnatvāt strīpuṃsayor upāyam apekṣate//(p.16)	1.2.18/.-saMprayoga^para-aDIna-tvAt strIpuMsayoH upAyam apekzate//(p.16)
   1.2.19/.sā ca^upāya^pratipattiḥ kāmasūtrād iti vātsyāyanaḥ//(p.17)	1.2.19/.sA ca^upAya^pratipattiH kAmasUtrAt iti vAtsyAyanaH//(p.17)
   1.2.20/.triyag^yoniṣu punar anāvṛtatvāt strījāteś ca, ṛtau yāvad arthaṃ	1.2.20/.triyak-^yonizu punar anAvRta-tvAt strI-jAteH ca, RtO yAvat arTam
   pravṛtter abuddhi^pūrvakatvāc ca pravṛttīnām anupāyaḥ pratyayaḥ//(p.17)	pravRtteH abudDi^pUrvaka-tvAt ca pravRttInAm anupAyaH pratyayaH//(p.17)
   1.2.21/.na dharmāṃś caret/ eṣyat^phalatvāt, sāṃśayikatvāc ca//(p.18)	1.2.21/.na DarmAn caret/ ezyat-^Pala-tva-at, sAMSayika-tvAt ca//(p.18)
   1.2.22/.ko hy abāliśo hastagataṃ paragataṃ kuryāt//(p.18)	1.2.22/.kaH hi abAliSaH hasta-gatam para-gatam kuryAt-//(p.18)
   1.2.23/.varam adya kapotaḥ śvo mayūrāt//(p.19)	1.2.23/.varam adya kapotaH Svas mayUrAt//(p.19)
   1.2.24/.varaṃ sāṃśayikān niṣkād asāṃśayikaḥ kārṣāpaṇaḥ/ iti	1.2.24/.varam sAMSayikAt nizkAt asAMSayikaH kArzApaNaH/ iti
   *laukāyatikāḥ[ch:laukāyātikāḥ]//(p.19)	*lOkAyatikAH[-S:lOka-AyAtikAH]//(p.19)
   1.2.25/.śāstrasya^anabhiśaṅkyatvād abhicāra^anuvyāhārayoś ca kvacit	1.2.25/.SAstrasya^anaBiSaFkya-tvAt aBicAra^anuvyAhArayoH ca kvacid-
   phala^darśanān nakṣatra^candra^sūrya^tārā^graha^cakrasya loka^arthaṃ	Pala^darSanAt nakzatra^candra^sUrya^tArA^graha^cakrasya loka^arTam
   buddhi^pūrvakam iva pravṛtter darśanād	budDi^pUrvakam iva pravRtteH darSanAt-
   varṇa^āśrama^ācāra^sthiti^lakṣaṇatvāc ca lokayātrāyā hastagatasya ca	varNaH-^ASramaH-^AcAra^sTiti^lakzaNa-tvAt ca lokayAtrAyAH hasta-gatasya ca
   bījasya bhaviṣyataḥ sasya^arthe tyāga^darśanāc cared dharmān iti	bIjasya BavizyataH sasya^arTe tyAga^darSanAt caret DarmAn iti
   vātsyāyanaḥ//(p.19)	vAtsyAyanaH//(p.19)
   1.2.26/.na^arthāṃś caret/ prayatnato +api hy ete +anuṣṭhīyamānā na^eva	1.2.26/.na^arTAn caret/ prayatnataH +api hi ete +anuzWIyamAnA na^eva
   kadācit syuḥ// ananuṣṭhīyamānā api yadṛcchayā bhaveyuḥ//(p.21)	kadAcid syuH// ananuzWIyamAnAH api yadRcCayA BaveyuH//(p.21)
   1.2.27/.tat^sarvaṃ kālakāritam iti//(p.21)	1.2.27/.tat^sarvam kAla-kAritam iti//(p.21)
   1.2.28/.kāla eva hi puruṣān artha^anarthayor jaya^parājayayoḥ	1.2.28/.kAlaH eva hi puruzAn arTaH-^anarTayoH jaya^parAjayayoH
   sukha^duḥkhayoś ca sthāpayati//(p.21)	suKa^duHKayoH ca sTApayati//(p.21)
   1.2.29/.kālena balir indraḥ kṛtaḥ/ kālena *vyavaropitaḥ[ch:vyaparopitaḥ]/	1.2.29/.kAlena baliH indraH kRtaH/ kAlena *vyavaropitaH[C:vyaparopitaH]/
   kāla eva punar apy enaṃ kartā^iti kāla^kāraṇikāḥ//(p.22)	kAlaH eva punar api enam kartA^iti kAla^kAraNikAH//(p.22)
   1.2.30/.puruṣa^kāra^pūrvakatvāt sarva^pravṛttīnām upāyaḥ pratyayaḥ//(p.22)	1.2.30/.puruza^kAra^pUrvaka-tvAt sarva^pravRttInAm upAyaH pratyayaH//(p.22)
   1.2.31/.avaśyaṃ bhāvino +apy arthasya^upāya^pūrvakatvād eva/ na niṣkarmaṇo	1.2.31/.avaSyam BAvinaH +api arTasya^upAya^pUrvaka-tvAt eva/ na nizkarmaNaH-
   bhadram asti^iti vātsyāyanaḥ//(p.23)	Badram asti^iti vAtsyAyanaH//(p.23)
   1.2.32/.na kāmāṃś caret/ dharma^arthayoḥ pradhānayor evam anyeṣāṃ ca satāṃ	1.2.32/.na kAmAn caret/ Darma^arTayoH praDAnayoH evam anyezAm ca satAm
   pratyanīkatvāt/ anartha^jana^saṃsargam asad^vyavasāyam aśaucam anāyatiṃ	pratyanIka-tvAt/ anarTa^jana^saMsargam asat-^vyavasAyam aSOcam anAyatim
   ca^ete puruṣasya janayanti//(p.23)	ca^ete puruzasya janayanti//(p.23)
   1.2.33/.tathā pramādaṃ lāghavam apratyayam agrāhyatāṃ ca/(p.23)	1.2.33/.taTA pramAdam lAGavam apratyayam agrAhyatAm ca/(p.23)
   1.2.34/.bahavaś ca kāmavaśagāḥ sagaṇā eva vinaṣṭāḥ śrūyante//(p.24)	1.2.34/.bahavaH ca kAma-vaSa-gAH sa-gaNAH eva vinazwAH SrUyante//(p.24)
   1.2.35/.yathā dāṇḍakyo nāma bhojaḥ kāmād brāhmaṇa^kanyām abhimanyamānaḥ	1.2.35/.yaTA dANxakyaH nAma BojaH kAmAt brAhmaNa^kanyAm aBimanyamAnaH
   sabandhu^rāṣṭro vinanāśa//(p.24)	sa-banDu^rAzwraH vinanASa/-/(p.24)
   1.2.36/.devarājaś ca^ahalyām atibalaś ca kīcako draupadīṃ rāvaṇaś ca sītām	1.2.36/.deva-rAjaH ca^ahalyAm atibalaH ca kIcakaH drOpadIm rAvaNaH ca sItAm
   apare ca^anye ca bahavo dṛśyante kāmavaśagā vinaṣṭā ity	apare ca^anye ca bahavaH dRSyante kAma-vaSagAH vinazwAH iti-
   artha^cintakāḥ//(p.24)	arTa^cintakAH//(p.24)
   1.2.37/.śarīra^sthiti^hetutvād āhāra^sadharmāṇo hi kāmāḥ/ phala^bhūtāś ca	1.2.37/.SarIra^sTiti^hetu-tvAt AhAra^sa-DarmANaH hi kAmAH/ Pala^BUtAH ca
   dharma^arthayoḥ//(p.25)	Darma^arTayoH//(p.25)
   1.2.38/.boddhavyaṃ tu doṣeṣv iva/ na hi bhikṣukāḥ santi^iti sthālyo	1.2.38/.bodDavyam tu dozezu iva/ na hi BikzukAH santi^iti sTAlyaH-
   na^adhiśrīyante/ na hi mṛgāḥ santi^iti yavā na^upayanta iti	na^aDiSrIyante/ na hi mRgAH santi^iti yavAH na^upayantaH iti
   vātsyāyanaḥ//(p.25) bhavanti ca^atra ślokāḥ: ---(p.25)	vAtsyAyanaH//(p.25) Bavanti ca^atra SlokAH: ---(p.25)
   1.2.39ab/.evam arthaṃ ca kāmaṃ ca dharmaṃ ca^upācaran naraḥ/(p.25)	1.2.39ab/.evam arTam ca kAmam ca Darmam ca^upAcaran naraH/(p.25)
   1.2.39cd/.iha^amutra ca niḥśalyam atyantaṃ sukham aśnute//(p.25)	1.2.39cd/.iha^amutra ca niHSalyam atyantam suKam aSnute//(p.25)
   1.2.40ab/.kiṃ syāt paratra^ity āśaṅkā kārye yasmin na jāyate/(p.26)	1.2.40ab/.kim syAt paratra^iti ASaFkA kArye yasmin na jAyate/(p.26)
   1.2.40cd/.na ca^arthaghnaṃ sukhaṃ ca^iti śiṣṭās tatra vyavasthitāḥ//(p.26)	1.2.40cd/.na ca^arTa-Gnam suKam ca^iti SizwAH tatra vyavasTitAH//(p.26)
