   akaṇṭakā vasumatī MvyK_8a	akaNwakA vasumatI MvyK_8a
   aśītibhiś caturbhiś ca MvyK_53a	aSItiBiH caturBiH ca MvyK_53a
   aśītibhiś caturbhiś ca MvyK_61a	aSItiBiH caturBiH ca MvyK_61a
   aśītibhiś caturbhiś ca MvyK_64c	aSItiBiH caturBiH ca MvyK_64c
   aśītibhiḥ sahasraiḥ sa MvyG_53a	aSItiBiH sahasrEH sa Mu-yu-_53a
   aśītivarṣasahasrāṇi MvyK_10c	aSIti-varza-sahasrANi MvyK_10c
   aṣṭāṅgaṃ susamāhitam MvyG_74f	azwAFgam su-samAhitam Mu-yu-_74f
   aṣṭāṅgaṃ susamāhitam MvyC_76d	azwAFgam su-samAhitam MvyS_76d
   aṣṭāṅgaṃ susamāhitaḥ MvyK_73d	azwAFgam su-samAhitaH MvyK_73d
   aṣṭāṅgopetayā vācā MvyG_57a	azwAFga-upetayA vAcA Mu-yu-_57a
   aṣṭāṅgopetayā vācā MvyC_59a	azwAFga-upetayA vAcA MvyS_59a
   aṣṭāṅgopetayā vācā MvyK_56a	azwAFga-upetayA vAcA MvyK_56a
   ākīrṇā pṛthivī sarvā MvyG_96a	AkIrNA pRTivI sarvAH Mu-yu-_96a
   ākīrṇā pṛthivī sarvā MvyC_92a	AkIrNA pRTivI sarvAH MvyS_92a
   ākīrṇā pṛthivī sarvā MvyK_90a	AkIrNA pRTivI sarvAH MvyK_90a
   āgatā mama śāsane MvyC_71d	AgatAH mama SAsane MvyS_71d
   āgatā mama śāsane MvyC_72d	AgatAH mama SAsane MvyS_72d
   āgatā mama śāsane MvyC_73d	AgatAH mama SAsane MvyS_73d
   āgatā mama śāsane MvyC_74d	AgatAH mama SAsane MvyS_74d
   āgatā mama śāsane MvyC_75d	AgatAH mama SAsane MvyS_75d
   āgatā mama śāsane MvyC_76f	AgatAH mama SAsane MvyS_76f
   āgatā mama śāsane MvyK_68d	AgatAH mama SAsane MvyK_68d
   āgatā mama śāsane MvyK_69d	AgatAH mama SAsane MvyK_69d
   āgatā mama śāsane MvyK_70d	AgatAH mama SAsane MvyK_70d
   āgatā mama śāsane MvyK_71d	AgatAH mama SAsane MvyK_71d
   āgatā mama śāsane MvyK_72d	AgatAH mama SAsane MvyK_72d
   āgatā mama śāsane MvyK_73f	AgatAH mama SAsane MvyK_73f
   āgatā hi mamāntikam MvyG_70d	AgatA hi mama-antikam Mu-yG_70d
   āgatā hi mamāntikam MvyG_71d	AgatA hi mama-antikam Mu-yG_71d
   āgatā hi mamāntikam MvyG_72d	AgatA hi mama-antikam Mu-yG_72d
   āgatā hi mamāntikam MvyG_73d	AgatA hi mama-antikam Mu-yG_73d
   āyus teṣāṃ bhaviṣyati MvyK_10d	AyuH tezAm Bavizyati MvyK_10d
   ārādhayitvā kālena MvyG_106c	ArADayitvA kAlena Mu-yG_106c
   ārūḍhā putrasahitā MvyC_42c	ArUXA putra-sahitAH MvyS_42c
   ārūḍhāṃ putrasahitāṃ MvyG_40c	ArUXAm putra-sahitAm Mu-yG_40c
   ārūḍhāṃ putrasahitāṃ MvyK_39c	ArUXAm putra-sahitAm MvyK_39c
   āropitā mokṣamārge MvyK_67e	AropitA mokza-mArge MvyK_67e
   āryam aṣṭāṅgikaṃ śubham MvyG_74b	Aryam azwa-AFgikam SuBam Mu-yG_74b
   āryaṃ cāṣṭāṅgikaṃ mārgaṃ MvyG_59a	Aryam ca-azwa-AFgikam mArgam Mu-yu-_59a
   āryaṃ cāṣṭāṅgikaṃ mārgaṃ MvyC_60c	Aryam ca-azwa-AFgikam mArgam MvyS_60c
   āryāṣṭāṅgikaṃ mārgaṃ MvyK_57c	Arya-azwa-AFgikam mArgam MvyK_57c
   ālayaḥ sarvabhūtānāṃ MvyK_6c	AlayaH sarva-BUtAnAm MvyK_6c
   āvāsaḥ śuddhasatvānāṃ MvyK_13c	AvAsaH SudDa-satvAnAm MvyK_13c
   icchā anaśanaṃ jarā MvyK_12b	icCA anaSanam jarA MvyK_12b
   idam arthaṃ pravakṣyati MvyG_68d	idam arTam pravakzyati Mu-yu-_68d
   idam arthaṃ pravakṣyati MvyC_69d	idam arTam pravakzyati MvyS_69d
   idam arthaṃ pravakṣyate MvyK_66d	idam arTam pravakzyate MvyK_66d
   idam āścaryakaṃ śrutvā MvyG_107a	idam AScaryakam SrutvA Mu-yG_107a
   idam āścaryakaṃ śrutvā MvyC_101a	idam AScaryakam SrutvA MvyS_101a
   idam āścaryakaṃ śrutvā MvyK_99a	idam AScaryakam SrutvA MvyK_99a
   imām ṛddhim anuttamām MvyC_101b	imAm RdDim anuttamAm MvyS_101b
   imām ṛddhim anuttamām MvyK_99b	imAm RdDim anuttamAm MvyK_99b
   imāṃ samudraparyantām MvyK_23a	imAm samudra-paryantAm MvyK_23a
   iyaṃ me paścimā jātir MvyG_36c	iyam me paScimA jAtiH Mu-yu-_36c
   iyaṃ me paścimā jātir MvyC_38c	iyam me paScimA jAtiH MvyS_38c
   iyaṃ me paścimā jātir MvyK_35e	iyam me paScimA jAtiH MvyK_35e
   iṣṭakā dvārakhaṇḍānāṃ MvyK_15c	izwakA dvAra-KaNxAnAm MvyK_15c
   ucchrayeṇa hastāśītiḥ MvyK_46a	ucCrayeNa hasta-aSItiH MvyK_46a
   utkṣiptaparikhāḥ dhīrā MvyG_98c	utkzipta-pariKAH DIrAH Mu-yu-_98c
   uttīrnā bhavasāgarāt MvyK_92d	uttIrnA Bava-sAgarAt MvyK_92d
   uttīrnābhavasāgarāḥ MvyC_94d	uttIrnABava-sAgarAH MvyS_94d
   utpalakumudapadma- MvyC_84a	utpala-kumuda-padma MvyS_84a
   utpalaṃ kumudaṃ padmaṃ MvyG_85a	utpalam kumudam padmam Mu-yu-_85a
   utpalaṃ kumudaṃ padmaṃ MvyK_81a	utpalam kumudam padmam MvyK_81a
   udadhis tena kālena MvyK_5a	udaDiH tena kAlena MvyK_5a
   udyānavanasaṃpannaṃ MvyK_20c	udyAna-vana-saMpannam MvyK_20c
   udyāne puṣpasaṃcchanne MvyG_60a	udyAne puzpa-saMcCanne Mu-yu-_60a
   unnamantī namantī ca MvyK_8c	unnamantI namantI ca MvyK_8c
   upadhyāyo bhaviṣyati MvyK_27d	upaDyAyaH Bavizyati MvyK_27d
   upavāsam upoṣitvā hy MvyC_76e	upavAsam upozitvA hi MvyS_76e
   upavāsam upoṣyeha hy MvyK_73e	upavAsam upozya-iha hi MvyK_73e
   upoṣadham upoṣyeha MvyG_74a	upozaDam upozya-iha Mu-yu-_74a
   ūrdhvavyāmasahasrakam MvyK_48d	UrDva-vyAma-sahasrakam MvyK_48d
   ūrdhvaṃ vyāmasahasrakam MvyG_48d	UrDvam vyAma-sahasrakam Mu-yG_48d
   ūrdhvaṃ vyāmasahasrakam MvyC_51d	UrDvam vyAma-sahasrakam MvyS_51d
   ūrdhvaṃ śākhāḥ bhaviṣyanti MvyK_54d	UrDvam SAKAH Bavizyanti MvyK_54d
   ūrdhvaṃ śākhāḥ samudgatāḥ MvyC_57d	UrDvam SAKAH samudgatAH MvyS_57d
   ṛddhiñ cāsyānubhāvañ ca MvyK_3c	RdDin ca-asya-anuBAvan ca MvyK_3c
   ṛddhisphītā janapadā MvyK_7a	RdDi-sPItAH janapadAH MvyK_7a
   elāpattraś ca gāndhāre MvyC_25a	elApattraH ca gAnDAre MvyS_25a
   elāpatraś ca gāndhāre MvyK_25c	elApatraH ca gAnDAre MvyK_25c
   x śākyamuniśāsane MvyC_74b	x SAkya-muni-SAsane MvyS_74b
   kathayiṣyati saddharmaṃ MvyG_95c	kaTayizyati sadDarmam Mu-yu-_95c
   kathayiṣyati saddharmaṃ MvyC_91c	kaTayizyati sadDarmam MvyS_91c
   kathayiṣyati saddharmaṃ MvyK_89c	kaTayizyati sadDarmam MvyK_89c
   kariṣyate samālokaṃ MvyK_34a	karizyate samAlokam MvyK_34a
   kariṣyāmi vimocanam MvyG_37d	karizyAmi vimocanam Mu-yu-_37d
   kāyas tasya bhaviṣyati MvyK_46b	kAyaH tasya Bavizyati MvyK_46b
   kiṃkiṇī jālaśobhitāḥ MvyK_17d	kiMkiNI jAla-SoBitAH MvyK_17d
   kuṅkumodakarasena MvyC_72a	kuFkuma-udaka-rasena MvyS_72a
   kuṅkumodakasekaṃ ca MvyG_72a	kuFkuma-udaka-sekam ca Mu-yu-_72a
   kumudotpalasaṃcetāḥ MvyK_20b	kumuda-utpala-saMcetAH MvyK_20b
   kuśeśayam ivāmbunā MvyG_33b	kuSeSayam iva-ambunA Mu-yG_33b
   kuṃkumodakasekena MvyK_69a	kuMkuma-udaka-sekena MvyK_69a
   kṛtvā ca kuśalaṃ karma MvyG_75e	kRtvA ca kuSalam karma Mu-yG_75e
   kṛtvā tu kuśalaṃ karma MvyC_73c	kRtvA tu kuSalam karma MvyS_73c
   kṛtvā tu kuśalaṃ karma hy MvyK_70c	kRtvA tu kuSalam karma hi MvyK_70c
   kṛtvā śākyamuneḥ pūjāṃ hy MvyC_71c	kRtvA SAkya-muneH pUjAm hi MvyS_71c
   kṛtvā śākyamuneḥ pūjāṃ hy MvyK_68c	kRtvA SAkya-muneH pUjAm hi MvyK_68c
   kṛtvā stūpeṣu satkāram MvyG_70c	kRtvA stUpezu satkAram Mu-yG_70c
   kṛtsnaṃ vicintya saṃsāraṃ MvyG_51c	kRtsnam vicintya saMsAram Mu-yu-_51c
   kṛtsnaṃ vicintya saṃsāraṃ MvyC_54c	kRtsnam vicintya saMsAram MvyS_54c
   kṛtsnaṃ vicintya saṃsāraṃ MvyK_51c	kRtsnam vicintya saMsAram MvyK_51c
   kaiṭābhe ca sa nirghaṇṭe MvyK_28c	kEwABe ca sa nirGaNwe MvyK_28c
   kaiṭābhe sa nirghaṇṭe ca MvyC_28c	kEwABe sa nirGaNwe ca MvyS_28c
   ko vidvān na prasīdeta MvyG_107c	kaH vidvAn na prasIdeta Mu-yG_107c
   ko vidvān na prasīdeta MvyC_101c	kaH vidvAn na prasIdeta MvyS_101c
   ko vidvān na prasīdeta MvyK_99c	kaH vidvAn na prasIdeta MvyK_99c
   krīḍāratisukhānvitāḥ MvyK_19b	krIxA-rati-suKa-anvitAH MvyK_19b
   krīḍiṣyanti pramoditāḥ MvyK_19d	krIxizyanti pramoditAH MvyK_19d
   kleśamuktā kṣaṇāṭ MvyK_76d	kleSa-muktA kzaNAw MvyK_76d
   kṣapayiṣyanti x x x MvyC_77d	kzapayizyanti x x x MvyS_77d
   kṣayayiṣyanti suratāḥ MvyK_74d	kzayayizyanti suratAH MvyK_74d
   kṣipayiṣyanti suratāḥ MvyG_78d	kzipayizyanti suratAH Mu-yG_78d
   kṣīṇāsravair vāntadoṣaiḥ MvyG_96c	kzINa-AsravEH vAnta-dozEH Mu-yu-_96c
   kṣīṇāsravair vāntadoṣaiḥ MvyC_92c	kzINa-AsravEH vAnta-dozEH MvyS_92c
   kṣīṇāsravair vāntadoṣaiḥ MvyK_90c	kzINa-AsravEH vAnta-dozEH MvyK_90c
   kṣemaṃ nirvāṇagāminam MvyG_59b	kzemam nirvANa-gAminam Mu-yG_59b
   kṣemaṃ nirvāṇagāminam MvyC_60d	kzemam nirvANa-gAminam MvyS_60d
   kṣemaṃ nirvāṇagāminam MvyK_57d	kzemam nirvANa-gAminam MvyK_57d
   gaṇiśreṣṭheṇa muninā MvyG_76c	gaNi-SrezWeNa muninA Mu-yG_76c
   gatidvayaṃ kumārasya MvyG_43a	gati-dvayam kumArasya Mu-yu-_43a
   gatidvayaṃ kumārasya MvyC_46a	gati-dvayam kumArasya MvyS_46a
   gatidvayaṃ kumārasya MvyK_43a	gati-dvayam kumArasya MvyK_43a
   gatvā tu śaraṇaṃ sadā MvyC_73b	gatvA tu SaraNam sadA MvyS_73b
   gatvā tu śaraṇaṃ sadā MvyK_70b	gatvA tu SaraNam sadA MvyK_70b
   gatvā maitreyamātaraḥ MvyK_31d	gatvA mEtreya-mAtaraH MvyK_31d
   gatvā maitreyamātarā MvyC_31d	gatvA mEtreya-mAtarA MvyS_31d
   gandhamālyavilepanaiḥ MvyG_70b	ganDa-mAlya-vilepanEH Mu-yG_70b
   gandhamālyānulepanaiḥ MvyC_71b	ganDa-mAlya-anulepanEH MvyS_71b
   gandhamālyānulepanaiḥ MvyC_87b	ganDa-mAlya-anulepanEH MvyS_87b
   gandhamālyānulepanaiḥ MvyK_68b	ganDa-mAlya-anulepanEH MvyK_68b
   gandhamālyānulepanaiḥ MvyK_84b	ganDa-mAlya-anulepanEH MvyK_84b
   gandharvā yakṣarākṣasāḥ MvyG_97b	ganDarvAH yakza-rAkzasAH Mu-yG_97b
   gandharvā yakṣarākṣasāḥ MvyC_93b	ganDarvAH yakza-rAkzasAH MvyS_93b
   gandharvā yakṣarākṣasāḥ MvyK_91b	ganDarvAH yakza-rAkzasAH MvyK_91b
   guṇiśreṣṭhena trāyinā MvyG_69b	guNi-SrezWena trAyinA Mu-yG_69b
   gurviṇyaḥ prasaviṣyanti MvyC_44b	gurviNyaH prasavizyanti MvyS_44b
   gurviṇyaḥ prasaviṣyanti MvyK_41b	gurviNyaH prasavizyanti MvyK_41b
   grahīṣyati kumāraṃ taṃ MvyC_35c	grahIzyati kumAram tam MvyC_35c
   grahīṣyati taṃ kumāraṃ MvyC_41c	grahIzyati tam kumAram MvyS_41c
   cakravartī yathā hy asau MvyK_5d	cakravartI yaTA hi asO MvyK_5d
   cakravākopaśobhitāḥ MvyK_16d	cakravAka-upaSoBitAH MvyK_16d
   caturaṅgabalopetaḥ MvyK_22a	caturaFga-bala-upetaH MvyK_22a
   caturdaśīṃ pañcadaśīṃ MvyG_74c	caturdaSIm paQcadaSIm Mu-yG_74c
   caturdaśīṃ pañcadaśīṃ MvyC_76a	caturdaSIm paQcadaSIm MvyS_76a
   caturdaśīṃ pañcadaśīṃ MvyK_73a	caturdaSIm paQcadaSIm MvyK_73a
   caturdvīpeśvaraḥ prabhuḥ MvyK_21d	catur-dvIpa-ISvaraH praBuH MvyK_21d
   caturbhir ebhir nidhibhiḥ MvyC_26a	caturBiH eBiH niDiBiH MvyS_26a
   caturbhir ebhir nidhibhiḥ MvyK_26a	caturBiH eBiH niDiBiH MvyK_26a
   caturbhiś ca puraskṛtaḥ MvyG_53b	caturBiH ca puraskRtaH Mu-yG_53b
   catūratnamayās tālāḥ MvyK_17c	catUratna-mayAH tAlAH MvyK_17c
   catvāraś ca mahārājānaḥ MvyK_80a	catvAraH ca mahA-rAjAnaH MvyK_80a
   catvāraś ca mahārājāḥ MvyG_84a	catvAraH ca mahA-rAjAH Mu-yu-_84a
   catvāraś ca mahārājāḥ MvyC_83a	catvAraH ca mahA-rAjAH MvyS_83a
   candanenānulepanam MvyG_72b	candanena-anulepanam Mu-yG_72b
   candanenānulepanam MvyC_72b	candanena-anulepanam MvyS_72b
   candanenānulepanam MvyK_69b	candanena-anulepanam MvyK_69b
   cintayiṣyati dharmātmā MvyG_44c	cintayizyati Darma-AtmA Mu-yG_44c
   cintayiṣyati dharmātmā MvyC_47c	cintayizyati Darma-AtmA MvyS_47c
   cintayiṣyati dharmātmā MvyK_44c	cintayizyati Darma-AtmA MvyK_44c
   cīvarapānabhojanam MvyC_75b	cIvara-pAna-Bojanam MvyS_75b
   cīvaraṃ pānabhojanam MvyG_71b	cIvaram pAna-Bojanam Mu-yG_71b
   cīvaraṃ pānabhojanam MvyK_72b	cIvaram pAna-Bojanam MvyK_72b
   cailakṣepaṃ kariṣyanti MvyG_86a	cEla-kzepam karizyanti Mu-yu-_86a
   cailakṣepaṃ kariṣyanti MvyC_85a	cEla-kzepam karizyanti MvyS_85a
   cailakṣepaṃ vidhāsyanti MvyK_82a	cEla-kzepam viDAsyanti MvyK_82a
   cailavṛkṣā bhaviṣyanti MvyK_9c	cEla-vRkzAH Bavizyanti MvyK_9c
   cyānaghāś (?) chinnasaṃcayāḥ MvyG_98b	cyAnaGAH (?) Cinna-saMcayAH Mu-yG_98b
   chattradhvajapatākāni MvyC_87a	Cattra-Dvaja-patAkAni MvyS_87a
   chattradhvajapatākābhir MvyG_70a	Cattra-Dvaja-patAkABiH Mu-yG_70a
   chattradhvajapatākābhir MvyG_90a	Cattra-Dvaja-patAkABiH Mu-yG_90a
   chattradhvajapatākābhir MvyC_71a	Cattra-Dvaja-patAkABiH MvyS_71a
   chattradhvajapatākābhir MvyK_84a	Cattra-Dvaja-patAkABiH MvyK_84a
   chatradhvajapatākābhir MvyK_68a	Catra-Dvaja-patAkABiH MvyK_68a
   chāriputra mahāprajño MvyK_1a	CAriputra mahA-prajQaH MvyK_1a
   chitvā jālam eva bhujāt MvyG_100b	CitvA jAlam eva BujAt Mu-yG_100b
   chinnajālam aśaktikāḥ MvyK_94b	Cinna-jAlam aSaktikAH MvyK_94b
   chinnajālaviśaktikāḥ MvyC_96b	Cinna-jAla-viSaktikAH MvyS_96b
   chinnasrotā anādātā MvyK_92c	Cinna-srotAH anAdAtA MvyK_92c
   chinnasrotā anādīnā MvyC_94c	Cinna-srotAH anAdInAH MvyS_94c
   jambudvīpo bhavaiṣyati MvyK_6b	jambudvIpaH Bava-ezyati MvyK_6b
   jātamātro vadiṣyati MvyC_36d	jAta-mAtraH vadizyati MvyS_36d
   jāyamānaṃ grahītā sa MvyG_34c	jAyamAnam grahItA sa Mu-yG_34c
   jāyamānaṃ narottamam MvyC_35d	jAyamAnam narottamam MvyS_35d
   tac ca ratnamayaṃ yūpaṃ MvyK_50a	tat ca ratna-mayam yUpam MvyK_50a
   tatas tūryasahasreṣu MvyG_41a	tatas tUrya-sahasrezu Mu-yu-_41a
   tatas tūryasahasreṣu MvyC_43a	tatas tUrya-sahasrezu MvyS_43a
   tatas tūryasahasreṣu MvyK_40a	tatas tUrya-sahasrezu MvyK_40a
   tataḥ kāruṇikaḥ śāstā MvyG_68a	tatas kAruNikaH SAstA Mu-yu-_68a
   tataḥ kāruṇikaḥ śāstā MvyC_69a	tatas kAruNikaH SAstA MvyS_69a
   tataḥ kāruṇikaḥ śāstā MvyK_66a	tatas kAruNikaH SAstA MvyK_66a
   tataḥ praviśatas tasya MvyC_82a	tatas praviSataH tasya MvyS_82a
   tataḥ praviśatas tasyāṃ MvyG_83a	tatas praviSataH tasyAm Mu-yG_83a
   tataḥ praveśatas tasya MvyK_79a	tatas praveSataH tasya MvyK_79a
   tataḥ prīto bhaviṣyati MvyC_45d	tatas prItaH Bavizyati MvyS_45d
   tataḥ prīto bhaviṣyati MvyK_42d	tatas prItaH Bavizyati MvyK_42d
   tataḥ śaṅkho mahārājo MvyC_51a	tatas SaFKaH mahA-rAjaH MvyS_51a
   tataḥ śaṅkho mahārājo MvyK_48a	tatas SaFKaH mahA-rAjaH MvyK_48a
   tataḥ śrutvā narapatiḥ MvyC_63a	tatas SrutvA narapatiH MvyS_63a
   tataḥ śrutvā narapatiḥ MvyK_60a	tatas SrutvA narapatiH MvyK_60a
   tataḥ sa puruṣottamaḥ MvyG_57b	tatas sa puruzottamaH Mu-yG_57b
   tataḥ sa puruṣottamaḥ MvyK_56b	tatas sa puruzottamaH MvyK_56b
   tataḥ sa munisattamaḥ MvyC_59b	tatas sa muni-sattamaH MvyS_59b
   tato gṛhapatis tatra MvyG_64a	tatas gRhapatiH tatra Mu-yu-_64a
   tato gṛhapatis tatra MvyK_63a	tatas gRhapatiH tatra MvyK_63a
   tato gṛhapatiḥ x x MvyC_66a	tatas gRhapatiH x x MvyS_66a
   tato dṛkṣatha maitreyaṃ MvyG_104c	tatas dRkzaTa mEtreyam Mu-yG_104c
   tato drakṣyatha maitreyaṃ MvyC_100c	tatas drakzyaTa mEtreyam MvyS_100c
   tato drakṣyatha maitreyaṃ MvyK_98c	tatas drakzyaTa mEtreyam MvyK_98c
   tato nirvāṇam eṣyati MvyG_102d	tatas nirvANam ezyati Mu-yu-_102d
   tato nirvāṇam eṣyati MvyC_98d	tatas nirvANam ezyati MvyS_98d
   tato nirvāṇam eṣyati MvyK_96d	tatas nirvANam ezyati MvyK_96d
   tato nirvāṇam eṣyatha MvyG_106d	tatas nirvANam ezyaTa Mu-yu-_106d
   tato 'rdham mukhamaṇḍalam MvyC_49d	tatas arDam muKa-maNxalam MvyS_49d
   tato 'rdham mukhamaṇḍalam MvyK_46d	tatas arDam muKa-maNxalam MvyK_46d
   tatra kāle bhaviṣyanti MvyK_7c	tatra kAle Bavizyanti MvyK_7c
   tathāsya dharmaṃ saṃśrutvā MvyK_58c	taTA-asya Darmam saMSrutvA MvyK_58c
   tadā ketumatī nāma MvyK_13a	tadA ketumatI nAma MvyK_13a
   tadā prīto bhaviṣyati MvyG_42d	tadA prItaH Bavizyati Mu-yu-_42d
   tadā brahmāvatī nāma MvyC_29a	tadA brahmAvatI nAma MvyS_29a
   tadā bhāryā bhaviṣyati MvyK_29b	tadA BAryA Bavizyati MvyK_29b
   tadā śruti manoharāḥ MvyK_18b	tadA Sruti manoharAH MvyK_18b
   tan me brūhi narottama MvyK_3d	tat me brUhi nara-uttamaH MvyK_3d
   tasmāc chākyamunau jine MvyG_104b	tasmAt SAkI-amunO jine Mu-yG_104b
   tasmād ihātmakāmena MvyG_108a	tasmAt iha-Atma-kAmena Mu-yu-_108a
   tasmād ihātmakāmena MvyC_102a	tasmAt iha-Atma-kAmena MvyS_102a
   tasmād ihātmakāmena MvyK_100a	tasmAt iha-Atma-kAmena MvyK_100a
   tasmād dharme ca buddhe ca MvyG_105a	tasmAt Darme ca budDe ca Mu-yu-_105a
   tasmin puragate munau MvyG_83f	tasmin pura-gate munO Mu-yu-_83f
   tasmin puragate munau MvyG_87d	tasmin pura-gate munO Mu-yu-_87d
   tasmin puragate munau MvyC_82f	tasmin pura-gate munO MvyS_82f
   tasmin pure gate munau MvyK_79f	tasmin pure gate munO MvyK_79f
   tasmin śākyamunau jine MvyC_100b	tasmin SAkyamunO jine MvyS_100b
   tasmiṃ śākyamunau jine MvyK_98b	tasmim SAkyamunO jine MvyK_98b
   tasmiṃś ca divase nāryo MvyK_41a	tasmin ca divase nAryaH MvyK_41a
   tasmiṃś ca divase bhāryā MvyC_44a	tasmin ca divase BAryA MvyS_44a
   tasmiṃś ca nirvṛte dhīre MvyG_103a	tasmin ca nirvRte DIre Mu-yu-_103a
   tasya kāyo bhaviṣyati MvyG_46b	tasya kAyaH Bavizyati Mu-yG_46b
   tasya kāyo bhaviṣyati MvyC_49b	tasya kAyaH Bavizyati MvyS_49b
   tasya brahmavatī nāma MvyK_29a	tasya brahmavatI nAma MvyK_29a
   tasya bhāryā bhaviṣyati MvyC_29b	tasya BAryA Bavizyati MvyS_29b
   tasya māro bhaviṣyati MvyG_93b	tasya mAraH Bavizyati Mu-yG_93b
