   Mahāpratisarāvidyāvidhi	Maha-apratisara-avidyA-viDi
   bhṛkuṭi bhṛṃ / oṃ bhrūṃ hūṃ bhrūṃ āḥ // //	BRkuwi BRm / om BrUm hUm BrUm AH // //
   tato bāhye dvyaṅgulapramāṇaṃ puṭam ekaṃ kuryāt // tatra ūrdhvaśiraskāny	tatas bAhye dvi-aFgula-pramANam puwam ekam kuryAt // tatra UrDva-SiraskAni-
   aṣṭacatvāriṃśad vajrāṇi paṅktyā saṃlikhet // vajradvitayasaṃdhau	azwacatvAriMSat vajrANi paFktyA saMliKet // vajra-dvitaya-saMDO
   paścimādidikkrameṇa laṃ kṣuṃ kīṃ klūṃ īṃ bhrūṃ phaṃ maḥ khaṃ haḥ yāṃ jrīṃ	paScima-Adi-diS-krameNa lam kzum kIm klUm Im BrUm Pam maH Kam haH yAm jrIm
   āṃ hrīḥ rīṃ ḍrīṃ līṃ hīṃ suṃ kraṃ jaḥ dhāṃ proṃ hoḥ hūṃ āḥ phaṭ jaṃ smaṃ	Am hrIH rIm xrIm lIm hIm sum kram jaH DAm prom hoH hUm AH Paw jam smam
   laṃ kaṃ baṃ ṛṃ plūṃ treṃ bhoṃ bhraṃ oṃ aṃ bhrāṃ kṣīṃ vīṃ heḥ jīṃ ruṃ rūṃ	lam kam bam Rm plUm trem Bom Bram om am BrAm kzIm vIm heH jIm rum rUm
   aṃ saṃ / 48 //	am sam / 48 //
   tato bāhye tryaṅgulapramāṇaṃ puṭam ekaṃ kuryāt // tatra	tatas bAhye tri-aFgula-pramANam puwam ekam kuryAt // tatra
   vikasitāṣṭadalasakesarapaṭṭabaddhadaṇḍapadmāni likhed aṣṭacatvāriṃśat //	vikasita-azwad-alasa-kesara-pawwa-badDa-daNxa-padmAni liKet azwacatvAriMSat //
   tadupari aṣṭacatvāriṃśac cihnāni likhet // cakram / khaḍgam / dhanum /	tad-upari azwacatvAriMSat cihnAni liKet // cakram / Kaxgam / Danum /
   śaram / vajram / mudgaram / dakṣiṇāvartaśaṅkham / vajradhvajam /	Saram / vajram / mudgaram / dakziNa-Avarta-SaFKam / vajra-Dvajam /
   cintāmaṇiratnam / pāśam / paraśum / triśūlam / aṅkuśam / chatram // padmam	cintAmaNi-ratnam / pASam / paraSum / triSUlam / aFkuSam / Catram // padmam
   / śaktim // 16 // iti triguṇīkṛtya likhet // sarvāṇy akṣarāṇi	/ Saktim // 16 // iti triguNIkRtya liKet // sarvANi akzarANi
   bāhyaśiraskāni likhanīyānīti //	bAhya-SiraskAni liKanIyAni-iti //
   āryamahāpratisarāyā vidyāvidhiḥ samāptaḥ // //	Arya-mahA-pratisarAyAH vidyA-viDiH samAptaH // //
