   Buddhacarita	BudDa-carita
   kautūhalenaiva ca pādapebhyaḥ puṣpāṇyakāle 'pyavapātayadbhiḥ // Bc_1.24 //	kOtUhalena-eva ca pAdapeByaH puzpANi-akAle api-avapAtayadBiH // Bc_1.24 //
   bhūtairasaumyaiḥ parityaktahiṃsairnākāri pīḍā svagaṇe pare vā /	BUtEH-asOmyEH parityakta-hiMsEH-na-akAri pIxA sva-gaNe pare vA /
   loke hi sarvāśca vinā prayāsaṃ rujo narāṇāṃ śamayāṃbabhūvuḥ // Bc_1.25 //	loke hi sarvAH-ca vinA prayAsam rujaH narANAm SamayAMbaBUvuH // Bc_1.25 //
   kalaṃ praṇeduḥ mṛgapakṣiṇaśca śāntāmbuvāhāḥ sarito babhūvuḥ /	kalam praNeduH mRga-pakziNaH-ca SAnta-ambu-vAhAH saritaH baBUvuH /
   diśaḥ prasedurvimale nirabhre vihāyase dundubhayo nineduḥ // Bc_1.26 //	diSaH praseduH-vimale niraBre vihAyase dunduBayaH nineduH // Bc_1.26 //
   lokasya mokṣāya gurau prasūte śamaṃ prapede jagadavyavastham /	lokasya mokzAya gurO prasUte Samam prapede jagat-avyavasTam /
   prāpyeva nāthaṃ khalu nītimantam eko na māro mudamāpa loke // Bc_1.27 //	prApya-iva nATam Kalu nItimantam ekaH na mAraH mudam-Apa loke // Bc_1.27 //
   divyādbhutaṃ janma nirīkṣya tasya dhīro 'pi rājā bahukṣobhametaḥ /	divya-adButam janma nirIkzya tasya DIraH api rAjA bahu-kzoBam-etaH /
   snehādasau bhītipramodajanye dve vāridhāre mumuce narendraḥ // Bc_1.28 //	snehAt-asO BIti-pramoda-janye dve vAri-DAre mumuce narendraH // Bc_1.28 //
   amānuṣī tasya niśamya śaktiṃ mātā prakṛtyā karuṇārdracittā /	amAnuzI tasya niSamya Saktim mAtA prakRtyA karuNA-Ardra-cittAH /
   prītā ca bhītā ca babhūva devī śītoṣṇamiśreva jalasya dhārā // Bc_1.29 //	prItA ca BItA ca baBUva devI SIta-uzNa-miSrA-iva jalasya DArAH // Bc_1.29 //
   nirīkṣamāṇā bhayahetumeva dhyātuṃ na śekuḥ vanitāḥ pravṛddhāḥ /	nirIkzamANAH Baya-hetum-eva DyAtum na SekuH vanitAH pravRdDAH /
   pūtāśca tā maṅgalakarma cakruḥ śivaṃ yayācuḥ śiśave suraughān // Bc_1.30	pUtAH-ca tAH maFgala-karma cakruH Sivam yayAcuH SiSave sura-oGAn // Bc_1.30
   viprāśca khyātāḥ śrutaśīlavāgbhiḥ śrutvā nimittāni vicārya samyak /	viprAH-ca KyAtAH Sruta-SIla-vAgBiH SrutvA nimittAni vicArya samyak /
   mukhaiḥ praphullaiścakitaiśca dīptaiḥ / bhītaprasannaṃ nṛpametya procuḥ //	muKEH praPullEH-cakitEH-ca dIptEH / BIta-prasannam nRpam-etya procuH //
   Bc_1.31 //	Bc_1.31 //
   śamepsavo ye bhuvi santi sattvāḥ / putraṃ vinecchanti guṇaṃ na kañcit /	Sama-IpsavaH ye Buvi santi sattvAH / putram vinA-icCanti guNam na kaQcid /
   tvatputra eṣo 'sti kulapradīpaḥ / nṛtyotsavaṃ tvadya vidhehi rājan //	tvad-putraH ezaH asti kula-pradIpaH / nRtya-utsavam tu-adya viDehi rAjan //
   Bc_1.32 //	Bc_1.32 //
   vihāya cintāṃ bhava śāntacitto modasva vaṃśastava vṛddhibhāgī /	vihAya cintAm Bava SAnta-cittaH modasva vaMSaH-tava vRdDi-BAgI /
   lokasya netā tava putrabhūtaḥ duḥkhārditānāṃ bhuvi eṣa trātā // Bc_1.33 //	lokasya netA tava putra-BUtaH duHKa-arditAnAm Buvi eza trAtA // Bc_1.33 //
   dīpaprabho 'yaṃ kanakojjvalāṅgaḥ sulakṣaṇairyaistu samanvito 'sti /	dIpa-praBaH ayam kanaka-ujjvala-aFgaH su-lakzaNEH-yEH-tu samanvitaH asti /
   nidhirguṇānāṃ samaye sa gatāṃ buddharṣibhāvaṃ paramāṃ śriyaṃ vā // Bc_1.34	niDiH-guNAnAm samaye sa gatAm budDa-Rzi-BAvam paramAm Sriyam vA // Bc_1.34
   icchedasau vai pṛthivīśriyaṃ cet nyāyena jitvā pṛthivī samagrām /	icCet-asO vE pRTivI-Sriyam ced nyAyena jitvA pRTivI samagrAm /
   bhūpeṣu rājeta yathā prakāśaḥ graheṣu sarveṣu ravervibhāti // Bc_1.35 //	BUpezu rAjeta yaTA prakASaH grahezu sarvezu raveH-viBAti // Bc_1.35 //
   mokṣāya cedvā vanameva gacchet / tattvena samyak sa vijitya sarvān /	mokzAya ced-vA vanam-eva gacCet / tattvena samyak sa vijitya sarvAn /
   matān pṛthivyāṃ bahumānametaḥ rājeta śaileṣu yathā sumeruḥ // Bc_1.36 //	matAn pRTivyAm bahu-mAnam-etaH rAjeta SElezu yaTA sumeruH // Bc_1.36 //
   yathā hiraṇyaṃ śuci dhātumadhye merurgirīṇāṃ sarasāṃ samudraḥ /	yaTA hiraNyam Suci DAtu-maDye meruH-girINAm sarasAm samudraH /
   tārāsu candrastapatāṃ ca sūryaḥ putrastathā te dvipadeṣu varyaḥ // Bc_1.37	tArAsu candraH-tapatAm ca sUryaH putraH-taTA te dvipadezu varyaH // Bc_1.37
   tasyākṣiṇī nirnimiṣe viśāle snigdhe ca dīpte vimale tathaiva /	tasya-akziNI nirnimize viSAle snigDe ca dIpte vimale taTA-eva /
   niṣkampakṛṣṇāyataśuddhapakṣme draṣṭuṃ samarthe khalu sarvabhāvān //	nizkampa-kRzNa-Ayata-SudDa-pakzme drazwum samarTe Kalu sarva-BAvAn //
   Bc_1.38 //	Bc_1.38 //
   kasmānnu hetoḥ kathitānbhavadbhiḥ varānguṇān dhārayate kumāraḥ /	kasmAt-nu hetoH kaTitAn-BavadBiH varAn-guNAn DArayate kumAraH /
   prāpurna pūrve munayo nṛpāśca rājñeti pṛṣṭā jagadus dvijāstam // Bc_1.39	prApuH-na pUrve munayaH nRpAH-ca rAjQA-iti pRzwAH jagaduH dvijAH-tam // Bc_1.39
   khyātāni karmāṇi yaśo matiśca pūrva na bhūtāni bhavanti paścāt /	KyAtAni karmANi yaSaH matiH-ca pUrva na BUtAni Bavanti paScAt /
   guṇā hi sarvāḥ prabhavanti hetoḥ nidarśanānyatra ca no nibodha // Bc_1.40	guNAH hi sarvAH praBavanti hetoH nidarSanAni-atra ca naH niboDa // Bc_1.40
   yadrājaśāstraṃ bhṛguraṅgirā vā na cakraturvaśakarāvṛṣī tau /	yat-rAja-SAstram BRguH-aFgirAH vA na cakratuH-vaSa-karO=-RzI tO /
   tayoḥ sutau saumya sasarjatustatkālena śukraśca bṛhaspatiśca // Bc_1.41 //	tayoH sutO sOmya sasarjatuH-tad-kAlena SukraH-ca bRhaspatiH-ca // Bc_1.41 //
   sārasvataścāpi jagāda naṣṭaṃ vedaṃ punaryaṃ dadṛśurna pūrve /	sArasvataH-ca-api jagAda nazwam vedam punar-yam dadRSuH-na pUrve /
   vyāsastathainaṃ bahudhā cakāra na yaṃ vasiṣṭhaḥ kṛtavānaśaktiḥ // Bc_1.42	vyAsaH-taTA-enam bahuDA cakAra na yam vasizWaH kRta-vAn-aSaktiH // Bc_1.42
   vālmīkirādau ca sasarja padyaṃ jagrantha yanna cyavano maharṣiḥ /	vAlmIkiH-AdO ca sasarja padyam jagranTa yat-na cyavanaH mahA-RziH /
   cikitsitaṃ yacca cakāra nātriḥ paścāttadātreya ṛṣirjagāda // Bc_1.43 //	cikitsitam yat-ca cakAra na-atriH paScAt-tat-AtreyaH RziH-jagAda // Bc_1.43 //
   yacca dvijatvaṃ kuśiko na lebhe tadgādhinaḥ sunūravāpa rājan /	yat-ca dvija-tvam kuSikaH na leBe tad-gADinaH sunUravApa rAjan /
   velāṃ samudre sagaraśca dadhre nekṣvākavo yāṃ prathamaṃ babandhuḥ //	velAm samudre sagaraH-ca daDre na-ikzvAkavaH yAm praTamam babanDuH //
   Bc_1.44 //	Bc_1.44 //
   ācāryakaṃ yogavidhau dvijānāmaprāptamanyairjanako jagāma /	AcAryakam yoga-viDO dvijAnAm-aprAptam-anyEH-janakaH jagAma /
   khyātāni karmāṇi ca yāni śaureḥ śūrādayasteṣvabalā babhūvuḥ // Bc_1.45 //	KyAtAni karmANi ca yAni SOreH SUra-AdayaH-tezu-abalAH baBUvuH // Bc_1.45 //
   tasmātpramāṇaṃ na vayo na vaṃśaḥ kaścitkvacicchraiṣṭhyamupaiti loke /	tasmAt-pramANam na vayaH na vaMSaH kaScid-kvacid-SrEzWyam-upEti loke /
   rājñāmṛṣīṇāṃ ca hi tāni tāni kṛtāni putrairakṛtāni pūrvaiḥ // Bc_1.46 //	rAjQAm-RzINAm ca hi tAni tAni kRtAni putrEH-akRtAni pUrvEH // Bc_1.46 //
   evaṃ nṛpaḥ pratyayitairdvijaistairāśvāsitaścāpyabhinanditaśca /	evam nRpaH pratyayitEH-dvijEH-tEH-ASvAsitaH-ca-api-aBinanditaH-ca /
   śaṅkāmaniṣṭāṃ vijahau manastaḥ praharṣamevādhikamāruroha // Bc_1.47 //	SaFkAm-anizwAm vijahO manastaH praharzam-eva-aDikam-Aruroha // Bc_1.47 //
   prītaśca tebhyo dvijasattamebhyaḥ satkārapūrva pradadau dhanāni /	prItaH-ca teByaH dvijasattameByaH satkAra-pUrva pradadO DanAni /
   bhūyādayaṃ bhūmipatiryathokto yāyājjarāmetya vanāni ceti // Bc_1.48 //	BUyAt-ayam BUmipatiH-yaTA-uktaH yAyAt-jarAm-etya vanAni ca-iti // Bc_1.48 //
   atho nimittaiśca tapobalācca tajjanma janmāntakarasya buddhvā /	aTo nimittEH-ca tapaH-balAt-ca tad-janma janmAnta-karasya budDvA /
   śākyeśvarasyālayamājagāma saddharmatarṣādasito maharṣiḥ // Bc_1.49 //	SAkyeSvarasya-Alayam-AjagAma sadDarma-tarzAt-asitaH mahA-RziH // Bc_1.49 //
   taṃ brahmavidbrahmavidaṃ jvalantaṃ brāhmyā śriyā caiva tapaḥśriyā ca /	tam brahma-vid-brahma-vidam jvalantam brAhmyA SriyA ca-eva tapaH-SriyA ca /
   rājño gururgauravasatkriyābhyāṃ praveśāyāmāsa narendrasadma // Bc_1.50 //	rAjQaH guruH-gOrava-satkriyAByAm praveSAyAmAsa narendra-sadma // Bc_1.50 //
   sa pārthivāntaḥpurasaṃnikarṣa kumārajanmāgataharṣavegaḥ /	sa pArTiva-antaHpura-saMnikarza kumAra-janma-Agata-harza-vegaH /
   viveśa dhīro vanasaṃjñayeva tapaḥprakarṣācca jarāśrayācca // Bc_1.51 //	viveSa DIraH vana-saMjQayA-iva tapaH-prakarzAt-ca jarA-ASrayAt-ca // Bc_1.51 //
   tato nṛpastaṃ munimāsanasthaṃ pādyārdhyapūrvaṃ pratipūjya samyak /	tatas nRpaH-tam munim-Asana-sTam pAdya-ArDya-pUrvam pratipUjya samyak /
   nimantrayāmāsa yathopacāraṃ purā vasiṣṭhaṃ sa ivāntidevaḥ // Bc_1.52 //	nimantrayAmAsa yaTA-upacAram purA vasizWam saH iva-antidevaH // Bc_1.52 //
   dhanyo 'smyanugrāhyamidaṃ kulaṃ me / yanmāṃ didṛkṣurbhagavānupetaḥ /	DanyaH asmi-anugrAhyam-idam kulam me / yat-mAm didRkzuH-BagavAn-upetaH /
   ājñāpyatāṃ kiṃ karavāṇi saumya śiṣyo 'smi viśrambhitumarhasīti // Bc_1.53	AjQApyatAm kim karavANi sOmya SizyaH asmi viSramBitum-arhasi-iti // Bc_1.53
   evaṃ nṛpeṇopanimantritaḥ sansarveṇa bhāvena muniryathāvat /	evam nRpeNa-upanimantritaH san-sarveNa BAvena muniH-yaTAvat /
   sa vismayotphullaviśāladṛṣṭirgambhīradhīrāṇi vacāṃsyuvāca // Bc_1.54 //	sa vismaya-utPulla-viSAla-dRzwiH-gamBIra-DIrANi vacAMsi-uvAca // Bc_1.54 //
   mahātmani tvayyupapannametatpriyātithau tyāgini dharmakāme /	mahAtmani tvayi-upapannam-etat-priya-atiTO tyAgini Darma-kAme /
   sattvānvayajñānavayo 'nurūpā snigdhā yadevaṃ mayi me matiḥ syāt // Bc_1.55	sattva-anvaya-jQAna-vayaH anurUpA snigDA yat-evam mayi me matiH syAt // Bc_1.55
   etacca tadyena nṛparṣayaste / dharmeṇa sūkṣmeṇa dhanānyavāpya /	etat-ca tat-yena nRpa-RzayaH-te / DarmeNa sUkzmeNa DanAni-avApya /
   nityaṃ tyajanto vidhivadbabhūvustapobhirāḍhyā vibhavairdaridrāḥ // Bc_1.56	nityam tyajantaH viDivat-baBUvuH-tapoBiH-AXyAH viBavEH-daridrAH // Bc_1.56
   prayojanaṃ yattu mamopayāne tanme śṛṇu prītimupehi ca tvam /	prayojanam yat-tu mama-upayAne tat-me SRNu prItim-upehi ca tvam /
   divyā mayādityapathe śrutā vāgbodhāya jātastanayastaveti // Bc_1.57 //	divyA mayA-Aditya-paTe SrutA vAc-boDAya jAtaH-tanayaH-tava-iti // Bc_1.57 //
   śrutvā vacastacca manaśca yuktvā jñātvā nimittaiśca tato 'smyupetaḥ /	SrutvA vacaH-tat-ca manaH-ca yuktvA jQAtvA nimittEH-ca tatas asmi-upetaH /
   didṛkṣayā śākyakuladhvajasya śakradhvajasyeva samucchritasya // Bc_1.58 //	didRkzayA SAkya-kula-Dvajasya Sakra-Dvajasya-iva samucCritasya // Bc_1.58 //
   ityetadevaṃ vacanaṃ niśamya praharṣasaṃbhrāntagatinarendraḥ /	iti-etat-evam vacanam niSamya praharza-saMBrAnta-gati-narendraH /
   ādāya dhātryaṅkagataṃ kumāraṃ saṃdarśayāmāsa tapodhanāya // Bc_1.59 //	AdAya DAtrI-aFka-gatam kumAram saMdarSayAmAsa tapoDanAya // Bc_1.59 //
   cakrāṅkapādaṃ sa tato maharṣirjālāvanaddhāṅgulipāṇipādam /	cakra-aFka-pAdam sa tatas mahA-RziH-jAlA-avanadDa-aFguli-pANi-pAdam /
   sorṇabhruvaṃ vāraṇavastikośaṃ savismayaṃ rājasutaṃ dadarśa // Bc_1.60 //	sa-UrNa-Bruvam vAraNa-vasti-koSam sa-vismayam rAja-sutam dadarSa // Bc_1.60 //
   dhātryaṅkasaṃviṣṭamavekṣya cainaṃ devyaṅkasaṃviṣṭamivāgnisūnum /	DAtrI-aFka-saMvizwam-avekzya ca-enam devI-aFka-saMvizwam-iva-agni-sUnum /
   babhūva pakṣmāntavicañcitāśrurniśvasya caiva tridivonmukho 'bhūt //	baBUva pakzma-anta-vicaQcita-aSruH-niSvasya ca-eva tridiva-unmuKaH aBUt //
   Bc_1.61 //	Bc_1.61 //
   dṛṣṭvāsitaṃ tvaśrupariplutākṣaṃ / snehāttanūjasya nṛpaścakampe /	dRzwvA-asitam tu-aSru-paripluta-akzam / snehAt-tanUjasya nRpaH-cakampe /
   sagadgadaṃ bāṣpakaṣāyakaṇṭhaḥ papraccha sa prāñjalirānatāṅgaḥ // Bc_1.62	sa-gadgadam bAzpa-kazAya-kaNWaH papracCa sa prAQjaliH-Anata-aFgaH // Bc_1.62
   alpāntaraṃ yasya vapuḥ surebhyo bavhadbhutaṃ yasya ca janma dīptam /	alpa-antaram yasya vapuH sureByaH bavhadButam yasya ca janma dIptam /
   yasyottamaṃ bhāvinamāttha cārtha taṃ prekṣya kasmāttava dhīra bāṣpaḥ //	yasya-uttamam BAvinam-AtTa ca-arTa tam prekzya kasmAt-tava DIra bAzpaH //
   Bc_1.63 //	Bc_1.63 //
   api sthirāyurbhagavan kumāraḥ kaccinna śokāya mama prasūtaḥ /	api sTira-AyuH-Bagavan kumAraH kaccit-na SokAya mama prasUtaH /
   labdhaḥ kathaṃcitsalilāñjalirme na khalvimaṃ pātumupaiti kālaḥ // Bc_1.64	labDaH kaTaMcid-salila-aQjaliH-me na Kalu-imam pAtum-upEti kAlaH // Bc_1.64
   apyakṣayaṃ me yaśaso nidhānaṃ kacciddhruvo me kulahastasāraḥ /	api-akzayam me yaSasaH niDAnam kaccit-DruvaH me kula-hasta-sAraH /
   api prayāsyāmi sukhaṃ paratra supto 'pi putre 'nimiṣaikacakṣuḥ // Bc_1.65	api prayAsyAmi suKam paratra suptaH api putre animiza-eka-cakzuH // Bc_1.65
   kaccinna me jātamaphullameva kulapravālaṃ pariśoṣabhāgi /	kaccit-na me jAtam-aPullam-eva kula-pravAlam pariSoza-BAgi /
   kṣipraṃ vibho brūhi na me 'sti śāntiḥ snehaṃ sute vetsi hi bāndhavānām //	kzipram viBo brUhi na me asti SAntiH sneham sute vetsi hi bAnDavAnAm //
   Bc_1.66 //	Bc_1.66 //
   ityāgatāvegamaniṣṭabuddhyā buddhvā narendraṃ sa munirbabhāṣe /	iti-Agata-Avegam-anizwa-budDyA budDvA narendram sa muniH-baBAze /
   mā bhūnmatiste nṛpa kācidanyā niḥsaṃśayaṃ tadyadavocamasmi // Bc_1.67 //	mA BUt-matiH-te nRpa kAcid-anyA niHsaMSayam tat-yat-avocam-asmi // Bc_1.67 //
   nāsyānyathātvaṃ prati vikriyā me svāṃ vañcanāṃ tu prati viklavo 'smi /	na-asya-anyaTAtvam prati vikriyA me svAm vaQcanAm tu prati viklavaH asmi /
   kālo hi me yātumayaṃ ca jāto jātikṣayasyāsulabhasya boddhā // Bc_1.68 //	kAlaH hi me yAtu-mayam ca jAtaH jAti-kzayasya-asulaBasya bodDA // Bc_1.68 //
   vihāya rājyaṃ viṣayeṣvanāsthastīvraiḥ prayatnairadhigamya tattvam /	vihAya rAjyam vizayezu-anAsTaH-tIvrEH prayatnEH-aDigamya tattvam /
   jagatyayaṃ mohatamo nihantuṃ jvaliṣyati jñānamayo hi sūryaḥ // Bc_1.69 //	jagati-ayam mohatamaH nihantum jvalizyati jQAna-mayaH hi sUryaH // Bc_1.69 //
   duḥkhārṇavādvyādhivikīrṇaphenājjarātaraṅgānmaraṇogravegāt /	duHKa-arNavAt-vyADi-vikIrNa-PenAt-jarA-taraFgAt-maraNa-ugra-vegAt /
   uttārayiṣyatyayamuhyamānamārta jagajjñānamahāplavena // Bc_1.70 //	uttArayizyati-ayam-uhyamAnam-Arta jagat-jQAna-mahA-plavena // Bc_1.70 //
   prajñāmbuvegāṃ sthiraśīlavaprāṃ samādhiśītāṃ vratacakravākām /	prajQA-ambu-vegAm sTira-SIla-vaprAm samADi-SItAm vrata-cakravAkAm /
   asyottamāṃ dharmanadī pravṛtāṃ / tṛṣṇārditaḥ pāsyati jīvalokaḥ // Bc_1.71	asya-uttamAm Darma-nadI pravRtAm / tRzNA-arditaH pAsyati jIva-lokaH // Bc_1.71
