   Pañcaviṃśatisāhasrikā prajñāpāramitā	PaQcaviMSati sAhasrikA prajQApAramitA
   00210 tvāṃ prāpya pralayaṃ yānti doṣā vādāś ca vādinām//	00210 tvAm prApya pralayam yAnti dozAH vAdAH ca vAdinAm//
   00211 tvam eva trāsajananī bālānāṃ bhīmadarśanā/	00211 tvam eva trAsa jananI bAlAnAm BIma darSanA/
   00212 āśvāsajananī cāsi viduṣāṃ saumyadarśanā//	00212 ASvAsa jananI ca asi viduzAm sOmya darSanA//
   00213 yasya tvayy apy abhiṣvaṅgas tvannāthasya na vidyate/	00213 yasya tvayi api aBizvaFgaH tvad nATasya na vidyate/
   00214 tasyāṃba katham anyatra rāgadveṣau bhaviṣyataḥ//	00214 tasya aMba kaTam anyatra rAga dvezO BavizyataH//
   00215 nāgacchasi kutaś cittaṃ na ca kvacana gacchasi/	00215 na AgacCasi kutas cittam na ca kvacana gacCasi/
   00216 sthāneṣv api ca sarveṣu vidvadbhir nopalabhyase//	00216 sTAnezu api ca sarvezu vidvadBiH na upalaByase//
   00217 ye tvām evaṃ na paśyanti prapadyante ca bhāvataḥ/	00217 ye tvAm evam na paSyanti prapadyante ca BAvataH/
   00218 prapadya ca vimucyante tad idaṃ mahad adbhutam//	00218 prapadya ca vimucyante tat idam mahat adButam//
   00301 tvām eva badhyate paśyann apaśyann api badhyate/	00301 tvAm eva baDyate paSyan apaSyan api baDyate/
   00302 tvām eva mucyate paśyann apaśyann api mucyate//	00302 tvAm eva mucyate paSyan apaSyan api mucyate//
   00303 aho vismayanīyāsi gambhīrāsi yaśasvinī/	00303 aho vismayanIyA asi gamBIrA asi yaSasvinI/
   00304 sudurbodhāsi māyeva dṛśyase na ca dṛśyase//	00304 su durboDA asi mAyA iva dRSyase na ca dRSyase//
   00305 buddhaiḥ prayekabuddhaiś ca śrāvakaiś ca niṣevitā/	00305 budDEH prayeka budDEH ca SrAvakEH ca nizevitA/
   00306 mārgas tvam eko mokṣasya nāsty anya iti niścayaḥ//	00306 mArgaH tvam ekaH mokzasya na asti anyaH iti niScayaH//
   00307 vyavahāraṃ puraskṛtya prajñaptyarthaṃ śarīriṇām/	00307 vyavahAram puraskRtya prajQapti arTam SarIriNAm/
   00308 kṛpayā lokanāthais tvam ucyase ca na cocyase//	00308 kRpayA lokanATEH tvam ucyase ca na ca ucyase//
   00309 śaktaḥ kas tvām iha stotuṃ nirnimittāṃ nirañjanām/	00309 SaktaH kaH tvAm iha stotum nirnimittAm niraQjanAm/
   00310 sarvavāgvisayātītā yā tvaṃ kvacid aniḥśritā//	00310 sarva vAc visaya atItA yA tvam kvacid aniHSritA//
   00311 saty evam api saṃvṛtyā vākpathair vayam īdṛśaiḥ/	00311 sati evam api saMvRtyAH vAc paTEH vayam IdRSEH/
   00312 tvām astutyām api stutvā tuṣṭūṣantaḥ sunirvṛtāaḥ/	00312 tvAm astutyAm api stutvA tuzwUzantaH su nirvRtAaH/
   00313 prajñāpāramitāṃ stutvā yan mayopacitaṃ śubham/	00313 prajQApAramitAm stutvA yat mayA upacitam SuBam/
   00314 tenās tv āśu jagat kṛtsnaṃ prajñāpāraparāyaṇam//	00314 tenAH tu ASu jagat kRtsnam prajQApAra parAyaNam//
   00401 evaṃ mayā śrutam/ ekasmin samaye bhagavān rājagṛhe viharati sma	00401 evam mayA Srutam/ ekasmin samaye BagavAn rAjagRhe viharati sma
   00402 gṛdhrakūṭe parvate mahatā bhikṣusaṃghena sārdhaṃ pañcamātrair	00402 gRDrakUwe parvate mahatA Bikzu saMGena sArDam paQca mAtrEH 
   bhikṣusahasraiḥ sarvair arhadbhiḥ	Bikzu sahasrEH sarvEH arhadBiH
   00403 kṣīṇāsravair niṣkleśair vaśībhūtaiḥ suvimuktacittaiḥ	00403 kzINa AsravEH nizkleSEH vaSIBUtEH su vimukta cittEH
   suvimuktaprajñair ājāneyai 	su vimukta prajQEH AjAneyE 
   00404 r mahānāgaiḥ kṛtakṛtyaiḥ kṛtakaraṇīyair apahṛtabhārair	00404 r mahA nAgEH kRtakRtyEH kRta karaNIyEH apahRta BArEH 
   anuprāprasvakārthaiḥ parikṣīṇa 	anuprAprasvaka arTEH parikzINa 
   00405 bhavasaṃyojanaiḥ samyagājñāsuvimuktacittaiḥ	00405 Bava saMyojanEH samyak AjQA su vimukta cittEH
   sarvacetovaśiparamapāramitāprāptaiḥ,	sarva cetaH vaSi parama pAramitA prAptEH,
   00406 pañcamātrair bhikṣuṇīśatair upāsakair upāsikābhiś ca sārdhaṃ sarvair	00406 paQca mAtrEH BikzuNI SatEH upAsakEH upAsikABiH ca sArDam sarvEH 
   dṛṣṭadharmair apari 	dRzwa DarmEH apari 
   00407 māṇairś ca bodhisattvakoṭīniyutaśatasahasraiḥ sārdhaṃ sarvair	00407 mANEH H ca boDisattva kowI niyuta Sata sahasrEH sArDam sarvEH 
   dhāraṇīpratilabdhaiḥ	DAraNI pratilabDEH
   00408 śūnyatāvihāribhir animittagocaraiḥ praṇidhānākalpitaiḥ	00408 SUnyatA vihAriBiH animitta gocarEH praNiDAna akalpitEH
   kṣāntisamatāprati 	kzAnti sama tA prati 
   00409 labdhair asaṅgadhāraṇīpratilabdhair acyutābhijñair ādeyavacanair	00409 labDEH asaFga DAraNI pratilabDEH acyuta aBijQEH Adeya vacanEH 
   akuhakair alapakair arapagata 	akuhakEH alapakEH arapa gata 
   00410 jñātralābhacittair nirāmiṣadharmadeśakair	00410 jQAtra lABa cittEH nirAmiza Darma deSakEH 
   gaṃbhīradharmakṣāntipāraṃgatair vaiśāradya 	gaMBIra Darma kzAnti pAraMgatEH vESAradya 
   00411 prāptair mārakarmasamatikrāntaiḥ karmāvaraṇapratiprasrabdhair	00411 prAptEH mAra karma samatikrAntEH karma AvaraNa pratiprasrabDEH 
   dharmapravicayavibhakti 	Darma pravicaya viBakti 
   00412 nirdeśakuśalair asaṃkhyeyakalpapraṇidhānasusamārabdhaiḥ smitamukhaiḥ	00412 nirdeSa kuSalEH asaMKyeya kalpa praNiDAna su samArabDEH smita muKEH
   pūrvālāpibhi 	pUrvAlApiBi 
   00413 r vigatabhṛkuṭīmukhair gāthābhir gītālapanakuśalair	00413 r vigata BRkuwI muKEH gATABiH gIta Alapana kuSalEH 
   apagatalīnacittair anācchedyaprati 	apagata lIna cittEH anAcCedya prati 
   00414 bhānair anantaparṣadabhibhavanavaiśāradyasamanvāgair	00414 BAnEH ananta parzad aBiBavana vESAradya samanvAgEH 
   anantakalpakoṭīniḥsaraṇakuśalai 	ananta kalpa kowI niHsaraNa kuSalE 
   00415 r	00415 r
   māyāmarīcidakacandrasvapnapratiśrutkāpratibhāsapratibimbanirmāṇopamadharmā 	mAyA marIci daka candra svapna pratiSrutka apratiBAsa pratibimba nirmANa upama DarmA 
   00501 dhimuktaiḥ sattvagaticaritasūkṣmanānādhimuktyavatārakuśalair	00501 DimuktEH sattva gati carita sUkzma nAnA aDimukti avatAra kuSalEH 
   apratihatacittai 	apratihata cittE 
   00502 r adhimātraksāntisamanvāgatair yāthātmāvatāraṇakuśalaiḥ	00502 r aDimAtraksAnti samanvAgatEH yATA AtmA avatAraNa kuSalEH
   sarvabuddhakṣetraānantavyūha 	sarva budDa kzetraa ananta vyUha  
   00503 praṇidhānaprasthānaparigṛhītair	00503 praNiDAna prasTAna parigRhItEH 
   asaṃkhyeyalokadhātubuddhānusmṛtisamāhita 	asaMKyeya loka DAtu budDa anusmRti samAhita 
   00504 satatasamitābhimukhībhūtair aparimitabuddhādhyeṣaṇakuśalair	00504 satata samita aBimuKIBUtEH aparimita budDa aDyezaNa kuSalEH 
   nānādṛṣṭyanuśayaparyava 	nAnA dRzwi anuSaya paryava 
   00505 sthānakleśapraśamanakuśalaiḥ	00505 sTAna kleSa praSamana kuSalEH
   samādhivikrīḍitaśatasahasranirhārakuśalaiḥ tad yathā	samADi vikrIxita Sata sahasra nirhAra kuSalEH tat yaTA
   00506 bhadrapālena ca bodhisattvena mahāsattvena ratnākareṇa ca	00506 BadrapAlena ca boDisattvena mahAsattvena ratna AkareNa ca
   sārthavāhena ca nara 	sArTavAhena ca nara 
   00507 dattena ca varuṇadattena ca śubhaguptena ca indradattena ca	00507 dattena ca varuNadattena ca SuBaguptena ca indradattena ca
   uttaramatinā ca viśeṣa 	uttara matinA ca viSeza 
   00508 matinā ca vardhamānamatinā ca amoghadarśinā ca susamprasthitena ca	00508 matinA ca varDamAna matinA ca amoGa darSinA ca su samprasTitena ca
   suvi 	suvi 
   00509 krāntavikramiṇā ca nityodyuktena ca anikṣiptadhureṇa ca	00509 krAnta vikramiNA ca nitya udyuktena ca anikzipta DureNa ca
   sūryagarbheṇa ca	sUrya garBeNa ca
   00510 anupamacintinā ca avalokiteśvareṇa ca mahāsthāmaprāptena ca mañju 	00510 anupama cintinA ca avalokita ISvareNa ca mahA sTAma prAptena ca maQju 
   00511 śriyā ca vajramatinā ca ratnamudrāhastena ca nityokṣiptahastena ca	00511 SriyA ca vajramatinA ca ratnamudrA hastena ca nitya ukzipta hastena ca
   maitre 	mEtre 
   00512 yeṇa ca bodhisattvena mahāsattvena evam pramukhair anekair	00512 yeNa ca boDisattvena mahAsattvena evam pramuKEH anekEH 
   bodhisattvakoṭīniyuta 	boDisattva kowI niyuta 
   00513 śatasahasraiḥ sārdham/	00513 Sata sahasrEH sArDam/
   00514 atha khalu bhagavān svayam eva siṃhāsanaṃ prajñapya nyaṣīdat	00514 aTa Kalu BagavAn svayam eva siMhAsanam prajQapya nyazIdat 
   paryaṅkaṃ baddhvā	paryaFkam badDvA
   00515 ṛjukāyaṃ praṇidhāya abhimukhīṃ smṛtim upasthāpya samādhirājaṃ nāma	00515 Rju kAyam praNiDAya aBimuKIm smRtim upasTApya samADi rAjam nAma
   00516 samādhiṃ samāpadyate sma yatra sarvasamādhayo 'ntargamān saṃgrahaṃ	00516 samADim samApadyate sma yatra sarva samADayaH antargamAn saMgraham
   samava 	samava 
   00517 saraṇaṃ gacchanti/	00517 saraNam gacCanti/
   00518 atha khalu bhagavān smṛtimān samprajānaṃs tasmāt samādher vyutthāya	00518 aTa Kalu BagavAn smRtimAn samprajAnan tasmAt samADeH vyutTAya
   00601 divyena cakṣuṣā sarvalokadhātuṃ vyavalokya sarvakāyāt smitam akarot/	00601 divyena cakzuzA sarva loka DAtum vyavalokya sarva kAyAt smitam akarot/
   00602 tasyādhastāt pādatalayoḥ sahasrārābhyāṃ cakrābhyāṃ	00602 tasya aDastAt pAda talayoH sahasrArAByAm cakrAByAm
   ṣaṣṭiṣaṣṭīraśmikoṭī 	zazwizazwI raSmi kowI 
   00603 niyutaśatasahasrāṇi niśceruḥ daśabhyaḥ pādāṅgulibhyaḥ	00603 niyuta Sata sahasrANi niSceruH daSaByaH pAda aFguliByaH
   ṣaṣṭiṣaṣṭīraśmikoṭī 	zazwizazwI raSmi kowI 
   00604 niyutaśatasahasrāṇi niśceruḥ/ evaṃ ṣaṣṭiṣaṣṭigulphābhyāṃ ṣaṣṭiṣaṣṭir	00604 niyuta Sata sahasrANi niSceruH/ evam zazwi zazwi gulPAByAm zazwi zazwiH 
   jaṃghābhyāṃ	jaMGAByAm
   00605 ṣaṣṭiṣaṣṭir jānumaṇḍalābhyām evaṃ dvābhyām ūrubhyāṃ	00605 zazwizazwiH jAnu maNxalAByAm evam dvAByAm UruByAm
   kaṭinābhimaṇḍalābhyāṃ dvābhyāṃ	kawinA aBimaNxalAByAm dvAByAm
   00606 pārśvābhyāṃ hṛdayaśrīvatsāt mahāpuruṣalakṣaṇāt/ evaṃ ṣaṣṭiṣaṣṭir	00606 pArSvAByAm hRdaya SrIvatsAt mahApuruza lakzaNa at/ evam zazwi zazwiH 
   daśabhyo	daSaByaH 
   00607 hastāṅgulibhyaḥ ṣaṣṭiṣaṣṭir dvābhyāṃ bāhubhyāṃ ṣaṣṭiṣaṣṭir dvābhyām	00607 hasta aFguliByaH zazwizazwiH dvAByAm bAhuByAm zazwizazwiH dvAByAm
   aṃśābhyām evaṃ grīvā 	aMSAByAm evam grIvA 
   00608 yāś catvāriṃśadbhyo dantebhyo dvābhyāṃ ghrāṇābhyāṃ dvābhyāṃ	00608 yAH catvAriMSadByaH danteByaH dvAByAm GrANAByAm dvAByAm
   śrotrābhyāṃ dvābhyāṃ	SrotrAByAm dvAByAm
   00609 cakṣurbhyāṃ madhyādūrṇāyā upariṣṭād uṣṇīṣāt ṣaṣṭiṣaṣṭī	00609 cakzurByAm maDyA t UrNAyAH uparizwAt uzNIzAt zazwizazwI
   raśmikoṭīniyuta 	raSmi kowI niyuta 
   00610 śatasahasrāṇi niśceruḥ yai raśmibhir ayaṃ trisāhasramahāsāhasro	00610 Sata sahasrANi niSceruH yEH raSmiBiH ayam tri sAhasra mahA sAhasraH 
   lokadhāur a 	lokaDAuH a 
   00611 vabhāsito 'bhūt parisphuṭaḥ/ pūrvasyāṃ diśi gaṅgānadīvālukopamā	00611 vaBAsitaH aBUt parisPuwaH/ pUrvasyAm diSi gaFgA nadI vAlukA upamA
   loka 	loke  
   00612 dhātavas tena mahatā raśmyavabhāsena sphuṭā avabhāsitāś cābhūvan/	00612 DAtavaH tena mahatA raSmi avaBAsena sPuwAH avaBAsitAH ca aBUvan/
   evaṃ dakṣi 	evam dakzi 
   00613 ṇasyāṃ diśi paścimāyām uttarasyām uttarapūrvasyāṃ pūrvadakṣiṇasyāṃ	00613 NasyAm diSi paScimAyAm uttarasyAm uttara pUrvasyAm pUrva dakziNasyAm
   dakṣiṇapaścimāyāṃ	dakziNa paScimAyAm
   00614 paścimottarasyām adhastād upariṣṭād diśi gaṅgānadīvālukopamā	00614 paScima uttarasyAm aDastAt uparizwAt diSi gaFgA nadI vAlukA upamA
   lokadhātava 	lokaDAtava 
   00615 s tena mahatā raśmyavabhāsena sphuṭā avabhāsitāś cābhūvan/ ye ca	00615 s tena mahatA raSmi avaBAsena sPuwAH avaBAsitAH ca aBUvan/ ye ca
   sattvās tena	sattvAH tena
   00616 mahatā raśmyavabhāsena sphuṭā avabhāsitās te sarve niyatā abhūvan	00616 mahatA raSmi avaBAsena sPuwAH avaBAsitAH te sarve niyatAH aBUvan
   anu 	anu 
   00617 ttarāyāṃ samyaksambodhau/	00617 ttarAyAm samyaksamboDO/
   00701 atha khalu bhagavān punar eva sarvaromakūpebhyaḥ smitam akarot/	00701 aTa Kalu BagavAn punar eva sarva romakUpeByaH smitam akarot/
   evakikataś ca	evakikataH ca
   00702 romakūpāt ṣaṣṭiṣaṣṭīraśmikoṭīniyutaśatasahasrāṇi niśceruḥ/ yair ayaṃ	00702 romakUpAt zazwi zazwI raSmi kowI niyuta Sata sahasrANi niSceruH/ yEH ayam
   00703 trisāhasramahāsāhasro lokadhātur avabhāsitaḥ sphuṭo 'bhūt/ taiś ca	00703 tri sAhasra mahA sAhasraH lokaDAtuH avaBAsitaH sPuwaH aBUt/ tEH ca
   pūrvasyāṃ	pUrvasyAm
   00704 diśi gaṅgānadīvālukopamāḥ sarvalokadhātavo 'vabhāsenāvabhāsitāḥ	00704 diSi gaFgA nadI vAlukA upamAH sarva loka DAtavaH avaBAsena avaBAsitAH
   sphuṭā 	sPuwA 
   00705 ś cābhūvan/ evaṃ dakṣiṇasyāṃ {{diśi paścimāyām uttarasyām	00705 S ca aBUvan/ evam dakziNasyAm {{diSi paScimAyAm uttarasyAm
   uttarapūrvasyāṃ pūrvadakṣiṇasyāṃ dakṣiṇapaścimāyāṃ paścimottarasyām	uttara pUrvasyAm pUrva dakziNasyAm dakziNa paScimAyAm paScima uttarasyAm
   adhastād upariṣṭād diśi gaṅgānadīvālukopamā lokadhātavas tena mahatā	aDastAt uparizwAt diSi gaFgA nadI vAlukA upamA lokaDAtavaH tena mahatA
   raśmyavabhāsena sphuṭā avabhāsitāś cābhūvan/ ye ca sattvās tena mahatā	raSmi avaBAsena sPuwAH avaBAsitAH ca aBUvan/ ye ca sattvAH tena mahatA
   raśmyavabhāsena sphuṭā avabhāsitās te sarve niyatā abhūvan anuttarāyāṃ}}	raSmi avaBAsena sPuwAH avaBAsitAH te sarve niyatAH aBUvan anuttarAyAM}}
   samyak 	samyak  
   00706 sambodhau/	00706 samboDO/
   00707 atha khalu bhagavān punar eva yā sā buddhānāṃ bhagavatāṃ	00707 aTa Kalu BagavAn punar eva yA sA budDAnAm BagavatAm
   prakṛtiprabhā tayā	prakRti praBA tayA
   00708 prabhayā trisāhasramahāsāhasraṃ lokadhātum avabhāsayāmāsa/ yāvat	00708 praBayA tri sAhasra mahA sAhasram lokaDAtum avaBAsayAmAsa/ yAvat 
   sarvāsu	sarvAsu
   00709 daśasu dikṣu ekaikasyāṃ diśi gaṅgānadīvālukopamā lokadhātavayas tā	00709 daSasu dikzu ekEkasyAm diSi gaFgA nadI vAlukA upamA loka DAtavayaH tA
   00710 prabhayā avabhāsitā abhūvan/ ye ca sattvās tayā prabhayā spṛṣṭās te	00710 praBayA avaBAsitAH aBUvan/ ye ca sattvAH tayA praBayA spRzwAH te
   sarve	sarve
   00711 niyatā abhūvan anuttarāyāṃ samyaksambodhau//	00711 niyatAH aBUvan anuttarAyAm samyaksamboDO//
   00712 atha khalu bhagavāṃs tasyāṃ velāyāṃ jihvendriyaṃ nirṇāmayāmāsa/	00712 aTa Kalu BagavAn tasyAm velAyAm jihvA indriyam nirNAmayAmAsa/
   yenemaṃ	yena imam
   00713 trisāhasramahāsāhasraṃ lokadhātuṃ jihvendriyeṇācchādayāmāsa/	00713 tri sAhasra mahA sAhasram lokaDAtum jihvA indriyeNa AcCAdayAmAsa/
   trisāhasra 	tri sAhasra 
   00714 mahāsāhasraṃ lokadhātuṃ jihvendriyeṇa sphuritvā tasmāj jihvendriyāt	00714 mahA sAhasram lokaDAtum jihvA indriyeNa sPuritvA tasmAt jihvA indriyAt 
   smita 	smita 
   00715 m akarot/ yato 'nekāni raśmikoṭīniyutaśatasahasrāṇi niśceruḥ/	00715 m akarot/ yatas anekAni raSmi kowI niyuta Sata sahasrANi niSceruH/
   00716 raśmimukhe caikaikasminn uttamaratnamayāni suvarṇanirbhāsāni	00716 raSmimuKe ca ekEkasmin uttama ratna mayAni suvarNa nirBAsAni
   sahasrapatrāṇi	sahasra patrANi
   00717 padmāny utpannāny abhūvan/ teṣu ca padmeṣu buddhavigrahā niṣaṇāḥ	00717 padmAni utpannAni aBUvan/ tezu ca padmezu budDa vigrahAH nizaNAH
   saṃsthitā 	saMsTitA 
   00718 ś cābhūvan dharmaṃ deśayanto yad uta imām eva	00718 S ca aBUvan Darmam deSayantaH yat uta imAm eva
   ṣaṭpāramitāpratisaṃyuktāṃ dharma 	zaz pAramitA pratisaMyuktAm Darma 
   00719 deśanām/ te pūrvasyāṃ diśi gaṅgānadīvālukopamavyativṛttāsaṃkhyeṣu	00719 deSa nAm/ te pUrvasyAm diSi gaFgA nadI vAlu kA upama vyativRtta asaMKyezu
   loka 	loke  
   00720 dhātuṣu gatvā sattvānāṃ dharmaṃ deśayanti sma/ evaṃ dakṣiṇasyāṃ	00720 DAtuzu gatvA sattvAnAm Darmam deSayanti sma/ evam dakziNasyAm
   paścimāyā 	paScimAyA 
   00801 m uttarasyām adhastād ūrdhvaṃ digvidikṣu/ evakikasyāṃ ca diśi daśasu	00801 m uttarasyAm aDastAt UrDvam diS vidikzu/ evakikasyAm ca diSi daSasu
   dikṣu gaṅgā 	dikzu gaFgA 
   00802 nadīvālukopameṣu aparimāṇeṣu lokadhātuṣu gatvā sattvānāṃ dharmaṃ	00802 nadI vAlukA upamezu aparimANezu lokaDAtuzu gatvA sattvAnAm Darmam
   deśayanti	deSayanti
   00803 sma yad uta imām eva ca ṣaṭpāramitāpratisaṃyuktāṃ dharmadeśanām/ ye	00803 sma yat uta imAm eva ca zaz pAramitA pratisaMyuktAm Darma deSa nAm/ ye
   ca sattvā 	ca sattvA 
   00804 s tāṃ dharmadeśanāṃ śṛṇvanti te niyatā bhavanty anuttarāyāṃ	00804 s tAm Darma deSanAm SRNvanti te niyatAH Bavanti anuttarAyAm
   samyaksambodhau/	samyaksamboDO/
   00805 atha khalu bhagavāṃs tasminn eva siṃhāsane niṣaṇaḥ siṃhavikrīḍitaṃ	00805 aTa Kalu BagavAn tasmin eva siMhAsane nizaNaH siMha vikrIxitam
   00806 nāma samādhiṃ samāpede/ tathārupaṃ carddhyabhisaṃskāram	00806 nAma samADim samApede/ taTA arupam ca Rdhi aBisaMskAram
   abhisaṃskaroti sma	aBisaMskaroti sma
   00807 yathārūpeṇarddhyabhisaṃskāreṇābhisaṃskṛtenāyaṃ trisāhasramahāsāhasro	00807 yaTArUpeNa RdDi aBisaMskAreNa aBisaMskRtena ayam tri sAhasra mahA sAhasraH 
   loka 	loke  
   00808 dhātuḥ ṣaḍvikāram akampata prākampata saṃprākampata/ acalat prācalat	00808 DAtuH zaz vikAram akampata prAkampata saMprAkampata/ acalat prAcalat 
   00809 saṃprācalat/ avedhat prāvedhat saṃprāvedhat/ araṇat prāraṇat	00809 saMprAcalat/ aveDat prAveDat saMprAveDat/ araNat prAraNat 
   00810 saṃprāraṇat/ akṣubhyat prākṣubhyat saṃprākṣubhyat/ agarjat prāgarjat	00810 saMprAraNat/ akzuByat prAkzuByat saMprAkzuByat/ agarjat prAk arjat 
   00811 saṃprāgarjat/ ante unnamati madhye avanamati, madhye unnamati ante	00811 saMprAgarjat/ ante unnamati maDye avanamati, maDye unnamati ante
   00812 avanamati/ mṛdukaḥ snigdhaḥ sarvasattvamukhajanano 'bhūt/	00812 avanamati/ mRdukaH snigDaH sarva sattva muKa jananaH aBUt /
   00813 atha khalu tena kṣaṇalavamuhvartena ye 'smiṃs trisāhasramahāsāhasre	00813 aTa Kalu tena kzaNa lavam uhvartena ye asmin tri sAhasra mahA sAhasre
   loka 	loke  
   00814 dhātau nirayā vā tiryagyonayo vā yamalokā vā te sarve samucchinnāḥ	00814 DAtO nirayAH vA tiryagyonayaH vA yama lokAH vA te sarve samucCinnAH
   00815 śūnyā abhūvan/ sarvākṣaṇāś cāstamitā abhūvan/ ye ca sattvās tābhyo	00815 SUnyAH aBUvan/ sarva akzaNAH ca astamitAH aBUvan/ ye ca sattvAH tAByaH 
   00816 nirayatiryagyoniyamalokagatibhyaś cyūtās te sarvae tenaiva	00816 niraya tiryagyoni yama loka gatiByaH cyUtAH te sarvae tena eva
   prītiprāmodyena	prIti prAmodyena
   00817 manuṣyāṇāṃ sabhāgatāyām upapannāś cābhūvan/ evaṃ cāturmahārāajikānāṃ	00817 manuzyANAm saBA gatAyAm upapannAH ca aBUvan/ evam cAturmahArAa jikAnAm
   00818 devānāṃ trayastriṃśānāṃ yāmānāṃ tuṣitānāṃ nirmāṇaratīnāṃ	00818 devAnAm trayastriMSAnAm yAmAnAm tuzitAnAm nirmANa ratInAm
   paranirmita 	para nirmita 
   00819 vaśavartināṃ devānāṃ sabhāgatāyām upapannāś cābhūvan/	00819 vaSa vartinAm devAnAm saBA gatAyAm upapannAH ca aBUvan/
   00901 atha khalu te manuṣyās te ca devā bhagavata evānubhāvena	00901 aTa Kalu te manuzyAH te ca devAH BagavataH eva anuBAvena
   pūrvajanmāny anu 	pUrva janmAni anu 
   00902 smaranti sma/ anusmṛtya ca tenaiva prītiprāmodyena yena bhagavāṃs	00902 smaranti sma/ anusmRtya ca tena eva prIti prAmodyena yena BagavAn= 
   tenopa 	tena upa 
   00903 saṃkrāntāḥ/ upasaṃkramya bhagavataḥ pādau śirobhir abhivandya	00903 saMkrAntAH/ upasaMkramya BagavataH pAdO SiroBiH aBivandya
   bhagavantaṃ	Bagavantam
   00904 prāñjalayo bhūtvā namasyanti sma/ evaṃ pūrvasyṃ diśi	00904 prAQjalayaH BUtvA namasyanti sma/ evam pUrvasym diSi
   gaṅgānadīvālukopa 	gaFgA nadI vAlu kA upa 
   00905 meṣu lokadhātuṣu dakṣiṇasyāṃ paścimāyām uttarasyāṃ vidikṣūrdhvam	00905 mezu lokaDAtuzu dakziNasyAm paScimAyAm uttarasyAm vidikzu UrDvam
   adhaḥ samantā 	aDas samantA 
   00906 d daśasu dikṣvaikasmin digbhāge gaṅgānadīvālukopameṣu lokadhātuṣu	00906 d daSasu dikzva ekasmin digBAge gaFgA nadI vAlukA upamezu lokaDAtuzu
   sarve	sarve
   00907 nirayāḥ sarvās tiryagyonayaḥ sarve yamalokāḥ samucchinnāḥ śūnyā	00907 nirayAH sarvAH tiryagyonayaH sarve yama lokAH samucCinnAH SUnyA
   abhūvan/	aBUvan/
   00908 sarvākṣaṇāś cāstamitā abhūvan/ ye ca sattvās tābhyo	00908 sarva akzaNAH ca astamitAH aBUvan/ ye ca sattvAH tAByaH 
   nirayatiryagyoni 	nirayatiryagyoni 
   00909 yamalokagatibhyaś cyutās te sarve devamanuṣyeṣūpapadyante sma/ te ca	00909 yama loka gatiByaH cyutAH te sarve deva manuzyezu upapadyante sma/ te ca
   devam anu 	devam anu 
