   Gaṇakārikā, 1	GaNa-kArikA, 1
   * gurur ācāryaḥ śraddhāvatām āśramiṇāṃ darśanasambhāṣaṇādibhir api	* guruH AcAryaH SradDAvatAm ASramiNAm darSana-samBAzaNa-AdiBiH api
   pāpaghnaḥ puṇyātiśayakārī cety arthaḥ // GkT_1.1ab:23	pApa-GnaH puNya-atiSaya-kArI ca-iti arTaH // GkT_1.1ab:23
   * athavā anyathā kārikāsambandhaḥ pradarśyate // GkT_1.1ab:24	* aTavA anyaTA kArikA-sambanDaH pradarSyate // GkT_1.1ab:24
   * dvividhaḥ khalv atra brāhmaṇo 'pavargagantā śrūyate sādhaka ācāryaś ceti	* dviviDaH Kalu atra brAhmaNaH apavarga-gantA SrUyate sADakaH AcAryaH ca-iti
   // GkT_1.1ab:25	// GkT_1.1ab:25
   * tatreha darśane yaḥ sādhakaḥ sann apavargaṃ gantum icchati //	* tatra-iha darSane yaH sADakaH san apavargam gantum icCati //
   GkT_1.1ab:26	GkT_1.1ab:26
   * śāstraṃ śrutvācāryopadeśamātrād vā vidhyādisvarūpaṃ jñātvā	* SAstram SrutvA-AcArya-upadeSa-mAtrAt vA viDi-Adi-svarUpam jQAtvA
   vidhiyogānuṣṭhānam atyantābhiyogena kartavyam // GkT_1.1ab:27	viDi-yoga-anuzWAnam atyanta-aBiyogena kartavyam // GkT_1.1ab:27
   * yas tv ācāryaḥ sann apavargam gantum icchati tena kiṃ kartavyam iti āha	* yaH tu AcAryaH san apavargam gantum icCati tena kim kartavyam iti Aha
   // GkT_1.1ab:28	// GkT_1.1ab:28
   * pañcakās tv aṣṭa vijñeyā gaṇaś caikas trikātmakaḥ iti // GkT_1.1ab:29	* paQcakAH tu azwa vijQeyAH gaNaH ca-ekaH trika-AtmakaH iti // GkT_1.1ab:29
   * tuśabdaḥ samastasūtrasūtrāvayavānām upodghātādiniścayadvāreṇa navagaṇā	* tuSabdaH samasta-sUtra-sUtra-avayavAnAm upodGAta-Adi-niScaya-dvAreNa nava-gaNA
   vijñeyās tān vijñāya śiṣyāṇāṃ saṃśayād yajñānaṃ nirvartayatā saṃskāraḥ	vijQeyAH tAn vijQAya SizyANAm saMSayAt yajQAnam nirvartayatA saMskAraH
   kartavya ity evaṃbhūtaṃ viśeṣaṃ sūcayati // GkT_1.1ab:30	kartavyaH iti evaMBUtam viSezam sUcayati // GkT_1.1ab:30
   * śeṣas tv avayavārthaḥ pūrvavat // GkT_1.1ab:31	* SezaH tu avayava-arTaH pUrvavat // GkT_1.1ab:31
   * kathaṃ punar etat gamyate // GkT_1.1ab:32	* kaTam punar etat gamyate // GkT_1.1ab:32
   * duḥkhanimittam ācāryatvam ātmana icchatā navagaṇā viśeṣato jñātavyā iti	* duHKa-nimittam AcArya-tvam AtmanaH icCatA nava-gaNAH viSezataH jQAtavyAH iti
   gamyate // GkT_1.1ab:33	gamyate // GkT_1.1ab:33
   * yasmāt // GkT_1.1ab:34]	* yasmAt // GkT_1.1ab:34]
   vettā navagaṇasyāsya saṃskartā gurur ucyate // Gk_1.1	vettA nava-gaNasya-asya saMskartA guruH ucyate // Gk_1.1
   * evaṃ cānuṣṭhānābhiniveśāsamartho 'pi yadi śraddhānvito bhūtveṣad api	* evam ca-anuzWAna-aBiniveSA-samarTaH api yadi SradDA-anvitaH BUtvA-Izat api
   samayamātraṃ pālayan jñānābhyāsaṃ na muñcati tadāpavargagantā bhavaty	samaya-mAtram pAlayan jQAna-aByAsam na muQcati tadA-apavarga-gantA Bavati-
   ācārya iti cocyate // GkT_1.1cd:1	AcAryaH iti ca-ucyate // GkT_1.1cd:1
   * yas tv āgamārthajñānamātreṇa tuṣṭaḥ san śraddhādivirahitaḥ	* yaH tu Agama-arTa-jQAna-mAtreNa tuzwaH san SradDA-Adi-virahitaH
   śraddhādimātrayukto vā lābhādijñānavikalaḥ sa khalv ācāryābhāsa eva	SradDA-Adi-mAtra-yuktaH vA lABa-Adi-jQAna-vikalaH sa Kalu AcArya-ABAsaH eva
   nāpavargaganteti // GkT_1.1cd:2	na-apavarga-gantA-iti // GkT_1.1cd:2
   * gaṇasvarūpaṃ tarhi vācyam // GkT_1.1cd:3	* gaNa-svarUpam tarhi vAcyam // GkT_1.1cd:3
   * ke 'ṣṭa pañcakāḥ kaś ca trikātmako gaṇaḥ ity ata āha // GkT_1.1cd:4]	* ke azwa paQcakAH kaH ca trika-AtmakaH gaNaH iti atas Aha // GkT_1.1cd:4]
   lābhā malā upāyāś ca deśāvasthāviśuddhayaḥ /	lABAH malAH upAyAH ca deSa-avasTA-viSudDayaH /
   dīkṣākāribalāny aṣṭa pañcakās trīṇi vṛttayaḥ // Gk_1.2	dIkzA-kAri-balAni azwa paQcakAH trINi vRttayaH // Gk_1.2
   * vidhīyamānam upāyaphalaṃ lābhaḥ athavā	* viDIyamAnam upAya-Palam lABaH aTavA
   jñānatapodevanityatvasthitisiddhibhedabhinnā lābhāḥ athavānabhivyaktapūrvā	jQAna-tapaH-deva-nitya-tva-sTiti-sidDi-Beda-BinnAH lABAH aTavA-anaBivyakta-pUrvA
   bhāvāḥ sādhakātmani vyajyamānā lābhāḥ // GkT_1.2:1	BAvAH sADaka-Atmani vyajyamAnAH lABAH // GkT_1.2:1
   * yeṣām ātmāśritānāṃ bhāvānāṃ kṣapaṇārthaṃ sādhakaḥ prayatate te malāḥ //	* yezAm Atma-ASritAnAm BAvAnAm kzapaNa-arTam sADakaH prayatate te malAH //
   GkT_1.2:2	GkT_1.2:2
   * athavā mithyājñānādharmasaṅgacyutipaśutvabhedabhinnā malāḥ // GkT_1.2:3	* aTavA miTyA-jQAna-aDarma-saFga-cyuti-pa-Su-tva-Beda-BinnAH malAH // GkT_1.2:3
   * sādhakasya sādhakatamāḥ śuddhivṛddhihetava upāyāḥ // GkT_1.2:4	* sADakasya sADakatamAH SudDi-vRdDi-hetavaH upAyAH // GkT_1.2:4
   * athavā vāsaścaryājapadhyānasadāsmṛtiprasādabhedabhinnā upāyāḥ //	* aTavA vAsaH-caryA-japa-DyAna-sadA-smRti-prasAda-Beda-BinnAH upAyAH //
   GkT_1.2:5	GkT_1.2:5
   * caśabdaḥ pādapūraṇe lābhādīnāṃ vā parasparāsaṃkīrṇalakṣaṇasūtraka iti //	* caSabdaH pAda-pUraNe lABa-AdInAm vA paraspara-asaMkIrNa-lakzaNa-sUtrakaH iti //
   GkT_1.2:6	GkT_1.2:6
   * deśāś cāvasthāś ca viśuddhayaś ceti dvaṃdvaḥ // GkT_1.2:7	* deSAH ca-avasTAH ca viSudDayaH ca-iti dvaMdvaH // GkT_1.2:7
   * yadāśrayasāmarthyena sādhakaḥ śuddhivṛddhī prāpnoti te deśā	* yad-ASraya-sAmarTyena sADakaH SudDi-vRdDI prApnoti te deSA
   gurujanaguhāśmaśānarudralakṣaṇā iti vakṣyāmaḥ // GkT_1.2:8	guru-jana-guhA-aSmaSAna-rudra-lakzaNAH iti vakzyAmaH // GkT_1.2:8
   * ālābhaprāpter ekamaryādayāvasthitayaḥ sādhakasya avasthās tā	* AlABa-prApteH eka-maryAdayA-avasTitayaH sADakasya avasTAH tA
   vyaktādiviśeṣeṇa viśiṣṭā vakṣyante // GkT_1.2:9	vyakta-Adi-viSezeNa viSizwAH vakzyante // GkT_1.2:9
   * mithyājñānādīnām atyantavyapohā viśuddhayaḥ // GkT_1.2:10	* miTyAjQAna-AdInAm atyanta-vyapohAH viSudDayaH // GkT_1.2:10
   * dīkṣākārīṇi ca balāni ceti dvaṃdvaḥ // GkT_1.2:11	* dIkzA-kArINi ca balAni ca-iti dvaMdvaH // GkT_1.2:11
   * dīkṣānimittāni dīkṣākārīṇi dravyakālakriyāmūrtigurusaṃjñakāni	* dIkzA-nimittAni dIkzA-kArINi dravya-kAla-kriyA-mUrti-guru-saMjQakAni
   sādhakātmagatāny upāyapravṛttinimittāni // GkT_1.2:12	sADaka-Atma-gatAni upAya-pravRtti-nimittAni // GkT_1.2:12
   * balāni gurubhaktimatiprasādadvaṃdvajayadharmāpramādalakṣaṇāni //	* balAni guru-Bakti-mati-prasAda-dvaMdva-jaya-Darma-apramAda-lakzaNAni //
   GkT_1.2:13	GkT_1.2:13
   * aṣṭa pañcakā ity upasaṃhāraḥ // GkT_1.2:14	* azwa paQcakAH iti upasaMhAraH // GkT_1.2:14
   * tisro vṛttaya iti prāpte trīṇi vṛttaya iti chāndasaḥ prayogaḥ kṛtaḥ	* tisraH vRttayaH iti prApte trINi vRttayaH iti CAndasaH prayogaH kRtaH
   pañcamalaghūkaraṇārtham // GkT_1.2:15	paQcama-laGUkaraNa-arTam // GkT_1.2:15
   * āgamāvirodhino 'nnārjanopāyā vṛttayaḥ bhaikṣotsṛṣṭayathālabdhasaṃjñikāḥ	* Agama-aviroDinaH anna-arjana-upAyAH vRttayaH BEkza-utsRzwa-yaTA-labDa-saMjQikAH
   // GkT_1.2:16	// GkT_1.2:16
   * tatra prathamāvasthasya tāvad bhaikṣam eva vṛttis tasyāḥ ko vidhir ity	* tatra praTama-avasTasya tAvat BEkzam eva vRttiH tasyAH kaH viDiH iti-
   ucyate // GkT_1.2:17	ucyate // GkT_1.2:17
   * jñātvā bhikṣākālaṃ śucir bhūtvā bhasmanā hastau prakṣālya pātraṃ gṛhītvā	* jQAtvA BikzA-kAlam SuciH BUtvA BasmanA hastO prakzAlya pAtram gRhItvA
   udakaprakṣālitaṃ saṃskṛtaṃ ca kṛtvā mahādevaṃ praṇamyānujñāṃ prārthayet	udaka-prakzAlitam saMskRtam ca kRtvA mahAdevam praNamya-anujQAm prArTayet-
   tadanu gurūn iti // GkT_1.2:18	tadanu gurUn iti // GkT_1.2:18
   * tato devagurubhir anujñāto mantrān āvartayan īśvarāsaktacitto vā	* tatas deva-guruBiH anujQAtaH mantrAn Avartayan ISvara-Asakta-cittaH vA
   dṛṣṭipūtena pathābhiśastapatitagṛhāṇi varjayitvā yatra ca bhayanimittaṃ ca	dRzwi-pUtena paTA-aBiSasta-patita-gRhANi varjayitvA yatra ca Baya-nimittam ca
   kākādi kaluṣanimittaṃ	kAka-Adi kaluza-nimittam
   cāmedhyavivastrayuvativiṭadurjanavacanabhikṣukākīrṇatvādy upalabhyate	ca-ameDya-vivastra-yuvati-viwa-durjana-vacana-BikzukA-kIrNa-tva-Adi upalaByate
   tadgṛhāṇy api varjayann ekam eva grāmādīnām anyatamaṃ paryaṭed yady	tad-gRhANi api varjayan ekam eva grAma-AdInAm anyatamam paryawet yadi-
   antarāle eva paryāptir na bhavati upaghāto vā kaścid iti tataḥ svāyatanam	antarAle eva paryAptiH na Bavati upaGAtaH vA kaScid iti tatas su-a-Ayatanam
   āgatyāparādhānurūpaṃ prāyaścittaṃ kṛtvā mantrasaṃskṛtaṃ ca kṛtvā	Agatya-aparADa-anurUpam prAyaScittam kRtvA mantra-saMskRtam ca kRtvA
   tadbhaikṣaṃ śivāyānugurave ca nivedya maheśvaraṃ hṛdi saṃdhāya	tat-BEkzam SivAya-anugurave ca nivedya maheSvaram hRdi saMDAya
   saṃyatavāgudaṅmukhaḥ prāṅmukho vā samarasaṃ kṛtvoparyupari vā bhuñjīteti	saMyata-vAc-udaFmuKaH prAFmuKaH vA sama-rasam kRtvA-upari-upari vA BuQjIta-iti
   // GkT_1.2:19	// GkT_1.2:19
   * pātraṃ pātraśaucaṃ ca sūtrānumataṃ smṛtiprasiddhaṃ pratipattavyam //	* pAtram pAtra-SOcam ca sUtra-anumatam smRti-prasidDam pratipattavyam //
   GkT_1.2:20	GkT_1.2:20
   * tathā ca yājñavalkyaḥ /	* taTA ca yAjQavalkyaH /
   * yatipātrāṇi mṛdveṇudārvalābumayāni ca /	* yati-pAtrANi mRd-veNu-dAru-alAbu-mayAni ca /
   * salilaiḥ śuddhireteṣāṃ govālaiśca nigharṣaṇam // GkT_1.2:21	* salilEH SudDiH-etezAm go-vAlEH-ca niGarzaNam // GkT_1.2:21
   * manurapyāha /	* manuH-api-Aha /
   * ataijasāni pātrāṇi tasya syur nirvraṇāni ca /	* atEjasAni pAtrANi tasya syuH nirvraNAni ca /
   * teṣām adbhiḥ smṛtaṃ śaucaṃ camasānāmivādhvare // GkT_1.2:22	* tezAm adBiH smRtam SOcam camasAnAm-iva-aDvare // GkT_1.2:22
   * sāpannaṃ ca salepaṃ ca vibhinnaṃ cāpi yadbhavet /	* sA-Apannam ca sa-lepam ca viBinnam ca-api yat-Bavet /
   * tatra bhuktvā ca pītvā ca yatiścāndrāyaṇaṃ caret // GkT_1.2:23	* tatra BuktvA ca pItvA ca yatiH-cAndrAyaNam caret // GkT_1.2:23
   * iti yamaḥ // GkT_1.2:24	* iti yamaH // GkT_1.2:24
   * āgamāvirodhigrahaṇād ekānnasya vidyākhyāpanānuśāsanalokayātrādibhir	* Agama-aviroDi-grahaNAt eka-annasya vidyA-KyApana-anuSAsana-loka-yAtrA-AdiBiH-
   nimittair arjitabhaikṣasya pratiṣedho draṣṭavya ityeṣā prātipadāvasthasya	nimittEH arjita-BEkzasya pratizeDaH drazwavyaH iti-ezA prAtipada-avasTasya
   vidhiḥ // GkT_1.2:25	viDiH // GkT_1.2:25
   * tṛtīyāvasthasyāpyayaṃ vidhiḥ // GkT_1.2:26	* tRtIyA-avasTasya-api-ayam viDiH // GkT_1.2:26
   * etāvānatra viśeṣaḥ // GkT_1.2:27	* etAvAn-atra viSezaH // GkT_1.2:27
   * prāyaścittanivedanapañcabrahmajapānusnānādikaṃ na karoti tṛtīyāvasthaḥ	* prAyaScitta-nivedana-paQca-brahma-japa-anusnAna-Adikam na karoti tRtIya-avasTaH
   paramayogitvāditi // GkT_1.2:28	parama-yogi-tvAt-iti // GkT_1.2:28
   * dvitīyāvasthasyotsṛṣṭam eva vṛttiḥ // GkT_1.2:29	* dvitIya-avasTasya-utsRzwam eva vRttiH // GkT_1.2:29
   * devādyuddeśena parityaktamannapānaṃ kāruṇyakautūhalābhyāṃ vā yadi kaścid	* deva-Adi-uddeSena parityaktam-anna-pAnam kAruNya-kOtUhalAByAm vA yadi kaScid-
   aduṣṭajātir dadyād aśucitvādidoṣarahitaṃ tadutsṛṣṭam // GkT_1.2:30	aduzwa-jAtiH dadyAt aSuci-tva-Adi-doza-rahitam tat-utsRzwam // GkT_1.2:30
   * tacca māyābhedenopayoktavyam // GkT_1.2:31	* tat-ca mAyA-Bedena-upayoktavyam // GkT_1.2:31
   * bhaikṣanivṛtteḥ pātraniyamo nāsti // GkT_1.2:32	* BEkza-nivRtteH pAtra-niyamaH na-asti // GkT_1.2:32
   * caturthāvasthasya yathālabdhaṃ vṛttiḥ // GkT_1.2:33	* caturTa-avasTasya yaTAlabDam vRttiH // GkT_1.2:33
   * śmaśānadeśāvasthitenaiva divase divasadvaye traye vā yad annapānaṃ	* SmaSAna-deSa-avasTitena-eva divase divasa-dvaye traye vA yat anna-pAnam
   prāpyate tadyathālabdham ucyate // GkT_1.2:34	prApyate tat-yaTAlabDam ucyate // GkT_1.2:34
   * pañcamāvasthasya tu śarīrābhāvādeva vṛttyanupapattiriti // GkT_1.2:35	* paQcama-avasTasya tu SarIra-aBAvAt-eva vRtti-anupapattiH-iti // GkT_1.2:35
   * granthakramasya aprādhānyam arthajñānasyaiva prādhānyaṃ	* granTa-kramasya aprADAnyam arTa-jQAnasya-eva prADAnyam
   manyamāno'krameṇaiva nirdeśaṃ karoti gurubhaktiḥ ityādinā // GkT_1.2:36	manyamAnaH-akrameNa-eva nirdeSam karoti guru-BaktiH ityAdinA // GkT_1.2:36
   * athavā sarvārambhāṇāṃ lābhārthatvāt tatprādhānyajñāpanārthaṃ pūrvam ādau	* aTavA sarva-AramBANAm lABa-arTa-tvAt tad-prADAnya-jQApana-arTam pUrvam AdO
   lābhā uddiṣṭā idānīṃ punaḥ sarve'pi lābhā upāyasādhyāste copāyā balahīnaiḥ	lABAH uddizwAH idAnIm punar sarve-api lABAH upAya-sADyAH-te ca-upAyAH bala-hInEH
   puruṣairanuṣṭhātuṃ na śakyanta ityataḥ prādhānyajñāpanārthaṃ balānām ādau	puruzEH-anuzWAtum na Sakyante iti-atas prADAnya-jQApana-arTam balAnAm AdO
   nirdeśam āha // GkT_1.2:37]	nirdeSam Aha // GkT_1.2:37]
   gurubhaktiḥ prasādaś ca mater dvaṃdvajayas tathā /	guru-BaktiH prasAdaH ca mateH dvaMdva-jayaH taTA /
   dharmaś caivāpramādaś ca balaṃ pañcavidhaṃ smṛtam // Gk_1.3	DarmaH ca-eva-apramAdaH ca balam paQcaviDam smRtam // Gk_1.3
   * guruḥ ācāryaḥ pañcārthajñānopadeṣṭā // GkT_1.3:1	* guruH AcAryaH paQcArTa-jQAna-upadezwA // GkT_1.3:1
   * tasya bhaktiḥ śraddhā sarvaduḥkhābhibhūtasya mamāyam eva trātety eṣā	* tasya BaktiH SradDA sarva-duHKa-aBiBUtasya mama-ayam eva trAtA-iti ezA
   bhāvanā kāryā // GkT_1.3:2	BAvanA kAryA // GkT_1.3:2
   * tathā coktam /	* taTA ca-uktam /
   * gurur devo guruḥ svāmī ityādi na ca kāraṇapravacanayor bhaktivirodhas	* guruH devaH guruH svAmI ityAdi na ca kAraNa-pravacanayoH Bakti-viroDa-s
   tadanumatyaiva tayor bhaktisambhavāt // GkT_1.3:3	tad-anumatyA-eva tayoH Bakti-samBavAt // GkT_1.3:3
   * yatas tu tayor bhaktiḥ kartavyeti nānumanyate sa gurur eva na bhavati	* yatas tu tayoH BaktiH kartavyA-iti na-anumanyate sa guruH eva na Bavati
   ananugrahakāritvāt // GkT_1.3:4	ananugraha-kAri-tvAt // GkT_1.3:4
   * sā ca gurubhaktis tad anabhipretam pariharatotthānādikaṃ kurvatā ca	* sA ca guru-BaktiH tat anaBipretam pariharata-utTAna-Adikam kurvatA ca
   satataṃ sevanīyā // GkT_1.3:5	satatam sevanIyAH // GkT_1.3:5
   * jñātvā tadabhiprāyam aśāstroktam api taddhitaṃ kartavyam // GkT_1.3:6	* jQAtvA tad-aBiprAyam aSAstra-uktam api tat-hitam kartavyam // GkT_1.3:6
   * tathā coktam /	* taTA ca-uktam /
   * granthārthaviduṣaḥ ityādi // GkT_1.3:7	* granTa-arTa-viduzaH ityAdi // GkT_1.3:7
   * yad eva hi guror abhipretaṃ tad eva vihitaṃ śāstrānuktam api śreyaskari	* yat eva hi guroH aBipretam tat eva vihitam SAstra-anuktam api Sreyaskari
   bhavati rāmasya mātṛvadhavat // GkT_1.3:8	Bavati rAmasya mAtR-vaDa-vat // GkT_1.3:8
   * guror vākyāni ca śraddheyāni anyathā doṣaśravaṇāt	* guroH vAkyAni ca SradDeyAni anyaTA doza-SravaNAt-
   tattvajñānālābhaprasaṅgāc ca // GkT_1.3:9	tattva-jQAna-alABa-prasaFgAt ca // GkT_1.3:9
   * bhaktibalavihīno hi grahaṇādyupeto 'pi jñānāvalepenānyathā 'pi	* Bakti-bala-vihInaH hi grahaNa-Adi-upetaH api jQAna-avalepena-anyaTA api
   śāstrārthaṃ pratipadyata ity ato grahaṇādyupetasya bhaktir eva balam //	SAstra-arTam pratipadyate iti atas grahaNa-Adi-upetasya BaktiH eva balam //
   GkT_1.3:10	GkT_1.3:10
   * bhāṣyavirodho 'pi nāsti // GkT_1.3:11	* BAzya-viroDaH api na-asti // GkT_1.3:11
   * yato balam aṣṭāṅgaṃ brahmacaryam ity asyāyam arthaḥ // GkT_1.3:12	* yatas balam azwAFgam brahmacaryam iti asya-ayam arTaH // GkT_1.3:12
   * aṣṭānāṃ grahaṇādīnām aṅgam aṣṭāṅgaṃ bhaktir evocyate	* azwAnAm grahaNa-AdInAm aFgam azwAFgam BaktiH eva-ucyate
   vedāṅgavadarthāntarābhidhānāt // GkT_1.3:13	vedAFga-vat-arTa-antara-aBiDAnAt // GkT_1.3:13
   * saiva brahmacaryanimittatvāt brahmacaryam ity ucyate // GkT_1.3:14	* sA-eva brahmacarya-nimitta-tvAt brahmacaryam iti ucyate // GkT_1.3:14
   * yadi punar yathāśrutārthaḥ syāt tadā vāsovidhānam	* yadi punar yaTASruta-arTaH syAt tadA vAsaH-viDAnam
   ityādijñāpakābhidhānavirodhaḥ syād iti // GkT_1.3:15	ityAdi-jQApaka-aBiDAna-viroDaH syAt iti // GkT_1.3:15
   * vidhāv adhikṛtasya dvitīyaṃ balam āha // GkT_1.3:16	* viDO aDikRtasya dvitIyam balam Aha // GkT_1.3:16
   * prasādaś ca mateḥ iti // GkT_1.3:17	* prasAdaH ca mateH iti // GkT_1.3:17
   * matiprasādaśabdenākaluṣatvam uktam // GkT_1.3:18	* mati-prasAda-Sabdena-Akaluza-tvam uktam // GkT_1.3:18
   * sati hi tasmin matiḥ prasannā bhavati // GkT_1.3:19	* sati hi tasmin matiH prasannA Bavati // GkT_1.3:19
   * tathā ca balam akaluṣatvam iti bhāṣyam // GkT_1.3:20	* taTA ca balam akaluza-tvam iti BAzyam // GkT_1.3:20
   * atrāpi tarhi spaṣṭābhidhānaṃ kim arthaṃ na kṛtam // GkT_1.3:21	* atra-api tarhi spazwa-aBiDAnam kim arTam na kRtam // GkT_1.3:21
   * matiprasādahetor anyasyāpy āśaucavyāmohādyabhāvasya balatvajñāpanārthaṃ	* mati-prasAda-hetoH anyasya-api ASOca-vyA-moha-Adya-BAvasya bala-tva-jQApana-arTam
   pradhānāpekṣayā tv akaluṣatvam uktam // GkT_1.3:22	praDAna-apekzayA tu akaluza-tvam uktam // GkT_1.3:22
   * caśabdaḥ pūrvoktabalasya vidyamānasyāpi caritārthatvāt tadbalatvaṃ	* caSabdaH pUrva-ukta-balasya vidyamAnasya-api caritArTa-tvAt tad-bala-tvam
   prādhānyān na cintyata iti sūcayati /	prADAnyAt na cintyate iti sUcayati /
   * tac cākaluṣatvaṃ dvividhaṃ param aparaṃ ca // GkT_1.3:23	* tat ca-Akaluza-tvam dviviDam param aparam ca // GkT_1.3:23
   * tatra kaluṣatvabījasadbhāve 'py utpannakaluṣatvanirodhi yāvad anāgataṃ	* tatra kaluzatva-bIja-sadBAve api utpanna-kaluza-tva-niroDi yAvat anAgatam
