   vaiśeṣikasūtram	vESezika-sUtram
   tathā guṇaḥ | KVs_1,1.18 |	taTA guNaH | KVH-_1,1.18 |
   saṃyogavibhāgānāṃ karma | KVs_1,1.19 |	saMyoga-viBAgAnAm karma | KVH-_1,1.19 |
   na dravyāṇāṃ vyatirekāt | KVs_1,1.20 |	na dravyANAm vyatirekAt | KVH-_1,1.20 |
   guṇavaidharmyān na karmaṇāṃ | KVs_1,1.21 |	guNa-vEDarmyAt na karmaNAm | KVH-_1,1.21 |
   dravyāṇāṃ dravyaṃ kāryaṃ sāmānyam | KVs_1,1.22 |	dravyANAm dravyam kAryam sAmAnyam | KVH-_1,1.22 |
   dvitvaprabhṛtayaś ca saṃkhyāḥ pṛthaktvaṃ saṃyogavibhāgāś ca | KVs_1,1.23 |	dvi-tva-praBRtayaH ca saMKyAH pRTaktvam saMyoga-viBAgAH ca | KVH-_1,1.23 |
   asamavāyāt sāmānyaṃ karma kāryaṃ na vidyate | KVs_1,1.24 |	asamavAyAt sAmAnyam karma kAryam na vidyate | KVH-_1,1.24 |
   saṃyogānāṃ dravyam | KVs_1,1.25 |	saMyogAnAm dravyam | KVH-_1,1.25 |
   rūpānāṃ rūpam | KVs_1,1.26 |	rUpAnAm rUpam | KVH-_1,1.26 |
   gurutvaprayatnasaṃyogānām utkṣepaṇam | KVs_1,1.27 |	guru-tva-prayatna-saMyogAnAm utkzepaNam | KVH-_1,1.27 |
   saṃyogavibhāgāḥ karmaṇām | KVs_1,1.28 |	saMyoga-viBAgAH karmaNAm | KVH-_1,1.28 |
   kāraṇasāmānye dravyakarmaṇāṃ karmākāraṇam uktam | KVs_1,1.29 |	kAraNa-sAmAnye dravya-karmaNAm karma-akAraNam uktam | KVH-_1,1.29 |
   kāraṇābhāvāt kāryābhāvaḥ | KVs_1,2.1 |	kAraNa-aBAvAt kArya-aBAvaH | KVH-_1,2.1 |
   na tu kāryābhavāt kāraṇābhāvaḥ | KVs_1,2.2 |	na tu kArya-aBavAt kAraNa-aBAvaH | KVH-_1,2.2 |
   sāmānyaṃ viśeṣa iti buddhyapekṣam | KVs_1,2.3 |	sAmAnyam viSezaH iti budDi-apekzam | KVH-_1,2.3 |
   bhāvaḥ sāmānyam eva | KVs_1,2.4 |	BAvaH sAmAnyam eva | KVH-_1,2.4 |
   dravyatvaṃ guṇatvaṃ karmatvaṃ ca sāmānyāni viśeṣāś ca | KVs_1,2.5 |	dravya-tvam guNa-tvam karma-tvam ca sAmAnyAni viSezAH ca | KVH-_1,2.5 |
   anyatrāntyebhyo viśeṣebhyaḥ | KVs_1,2.6 |	anyatra-antyeByaH viSezeByaH | KVH-_1,2.6 |
   sad iti yato dravyaguṇakarmasu | KVs_1,2.7 |	sat iti yatas dravya-guNa-karmasu | KVH-_1,2.7 |
   dravyaguṇakarmabhyo 'rthāntaraṃ sattā | KVs_1,2.8 |	dravya-guNa-karmaByaH arTa-antaram sattA | KVH-_1,2.8 |
   ekadravyavattvān na dravyam | KVs_1,2.9 |	eka-dravyavat-tvAt na dravyam | KVH-_1,2.9 |
   guṇakarmasu ca bhāvān na karma na guṇaḥ | KVs_1,2.10 |	guNa-karmasu ca BAvAn na karma na guNaH | KVH-_1,2.10 |
   sāmānyaviśeṣābhāvāc ca | KVs_1,2.11 |	sAmAnya-viSeza-aBAvAt ca | KVH-_1,2.11 |
   ekadravyavattvena dravyatvam uktam | KVs_1,2.12 |	eka-dravyavat-tvena dravya-tvam uktam | KVH-_1,2.12 |
   sāmānyaviśeṣābhāvena ca | KVs_1,2.13 |	sAmAnya-viSeza-aBAvena ca | KVH-_1,2.13 |
   guṇe bhāvād guṇatvam uktam | KVs_1,2.14 |	guNe BAvAt guNa-tvam uktam | KVH-_1,2.14 |
   sāmānyaviśeṣābhāvāc ca | KVs_1,2.15 |	sAmAnya-viSeza-aBAvAt ca | KVH-_1,2.15 |
   karmaṇi bhāvāt karmatvam uktam | KVs_1,2.16 |	karmaNi BAvAt karma-tvam uktam | KVH-_1,2.16 |
   sāmānyaviśeṣābhāvāc ca | KVs_1,2.17 |	sAmAnya-viSeza-aBAvAt ca | KVH-_1,2.17 |
   salliṅgāviśeṣād viśeṣaliṅgābhāvāc caiko bhāvaḥ | KVs_1,2.18 |	sat-liFga-aviSezAt viSeza-liFga-aBAvAt ca-ekaH BAvaH | KVH-_1,2.18 |
   rūparasagandhasparśavatī pṛthivī | KVs_2,1.1 |	rUpa-rasa-ganDa-sparSavatI pRTivI | KVH-_2,1.1 |
   rūparasasparśavatya āpo dravāḥ snigdhāś ca | KVs_2,1.2 |	rUpa-rasa-sparSavatyaH ApaH dravAH snigDAH ca | KVH-_2,1.2 |
   tejo rūpasparśavat | KVs_2,1.3 |	tejaH rUpa-sparSa-vat | KVH-_2,1.3 |
   vāyuḥ sparśavān | KVs_2,1.4 |	vAyuH sparSavAn | KVH-_2,1.4 |
   ta ākāśe na vidyante | KVs_2,1.5 |	te AkASe na vidyante | KVH-_2,1.5 |
   sarpirjatumadhūcchiṣṭānāṃ pārthivānām agnisaṃyogād dravatādbhiḥ sāmānyam |	sarpiH-jatu-maDUcCizwAnAm pArTivAnAm agni-saMyogAt drava-ta-adBiH sAmAnyam |
   KVs_2,1.6 |	KVH-_2,1.6 |
   trapusīsaloharajatasuvarṇānāṃ taijasānām agnisaṃyogād dravatādbhiḥ	trapu-sIsa-loha-rajata-suvarNAnAm tEjasAnAm agni-saMyogAt drava-ta-adBiH
   sāmānyam | KVs_2,1.7 |	sAmAnyam | KVH-_2,1.7 |
   viṣāṇī kakudmān prāntevāladhiḥ sāsnāvān iti gotve dṛṣṭaṃ liṅgam |	vizANI kakudmAn prAntevAlaDiH sAsnAvAn iti go-tve dRzwam liFgam |
   KVs_2,1.8 |	KVH-_2,1.8 |
   sparśaś ca | KVs_2,1.9 |	sparSaH ca | KVH-_2,1.9 |
   na ca dṛṣṭānāṃ sparśa ity adṛṣṭaliṅgo vāyuḥ | KVs_2,1.10 |	na ca dRzwAnAm sparSaH iti adRzwa-liFgaH vAyuH | KVH-_2,1.10 |
   adravyavattvād dravyam (C,V,BhV U adravyavattvena) | KVs_2,1.11 |	adravyavat-tvAt dravyam (S,V,BhV U adravyavat-tvena) | KVH-_2,1.11 |
   kriyāvattvād guṇavattvāc ca (V omits) | KVs_2,1.12 |	kriyAvat-tvAt guNavat-tvAt ca (V omits) | KVH-_2,1.12 |
   adravyavattvena nityatvam uktam (C,BhV) (V adravyatvenānityam, U	adravyavat-tvena nitya-tvam uktam (C,BhV) (V adravya-tvena-anityam, U
   adravyatvena) | KVs_2,1.13 |	adravya-tvena) | KVH-_2,1.13 |
   vāyor vāyusaṃmūrcchanaṃ nānātve liṅgam | KVs_2,1.14 |	vAyoH vAyu-saMmUrcCanam nAnAtve liFgam | KVH-_2,1.14 |
   vāyor iti sati snnikarṣe pratyakṣābhāvād dṛṣṭaṃ liṅgaṃ na vidyate |	vAyoH iti sati snnikarze pratyakza-aBAvAt dRzwam liFgam na vidyate |
   KVs_2,1.15 |	KVH-_2,1.15 |
   sāmānyatodṛṣṭāc cāviśeṣaḥ | KVs_2,1.16 |	sAmAnyatodRzwAt ca-aviSezaH | KVH-_2,1.16 |
   tasmād āgamikam | KVs_2,1.17 |	tasmAt Agamikam | KVH-_2,1.17 |
   saṃjñākarma tv asmadviśiṣtānāṃ liṅgam | KVs_2,1.18 |	saMjQA-akarma tu asmad-viSiztAnAm liFgam | KVH-_2,1.18 |
   pratyakṣapūrvakatvāt saṃjñākarmaṇaḥ | KVs_2,1.19 |	pratyakza-pUrvaka-tvAt saMjQA-karmaNaH | KVH-_2,1.19 |
   niṣkramaṇaṃ praveśanam ity ākāśasya liṅgam | KVs_2,1.20 |	nizkramaNam praveSanam iti AkASasya liFgam | KVH-_2,1.20 |
   tad aliṅgam ekadravyavattvāt karmaṇaḥ | KVs_2,1.21 |	tat aliFgam eka-dravyavat-tvAt karmaNaH | KVH-_2,1.21 |
   kāraṇāntarānukṜptivaidharmyāc ca | KVs_2,1.22 |	kAraNa-antara-anukṜpti-vEDarmyAt ca | KVH-_2,1.22 |
   saṃyogād abhāvaḥ karmaṇaḥ | KVs_2,1.23 |	saMyogAt aBAvaH karmaNaH | KVH-_2,1.23 |
   kāraṇaguṇapūrvaḥ kārye guṇo dṛṣṭaḥ kāryāntarāprādurbhāvāc ca śabdaḥ	kAraNa-guNa-pUrvaH kArye guNaH dRzwaH kArya-antara-aprAdurBAvAt ca SabdaH
   sparśavatām aguṇaḥ | KVs_2,1.24 |	sparSavatAm aguNaH | KVH-_2,1.24 |
   paratra samavāyāt pratyakṣatvāc ca nātmaguṇo na manoguṇaḥ | KVs_2,1.25 |	paratra samavAyAt pratyakza-tvAt ca na-Atma-guNaH na manaH-guNaH | KVH-_2,1.25 |
   liṅgam ākāśasya | KVs_2,1.26 |	liFgam AkASasya | KVH-_2,1.26 |
   dravyatvanityatve vāyunā vyākhyāte | KVs_2,1.27 |	dravya-tva-nitya-tve vAyunA vyAKyAte | KVH-_2,1.27 |
   28 tattvaṃ bhāvena | KVs_2,1 |	28 tattvam BAvena | KVH-_2,1 |
   puṣpavastrayoḥ sati sannikarṣe gandhāntarāprādurbhāvo vastre	puzpa-vastrayoH sati sannikarze ganDa-antara-aprAdurBAvaH vastre
   gandhābhāvaliṅgam | KVs_2,2.1 |	ganDa-aBAva-liFgam | KVH-_2,2.1 |
   etenāpsūṣṇatā vyākhyātā | KVs_2,2.2 |	etena-apsu-uzNa-tA vyAKyAtA | KVH-_2,2.2 |
   vyavasthitaḥ pṛthivyāṃ gandhaḥ | KVs_2,2.3 |	vyavasTitaH pRTivyAm ganDaH | KVH-_2,2.3 |
   tejasy uṣṇatā | KVs_2,2.4 |	tejasi uzNa-tA | KVH-_2,2.4 |
   apsu śītatā | KVs_2,2.5 |	apsu SIta-tA | KVH-_2,2.5 |
   aparasmin paraṃ yugapad ayugapac ciraṃ kṣipram iti kālaliṅgāni | KVs_2,2.6	aparasmin param yugapad ayugapad ciram kzipram iti kAla-liFgAni | KVH-_2,2.6
   dravyatvanityatve vāyunā vyākhyāte | KVs_2,2.7 |	dravya-tva-nitya-tve vAyunA vyAKyAte | KVH-_2,2.7 |
   tattvaṃ bhāvena | KVs_2,2.8 |	tattvam BAvena | KVH-_2,2.8 |
   kāryaviśeṣeṇa nānātvam | KVs_2,2.9 |	kArya-viSezeNa nAnAtvam | KVH-_2,2.9 |
   nityeṣv abhāvād anityeṣu bhāvāt | KVs_2,2.10 |	nityezu aBAvAt anityezu BAvAt | KVH-_2,2.10 |
   kāraṇe kālākhyā | KVs_2,2.11 |	kAraNe kAla-AKyA | KVH-_2,2.11 |
   ita idam iti yatas tad diśo liṅgam | KVs_2,2.12 |	itas idam iti yatas tat diSaH liFgam | KVH-_2,2.12 |
   dravyatvanityatve vāyunā vyākhyāte | KVs_2,2.13 |	dravya-tva-nitya-tve vAyunA vyAKyAte | KVH-_2,2.13 |
   tattvaṃ bhāvena | KVs_2,2.14 |	tattvam BAvena | KVH-_2,2.14 |
   kāryaviśeṣeṇa nānātvam | KVs_2,2.15 |	kArya-viSezeNa nAnAtvam | KVH-_2,2.15 |
   ādityasaṃyogād bhūtapūrvād bhaviṣyato bhūtāc ca prācī | KVs_2,2.16 |	Aditya-saMyogAt BUta-pUrvAt BavizyataH BUtAt ca prAcI | KVH-_2,2.16 |
   tathā dakṣiṇā pratīcy udīci ca | KVs_2,2.17 |	taTA dakziNA pratIcI udIci ca | KVH-_2,2.17 |
   etena digantarāṇi vyākhyātāni | KVs_2,2.18 |	etena digantarANi vyAKyAtAni | KVH-_2,2.18 |
   sāmānyapratyakṣād viśeṣāpratyakṣād viśeṣasmṛteś ca saṃśayaḥ | KVs_2,2.19 |	sAmAnya-pratyakzAt viSeza-apratyakzAt viSeza-smRteH ca saMSayaH | KVH-_2,2.19 |
   dṛṣṭam adṛṣṭām | KVs_2,2.20 |	dRzwam adRzwAm | KVH-_2,2.20 |
   dṛṣṭaṃ ca dṛṣṭāvat | KVs_2,2.21 |	dRzwam ca dRzwAvat | KVH-_2,2.21 |
   dṛṣṭaṃ yathādṛṣṭām ayathādṛṣṭām ubhayathādṛṣṭatvāt | KVs_2,2.22 |	dRzwam yaTA-dRzwAm ayaTA-dRzwAm uBayaTA-adRzwa-tvAt | KVH-_2,2.22 |
   vidyāvidyātaś ca saṃśayaḥ | KVs_2,2.23 |	vidyA-avidyAtaH ca saMSayaH | KVH-_2,2.23 |
   śrotragrahaṇo yo 'rthaḥ sa śabdaḥ | KVs_2,2.24 |	Srotra-grahaNaH yaH arTaH sa SabdaH | KVH-_2,2.24 |
   tasmin dravyaṃ karma guṇa iti saṃśayaḥ | KVs_2,2.25 |	tasmin dravyam karma guNaH iti saMSayaH | KVH-_2,2.25 |
   tulyajātīyeṣv arthāntarabhūteṣu ca viśeṣasyobhayathā dṛṣṭatvāt |	tulya-jAtIyezu arTa-antara-BUtezu ca viSezasya-uBayaTA dRzwa-tvAt |
   KVs_2,2.26 |	KVH-_2,2.26 |
   ekadravyavattvān na dravyam | KVs_2,2.27 |	eka-dravyavat-tvAt na dravyam | KVH-_2,2.27 |
   acākṣuṣatvān na karma | KVs_2,2.28 |	acAkzuza-tvAt na karma | KVH-_2,2.28 |
   guṇasya sato 'pavargaḥ karmabhiḥ sādharmyam | KVs_2,2.29 |	guNasya sataH apavargaH karmaBiH sADarmyam | KVH-_2,2.29 |
   sato liṅgābhāvāt | KVs_2,2.30 |	sataH liFga-aBAvAt | KVH-_2,2.30 |
   nityavaidharmyāt | KVs_2,2.31 |	nitya-vEDarmyAt | KVH-_2,2.31 |
   kāryatvāt | KVs_2,2.32 |	kAryatvAt | KVH-_2,2.32 |
   abhāvāt | KVs_2,2.33 |	aBAvAt | KVH-_2,2.33 |
   kāraṇo vikārāt | KVs_2,2.34 |	kAraNaH vikArAt | KVH-_2,2.34 |
   doṣāt | KVs_2,2.35 |	dozAt | KVH-_2,2.35 |
   saṃyogād vibhāgāc chabdāc ca śabdaniṣpatteḥ | KVs_2,2.36 |	saMyogAt viBAgAt SabdAt ca Sabda-nizpatteH | KVH-_2,2.36 |
   liṅgāc cānityaḥ | KVs_2,2.37 |	liFgAt ca-anityaH | KVH-_2,2.37 |
   dvayos tu pravṛttyor abhāvāt | KVs_2,2.38 |	dvayoH tu pravRttyoH aBAvAt | KVH-_2,2.38 |
   saṃkhyābhāvāt | KVs_2,2.39 |	saMKyA-aBAvAt | KVH-_2,2.39 |
   prathamāśabdāt | KVs_2,2.40 |	praTamA-SabdAt | KVH-_2,2.40 |
   sampratipattibhāvāc ca | KVs_2,2.41 |	sampratipatti-BAvAt ca | KVH-_2,2.41 |
   sandigdhāḥ satibahutve | KVs_2,2.42 |	sandigDAH sati-bahutve | KVH-_2,2.42 |
   saṃkhyābhāvaḥ sāmānyataḥ | KVs_2,2.43 |	saMKyA-BAvaH sAmAnyatas | KVH-_2,2.43 |
   prasiddhā indriyārthāḥ | KVs_3,1.1 |	prasidDAH indriya-arTAH | KVH-_3,1.1 |
   indriyārthaprasiddhir indriyārthebhyo 'rthāntaratve hetuḥ | KVs_3,1.2 |	indriya-arTa-prasidDiH indriya-arTeByaH arTa-antara-tve hetuH | KVH-_3,1.2 |
   so 'napadeśaḥ | KVs_3,1.3 |	saH anapadeSaH | KVH-_3,1.3 |
   kāraṇājñānāt | KVs_3,1.4 |	kAraNa-ajQAnAt | KVH-_3,1.4 |
   kāryājñānāt | KVs_3,1.5 |	kArya-ajQAnAt | KVH-_3,1.5 |
   ajñānāc ca | KVs_3,1.6 |	ajQAnAt ca | KVH-_3,1.6 |
   anya eva hetur ity anapadeśaḥ | KVs_3,1.7 |	anyaH eva hetuH iti anapadeSaH | KVH-_3,1.7 |
   saṃyogi samavāyy ekārthasamavāyi virodhi ca, kāryaṃ kāryāntarasya, kāraṇaṃ	saMyogi samavAyi eka-arTa-samavAyi viroDi ca, kAryam kArya-antarasya, kAraNam
   kāraṇāntarasya, virodhy abhūtaṃ bhūtasya, bhūtam abhūtasya, abhūtam	kAraNa-antarasya, viroDi aBUtam BUtasya, BUtam aBUtasya, aBUtam
   abhūtasya, bhūtaṃ bhūtasya | KVs_3,1.8 |	aBUtasya, BUtam BUtasya | KVH-_3,1.8 |
   prasiddhapūrvakatvād apadeśasya | KVs_3,1.9 |	prasidDa-pUrvaka-tvAt apadeSasya | KVH-_3,1.9 |
   aprasiddho 'napadeśaḥ | KVs_3,1.10 |	aprasidDaH anapadeSaH | KVH-_3,1.10 |
   asan sandigdhaś cānapadeśaḥ | KVs_3,1.11 |	asan sandigDaH ca-anapadeSaH | KVH-_3,1.11 |
   viṣāṇī tasmād aśvo viṣāṇī tasmād gaur iti ca | KVs_3,1.12 |	vizANI tasmAt aSvaH vizANI tasmAt gOH iti ca | KVH-_3,1.12 |
   ātmendriyamano'rthasannikarṣād yan niṣpadyate tad anyat | KVs_3,1.13 |	Atma-indriya-manaH-arTa-sannikarzAt yat nizpadyate tat anyat | KVH-_3,1.13 |
   pravṛttinivṛttī ca pratyagātmani dṛṣṭe paratra liṅgam | KVs_3,1.14 |	pravRtti-nivRttI ca pratyagAtmani dRzwe paratra liFgam | KVH-_3,1.14 |
   ātmendriyārthasannikarṣe jñānasyābhāvo bhāvaś ca manaso liṅgam | KVs_3,2.1	Atma-indriya-arTa-sannikarze jQAnasya-aBAvaH BAvaH ca manasaH liFgam | KVH-_3,2.1
   dravyatvanityatve vāyunā vyākhyāte | KVs_3,2.2 |	dravya-tva-nitya-tve vAyunA vyAKyAte | KVH-_3,2.2 |
   prayatnāyaugapadyāj jñānāyaugapadyāc caikaṃ manaḥ | KVs_3,2.3 |	prayatna-ayOgapadyAt jQAna-ayOgapadyAt ca-ekam manaH | KVH-_3,2.3 |
   prāṇāpānanimeṣonmeṣajīvanamanogatīndriyāntaravikārāḥ sukhaduḥkhe	prANa-apAna-nimeza-unmeza-jIvana-manaH-gati-indriya-antara-vikArAH suKa-duHKe
   icchādveṣau prayatnaś cety ātmaliṅgāni | KVs_3,2.4 |	icCA-dvezO prayatnaH ca-iti Atma-liFgAni | KVH-_3,2.4 |
   dravyatvanityatve vāyunā vyākhyāte | KVs_3,2.5 |	dravya-tva-nitya-tve vAyunA vyAKyAte | KVH-_3,2.5 |
   yajñadatta iti sati sannikarṣe pratyakṣābhāvād dṛṣṭaṃ liṅgaṃ na vidyate |	yajQadattaH iti sati sannikarze pratyakza-aBAvAt dRzwam liFgam na vidyate |
   KVs_3,2.6 |	KVH-_3,2.6 |
   sāmānyatodṛṣṭāc cāviśeṣaḥ | KVs_3,2.7 |	sAmAnyatodRzwAt ca-aviSezaH | KVH-_3,2.7 |
   tasmād āgamikam | KVs_3,2.8 |	tasmAt Agamikam | KVH-_3,2.8 |
   aham iti śabdavyatirekān nāgamikam | KVs_3,2.9 |	aham iti Sabda-vyatirekAn na-Agamikam | KVH-_3,2.9 |
   yadi ca dṛṣṭapratyakṣo 'haṃ devadatto 'haṃ yajñadatta iti | KVs_3,2.10 |	yadi ca dRzwa-pratyakzaH aham devadattaH aham yajQadattaH iti | KVH-_3,2.10 |
   devadatto gacchati viṣṇumitro gacchatīti copacārāc charīrapratyakṣaḥ |	devadattaH gacCati vizNu-mitraH gacCati-iti ca-upacArAt SarIra-pratyakzaH |
   KVs_3,2.11 |	KVH-_3,2.11 |
   sandigdhas tūpacāraḥ | KVs_3,2.12 |	sandigDaH tu-upacAraH | KVH-_3,2.12 |
   aham iti pratyagātmani bhāvāt paratrābhāvād arthāntarapratyakṣaḥ |	aham iti pratyagAtmani BAvAt paratra-aBAvAt arTa-antara-pratyakzaH |
   KVs_3,2.13 |	KVH-_3,2.13 |
   na tu śarīraviśeṣād yajñadattaviṣṇumitrayor jñānaviśeṣaḥ | KVs_3,2.14 |	na tu SarIra-viSezAt yajQadatta-vizNu-mitrayoH jQAna-viSezaH | KVH-_3,2.14 |
   sukhaduḥkhajñānaniṣpattyaviśeṣād aikātmyam | KVs_3,2.15 |	suKa-duHKa-jQAna-nizpatti-aviSezAt EkAtmyam | KVH-_3,2.15 |
   nānā vyavasthātaḥ | KVs_3,2.16 |	nAnA vyavasTAtaH | KVH-_3,2.16 |
   śāstrasāmarthyāc ca | KVs_3,2.17 |	SAstra-sAmarTyAt ca | KVH-_3,2.17 |
   sad akāraṇavat tan nityam | KVs_4,1.1 |	sat akAraNa-vat tat nityam | KVH-_4,1.1 |
   tasya kāryaṃ liṅgam | KVs_4,1.2 |	tasya kAryam liFgam | KVH-_4,1.2 |
   kāraṇabhāvād dhi kāryabhāvaḥ | KVs_4,1.3 |	kAraNa-BAvAt Di kArya-BAvaH | KVH-_4,1.3 |
   anityam iti ca viśeṣapratiṣedhabhāvaḥ | KVs_4,1.4 |	anityam iti ca viSeza-pratizeDa-BAvaH | KVH-_4,1.4 |
   avidyā ca | KVs_4,1.5 |	avidyA ca | KVH-_4,1.5 |
   mahaty anekadravyavattvād rūpāc copalabdhiḥ | KVs_4,1.6 |	mahatI aneka-dravyavat-tvAt rUpAt ca-upalabDiH | KVH-_4,1.6 |
   adravyavattvāt paramāṇāv anupalabdhiḥ | KVs_4,1.7 |	adravyavat-tvAt paramANO anupalabDiH | KVH-_4,1.7 |
   rūpasaṃskārābhāvād vāyāv anupalabdhiḥ | KVs_4,1.8 |	rUpa-saMskAra-aBAvAt vAyO anupalabDiH | KVH-_4,1.8 |
   anekadravyeṇa dravyeṇa samavāyād rūpaviśeṣāc copalabdhiḥ | KVs_4,1.9 |	aneka-dravyeNa dravyeNa samavAyAt rUpa-viSezAt ca-upalabDiH | KVH-_4,1.9 |
   etena rasagandhasparśeṣu jñānaṃ vyākhyātam | KVs_4,1.10 |	etena rasa-ganDa-sparSezu jQAnam vyAKyAtam | KVH-_4,1.10 |
   tadabhāvād avyabhicāraḥ | KVs_4,1.11 |	tad-aBAvAt avyaBicAraH | KVH-_4,1.11 |
   saṃkhyāḥ parimāṇāni pṛthaktvaṃ saṃyogavibhāgau paratvāparatve karma ca	saMKyAH parimANAni pRTaktvam saMyoga-viBAgO paratva-aparatve karma ca
   rūpidravyasamavāyāc cākṣuṣāṇi | KVs_4,1.12 |	rUpi-dravya-samavAyAt cAkzuzANi | KVH-_4,1.12 |
   arūpiṣv acākṣuṣatvāt | KVs_4,1.13 |	arUpizu acAkzuza-tvAt | KVH-_4,1.13 |
   etena guṇatve bhāve ca sarvendriyajñānaṃ vyākhyātam | KVs_4,1.14 |	etena guNa-tve BAve ca sarva-indriya-jQAnam vyAKyAtam | KVH-_4,1.14 |
   pratyakṣāpratyakṣāṇām apratyakṣatvāt saṃyogasya pañcātmakaṃ na vidyate |	pratyakza-apratyakzANAm apratyakza-tvAt saMyogasya paQca-Atmakam na vidyate |
   KVs_4,2.1 |	KVH-_4,2.1 |
   guṇāntarāprādurbhāvāc ca tryātmakam api na | KVs_4,2.2 |	guNa-antara-aprAdurBAvAt ca tri-Atmakam api na | KVH-_4,2.2 |
   ātmasaṃyogas tv avipratiṣiddho mithaḥ pañcānām | KVs_4,2.3 |	Atma-saMyogaH tu avipratizidDaH miTas paQcAnAm | KVH-_4,2.3 |
   anekadeśapūrvakatvāt | KVs_4,2.4 |	aneka-deSa-pUrvaka-tvAt | KVH-_4,2.4 |
   dharmaviśeṣāt | KVs_4,2.5 |	Darma-viSezAt | KVH-_4,2.5 |
   kāryaviśeṣāt | KVs_4,2.6 |	kArya-viSezAt | KVH-_4,2.6 |
   samākhyābhāvāt | KVs_4,2.7 |	samAKyA-BAvAt | KVH-_4,2.7 |
   saṃjñādimattvāt | KVs_4,2.8 |	saMjQA-AdimattvAt | KVH-_4,2.8 |
   santy ayonijā vedaliṅgāc ca | KVs_4,2.9 |	santi ayonijA veda-liFgAt ca | KVH-_4,2.9 |
   ātmasaṃyogaprayatnābhyāṃ haste karma | KVs_5,1.1 |	Atma-saMyoga-prayatnAByAm haste karma | KVH-_5,1.1 |
   tathā musalakarma hastasaṃyogāc ca | KVs_5,1.2 |	taTA musala-karma hasta-saMyogAt ca | KVH-_5,1.2 |
   abhighātaje musalakarmaṇi vyatirekād akāraṇaṃ hastasaṃyogaḥ | KVs_5,1.3 |	aBiGAta-je musala-karmaNi vyatirekAt akAraNam hasta-saMyogaH | KVH-_5,1.3 |
