   BhG 1.1	Bhu 1.1
   ādi puruṣaḥ kaścit kuru nāmā babhūva | tasya kuror dharma sthāne māmakā	Adi puruzaH kaScid kuru nAmA baBUva | tasya kuroH Darma sTAne mAmakA
   mat putrāḥ pāṇḍu putrāś ca yuyutsavo yoddhum icchantaḥ samavetāḥ militāḥ	mat  putrAH pANxu  putrAH ca yuyutsavaH yodDum icCantaH samavetAH militAH
   santaḥ kim akurvata kiṃ kṛtavantaḥ ||1||	santaH kim akurvata kim kRtavantaH ||1||
   Viśvanāthaḥ  	ViSvanATaH  
   gaurāṃśukaḥ sat kumuda pramodī	gOra aMSukaH sat kumuda pramodI
   svābhikhyayā gos tamaso nihantā |	sva aBiKyayA gos tamasaH nihantA |
   śrī kṛṣṇa caitanya sudha nidhir me	SrI  kRzNa  cEtanya  suDa  niDiH me
   mano 'dhitiṣṭhan svaratiṃ karotu ||	manaH aDitizWan svaratim karotu ||
   prācīna vācaḥ suvicārya so 'ham	prAcIna vAcaH su vicArya saH aham
   ajño 'pi gītāmṛta leśa lipsuḥ |	ajQaH api gIta amRta leSa  lipsuH |
   yateḥ prabhor eva mate tad atra	yateH praBoH eva mate tat atra
   santaḥ kṣamadhvaṃ śaraṇāgatasya ||	santaH kzamaDvam SaraNa Agatasya ||
   iha khalu sakala śāstrābhimata śrīmac caraṇa saroja bhajanaḥ svayaṃ	iha Kalu sakala  SAstra aBimata  SrImac  caraNa  saroja  BajanaH svayam
   bhagavān narākṛti para brahma śrī vasudeva sūnuḥ sākṣāc chrī gopāla puryām	BagavAn nara AkRti para brahma  SrI vasudeva  sUnuH sAkzAc  SrI  gopAla puryAm
   avatīryāpāra paramātarkya prāpañcika sakala locana gocarīkṛto	avatIrya apAra  paramAtarkya  prApaQcika sakala  locana  gocarIkRtaH 
   bhavābdhi nimajjamānān jagaj janān udhṛtya sva saundarya mādhuryāsvādanayā	Bava abDi  nimajjamAnAn jagaj janAn uDRtya sva  sOndarya  mADurya AsvAdanayA
   svīya prema mahāmbudhau nimajjayāmāsa |	svIya  prema  mahA ambuDO nimajjayAmAsa |
   śiṣṭa rakṣā duṣṭa nigraha vrata niṣṭhā mahiṣṭha pratiṣṭho 'pi bhuvo	Sizwa rakzA duzwa  nigraha vrata  nizWA  mahizWa  pratizWaH api Buvo
   bhāra duḥkhāpahāra miṣeṇa duṣṭānām api sva dveṣṭṝṇām api	BAra  duHKa apahAra mizeNa duzwAnAm api sva dvezwLNAm api
   mahā saṃsāra grāsībhūtānām api mukti dāna lakṣaṇaṃ parama rakṣaṇam eva	mahA  saMsAra  grAsI BUtAnAm api mukti  dAna  lakzaNam parama  rakzaNam eva
   kṛtvā svāntardhānottara kāla janiṣyamāṇān	kRtvA sva antarDAna uttara  kAla janizyamANAn
   anādy avidyā bandha nibadnhana śoka mohādyākulān api jīvān uddhartuṃ	anAdy a vidyA a banDa  nibadnhana  Soka  moha Adi AkulAn api jIvAn udDartum
   śāstra kṛn muni gaṇa gīyamāna yaśaś ca dhartuṃ sva priya sakhaṃ	SAstra  kRn  muni gaNa gIyamAna yaSaH ca Dartum sva  priya  saKam
   tādṛśa svecchā vaśād eva raṇa mūrdhany udbhūta śoka mohaṃ śrīmad arjunaṃ	tAdRSa  sva icCA  vaSAt eva raNa  mUrDani udBUta Soka  moham SrImat  arjunam
   lakṣyīkṛtya	lakzyIkRtya
   kāṇḍa tritayātmaka sarva veda tātparya paryavasitārtha ratnālaṅkṛtaṃ	kANxa tritaya Atmaka  sarva veda  tAtparya  paryavasita arTa  ratna alaFkRtam
   śrī gītā śāstram aṣṭādaśādhyāyam	SrI  gItA  SAstram azwAdaSa aDyAyam
   antarbhūtāṣṭādaśa vidyaṃ sākṣād vidyamānīkṛtam iva parama puruṣārtham	antarBUta azwAdaSa vidyam sAkzAt vidyamAnIkRtam iva parama  puruza arTam
   āvirbhāvayāmbabhūva |	AvirBAvaya ambaBUva |
   tatrādhyāyānāṃ ṣaṭkenan prathamena niṣkāma karma yogaḥ | dvitīyena	tatra aDyAyAnAm zawkenan praTamena nizkAma karma yogaH | dvitIyena
   bhakti yogaḥ | tṛtīyena jñāna yogo darśitaḥ | tatrāpi	Bakti yogaH | tRtIyena jQAna  yogaH darSitaH | tatra api
   bhakti yogasyātirahasyatvād ubhaya saṅjīvakatvenābhyarhitatvāt	Bakti yogasya ati rahasya tvAt uBaya  saFjIvaka tvena aByarhita tvAt 
   sarva durlabhatvāc ca madhyavartīkṛtaḥ | karma jñānayor bhakti rāhityena	sarva  durlaBa tvAt ca maDya vartIkRtaH | karma   jQAnayoH Bakti rAhityena
   vaiyarthyāt te dve bhakti miśre eva sammatīkṛte |	vEyarTyAt te dve Bakti  miSre eva sammatIkRte |
   bhaktis tu dvividhā kevalā pradhānībhūtā ca | tatrādyā svata eva	BaktiH tu dviviDA kevalA praDAnIBUtA ca | tatra AdyA svatas eva
   parama prabalā | te dve karma jñāne vinaiva viśuddha prabhāvatī akiñcanā	parama  prabalA | te dve karma  jQAne vinA eva viSudDa  praBAvatI akiQcanA
   ananyādi śabda vācyā | dvitīyā tu karma jñāna miśrety akhilam agre	ananyAdi  Sabda vAcyA | dvitIyA tu karma  jQAna miSra iti aKilam agre
   vivṛtībhaviṣyati |	vivRtIBavizyati |
   athārjunasya śoka mohau kathambhūtāv ity apekṣāyāṃ mahābhārata vaktā	aTa arjunasya Soka mohO kaTamBUtO iti apekzAyAm mahABArata vaktA
   śrī vaiśampāyano janamejayaṃ prati tatra bhīṣma parvaṇi kathām avatārayati	SrI vESampAyanaH janamejayam prati tatra BIzma parvaNi kaTAm avatArayati
   dhṛtarāṣṭra uvāca iti | kurukṣetre yuyutsavo yuddhārthaṃ saṅgatā māmakā	DRtarAzwraH uvAca iti | kurukzetre yuyutsavaH yudDa arTam saFgatA mAmakA
   duryodhanādyāḥ pāṇḍavāś ca yudhiṣṭhirādayaḥ kiṃ kṛtavantas tad brūhi |	duryoDana AdyAH pANxavAH ca yuDizWira AdayaH kim kRtavantaH tat brUhi |
   nanu yuyutsava iti tvaṃ bravīṣy evāto yuddham eva kartum udyatās te tad	nanu yuyutsavaH iti tvam bravIzi eva atas yudDam eva kartum udyatAH te tat 
   api kim akurvateti kenābhiprāyeṇa pṛcchasīty ata āha dharmakṣetra iti |	api kim akurvata iti kena aBiprAyeNa pRcCasi iti atas Aha Darma kzetraH iti |
   kurukṣetraṃ deva yajanam iti śrutes tat kṣetrasya dharma pravartakatvaṃ	kurukzetram deva  yajanam iti SruteH tat kzetrasya Darma  pravartaka tvam
   prasiddham |	prasidDam |
   atas tat saṃsarga mahimnā yady adharmikāṇām api duryodhanādīnāṃ	atas tat  saMsarga  mahimnA yadi aDarmikANAm api duryoDana AdInAm
   krodha nivṛttyā dharme matiḥ syāt | pāṇḍavās tu svabhāvata eva dhārmikās	kroDa  nivRttyA Darme matiH syAt | pANxavAH tu svaBAvataH eva DArmikAs
   tato bandhu hiṃsanam anucitam ity ubhayeṣām api viveke udbhūte sandhir api	tatas banDu  hiMsanam anucitam iti uBayezAm api viveke udBUte sanDiH api
   sambhāvyate | tataś ca mamānanda eveti sañjayaṃ prati jñāpayitum iṣṭo	samBAvyate | tatas ca mama AnandaH eva iti saQjayam prati jQApayitum izwaH 
   bhāvo bāhyaḥ | ābhyantaras tu sandhau sati pūrvavat sakaṇṭakam eva rājyaṃ	BAvaH bAhyaH | AByantaraH tu sanDO sati pUrvavat sa kaNwakam eva rAjyam
   mad ātmajānām iti me durvāra eva viṣādaḥ | tasmād asmākīno bhīṣmas tv	mad AtmajAnAm iti me durvAraH eva vizAdaH | tasmAt asmAkInaH BIzmaH tu 
   arjunena durjaya evety ato yuddham eva śreyas tad eva bhūyād iti tu	arjunena durjayaH eva iti atas yudDam eva SreyaH tat eva BUyAt iti tu
   tan manorathopayogī durlakṣyaḥ |	tan  manoraTa upayogI durlakzyaH |
   atra dharma kṣetre iti kṣetra padena dharmasya dharmāvatārasya	atra Darma kzetre iti kzetra padena Darmasya Darma avatArasya
   saparikara yudhiṣṭhirasya dhānyasthānīyatvam | tat pālakasya śrī kṛṣṇasya	sa parikara  yuDizWirasya DAnya sTAnIya tvam | tat pAlakasya SrI  kRzNasya
   kṛṣi bala sthānīyatvam | kṛṣṇa kṛta nānā vidha sāhāyyasya	kRzi bala  sTAnIya tvam | kRzNa kRta nAnA a viDa  sAhAyyasya
   jala secana setu bandhanādi sthānīyatvam |	jala secana setu  banDana Adi sTAnIya tvam |
   śrī kṛṣṇa saṃhārya duryodhanāder	SrI kRzNa  saMhArya  duryoDana AdeH 
   dhānya dveṣi dhānyākāra tṛṇa viśeṣa sthānīyatvaṃ ca bodhitaṃ sarasvatyā	DAnya  dvezi  DAnya AkAra tRNa  viSeza  sTAnIya tvam ca boDitam sarasvatyA
   Baladevaḥ   	BaladevaH   
   satyānantācintya śakty eka pakṣe	satya ananta acintya  Sakti  eka  pakze
   sarvādhyakṣe bhakta rakṣātidakṣe |	sarva aDyakze Bakta rakzA ati dakze |
   śrī govinde viśva sargādi kaṇḍe	SrI   govinde viSva sarga Adi kaNxe
   pūrṇānande nityam āstāṃ matir me ||	pUrNa Anande nityam AstAm matiH me ||
   ajñāna nīradhir upaiti yayā viśeṣaṃ	ajQAna  nIraDiH upEti yayA viSezam
   bhaktiḥ parāpi bhajate paripoṣam uccaiḥ |	BaktiH parA api Bajate paripozam uccEs |
   tattvaṃ paraṃ sphurati durgamam apy ajasraṃ	tattvam param sPurati durgamam api ajasram
   sādguṇya bhṛt svaracitāṃ praṇamāmi gītām ||	sAdguNya BRt svara citAm praNamAmi gItAm ||
   atha sukha cid ghanaḥ svayaṃ bhagavān acintya śaktiḥ puruṣottamaḥ	aTa suKa cit  GanaH svayam BagavAn acintya  SaktiH puruzottamaH
   sva saṅkalpāyatta vicitra jagad udayādi viriñcy ādi sañcintya caraṇaḥ	sva  saFkalpa Ayatta  vicitra  jagat  udaya Adi  viriQcy Adi saQcintya  caraNaH
   sva janmādi līlayā sva tulyān sahāvirbhūtān pārṣadān praharṣayaṃs tayaiva	sva  janma Adi  lIlayA sva  tulyAn saha AvirBUtAn pArzadAn praharzayan tayA eva
   jīvān bahūn avidyāśārdūlīvadanād vimocya svāntardhānottara bhāvino	jIvAn bahUn avidyA SArdUlI vadanAt vimocya sva antarDAna uttara  BAvinaH 
   'nyānuddidhīrṣur āhava mūrdhni svātma bhūtam apy arjunam	anyAn uddiDIrzuH Ahava  mUrDni sva Atma  BUtam api arjunam
   avitarkya sva śaktyā samoham iva kurvan tan moha vimārjanāpadeśena	avitarkya  sva  SaktyA sa moham iva kurvan tan  moha  vimArjana apadeSena
   saparikara svātma yāthātmyaika nirūpikāṃ sva gītopaniṣadam upādiśat |	sa parikara svAtma yATAtmya eka nirUpikAm sva  gIta upanizadam upAdiSat |
   tasyāṃ khalv īśvara jīva prakṛti kāla karmāṇi pañcārthā varṇyante | teṣu	tasyAm Kalu ISvara  jIva  prakRti kAla karmANi paQcArTAH varNyante | tezu
   vibhu saṃvid īśvaraḥ | aṇu saṃvij jīvaḥ | sattvādi guṇa trayāśrayo dravyaṃ	viBu  saMvid ISvaraH | aNu  saMvid jIvaH | sattva Adi  guNa  traya ASrayaH dravyam
   prakṛtiḥ | traiguṇya śūnyaṃ jaḍa dravyaṃ kālaḥ | puṃ prayatna niṣpādyam	prakRtiH | trEguNya  SUnyam jaxa dravyam kAlaH | puM  prayatna  nizpAdyam
   adṛṣṭādi śabda vācyaṃ karmeti |	adRzwa Adi Sabda  vAcyam karma iti |
   teṣāṃ lakṣaṇāni | eṣv īśvarādīni catvāri nityāni | jīvādīni tv	tezAm lakzaNAni | ezu ISvara AdIni catvAri nityAni | jIva AdIni tu 
   īśvara vaśyāni | karma tu prāg abhāvavad anādi vināśi ca | tatra	ISvara  vaSyAni | karma tu prAk  aBAva vat anAdi vinASi ca | tatra
   saṃvit svarūpo 'pīśvaro jīvaś ca saṃvettāsmad arthaś ca   vijñānam ānandaṃ	saMvit  svarUpaH api ISvaraH jIvaH ca saMvetta asmad  arTaH ca  vijQAnam Anandam
   brahma, yaḥ sarvajñaḥ sarvavit, mantā boddhā kartā vijānātmā puruṣaḥ, ity	brahma, yaH sarvajQaH sarva vit, mantA bodDA kartA vijAnAtmA puruzaH, iti 
   ādi śruteḥ | so 'kāmayata bahu syām, sukham aham asvāpsaṃ na kiñcid	Adi SruteH | saH akAmayata bahu syAm, suKam aham asvApsam na kiQcid 
   avediṣam ity ādi śruteś ca | na cobhayatra mahat tattva jāto 'yam	avedizam iti Adi SruteH ca | na ca uBayatra mahat  tattva  jAtaH ayam
   ahaṅkāraḥ |	ahaFkAraH |
   tadā tasyānutpatter vilīnatvāc ca | sa ca sa ca kartā bhoktā siddhaḥ	tadA tasya anutpatteH vilIna tvAt ca | sa ca sa ca kartA BoktA sidDaH
   sarvajñaḥ sarva vit kartā boddhā iti padebhyaḥ | anubhavitṛtvaṃ kahlu	sarvajQaH sarva vid kartA bodDAH iti padeByaH | anuBavitR tvam kahlu
   bhoktṛtvaṃ sarvābhyupagatam | so 'śnute sarvān kāmān saha brahmaṇā	BoktR tvam sarva aByupagatam | saH aSnute sarvAn kAmAn saha brahmaNA
   vipaścitā iti śrutes tūbhayos tat pravyaktam | yadyapi saṃvit svarūpāt	vipaScitAH iti SruteH tu uBayoH tat pravyaktam | yadi api saMvit  svarUpAt 
   saṃvettṛtvādi nānyat prakāśa svarūpād raver iva prakāśakatvādi, tathāpi	saMvettR tva Adi na anyat prakASa  svarUpAt raveH iva prakASaka tva Adi, taTA api
   viśeṣa sāmarthyāt tad anyatva vyavahāraḥ | viśeṣaś ca bheda pratinidhir na	viSeza  sAmarTyAt tad  anya tva  vyavahAraH | viSezaH ca Beda  pratiniDiH na
   bhedaḥ | sa ca bhedābhāve 'pi bheda kāryasya	BedaH | sa ca Beda aBAve api Beda  kAryasya
   dharma dharmi bhāvādi vyavahārasya hetuḥ |sattā satī bhedo bhinnaḥ kālaḥ	Darma Darmi  BAva Adi  vyavahArasya hetuH |sattA satI BedaH BinnaH kAlaH
   sarvadāstīty ādiṣu vidvadbhiḥ pratītaḥ | tat pratīty anyathānupapattyā  	sarvadA asti iti Adizu vidvadBiH pratItaH | tat prati iti  anyaTA anupapattyA  
   evaṃ dharmān pṛthak paśyaṃs	evam DarmAn pRTak paSyan= 
   tān evānuvidhāvati iti śrutyā ca siddhaḥ | iha hi brahma dharmān abhidhāya	tAn eva anuviDAvati iti SrutyA ca sidDaH | iha hi brahma DarmAn aBiDAya
   tad bhedaḥ pratiṣidhyate |	tad  BedaH pratiziDyate |
   na khalu bheda pratinidhes tasyāpy abhāve	na Kalu Beda  pratiniDeH tasya api aBAve
   dharma dharmi bhāva dharma bahutve śakye vaktum ity anicchubhir api	Darma Darmi  BAva  Darma  bahu tve Sakye vaktum iti anicCuBiH api
   svīkāryāḥ syuḥ ta ime 'rthāḥ śāstre 'smin yathāsthānam anusandheyāḥ | iha	svIkAryAH syuH te ime arTAH SAstre asmin yaTAsTAnam anusanDeyAH | iha
   hi jīvātma paramātma tad dhāma tat prāpty upāyānāṃ svarūpāṇi yathāvan	hi jIvAtma  paramAtma tad DAma tat  prApti  upAyAnAm svarUpANi yaTAvan
   nirūpyante | tatra jīvātma yāthātmya paramātma yāthātmyopayogitayā	nirUpyante | tatra jIvAtma yATAtmya  paramAtma yATAtmya upayogi tayA
   paramātma yāthātmyaṃ tu tad upāsanopayogitayā prakṛtyādikaṃ tu	paramAtma yATAtmyam tu tad  upAsana upayogi tayA prakRti Adikam tu
   paramātmanaḥ sraṣṭur upakaraṇatayopadiśyate |	paramAtmanaH srazwuH upakaraNa tayA upadiSyate |
   tad upāyāś ca karma jñāna bhakti bhedāt tredha | tatra	tad  upAyAH ca karma  jQAna  Bakti BedAt treDaH | tatra
   śruta tat tat phalanair apekṣeṇa kartṛtvābhiniveśa parityāgena	Sruta  tat tat  PalanEH apekzeNa kartR tva aBiniveSa  parityAgena
   cānuṣṭhitasya sva vihitasya karmaṇaḥ hṛd viśuddhi dvārā jñāna bhaktyor	ca anuzWitasya sva  vihitasya karmaNaH hRd  viSudDi  dvArA jQAna  BaktyoH 
   upakāritvāt paramparayā tat prāptāv upāyatvam | tac ca śruti vihita karma	upakAri tvAt paramparayA tat  prAptO upAya tvam | tat ca Sruti vihita karma
   hiṃsā śūnyam atra mukhyam | mokṣa dharme pitā putrādi saṃvādāt hiṃsāvat tu	hiMsA  SUnyam atra muKyam | mokza Darme pitA  putra Adi saMvAdAt hiMsA vat tu
   gauṇaṃ viprakṛṣṭatvāt tayos tu sākṣād eva tathātvam |	gONam viprakRzwa tvAt tayoH tu sAkzAt eva taTAtvam |
   nanu, tathānuṣṭhitena karmaṇā hṛd viśuddhyā jñānodayena muktau satyāṃ	nanu, taTA anuzWitena karmaNA hRd viSudDyA jQAna udayena muktO satyAm
   bhaktyā ko viśeṣaḥ | ucyate, jñānam eva kiñcid viśeṣād bhaktir iti |	BaktyA kaH viSezaH | ucyate, jQAnam eva kiQcid viSezAt BaktiH iti |
   nirṇimeṣa vīkṣaṇa kaṭākṣa vīkṣaṇa vadanayor antaraṃ	nirNimeza vIkzaNa  kawAkza  vIkzaNa  vadanayoH antaram
   cid vigrahatayānusandhir jñānaṃ tena tat sālokyādiḥ |	cit  vigraha tayA anusanDiH jQAnam tena tat sAlokya AdiH |
   vicitra līlā rasāśrayatayānusandhis tu bhaktis tayā	vicitra  lIlA rasa ASraya tayA anusanDiH tu BaktiH tayA
   kroḍīkṛta sālokyādi tad varīvasyānanda lābhaḥ pumarthaḥ | bhakter	kroxIkRta sAlokya Adi  tad  varIvasi a Ananda  lABaH pum arTaH | BakteH 
   jñānatvaṃ tu "sac cid ānandaika rase bhakti yoge tiṣṭhati" iti śruteḥ	jQAna tvam tu "sac cit  A Ananda eka  rase Bakti  yoge tizWati" iti SruteH
   siddham |	sidDam |
   tad idaṃ śravaṇādi bhāvādi śabda vyapadiṣṭaṃ dṛṣṭam | jñānasya	tat idam SravaNa Adi BAva Adi Sabda  vyapadizwam dRzwam | jQAnasya
   śravaṇādyākāratvaṃ cit sukhasya viṣṇoḥ kuntalādi pratīkatvavat	SravaNa Adi AkAra tvam cit suKasya vizNoH kuntala Adi pratIka tva vat 
   pratyetavyam iti vakṣyāmaḥ | ṣaṭ trike 'smin śāstre prathamena	pratyetavyam iti vakzyAmaH | zaw trike asmin SAstre praTamena
   ṣaṭkeneśvarāṃśasya jīvasyāṃśīśvara bhakty upayogi svarūpa darśanam | tac	zawkena ISvara aMSasya jIvasya aMSISvara Bakti  upayogi  svarUpa darSanam | tat 
   cāntar gata jñāna niṣkāma karma sādhyaṃ nirūpyate | madhyena	ca antar gata  jQAna  nizkAma  karma  sADyam nirUpyate | maDyena
   parama prāpyasyāṃśīśvarasya prāpaṇī bhaktis	parama   prApyasya aMSI ISvarasya prApaNI Baktis
   tan mahima dhī pūrvikābhidhīyate | antyena tu pūrvoditānām eveśvarādīnāṃ	tan  mahima DI  pUrvikA aBiDIyate | antyena tu pUrva uditAnAm eva ISvara AdInAm
   svarūpāṇi pariśodhyante | trayāṇāṃ ṣaṭkānāṃ	svarUpANi pariSoDyante | trayANAm zawkAnAm
   karma bhakti jñāna pūrvatā vyapadeśas tu tat tat prādhānyenaiva | carame	karma  Bakti  jQAna  pUrva tA  vyapadeSaH tu tat tat  prADAnyena eva | carame
   bhakteḥ pratipatteś coktis tu	BakteH pratipatteH ca uktiH tu
   ratna sampuṭordhva likhita tat sūcaka lipi nyāyena |	ratna  sampuwa UrDva  liKita tat  sUcaka  li pi nyAyena |
   asya śāstrasya śraddhāluḥ sad dharma niṣṭho vijitendriyo 'dhikārī | sa ca	asya SAstrasya SradDAluH sad Darma  nizWaH vijita indriyaH aDikArI | sa ca
   sa niṣṭha pariniṣṭhita nirapekṣa bhedāt trividhaḥ | teṣu svargādi lokān	sa nizWa  parinizWita  nirapekza  BedAt triviDaH | tezu svarga Adi  lokAn
   api didṛkṣr niṣṭhayā sva dharmān hary arcana rūpān ācaran prathamaḥ |	api didRkzH nizWayA sva  DarmAn hari  arcana  rUpAn Acaran praTamaH |
   loka saṃjighṛkṣayā tān ācaran hari bhakti nirato dvitīyaḥ | sa ca sa ca	loka  saMjiGRkzayA tAn Acaran hari Bakti nirataH dvitIyaH | sa ca sa ca
   sāśramaḥ | satya tapo japādibhir viśuddha citto hary eka niratas tṛtīyo	sa ASramaH | satya   tapo japa AdiBiH viSudDa cittaH hari  eka  nirataH tRtIyaH 
   nirāśramaḥ | vācya vācaka bhāvaḥ sambandhaḥ | vācya ukta lakṣaṇaḥ	nirASramaH | vAcya vAcaka BAvaH sambanDaH | vAcyaH ukta  lakzaNaH
   śrī kṛṣṇaḥ | vācakas tad gītā śāstraṃ tādṛśaḥ so 'tra viṣayaḥ |	SrI  kRzNaH | vAcakaH tad  gItA  SAstram tAdRSaH saH atra vizayaH |
   aśeṣa kleśa nivṛtti pūrvakas tat sākṣāt kāras	aSeza   kleSa  nivRtti  pUrvakaH tat sAkzAt kAra H 
   tu prayojanam ity anubandha catuṣṭayam | atreśvarādiṣu triṣu brahma śabdo	tu prayojanam iti anubanDa  catuzwayam | atra ISvara Adizu trizu brahma  SabdaH 
   'kṣara śabdaś ca baddha jīveṣu tad deheṣu ca kṣara śabdaḥ |	akzara  SabdaH ca badDa jIvezu tad  dehezu ca kzara  SabdaH |
   īśvara jīva dehe manasi buddhau dhṛtau yatne cātma śabdaḥ | triguṇāyāṃ	ISvara jIva  dehe manasi budDO DRtO yatne ca Atma  SabdaH | triguNAyAm
   vāsanāyāṃ śīle svarūpe ca prakṛti śabdaḥ |	vAsanAyAm SIle svarUpe ca prakRti SabdaH |
   sattābhiprāya svabhāva padārtha janmasu kriyāsv ātmasu ca bhāva śabdaḥ |	sattA aBiprAya  svaBAva  padArTa  janmasu kriyAsu Atmasu ca BAva  SabdaH |
   karmādiṣu triṣu citta vṛtti nirodhe ca yoga śabdaḥ paṭhyate | etac	karma Adizu trizu citta vRtti niroDe ca yoga  SabdaH paWyate | etat 
   chāstraṃ khalu svayaṃ bhagavataḥ sākṣād vacanaṃ sarvataḥ śreṣṭhaṃ   	CAstram Kalu svayam BagavataH sAkzAt vacanam sarvatas SrezWam   
   gītā sugītā kartavyā kim anyaiḥ śāstra vistaraiḥ |	gItA sugItA kartavyA kim anyEH SAstra  vistarEH |
   yā svayaṃ padmanābhasya mukha padmād viniḥsṛtā || iti pādmāt |	yA svayam padmanABasya muKa  padmAt viniHsRtAH || iti pAdmAt |
   dhṛtarāṣṭrādi vākyaṃ tu tat saṅgati lābhāya dvaipāyanena viracitam | tac	DRtarAzwra Adi  vAkyam tu tat saFgati  lABAya dvEpAyanena viracitam | tat 
   ca lavaṇākara nipāta nyāyena tan mayam ity upodghātaḥ |	ca lavaNa Akara  nipAta  nyAyena tan mayam iti upodGAtaH |
   saṅgrāma mūrdhni saṃvādo	saFgrAma  mUrDni saMvAdaH 
   yo 'bhūd govinda pārthayoḥ |	yaH aBUt govinda  pArTayoH |
