   Carmavastu	Carma-vastu
   jāyante duhitaraś ca / sa caivam āyācanaparas tiṣṭhati / anyatamaś (MSV IV	jAyante duhitaraH ca / sa ca-evam AyAcana-paraH tizWati / anyatamaH (MSV IV
   160) ca satvaś caramabhavikaś caritaiṣī gṛhītamokṣamārgo 'ntarmukho	160) ca satvaH carama-BavikaH carita-ezI gRhIta-mokza-mArgaH antarmuKaH-
   nirvāṇe bahirmukhaḥ saṃsārād anarthikaḥ sarvabhavagaticyutyupapattiṣu	nirvANe bahirmuKaH saMsArAt anarTikaH sarva-Bava-gati-cyuti-upapattizu
   antimadehadhārī anyatamasmād devanikāyāc cyutvā tasyāḥ prajāpatyāḥ kukṣim	antima-deha-DArI anyatamasmAt deva-nikAyAt cyutvA tasyAH prajApatyAH kukzim
   avakrāntaḥ / paṃcāveṇikā dharmā ekatye paṇḍitajātīye mātṛgrāme / katame	avakrAntaH / paMcAveNikAH DarmAH ekatye paNxita-jAtIye mAtR-grAme / katame
   paṃca / raktaṃ puruṣaṃ jānāti / viraktaṃ jānāti / kālaṃ jānāti ṛtuṃ jānāti	paMca / raktam puruzam jAnAti / viraktam jAnAti / kAlam jAnAti Rtum jAnAti
   / garbham avakrāntaṃ jānāti / yasya sakāśād garbham avakrāmati taṃ jānāti	/ garBam avakrAntam jAnAti / yasya sakASAt garBam avakrAmati tam jAnAti
   / dārakaṃ jānāti / dārikāṃ jānāti / saced dārako bhavati dakṣiṇaṃ kukṣiṃ	/ dArakam jAnAti / dArikAm jAnAti / saced dArakaH Bavati dakziNam kukzim
   niśritya tiṣṭhati / saced dārikā bhavati vāmaṃ kukṣiṃ niśritya tiṣṭhati /	niSritya tizWati / saced dArikA Bavati vAmam kukzim niSritya tizWati /
   sāttamanāttamanāḥ svāmina ārocayati / diṣṭyāryaputra	sAttamanAttamanAH svAminaH Arocayati / dizwyA-Arya-putra
   vardhasvāpannasatvāsmi saṃvṛttā / yathā ca me dakṣiṇaṃ kukṣiṃ niśritya	varDasu-a-Apanna-satvA-asmi saMvRttA / yaTA ca me dakziNam kukzim niSritya
   tiṣṭhati niyataṃ dārako bhaviṣyati / so 'py āttamanāttamanā udānam	tizWati niyatam dArakaH Bavizyati / saH api Attam-anAttamanAH udAnam
   udānayati / apy evāhaṃ cirakālābhilaṣitaṃ putramukhaṃ paśyeyaṃ samajāto me	udAnayati / api eva-aham cira-kAla-aBilazitam putra-muKam paSyeyam sama-jAtaH me
   syān nāvajātaḥ / kṛtyāni me kurvīta bhṛtaḥ pratibibhṛyād dāyādyaṃ	syAt na-avajAtaH / kRtyAni me kurvIta BRtaH pratibiBRyAt dAyAdyam
   pratipadyeta kulavaṃśo me cirasthitikaḥ syāt* / asmākaṃ cāpy	pratipadyeta kula-vaMSaH me cira-sTitikaH syAt* / asmAkam ca-api-
   atītakālagatānām alpaṃ vā prabhūtaṃ vā dānāni datvā puṇyāni kṛtvā asmākaṃ	atIta-kAla-gatAnAm alpam vA praBUtam vA dAnAni datvA puNyAni kRtvA asmAkam
   (MSV IV 161) nāmnā dakṣiṇām ādekṣyati / idaṃ tayor yatra yatropapannayor	(MSV IV 161) nAmnA dakziNAm Adekzyati / idam tayoH yatra yatra-upapannayoH-
   gacchator anugacchatv iti / āpannasatvāṃ caināṃ viditvā upari	gacCatoH anugacCatu iti / Apanna-satvAm ca-enAm viditvA upari
   prāsādatalagatām ayantritāṃ dhārayati śīte śītopakaraṇair uṣṇe	prAsAda-tala-gatAm ayantritAm DArayati SIte SIta-upakaraNEH uzNe
   uṣṇopakaraṇair vaidyaprajñaptair āhārair nātitiktair nātyamlair	uzNa-upakaraNEH vEdya-prajQaptEH AhArEH na-ati-tiktEH na-ati-amlEH-
   nātilavaṇair nātimadhurair nātikaṭukair nātikaṣāyais	na-ati-lavaNEH na-ati-maDurEH na-ati-kawukEH na-ati-kazAyEH-
   tiktāmlalavaṇamadhurakaṭukakaṣāyavivarjitair āhārair	tikta-amla-lavaNa-maDura-kawuka-kazAya-vivarjitEH AhArEH-
   hārārdhahāravibhūṣitagātrīm apsarasam iva nandanavanavicāriṇīṃ mañcān	hAra-arDa-hAra-viBUzita-gAtrIm apsarasam iva nandana-vana-vicAriNIm maQcAn
   mañcaṃ pīṭhāt pīṭham anavatarantīm adharimāṃ bhūmim* / na cāsyāḥ kiṃcid	maQcam pIWAt pIWam anavatarantIm aDarimAm BUmim* / na ca-asyAH kiMcid-
   amanojñaśabdaśravaṇaṃ yāvad eva garbhasya paripākāya / sāṣṭānāṃ vā navānāṃ	amanojQa-Sabda-SravaNam yAvat eva garBasya paripAkAya / sa-azwAnAm vA navAnAm
   vā māsānām atyayāt prasūtā / dārako jātaḥ / abhirūpo darśanīyaḥ prāsādiko	vA mAsAnAm atyayAt prasUtA / dArakaH jAtaH / aBirUpaH darSanIyaH prAsAdikaH-
   gauraḥ kanakavarṇaś chatrākāraśirāḥ pralambabāhur vistīrṇaviśālalalāṭaḥ	gOraH kanaka-varNaH Catra-AkAra-SirAH pralamba-bAhuH vistIrNa-viSAla-lalAwaH
   saṅgatabhrūr uttuṅganāso ratnapratyuptikayā karṇikayā āmuktayālaṅkṛtaḥ /	saFgata-BrUH uttuFga-nAsaH ratna-pratyuptikayA karNikayA AmuktayA-alaFkRtaH /
   balasenena gṛhapatinā ratnaparīkṣakā āhūyoktāḥ / bhavanto ratnānāṃ mūlyaṃ	balasenena gRhapatinA ratna-parIkzakAH AhUya-uktAH / BavantaH ratnAnAm mUlyam
   kuruta iti / na śakyate ratnānāṃ mūlyaṃ kartum iti / dharmatā khalu yasya	kurute iti / na Sakyate ratnAnAm mUlyam kartum iti / DarmatA Kalu yasya
   ratnasya na śakyate mūlyaṃ kartuṃ tasya koṭir mūlyaṃ kriyate / te	ratnasya na Sakyate mUlyam kartum tasya kowiH mUlyam kriyate / te
   kathayanti / gṛhapate eṣāṃ ratnānāṃ kotir mūlyam iti / tasya jñātayaḥ	kaTayanti / gRhapate ezAm ratnAnAm kotiH mUlyam iti / tasya jQAtayaH
   saṃgamya samāgamya trīṇi saptakāny ekaviṃśatidivasāni vistareṇa jātasya	saMgamya samAgamya trINi saptakAni ekaviMSati-divasAni vistareNa jAtasya
   jātimahaṃ kṛtvā nāmadheyaṃ (MSV IV 162) vyavasthāpayanti / kiṃ bhavatu	jAti-maham kRtvA nAmaDeyam (MSV IV 162) vyavasTApayanti / kim Bavatu
   dārakasya nāmeti / jñātayaḥ ūcuḥ / ayaṃ dārakaḥ koṭimūlyayā	dArakasya nAma-iti / jQAtayaH UcuH / ayam dArakaH kowi-mUlyayA
   ratnapratyuptikayā āmuktayā {MS karṇikayā} jātaḥ śravaṇeṣu ca nakṣatreṣu /	ratna-pratyuptikayA AmuktayA {n karNikayA} jAtaH SravaNezu ca nakzatrezu /
   bhavatu dārakasya śroṇaḥ koṭīkarṇa iti nāma / yasminn eva divase śroṇaḥ	Bavatu dArakasya SroNaH kowIkarNaH iti nAma / yasmin eva divase SroNaH
   koṭīkarṇo jātas tasminn eva divase balasenasya gṛhapater dvau	kowIkarNaH jAtaH tasmin eva divase balasenasya gRhapateH dvO
   preṣyadārakau (81v = GBM 6.745) jātau / tenaikasya dāsaka iti nāmadheyaṃ	prezya-dArakO (81u  GBm 6.745) jAtO / tena-ekasya dAsakaH iti nAmaDeyam
   vyavasthāpitam aparasya pālaka iti / śroṇaḥ koṭīkarṇo 'ṣṭābhyo dhātrībhyo	vyavasTApitam aparasya pAlakaH iti / SroNaH kowIkarNaH azwAByaH DAtrIByaH-
   'nupradatto dvābhyām aṃsadhātrībhyāṃ dvābhyāṃ krīḍanikābhyāṃ dvābhyāṃ	anupradattaH dvAByAm aMsaDAtrIByAm dvAByAm krIxanikAByAm dvAByAm
   maladhātrībhyāṃ dvābhyāṃ kṣīradhātrībhyāṃ / so 'ṣṭābhir dhātrībhir	malaDAtrIByAm dvAByAm kzIraDAtrIByAm / saH azwABiH DAtrIBiH-
   unnīyate vardhyate kṣīreṇa dadhnā navanītena sarpiṣā sarpirmaṇḍenānyaiś	unnIyate varDyate kzIreNa daDnA navanItena sarpizA sarpiH-maNxena-anyEH-
   cottaptottaptair upakaraṇaviśeṣair āśu vardhate hradastham iva paṅkajam* /	ca-uttapta-uttaptEH upakaraNa-viSezEH ASu varDate hrada-sTam iva paFkajam* /
   sa yadā mahān saṃvṛttas tadā lipyām upanyastaḥ saṃkhyāyāṃ gaṇanāyāṃ	sa yadA mahAn saMvRttaH tadA lipyAm upanyastaH saMKyAyAm gaNanAyAm
   mudrāyām uddhāre nyāse nikṣepe vāstuparīkṣāyāṃ ratnaparīkṣāyām* / so	mudrAyAm udDAre nyAse nikzepe vAstu-parIkzAyAm ratna-parIkzAyAm* / saH-
   'ṣṭāsu parīkṣāsūdghāṭako vācakaḥ paṇḍitaḥ paṭupracāraḥ saṃvṛttaḥ / tasya	azwAsu parIkzA-su-udGAwakaH vAcakaH paNxitaH pawu-pracAraH saMvRttaH / tasya
   pitrā trīṇi vāsagṛhāṇi māpitāni / haimantikaṃ graiṣmikaṃ vārṣikam* / trīṇy	pitrA trINi vAsagRhANi mApitAni / hEmantikam grEzmikam vArzikam* / trINi-
   udyānāni māpitāni haimantikaṃ graiṣmikaṃ vārṣikam* / trīṇy antaḥpurāṇi	udyAnAni mApitAni hEmantikam grEzmikam vArzikam* / trINi antaHpurANi
   pratyupasthāpitāni jyeṣṭhakaṃ madhyamaṃ kanīyasam* / sa upari	pratyupasTApitAni jyezWakam maDyamam kanIya-sam* / saH upari
   prāsādatalagato niṣpuruṣeṇa tūryeṇa krīḍati ramate paricārayati / balaseno	prAsAda-tala-gataH nizpuruzeNa tUryeNa krIxati ramate paricArayati / balasenaH-
   gṛhapatir nityam eva kṛṣikarmānte udyuktaḥ / sa koṭīkarṇas taṃ pitaram	gRhapatiH nityam eva kRzi-karmAnte udyuktaH / sa kowIkarNaH tam pitaram
   paśyati(MSV IV 163) nityaṃ kṛṣikarmānte udyuktam* / sa kathayati / tāta	paSyati(MSV IV 163) nityam kRzi-karmAnte udyuktam* / sa kaTayati / tAta
   kasyārthe tvaṃ nityam eva kṛṣikarmānte udyuktaḥ / sa kathayati / putra	kasya-arTe tvam nityam eva kRzi-karmAnte udyuktaH / sa kaTayati / putra
   yathā tvam upari prāsādatalagato niṣpuruṣeṇa tūryeṇa krīḍasi ramase	yaTA tvam upari prAsAda-tala-gataH nizpuruzeNa tUryeNa krIxasi ramase
   paricārayasi yady aham apy evam eva krīḍeyaṃ rameyaṃ paricārayeyaṃ na	paricArayasi yadi aham api evam eva krIxA-iyam rameyam paricArayeyam na
   cirād evāsmākaṃ bhogās tanutvaṃ parikṣayaṃ paryādānaṃ gaccheyuḥ / sa	cirAt eva-asmAkam BogAH tanu-tvam parikzayam paryAdAnam gacCeyuH / sa
   saṃlakṣayati / mamaivārthaṃ codanā kriyate / sa kathayati / tāta yady evaṃ	saMlakzayati / mama-eva-arTam codanA kriyate / sa kaTayati / tAta yadi evam
   paṇyam ādāya deśāntaraṃ gacchāmi / pitā kathayati / putra tāvantaṃ me	paNyam AdAya deSa-antaram gacCAmi / pitA kaTayati / putra tAvantam me
   ratnajātam asti yadi tvaṃ tilataṇḍulakolakulatthanyāyena ratnāni	ratna-jAtam asti yadi tvam tila-taNxula-kola-kulatTa-nyAyena ratnAni
   paribhokṣyase tathāpi me ratnānāṃ parikṣayo na syāt* / sa kathayati /	pariBokzyase taTA-api me ratnAnAm parikzayaH na syAt* / sa kaTayati /
   tātānujānīhi māṃ gacchāmi paṇyam ādāya deśāntaram iti / balasena	tAta-anujAnIhi mAm gacCAmi paNyam AdAya deSa-antaram iti / balasena
   tasyāvaśyaṃ nirbandhaṃ jñātvā anujñātaḥ / balasena gṛhapatinā	tasya-avaSyam nirbanDam jQAtvA anujQAtaH / balasena gRhapatinA
   vāsavagrāmake ghaṇṭāvaghoṣaṇaṃ kāritaṃ yo yuṣmākam utsahate śroṇena	vAsavagrAmake GaNwA-avaGozaNam kAritam yaH yuzmAkam utsahate SroNena
   koṭīkarṇena sārthavāhena sārdham aśulkenātarpaṇyena mahāsamudram avatartuṃ	kowI-karNena sArTavAhena sArDam aSulkena-atarpaNyena mahA-samudram avatartum
   sa mahāsamudragamanīyaṃ paṇyaṃ samudānayatu / pañcabhir vaṇikśatair	sa mahA-samudra-gamanIyam paNyam samudAnayatu / paQcaBiH vaNij-SatEH-
   mahāsamudragamanīyaṃ paṇyaṃ samudānītam* / balaseno nāma gṛhapatiḥ	mahA-samudra-gamanIyam paNyam samudAnItam* / balasenaH nAma gRhapatiH
   saṃlakṣayati / kīdṛśena (MSV IV 164) yānena śroṇaḥ koṭīkarṇo yāsyati / sa	saMlakzayati / kIdRSena (MSV IV 164) yAnena SroNaH kowIkarNaH yAsyati / sa
   saṃlakṣayati / saced dhastibhir hastinaḥ sukumārā durbharāś ca / aśvā api	saMlakzayati / saced DastiBiH hastinaH sukumArAH durBarAH ca / aSvAH api
   sukumārā durbharāś ca / gardabhāḥ smṛtimantaḥ sukumārāś ca /	sukumArAH durBarAH ca / gardaBAH smRtimantaH sukumArAH ca /
   gardabhayānena gacchatv iti / sa pitrāhūyoktaḥ / putra na tvayā sārthasya	gardaBa-yAnena gacCatu iti / sa pitR-AhUyA-uktaH / putra na tvayA sArTasya
   purastād gantavyaṃ nāpi pṛṣṭhataḥ / yadi balavāṃś ca cauro bhavati	purastAt gantavyam na-api pRzWatas / yadi balavAn ca cOraH Bavati
   sārthasya purastān nipatati durbalo bhavati pṛṣṭhato nipatati / tvayā	sArTasya purastAt nipatati durbalaH Bavati pRzWatas nipatati / tvayA
   sārthasya madhye gantavyaṃ na cet hate sārthavāhe hataḥ sārtho bhavet* /	sArTasya maDye gantavyam na ced hate sArTavAhe hataH sArTaH Bavet* /
   dāsakapālakāv api abhihitau / putrau yuvābhyāṃ na kenacit prakāreṇa śroṇaḥ	dAsa-kapAlakO api aBihitO / putrO yuvAByAm na kenacid prakAreNa SroNaH
   koṭīkarṇo moktavya iti / athāpareṇa samayena śroṇaḥ koṭīkarṇaḥ	kowIkarNaH moktavyaH iti / aTa-apareNa samayena SroNaH kowIkarNaH
   kṛtakautukamaṅgalasvastyayano mātuḥ sakāśam upasaṃkramya pādayor nipatya	kRta-kOtukamaFgala-svastyayanaH mAtuH sakASam upasaMkramya pAdayoH nipatya
   kathayati / amba gacchāmi avalokitā bhava mahāsamudram avatarāmi / sā	kaTayati / amba gacCAmi avalokitA Bava mahA-samudram avatarAmi / sA
   ruditum ārabdhā / sa kathayati / amba kasmād rodiṣi / mātā	ruditum ArabDA / sa kaTayati / amba kasmAt rodizi / mAtA
   sāśrudurdinavadanā kathayati / putra kadācid ahaṃ putrakaṃ punar api	sa-aSru-durdina-vadanA kaTayati / putra kadAcid aham putrakam punar api
   jīvantaṃ drakṣyāmi iti / sa saṃlakṣayati / ahaṃ maṅgalaiḥ saṃprasthitaḥ /	jIvantam drakzyAmi iti / sa saMlakzayati / aham maFgalEH saMprasTitaH /
   (82r = GBM 6.746) iyam īdṛśam amaṅgalam abhidhatte / sa ruṣitaḥ kathayati	(82H  GBm 6.746) iyam IdRSam amaFgalam aBiDatte / sa ruzitaH kaTayati
   / amba ahaṃ kṛtakautukamaṅgalasvastyayano mahāsamudraṃ saṃprasthitaḥ /	/ amba aham kRta-kOtukamaFgala-svastyayanaH mahA-samudram saMprasTitaH /
   tvaṃ cedṛśāny amaṅgalāni karoṣi / apāyān kiṃ na paśyasīti / sā kathayati /	tvam ca-IdRSAni amaFgalAni karozi / apAyAn kim na paSyasi-iti / sA kaTayati /
   putra kharaṃ te vākkarma niścāritam* /(MSV IV 165) atyayam atyayato deśaya	putra Karam te vAkkarma niScAritam* /(MSV IV 165) atyayam atyayataH deSaya
   / apy evaitat karma tanutvaṃ parikṣayaṃ paryādānaṃ gacchet* / sā	/ api eva-etat karma tanu-tvam parikzayam paryAdAnam gacCet* / sA
   tenātyayam atyayataḥ kṣamāpitā / atha śroṇaḥ koṭīkarṇaḥ	tena-atyayam atyayataH kzamApitA / aTa SroNaH kowIkarNaH
   kṛtakautukamaṅgalasvastyayanaḥ śakaṭair bhārair moṭaiḥ piṭakair uṣṭrair	kRta-kOtukamaFgala-svastyayanaH SakawEH BArEH mowEH piwakEH uzwrEH-
   gobhir gardabhaiḥ prabhūtaṃ samudragamanīyaṃ paṇyam āropya mahāsamudraṃ	goBiH gardaBEH praBUtam samudra-gamanIyam paNyam Aropya mahA-samudram
   saṃprasthitaḥ /	saMprasTitaH /
   so 'nupūrveṇa grāmanagaranigamapallīpattaneṣu cañcūryamāṇo	saH anupUrveNa grAma-nagara-nigama-pallI-pattanezu caQcUryamANaH-
   mahāsamudrataṭam anuprāptaḥ {MS: samudratīrasamanuprāptaḥ} / nipuṇataḥ	mahA-samudra-tawam anuprAptaH {MS: samudra-tIra-samanuprAptaH} / nipuNataH
   sāmudraṃ yānapātraṃ pratipadya mahāsamudram avatīrṇo dhanahārakaḥ so	sAmudram yAna-pAtram pratipadya mahA-samudram avatIrNaH DanahArakaH saH-
   'nuguṇena vāyunā ratnadvīpam anuprāptaḥ / tena tatropaparīkṣyopaparīkṣya	anuguNena vAyunA ratna-dvIpam anuprAptaH / tena tatra-upaparIkzya-upaparIkzya
   ratnānāṃ tad vahanaṃ pūritaṃ tadyathā tilataṇḍulakolakulatthānām* / so	ratnAnAm tat vahanam pUritam tat-yaTA tila-taNxula-kola-kulatTA-nAm* / saH-
   'nuguṇena vāyunā saṃsiddhayānapātro jambudvīpam anuprāptaḥ / sa sārthas	anuguNena vAyunA saMsidDa-yAnapAtraH jambudvIpam anuprAptaH / sa sArTa-s
   tasminn eva samudratīre āvāsitaḥ / asau śroṇaḥ koṭīkarṇo 'pi sārthavāho	tasmin eva samudra-tIre AvAsitaH / asO SroNaH kowIkarNaH api sArTavAhaH-
   dāsakapālakāv ādāya sārthamadhyād ekānte 'pakramya āyaṃ vyayaṃ ca	dAsa-kapAlakO AdAya sArTa-maDyAt ekAnte apakramya Ayam vyayam ca
   tulayitum ārabdhaḥ / paścāt tenāsau dāsako 'bhihitaḥ / dāsaka paśya	tulayitum ArabDaH / paScAt tena-asO dAsakaH aBihitaH / dAsaka paSya
   sārthaḥ kiṃ karotīti / sa gataḥ / yāvat paśyati sārdhaṃ suptam* / so 'pi	sArTaH kim karoti-iti / sa gataH / yAvat paSyati sArDam suptam* / saH api
   tatraiva suptaḥ / dāsakaś cirāyatīti kṛtvā pālako 'bhihitaḥ / pālaka paśya	tatra-eva suptaH / dAsakaH cirAyati-iti kRtvA pAlakaH aBihitaH / pAlaka paSya
   sārthaḥ kiṃ karotīti / sa gataḥ / yāvat paśyati sthorāṃ lardayantaṃ	sArTaH kim karoti-iti / sa gataH / yAvat paSyati sTorAm lardayantam
   sārtham* / so 'pi sthorāṃ lardayitum ārabdhaḥ / dāsaka saṃlakṣayati /	sArTam* / saH api sTorAm lardayitum ArabDaH / dAsaka saMlakzayati /
   pālakaḥ sārthavāhaṃ śabdāpayiṣyati / pālako 'pi (MSV IV 166) saṃlakṣayati	pAlakaH sArTavAham SabdApayizyati / pAlakaH api (MSV IV 166) saMlakzayati
   / dāsakaḥ sārthavāhaṃ śabdāpayiṣyatīti / sa sārthaḥ sarātrim eva sthorāṃ	/ dAsakaH sArTavAham SabdApayizyati-iti / sa sArTaH sarAtrim eva sTorAm
   lardayitvā saṃprasthitaḥ / so 'pi gāḍhanidrāvaṣṭabdhaḥ śayitaḥ / sa	lardayitvA saMprasTitaH / saH api gAXa-nidrA-avazwabDaH SayitaH / sa
   sārthas tāvad gato yāvat prabhātam* / te kathayanti / bhavantaḥ kva	sArTaH tAvat gataH yAvat praBAtam* / te kaTayanti / BavantaH kva
   sārthavāhaḥ / purastād gacchati / purastād gatvā pṛcchanti kva sārthavāhaḥ	sArTavAhaH / purastAt gacCati / purastAt gatvA pRcCanti kva sArTavAhaH
   / pṛṣṭhata āgacchati / pṛṣṭhato gatvā pṛcchanti kva sārthavāhaḥ / madhye	/ pRzWatas AgacCati / pRzWatas gatvA pRcCanti kva sArTavAhaH / maDye
   gacchati / madhye gatvā pṛcchanti / yāvat tatrāpi nāsti / dāsakaḥ	gacCati / maDye gatvA pRcCanti / yAvat tatra-api na-asti / dAsakaH
   kathayati / mama buddhir utpannā pālakaḥ sārthavāhaṃ śabdāpayiṣyati /	kaTayati / mama budDiH utpannA pAlakaH sArTavAham SabdApayizyati /
   pālako 'pi kathayati / mama buddhir utpannā dāsakaḥ sārthavāhaṃ	pAlakaH api kaTayati / mama budDiH utpannA dAsakaH sArTavAham
   śabdāpayiṣyatīti / bhavanto na śobhanaṃ kṛtaṃ yad asmābhiḥ sārthavāhaś	SabdApayizyati-iti / BavantaH na SoBanam kRtam yat asmABiH sArTavAha-H-
   choritaḥ / āgacchata nivartāmaḥ / te kathayanti / bhavanto yadi vayaṃ	CoritaH / AgacCata nivartAmaH / te kaTayanti / BavantaH yadi vayam
   nivartiṣyāmaḥ sarva evānayena vyasanam āpatsyāmaḥ / āgacchata kriyākāraṃ	nivartizyAmaH sarve eva-anayena vyasanam ApatsyAmaH / AgacCata kriyAkAram
   tāvat kurmaḥ / tāvan na kenacic chroṇasya koṭīkarṇasya mātāpitṛbhyām	tAvat kurmaH / tAvat na kenacid SroNasya kowIkarNasya mAtA-pitRByAm
   ārocayitavyaṃ yāvad bhāṇḍaṃ na pratiśāmitaṃ bhavatīti / te kriyākāraṃ	Arocayitavyam yAvat BANxam na pratiSAmitam Bavati-iti / te kriyAkAram
   kṛtvā gatāḥ / śroṇasya koṭīkarṇasya mātāpitṛbhyāṃ śrutaṃ śroṇaḥ koṭīkarṇo	kRtvA gatAH / SroNasya kowIkarNasya mAtA-pitRByAm Srutam SroNaH kowI-karNaH-
   'bhyāgata iti / tau pratyudgatau / kva sārthavāhaḥ / madhye āgacchati /	aByAgataH iti / tO pratyudgatO / kva sArTavAhaH / maDye AgacCati /
   madhye gatvā pṛcchataḥ kva sārthavāha iti / te kathayanti / pṛṣṭhata	maDye gatvA pRcCataH kva sArTavAhaH iti / te kaTayanti / pRzWata
   āgacchati / pṛṣṭhato gatvā pṛcchataḥ / kva sārthavāhaḥ / purastād	AgacCati / pRzWatas gatvA pRcCataH / kva sArTavAhaH / purastAd
   gacchatīti / tais tāvad ākulīkṛtau yāvad bhāṇḍaṃ pratiśāmitam* / gataḥ	gacCati-iti / tEH tAvat AkulIkRtO yAvat BANxam pratiSAmitam* / gataH
   paścāt te kathayanti / amba vismṛto 'smābhiḥ sārthavāha iti / tābhyām (MSV	paScAt te kaTayanti / amba vismRtaH asmABiH sArTavAhaH iti / tAByAm (MSV
   IV 167) eka āgatya kathayati / ayaṃ śroṇaḥ koṭīkarṇo 'bhyāgata iti / tasya	IV 167) ekaH Agatya kaTayati / ayam SroNaH kowIkarNaH aByAgataH iti / tasya
   tāv abhisāraṃ datvā pratyudgatau na paśyataḥ / apara āgatya kathayati /	tO aBisAram datvA pratyudgatO na paSyataH / aparaH Agatya kaTayati /
   ayaṃ śroṇaḥ koṭīkarṇo 'bhyāgata iti / tasya tāv abhisāraṃ datvā	ayam SroNaH kowIkarNaH aByAgataH iti / tasya tO aBisAram datvA
   pratyudgatau na paśyataḥ / tau yāvan (82v = GBM 6.747) na kasyacit punar	pratyudgatO na paSyataH / tO yAvan (82u  GBm 6.747) na kasyacid punar-
   api śraddadhātum ārabdhau / tābhyām udyāneṣu devakuleṣu chatrāṇi	api SraddaDAtum ArabDO / tAByAm udyAnezu devakulezu CatrANi
   ghaṇṭāvyajanāni akṣarāṇi likhitāni yadi tāvac chroṇaḥ koṭīkarṇo jīvati	GaNwA-vyajanAni akzarANi liKitAni yadi tAvat SroNaH kowIkarNaH jIvati
   laghv āgamanāya / atha cyutaḥ kālagato gatyupapattisthānāt	laGu AgamanAya / aTa cyutaH kAlagataH gati-upapatti-sTAnAt
   sthānāntaraviśeṣatāyai / tau śokena rudantāv andhībhūtau / so 'pi	sTAna-antara-viSeza-tAyE / tO Sokena rudantO anDIBUtO / saH api
   sūryasyābhyudgamanakālasamaye sūryāṃśubhir ābhānvitaḥ pratibuddho yāvat	sUryasya-aByudgamana-kAla-samaye sUrya-aMSuBiH ABa-anvitaH pratibudDaH yAvat-
   sārthaṃ na paśyati / nānyatra tāv eva gardabhāvatiṣṭhataḥ / sa tau	sArTam na paSyati / na-anyatra tO eva gardaBa-avatizWataH / sa tO
   yojayitvā saṃprasthitaḥ / vālukāsthale vāyunā mārgaḥ pihitaḥ / smṛtimanto	yojayitvA saMprasTitaH / vAlukA-sTale vAyunA mArgaH pihitaH / smRtimantaH-
   gardabhā jighritvā saṃprasthitaḥ śanair gacchantīti pratodayaṣṭyā spṛṣṭhāḥ	gardaBAH jiGritvA saMprasTitaH SanEs gacCanti-iti pratoda-yazwyA spRzWAH
