   PADA MARKERS	PADAH MARKERS
   anyonyapratighātabhinnamukhayor udvṛttapiṅgākṣayor $ ākṣepeṇa	anyonya pratiGAta Binna muKayoH udvRtta piFga akzayoH $ AkzepeNa
   vikalpitaśravaṇayoḥ śvetāsitābhratviṣoḥ /	vikalpita SravaNayoH Sveta asita aBra tvizoH /
   krodhād utkṣipatoḥ karau dviradayoḥ sthūlau calatpuṣkarau % kiṃ cit	kroDAt utkzipatoH karO dviradayoH sTUlO calat puzkarO % kim cit 
   pallavapāṭale gatavatī vyaktiṃ tayos tālunī // HJm_1.6 //	pallava pAwale gatavatI vyaktim tayoH tAlunI // HJm_1.6 //
   śvetadvipādhipaviṣāṇavighaṭṭanena $ saṃbhūtavahnikaṇikāśabalīkṛtāni &	Sveta dvipa aDipa vizANa viGawwanena $ saMBUta vahni kaNikA Sa balIkRtAni &
   tasyātha rājakariṇo radanāśrayāṇi % jātāni lohavalayāni pariślathāni //	tasya aTa rAja kariNaH radana ASrayANi % jAtAni loha valayAni pariSlaTAni //
   HJm_1.7 //	HJm_1.7 //
   bhagne ca kṣitipagaje gajena tena $ vrīḍāvān abhavad adhomukhaḥ sa yantā &	Bagne ca kzitipagaje gajena tena $ vrIxAvAn aBavat aDomuKaH sa yantA &
   tadyūthaṃ punar adhigamya kuñjarendro % gambhīro 'py avanipatiḥ savismayo	tat yUTam punar aDigamya kuQjara indraH % gamBIraH api avanipatiH sa vismayaH 
   'bhūt // HJm_1.8 //	aBUt // HJm_1.8 //
   tataḥ prabhāsaṃ mahāmātrāḥ samupagamyocuḥ |	tatas praBAsam mahAmAtrAH samupagamya UcuH |
   deva duḥsādhyo 'yam ebhiḥ samastair api karibhir mantraparijaptair	deva duHsADyaH ayam eBiH samastEH api kariBiH mantra parijaptEH 
   oṣadhibalair ayam anekapo vaśīkartavya iti |	ozaDi balEH ayam anekapaH vaSIkartavyaH iti |
   tatheti ca sa rājābhidhāya punas tāṃ rājadhānīm ājagāma |	taTA iti ca sa rAjA aBiDAya punar tAm rAjaDAnIm AjagAma |
   te 'pi tenopāyena taṃ gandhahastinaṃ kariṇībhiḥ parivṛtam ānīya hastiśālāṃ	te api tena upAyena tam ganDa hastinam kariNIBiH parivRtam AnIya hasti SAlAm
   praveśyālāne nibadhya rājño nivedayām āsur ānītaḥ sa gaja iti |	praveSya AlAne nibaDya rAjQaH nivedayAm AsuH AnItaH sa gajaH iti |
   tato rājā saṃyātaṃ hastidamakam uvāca |	tatas rAjA saMyAtam hasti damakam uvAca |
   bhadra tathāyam ibharājo damayitavyo yathā madvāhanayogyo bhavatīti |	Badra taTA ayam iBa rAjaH damayitavyaH yaTA mad vAhana yogyaH Bavati iti |
   sa ca saśiraḥpraṇāmaṃ gṛhītarājāvavādas taṃ dantinaṃ damayām āsa ||	sa ca sa SiraH praNAmam gRhIta rAja avavAdaH tam dantinam damayAm Asa ||
   sa hastidamako yāṃ yāṃ $ śikṣāṃ samupadiṣṭavān &	sa hasti damakaH yAm yAm $ SikzAm samupadizwavAn &
   svaśiṣya iva medhāvī % tāṃ tāṃ jagrāha kuñjaraḥ // HJm_1.9 //	sva SizyaH iva meDAvI % tAm tAm jagrAha kuQjaraH // HJm_1.9 //
   tataḥ samānīya mahāmataṅgajaṃ $ mataṅgajānāṃ madadarpahāriṇam &	tatas samAnIya mahA mataFga jam $ mataFga jAnAm mada darpa hAriNam &
   vinamramūrdhā vinayāt kṛtāñjaliḥ % kṣitīśam ādhoraṇa ūcivān idam //	vinamra mUrDA vinayAt kRtAQjaliH % kzitISam ADoraNaH UcivAn idam //
   HJm_1.10 //	HJm_1.10 //
   ayaṃ sa dāntaḥ kṣitipāla vāraṇaḥ $ prakāmam anyakṣitipālavāraṇaḥ &	ayam sa dAntaH kzitipAla vAraNaH $ prakAmam anya kzitipAla vAraNaH &
   gajendraśikṣāṃ samupetya sāṃprataṃ % mado 'pi nainaṃ gamayaty asāṃpratam	gaja indra SikzAm samupetya sAMpratam % madaH api na enam gamayati asAMpratam
   // HJm_1.11 //	// HJm_1.11 //
   vināṅkuśenāpi vināpi veṇunā $ na vikriyāṃ yāti vināpi sādinā &	vinA aFkuSena api vinA api veNunA $ na vikriyAm yAti vinA api sAdinA &
   mayā gṛhāṇeti punaḥ pracodito % gajo 'yam adyāj jvalitān ayoguḍān //	mayA gRhANa iti punar pracoditaH % gajaH ayam adyAt jvalitAn ayaH guxAn //
   HJm_1.12 //	HJm_1.12 //
   tataḥ samāruhya parābhavanmadaṃ $ gajendram enaṃ tuhinācalopamaṃ &	tatas samAruhya parABavat madam $ gaja indram enam tuhina acala upamam &
   nanu svayaṃ ratnaparīkṣaṇakṣamaḥ % parīkṣatāṃ jātakutūhalo bhavān //	nanu svayam ratna parIkzaNa kzamaH % parIkzatAm jAta kutUhalaH BavAn //
   HJm_1.13 //	HJm_1.13 //
   atha prabhāsas taṃ kuñjaravaraṃ śaratkāladhavalam iva divākaro balāhakam	aTa praBAsaH tam kuQjara varam Sarad kAla Davalam iva divAkaraH balAhakam
   adhiruhya sāntaḥpuraparivāraḥ pramadavanakrīḍām anubhavituṃ prātiṣṭhata ||	aDiruhya sa antaHpura parivAraH pramada vana krIxAm anuBavitum prAtizWata ||
   atha sarasi salīlaṃ toyam aṅge kṣipantīṃ $ viśadanigaḍabhaṅgaṃ	aTa sarasi sa lIlam toyam aFge kzipantIm $ viSada nigaxa BaFgam
   khaṇḍayantīṃ mṛṇālam &	KaNxayantIm mRNAlam &
   sa mṛdugatir apaśyad dantinīṃ dantirājaḥ % sphuṭitaṃ abhimṛśantīṃ puṣkaraṃ	sa mRdu gatiH apaSyat dantinIm danti rAjaH % sPuwitam aBimRSantIm puzkaram
   puṣkareṇa // HJm_1.14 //	puzkareNa // HJm_1.14 //
   kamalagahanamadhye tāṃ sa dṛṣṭvā kareṇuṃ $ gajapatir abhijaghne	kamala gahana maDye tAm sa dRzwvA kareNum $ gaja patiH aBijaGne
   rāgaśalyena citte /	rAga Salyena citte /
   skhalitaparuṣavācā vāryamāṇo 'pi yantrā % tvaritataram adhāvat sāpi bhītā	sKalita paruza vAcA vAryamANaH api yantrA % tvaritataram aDAvat sA api BItA
   pratasthe // HJm_1.15 //	pratasTe // HJm_1.15 //
   kariṇam anupatantaṃ prasthitāṃ tāṃ kareṇuṃ $ vidadhatam iva lekhāṃ	kariNam anupatantam prasTitAm tAm kareNum $ vidaDatam iva leKAm
   pāṇḍarāṃ vigraheṇa /	pANxarAm vigraheNa /
   tvaritam anupatantaḥ saptibhir vāyununnaṃ % vahanam iva taṭasthāḥ kiṃ cid	tvaritam anupatantaH saptiBiH vAyu nunnam % vahanam iva tawasTAH kim cit 
   aikṣyanta bhṛtyāḥ // HJm_1.16 //	Ekzyanta BRtyAH // HJm_1.16 //
   na kadā cid ahaṃ tvayā nirastā kim idaṃ niṣkaruṇatvam īdṛśaṃ te /*	na kadA cit aham tvayA nirastA kim idam nizkaruNa tvam IdRSam te /*
   iti ṣaṭcaraṇāvalī muhūrtaṃ rudatīvānujagāma tasya mārgam // HJm_1.17 //*	iti zawcaraNa AvalI muhUrtam rudatI iva anujagAma tasya mArgam // HJm_1.17 //*
   gajam aṅkuśapātabhinnakumbhaṃ $ sa niyantā na śaśāka taṃ niroddhum &	gajam aFkuSa pAta Binna kumBam $ sa niyantA na SaSAka tam nirodDum &
   puruṣo 'pi na śakyate niyantuṃ % kim u tiryag madanāndhamandabuddhiḥ //	puruzaH api na Sakyate niyantum % kim u tiryak madana anDa manda budDiH //
   HJm_1.18 //	HJm_1.18 //
   kṣipram eva ca gavalamalinadāvāgnidhūmadhūsaragirigahvarāntam	kzipram eva ca gavala malina dAva agni DUma DUsara giri gahvara antam
   ativiṣamabhūbhāgam	ati vizama BU BAgam
   ibhakulonmūlitataruśikharaparyastaśakunikulāyapatitabhagnāṇḍakapālaśabalitaikadeśaṃ	iBa kula unmUlita taru SiKara paryasta Sakuni kulAya patita Bagna aNxakapAla Sa balita eka deSam
   vyāghropayuktojjhitamṛgakaḍevarapiśitavighasāvalīnagṛdhravāyasajaṃbukam	vyAGra upayukta ujJita mRga kaxevara piSita viGasa avalIna gRDra vAyasa jaMbukam
   atiparuṣacīrīvirāvabhīṣaṇam	ati paruza cIrI virAva BIzaNam
   aruṇasārathikiraṇasaṃtāpitabhūdharaśikharopalajālam asatsaṅgatam	aruNa sAraTi kiraNa saMtApita BUDara SiKara upala jAlam asat saFgatam
   ivānabhirāmaṃ sā hastinī bhītā yat praviveśa so 'pi ca rāgavaśāt	iva anaBirAmam sA hastinI BItA yat praviveSa saH api ca rAga vaSAt 
   kaṇṭakivaṃśataruśākhāskhalanābhighātakṣatorujaṅghabhujavakṣaḥsthalaprasṛtaśoṇitam	kaNwaki vaMSa taru SAKA sKalana aBiGAta kzata Uru jaFGa Buja vakzaH sTala prasRta SoNitam
   avanipatim udvahann agaṇayaṃs tān aṅkuśaprahārāṃs tad evāraṇyaṃ prapede ||	avanipatim udvahan agaNayan tAn aFkuSa prahArAn tat eva araNyam prapede ||
   pakvodumbararāgapāṭalamukhacchāyaiḥ kṣaṇaṃ niścalair $	pakva udumbara rAga pAwala muKa= CAyEH kzaNam niScalEH $
   ghaṇṭāśabdakutūhalāt tarugataiḥ śākhāmṛgair vīkṣitaḥ /	GaNwA Sabda kutUhalAt taru gatEH SAKAmRgEH vIkzitaH /
   mātaṅgaḥ patitāṅkuśaḥ kuśacayaśyāmāṃ vihāya sthalīm % udgrīvaiś ca	mAtaFgaH patitAFkuSaH kuSa caya SyAmAm vihAya sTalIm % udgrIvEH ca
   gṛhītaśaṣpakavalair dṛṣṭo muhūrtaṃ mṛgaiḥ // HJm_1.19 //	gRhIta Sazpa kavalEH dRzwaH muhUrtam mRgEH // HJm_1.19 //
   tataḥ sa hastidamakaḥ taṃ rājānam uvāca |	tatas sa hasti damakaH tam rAjAnam uvAca |
   deva gajapatir ayam idānīm anaṅkuśatayā durjana iva lajjāvirahāt sutarām	deva gaja patiH ayam idAnIm anaFkuSa tayA durjanaH iva lajjA virahAt sutarAm
   avidheyaḥ |	aviDeyaH |
   yadi kathaṃ cid ayaṃ duṣṭahastī kasya cit taror adhastād yāyāt tat tasya	yadi kaTam cit ayam duzwa hastI kasya cit taroH aDastAt yAyAt tat tasya
   śākhām avalambya devenātmā sthirayitavya iti |	SAKAm avalambya devena AtmA sTirayitavyaH iti |
   sa rājā patitakirīṭakeyūrahārāṃśukaḥ	sa rAjA patita kirIwa keyUra hAra aMSukaH
   śukāsvāditasindūrānurañjitapramadādharānurūpaphalām aniṣphalajīvitāśaḥ	Suka AsvAditasindUra anuraQjita pramadA Dara anurUpa PalAm anizPala jIvitASaH
   katham api nyagrodhaśākhinaḥ śākhāṃ ciravirahaparyutsukām iva dayitāṃ	kaTam api nyagroDa SAKinaH SAKAm cira viraha paryutsukAm iva dayitAm
   ghanam āślikṣata |	Ganam ASlikzata |
   avatasthe ca taruvarasya skandhe ||	avatasTe ca taruvarasya skanDe ||
   yātasya dviradapater anokahānāṃ $ śākhāgrair vilulitakarṇacāmarasya &	yAtasya dvirada pateH anokahAnAm $ SAKA agrEH vilulita karNa cAmarasya &
   dūratvān nayanapathātigasya tāraṃ % taṃ ghaṇṭādhvanim aśṛṇon na bhūmipālaḥ	dUra tvAt nayana paTa atigasya tAram % tam GaNwA Dvanim aSRNot na BUmipAlaH
   // HJm_1.20 //	// HJm_1.20 //
   atha tasya nṛpateḥ śuddhāntasīmantinyo bāṣpapariplutekṣaṇāḥ praviśya	aTa tasya nRpateH SudDAnta sImantinyaH bAzpa paripluta IkzaNAH praviSya
   bhavanaṃ bhuvanapatiśokavaśād avanitalagatāḥ punaḥ punar iti paridevanāṃ	Bavanam Buvana pati Soka vaSAt avani tala gatAH punar punar iti paridevanAm
   kartum ārebhire |	kartum AreBire |
   patitaḥ kva cit kṣitirajaḥparuṣe $ girigahvare pṛthuśilāviṣame &	patitaH kva cit kziti rajaH paruze $ giri gahvare pRTu SilA vizame &
   sa nirāyudho 'dya vasudhādhipatiḥ % katham āgamiṣyati vanāt sabhayāt //	sa nirAyuDaH adya vasuDA aDipatiH % kaTam Agamizyati vanAt sa BayAt //
   HJm_1.21 //	HJm_1.21 //
   vinipātabhagnaśithilāṃsabhujaḥ $ sa tṛṣāthavā prabalayā glapitaḥ &	vinipAta Bagna SiTila aMsa BujaH $ sa tRzA aTavA prabalayA glapitaH &
   kuśasūcibhinnamṛdupādatalaḥ % katham adya pāsyati pipāsur apaḥ // HJm_1.22	kuSa sUci Binna mRdu pAda talaH % kaTam adya pAsyati pipAsuH apaH // HJm_1.22
   avitarkitāṃ sa gamitaḥ kariṇā $ katham āpadaṃ parivṛto 'pi janaiḥ &	avitarkitAm sa gamitaH kariNA $ kaTam Apadam parivRtaH api janEH &
   athavā sukhāsukhaphalasya vidher % ativartate ka iva nāma pathaḥ //	aTavA suKa asuKa Palasya viDeH % ativartate kaH iva nAma paTaH //
   HJm_1.23 //	HJm_1.23 //
   yadi tasya kiṃ cid aśivaṃ nṛpater $ vayam apy abhīṣṭamaraṇā niyatam &	yadi tasya kim cit aSivam nRpateH $ vayam api aBIzwa maraNA niyatam &
   hatayūthapaṃ na khalu kesariṇā % kariṇīkulaṃ girivane ramate // HJm_1.24	hata yUTapam na Kalu kesariNA % kariNI kulam giri vane ramate // HJm_1.24
   ādhoraṇaḥ samupagamya sa nāma diṣṭyā $ sa prāṇitīti kathayed	ADoraNaH samupagamya sa nAma dizwyA $ sa prANiti iti kaTayet 
   vasudhātalendraḥ &	vasuDA talA indraH &
   bhūyo 'pi taṃ smitamanoharavaktracandraṃ % paśyema nāma nṛpatiṃ śriyam	BUyas api tam smita manohara vaktra candram % paSyema nAma nRpatim Sriyam
   udvahantam // HJm_1.25 //	udvahantam // HJm_1.25 //
   iti tāny avarodhanāni vilāpaparāṇi nayanajalakṣalitapatralekhāni	iti tAni avaroDanAni vilApa parANi nayana jala kzalita patra leKAni
   samāśvāsyāmātyajanaḥ saparijanaḥ karṇīrathān adhiruhya krameṇa gatvā tāṃ	samASvAsya amAtya janaH sa parijanaH karNI raTAn aDiruhya krameNa gatvA tAm
   tasya gajapateś caraṇavinyāsaparimṛditaloṣṭadarbhāṃ	tasya gaja pateH caraNa vinyAsa parimRdita lozwa darBAm
   madalavanipātādhivāsitatṛṇāṅkuraparyantāṃ paribhramanmadhukaragaṇāṃ	mada lava nipAta aDivAsita tRNa aFkura paryantAm pariBraman maDukara gaNAm
   padavīm anusasāra ||	padavIm anusasAraH ||
   lulitavilūnasūtranicayacyutagurutaralaṃ $	lulita vilUna sUtra nicaya cyuta guru taralam $
   parimalapāṇḍumauktikaguṇasthagitamṛdutṛṇam &	parimala pANxu mOktika guNa sTagita mRdu tRNam &
   upagiri hāram aikṣata tataḥ sa narapatijanaḥ %	upagiri hAram Ekzata tatas sa narapati janaH %
   sthitacakitātiśuklabhujagadyutimuṣam abhitaḥ // HJm_1.26 //	sTita cakitA ati Sukla Bujaga dyuti muzam aBitas // HJm_1.26 //
   hāradarśanāc ca niyatam āsanno deva iti manyamānās te 'mātyāḥ stokam	hAra darSanAt ca niyatam AsannaH devaH iti manyamAnAH te amAtyAH stokam
   antaraṃ gatvā tasya nyagrodhasyādhastāt taṃ rājānaṃ	antaram gatvA tasya nyagroDasya aDastAt tam rAjAnam
   pipāsākṣāmaparipāṇḍuśarīram ālulitamaulim	pipAsA akzAma paripANxu SarIram Alulita mOlim
   atitīkṣṇakaṇṭakataruviṭapābhipātajanitavedanam apaśyan |	ati tIkzNa kaNwaka taru viwapa aBipAta janita vedanam apaSyan |
   avatīrya ca karṇīrathebhyas turagebhyaś ca pramuditamanaso	avatIrya ca karNIraTeByaH turageByaH ca pramudita manasaH 
   bisavivaraviniḥsṛtam iva sacīpatiṃ divaukasaḥ sādaram upāsāṃ cakrire |	bisa vivara viniHsRtam iva sacIpatim divOkasaH sa Adaram upAsAm cakrire |
   sa ca narapatir aśeṣaṃ tam eva vṛttāntaṃ tebhyo 'kathayat |	sa ca narapatiH aSezam tam eva vRttAntam teByaH akaTayat |
   atha te 'mātyāḥ prītās taṃ daśarathatanayam iva rathavaram āropya tasmād	aTa te amAtyAH prItAH tam daSaraTa tanayam iva raTa varam Aropya tasmAt 
   araṇyapradeśāt punas tannagaraṃ aninyuḥ |	araNya pradeSAt punar tat nagaram aninyuH |
   āgate ca tasminn avanibhuji prabhāvatīṃ rājadhānīṃ pratītahṛdayāḥ paurās	Agate ca tasmin avani Buji praBAvatIm rAjaDAnIm pratIta hRdayAH pOrAH 
   toraṇāvabadhyamānasurabhivividhakusumamālānilīyamānadvirephām	toraNOvabaDyamAna suraBi viviDa kusuma mAlA nilIyamAna dvirePAm
   utkṣiptadhvajapatākāṃ gandhodakādhivāsitarathyāntarāṃ	utkzipta Dvaja patAkAm ganDa udaka aDivAsita raTyA antarAm
   pravṛttacitranṛttotsavām akurvan |	pravRtta citra nRtta utsavAm akurvan |
   so 'pi ca hastī tasyāṃ vāsitāyāṃ kṛtamadanakutūhalaḥ samadahaladharalīlām	saH api ca hastI tasyAm vAsitAyAm kRta madana kutUhalaH samada hala Dara lIlAm
   ivābhyasyan punas tena hastipakena bhayalajjāvimūḍhamanasā tasya rājñaḥ	iva aByasyan punar tena hastipakena Baya lajjA vimUXa manasA tasya rAjQaH
   sakāśam aninye ||	sakASam aninye ||
   dṛṣṭvā tatas tasya narādhipasya $ trāsān niyantāram udīrṇakampam &	dRzwvA tatas tasya narADipasya $ trAsAt niyantAram udIrNa kampam &
   kopād abhūtāṃ nayane kṣaṇena % vikośaraktotpalaraktarāge // HJm_1.27 //	kopAt aBUtAm nayane kzaNena % vikoSa rakta utpala rakta rAge // HJm_1.27 //
   krodharāhukaluṣīkṛtavadanenduś cāvocad rājā |	kroDa rAhu kaluzIkRta vadana induH ca avocat rAjA |
   are durātman hastipakādhama kiṃ bhavān upakṣiptaḥ kena cid yad enam	are durAtman hastipaka aDama kim BavAn upakziptaH kena cit yat enam
   adāntaṃ duṣṭahastinaṃ mām āropitavān asi |	adAntam duzwa hastinam mAm AropitavAn asi |
   nanu proktavāṃś ca bhavān yathāyaṃ kuñjaravaro mamājñayā jvalitān apy	nanu proktavAn ca BavAn yaTA ayam kuQjara varaH mama AjQayA jvalitAn api 
   ayoguḍān aśnīyād iti paśyāma idānīṃ te satyam ||	ayaH guxAn aSnIyAt iti paSyAmaH idAnIm te satyam ||
   athābhinavagharmāṃśu  $ saṃnibhād dantinaḥ puraḥ &	aTa aBinava Garma aMSu $ saMniBAt dantinaH puras &
   ākṛṣya hutabhuṅmadhyān % nyaveśayad ayoguḍān // HJm_1.28 //	AkRzya hutaBuj maDyAn % nyaveSayat ayaH guxAn // HJm_1.28 //
   babhāṣe ca mahāmātraṃ $ mantribhiś cakitair vṛtaḥ &	baBAze ca mahAmAtram $ mantriBiH cakitEH vRtaH &
   avatīrya gajaṃ dīptān % ādayainān ayoguḍān // HJm_1.29 //	avatIrya gajam dIptAn % Adaya enAn ayaH guxAn // HJm_1.29 //
   sa tatheti pratiśrutya $ gṛhītvā veṇum agrataḥ &	sa taTA iti pratiSrutya $ gRhItvA veNum agratas &
   gṛhāṇety avadan nāgaṃ % na cāsau vāmatāṃ yayau // HJm_1.30 //	gRhANa iti avadat nAgam % na ca asO vAma tAm yayO // HJm_1.30 //
   tam ayoguḍam āditsum $ ālokya ca mataṅgajam &	tam ayaH guxam Aditsum $ Alokya ca mataFga jam &
   saṃyātam abravīd rājā % vāryatām iti kuñjaraḥ // HJm_1.31 //	saMyAtam abravIt rAjA % vAryatAm iti kuQjaraH // HJm_1.31 //
