   Mahāmāyūrīvidyārājñī	MahAmAyUrI-vidyA-rAjQI
   paraprāṇaharāḥ. imāṃ mahāmāyūrīvidyārājñīṃ pravakṣyāmi, gandhaṃ puṣpaṃ	para-prANa-harAH. imAm mahA-mAyUrI-vidyA-rAjQIm pravakzyAmi, ganDam puzpam
   dhūpaṃ dīpaṃ baliṃ ca dāsyāmi, apakrāmantu me pāpacittāḥ duṣṭacittā	DUpam dIpam balim ca dAsyAmi, apakrAmantu me pApa-cittAH duzwa-cittA
   raudracittāḥ paraprāṇaharāḥ sarvagrahā ojohārāḥ śṛṇvantu me, saumyacittā	rOdra-cittAH para-prANa-harAH sarva-grahAH ojaH-hArAH SRNvantu me, sOmya-cittA
   maitracittāḥ kalyāṇacittāḥ śṛṇvantu me buddhadharmasaṃghābhiprasannāḥ.	mEtra-cittAH kalyANa-cittAH SRNvantu me budDa-Darma-saMGa-aBiprasannAH.
   tadyathā	tat-yaTA
   kāli karāli kumbhāṇḍi śaṃkhini kamalākṣi harīti harikeśi śrīmati hari	kAli karAli kumBANxi SaMKini kamala-akzi hari-iti harikeSi SrImati hari
   haripiṅgale, laṃbe pralaṃbe kālapāśe kālaśodari yamadūti yamarākṣasi	hari-piFgale, laMbe pralaMbe kAla-pASe kAlaSodari yama-dUti yama-rAkzasi
   bhūtagrasani, pratīcchatha māṃ, gandhaṃ puṣpaṃ dhūpaṃ baliṃ ca dāsyāmi,	BUta-grasani, pratIcCaTa mAM, ganDam puzpam DUpam balim ca dAsyAmi,
   rakṣatha mama sagaṇaparivārāṇāṃ sarvasatvānāṃś ca sarvabhayopadravebhyaḥ,	rakzaTa mama sa-gaNa-parivArANAm sarva-satvAnAn ca sarva-Baya-upadraveByaH,
   jīvatu varṣaśataṃ paśyatu śaradāśataṃ, sidhyantu me mantrapadāḥ svāhā.	jIvatu varza-Satam paSyatu SaradA-SataM, siDyantu me mantra-padAH svAhA.
   evaṃ mayā śrutam ekasmiṃ samaye bhagavāṃ śrāvastyāṃ viharati sma, jetavane	evam mayA Srutam ekasmim samaye BagavAm SrAvastyAm viharati sma, jetavane
   'nāthapiṇḍasyārāme mahatā bhikṣusaṃghena mahatā bodhisatvasaṃghena	anATapiNxasya-ArAme mahatA Bikzu-saMGena mahatA boDisatva-saMGena
   sārdhaṃ, tena khalu punaḥ samayena śrāvastyāṃ jetavane 'nāthapiṇḍasyārāme	sArDaM, tena Kalu punar samayena SrAvastyAm jetavane anATapiNxasya-ArAme
   svātir nāma bhikṣuḥ prativasati sma. navo dahrataruṇo 'cirapravrajito	svAtiH nAma BikzuH prativasati sma. navaH dahrataruNaH acira-pravrajitaH-
   'ciropasaṃpanno 'cirāgata imaṃ dharmavinayaṃ, saṃghasyārthe jentākadārūṇi	acira-upasaMpannaH acira-AgataH imam Darma-vinayaM, saMGasya-arTe jentAkadArUNi
   pāṭayamānaḥ, anyatamasmāt pūtidāruśuṣirān niṣkramya mahatā kṛṣṇasarpeṇa	pAwayamAnaH, anyatamasmAt pUti-dAru-SuzirAt nizkramya mahatA kRzNasarpeNa
   dakṣiṇe pādāṃguṣṭho daṣṭaḥ sa klāntakāyo bhūmau nipatitaḥ, phenaṃ	dakziNe pAda-aMguzWaH dazwaH sa klAnta-kAyaH BUmO nipatitaH, Penam
   vāhayamāno 'kṣiṇī ca parivartayamānaḥ svapiti.	vAhayamAnaH akziNI ca parivartayamAnaH svapiti.
   (Mmvr Taku 3)	(MmvH Taku 3)
   adrākṣīd āyuṣmān ānandaḥ svātir nāma bhikṣum ābādhikaṃ duḥkhitaṃ	adrAkzIt AyuzmAn AnandaH svAtiH nAma Bikzum AbADikam duHKitam
   gāḍhaglānaṃ bhūmau patitaṃ phenaṃ vāhayamānam akṣiṇī parivartayamānaṃ	gAXa-glAnam BUmO patitam Penam vAhayamAnam akziNI parivartayamAnam
   svapantaṃ, dṛṣṭvā ca punas tvaritaṃ tvaritaṃ yena bhagavāṃs	svapantan, dRzwvA ca punar tvaritam tvaritam yena BagavAn=-
   tenopasaṃkrāntaḥ, upasaṃkramya bhagavataḥ pādau śirasā vanditvaikānte	tena-upasaMkrAntaH, upasaMkramya BagavataH pAdO SirasA vanditvA-ekAnte
   'sthāt. ekāntasthitaś cāyuṣmān ānando bhagavantam etad avocat. iha	asTAt. ekAnta-sTitaH ca-AyuzmAn AnandaH Bagavantam etat avocat. iha
   bhagavan chrāvastyāṃ jetavane 'nāthapiṇḍasyārāme svātir nāma bhikṣuḥ	Bagavan CrAvastyAm jetavane anATapiNxasya-ArAme svAtiH nAma BikzuH
   prativasati, navo dahras taruṇo 'cirapravrajito 'ciropasaṃpanno 'cirāgata	prativasati, navaH dahraH taruNaH acira-pravrajitaH acira-upasaMpannaH acira-Agata
   imaṃ dharmavinayaṃ. saṃghasyārthe jentākadārūṇi pāṭayamāno 'nyatamasmāt	imam Darma-vinayaM. saMGasya-arTe jentAka-dArUNi pAwayamAnaH anyatamasmAt-
   pūtidārusuṣirān niṣkramya mahatā kṛṣṇasarpeṇa dakṣiṇe pādāṃguṣṭho daṣṭaḥ.	pUti-dAru-suzirAt nizkramya mahatA kRzNa-sarpeNa dakziNe pAda-aMguzWaH dazwaH.
   sa klāntakāyo bhūmau patitaḥ phenaṃ vāhayamāno 'kṣiṇī ca parivartayamānaḥ	sa klAnta-kAyaH BUmO patitaH Penam vAhayamAnaH akziNI ca parivartayamAnaH
   svapiti, tasyāhaṃ bhagavaṃ kathaṃ pratipadyāmi.	svapiti, tasya-aham Bagavam kaTam pratipadyAmi.
   evam ukte bhagavān āyuṣmantam ānandam etad avocat. gaccha tvam ānanda	evam ukte BagavAn Ayuzmantam Anandam etat avocat. gacCa tvam Ananda
   tathāgatasya vacanenānayā mahāmāyūryā vidyārājñyā svāter bhikṣo rakṣāṃ	taTAgatasya vacanena-anayA mahA-mAyUryA vidyA-rAjQyA svAteH BikzaH rakzAm
   kuru, guptiṃ paritrāṇaṃ parigrahaṃ paripālanaṃ śāntiṃ svastyayanaṃ	kuru, guptim paritrANam parigraham paripAlanam SAntim svastyayanam
   daṇḍaparihāraṃ śastraparihāraṃ viṣadūṣaṇaṃ viṣanāśanaṃ sīmābandhaṃ	daNxa-parihAram Sastra-parihAram viza-dUzaNam viza-nASanam sImAbanDam
   dharaṇībandhaṃ ca kuru. devagrahāto nāgagrahāto 'suragrahāto marutagrahāto	DaraNI-banDam ca kuru. deva-grahAtaH nAga-gra-ha-atas asura-grahAtaH maruta-grahAtaH-
   garuḍagrahāto gandharvagrahātaḥ kinnaragrahāto mahoragagrahāto	garuxa-grahAtaH ganDarva-grahAtaH kinnara-grahAtaH mahA-uraga-gra-hAto
   yakṣagrahāto rākṣasagrahātaḥ pretagrahātaḥ piśācagrahāto bhūtagrahātaḥ	yakza-grahAtaH rAkzasa-grahAtaH preta-grahAtaH piSAca-grahAtaH BUta-grahAtaH
   kumbhāṇḍagrahātaḥ pūtanagrahātaḥ kaṭapūtanagrahātaḥ skandagrahāto	kumBANxa-grahAtaH pUtana-grahAtas kawa-pUtana-grahAtaH skanda-grahAtaH-
   unmādagrahātaḥ chāyāgrahāto 'pasmāragrahāta ostārakagrahātaḥ	unmAda-grahAtaH CAyA-grahAtaH apasmAra-grahAtaH oH-tAraka-grahAtaH
   kṛtyākarmaṇakākhordavetāḍakiraṇaciccakapreṣakadurbhuktaduścharditaduśchāyāduṣprekṣitadurlikhitadurlaṃghitāvadhūtātaḥ,	kRtyA-karmaNakA-KoH-davetAxa-kiraNa-ciccaka-prezaka-durBukta-duH-Cardita-duSCAyA-duzprekzita-durliKita-durlaMGita-avaDUtAtaH,
   (Mmvr Taku 4) jvarād ekāhikād dvaitīyakāt traitīyakāc cāturthakāt	(MmvH Taku 4) jvarAt ekAhikAt dvEtIyakAt trEtIyakAt cAturTakAt-
   saptāhikād ardhamāsikān māsikād daivasikān mauhūrtikān nityajvarād	saptAhikAt arDa-mAsikAn mAsikAt dEvasikAn mOhUrtikAn nitya-jvarAt-
   viṣamajvarād bhūtajvarān mānuṣyajvarād amānuṣyajvarād vātikāt paittikāc	vizamajvarAt BUta-jvarAt mAnuzya-jvarAt amAnuzya-jvarAt vAtikAt pEttikAc
   chleṣmakāt sarvajvarāt, śirorttim apanaya ardhāvabhedakam arocakam	ClezmakAt sarva-jvarAt, SiraH-rttim apanaya arDAvaBedakam arocakam
   akṣirogaṃ nāsārogaṃ mukharogaṃ kaṇṭharogaṃ hṛdrogaṃ galagrahaṃ karṇaśūlaṃ	akzi-rogam nAsA-rogam muKa-rogam kaNWa-rogam hRd-rogam galagraham karNa-SUlam
   dantaśūlaṃ hṛdayaśūlaṃ pṛṣṭhaśūlaṃ pārśvaśūlaṃ udaraśūlaṃ maṇiśūlaṃ	danta-SUlam hRdaya-SUlam pRzWa-SUlam pArSva-SUlam udara-SUlam maNi-SUlam
   yoniśūlaṃ prajanaśūlaṃ gaṇḍaśūlaṃ vastiśūlaṃ ūruśūlaṃ jaṃghaśūlaṃ	yoni-SUlam prajana-SUlam gaNxa-SUlam vasti-SUlam Uru-SUlam jaMGa-SUlam
   hastaśūlaṃ pādaśūlaṃ aṃgapratyaṃgaśūlaṃ cāpanaya.	hasta-SUlam pAda-SUlam aMga-pratyaMga-SUlam ca-apanaya.
   rātrau svasti divā svasti svasti madhyaṃdine sthite,	rAtrO svasti divA svasti svasti maDyaMdine sTite,
   svasti sarvaṃ aho-rātraṃ sarvabuddhā diśantu me.	svasti sarvam aho-rAtram sarva-budDAH diSantu me.
   tadyathā	tat-yaTA
   iḍi viḍi kiḍi hiḍi miḍi tiḍi āḍe ghāḍe durgāḍe hariṇi vaguḍi pāṃśu piśāci	ixi vixi kixi hixi mixi tixi Axe GAxe durgAxe hariNi vaguxi pAMSu piSAci
   varṣaṇi ārohaṇi orohaṇi, ele mele tele tile, tili tile, mele mele, time	varzaNi ArohaNi orohaNi, ele mele tele tile, tili tile, mele mele, time
   time, dume dume, dudume dudume, iṭṭi miṭṭi viṣṭhande, capale vimale, hulu	time, dume dume, dudume dudume, iwwi miwwi vizWande, capale vimale, hulu
   hulu hulu hulu, aśvamukhi, kāli kāli karāli mahākāli, prakīrṇakeśi, kulu	hulu hulu hulu, aSvamuKi, kAli kAli karAli mahAkAli, prakIrNa-keSi, kulu
   kulu, vaphulu vaphulu kolu kolu hulu hulu, vahulu vahulu, kolu kolu, hulu	kulu, vaPulu vaPulu kolu kolu hulu hulu, vahulu vahulu, kolu kolu, hulu
   hulu, vahulu vahulu, vosā dumbā dodumbā domadumbā, golāyā velāyā	hulu, vahulu vahulu, vA-usA dumbA dodumbA domadumbA, golAyAH velAyAH-
   parivelāyā, piśu piśu, hili hili hili hili hili hili hili hili hili hili,	parivelAyA, piSu piSu, hili hili hili hili hili hili hili hili hili hili,
   oṃ mili mili mili mili mili mili mili mili mili mili. oṃ tili tili tili	om mili mili mili mili mili mili mili mili mili mili. om tili tili tili
   tili tili tili tili tili tili tili. oṃ culu culu culu culu culu culu culu	tili tili tili tili tili tili tili. om culu culu culu culu culu culu culu
   culu culu culu. oṃ muhu (Mmvr Taku 5) muhu muhu muhu muhu muhu muhu muhu	culu culu culu. om muhu (MmvH Taku 5) muhu muhu muhu muhu muhu muhu muhu
   muhu muhu. oṃ mulu mulu mulu mulu mulu mulu mulu mulu mulu mulu. oṃ hu hu	muhu muhu. om mulu mulu mulu mulu mulu mulu mulu mulu mulu mulu. om hu hu
   hu hu hu hu hu hu hu hu. oṃ hulu hulu hulu hulu hulu hulu hulu hulu hulu	hu hu hu hu hu hu hu hu. om hulu hulu hulu hulu hulu hulu hulu hulu hulu
   hulu. oṃ vā vā vā vā vā vā vā vā vā vā. oṃ pā pā pā pā pā pā pā pā pā pā.	hulu. om vA vA vA vA vA vA vA vA vA vA. om pA pA pA pA pA pA pA pA pA pA.
   oṃ jāla jāla jāla jāla jāla jāla jāla jāla jāla jāla. dama damani, tapa	om jAla jAla jAla jAla jAla jAla jAla jAla jAla jAla. dama damani, tapa
   tapani, jvala jvalani, paca pacani, duṃdubhi garjani varṣaṇi sphoṭani,	tapani, jvala jvalani, paca pacani, duMduBi garjani varzaNi sPowani,
   tapani tāpani, pacani pācani, hariṇi hāriṇi, kāliṇi kamali kaṃpani,	tapani tApani, pacani pAcani, hariNi hAriNi, kAliNi kamali kaMpani,
   mardani, maṇḍitike, kṣemaṃkari, makari śākari, śarkari karkari savari	mardani, maNxitike, kzemaMkari, makari SAkari, Sarkari karkari sa-vari
   śaṃkari, jvalani jvalani, dumadumbani sukusume, golāyā velāyā parivelāyā	SaMkari, jvalani jvalani, duma-dumbani su-kusume, golAyAH velAyA parivelAyA
   varṣatu devaḥ samantakena ilikisi svāhā.	varzatu devaH samantakena ilikisi svAhA.
   maitrī me dhṛtarāṣṭreṣu maitrī airāvaṇeṣu ca,	mEtrI me DRtarAzwrezu mEtrI ErAvaNezu ca,
   virūpākṣeṣu me maitrī kṛṣṇagotamakṣeṣu ca.	virUpAkzezu me mEtrI kRzNa-gotamakzezu ca.
   maṇinā nāgarājena maitrī vāsukinā ca me,	maNinA nAga-rAjena mEtrI vAsukinA ca me,
   daṇḍapādeṣu nāgeṣu pūrṇabhadreṣu me sadā.	daNxa-pAdezu nAgezu pUrNa-Badrezu me sadA.
   nandopanandau yau nāgau varṇavantau yaśasvinau,	nanda-upanandO yO nAgO varNavantO yaSasvinO,
   devāsuram api saṃgrāmam anubhavantau maharddhikau.	deva-asuram api saMgrAmam anuBavantO mahardDikO.
   anavataptena varuṇena maitrī mandūrakena ca,	anavataptena varuNena mEtrI mandUrakena ca,
   takṣakena anantena tathā vāsūmukhena ca.	takzakena anantena taTA vAsU-muKena ca.
   aparājitena me maitrī maitrī cchitvāsutena ca,	aparAjitena me mEtrI mEtrI cSitvA-sutena ca,
   mahāmanasvinānityaṃ tathaiva ca manasvinā.	mahAmanasvinA-anityam taTA-eva ca manasvinA.
   kālako apalālaś ca bhāgavāñ chrāmaṇerakaḥ,	kAlakaH apalAlaH ca BAgavAn CrAmaNerakaH,
   dadhimukho maṇiś caiva pauṇḍarīko diśāṃpatiḥ.	daDimuKaH maNiH ca-eva pONxarIkaH diSAMpatiH.
   karkoṭakaḥ śaṃkhapālaḥ kambalāśvottarāv ubhau,	karkowakaH SaMKapAlaH kambala-aSva-uttarO uBO,
   eteṣv api ca me maitrī nāgarājeṣu ca nityaśaḥ.	etezu api ca me mEtrI nAga-rAjezu ca nityaSas-.
   (Mmvr Taku 6)	(MmvH Taku 6)
   sāketaś ca kumbhīraḥ sūcilomā tathaiva ca,	sAketaH ca kumBIraH sUcilomA taTA-eva ca,
   uragādhipena kālena maitrī me ṛṣikena ca.	uraga-aDipena kAlena mEtrI me Rzikena ca.
   tathā pūraṇakarṇena maitrī śakaṭamukhena,	taTA pUraNa-karNena mEtrI Sakawa-muKena,
   kolukena sunandena vātsīputreṇa me sadā.	kolukena sunandena vAtsIputreNa me sadA.
   elapatreṇa me maitrī lamburakena ca,	ela-patreNa me mEtrI lamburakena ca,
   amānuṣāś ca ye nāgās tathaivottaramānuṣāḥ.	amAnuzAH ca ye nAgAH taTA-eva-uttara-mAnuzAH.
   mṛgilaś ca mahānāgo mucilindaś ca viśrutaḥ,	mRgilaH ca mahA-nAgaH mucilindaH ca viSrutaH,
   pṛthivīcarāś ca ye nāgās tathaiva jalaniśritāḥ.	pRTivI-carAH ca ye nAgAH taTA-eva jala-niSritAH.
   antarīkṣacarā ye ca ye ca merusamāśritāḥ,	antarIkza-carAH ye ca ye ca meru-samASritAH,
   ekaśīrṣadviśīrṣāhi maitrī me teṣu nityaśaḥ.	eka-SIrza-dvi-SIrzAhi mEtrI me tezu nityaSas-.
   apādakeṣu me maitrī maitrī me dvipadeṣu ca,	apAdakezu me mEtrI mEtrI me dvipadezu ca,
   catuṣpadeṣu me maitrī maitrī bahupadeṣu ca.	catuzpadezu me mEtrI mEtrI bahu-padezu ca.
   mā me apādakā hiṃsyur mā me hiṃsyur dvipādakāḥ,	mA me apAdakAH hiMsyuH mA me hiMsyuH dvi-pAdakAH,
   mā me catuṣpadā hiṃsyur mā me hiṃsyur bahupādakāḥ.	mA me catuzpadAH hiMsyuH mA me hiMsyuH bahu-pAdakAH.
   sarvanāgeṣu me maitrī ye nāgā jalaniśritāḥ,	sarva-nAgezu me mEtrI ye nAgAH jala-niSritAH,
   sarvabhūteṣu me maitrī ye kecit pṛthivīsthitāḥ.	sarva-BUtezu me mEtrI ye kecid pRTivI-sTitAH.
   sarvasatveṣu me maitrī ye satvā atra sthāvarāḥ,	sarva-satvezu me mEtrI ye satvAH atra sTAvarAH,
   sarve satvāḥ sarve prāṇāḥ sarve bhūtāś ca kevalāḥ.	sarve satvAH sarve prANAH sarve BUtAH ca kevalAH.
   sarve vai sukhinaḥ santu sarve santu nirāmayāḥ,	sarve vE suKinaH santu sarve santu nirAmayAH,
   sarve bhadrāṇi paśyantu mā kaścit pāpam āgamatu.	sarve BadrANi paSyantu mA kaScid pApam Agamatu.
   maitrīcittaṃ samotthāya karomi viṣadūṣaṇaṃ,	mEtrI-cittam sama-utTAya karomi viza-dUzaNaM,
   rakṣāṃ parigrahaṃ caiva tathaiva paripālanaṃ.	rakzAm parigraham ca-eva taTA-eva paripAlanaM.
   namo 'stu buddhāya namo 'stu bodhaye,	namaH astu budDAya namaH astu boDaye,
   (Mmvr Taku 7)	(MmvH Taku 7)
   namo 'stu muktāya namo 'stu muktaye.	namaH astu muktAya namaH astu muktaye.
   namo 'stu śāntāya namo 'stu śāntaye,	namaH astu SAntAya namaH astu SAntaye,
   namo vimuktāya namo vimuktaye.	namaH vimuktAya namaH vimuktaye.
   ye brāhmaṇā vāhitapāpadharmāḥ,	ye brAhmaNAH vAhita-pApa-DarmAH,
   teṣāṃ namas te ca mama pālayaṃtu.	tezAm namaH te ca mama pAlayaMtu.
   sarvabhayebhyaḥ sarvopadravebhyaḥ sarvopasargopāyāsebhyaḥ sarvajvarebhyaḥ	sarva-BayeByaH sarva-upadraveByaH sarva-upasarga-upAyAseByaH sarva-jvareByaH
   sarvavyādhibhyaḥ sarvagrahebhyaḥ sarvaviṣebhyaḥ mama sarvasatvānāṃ ca	sarva-vyADiByaH sarva-graheByaH sarva-vizeByaH mama sarva-satvAnAm ca
   rakṣāṃ kurvantu, jīvantu varṣaśataṃ paśyantu śaradāśataṃ.	rakzAm kurvantu, jIvantu varza-Satam paSyantu Sarad-A-SataM.
   bhūtapūrvam ānanda himavataḥ parvatarājasya dakṣiṇe pārśve suvarṇāvabhāso	BUta-pUrvam Ananda himavataH parvata-rAjasya dakziNe pArSve suvarNa-avaBAsa-u
   nāmo mayūrarājā prativasati sma. so 'py anayā mahāmāyūryā vidyārājñyā	nAmaH mayUrarAjA prativasati sma. saH api anayA mahA-mAyUryA vidyA-rAjQyA
   kalyaṃ svastyayanaṃ kṛtvā divā svastinā viharati. sāyaṃ svastyayanaṃ kṛtvā	kalyam svastyayanam kRtvA divA svastinA viharati. sAyam svastyayanam kRtvA
   rātrau svastinā viharati.	rAtrO svastinA viharati.
   namo buddhāya namo dharmāya namaḥ saṃghāya namo bhagavatyai mahāmāyūryai	namaH budDAya namaH DarmAya namaH saMGAya namaH BagavatyE mahA-mAyUryE
   vidyārājñyai. tadyathā	vidyA-rAjQyE. tat-yaTA
   hu hu hu hu hu hu, nāga le le le, dumba le le le, huya huya, vija vija,	hu hu hu hu hu hu, nAga le le le, dumba le le le, huya huya, vija vija,
   thusa thusa, guru guru, he cejini, agalu, elā melā, ili melā, tili melā,	Tusa Tusa, guru guru, he cejini, agalu, elA melA, ili melA, tili melA,
   ili tili melā, ili mitte, tili mitte ili tili mitte, dumbe sudumbe, tosu	ili tili melA, ili mitte, tili mitte ili tili mitte, dumbe su-dumbe, tosu
   tosu, golā velā capalā vimalā, iṭṭiri bhiṭṭiri riṭṭiri, namo buddhānāṃ	tosu, golA velA capalA vimalA, iwwiri Biwwiri riwwiri, namaH budDAnAm
   cilikisi godohikānāṃ namo 'rhatāṃ hāla dāla varṣatu devaḥ samantena daśasu	cilikisi godohikAnAm namaH arhatAm hAla dAla varzatu devaH samantena daSasu
   diśāsu. namo buddhānāṃ svāhā.	diSAsu. namaH budDAnAm svAhA.
   so 'pareṇa samayenānayā mahāmāyūryā vidyārājñyā rakṣāsvastyayanam akṛtvā	saH apareNa samayena-anayA mahA-mAyUryA vidyA-rAjQyA rakzAsu-astyayanam akRtvA
   saṃbahulābhir vanamayūrakanyābhiḥ sārdham ārāmeṇārāmam udyānenodyānaṃ	saMbahulABiH vana-mayUra-kanyABiH sArDam ArAmeNa-ArAmam udyAnena-udyAnam
   parvatapārśvena (Mmvr Taku 8) parvatapārśvaṃ kāmeṣu gṛdhra āsakto	parvata-pArSvena (MmvH Taku 8) parvata-pArSvam kAmezu gRDraH AsaktaH-
   madamattaḥ pramūḍhaḥ pramūrcchitaḥ praluḍito 'nuvicaran pramādavaśād	mada-mattaH pramUXaH pramUrcCitaH praluxitaH anuvicaran pramAda-vaSAt-
   anyataraṃ parvatavivaram anupraviṣṭaḥ. sa tatra dīrgharātraṃ	anyataram parvata-vivaram anupravizwaH. sa tatra dIrGa-rAtram
   pratyarthikaiḥ pratyamitrair hiṃsakair avatāraprekṣibhir avatāragaveṣibhir	pratyarTikEH pratyamitrEH hiMsakEH avatAra-prekziBiH avatAra-gaveziBiH-
   mayūrapāśair baddhaḥ. so 'mitramadhyagataḥ smṛtiṃ pratilabdhaḥ, imām eva	mayUra-pASEH badDaH. saH amitra-maDya-gataH smRtim pratilabDaH, imAm eva
   mahāmāyūrīvidyārājñīṃ manasyakārṣīt.	mahA-mAyUrI-vidyA-rAjQIm manasi-akArzIt-.
   namo buddhāya namo dharmāya namaḥ saṃghāya namo bhagavatyai mahāmāyūryai	namaH budDAya namaH DarmAya namaH saMGAya namaH BagavatyE mahA-mAyUryE
   vidyārājñyai. tadyathā	vidyA-rAjQyE. tat-yaTA
   hu hu hu hu hu hu, hulu hulu hulu, nāga le le le, dumba le le le, nāga le	hu hu hu hu hu hu, hulu hulu hulu, nAga le le le, dumba le le le, nAga le
   le le, huya huya, vija vija, thusu thusu, gulu gulu, hu cejini, agalu, elā	le le, huya huya, vija vija, Tusu Tusu, gulu gulu, hu cejini, agalu, elA
   melā, ili melā, tili melā, ili mitte tili mitte, ili tili mitte, dumbe	melA, ili melA, tili melA, ili mitte tili mitte, ili tili mitte, dumbe
   sudumbe, tosu tosu, golā velā capalā vimalā, iṭṭiri bhiṭṭiri riṭṭiri, namo	su-dumbe, tosu tosu, golA velA capalA vimalA, iwwiri Biwwiri riwwiri, namaH-
   buddhānāṃ. cilikisi godohikānāṃ. namo 'rhatāṃ hāla dāla varṣatu devaḥ	budDAnAM. cilikisi go-dohikAnAn. namaH arhatAm hAla dAla varzatu devaH
   samantena daśasu diśāsu. namo buddhānāṃ svāhā.	samantena daSasu diSAsu. namaH budDAnAm svAhA.
   atha sa tasmād vyasanāt parimuktaḥ, svastinā kṣemeṇa svaviṣayam	aTa sa tasmAt vyasanAt parimuktaH, svastinA kzemeNa sva-vizayam
   anuprāptaḥ. imāni ca mantrapadāny udāharati sma.	anuprAptaH. imAni ca mantra-padAni udAharati sma.
   namo buddhāya namo dharmāya namaḥ saṃghāya namaḥ suvarṇāvabhāsasya	namaH budDAya namaH DarmAya namaH saMGAya namaH suvarNa-avaBAsasya
   mayūrarājñaḥ, namo mahāmāyūryai vidyārājñyai. tadyathā	mayUrarAjQaH, namaH mahA-mAyUryE vidyA-rAjQyE. tat-yaTA
   siddhe susuddhe, mocani mokṣani, mukte vimukte, amale vimale nirmale,	sidDe su-sudDe, mocani mokza-ni, mukte vimukte, amale vimale nirmale,
   aṇḍare paṇḍare, maṅgale maṅgalye, hiraṇye hiraṇyagarbhe, ratne	aNxare paNxare, maFgale maFgalye, hiraNye hiraNyagarBe, ratne
