   śrīrastu	SrIH astu
   jñātmasmābhiḥ | ādau bhavatoktaṃ abhivadyābhivandyaṃ prāgiti | sa ca budo	jQAtmasmABiH | AdO BavatA uktam aBivadya aBivandyam prAk iti | sa ca budaH 
   [bhagavān] | kasmāt tasya buddha ityākhyā | kena guṇenābhivandyaḥ | (u)	[BagavAn] | kasmAt tasya budDaH iti AKyA | kena guNena aBivandyaH | (u)
   bhagavān prakṛtyā manuṣyabhūtaḥ sarvākārajñānena sarvadharmāṇāṃ	BagavAn prakRtyA manuzya BUtaH sarva AkAra jQAnena sarva DarmANAm
   svalakṣaṇavibhāgān prajānāti | sarvākuśalavinirmuktaḥ sañcitasarvakuśalaḥ	sva lakzaNa viBAgAn prajAnAti | sarva akuSala vinirmuktaH saQcita sarva kuSalaH
   sarvasattvānāṃ (SSS_3) hitaiṣī cetyato buddha ityucyate | [sattvān]	sarva sattvAnAm (H SS_3) hita ezI ca iti atas budDaH iti ucyate | [sattvAn]
   śikṣayitumupadiṣṭaṃ dharma ityucyate | taṃ dharmaṃ ye pratipadyante te	Sikzayitum upadizwam DarmaH iti ucyate | tam Darmam ye pratipadyante te
   saṅgha ityucyante | ityeteṣāṃ triratnānāmabhivandananidānaṃ vakṣye |	saFGaH iti ucyante | iti etezAm tri ratnAnAm aBivandana nidAnam vakzye |
   bhagavān pañca[dharma]skandhasaṃpannaḥ ityato devamanuṣyāṇāṃ pūjyaḥ |	BagavAn paQca[Darma] skanDa saMpannaH iti atas deva manuzyANAm pUjyaH |
   (pṛ) anye 'pi āryapugdalāḥ pañcadharmaskandhasamanvitāḥ | tathāgatasya ko	(pR) anye api Arya pugdalAH paQca Darma skanDa samanvitAH | taTAgatasya ko
   viśeṣaḥ | (u) tathāgatasya pañcaguṇaskandhasaṃpadaḥ pariśuddhāḥ | tatkasya	viSezaH | (u) taTAgatasya paQca guNa skanDa saMpadaH pariSudDAH | tat kasya
   hetoḥ | kāyikādiṣu karmasu apramattatvāt śīlaskandhasaṃpat [pariśuddhā] |	hetoH | kAyika Adizu karmasu apramatta tvAt SIla skanDa saMpad [pariSudDA] |
   bhagavān śīlasaṃvara evāvipannaḥ | kimuta vaktavyaṃ mūlāpattau | kiñca	BagavAn SIla saMvaraH eva avipannaH | kim uta vaktavyam mUla ApattO | kiQca
   cirasañcitamaitrīkasya nākuśalacittamudeti | yathoktaṃ sūtre 	cira saQcita mEtrIkasya na akuSala cittam udeti | yaToktam sUtre 
   bhagavānavocadānandam | ājanma yo maitrīmabhyasyati tasyākuśalacittamudeti	BagavAn avocat Anandam | Ajanma yaH mEtrIm aByasyati tasya akuSala cittam udeti
   na vā | no bhagavan iti | tathāgataścirasañcitakuśalasvabhāvaḥ,	na vA | naH Bagavan iti | taTAgataH cira saQcita kuSala svaBAvaH,
   nātmatrāṇārthaṃ kintu apakīrtibhīrutayā saṃvaraśīlaṃ dhatte |	na Atma trANa arTam kintu apakIrti BIru tayA saMvara SIlam Datte |
   apramāṇabuddheṣu dīrghābhyastaśīlacaryaḥ	apramANa budDezu dIrGa aByasta SIla caryaH
   unmūlitatriviṣamūlātyantaniśśeṣavāsanaḥ | ityādibhiḥ pratyayaiḥ	unmUlita triviza mUla atyanta niSSeza vAsanaH | ityAdiBiH pratyayEH
   śīlaskandhasampannaḥ |	SIla skanDa sampannaH |
   samādhiskandhasampannaḥ | tathāgata imaṃ samādhiṃ niśritya sarvajñajñānaṃ	samADi skanDa sampannaH | taTAgataH imam samADim niSritya sarvajQa jQAnam
   labdhavān | ataḥ samādhiskandhasampanna iti jñāyate | yathā	labDavAn | atas samADi skanDa sampannaH iti jQAyate | yaTA
   ghṛtatailabahulaḥ pradīpaḥ vartikāmahimnā mahān prakāśate | tathāgataḥ	GRta tEla bahulaH pradIpaH vartikA mahimnA mahAn prakASate | taTAgataH
   sunirūḍhastambhavat dṛḍhasamādhikaḥ | anye tu jalarūḍhastambhavat	su nirUXa stamBa vat dRXa samADikaH | anye tu jala rUXa stamBa vat 
   apratilabdhacirasamādhikāḥ | tathāgatasya dhyānasamādhirapramāṇakalpeṣu	apratilabDa cira sama aDikAH | taTAgatasya DyAna samADiH apramANa kalpezu
   kramaśaḥ saṃsiddhaḥ | ata staṃ paripūrayati | tathāgatasya samādhiḥ	kramaSas saMsidDaH | atas stam paripUrayati | taTAgatasya samADiH
   puruṣaṃ sthānaṃ dharmopadeśaṃ vā ityādipratyayagaṇān nopakṣate | na	puruzam sTAnam Darma upadeSam vA ityAdi pratyaya gaNAn na upakzate | na
   tathānyeṣām | tathāgataḥ sadā gabhīrabhāvitasamādhirbhavati | yathā kaścit	taTA anyezAm | taTAgataH sadA gaBIra BAvita samADiH Bavati | yaTA kaScid 
   ātmānaṃ saṃrakṣan sadā smarati na vismarati | tathāgataḥ	AtmAnam saMrakzan sadA smarati na vismarati | taTAgataH
   dhyānasamādhimupasampadya na cittabalamadhitiṣṭhati | tadyathā kaścit	DyAna samADim upasampadya na citta balam aDitizWati | tat yaTA kaScid 
   svāvasaṃthaṃ prāpya vadati kṣemaprāptaḥ akhinna iti | na	svAvasaMTam prApya vadati kzema prAptaH aKinnaH iti | na
   samādhisthastathāgataḥ punarevam | ata ucyate tathāgataḥ	samADi sTaH taTAgataH punar evam | atas ucyate taTAgataH
   nityasamādhisthita iti | dhyānasamādhiprakampino (SSS_4) mahāprāmodyādayo	nitya samADi sTitaH iti | DyAna samADi prakampinaH (H SH _4) mahA prAmodyAt ayaH 
   dharmāḥ tathāgatasya sarve prahīṇāḥ |	DarmAH taTAgatasya sarve prahINAH |
   cirasamādhivipākapratilabdhaiśvaryadivyābhijñānāṃ paramo 'graṇīḥ |	cira samADi vipAka pratilabDa ESvarya divya aBijQAnAm paramaH agraNIH |
   ṛddhividhinā ekasminneva kṣaṇe daśadikṣu apramāṇadhātuṣu parikrāmati |	RdDi viDinA ekasmin= eva kzaNe daSa dikzu apramANa DAtuzu parikrAmati |
   sarvāṇi kṛtyāni yatheṣṭaṃ karoti | sarvanirmiteṣu apratihataṃ prabhavati |	sarvANi kRtyAni yaTezwam karoti | sarva nirmitezu apratihatam praBavati |
   anye sattvā māgacchantviti sarvadharmānugacitto bhavati |	anye sattvAH mA AgacCantu iti sarva Darma anuga cittaH Bavati |
   tathāgatasya āryavaśitāsamanvitasya sukhe asukhasaṃjñotpadyate | asukhe ca	taTAgatasya Arya vaSitA samanvitasya suKe asuKa saMjQA utpadyate | asuKe ca
   sukhasaṃjñotpadyate sukhāsukhe ca upekṣāsaṃjñotpadyate | (pṛ)asukhe upekṣā	suKa saMjQA utpadyate suKa asuKe ca upekzA saMjQA utpadyate | (pR)a suKe upekzA
   jāyeta | kathaṃ sukhasaṃjñā jāyeta | (u) subhāvitacittatvāt	jAyeta | kaTam suKa saMjQA jAyeta | (u) su BAvita citta tvAt
   vākpāruṣyādyasukhadharmeṣu na pratibandhaṃ manyate | anyāsu divyābhijñāsu	vAc pAruzya Adi a suKa Darmezu na pratibanDam manyate | anyAsu divya aBijQAsu
   divyacakṣurdivyaśrotraparacittajñānapūrvanivāsānusmṛtiṣu apratihato	divya cakzuH divya Srotra para citta jQAna pUrva nivAsa anusmRtizu apratihataH 
   bhavati | samādhibalena apratihatadivyābhijño bhavati | dhyānasamādhiṣu	Bavati | samADi balena apratihata divya aBijQaH Bavati | DyAna samADizu
   suvyaktābhisamayaḥ | tānanye sattvā na śṛṇvanti | tathāgata evāpratihataṃ	su vyakta aBisamayaH | tAn anye sattvAH na SRNvanti | taTAgataH eva apratihatam
   praviśati vyuttiṣṭhate ca | tathāgatasya dhyānasamādhi rbalamityākhyāyate	praviSati vyuttizWate ca | taTAgatasya DyAna samADi rbalam iti AKyAyate
   | yathā daśabalavarge vakṣyate | anyeṣāṃ pugdalānāṃ nāsti [tādṛśaṃ] kiñcit	| yaTA daSa bala varge vakzyate | anyezAm pugdalAnAm na asti [tAdRSan] kiQcid 
   | ataḥ tathāgata samādhiskandhasampannaḥ |	| atas taTAgata samADi skanDa sampannaH |
   prajñāskandhasampanna iti | dhyānāvaraṇaṃ kleśotpāda iti dvividhāvidyā	prajQA skanDa sampannaH iti | DyAna AvaraNam kleSa utpAdaH iti dviviDa avidyA
   tathāgatasya sarvathā prahīṇā | viruddhasya prahāṇāt	taTAgatasya sarvaTA prahINAH | virudDasya prahANAt 
   prajñāskandhasampannaḥ | svato dharmalābhī [tathāgataḥ] na parataḥ śrutvā	prajQA skanDa sampannaH | svatas Darma lABI [taTAgataH] na paratas SrutvA
   | niruktikuśalaḥ arthagatijñānasujñānakuśalaḥ anavasannapratibhānaḥ	| nirukti kuSalaH arTa gati jQAna su jQAna kuSalaH anavasannapratiBAnaH
   akṣīṇaprajñaśca | anye sattvā steṣu kauśalaṃ na saṃpādayāṃbabhūvuḥ |	akzINa prajQaH ca | anye sattvAH stezu kOSalam na saMpAdayAMbaBUvuH |
   bhagavānena anapakṛṣṭakṣayajñānaḥ | atastathāgataḥ prajñāskandhasampannaḥ	BagavAn ena anapakRzwa kzaya jQAnaH | atas taTAgataH prajQA skanDa sampannaH
   bhagavadbhāṣito dharmaḥ arthagatau kuśalaḥ | nānyairalpajñai rbhāṣitaḥ	Bagavat BAzitaH DarmaH arTa gatO kuSalaH | na anyEH alpa jQEH rBAzitaH
   samarthaḥ niravadyaḥ | tathāgata bhāṣita evānavadyaḥ | atastathāgata	samarTaH niravadyaH | taTAgata BAzitaH eva anavadyaH | atas taTAgata
   prajñāskandhasampannaḥ | apramāṇaguṇasādhanīyā prajñeti [tāṃ] sampādayati	prajQA skanDa sampannaH | apramANa guNa sADanIyA prajQA iti [tAM] sampAdayati
   | dharmaṃ praṇītamaviparītañca bhāṣitavān | yathā aśubhabhāvanā (SSS_5)	| Darmam praNItam aviparItaQca BAzitavAn | yaTA aSuBa BAvanA (H SS_5)
   kāmarāgabhedinītyādayaḥ | prajñāprakarṣāt prakṛṣṭeryāpathaśca bhavati	kAma rAga BedinI ityAdayaH | prajQA prakarzAt prakRzweH yApaTaH ca Bavati
   ityādibhiḥ pratyayaiḥ prajñāskandhasampannaḥ |	ityAdiBiH pratyayEH prajQA skanDa sampannaH |
   vimuktiskandhasampanna iti | avidyādvayāccittaṃ vimuktam | nānyāsti	vimukti skanDa sampannaH iti | avidyA dvayAt cittam vimuktam | na anyAsti
   vāsanā, sarvathānivṛtā ityādinā vimuktisampannaḥ |	vAsanA, sarvaTA nivRtAH ityAdinA vimukti sampannaH |
   vimuktijñānadarśanasampanna iti | sarvasmin saṃyojanaprahāṇamārge	vimukti jQAna darSana sampannaH iti | sarvasmin saMyojana prahANa mArge
   pratikṣaṇaṃ smṛtijñānakuśalaḥ | yathā kaścit vṛkṣaṃ chettuṃ haste	pratikzaNam smRti jQAna kuSalaH | yaTA kaScid vRkzam Cettum haste
   dhṛtakuṭhāraḥ pāryantikaṃ jānānaḥ prajānāti śākhāḥ praśākhāḥ | tathā	DRta kuWAraH pAryantikam jAnAnaH prajAnAti SAKAH praSAKAH | taTA
   bhagavānapi saṃyojanaprahāṇajñānasya pratikṣaṇaṃ kṣīyamāṇaṃ	BagavAn api saMyojana prahANa jQAnasya pratikzaNam kzIyamANam
   sarvamavayavaśaḥ prajānāti | sattvānāmāśayaṃ jñātvā yathāyogaṃ	sarvam avayavaSas prajAnAti | sattvAnAm ASayam jQAtvA yaTAyogam
   dharmamupadiśati | yena [te] vimucyante | ataḥ sattvānāṃ sarvavimuktimārge	Darmam upadiSati | yena [te] vimucyante | atas sattvAnAm sarva vimukti mArge
   jñānadarśanasampannaḥ |	jQAna darSana sampannaH |
   kiñca bhagavān kālaṃ jñātvā dharmamupadiśati yathā timburukabrāhmaṇādinām	kiQca BagavAn kAlam jQAtvA Darmam upadiSati yaTA timburuka brAhmaNa AdinAm
   | tathāgataḥ dharmāṇāṃ vibhāgajñānakuśalaḥ | ayaṃ pudgalaḥ asya	| taTAgataH DarmANAm viBAga jQAna kuSalaH | ayam pudgalaH asya
   dharmasyārha iti | yathā bhagavānānandamāmantrya chandakasya yogyaṃ	Darmasya arhaH iti | yaTA BagavAn Anandam Amantrya Candakasya yogyam
   bhāvābhāvavyāvartakaṃ sūtramupadiśati | atastathāgato vimuktijñānakuśalaḥ	BAva aBAva vyAvartakam sUtram upadiSati | atas taTAgataH vimukti jQAna kuSalaH
   | kiñcopāyakuśalaḥ sattvamalaṃ hāpayati yathā nandasya kāmaprajihīrṣāyai	| kiQca upAya kuSalaH sattva m alam hApayati yaTA nandasya kAma prajihIrzAyE
   [dharma]mupadiśati | sattvānāñca śraddhendriyādiparipākaṃ jñātvā paścāt	[Darma]m upadiSati | sattva anAQca SradDA indriya Adi paripAkam jQAtvA paScAt 
   dharmamupadiśati yathā rāhulasya | kecit sattvāḥ karmavipākāvṛtāḥ na	Darmam upadiSati yaTA rAhulasya | kecid sattvAH karma vipAka AvRtAH na
   vimuktiṃ labhante | bhagavān [taṃ]nāśayitvā dharmamupadiśati | kecit	vimuktim laBante | BagavAn [taM]na ASayitvA Darmam upadiSati | kecid 
   sattvāḥ kālapakṣye kṣīṇāsravā bhavanti yathā jāyāpatisūtra upadiṣṭam |	sattvAH kAla pakzye kzINa AsravAH Bavanti yaTA jAyApati sUtraH upadizwam |
   kecit sattvāḥ puruṣaviśeṣamapekṣya kṣīṇāsravāḥ bhavanti yathā śāriputra	kecid sattvAH puruza viSezam apekzya kzINa AsravAH Bavanti yaTA SAriputra
   aśvajitamapekṣya | kecit sattvā deśamapekṣya kṣīṇāsravāḥ yathā rājā	aSva jitam apekzya | kecid sattvAH deSam apekzya kzINa AsravAH yaTA rAjA
   pukkasātiḥ | kecit sattvā satīrthyamapekṣya (SSS_6) kṣīṇāsravāḥ yathā	pukka sAtiH | kecid sattvA sa tIrTyam apekzya (H SS_6) kzINa AsravAH yaTA
   gopāla nandaḥ ajitagrāmīṇādīnapekṣya | kecit sattvā bhagavataḥ	gopAla nandaH ajita grAmINa AdIn apekzya | kecid sattvAH BagavataH
   tāttvikakāyamapekṣya nirmitakāya ñcāpekṣya kṣīṇāsravā bhavanti | bhagavān	tAttvika kAyam apekzya nirmitakAya Qca apekzya kzINa AsravAH Bavanti | BagavAn
   pratipatiṃ jñātvā dharmamupadiśati [atha]vimocayati | kiñca bhagavān	pratipatim jQAtvA Darmam upadiSati [aTa] vimocayati | kiQca BagavAn
   vividhān saddharmānupadiya sarvān vimuktyāvaraṇadharmān paribhedayati ato	viviDAn sadDarmAn upadiya sarvAn vimukti AvaraNa DarmAn pariBedayati atas 
   vimuktijñānadarśanasampanna ityucyate |	vimukti jQAna darSana sampannaH iti ucyate |
   bhagavān dharmārthagatikuśalo dharmamupadiśati nānarthamavipākam |	BagavAn Darma arTa gati kuSalaH Darmam upadiSati na anarTam avipAkam |
   bhagavān saṃkhyāgaṇanavat kramaśo vimuktimārgamupadiśati | ataḥ suvimoko	BagavAn saMKyA gaNana vat kramaSas vimukti mArgam upadiSati | atas su vimokaH 
   bhavati | bhagavān satvānāṃ pūrvanivāsaṃ kuśalamūla ñca jñātvā kramaśo	Bavati | BagavAn satvAnAm pUrva nivAsam kuSala mUla Qca jQAtvA kramaSas 
   dharmamupadiśati | bhagavān vimuktiṃ pratyakṣīkṛtya parasyopaśati na	Darmam upadiSati | BagavAn vimuktim pratyakzIkRtya parasya upaSati na
   parataḥśratvā | jinaśāsanaṃ vahvībhiḥ kalābhiḥ sampannam | yathā	paratas SratvA | jina SAsanam vahvIBiH kalABiH sampannam | yaTA
   bhaiṣajyakalāsampanno vyādhīn śamayati | tathā jinaśāsanamapi	BEzajya kalA sampannaH vyADIn Samayati | taTA jina SAsanam api
   pratipakṣakalāpamukhena sarvān kleśān vyāvartayati | yathā navasaṃjñādīn	pratipakza kalApa muKena sarvAn kleSAn vyAvartayati | yaTA nava saMjQA AdIn
   mahatyo 'lpā vā saṃyojanā na punaḥ kṣapayanti | ataḥ kauśalasampanna eva	mahatyaH alpAH vA saMyojanAH na punar kzapayanti | atas kOSala sampannaH eva
   kleśān paribhedayati | anuttamopāyaiḥ sattvān santārayati, kadācit	kleSAn pariBedayati | anuttama upAyEH sattvAn santArayati, kadAcid 
   sukumāravacanaiḥ kadācit kaṭuvacanaiḥ kadācit punaḥ sukumārakaṭuvacanaiśca	sukumAra vacanEH kadAcid kawu vacanEH kadAcid punar sukumAra kawu vacanEH ca
   | tadarthameva tathāgato vimuktijñānadarśanasampannaḥ iti |	| tad arTam eva taTAgataH vimukti jQAna darSana sampannaH iti |
   prasthānaskandhe buddharatnādhikāre ādyasampadvargaḥ prathamaḥ |	prasTAna skanDe budDa ratna aDikAre Adya sampad vargaH praTamaH |
   (SSS_7)	(H SS_7)
   2 daśabalavargaḥ	2 daSa bala vargaH
   atha bhagavān daśa balasamanvāgamāt prajñāsampannaḥ |	aTa BagavAn daSa bala samanvAgamAt prajQA sampannaH |
   hetupratyayapratilomakatayoktāni daśabalāni | talādyaṃ	hetu pratyaya pratilomaka tayA uktAni daSa balAni | tala Adyam
   sthānāsthānajñānabalam | idaṃ kāryakāraṇanaiyatyajñānam | asmāt īdṛśaṃ	sTAna AsTAna jQAna balam | idam kArya kAraNa nEyatya jQAnam | asmAt IdRSam
   phalaṃ bhavati na tādṛśam | ayamācāraḥ akuśalo 'vayaṃ duḥkhavipākaḥ na	Palam Bavati na tAdRSam | ayam AcAraH akuSalaH avayam duHKa vipAkaH na
   sukhavipāka iti jñānam | sthānaṃ nāma bhāvavastu | asthānamabhāvavastu |	suKa vipAkaH iti jQAnam | sTAnam nAma BAvavastu | asTAnam aBAva vastu |
   ādyaṃ balamidaṃ sarvabalānāṃ mūlam |	Adyam balam idam sarva balAnAm mUlam |
   (pṛ) [nanu]laukikā api jānanti hetuphalayoḥ sthānāsthānam | yathā	(pR) [nanu] lOkikAH api jAnanti hetu PalayoH sTAna AsTAnam | yaTA
   yavādyava eva jāyate na brīhyādaya iti | (u) sthānāsthānabalena karmādīnāṃ	yavAdyavaH eva jAyate na brIhi AdayaH iti | (u) sTAna AsTAna balena karma AdInAm
   jñānāt idaṃ balamatigahanaṃ paramaṃ devamanuṣyāṇāṃ na prāptuṃ śakyam |	jQAnAt idam balam ati gahanam paramam deva manuzyANAm na prAptum Sakyam |
   jātadharmasya hetusamanantarādhipatipratyayān pratyāyayatītyata idaṃ balaṃ	jAta Darmasya hetu samanantara aDipati pratyayAn pratyAyayati iti atas idam balam
   praṇītam |	praNItam |
   (2) yat atitānāgatapratyutpannāni karmāṇi sarvadharmasamādānāni ca	(2) yat atitAnAgata pratyutpannAni karmANi sarva Darma samAdAnAni ca
   prajānāti | teṣāṃ sthānaṃ prajānāti vastu prajānāti hetuṃ prajānāti	prajAnAti | tezAm sTAnam prajAnAti vastu prajAnAti hetum prajAnAti
   vipākañca prajānāti | ata idaṃ jñānaṃ balamākhyāyate | triṣu adhvasu	vipAkaQca prajAnAti | atas idam jQAnam balam AKyAyate | trizu aDvasu
   sthānavastuhetuvipākaprajñāpakatvāt gahanam | kasmāt | kecidvadanti	sTAna vastu hetu vipAka prajQApaka tvAt gahanam | kasmAt | kecid vadanti
   atītānāgatā abhāvadharmā iti | ato bhagavataḥ teṣāṃ kathanaṃ balaṃ bhavati	atIta anAgatAH aBAva DarmAH iti | atas BagavataH tezAm kaTanam balam Bavati
   | atītānāgatādhvagatān dharmān adṛṣṭākārānapi bhagavān sākṣātprajānāti |	| atIta anAgata aDva gatAn DarmAn adRzwa AkArAn api BagavAn sAkzAt prajAnAti |
   atha karma dvividhaṃ kuśalamakuśalamiti | kecit kuśalakarmavanto dṛṣṭe	aTa karma dviviDam kuSalam akuSalam iti | kecid kuSala karmavantaH dRzwe
   duḥkhavedanāḥ yathā śīlaṃ dhṛtvā kleśānanubhavanti | kecitpāpakarmāṇaḥ	duHKa vedanAH yaTA SIlam DRtvA kleSAn anuBavanti | kecid pApa karmANaH
   dṛṣṭe sukhavedanāḥ yathā śīlaṃ bhitvā svairaṃ caranti | ataḥ kecit	dRzwe suKa vedanAH yaTA SIlam BitvA svEram caranti | atas kecid 
   saṃśerate anāgatādhvāpi pratyutpannasama iti | atastathāgataḥ karmakrameṇa	saMSerate anAgata aDvA api pratyutpanna samaH iti | atas taTAgataH karma krameNa
   vedanāmupadiśati |	vedanAm upadiSati |
   (SSS_8)	(H SS_8)
   catvāri dharmasamādānāni pratyutpannaṃ duḥkhaṃ āyatyāṃ sukhavipākam,	catvAri Darma samAdAnAni pratyutpannam duHKam AyatyAm suKa vipAkam,
   pratyutpannaṃ sukhamāyatyāṃ duḥkhavipākam, pratyutpannaṃ sukham āyatyāṃ	pratyutpannam suKam AyatyAm duHKa vipAkam, pratyutpannam suKam AyatyAm
   sukhavipākam, pratyutpannaṃ duḥkhamāyatyāṃ duḥkhavipākam iti | bhagavān	suKa vipAkam, pratyutpannam duHKam AyatyAm duHKa vipAkam iti | BagavAn
   saṃprati āyatyāñca [teṣāṃ] sthānaṃ, vastu, hetuṃ vipākañca prajānāti |	saMprati Ayati AQca [tezAM] sTAnaM, vastu, hetum vipAkaQca prajAnAti |
   sthānaṃ nāma vedakaḥ | vastu deyapadārthaḥ | heturdānacittam | yathoktaṃ	sTAnam nAma vedakaH | vastu deya padArTaH | hetuH dAna cittam | yaTA uktam
   sūtre pūrvañca pramuditacittaḥ dānakāle ca viśuddhacitto dattvā ca yanna	sUtre pUrvaQca pramudita cittaH dAna kAle ca viSudDa cittaH dattvA ca yat na
   vipratisarati | tat phalaprāpakaṃ karma vipāka mākhyāyate | bhagavāneva	vipratisarati | tat Pala prApakam karma vipAka mAKyAyate | BagavAn eva
   prajānāti taratamaṃ karma yadi niyatamaniyataṃ vā dṛṣṭavipākam	prajAnAti taratamam karma yadi niyatam aniyatam vA dRzwa vipAkam
   upapadyavipākaṃ tadūrdhvavipākaṃ vā ityādi | nānyaḥ | ato balamityucyate |	upapadi a vipAkam tad UrDva vipAkam vA ityAdi | na anyaH | atas balam iti ucyate |
   (3) bhagavān sarvadhyānavimokṣasamādhisamāpattīnāṃ saṃkleśaṃ prajānāti	(3) BagavAn sarva DyAna vimokza samADi samApattInAm saMkleSam prajAnAti
   sthitiṃ prajānāti upacayaṃ prajānāti vyavadānañca prajānāti | tatra	sTitim prajAnAti upacayam prajAnAti vyavadAnaQca prajAnAti | tatra
   dhyānaṃ nāma catvāri dhyānāni catvāra ārūpyasamādhayaśca | tadeva	DyAnam nAma catvAri DyAnAni catvAraH ArUpya samADayaH ca | tat eva
   rūpārūpyadhātukaṃ karma | vimokṣo nāma yadutāṣṭau vimokṣāḥ	rUpArUpya DAtukam karma | vimokzaH nAma yat uta azwO vimokzAH
   taktarmakṣepakāḥ | dhyānāni ārūpyasamādhayo 'ṣṭavimokṣāśca samādhayo	taktarma kzepakAH | DyAnAni ArUpya samADayaH azwa vimokzAH ca samADayaH 
   bhavanti | eṣāṃ samādhīnāṃ vṛtterābhimukhyalābhaḥ samāpattiḥ |	Bavanti | ezAm samADInAm vRtteH ABimuKya lABaH samApattiH |
   samāpattayaścaturdhā vibhaktāḥ saṃkleśataḥ sthitita upacayato	samApattayaH caturDA viBaktAH saMkleSataH sTititaH upacayataH 
   vyavadānataśceti | saṃkleśajñāninaḥ saṃkleśataḥ samādhiḥ | sthitijñāninaḥ	vyavadAnataH ca iti | saMkleSa jQAninaH saMkleSataH samADiH | sTiti jQAninaH
   sthityā samādhiḥ | upacayajñānina upacayataḥ samādhiḥ | vyavadānajñāninaḥ	sTityA samADiH | upacaya jQAninaH upacayataH samADiH | vyavadAna jQAninaH
   prativedhataḥ samādhiḥ | prativedhataḥ samādhikasya	prativeDataH samADiH | prativeDataH samADikasya
   ūṣmamūrdhakṣāntyādayaścaturdharmā bhavanti | tathāgatasyaiva teṣu sarveṣu	Uzma mUrDa kzAnti AdayaH caturDarmAH Bavanti | taTAgatasya eva tezu sarvezu
   jñānaṃ bhavati | nānyeṣām iti balaṃ bhavati |	jQAnam Bavati | na anyezAm iti balam Bavati |
