   (Vaidya 340)	(VEdyaH 340)
   darśanāya vandanāya paryupāsanāya | tatkasya hetoḥ? tathā hi bhagavan	darSanAya vandanAya paryupAsanAya | tat-kasya hetoH? taTA hi Bagavan
   atṛpto 'haṃ tathāgatasya darśanena vandanena paryupāsanena ca | yadapyahaṃ	atRptaH aham taTAgatasya darSanena vandanena paryupAsanena ca | yat-api-aham
   bhagavan tathāgatamupasaṃkramāmi darśanāya vandanāya paryupāsanāya,	Bagavan taTAgatam-upasaMkramAmi darSanAya vandanAya paryupAsanAya,
   tatsarvasattvānāmarthāya | sacedbhagavan (SaptaŚ, Vaidya 341) tathāgato	tat-sarva-sattvAnAm-arTAya | saced-Bagavan (SaptaŚ, VEdyaH 341) taTAgataH-
   draṣṭavyo vanditavyaḥ paryupāsitavyaḥ, evaṃ draṣṭavyaḥ, evaṃ vanditavyaḥ,	drazwavyaH vanditavyaH paryupAsitavyaH, evam drazwavyaH, evam vanditavyaH,
   evaṃ paryupāsitavyaḥ, yathāhaṃ paśyāmi yathāhaṃ vande yathāhaṃ paryupāse |	evam paryupAsitavyaH, yaTA-aham paSyAmi yaTA-aham vande yaTA-aham paryupAse |
   evaṃ tathāgato dṛṣṭo bhavati vanditaḥ paryupāsitaśca | ahaṃ ca bhagavan	evam taTAgataH dRzwaH Bavati vanditaH paryupAsitaH-ca | aham ca Bagavan
   sarvasattvānāṃ kṛtaśastathāgataṃ paśyāmi | bhagavānāha - kathaṃ	sarva-sattvAnAm kRtaSas-taTAgatam paSyAmi | BagavAn-Aha  kaTam
   mañjuśrīstathāgato draṣṭavyo yāvat paryupāsitavyaḥ? mañjuśrīrāha -	maQjuSrIH-taTAgataH drazwavyaH yAvat paryupAsitavyaH? maQjuSrIH-Aha -
   tathatākāreṇa tathāgataṃ paśyāmi avikalpākāreṇa anupalambhayogena,	taTatA-AkAreNa taTAgatam paSyAmi avikalpa-AkAreNa anupalamBa-yogena,
   evamanutpādākāreṇa tathāgataṃ paśyāmi, yāvad abhāvākāreṇa tathāgataṃ	evam-anutpAda-AkAreNa taTAgatam paSyAmi, yAvat aBAva-AkAreNa taTAgatam
   paśyāmi | na ca tathatā samudāgacchati, evaṃ tathāgataṃ paśyāmi | na	paSyAmi | na ca taTatA samudAgacCati, evam taTAgatam paSyAmi | na
   tathatā bhavati na vibhavati, evaṃ tathāgataṃ paśyāmi | na tathatā	taTatA Bavati na viBavati, evam taTAgatam paSyAmi | na taTatA
   deśasthā na pradeśasthā, evaṃ tathāgataṃ paśyāmi | na tathatā atītā na	deSa-sTA na pradeSa-sTA, evam taTAgatam paSyAmi | na taTatA atItAH na
   anāgatā na pratyutpannā, evaṃ tathāgataṃ paśyāmi | na tathatā	anAgatAH na pratyutpannA, evam taTAgatam paSyAmi | na taTatA
   dvayaprabhāvitā nādvayaprabhāvitā, evaṃ tathāgataṃ paśyāmi | na tathatā	dvaya-praBAvitA na-advaya-praBAvitA, evam taTAgatam paSyAmi | na taTatA
   saṃkliśyate na vyavadāyate, evaṃ tathāgataṃ paśyāmi | na tathatā utpadyate	saMkliSyate na vyavadAyate, evam taTAgatam paSyAmi | na taTatA utpadyate
   na nirudhyate, evaṃ tathāgataṃ paśyāmi | evaṃ tathāgato dṛṣṭo bhavati	na niruDyate, evam taTAgatam paSyAmi | evam taTAgataH dRzwaH Bavati
   vanditaḥ paryupāsitaśca | evamukte bhagavān mañjuśriyaṃ	vanditaH paryupAsitaH-ca | evam-ukte BagavAn maQju-Sriyam
   kumārabhūtametadavocat - evaṃ paśyaṃstvaṃ mañjuśrīḥ kiṃ paśyasi?	kumAra-BUtam-etat-avocat  evam paSyan=-tvam maQjuSrIH kim paSyasi?
   mañjuśrīrāha - evaṃ paśyannahaṃ bhagavan na kiṃcitpaśyāmi | evamahaṃ	maQjuSrIH-Aha  evam paSyan=-aham Bagavat na kiMcid-paSyAmi | evam-aham
   paśyan na kasyaciddharmasyotpādaṃ paśyāmi na nirodhaṃ paśyāmi ||	paSyan na kasyacid-Darmasya-utpAdam paSyAmi na niroDam paSyAmi ||
   athāyuṣmān śāradvatīputro mañjuśriyaṃ kumārabhūtametadavocat -	aTa-AyuzmAn SAradvatI-putraH maQju-Sriyam kumAra-BUtam-etat-avocat -
   duṣkarakārakastvaṃ mañjuśrīḥ, yastvaṃ tathāgatamevaṃ paśyasi evaṃ	duzkara-kArakaH-tvam maQjuSrIH, yaH-tvam taTAgatam-evam paSyasi evam
   paryupāsse, yasya ca te sarvasattvānāmantike mahāmaitrī pratyupasthitā |	paryupAsse, yasya ca te sarva-sattvAnAm-antike mahA-mEtrI pratyupasTitA |
   na ca te kācitsattvopalabdhiḥ sattvābhiniveśo vā |	na ca te kAcid-sattva-upalabDiH sattva-aBiniveSaH vA |
   sarvasattvaparinirvāṇāya cāsi pratipannaḥ | na ca te	sarva-sattva-parinirvANAya ca-asi pratipannaH | na ca te
   kaścitsattvābhiniveśaḥ pravartate | sarvasattvānāṃ ca te kṛtaśaḥ saṃnāhaḥ	kaScid-sattva-aBiniveSaH pravartate | sarva-sattvAnAm ca te kRtaSas saMnAhaH
   saṃnaddhaḥ | sa cānupalambhayogena yāvadabhāvayogena | evamukte mañjuśrīḥ	saMnadDaH | sa ca-anupalamBa-yogena yAvat-aBAva-yogena | evam-ukte maQjuSrIH
   kumārabhūtaḥ āyuṣmantaṃ śāradvatīputrametadavocat - evametad bhadanta	kumAra-BUtaH Ayuzmantam SAradvatI-putram-etat-avocat  evam-etat Badanta
   śāradvatīputra yathā kathayasi | sarvasattvaparinirvāṇāya saṃnāhaścaiṣa	SAradvatI-putra yaTA kaTayasi | sarva-sattva-parinirvANAya saMnAhaH-ca-eza
   saṃnaddhaḥ | na ca me kācit sattvopalabdhirvā sattvābhiniveśo vā | nāyaṃ	saMnadDaH | na ca me kAcid sattva-upalabDiH-vA sattva-aBiniveSaH vA | na-ayam
   bhadanta śāradvatīputra saṃnāha evaṃ saṃnaddhaḥ - kathamahaṃ	Badanta SAradvatI-putra saMnAhaH evam saMnadDaH  kaTam-aham
   sattvadhātorūnatvaṃ vā kuryāṃ pūrṇatvaṃ vā? sacedbhadanta śāradvatīputra	sattva-DAtoH-Una-tvam vA kuryAm pUrNa-tvam vA? saced-Badanta SAradvatI-putra
   parikalpamupādāya ekaikasmin buddhakṣetre gaṅgānadīvālukopamā buddhā	parikalpam-upAdAya ekEkasmin budDa-kzetre gaFgA-nadI-vAlukA-upamA budDA
   bhagavanto bhaveyuḥ, ekaikaśca tathāgato gaṅgānadīvālukopamān	BagavantaH BaveyuH, ekEkaH-ca taTAgataH gaFgA-nadI-vAlukA-upamAn
   kalpāṃstiṣṭhet sarātriṃdivaṃ ca dharmaṃ deśayamānaḥ, ekaikayā	kalpAn=-tizWet sarAtriMdivam ca Darmam deSayamAnaH, ekEkayA
   dharmadeśanayā yāvanto gaṅgānadīvālukāsamairbuddhairbhagavadbhiḥ sattvā	Darma-deSanayA yAvantaH gaFgA-nadI-vAlukA-samEH-budDEH-BagavadBiH sattvA
   vinītāḥ, tāvataḥ sattvānekaikastathāgataḥ ekaikayā dharmadeśanayā vinayet,	vinItAH, tAvataH sattvAn-ekEkaH-taTAgataH ekEkayA Darma-deSanayA vinayet-,
   evamapi kṛtvā naiva sattvadhātorūnatvaṃ vā pūrṇatvaṃ vā prajñāyate |	evam-api kRtvA na-eva sattva-DAtoH-Una-tvam vA pUrNa-tvam vA prajQAyate |
   tatkasmāddhetoḥ? sattvaviviktatvāt sattvāsattvād bhadanta śāradvatīputra	tat-kasmAt-hetoH? sattva-vivikta-tvAt sattva-asattvAt Badanta SAradvatI-putra
   sattvadhātorna conatvaṃ vā pūrṇatvaṃ vā prajñāyate ||	sattva-DAtoH-na ca-Una-tvam vA pUrNa-tvam vA prajQAyate ||
   evamukte āyuṣmān śāradvatīputro mañjuśriyaṃ kumārabhūtametadavocat - yadi	evam-ukte AyuzmAn SAradvatI-putraH maQju-Sriyam kumAra-BUtam-etat-avocat  yadi
   mañjuśrīḥ sattvaviviktatvāt sattvāsattvāt sattvadhātornaivonatvaṃ na	maQjuSrIH sattva-vivikta-tvAt sattva-asattvAt sattva-DAtoH-nEva-Una-tvam na
   pūrṇatvaṃ vā prajñāyate, tatkasyedānīṃ bodhimabhisaṃbudhya dharmaṃ	pUrNa-tvam vA prajQAyate, tat-kasya-idAnIm boDim-aBisaMbuDya Darmam
   deśayiṣyasi? evamukte mañjuśrīḥ kumārabhūta āyuṣmantaṃ	deSayizyasi? evam-ukte maQjuSrIH kumAra-BUtaH Ayuzmantam
   śāradvatīputrametadavocat - yadā tāvadbhadanta śāradvatīputra atyantatayā	SAradvatI-putram-etat-avocat  yadA tAvat-Badanta SAradvatI-putra atyanta-tayA
   sattvānupalabdhiḥ, tatko 'trābhisaṃbhotsyate? (SaptaŚ, Vaidya 342) kasya	sattva-anupalabDiH, tat-kaH atra-aBisaMBotsyate? (SaptaŚ, VEdyaH 342) kasya
   vā dharmaṃ deśayiṣyate? tatkasmāddhetoḥ? tathā hi bhadanta śāradvatīputra	vA Darmam deSayizyate? tat-kasmAt-hetoH? taTA hi Badanta SAradvatI-putra
   atyantatayā sarvadharmānupalabdhiḥ ||	atyanta-tayA sarva-Darma-anupalabDiH ||
   atha khalu bhagavān mañjuśriyaṃ kumārabhūtametadavocat - yadā	aTa Kalu BagavAn maQju-Sriyam kumAra-BUtam-etat-avocat  yadA
   tāvanmañjuśrīḥ atyantatayā sarvadharmānupalabdhiḥ, tatkimidānīṃ sattvamapi	tAvat-maQjuSrIH atyanta-tayA sarva-Darma-anupalabDiH, tat-kim-idAnIm sattvam-api
   prajñāpayiṣyasi? api ca | sacenmañjuśrīḥ kaścidevaṃ pṛcchet - kiyantaḥ	prajQApayizyasi? api ca | saced-maQjuSrIH kaScid-evam pRcCet  kiyantaH
   sattvā iti, kiṃ tasya tvaṃ vadeḥ? mañjuśrīrāha - tasyāhaṃ bhagavan evaṃ	sattvAH iti, kim tasya tvam vadeH? maQjuSrIH-Aha  tasya-aham Bagavan evam
   pṛṣṭa evaṃ vadeyam - yāvanta eva buddhadharmā iti | saced bhagavan	pRzwaH evam vadeyam  yAvantaH eva budDa-DarmAH iti | saced Bagavan
   punarapi pṛcchet - kiyatpramāṇaḥ sattvadhāturiti, tasyāhaṃ bhagavan evaṃ	punar-api pRcCet  kiyat-pramANaH sattva-DAtuH-iti, tasya-aham Bagavan evam
   pṛṣṭa evaṃ vadeyam - yatpramāṇo buddhaviṣayaḥ [iti] ||	pRzwaH evam vadeyam  yad-pramANaH budDa-vizayaH [iti] ||
   bhagavānāha - sacetpunarapi te mañjuśrīḥ kaścidevaṃ pṛcchet -	BagavAn-Aha  saced-punar-api te maQjuSrIH kaScid-evam pRcCet -
   kiṃparyāpannaḥ sattvadhāturiti, kiṃ tasya tvaṃ vadeḥ? mañjuśrīrāha -	kiMparyApannaH sattva-DAtuH-iti, kim tasya tvam vadeH? maQjuSrIH-Aha -
   tasyāhaṃ bhagavan evaṃ pṛṣṭa evaṃ vadeyam - yatparyāpannānutpādācintyatā	tasya-aham Bagavan evam pRzwaH evam vadeyam  yad-paryApanna-anutpAda-acintya-tA
   [iti] ||	[iti] ||
   bhagavānāha - sacetpunarapi te mañjuśrīḥ kaścidevaṃ pṛcchet -	BagavAn-Aha  saced-punar-api te maQjuSrIH kaScid-evam pRcCet -
   kiṃpratiṣṭhitaḥ sattvadhāturiti, kiṃ tasya tvaṃ vadeḥ? mañjuśrīrāha -	kiMpratizWitaH sattva-DAtuH-iti, kim tasya tvam vadeH? maQjuSrIH-Aha -
   tasyāhaṃ bhagavan evaṃ pṛṣṭa evaṃ vadeyam - yatpratiṣṭhito 'nutpādadhātuḥ	tasya-aham Bagavan evam pRzwaH evam vadeyam  yat-pratizWitaH anutpAda-DAtuH
   tatpratiṣṭhitaḥ sattvadhāturiti ||	tad-pratizWitaH sattva-DAtuH-iti ||
   bhagavānāha - yasmin samaye tvaṃ mañjuśrīḥ prajñāpāramitāṃ bhāvayasi, tadā	BagavAn-Aha  yasmin samaye tvam maQjuSrIH prajQApAramitAm BAvayasi, tadA
   kutra pratiṣṭhitāṃ prajñāpāramitāṃ bhāvayasi? mañjuśrīrāha - yasminnahaṃ	kutra pratizWitAm prajQApAramitAm BAvayasi? maQjuSrIH-Aha  yasmin=-aham
   bhagavan samaye prajñāpāramitāṃ bhāvayāmi, apratiṣṭhito 'haṃ tasmin samaye	Bagavan samaye prajQApAramitAm BAvayAmi, apratizWitaH aham tasmin samaye
   prajñāpāramitāṃ bhāvayāmi ||	prajQApAramitAm BAvayAmi ||
   bhagavānāha - apratiṣṭhitasya te mañjuśrīḥ kā prajñāpāramitābhāvanā?	BagavAn-Aha  apratizWitasya te maQjuSrIH kA prajQApAramitA-BAvanA?
   mañjuśrīrāha - saiva bhagavan prajñāpāramitābhāvanā yanna	maQjuSrIH-Aha  sA-eva Bagavan prajQApAramitA-BAvanAH yat-na
   kvacitpratiṣṭhānam ||	kvacid-pratizWAnam ||
   bhagavānāha - yasmin samaye tvaṃ mañjuśrīḥ prajñāpāramitāṃ bhāvayasi,	BagavAn-Aha  yasmin samaye tvam maQjuSrIH prajQApAramitAm BAvayasi,
   kataratte kuśalamūlaṃ tasmin samaye upacayaṃ gacchati apacayaṃ vā?	katarat-te kuSala-mUlam tasmin samaye upacayam gacCati apacayam vA?
   mañjuśrīrāha - na me bhagavan tasmin samaye kiṃcitkuśalamūlamupacayaṃ	maQjuSrIH-Aha  na me Bagavan tasmin samaye kiMcid-kuSala-mUlam-upacayam
   gacchati apacayaṃ vā | nāsau prajñāpāramitāṃ bhāvayati yasya	gacCati apacayam vA | na-asO prajQApAramitAm BAvayati yasya
   kasyaciddharmasya upacayo vā apacayo vā bhavati | na sā bhagavan	kasyacid-Darmasya upacayaH vE apacayaH vA Bavati | na sA Bagavan
   prajñāpāramitābhāvanā veditavyā, yā kasyaciddharmasya upacayāya vā	prajQApAramitA-BAvanA veditavyA, yA kasyacid-Darmasya upacayAya vA
   apacayāya vā pratyupasthitā | sā bhagavan prajñāpāramitābhāvanā yā naiva	apacayAya vA pratyupasTitA | sA Bagavan prajQApAramitA-BAvanA yA na-eva
   pṛthagjanadharmān jahāti, nāpi buddhadharmānupādatte | tatkasmāddhetoḥ?	pRTagjana-DarmAn jahAti, na-api budDa-DarmAn-upAdatte | tat-kasmAt-hetoH?
   tathā hi bhagavan prajñāpāramitābhāvanā na kasyaciddharmasyopalambhena	taTA hi Bagavan prajQApAramitA-BAvanA na kasyacid-Darmasya-upalamBena
   pratyupasthitā yaṃ dharmaṃ prajahyādupādadīta vā | sā bhagavan	pratyupasTitAH yam Darmam prajahyAt-upAdadIta vA | sA Bagavan
   prajñāpāramitābhāvanā yā naiva saṃsāradoṣānupayāti na nirvāṇaguṇān |	prajQApAramitA-BAvanA yA na-eva saMsAra-dozAn-upayAti na nirvANa-guNAn |
   tatkasmāddhetoḥ? tathā hi bhagavan saṃsārameva tāvann samanupaśyāmi, kaḥ	tat-kasmAt-hetoH? taTA hi Bagavan saMsAram-eva tAvan samanupaSyAmi, kaH
   punarvādaḥ saṃsāradoṣān | nirvāṇameva tāvannopalabhe, kaḥ punarvādo	punar-vAdaH saMsAra-dozAn | nirvANam-eva tAvat-na-upalaBe, kaH punarvAdaH-
   nirvāṇaguṇān drakṣyāmi | sā bhagavan prajñāpāramitābhāvanā yanna	nirvANa-guNAn drakzyAmi | sA Bagavan prajQApAramitA-BAvanAH yat-na
   kasyaciddharmasyādānaṃ vā grahaṇaṃ vā niḥsaraṇaṃ vā | sā bhagavan	kasyacid-Darmasya-AdAnam vA grahaNam vA niHsaraNam vA | sA Bagavan
   prajñāpāramitābhāvanā yā na kasyaciddharmasya hānirvā vṛddhirvopalabhyate	prajQApAramitA-BAvanA yA na kasyacid-Darmasya hAniH-vA vRdDiH-vA-upalaByate
   | tatkasmāddhetoḥ? na hi bhagavan anutpādo hīyate vā vardhate vā |	| tat-kasmAt-hetoH? na hi Bagavan anutpAdaH hIyate vA varDate vA |
   (SaptaŚ, Vaidya 343) yaivaṃ bhagavan bhāvanā, sā prajñāpāramitābhāvanā |	(SaptaŚ, VEdya 343) yA-evam Bagavan BAvanA, sA prajQApAramitA-BAvanA |
   sā prajñāpāramitābhāvanā yā na kaṃciddharmamutpādayati vā nirodhayati vā |	sA prajQApAramitA-BAvanA yA na kaMcid-Darmam-utpAdayati vA niroDayati vA |
   sā bhagavan prajñāpāramitābhāvanā yā na kasyaciddharmasyonatvaṃ vā	sA Bagavan prajQApAramitA-BAvanA yA na kasyacid-Darmasya-Una-tvam vA
   pūrṇatvaṃ vā karoti | yā bhagavan evaṃ bhāvanā, saiva	pUrNa-tvam vA karoti | yA Bagavan evam BAvanA, sA-eva
   prajñāpāramitābhāvanā | punaraparaṃ bhagavan sā prajñāpāramitabhāvanā yā	prajQApAramitA-BAvanA | punar-aparam Bagavan sA prajQApAramita-BAvanA yA
   naivācintyān dharmān prārthayate na prādeśikān | api tu khalu	na-eva-acintyAn DarmAn prArTayate na prAdeSikAn | api tu Kalu
   punarbhagavan tadapi na saṃvidyate yatprārthayate, yena prārthayate, yatra	punar-Bagavan tat-api na saMvidyate yat-prArTayate, yena prArTayate, yatra
   prārthayate | evaṃ bhāvanā bhagavan prajñāpāramitābhāvanā | evaṃ	prArTayate | evam BAvanA Bagavan prajQApAramitA-BAvanA | evam
   pratyupasthitā ime dharmā agrāḥ ime dharmā hīnā iti | nāpi tān	pratyupasTitAH ime DarmAH agrAH ime DarmAH hInAH iti | na-api tAn
   dharmānupalabhate yeṣāṃ dharmāṇāmagratā vā hīnatā vā syāt | evaṃ	DarmAn-upalaBate yezAm DarmANAm-agra-tA vA hIna-tA vA syAt | evam
   prajñāpāramitābhāvanāyogamanuyuktaḥ kulaputraḥ sarvadharmān nopalabhate |	prajQApAramitA-BAvanA-yogam-anu-yuktaH kula-putraH sarva-DarmAt na-upalaBate |
   na bhagavan prajñāpāramitābhāvanā kaṃciddharmamagraṃ vā hīnaṃ vā kalpayati	na Bagavan prajQApAramitA-BAvanA kaMcid-Darmam-agram vA hInam vA kalpayati
   | tatkasmāddhetoḥ? na hi bhagavan anutpādasya kiṃcidagraṃ vā hīnaṃ vā,	| tat-kasmAt-hetoH? na hi Bagavan anutpAdasya kiMcid-agram vA hInam vA,
   nāpi tathatāyā bhūtakoṭyāḥ, yāvat sarvadharmāṇāṃ kiṃcidagraṃ vā hīnaṃ vā |	na-api taTatAyAH BUtakowyAH, yAvat sarva-DarmANAm kiMcid-agram vA hInam vA |
   evaṃ bhāvanā bhagavan prajñāpāramitābhāvanā ||	evam BAvanA Bagavan prajQApAramitA-BAvanA ||
   evamukte bhagavān mañjuśriyaṃ kumārabhūtamāmantrayate sma - na	evam-ukte BagavAn maQju-Sriyam kumAra-BUtam-Amantrayate sma  na
   punarmañjuśrīḥ agrā buddhadharmāḥ? mañjuśrīrāha - agrāhyatvādbhagavan agrā	punar-maQjuSrIH agrAH budDa-DarmAH? maQjuSrIH-Aha  agrAhya-tvAt-Bagavan agrA
   buddhadharmāḥ | tatkiṃ punarbhagavan sarvadharmāḥ śūnyā iti	budDa-DarmAH | tat-kim punar-Bagavan sarva-DarmAH SUnyAH iti
   tathāgatenābhisaṃbuddhāḥ? bhagavānāha - evametanmañjuśrīḥ śūnyāḥ	taTAgatena-aBisaMbudDAH? BagavAn-Aha  evam-etat-maQjuSrIH SUnyAH
   sarvadharmāstathāgatenābhisaṃbuddhāḥ | mañjuśrīrāha - tatkiṃ punarbhagavan	sarva-DarmAH-taTAgatena-aBisaMbudDAH | maQjuSrIH-Aha  tat-kim punar-Bagavan
   śūnyatāyā agratā vā hīnatā prajñāyate? bhagavānāha - sādhu sādhu	SUnyatAyAH agra-tA vA hIna-tA prajQAyate? BagavAn-Aha  sADu sADu
   mañjuśrīḥ, evametanmañjuśrīḥ yathā kathayasi | na punarmañjuśrīḥ anuttarā	maQjuSrIH, evam-etat-maQju-SrIH yaTA kaTayasi | na punar-maQjuSrIH anuttarA
   buddhadharmāḥ? mañjuśrīrāha - evametadbhagavan anuttarā buddhadharmāḥ |	budDa-DarmAH? maQjuSrIH-Aha  evam-etat-Bagavan anuttarAH budDa-DarmAH |
   tatkasmāddhetoḥ? tathā hi bhagavan teṣvaṇurapi dharmo na saṃvidyate	tat-kasmAt-hetoH? taTA hi Bagavan tezu-aNuH-api DarmaH na saMvidyate
   nopalabhyate | na te anuttarā buddhadharmāḥ | punaraparaṃ bhagavan sā	na-upalaByate | na te anuttarAH budDa-DarmAH | punar-aparam Bagavan sA
   prajñāpāramitābhāvanā yā na buddhadharmāṇāmārādhanāya saṃvartate na	prajQApAramitA-BAvanA yA na budDa-DarmANAm-ArADanAya saMvartate na
   pṛgjanadharmāṇāṃ prahāṇāya saṃvartate | na buddhadharmāṇāṃ vinayitrī, na	pRgjana-DarmANAm prahANAya saMvartate | na budDa-DarmANAm vinayitrI, na
   saṃdhārayitrī | evaṃ bhāvanā bhagavan prajñāpāramitābhāvanā ||	saMDArayitrI | evam BAvanA Bagavan prajQApAramitA-BAvanA ||
   punaraparaṃ sā bhagavan prajñāpāramitābhāvanā draṣṭavyā yā na	punar-aparam sA Bagavan prajQApAramitA-BAvanA drazwavyA yA na
   kaṃciddharmaṃ cintayati na vijānīte | bhagavānāha - na tvaṃ mañjuśrīḥ	kaMcid-Darmam cintayati na vijAnIte | BagavAn-Aha  na tvam maQjuSrIH
   buddhadharmāṃścintayasi? mañjuśrīrāha - no bhagavan | cintayeyamahaṃ	budDa-DarmAn=-cintayasi? maQjuSrIH-Aha  naH Bagavan | cintayeyam-aham
   bhagavan buddhadharmān, sacedahaṃ buddhadharmāṇāṃ pariniṣpattiṃ paśyeyam |	Bagavan budDa-DarmAn, saced-aham budDa-DarmANAm parinizpattim paSyeyam |
   na bhagavan prajñāpāramitābhāvanā kasyaciddharmasya vikalpena	na Bagavan prajQApAramitA-BAvanA kasyacid-Darmasya vikalpena
