   Mahāpratisarā vidyārājñī	MahA-pratisarA vidyA-rAjQI
   vemacitriṇā cāsurendreṇa / balinā ca / prahlādena ca / rāhunā ca /	vema-citriNA ca-asura-indreNa / balinA ca / prahlAdena ca / rAhunA ca /
   vairocanena ca / subāhunā ca / evaṃ pramukhair aparimitāprameyāsaṃkhyeyair	vErocanena ca / subAhunA ca / evam pramuKEH aparimita-aprameya-asaMKyeyEH-
   asurendraiḥ //	asura-indrEH //
   sāgareṇa ca nāgarājena / takṣakena ca / vāsukinā cā / śaṅkhapālena ca /	sAgareNa ca nAga-rAjena / takzakena ca / vAsukinA cA / SaFKapAlena ca /
   karkoṭakena ca / padmena ca / mahāpadmena ca / evaṃ pramukhair	karkowakena ca / padmena ca / mahA-padmena ca / evam pramuKEH-
   aparimitāprameyāsaṃkhyeyair nāgarājaiḥ //	aparimita-aprameya-asaMKyeyEH nAga-rAjEH //
   drumeṇa ca kinnararājena / anekakinnaraparivāreṇa //	drumeNa ca kinnara-rAjena / aneka-kinnara-parivAreNa //
   pañcaśikhena ca gandharvarājena / anekagandharvarājaparivāreṇa ca //	paQcaSiKena ca ganDarva-rAjena / aneka-ganDarva-rAja-parivAreNa ca //
   sarvārthasiddhena ca vidyādhararājena / anekavidyādhararājaparivāreṇa //	sarva-arTa-sidDena ca vidyADara-rAjena / aneka-vidyADara-rAja-parivAreNa //
   (Mp_3)	(Mp_3)
   suparṇākṣeṇa ca garuḍarājena / anekagaruḍarājaparivāreṇa //	suparNa-akzeNa ca garuxa-rAjena / aneka-garuxa-rAja-parivAreNa //
   vaiśramaṇena ca / māṇibhadreṇa ca / pūrṇabhadreṇa ca / pāñcikena ca	vESramaNena ca / mANiBadreNa ca / pUrNaBadreNa ca / pAQcikena ca
   yakṣarājena / anekayakṣarājaparivāreṇa //	yakza-rAjena / aneka-yakza-rAja-parivAreNa //
   hārītyā ca pañcaputraśataparivārayā / saptabhiś ca lokamātṛbhiḥ /	hArItyA ca paQca-putra-Sata-parivArayA / saptaBiH ca loka-mAtRBiH /
   saptabhiś ca mahārākṣasībhiḥ saptabhiś ca maharṣivaraiḥ / antarīkṣacaraiś	saptaBiH ca mahArAkzasIBiH saptaBiH ca mahA-Rzi-varEH / antarIkza-carEH-
   ca sarvanakṣatragrahadevataiḥ / digbhiś ca vidigbhiś ca / pṛthivyā ca	ca sarva-nakzatra-graha-devatEH / digBiH ca vidigBiH ca / pRTivyA ca
   sarasvatyā ca / bhūtaiś ca vighnaiś ca vināyakaiś ca	sarasvatyA ca / BUtEH ca viGnEH ca vinAyakEH ca
   pretabhūtamaharddhikaiḥ / sarvaiś ca parvatarājaiḥ / varuṇena ca	preta-BUta-mahardDikEH / sarvEH ca parvata-rAjEH / varuNena ca
   lokapālena / sarvasamudradevatāparivāreṇa / virūḍhakena ca virūpākṣeṇa ca	lokapAlena / sarva-samudra-devatA-parivAreNa / virUXakena ca virUpAkzeNa ca
   daṇḍapāṇinā ca / naigutena ca / jātavedasā ca / saptabhiś ca mahāvāyubhiḥ	daNxa-pANinA ca / nEgutena ca / jAtavedasA ca / saptaBiH ca mahA-vAyuBiH
   / īśānena ca sapatnikena / anekagaṇakoṭīniyutaśatasahasraparivāreṇa //	/ ISAnena ca sapatnikena / aneka-gaNa-kowI-niyuta-Sata-sahasra-parivAreNa //
   nārāyaṇena ca saparivāreṇa / dantakena ca dāmakena ca lohakena ca mohakena	nArAyaNena ca sa-parivAreNa / dantakena ca dAmakena ca lohakena ca mohakena
   ca / mahāgaṇapatinā ca / megholkena ca / vināyakendreṇa ca /	ca / mahAgaNapatinA ca / meGa-ulkena ca / vinAyaka-indreNa ca /
   anekavighnavināyakaparivāreṇa //	aneka-viGna-vinAyaka-parivAreNa //
   ṣaṣṭyā ca koṭagiryā ca catasṛbhiś ca bhaginībhiḥ sabhrātṛkābhiḥ //	zazwyA ca kowagiryA ca catasRBiH ca BaginIBiH sa-BrAtRkABiH //
   vajrāṅkuśyā ca / vajraśaṅkarayā ca / catuḥṣaṣṭibhiś ca vajrahūtībhiḥ /	vajrAFkuSyA ca / vajra-SaFkarayA ca / catuHzazwiBiH ca vajra-hUtIBiH /
   vajrasenena ca subāhunā ca / mūrdhaṭakena ca / anekavajrakulaparivāreṇa //	vajrasenena ca subAhunA ca / mUrDawakena ca / aneka-vajra-kula-parivAreNa //
   tad anyaiś ca buddhadharmasaṃghābhiprasannaiḥ /	tat anyEH ca budDa-Darma-saMGa-aBiprasannEH /
   aparimitāprameyāsaṃkhyeyair	aparimita-aprameya-asaMKyeyEH-
   devanāgayakṣagandharvāsuragaruḍakinnaramahoragabhūtapretapiśāconmārdāpasmārasādhyasāhillakoṣṭarakaiḥ	deva-nAga-yakza-ganDarva-asura-garuxa-kinnara-mahA-uraga-BUta-preta-piSAca-unmArda-apasmAra-sADya-sAhillaka-uzwarakEH
   sūryeṇa ca devaputreṇa / candreṇa ca devaputreṇa / sucandreṇa ca	sUryeNa ca deva-putreNa / candreNa ca deva-putreNa / sucandreNa ca
   devaputreṇa / sandhyayā ca devatayā / uṣasā ca devatayā / sarvaiś ca	deva-putreNa / sanDyayA ca devatayA / uzasA ca devatayA / sarvEH ca
   gantubhiḥ / rodasinyā ca devatayā / prajāpatyā ca devatayā sārdham //	gantuBiH / rodasinyA ca devatayA / prajApatyA ca devatayA sArDam //
   ity api ca bhagavān supravartitadharmacakraḥ supariniṣṭhitabuddhakāryaḥ	iti api ca BagavAn su-pravartita-Darma-cakraH su-parinizWita-budDa-kAryaH
   suparipūrṇapuṇyajñānasaṃbhāraḥ	su-paripUrNa-puNya-jQAna-saMBAraH
   suparigṛhītasarvajñatāmahābodhipāramitābhūmilābhojjvalitadvātriṃśatmahāpuruṣalakṣaṇālaṃkṛtaśarīraś	su-parigRhIta-sarvajQa-tA-mahA-boDi-pAramitA-BUmi-lABa-ujjvalita-dvAtriMSatma-hApuruza-lakzaNa-alaMkRta-SarIra-S
   (Mp_4) caturaśītyanuvyañjanavirājitaḥ sarvāṅgāvayavaśobhaḥ	(Mp_4) caturaSIti-anuvyaQjana-virAjitaH sarva-aFga-avayava-SoBaH
   sarvasatvānavalokitamūrdhānirjitaḥ sarvamārakarmakovidaḥ	sarva-satvAn-avalokita-mUrDA-nirjitaH sarva-mAra-karma-kovidaH
   sarvasatvajñānapañcavidhacakṣuḥ sarvākāravaropetaḥ	sarva-satva-jQAna-paQcaviDa-cakzuH sarva-AkAra-vara-upetaH
   sarvajñajñānasamanvāgataḥ sarvabuddhadharmasamanvāgataḥ /	sarvajQa-jQAna-samanvAgataH sarva-budDa-Darma-samanvAgataH /
   sarvamāraparapramādikugaṇigaṇapramathana udgatakīrtiśabdaśloka	sarva-mAra-para-pramAdi-ku-gaNi-gaNa-pramaTane udgata-kIrti-Sabda-Sloke-
   ārṣabhasiṃhanādaṃnadī samucchinnāvidyāndhakāro	ArzaBa-siMhanAdaMnadI samucCinnA-avidyA-anDakAraH-
   'saṃkhyeyāparimāṇakoṭīniyutaśatasahasradānaśīlakṣāntivīryadhyānaprajñopāyabalapraṇidhānapāramitāduṣkaracaryāvinivartitadvātriṃśatmahāpuruṣalakṣaṇacaturaśītyanuvyañjanagātraśobhaḥ	asaMKyeya-aparimANa-kowI-niyuta-Sata-sahasra-dAna-SIla-kzAnti-vIrya-DyAna-prajQA-upAya-bala-praNiDAna-pAramitA-duzkara-caryA-vinivartita-dvAtriMSatm
   / mahāvajraratnapadmagarbhasiṃhāsane niṣaṇṇaḥ /	/ mahA-vajra-ratna-padma-garBa-siMhAsane nizaNNaH /
   anekavajraratnavedikāsaṃskṛtapādapīṭhasupratiṣṭhite /	aneka-vajra-ratna-vedikA-saMskRta-pAda-pIWa-su-pratizWite /
   anekavajraratnamakaramukhodgīrṇalohitamuktāvalīnibaddhagandhāyake /	aneka-vajra-ratna-makara-muKa-udgIrNa-lohita-muktA-AvalI-nibadDa-ganDAyake /
   anekavajraratnamuktakiṅkiṇījālakalukalonnādite /	aneka-vajra-ratna-mukta-kiFkiNI-jAla-kalukala-unnAdite /
   anekavajraratnakarṇikāvilagnakarketanamahākarketanendranīlapuṣparāgaraśmijālāvabhāsitasamantaprasādike	aneka-vajra-ratna-karNikA-vilagna-karketana-mahA-karketanA-indranIla-puzpa-rAga-raSmi-jAla-avaBAsita-samanta-prasAdike
   anekavajraratnaśalākāvibhūṣitoddaṇḍātapatrakoṭīniyutaśatasahasrakṛtacchāyāparikare	aneka-vajra-ratna-SalAkA-viBUzita-uddaNxa-Atapatra-kowI-niyuta-Sata-sahasra-kRta=-CAyA-parikare
   / anekakalpavṛṣadrumopaśobhitavistāre sumerumātre vajraratnapadmāsane	/ aneka-kalpa-vRza-druma-upaSoBita-vistAre sumeru-mAtre vajra-ratna-padmAsane
   niṣaṇṇaḥ / kāñcanaparvatarāja iva śriyā jvalanasūryasahasrābhir	nizaNNaH / kAQcana-parvata-rAjaH iva SriyA jvalana-sUrya-sahasrABiH-
   ekaprabhāmaṇḍalavirājita bhūmibhāgaḥ / suparipūrṇacandramaṇḍala iva	eka-praBA-maNxala-virAjita BUmi-BAgaH / su-paripUrNa-candra-maNxalaH iva
   sarvalokapriyadarśano mahākalpavṛkṣa iva buddhadharmaiḥ saṃkusumito	sarva-loka-priya-darSanaH mahA-kalpavRkzaH iva budDa-DarmEH saMkusumitaH-
   dharmaṃ deśayati sma //	Darmam deSayati sma //
   ādau kalyāṇaṃ madhye kalyāṇaṃ paryavasāne kalyāṇaṃ svarthaṃ suvyañjanaṃ	AdO kalyANam maDye kalyANam paryavasAne kalyANam svarTam su-vyaQjanam
   kevalaṃ paripūrṇaṃ pariśuddhaṃ paryavadātaṃ brahmacaryaṃ saṃprakāśayati	kevalam paripUrNam pariSudDam paryavadAtam brahmacaryam saMprakASayati
   sma //	sma //
   atha khalu bhagavān mūrdhna ūrṇakeśāt sarvabuddhasaṃdarśanaṃ nāma	aTa Kalu BagavAn mUrDnaH UrNa-keSAt sarvabudDasaMdarSanam nAma
   raśmijālaṃ pramuñcati sma / tena ca raśmijvālenāyaṃ	raSmi-jAlam pramuQcati sma / tena ca raSmi-jvAlena-ayam
   trisāhasramahāsāhasralokadhātur avabhāsitaḥ / sphuṭīkṛto 'bhūt / yāvanti	tri-sAhasra-mahA-sAhasra-lokaDAtuH avaBAsitaH / sPuwIkRtaH aBUt / yAvanti
   ca gaṅgānadīvālukopamāni buddhakṣetrāṇi tāni ca sarvāṇi tenāvabhāsena	ca gaFgA-nadI-vAlukA-upamAni budDa-kzetrANi tAni ca sarvANi tena-avaBAsena
   sphuṭīkṛtāny avabhāsitāny abhūvan / ye ca teṣu buddhakṣetreṣu buddhā	sPuwIkRtAni avaBAsitAni aBUvan / ye ca tezu budDa-kzetrezu budDA
   bhagavanto 'nekasiṃhāsanakoṭīniyutaśatasahasravyūhakūṭāgāravimāneṣu	BagavantaH aneka-siMhAsana-kowI-niyuta-Sata-sahasra-vyUha-kUwa-AgAra-vimAnezu
   dharmaṃ darśayati sma / sārdhaṃ (Mp_5) mahāśrāvakair bodhisatvair	Darmam darSayati sma / sArDam (M=-_5) mahA-SrAvakEH boDisatvEH-
   bhikṣubhikṣuṇyupāsakopāsikābhir	Bikzu-BikzuNI-upAsaka-upAsikABiH-
   devanāgayakṣagandharvāsuragaruḍakinnaramahoragaiḥ sārdham //	deva-nAga-yakza-ganDarva-asura-garuxa-kinnara-mahA-uragEH sArDam //
   atha khalu bhagavāṃs tāṃ vistīrṇāṃ pariṣadām āmantrayate sma //	aTa Kalu BagavAn tAm vistIrNAm parizadAm Amantrayate sma //
   athāto mahāpratisarāṃ mahāvidyāṃ pravakṣāmi sarvasatvānukampayā /	aTa-atas mahA-pratisarAm mahAvidyAm pravakzAmi sarva-satva-anukampayA /
   dhāraṇī duṣkṛtasyaiva sarvaduṣṭapramardanī /	DAraNI duzkRtasya-eva sarva-duzwa-pramardanI /
   yasyāśravaṇamātreṇa pāpā gacchanti saṃkṣayam //	yasya-aSravaNa-mAtreNa pApAH gacCanti saMkzayam //
   sukhadā sarvasatvānāṃ sarvavyādhipramocanī /	suKa-dA sarva-satvAnAm sarva-vyADi-pramocanI /
   kāruṇyāt sarvasatvānāṃ lokanāthena bhāṣitā //	kAruNyAt sarva-satvAnAm lokanATena BAzitA //
   paritrāṇāya sarveṣāṃ dehināṃ pāpakāriṇām /	paritrANAya sarvezAm dehinAm pApa-kAriNAm /
   anayā kṛtarakṣas tu praviśed asurālayam //	anayA kRtarakzaH tu praviSet asura-Alayam //
   aḍakavatīṃ tathā gacched yakṣāṇām ālayaṃ bhuvi /	axakavatIm taTA gacCet yakzANAm Alayam Buvi /
   bhūtanāgapiśācānāṃ yuddhe bhairavadāruṇe //	BUta-nAga-piSAcAnAm yudDe BErava-dAruNe //
   adhṛṣyaḥ sarvaśatrūṇāṃ sarvabhūtagaṇair api /	aDRzyaH sarva-SatrUNAm sarva-BUta-gaNEH api /
   grahā sarve vinaśyanti nāma grahaṇakīrtanaiḥ //	grahAH sarve vinaSyanti nAma grahaNa-kIrtanEH //
   skandhonmādā apasmārāḥ piśācā ḍākiṇīgrahāḥ /	skanDa-unmAdAH apasmArAH piSAcAH xAkiNI-grahAH /
   ojobhakṣā mahātejā hiṃsante mānuṣīprajām //	ojaH-BakzAH mahA-tejAH hiMsante mAnuzI-prajAm //
   te sarve stambhitā bhonti pratisarāyās tu tejasā /	te sarve stamBitAH Bonti pratisarAyAH tu tejasA /
   paracakrā vinaśyanti kākhordā ye ca dāruṇāḥ //	para-cakrAH vinaSyanti kAKa-UH-dAH ye ca dAruNAH //
   mantrakarmā na bādhante mūlakarmāc ca mucyate /	mantra-karmA na bADante mUla-karmAt ca mucyate /
   na viṣaṃ na garaṃ nāgnir na śastraṃ naiva codakam //	na vizam na garam na-agniH na Sastram na-eva ca-udakam //
   aśanir vidyutaś caiva kālavāyur na bādhate /	aSaniH vidyutaH ca-eva kAla-vAyuH na bADate /
   sarvaśatrūn pramathnāti vidyārājño hi tejasā //	sarva-SatrUn pramaTnAti vidyA-rAjQaH hi tejasA //
   upasargā vinaśyanti vyādhayo na bhavanty api /	upasargAH vinaSyanti vyADayaH na Bavanti api /
   sarve 'rthās tasya sidhyanti jayaṃ prāpnoti nityaśaḥ //	sarve arTAH tasya siDyanti jayam prApnoti nityaSas //
   yaḥ kaścid dhārayed vidyāṃ kaṇṭhe bāhau ca nityaśaḥ /	yaH kaScid DArayet vidyAm kaNWe bAhO ca nityaSas /
   tasya sarvāṇi kāryāṇi sidhyante nātra saṃśayaḥ //	tasya sarvANi kAryANi siDyante na-atra saMSayaH //
   nityaṃ rakṣanti devendrā nāgarājās tathaiva ca /	nityam rakzanti deva-indrAH nAga-rAjAH taTA-eva ca /
   bodhisatvā mahāvīryā buddhāḥ pratyekanāyakāḥ //	boDisatvAH mahA-vIryAH budDAH pratyeka-nAyakAH //
   (Mp_6)	(Mp_6)
   śrāvakāḥ sarvabuddhānāṃ vidyādevyo mahābalāḥ /	SrAvakAH sarva-budDAnAm vidyAdevyaH mahA-balAH /
   rakṣāṃ kurvanti satataṃ pratisarādhārakasya vai //	rakzAm kurvanti satatam pratisara-ADArakasya vE //
   vajrapāṇiś ca yakṣendro rājānaś caturas tathā /	vajrapANiH ca yakzendraH rAjAnaH caturaH taTA /
   tasya rakṣāṃ kariṣyanti divā rātrau na saṃśayaḥ //	tasya rakzAm karizyanti divA rAtrO na saMSayaH //
   śakraś ca trideśaiḥ sārdhaṃ brahmā viṣṇur maheśvarāḥ /	SakraH ca tri-deSEH sArDam brahmA vizNuH maheSvarAH /
   nandikeśo mahākālaḥ kārtikeyo gaṇeśvaraḥ //	nandikeSaH mahAkAlaH kArtikeyaH gaNeSvaraH //
   sarve mātṛgaṇās tasya tathānye mārakāyikāḥ /	sarve mAtR-gaNAH tasya taTA-anye mArakAyikAH /
   ṛṣayaś ca mahātejā devāś caiva maharddhikāḥ //	RzayaH ca mahA-tejAH devAH ca-eva mahardDikAH //
   nityaṃ rakṣāṃ kariṣyanti pratisarādhārakasya vai /	nityam rakzAm karizyanti pratisara-ADArakasya vE /
   buddhāś caiva mahātmāno vidyādevyo mahābalāḥ //	budDAH ca-eva mahAtmAnaH vidyAdevyaH mahA-balAH //
   mahāvīryā mahātejā mahābalaparākramāḥ /	mahA-vIryAH mahA-tejAH mahA-bala-parAkramAH /
   māmakī bhṛkuṭī caiva tārādevī tathāṅkuśī //	mAmakI BRkuwI ca-eva tArAdevI taTA-aFkuSI //
   vajrasaṃkalayā śvetā mahāśvetā tathaiva ca /	vajra-saMkalayA SvetA mahASvetA taTA-eva ca /
   mahākālī ca dūtyaś ca vajradūtyas tathāparāḥ //	mahAkAlI ca dUtyaH ca vajradUtyaH taTA-aparAH //
   supāśī vajrapāśī ca cakrapāṇir mahābalāḥ /	supASI vajra-pASI ca cakrapANiH mahA-balAH /
   vajramālā mahāvidyā tathaivāmṛtakuṇḍaliḥ //	vajramAlA mahAvidyA taTA-eva-amRtakuNxaliH //
   aparājitā mahādevī kālakarṇī mahābalāḥ /	aparAjitA mahAdevI kAlakarNI mahA-balAH /
   tathā dhanyā mahābhāgā padmakuṇḍalir eva ca //	taTA DanyA mahABAgA padma-kuNxaliH eva ca //
   puṣpadantī maṇicūḍā svarṇakeśī ca piṅgalā /	puzpadantI maNicUxA svarNakeSI ca piFgalA /
   mahātejā mahādevī dhanyā ca vidyunmālinī //	mahA-tejAH mahAdevI DanyA ca vidyunmAlinI //
   rākṣasy aikajaṭā caiva buddhākṣitikanāyikā /	rAkzasI EkajawA ca-eva budDAkzitika-nAyikA /
   kāpālinī mahābhāgā dhanyā laṅkeśvarī tathā //	kApAlinI mahABAgA DanyA laFkeSvarI taTA //
   anyāś ca bahavo vidyāsatvānugrahakārikāḥ /	anyAH ca bahavaH vidyA-satva-anugraha-kArikAH /
   tasya rakṣāṃ kariṣyanti yasya vidyā kare sthitā //	tasya rakzAm karizyanti yasya vidyA kare sTitAH //
   hārītī pāñcikaś caiva śaṅkhinī kūṭadantinī /	hArItI pAQcikaH ca-eva SaFKinI kUwa-dantinI /
   śrīdevī sarasvatī caiva taṃ rakṣanti sadānugāḥ //	SrI-devI sarasvatI ca-eva tam rakzanti sadA-anugAH //
   mahāpratisarām etāṃ yā strī dhārayate sadā /	mahA-pratisarAm etAm yA strI DArayate sadA /
   sarvasiddhir bhavet tasyāḥ putragarbhā nityaśaḥ //	sarva-sidDiH Bavet tasyAH putra-garBAH nityaSas //
   sukhaṃ garbhāṇi vardhante sukhaṃ prasūyati gurviṇī /	suKam garBANi varDante suKam prasUyati gurviNI /
   vyādhayaś cāpi naśyanti sarvapāpā na saṃśayaḥ //	vyADayaH ca-api naSyanti sarva-pApAH na saMSayaH //
   (Mp_7)	(Mp_7)
   puṇyavān balavān nityaṃ dhanadhānyaṃ pravardhate /	puNyavAn balavAn nityam Dana-DAnyam pravarDate /
   ādeyavacanaś cāpi pūjanīyo bhaviṣyati //	Adeya-vacanaH ca-api pUjanIyaH Bavizyati //
   śucir dvārayate yas tu striyo vā puruṣo 'tha vā /	SuciH dvArayate yaH tu striyaH vA puruzaH aTa vA /
   sa bhavet sarvasatvānāṃ mokṣanāthe samudayataḥ //	sa Bavet sarva-satvAnAm mokza-nATe samudayataH //
   sukhitaś ca bhaven nityaṃ sarvavyādhivivarjitam //	suKitaH ca Bavet nityam sarva-vyADi-vivarjitam //
   rājāno vaśagās tasya sāntaḥpuramahājanāḥ //	rAjAnaH vaSa-gAH tasya sa-antaHpura-mahA-janAH //
   nityaṃ ca jvalate lakṣmyā puṇyarāśir vivardhate /	nityam ca jvalate lakzmyA puNya-rASiH vivarDate /
   sarvakalpās tasya sidhyanti praviṣṭaḥ sarvamaṇḍale //	sarva-kalpAH tasya siDyanti pravizwaH sarva-maNxale //
   sarvatra samayajño 'sau jinasya vacanaṃ yathā /	sarvatra samaya-jQaH asO jinasya vacanam yaTA /
   duḥsvapnā na prabādhante sarvapāpaharīparāḥ //	duHsvapnAH na prabADante sarva-pApa-harI-parAH //
   kilbiṣāś caiva naśyanti pratyamitrās tathaiva ca /	kilbizAH ca-eva naSyanti pratyamitrAH taTA-eva ca /
   sarvagrahavināśārthaṃ bhāṣitā jñānamaheśvaraiḥ //	sarva-graha-vinASa-arTam BAzitA jQAna-maheSvarEH //
   sarvakāmaṃgamā hy eṣā bhāvayed yas tu nityaśaḥ /	sarva-kAmaMgamAH hi ezA BAvayet yaH tu nityaSas /
   tad idānīṃ pravakṣāmi bhūtasaṃghā śṛṇontu me //	tat idAnIm pravakzAmi BUta-saMGA SRNontu me //
   namo buddhāya / namo dharmāya / namo saṃghāya / namaḥ sarvatathāgatānāṃ	namaH budDAya / namaH DarmAya / namaH saMGAya / namaH sarva-taTAgatAnAm
