   Muktā-caritram	MuktA--caritram
   sa-kautukaṃ tatra gatvātipremāspadasya haṃsī-hariṇīti nāmno	sa-kOtukam tatra gatvA-atiprema-Aspadasya haMsI-hariNI-iti nAmnaH-
   dhenu-yugalasya	Denu--yugalasya
   bhūṣaṇautsukyena tāsāṃ sakāśe mauktikāni prārthitāni || tataḥ	BUzaNa-Otsukyena tAsAm sakASe mOktikAni prArTitAni || tatas-
   suvividha-vaidagdhya-parimala-parilasita-sāmi-nimilita-vāma-nayana-nīlotpala-dal	suviviDa--vEdagDya--parimala--parilasita--sAmi--nimilita-vAma--nayana--nIlotpala--dal
   āñcalena sāvahelanam iva manāg eva mām avalokya	AQcalena sa-avahelanam iva manAk eva mAm avalokya
   muni-vrata-jatu-mudrita-hasita-hīrakānarghya-mahā-ratna-bahiḥ-prakāśaṃ	muni-vrata--jatu--mudrita--hasita--hIrakAnarGya--mahA--ratna--bahis---prakASam
   nirbharāveśa-viśeṣeṇa hārādi-gumphana-vilāsam eva vitanvatīs tāḥ prati	nirBara-AveSa--viSezeNa hAra-Adi-gumPana--vilAsam eva vitanvatIH tAH prati
   sasmitam	sa-smitam
   idam aham ābhāṣitavān |	idam aham ABAzitavAn |
   abhinava-yauvanā-mūlya-cintāmaṇi-labdhi-vivardhitottuṅga-garva-mahā-parvatā	aBinava-yOvanA--mUlya--cintAmaNi-labDi--vivarDita-uttuFga--garva--mahA-parvatA
   vaguṇṭhita-karṇyaḥ! priya-vayasyasya mama prārthite kṣaṇam api karṇān	vaguNWita-karNyaH! priya--vayasyasya mama prArTite kzaNam api karNAn
   udghāṭayantu bhavatyaḥ |	udGAwayantu BavatyaH |
   tatas tāsām īṣat smitvānyonyam ālokayantīnāṃ madhye pragalbhā lalitā	tatas tAsAm Izat smitvA-anyonyam AlokayantInAm maDye pragalBA lalitA
   vihasya	vihasya
   saroṣam iva vyājahāra | aye nāgara! etāni bahu-mūlyāni mauktikāni	sa-rozam iva vyAjahAraH | aye nAgara! etAni bahu--mUlyAni mOktikAni
   rāja-mahiṣī-yogyāni | tava mahiṣīnām evālaṅkriyāyai satyam abhirūpāṇi	rAja--mahizI--yogyAni | tava mahizInAm eva-AlaFkriyAyE satyam aBirUpANi
   kathaṃ	kaTam
   na dāsyāmaḥ ?	na dAsyAmaH ?
   tatas tad-vacaḥ śrutvā mayā kautukenāviṣṭena sāmnā punaḥ punar idam	tatas tat--vacaH SrutvA mayA kOtukena-Avizwena sAmnA punar punar idam
   evoktam |	eva-uktam |
   bhoḥ priya-bhūṣaṇāḥ! sarvāṇi yadi na deyāni tadā	BoH priya-BUzaNAH! sarvANi yadi na deyAni tadA
   mad-atyanta-priya-dhenu-yugala-śṛṅga-paryāptāny evāvaśyaṃ dīyantām |	mad--atyanta--priya-Denu--yugala--SRFga--paryAptAni eva-avaSyam dIyantAm |
   tato lalitā sarvāsāṃ mauktikāni punaḥ punaś cālayantī bhūyaḥ prāha | he	tatas lalitA sarvAsAm mOktikAni punar punar cAlayantI BUyas prAha | he
   kṛṣṇa!	kRzNa!
   kiṃ kartavyam ? tava dhenu-yogyam ekam api nāsti |	kim kartavyam ? tava Denu--yogyam ekam api na-asti |
   tadāham uktavān | ayi parama-cature lalite! tiṣṭha tiṣṭha | ahaṃ	tadA-aham uktavAn | ayi parama--cature lalite! tizWa tizWa | aham
   kārpaṇya-bhāk	kArpaNya--BAj-
   paścāt tvayā vaktuṃ na śakya ity upālabhya satvaram ambāṃ vrajeśvarīm	paScAt tvayA vaktum na SakyaH iti upAlaBya sa-tvaram ambAm vrajeSvarIm
   āgatya	Agatya
   mātar dehi me mauktikāni | ahaṃ tu tāni kṛṣṭa-kedārikāyām eva vapsyāmīti	mAtar dehi me mOktikAni | aham tu tAni kRzwa-kedArikAyAm eva vapsyAmi-iti
   punaḥ punar avocam | tato mātrā vihasyoktaṃ | vatsa na mauktikāny uptāni	punar punar avocam | tatas mAtrA vihasya-uktam | vatsa na mOktikAni uptAni
   prarohanti |	prarohanti |
   tadā mayoktaṃ | mātar avaśyam eva dīyantāṃ dina-trayābhyantare prarūḍhāni	tadA mayA-uktam | mAtar avaSyam eva dIyantAm dina-traya-aByantare prarUXAni
   bhavaty eva sākṣāt kartavyānīty asman-nirbandha-parihārāsamarthayā tayā	Bavati eva sAkzAt kartavyAni-iti asman--nirbanDa--parihAra-asamarTayA tayA
   dattāni	dattAni
   bahūni mauktikāni | mayā gokula-jalāharaṇa-ghaṭṭa-samīpa-vartini	bahUni mOktikAni | mayA go-kula---jala-AharaNa-Gawwa--samIpa-vartini
   yamunopakaṇṭhe pauruṣa-trayam avagāḍhāṃ kedarikāṃ niṣpādya sahāsaṃ	yamunA-upakaNWe pOruza--trayam avagAXAm kedarikAm nizpAdya sahAsam
   paśyantīṣu kāsucid gopikāsu tany uptvā sā punar apūri | parito vṛtiś ca	paSyantIzu kAsucid gopikAsu tanI uptvA sA punar apUri | paritas vRtiH ca
   kāṣṭhair	kAzWEH-
   niviḍā kṛtā |	nivixA kRtA |
   tatas tāsāṃ mauktikaprārthanvacanāsvaranirāsārthaṃ kedārikāsekāya	tatas tAsAm mOktika-prArTan-vacana-asvara-nirAsa-arTam kedArikA-sekAya
   vayasadvārā	vayasa-dvArA
   gavyeṣu prārthyamāneṣu solluṇṭhaṃ vihasya tāḥ procuḥ |	gavyezu prArTyamAnezu sa-ulluNWam vihasya tAH procuH |
   tanmauktikakedārikāseko'smākaṃ gavyena kathamucitaḥ |	tad-mOktika-kedAri-kAsekaH-asmAkam gavyena kaTam-ucitaH |
   yatpriyagobhūṣaṇārthaṃ	yad-priya-goBUzaNa-arTam
   kṛtamauktikakedārikāsekastāsāṃ gavāṃ dugdhenaiva kriyatām |	kRta-mOktika-kedArikA-sekaH-tAsAm gavAm dugDena-eva kriyatAm |
   tatkedārikotpadyamāne phale nāsmābhirabhilāṣaḥ kartavyaḥ | iti śrutvā mayā	tad-kedArikA-utpadyamAne Pale na-asmABiH-aBilAzaH kartavyaH | iti SrutvA mayA
   svagṛhāṇāṃ gavāṃ bahubhiḥ payobhireva tā darśayatā pratyahaṃ sekaḥ kriyate	sva-gRhANAm gavAm bahuBiH payoBiH-eva tAH darSayatA pratyaham sekaH kriyate
   sma |	sma |
   tataścaturthadivasa eva mauktikāni praūḍhāni | taddarśanenollasitena mayā	tatas-caturTa-divasaH eva mOktikAni praUXAni | tad-darSanena-ullasitena mayA
   māturañcalaṃ gṛhītvānīya tadaṅkurā darśitāḥ | tān dṛṣṭvā tu mātā	mAtuH-aQcalam gRhItvA-AnIya tad-aFkurAH darSitAH | tAn dRzwvA tu mAtA
   kimetaditi	kim-etat-iti
   manasi vicārayantī sandigdhā satī vrajaṃ jagāma | gopyas tu tacchrutvā	manasi vicArayantI sandigDA satI vrajam jagAma | gopyaH tu tat-SrutvA
   hiṃsrā	hiMsrA
   latāḥ prarūḍhā iti parasparaṃ sahāsamūcire |	latAH prarUXAH iti parasparam sahAsam-Ucire |
   tato nātivilambena mūrvākāriṇyastā mauktikalatā vistāriṇyaḥ samālocya	tatas na-ati-vilambena mUrvA-kAriNyaH-tAH mOktika-latA vistAriNyaH samAlocya
   samīpavartināṃ kadambānāmupariṣṭhāt krameṇāvarohitāḥ | tataḥ	samIpa-vartinAm kadambAnAm-uparizWAt krameNa-avarohitAH | tatas-
   katipayairdivasaistāḥ saurabhonmāditamadhuvrataiḥ kusumanicayairgopīnāṃ	katipayEH-divasEH-tAH sOraBa-unmAdita-maDu-vratEH kusuma-nicayEH-gopInAm
   camatkāramātanvānāḥ sakalaṃ gokulamevādhyavasāyan |	camatkAram-AtanvAnAH sakalam gokulam-eva-aDyavasAyan |
   tato'ṣṭa-vidha-yonija-mauktikebhyo vilakṣaṇāṃ śriyaṃ dadhati muktāphalāni	tatas-azwa-viDa--yoni-ja-mOktikeByaH vilakzaNAm Sriyam daDati muktAPalAni
   tāsu	tAsu
   jātāni tāni dṛṣṭvā vraja-vāsināṃ vismayo'tyarthaṃ jātaḥ | viśeṣataś ca	jAtAni tAni dRzwvA vraja--vAsinAm vismayaH-atyarTam jAtaH | viSezataH ca
   gopīnām |	gopInAm |
   tataḥ praty aham eva tad-darśanena jāta-lobhās tāḥ mantrayāñcakrire | bhoḥ	tatas prati aham eva tad--darSanena jAta--loBAH tAH mantrayAQcakrire | BoH
   sakhyaḥ bhadrena jñātam asmabhyaḥ kṛṣṇo mauktikāni sarvathaiva na	saKyaH Badrena jQAtam asmaByaH kRzNaH mOktikAni sarvaTA-eva na
   dāsyatyeva |	dAsyati-eva |
   bhavatu | tat-kṛta-mauktika-kṛṣi-prakriyāsmābhir na dṛṣṭāstīti na syāt |	Bavatu | tat-kRta-mOktika-kRzi-prakriyA-asmABiH na dRzwA-asti-iti na syAt |
   tatrānadhyavasāyaṃ tyaktvā tad-dviguṇikāyāḥ kedārikāyayā ārambhaḥ kathaṃ	tatra-anaDyavasAyam tyaktvA tad--dviguNikAyAH kedArikAyayA AramBaH kaTam
   na	na
   kriyate ?	kriyate ?
   iti śrutvāticaturā lalitā prāha -- bhoḥ pavana-vyādhi-vyāpṛtā gopyaḥ!	iti SrutvA-ati-caturA lalitA prAha - BoH pavana--vyADi--vyApRtAH gopyaH!
   govardhanoddharaṇādi-bhūmi-mauktikotpādanādikaṃ lokottaraṇām api duṣkaraṃ	govarDana-udDaraNa-Adi-BUmi-mOktika-utpAdana-Adikam loka-uttaraNAm api duzkaram
   karma | tena yad añjasā kriyate tat kila mahā-siddhato	karma | tena yat aQjasA kriyate tat kila mahA-sidDa-to
   labdha-siddhauṣadhi-mantrādi-prabhāvād eveti samasta-vraja-janair niścitam	labDa--sidDa-ozaDi-mantra-Adi-praBAvAt eva-iti samasta-vraja--janEH niScitam
   eva |	eva |
   anyathāsmad-vrajendra-gṛhiṇī garbha-sarovarotpanna-sukomala-nīlotpalasya	anyaTA-asmad--vraja-indra-gRhiNI garBa--saraH-vara-utpanna--su-komala--nIlotpalasya
   jñāta-sva-gopa-jāti-kriyā-kalāpa-mātrasya gopālakasya tasya tat-tat-karaṇe	jQAta--sva-ga-upa-jAti-kriyA--kalApa--mAtrasya gopAlakasya tasya tat-tat--karaNe
   katham	kaTam
   etāvatī śaktiḥ svataḥ sambhaved iti jānantyo'pi bhavatyaḥ	etAvatI SaktiH svatas samBavet iti jAnantyaH-api BavatyaH
   siddhauṣadhi-mantrādy-antareṇa yat-tat-karmaṇi pravartitum abhilaṣanti |	sidDa-ozaDi-mantra-Adi--antareNa yat-tat-karmaNi pravartitum aBilazanti |
   tat khalu	tat Kalu
   pariṇatāvagādha-lajjā-parihāsa-sāgarāntaḥ-svapatanāyaiveti satyam	pariNata-avagADa--lajjA--parihAsa--sAgara-antaH--sva-patanAya-eva-iti satyam
   avadhāryatām |	avaDAryatAm |
   tatas tuṅgavidyā prāha -- asmābhir api	tatas tuFga-vidyA prAha - asmABiH api
   śrī-bhagavatī-pāda-padma-siddha-mantra-śiṣyā-nāndīmukhī-sakāśāt	SrI--BagavatI--pAda--padma-sidDa--mantra--SizyA--nAndI-muKI--sakASAt
   siddha-mantram ekam ādāya kathaṃ na tathodyamaḥ kriyate ?	sidDa-mantram ekam AdAya kaTam na taTA-udyamaH kriyate ?
   sarvāḥ -- bhadraṃ vadati tuṅgavidyeti nirṇīya tat-pārśvam upetya	sarvAH - Badram vadati tuFga-vidyA-iti nirNIya tat--pArSvam upetya
   sa-vinayam	sa-vinayam
   ātmābhilāṣaṃ nivedayāmāsuḥ |	Atma-aBilAzam nivedayAmAsuH |
   tato nāndīmukhī svagatamāha -- aye nija-nayana-yugma-dṛṣṭi-sāphalyāya	tatas nAndImuKI sva-gatam-Aha - aye nija-nayana--yugma-dRzwi-sAPalyAya
   cira-dinam asmad-vidhābhilaṣyamāṇa-kraya-vikraya-krīḍā-kutūhala-kalpataror	cira-dinam asmad-viDa-aBilazyamANa--kraya--vikraya--krIxA--kutUhala--kalpa-taroH-
   bāḍham akasmād asmād dṛśāṃ bhāgyātiśaya-vaśāt sākṣād bīja-rūpo'yam	bAXam akasmAt asmAt dRSAm BAgya-atiSaya--vaSAt sAkzAt bIja--rUpaH-ayam
   avasaraḥ	avasaraH
   pratyāsanno babhūva | tad-vidagdhānāṃ śiromaṇīr apy etās tathā	pratyAsannaH baBUva | tad--vidagDAnAm SiromaNIH api etAH taTA
   yukti-sauṣṭhavātiśayena kṛtye'tra pravartayāmi | yathā sa tarus tvaritam	yukti--sOzWava-atiSayena kRtye-atra pravartayAmi | yaTA sa taruH tvaritam
   eva	eva
   praūḍhaḥ phalavān bhaved iti manasi vicintya sāntarānandaṃ nāndī prāha --	praUXaH PalavAn Bavet iti manasi vicintya sa-antara-Anandam nAndI prAha --
   bhoḥ	BoH
   sakhyaḥ | satyaṃ mukundasya na mantra-kṛteyaṃ mṛdi mauktikā sṛṣṭiḥ |	saKyaH | satyam mukundasya na mantra-kRtA-iyam mRdi mOktikA sRzwiH |
   sarvāḥ - tan nija-janena kāraṇa-śuktyādi-mātram antareṇa kathaṃ mṛttikāyām	sarvAH  tat nija-janena kAraNa--Sukti-Adi--mAtram antareNa kaTam mRttikAyAm
   asambhaveyaṃ tad-utpattiḥ pratīyate |	asamBaveyam tat--utpattiH pratIyate |
   nāndī -- asyā bhuvaḥ svābhāvikedṛk-prabhāvād eva | yad	nAndI - asyAH BuvaH svABAvikedRk--praBAvAt eva | yat-
   vividha-ratna-jananīyaṃ	viviDa--ratna--jananIyam
   vraja-vana-bhūr iti śrī-bhagavatī-pāda-padmaiḥ punaḥ punar nivarṇyate |	vraja-vana-BUH iti SrI--BagavatI--pAda--padmEH punar punar nivarNyate |
   ṛtam apy	Rtam api-
   anubhūyante tathā | yataḥ	anuBUyante taTA | yatas-
   pravāla-nava-pallava-marakata-chada-vajra-mauktika-prakara-koraka-kamala-rāga	pravAla-nava--pallava-maraka-ta-Cada-vajra--mOktika--prakara--koraka-kamala-rAga
   -nānā-phalādimanto hiraṇmaya-mahīruhāḥ sphuṭam atra jātā jāyamānāś ca	-nAnA--Pala-AdimantaH hiraNmaya--mahIruhAH sPuwam atra jAtAH jAyamAnAH ca
   dṛśyante | ato'syām upta-muktāphalāni janiṣyante phaliṣyanti ceti kiṃ	dRSyante | atas-asyAm upta-muktAPalAni janizyante Palizyanti ca-iti kim
   citram ? tad	citram ? tat-
   bhavatībhir api surabhitara-navanītādi-seka-pūrvakam atiprayatnena tathā	BavatIBiH api suraBitara--navanIta-Adi-seka--pUrvakam ati-prayatnena taTA
   tat-kṛṣiḥ	tat-kRziH
   kriyatāṃ yathā tato'py adhikatamāni paramottama-phalāni labhyante |	kriyatAm yaTA tatas-api aDikatamAni parama-uttama--PalAni laByante |
   iti tad-vacana-mādhurīm āpīya sa-santoṣaṃ sa-ślāghaṃ pratyayantyaḥ sarvās	iti tad--vacana--mADurIm ApIya sa--santozam sa--SlAGam pratyayantyaH sarvAs
   tām	tAm
   āliṅgya nijāṃ sthalīm āgatya spardhayā maj-jayāya samucita-vetanato	AliFgya nijAm sTalIm Agatya sparDayA maj-jayAya samucita--vetanato
   dviguṇa-triguṇa-gorasa-pradānena karma-kārānānāyya sthāne sthāne kedārikāḥ	dviguNa--triguNa-gorasa--pradAnena karma--kArAn-AnAyya sTAne sTAne kedArikAH
   kṛtvā peṭikāyām agrathitāni grathitāny aṅga-bhūṣaṇa-rūpāṇi ca yāvanti	kRtvA pewikAyAm agraTitAni graTitAni aFga-BUzaNa--rUpANi ca yAvanti
   sthitāni	sTitAni
   tāvanti yathā-yuktam alpāny eva saṃrakṣyāṅgataḥ samuttāritāni ca	tAvanti yaTA-a-yuktam alpAni eva saMrakzya-aFgataH samuttAritAni ca
   mauktikāni	mOktikAni
   niravaśeṣam uptvā pratyaham eva tri-sandhyaṃ	niravaSezam uptvA pratyaham eva tri-sanDyam
   go-dugdha-navanīta-suvāsita-ghṛtair	go-dugDa--navanI-ta--su-vAsita--GRtEH-
   eva sekaṃ kartum ārabdhavatyaḥ |	eva sekam kartum ArabDavatyaH |
   tatastāsāṃ muktākṛṣikaraṇaśravaṇānmātsaryato lobhataśca	tatas-tAsAm muktA-kRzi-karaNa-SravaNAt-mAtsaryataH loBataH-ca
   candrāvalīprabhṛtayo'pi	candra-AvalI-praBRtayaH-api
   sarvā vallabyastato'pyadhikakedārikāḥ sthāne sthāne kṛtvā	sarvAH vat-labyaH-tatas-api-aDika-kedArikAH sTAne sTAne kRtvA
   dehagehayorekamapyasaṃrakṣya samastamauktikānyuptavatyaḥ |	deha-gehayoH-ekam-api-asaMrakzya samasta-mOktikAni-uptavatyaH |
   tataḥ katipayadināntare svasvakedārikāsu jātān hiṃsralatāṅkurān dṛṣṭvā	tatas katipaya-dina-antare sva-sva-kedArikAsu jAtAn hiMsra-latA-aFkurAn dRzwvA
   antargarbhitagarvābhirvallabhībhistābhiḥ sarvābhiśchalato matpriyavayasyāḥ	antar-garBita-garvABiH-vallaBIBiH-tABiH sarvABiH-CalataH mad-priya-vayasyAH
   parihasyante sma |	parihasyante sma |
   ekasmin dine gorasānāmatīvavyayaṃ svasvagṛhasya ca nimauktikatāṃ vīkṣya	ekasmin dine gorasAnAm-atIva-vyayam sva-sva-gRhasya ca nimOktika-tAm vIkzya
   gopāḥ	gopAH
   sasaṃrambhaṃ kāraṇaṃ papracchuḥ |	sa-saMramBam kAraNam papracCuH |
   tacchrutvā vṛddhā ūcuḥ | bho āyuṣmantaḥ | nānuyogaviṣayo'yamābhirbālābhiḥ	tat-SrutvA vRdDAH UcuH | Bo AyuzmantaH | na-anuyoga-vizayaH-ayam-ABiH-bAlABiH
   kṛto mauktikakedārikānāṃ nimittaṃ bahulo vyayo'cirādeva bahutaralābho	kRtaH mOktika-kedArikAnAm nimittam bahulaH vyayaH-acirAt-eva bahutara-lABaH-
   bhaviṣyati | yatkṛṣṇakedārikāyāṃ rājadārāṇāmapi durlabhāni muktāphalāni	Bavizyati | yat-kRzNa-kedArikAyAm rAja-dArANAm-api durlaBAni muktAPalAni
   kila	kila
   dṛṣṭāni santīti |	dRzwAni santi-iti |
   athaikadā viśākhayā svadekārikāsu tānaṅkurānnirīkṣya kāsāñcit karṇe	aTa-ekadA viSAKayA sva-dekArikAsu tAn-aFkurAt-nirIkzya kAsAQcid karNe
   nibhṛtamidamuktam | bhoḥ sakhyaḥ | kṛṣṇakedārikāmadhye mayā yādṛśā aṅkurā	niBRtam-idam-uktam | BoH saKyaH | kRzNa-kedArikA-maDye mayA yAdRSA aFkurA
   dṛṣṭā ete tu tādṛśā na dṛśyante | na jāne paścāt kiṃ bhavet |	dRzwAH ete tu tAdRSAH na dRSyante | na jAne paScAt kim Bavet |
   kṛṣṇavayasyadṛṣṭinivāraṇārthaṃ chalataḥ suṣṭhu veṣṭyantām |	kRzNa-vayasya-dRzwi-nivAraNa-arTam Calatas suzWu vezwyantAm |
   atha katipayadivasaistāsāṃ rādhādīnāmanyāsāṃ ca kedārikāsu	aTa katipaya-divasEH-tAsAm rADa-AdInAm-anyAsAm ca kedArikAsu
   kaṇṭakādicihnena	kaNwaka-Adi-cihnena
   latābhirnijarūpe prakāśyamāne gopīkedārikāsu hiṃsrā latā jātā iti	latABiH-nija-rUpe prakASyamAne gopIkedArikAsu hiMsrAH latAH jAtAH iti
   sakalagokula	sakala-gokula
   eva khyātam |	eva KyAtam |
   etad ākarṇya vayasya-dvārā gāndharvā-goṣṭhyāṃ mayedaṃ sotprāsaṃ vijñāpitaṃ	etat AkarNya vayasya-dvArA gAnDarvA--gozWyAm mayA-idam sa-utprAsam vijQApitam
   śrutaṃ bhavatīnāṃ kedārikāsu bahūni muktā-phalāni jātāni santi | ahaṃ	Srutam BavatInAm kedArikAsu bahUni muktA--PalAni jAtAni santi | aham
   tāvat	tAvat-
   snigdhas tat sa-vayasyāya mahyaṃ prathama-phalāni dīyantām |	snigDaH tat sa--vayasyAya mahyam praTama--PalAni dIyantAm |
   tatas tābhir uktaṃ | yadi vayaṃ kṛṣim akariṣyāmas tadā sakala-goṣṭhaṃ	tatas tABiH uktam | yadi vayam kRzim akarizyAmaH tadA sakala--gozWam
   mauktikamayam abhaviṣyat | paśupālya-svadharmam apahāya sa iva kaḥ	mOktika-mayam aBavizyat | paSupAlya--svaDarmam apahAya saH iva kaH
   kīlāsa-vṛttim [*NOTE: Karṣaka-vṛttiḥ pakṣe kārpaṇyam] āśrayet ||	kIlAsa--vRttim [*NOTE: Karzaka-vRttiH pakze kArpaNyam] ASrayet ||
   tad ākarṇya mayā nikhila-vayasyāḥ savatsā gāvaḥ śakaṭa-vahā mahiṣyaḥ,	tat AkarNya mayA niKila--vayasyAH sa-vatsA gAvaH Sakawa-vahAH mahizyaH,
   savarkarā ajā, vṛndāvana-vartinyaś ca mauktika-mayair mālādy-alaṅkārair	sa-varkarAH ajA, vRndAvana-vartinyaH ca mOktika-mayEH mAlA-Adi--alaFkArEH-
   maṇḍitāḥ |	maNxitAH |
   tataś ca gopyo lajjayā sva-bhūṣaṇa-vyatirekeṇa bahu-dhana-vināśena	tatas ca gopyaH lajjayA sva-BUzaNa--vyatirekeNa bahu-Dana--vinASena
   gopa-bhiyā ca	gopa-BiyA ca
   kim atra yuktam iti mantrayitum ārebhire | aye gṛhīta-kṛṣṇa-pakṣayā	kim atra yuktam iti mantrayitum AreBire | aye gRhIta-kRzNa--pakzayA
   dhūrta-nāndīmukhyā'bhadreṇa pratāritāḥ sma ity ābhāṣya sarps.aṃ	DUrta-nAndI-muKyA-aBadreNa pratAritAH smaH iti ABAzya sarps.am
   tan-nikaṭam	tan--nikawam
   āgatya tat-kathana-pūrvakaṃ bahuśas tābhir bhartsitā nāndīmukhī prāha |	Agatya tat-kaTana--pUrvakam bahuSas tABiH BartsitA nAndImuKI prAha |
   bhoḥ	BoH
   tapobhyaḥ śape na mayā sarvathaiva pratāritāḥ stha, kintu yuṣmābhir eva	tapoByaH Sape na mayA sarvaTA-eva pratAritAH sTa, kintu yuzmABiH eva
   tat sarvaṃ	tat sarvam
   vināśitam |	vinASitam |
   sarvāḥ | kapaṭini kathaṃ kāram |	sarvAH | kapawini kaTam kAram |
   nāndī | yato garvitābhir yuṣmābhir ḍhakkā-vādyavat kolāhala-prapañcena	nAndI | yatas garvitABiH yuzmABiH XakkA--vAdya-vat kolAhala-prapaQcena
   savayasya-gaṇasya tasya śravaṇa-kuhare suṣṭhu-gocarīkṛtya kedārikāsu	sa-vayasya--gaNasya tasya SravaNa-kuhare suzWu--gocarIkRtya kedArikAsu
   muktāḥ	muktAH
   sphuṭam uptāḥ tathā ko'py ekaḥ prahariko'pi tatra na rakṣitaḥ |	sPuwam uptAH taTA kaH-api ekaH praharikaH-api tatra na rakzitaH |
   sarvāḥ -- etāvatā kiṃ na jātam ?	sarvAH - etAvatA kim na jAtam ?
