   (PSP_5:1)	(PSu _5:1)
   tiryagyonigataṃ vā sattvaṃ dṛṣṭvā yāmalokikaṃ vā sattvaṃ dṛṣṭvā, evaṃ	tiryagyoni gatam vA sattvam dRzwvA yAma lokikam vA sattvam dRzwvA, evam
   smṛtiṃ pratilabhate yena smṛtilabdhasya caivaṃ bhavati, tathā kariṣyāmi	smRtim pratilaBate yena smRti labDasya ca evam Bavati, taTA karizyAmi
   tathā pratipatsye yathā me tatra buddhakṣetre 'nuttarāṃ samyaksaṃbodhim	taTA pratipatsye yaTA me tatra budDa kzetre anuttarAm samyaksaMboDim
   abhisaṃbuddhasya sarveṇa sarvaṃ sarvathā sarvaṃ trayo 'pāyā na	aBisaMbudDasya sarveNa sarvam sarvaTA sarvam trayaH apAyAH na
   bhaviṣyanti. tat kasya hetoḥ? tathā hi yaś ca svapno yaś cāhaṃ sarva ime	Bavizyanti. tat kasya hetoH? taTA hi yaH ca svapnaH yaH ca aham sarve ime
   dharmā advayā advaidhīkārāḥ, idam api subhūte bodhisattvasya	DarmAH advayAH advEDIkArAH, idam api suBUte boDisattvasya
   mahāsattvasyāvinivartanīyalakṣaṇaṃ veditavyam. iti saṣṭham	mahAsattvasya avinivartanIya lakzaNam veditavyam. iti sazWam
   punar aparaṃ subhūte 'vinivartanīyo bodhisattvo mahāsatttvaḥ	punar aparam suBUte avinivartanIyaH boDisattvaH mahAsatttvaH
   svapnāntaragato vā prativibuddho vā nagaradāhe vartamāne, evaṃ	svapna antara gataH vA prativibudDaH vA nagara dAhe vartamAne, evam
   samanvāharati, yena mayā svapnāntaragatena vā prativibuddhena vā ya ākārā	samanvAharati, yena mayA svapna antara gatena vA prativibudDena vA yaH AkArA
   yāni liṅgāni yāni nimittāni dṛṣṭāni yair ākārair yair liṅgair yair	yAni liFgAni yAni nimittAni dRzwAni yEH AkArEH yEH liFgEH yEH 
   nimittaiḥ samanvāgato bodhisattvo mahāsattvo 'vinivartanīyo bhavati, yadi	nimittEH samanvAgataH boDisattvaH mahAsattvaH avinivartanIyaH Bavati, yadi
   ta ākārās tāni liṅgāni tāni nimittāni mama saṃvidyante tair avaivartiko	te AkArAH tAni liFgAni tAni nimittAni mama saMvidyante tEH avEvartikaH 
   bodhisattvo mahāsattva evaṃ satyādhiṣṭhānaṃ karoti, (PSP_5:3) yena satyena	boDisattvaH mahAsattvaH evam satya aDizWAnam karoti, (PSu _5:3) yena satyena
   satyavacanenāhaṃ vyākṛto 'nuttarāyāṃ samyaksaṃbodhau tena satyena	satya vacanena aham vyAkRtaH anuttarAyAm samyaksaMboDO tena satyena
   satyavacanenāyaṃ nagaradāha upaśāmyatu śītībhavatv astaṃ gacchatu. saced	satya vacanena ayam nagara dAhaH upaSAmyatu SItIBavatu astam gacCatu. saced 
   upaśāmyati śītībhavaty astaṃ gacchati veditavyaṃ subhūte vyākṛto batāyaṃ	upaSAmyati SItIBavati astam gacCati veditavyam suBUte vyAkRtaH bata ayam
   bodhisattvo mahāsattvo 'nuttarāyāṃ samyaksaṃbodhāv avinivartanīyatāyai.	boDisattvaH mahAsattvaH anuttarAyAm samyaksaMboDO avinivartanIya tAyE.
   sacet punaḥ subhūte agniskandho 'tikramitvā gṛhād gṛhaṃ dahati rathyāyā	saced punar suBUte agni skanDaH atikramitvA gRhAt gRham dahati raTyAyAH 
   rathyā dahaty anyad gṛhaṃ dahaty anyad gṛhaṃ na dahaty anyāṃ rathyāṃ	raTyA dahati anyat gRham dahati anyat gRham na dahati anyAm raTyAm
   dahaty anyāṃ rathyāṃ na dahati veditavyaṃ subhūte bodhisattvena	dahati anyAm raTyAm na dahati veditavyam suBUte boDisattvena
   mahāsattvena dharmaṃ pratyākhyānasaṃvartanīyam etaiḥ sattvaiḥ karmopacitaṃ	mahAsattvena Darmam pratyAKyAna saMvartanIyam etEH sattvEH karma upacitam
   yenaiteṣāṃ sattvānām ekaṃ gṛhaṃ dahyate, ekaṃ gṛhaṃ na dahyate, teṣām etad	yena etezAm sattvAnAm ekam gRham dahyate, ekam gRham na dahyate, tezAm etat 
   dṛṣṭadhārmikam eva karma vipacyate, ayaṃ subhūte hetur ayaṃ pratyayo	dRzwa DArmikam eva karma vipacyate, ayam suBUte hetuH ayam pratyayo
   'vinivartanīyānāṃ bodhisattvānāṃ mahāsattvānāṃ yair hetubhir yaiḥ	avinivartanIyAnAm boDisattvAnAm mahAsattvAnAm yEH hetuBiH yEH
   pratyayair avinivartanīyo bodhisattvo mahāsattvo veditavyaḥ. iti saptamam	pratyayEH avinivartanIyaH boDisattvaH mahAsattvaH veditavyaH. iti saptamam
   punar aparaṃ subhūte yair ākārair yair liṅgair yair nimittaiḥ samanvāgato	punar aparam suBUte yEH AkArEH yEH liFgEH yEH nimittEH samanvAgataH 
   'vinivartanīyo bodhisattvo mahāsattvo veditavyas tān ākārāṃs tāni liṅgāni	avinivartanIyaH boDisattvaH mahAsattvaH veditavyaH tAn AkArAn tAni liFgAni
   tāni nimittāni deśayiṣyāmi. sacet subhūte kaścid eva strī vā puruṣo	tAni nimittAni deSayizyAmi. saced suBUte kaScid eva strI vA puruzaH 
   vāmanuṣyeṇādhiṣṭhito bhavet, tatra bodhisattvena mahāsattvena evaṃ	vAmanuzyeNa aDizWitaH Bavet, tatra boDisattvena mahAsattvena evam
   samanvāhartavyaṃ, saced ahaṃ vyākṛtas tathāgatair arhadbhiḥ	samanvAhartavyan, saced aham vyAkRtaH taTAgatEH arhadBiH
   samyaksaṃbuddhair anuttarāyai samyaksaṃbodhaye, pariśuddhaś ca me	samyaksaMbudDEH anuttarAyE samyaksaMboDaye, pariSudDaH ca me
   'dhyāśayo yathāham anuttarāṃ samyaksaṃbodhim abhisaṃbodhukāmo yathāham	aDyASayaH yaTA aham anuttarAm samyaksaMboDim aBisaMboDu kAmaH yaTA aham
   anuttarāṃ samyaksaṃbodhim abhisaṃbhotsye, pariśuddhaś ca me manasikāro	anuttarAm samyaksaMboDim aBisaMBotsye, pariSudDaH ca me manasikAraH 
   'nuttarāyai samyaksaṃbodhaye, apagataṃ me śrāvakacittam apagataṃ me	anuttarAyE samyaksaMboDaye, apagatam me SrAvaka cittam apagatam me
   pratyekabuddhacittam, apagatena śrāvakapratyekabuddhacittena mayānuttarā	pratyekabudDa cittam, apagatena SrAvaka pratyekabudDa cittena mayA anuttarA
   samyaksaṃbodhir abhisaṃbodhavyā, nāham anuttarāṃ samyaksaṃbodhim	samyaksaMboDiH aBisaMboDavyA, na aham anuttarAm samyaksaMboDim
   abhisaṃbhotsye, abhisaṃbhotsya evāham anuttarāṃ samyaksaṃbodiṃ ye 'pi te	aBisaMBotsye, aBisaMBotsyaH eva aham anuttarAm samyaksaMbodim ye api te
   'saṃkhyeyeṣu lokadhātuṣu buddhā bhagavantas tiṣṭhanti dhriyante yāpayanti	asaMKyeyezu lokaDAtuzu budDAH BagavantaH tizWanti Driyante yApayanti
   teṣāṃ tathāgatānām arhatāṃ samyaksaṃbuddhānāṃ nāsti kiṃcid adṛṣṭaṃ	tezAm taTAgatAnAm arhatAm samyaksaMbudDAnAm na asti kiMcid adRzwam
   vāśrutaṃ vāviditaṃ vāsākṣātkṛtaṃ vānabhisaṃbuddhaṃ vā yathā te buddhā	vA aSrutam vA aviditam vAsAkzAt kRtam vA anaBisaMbudDam vA yaTA te budDA
   bhagavantaḥ prajānanti paśyanti mamādhyāśayara iti hy anuttarāṃ	BagavantaH prajAnanti paSyanti mama aDyASayaraH iti hi anuttarAm
   samyaksaṃbodhim abhisaṃbhotsya etena satyena satyavacanenāyaṃ strī vā	samyaksaMboDim aBisaMBotsyaH etena satyena satya vacanena ayam strI vA
   puruṣo vā yenāmanuṣyeṇa gṛhīto viheṭhito vā so (PSP_5:4) manuṣyo	puruzaH vA yena amanuzyeNa gRhItaH viheWitaH vA saH (PSu _5:4) manuzyaH 
   'pakrāmatu.	apakrAmatu.
   sacet punaḥ subhūte so 'manuṣyas tato nāpakrāmati tasya bodhisattvasya	saced punar suBUte saH amanuzyaH tatas na apakrAmati tasya boDisattvasya
   mahāsattvasyaivaṃ bhāṣamāṇasya veditavyam etat subhūte nāyaṃ vyākṛto	mahAsattvasya evam BAzamANasya veditavyam etat suBUte na ayam vyAkRtaH 
   bodhisattvo mahāsattvas tair pūrvakais tathagatair arhadbhiḥ	boDisattvaH mahAsattvaH tEH pUrvakEH taTa gatEH arhadBiH
   samyaksaṃbuddhair anuttarāyai samyaksaṃbodhaye.	samyaksaMbudDEH anuttarAyE samyaksaMboDaye.
   sacet punaḥ subhūte bodhisattvasya mahāsattvasyaivaṃ bhāṣamāṇasya so	saced punar suBUte boDisattvasya mahAsattvasya evam BAzamANasya saH 
   'manuṣyas tato 'pakrāmati veditavyaṃ subhūte bodhisattvena mahāsattvena	amanuzyaH tatas apakrAmati veditavyam suBUte boDisattvena mahAsattvena
   vyākṛto 'yaṃ bodhisattvo mahāsattvas taiḥ pūrvakais tathāgatair arhadbhiḥ	vyAkRtaH ayam boDisattvaH mahAsattvaH tEH pUrvakEH taTAgatEH arhadBiH
   samyaksaṃbuddhair anuttarāyai samyaksaṃbodhaye. ebhiḥ subhūte ākārair	samyaksaMbudDEH anuttarAyE samyaksaMboDaye. eBiH suBUte AkArEH 
   ebhir liṅgair ebhir nimittaiḥ samanvāgato 'vinivartanīyo bodhisattvo	eBiH liFgEH eBiH nimittEH samanvAgataH avinivartanIyaH boDisattvaH 
   mahāsattvo veditavyaḥ.	mahAsattvaH veditavyaH.
   punar aparaṃ subhūte 'vinivartanīyasya bodhisattvasya mahāsattvasya ṣaṭsu	punar aparam suBUte avinivartanIyasya boDisattvasya mahAsattvasya zawsu
   pāramitāsu carata upāyakauśalyavirahitasyācaritāvinaś caturṣu	pAramitAsu carataH upAya kOSalya virahitasya Acarita AvinaH caturzu
   smṛtyupasthāneṣu samyakprahāṇarddhipādendriyabalabodhyaṅgeṣv āryāṣṭāṅge ca	smRti upasTAnezu samyak prahANa RdDi pAda indriya bala boDi aFgezu Arya azwa aFge ca
   mārge caturṣv āryasatyeṣu śūnyatānimittāpraṇihiteṣu bodhisattvaniyāmam	mArge caturzu Arya satyezu SUnyatA nimitta apraNihitezu boDisattva niyAmam
   anavakrāntasya satyādhiṣṭhānena māraḥ pāpīyān upasaṃkramiṣyati saced	anavakra antasya satya aDizWAnena mAraH pApIyAn upasaMkramizyati saced 
   bodhisattvasyaivaṃ bhavati, yena satyena satyavacanenāhaṃ vyākṛto	boDisattvasya evam Bavati, yena satyena satya vacanena aham vyAkRtaH 
   'nuttarāyāṃ samyaksaṃbodhau, tena satyena satyavacanenāyam amanuṣyabhūta	anuttarAyAm samyaksaMboDO, tena satyena satya vacanena ayam amanuzya BUta 
   ito 'pakrāmatv ity evaṃ satyādhiṣṭhānaṃ kariṣyati. tatra māraḥ pāpīyān	itas apakrAmatu iti evam satya aDizWAnam karizyati. tatra mAraH pApIyAn
   autsukyam āpatsyate katham amanuṣya ito 'pakrāmed? iti. tat kasya hetoḥ?	Otsukyam Apatsyate kaTam amanuzyaH itas apakrAmed? iti. tat kasya hetoH?
   tathā hi māraḥ pāpīyān balavattaraṃ ca tejovattaraṃ ca tatrautsukyam	taTA hi mAraH pApIyAn balavattaram ca tejovattaram ca tatra Otsukyam
   āpatsyate katham ayam amanuṣya ito 'pakrāmed iti, evaṃ mārādhiṣṭhānena sa	Apatsyate kaTam ayam amanuzyaH itas apakrAmet iti, evam mAra aDizWAnena sa
   tato 'pakrāmiṣyati, evaṃ ca tasya bodhisattvasya mahāsattvasya bhaviṣyati,	tatas apakrAmizyati, evam ca tasya boDisattvasya mahAsattvasya Bavizyati,
   mamaiṣo 'nubhāvenāmanuṣya ito 'pakrānto, na punar evaṃ jñāsyati	mama ezaH anuBAvena amanuzyaH itas apakrAnto, na punar evam jQAsyati
   mārānubhāvenaiṣo 'manuṣya ito 'pakrānta iti. sa tenānyān bodhisattvān	mAra anuBAvena ezaH amanuzyaH itas apakrAntaH iti. sa tena anyAn boDisattvAn
   mahāsattvān avamaṃsyate ullāpayiṣyaty uccagghayiṣyati paṃsayiṣyaty, ahaṃ	mahAsattvAn avamaMsyate ullApayizyati uccagGayizyati paMsayizyaty, aham
   vyākṛto 'nuttarāyai samyaksaṃbodhaye taiḥ pūrvakais tathāgatair arhadbhiḥ	vyAkRtaH anuttarAyE samyaksaMboDaye tEH pUrvakEH taTAgatEH arhadBiH
   samyaksaṃbuddhair ete punar anye na vyākṛtā anuttarāyai samyaksaṃbodhaye.	samyaksaMbudDEH ete punar anye na vyAkRtAH anuttarAyE samyaksaMboDaye.
   sa tena tāvanmātrakeṇa māraṃ vivardhayiṣyati, dūrīkariṣyati	sa tena tAvat mAtrakeNa mAram vivarDayizyati, dUrIkarizyati
   sarvākārajñatāṃ dūrīkariṣyaty anuttaraṃ buddhajñānam. sa tathārūpo	sarva AkAra jQa tAm dUrIkarizyati anuttaram budDa jQAnam. sa taTArUpaH 
   bodhisattvo mahāsattvas tāvanmātrakeṇānupāyakuśalo (PSP_5:5) 'bhimānam	boDisattvaH mahAsattvaH tAvat mAtrakeNa anupAya kuSalaH (PSu _5:5) aBimAnam
   utpādayiṣyati, tasya dve bhūmi pratikāṅkṣitavye. katame dve? yad uta	utpAdayizyati, tasya dve BUmi pratikAFkzitavye. katame dve? yat uta
   śrāvakabhūmir vā pratyekabuddhabhūmir vā. evaṃ satyādhiṣṭhānena	SrAvaka BUmiH vA pratyekabudDa BUmiH vA. evam satya aDizWAnena
   bodhisattvasya mahāsattvasya mārakarmotpatsyate, tatra sa kalyāṇamitrāṇi	boDisattvasya mahAsattvasya mAra karma utpatsyate, tatra sa kalyANa mitrANi
   na seviṣyate na bhajiṣyate na paryupāsiṣyate tad eva mārabandhanam	na sevizyate na Bajizyate na paryupAsizyate tat eva mAra banDanam
   āgāḍhīkariṣyati. tat kasya hetoḥ? yathāpi nāma ṣaṭsu pāramitāsv	AgAXIkarizyati. tat kasya hetoH? yaTA api nAma zawsu pAramitAsu 
   acaritatvād upāyakauśalena vāparigṛhītatvād, evaṃ hi subhūte bodhisattvena	acarita tvAt upAya kOSalena vA aparigRhIta tvAt , evam hi suBUte boDisattvena
   mahāsattvena satyādhiṣṭhānena mārakarma veditavyam.	mahAsattvena satya aDizWAnena mAra karma veditavyam.
   kathaṃ ca punaḥ subhūte bodhisattvasya mahāsattvasya ṣaṭsu pāramitāsv	kaTam ca punar suBUte boDisattvasya mahAsattvasya zawsu pAramitAsu 
   acaritāvino yāvad bodhisattvaniyāmam anavakrāntasya satyādhiṣṭhānena māraḥ	acaritAvinaH yAvat boDisattva niyAmam anavakra antasya satya aDizWAnena mAraH
   pāpīyān upasaṃkramiṣyati? iha subhūte māraḥ pāpīyān anyatareṇa	pApIyAn upasaMkramizyati? iha suBUte mAraH pApIyAn anyatareNa
   veṣeṇopasaṃkramya bodhisattvaṃ mahāsattvam evaṃ vakṣyati: vyākṛtas tvaṃ	vezeNa upasaMkramya boDisattvam mahAsattvam evam vakzyati: vyAkRtaH tvam
   kulaputra tathāgatenārhatā samyaksaṃbuddhenānuttarāyai samyaksaṃbodhaye,	kula putra taTAgatena arhatA samyaksaMbudDena anuttarAyE samyaksaMboDaye,
   amuko 'nvayas te, idan te nāmadheyam, idan te pitur nāmadheyam, idan te	amukaH anvayaH te, idan te nAmaDeyam, idan te pituH nAmaDeyam, idan te
   mātur nāmadheyam idan te putraduhitṛbhaginīnāmadheyam, idan te	mAtuH nAmaDeyam idan te putra duhitR BaginI nAmaDeyam, idan te
   mitrāmātyajñātisālohitānāṃ yāvad āsaptamamātāmahapitāmahayugasya	mitra amAtya jQAti sa AlohitAnAm yAvat AsaptamamAtAmaha pitAmaha yugasya
   nāmadheyam upadekṣyati, āmuṣmāt tvaṃ janapadād āmuṣmāt tvaṃ nagarād	nAmaDeyam upadekzyati, AmuzmAt tvam janapadAt AmuzmAt tvam nagarAt 
   amuṣmād diśas tvam āgato, 'muṣmin janapade tvaṃ jāto 'musmiṃ grāme vā	amuzmAt diSaH tvam Agato, amuzmin janapade tvam jAtaH amusmim grAme vA
   nagare vā. sacet prakṛtyā mṛduko bhaviṣyati sa tam evaṃ vakṣyati: pūrvam	nagare vA. saced prakRtyA mRdukaH Bavizyati sa tam evam vakzyati: pUrvam
   api tvam evaṃ mṛduka evābhūḥ, sacet sa tīkṣṇo bhaviṣyati sa tam evaṃ	api tvam evam mRdukaH eva aBUH, saced sa tIkzNaH Bavizyati sa tam evam
   vakṣyati: pūrvam api tvam evaṃ tīkṣṇa evābhūḥ, saced āraṇyako bhaviṣyati,	vakzyati: pUrvam api tvam evam tIkzNaH eva aBUH, saced AraNyakaH Bavizyati,
   sacet piṇḍapātiko bhaviṣyati, sacet pāṃśukūliko bhaviṣyati, sacet	saced piNxapAtikaH Bavizyati, saced pAMSukUlikaH Bavizyati, saced 
   khalupunaḥpaścādbhaktiko bhaviṣyati saced ekāśaniko bhaviṣyati sacet	Kalu punar paScAt BaktikaH Bavizyati saced eka aSanikaH Bavizyati saced 
   prasthavpiṇḍiko bhaviṣyati, sacec chmāśāniko bhaviṣyati, saced	prasTavpiNxikaH Bavizyati, saced SmASAnikaH Bavizyati, saced 
   abhyavakāśiko bhaviṣyati, saced vṛkṣamūliko bhaviṣyati, sacen naiṣadyiko	aByavakASikaH Bavizyati, saced vRkza mUlikaH Bavizyati, saced nEzadyiko
   bhaviṣyati, saced yathāsaṃstariko bhaviṣyati, sacet traicīvariko	Bavizyati, saced yaTA saMstarikaH Bavizyati, saced trEcIvarikaH 
   bhaviṣyati, saced alpeccho bhaviṣyati, sacet saṃtuṣṭo bhaviṣyati, sacet	Bavizyati, saced alpa icCaH Bavizyati, saced saMtuzwaH Bavizyati, saced 
   pravivikto bhaviṣyati, saced apagatapādamrakṣaṇo bhaviṣyati, sacen	praviviktaH Bavizyati, saced apagata pAdam rakzaNaH Bavizyati, saced 
   mandabhāṣyo bhaviṣyati, sa tam evaṃ vakṣyati: pūrvam api tvaṃ mandabhāṣya	mandaBAzyaH Bavizyati, sa tam evam vakzyati: pUrvam api tvam mandaBAzya
   evābhūḥ, sacen mandamantro bhaviṣyati, pūrvam api tvaṃ mandamantra	eva aBUH, saced manda mantraH Bavizyati, pUrvam api tvam manda mantra
   evābhūḥ. tat kasya (PSP_5:6) hetoḥ? tathā hi tavaivaṃrūpā dhūtaguṇāḥ	eva aBUH. tat kasya (PSu _5:6) hetoH? taTA hi tava evaMrUpAH DUta guNAH
   saṃvidyante niścayena te pūrvam apy eta eva dhūtagunāḥ saṃlekhā abhūvan.	saMvidyante niScayena te pUrvam api ete eva DUta gunAH saMleKAH aBUvan.
   so 'nena ca pūrvakeṇa nāmāpadeśena gotrāpadeśena ca	saH anena ca pUrvakeNa nAma apadeSena gotra apadeSena ca
   pratyutpannadhūtaguṇāpadeśena ca manyanām utpādayiṣyati. tam enaṃ māraḥ	pratyutpanna DUta guNa apadeSena ca manyanAm utpAdayizyati. tam enam mAraH
   pāpīyān upasaṃkramyaivaṃ vakṣyati: vyākṛtas tvaṃ kulaputra tathāgatair	pApIyAn upasaMkramya evam vakzyati: vyAkRtaH tvam kula putra taTAgatEH 
   arhadbhiḥ samyaksaṃbuddhair anuttarāyai samyaksaṃbodhaye	arhadBiH samyaksaMbudDEH anuttarAyE samyaksaMboDaye
   'vinivartanīyatāyāṃ yathā te dhūtaguṇāḥ saṃvidyante.	avinivartanIya tAyAm yaTA te DUta guNAH saMvidyante.
   kadācid bhikṣuveṣeṇopasaṃkramiṣyati, kadācid	kadAcid Bikzu vezeNa upasaMkramizyati, kadAcid 
   gṛhapativeṣeṇopasaṃkramiṣyati, kadācid mātṛveṣeṇopasaṃkramiṣyati, kadācit	gRhapati vezeNa upasaMkramizyati, kadAcid mAtR vezeNa upasaMkramizyati, kadAcid 
   pitṛveṣeṇopasaṃkramiṣyati, kadācid bhrātṛveṣeṇopasaṃkramiṣyati, kadācid	pitR vezeNa upasaMkramizyati, kadAcid BrAtR vezeNa upasaMkramizyati, kadAcid 
   bhaginīveṣeṇopasaṃkramiṣyati, kadācid brāhmaṇaveṣeṇopasaṃkramiṣyati,	BaginI vezeNa upasaMkramizyati, kadAcid brAhmaNa vezeNa upasaMkramizyati,
   kadācid mitrāmātyajñātisālohitaveṣeṇopasaṃkramiṣyaty upasaṃkramyaivaṃ	kadAcid mitra amAtya jQAti sa Alohita vezeNa upasaMkramizyati upasaMkramya evam
   vakṣyati: vyākṛtas tvaṃ kulaputra tathāgatenārhatā	vakzyati: vyAkRtaH tvam kula putra taTAgatena arhatA
