   Mārīcīnāmadhāraṇī	MArIcInAmaDAraNI
   amūrcchiteṣu māṃ gopaya / nāgato me rakṣa / caṇḍamṛgato me rakṣa / rakṣa 2	amUrcCitezu mAm gopaya / na-AgataH me rakza / caNxa-mRgataH me rakza / rakza 2
   mama sarvasatvānāṃ ca sarvaduṣṭapraduṣṭebhyaḥ / tadyathā ḥ namo	mama sarva-satvAnAm ca sarva-duzwa-praduzweByaH / tat-yaTA H namaH-
   ratnatrayāya oṃ ālo tālo kālo sacchalo satvamudrati rakṣa rakṣa māṃ	ratnatrayAya om AlaH tAlaH kAlaH sa=-CalaH satva-mudrati rakza rakza mAm
   saparivārasya sarvasatvānāṃ ca sarvabhayopadravebhyaḥ svāhā /	sa-parivArasya sarva-satvAnAm ca sarva-Baya-upadraveByaH svAhA /
   namo ratnatrayāya / namo bhagavatyai āryamārīcīdevatāyai / tasyā hṛdayam	namaH ratnatrayAya / namaH BagavatyE Arya-mArIcI-devatAyE / tasyAH hRdayam
   āvartayiṣyāmi / tadyathā ḥ oṃ vattālī vadālī varālī varāhamukhī /	AvartayizyAmi / tat-yaTA H om vattAlI vadAlI varAlI varAha-muKI /
   sarvaduṣṭapraduṣṭānāṃ cakṣurmukhaṃ bandha bandha / bandha mukhaṃ jambhaya	sarva-duzwa-praduzwAnAm cakzuH-muKam banDa banDa / banDa muKam jamBaya
   stambhaya mohaya svāhā / oṃ mārīcyai svāhā / oṃ varālī vadālī vattālī	stamBaya mohaya svAhA / om mArIcyE svAhA / om varAlI vadAlI vattAlI
   varāhamukhī sarvaduṣṭapraduṣṭānāṃ cakṣurmukhaṃ bandha bandha jambhaya	varAha-muKI sarva-duzwa-praduzwAnAm cakzuH-muKam banDa banDa jamBaya
   jambhaya stambhaya stambhaya mohaya mohaya bhañjaya bhañjaya tarjaya	jamBaya stamBaya stamBaya mohaya mohaya BaQjaya BaQjaya tarjaya
   tarjaya hrīṃ hrīṃ hūṃ hūṃ phaṭ* svāhā / oṃ mārīcyai sara sara muhya muhya	tarjaya hrIm hrIm hUm hUm Paw* svAhA / om mArIcyE sara sara muhya muhya
   vimuhya vimuhya apakrāmya apakrāmya sarvaduṣṭasatvān pathe utpathe	vimuhya vimuhya apakrAmya apakrAmya sarva-duzwa-satvAn paTe utpaTe
   sarvavidhnavināyakā apasarantu mā tiṣṭhantu triratnasatyena svāhā / oṃ	sarva-viDna-vinAyakAH apasarantu mA tizWantu tri-ratna-satyena svAhA / om
   caṇḍa paramacaṇḍa svāhā / oṃ agali pagali pañcagali sarvaduṣṭapraduṣṭānāṃ	caNxa parama-caNxa svAhA / om agali pagali paQcagali sarva-duzwa-praduzwAnAm
   kāyavākcittaṃ mukhaṃ cakṣuṣi bandha bandha hūṃ hūṃ hūṃ phaṭ* phaṭ* phaṭ*	kAya-vAc-cittam muKam cakzuzi banDa banDa hUm hUm hUm Paw* Paw* Paw*
   svāhā /	svAhA /
   idam avocad bhagavān āttamanās te ca bhikṣavas te ca bodhisatvāḥ sā ca	idam avocat BagavAn Atta-manAH te ca BikzavaH te ca boDisatvAH sA ca
   sarvāvatī parṣat sadevamānuṣāsuragaruḍagandharvaś ca loko bhagavato	sarvAvatI parzad sa-deva-mAnuza-asura-garuxa-ganDarvaH ca lokaH BagavataH-
   bhāṣitam abhyanandann iti /	BAzitam aByanandan iti /
   // āryamārīcī nāma dhāraṇī samāptā //	// AryamArIcI nAma DAraNI samAptAH //
