   śrī-jayadeva-gosvāmi-viracitaṃ	SrI-jayadeva--go-svAmi-viracitam
   keśava dhṛta-kalki-śarīra jaya jagad-īśa hare || GG_1.14 || (10)	keSava DRta--kalki--SarIra jaya jagat--ISa hare || Gu-_1.14 || (10)
   śrī-jayadeva-kaver idam uditam udāraṃ śṛṇu sukhadaṃ śubhadaṃ bhava-sāram |	SrI-jayadeva--kaveH idam uditam udAram SRNu suKa-dam SuBa-dam Bava--sAram |
   keśava dhṛta-daśa-vidha-rūpa jaya jagad-īśa hare || GG_1.15 || (11)	keSava DRta--daSa-viDa--rUpa jaya jagat--ISa hare || Gu-_1.15 || (11)
   vedān uddharate jaganti vahate bhūgolam udbibhrate daityaṃ dārayate baliṃ	vedAn udDarate jaganti vahate BU-golam udbiBrate dEtyam dArayate balim
   chalayate kṣatra-kṣayaṃ kurvate |	Calayate kzatra--kzayam kurvate |
   paulastyaṃ jayate halaṃ kalayate kāruṇyam ātanvate mlecchān mūrcchayate	pOlastyam jayate halam kalayate kAruNyam Atanvate mlecCAn mUrcCayate
   daśākṛti-kṛte kṛṣṇāya tubhyaṃ namaḥ || GG_1.16 || (5)	daSa-AkRti-kRte kRzNAya tuByam namaH || Gu-_1.16 || (5)
   || prabandhaḥ 2 ||	|| prabanDaH 2 ||
   gurjarī-rāga-niḥsāra-tālābhyāṃ gīyate |	gurjarI--rAga--niHsAra-tAlAByAm gIyate |
   śrita-kamalā-kuca-maṇḍala dhṛta-kuṇḍala e	Srita--kamalA--kuca--maNxala DRta--kuNxalaH e
   kalita-lalita-vana-māla	kalita-lalita--vana--mAla
   jaya jaya deva hare || GG_1.17 ||[dhruva-padam]	jaya jaya deva hare || Gu-_1.17 ||[Druva-padam]
   dina-maṇi-maṇḍala-maṇḍana	dina-maNi--maNxala-maNxana
   bhava-khaṇḍana e	Bava--KaNxane e
   muni-jana-mānasa-haṃsa	muni-jana--mAnasa--haMsa
   jaya jaya deva hare || GG_1.18 ||	jaya jaya deva hare || Gu-_1.18 ||
   kāliya-viṣa-dhara-gañjana	kAliya--viza-Dara--gaQjana
   jana-rañjana e	jana-raQjanaH e
   yadukula-nalina-dineśa	yadu-kula--nalina-dineSa
   jaya jaya deva hare || GG_1.19 ||	jaya jaya deva hare || Gu-_1.19 ||
   madhu-mura-naraka-vināśana	maDu-mura--naraka-vinASana
   garuḍāsana e |	garuxa-Asane e |
   sura-kula-keli-nidāna	sura-kula--keli--nidAna
   jaya jaya deva hare || GG_1.20 ||	jaya jaya deva hare || Gu-_1.20 ||
   amala-kamala-dala-locana	amala-kamala-dala--locana
   bhava-mocana e	Bava--mocanaH e
   tribhuvana-bhuvana-nidhāna	triBuvana--Buvana--niDAna
   jaya jaya deva hare || GG_1.21 ||	jaya jaya deva hare || Gu-_1.21 ||
   janaka-sutā-kṛta-bhūṣaṇa	janaka--sutA--kRta-BUzaNa
   jita-dūṣaṇa e	jita-dUzaNaH e
   samara-śamita-daśa-kaṇṭha	samara--Samita-daSa-kaNWa
   jaya jaya deva hare || GG_1.22 ||	jaya jaya deva hare || Gu-_1.22 ||
   abhinava-jala-dhara-sundara	aBinava--jala-Dara--sundara
   dhṛta-mandara e	DRta-mandaraH e
   śrī-mukha-candra-cakora	SrI-muKa-candra-cakora
   jaya jaya deva hare || GG_1.23 ||	jaya jaya deva hare || Gu-_1.23 ||
   tava caraṇaṃ praṇatā vayam	tava caraNam praNatAH vayam
   NOTE: {caraṇe}	NOTE: {caraNe}
   iti bhāvaya e	iti BAvaya e
   kuru kuśalaṃ praṇateṣu	kuru kuSalam praNatezu
   jaya jaya deva hare || GG_1.24 ||	jaya jaya deva hare || Gu-_1.24 ||
   śrī-jayadeva-kaver idaṃ	SrI-jayadeva--kaveH idam
   kurute mudam e	kurute mudam e
   maṅgalam ujjvala-gītaṃ	maFgalam ujjvala--gItam
   jaya jaya deva hare || GG_1.25 ||	jaya jaya deva hare || Gu-_1.25 ||
   padmā-payodhara-taṭī-parirambha-lagna-kāśmīra-mudritam uro madhusūdanasya	padmA--payoDara--tawI--pariramBa--lagna--kASmIra-mudritam uraH maDusUdanasya
   vyaktānurāgam iva khelad-anaṅga-kheda-svedāmbu-pūram anupūrayatu priyaṃ	vyakta-anurAgam iva Kela-d-a-naFga--Keda--sveda-ambu--pUram anupUrayatu priyam
   vaḥ || GG_1.26 ||	vaH || Gu-_1.26 ||
   vasante vāsantī-kusuma-sukumārair avayavair bhramantīṃ kāntāre	vasante vAsantI--kusuma--su-kumArEH avayavEH BramantIm kAntAre
   bahu-vihita-kṛṣṇānusaraṇām |	bahu-vihita--kRzNa-anusaraNAm |
   amandaṃ kandarpa-jvara-janita-cintākulatayā valad-bādhāṃ rādhāṃ sarasam	amandam kandarpa--jvara--janita--cintA-Akula-tayA valad--bADAm rADAm sarasam
   idam ūce sahacarī || GG_1.27 ||	idam Uce sahacarI || Gu-_1.27 ||
   NOTE: {calad iti ni-pāṭhāntaraḥ.}	NOTE: {calat iti ni-pAWa-antaraH.}
   || prabandhaḥ 3 ||	|| prabanDaH 3 ||
   vasanta-rāga-yati-tālābhyāṃ gīyate |	vasanta-rAga-yati--tAlAByAm gIyate |
   lalita-lavaṅga-latā-pariśīlana-komala-malaya-samīre |	lalita-lavaFga-la-tA--pariSIlana--komala---malaya--samIre |
   madhukara-nikara-karambita-kokila-kūjita-kuñja-kuṭīre || GG_1.28 ||	maDukara--nikara--karambita--kokila--kUjita-kuQja--kuwIre || Gu-_1.28 ||
   viharati harir iha sarasa-vasante	viharati hariH iha sarasa-vasante
   nṛtyati yuvatī-janena samaṃ sakhi virahi-janasya durante ||dhr||	nRtyati yuvatI--janena samam saKi virahi--janasya durante ||Dr||
   unmada-madana-manoratha-pathika-vadhū-jana-janita-vilāpe |	unmada--madana--manoraTa--paTika-vaDU--jana--janita--vilApe |
   ali-kula-saṅkula-kusuma-samūha-nirākula-bakula-kalāpe || GG_1.29 ||	ali-kula--saFkula--kusuma--samUha--nirAkula--bakula--kalApe || Gu-_1.29 ||
   mṛga-mada-saurabha-rabhasa-vaśaṃvada-nava-dala-māla-tamāle |	mRga-mada--sOraBa---raBasa--vaSaMvada--nava-dala--mAla-tamAle |
   yuva-jana-hṛdaya-vidāraṇa manasija-nakha-ruci-kiṃśuka-jāle || GG_1.30 ||	yuva--jana--hRdaya-vidAraNa manasija--naKa-ruci--kiMSuka-jAle || Gu-_1.30 ||
   madana-mahīpati-kanaka-daṇḍa-ruci-keśara-kusuma-vikāśe |	madana--mahIpati--kanaka-daNxa--ruci-keSara--kusuma--vikASe |
   milita-śili-mukha-pāṭala-paṭala-kṛta-smara-tūṇa-vilāse || GG_1.31 ||	milita-Sili--muKa--pAwala--pawala-kRta-smara--tUNa--vilAse || Gu-_1.31 ||
   vigalita-lajjita-jagad-avalokana-taruṇa-karuṇa-kṛta-hāse |	vigalita-lajjita--jagat--avalokana--taruNa-karuNa--kRta-hAse |
   virahi-nikṛntana-kunta-mukhākṛti-ketaka-danturitāśe || GG_1.32 ||	virahi--nikRntana--kunta--muKa-AkRti-ketaka--danturita-ASe || Gu-_1.32 ||
   mādhavikā-parimala-lalite nava-mālati-jāti-sugandhau |	mADavikA--parimala-lalite nava--mAlati--jAti-suganDO |
   NOTE: {mālikayātisugandhau iti ni-pāṭhāntaraḥ.}	NOTE: {mAlikayA-ati-suganDO iti ni-pAWa-antaraH.}
   muni-manasām api mohana-kārīṇi taruṇa||-karaṇa-bandhau || GG_1.33 ||	muni-manasAm api moha-na--kArINi taruNa-||-karaNa--banDO || Gu-_1.33 ||
   sphurad-atimukta-latā-parirambhana-mukulita-pulakita-cūte |	sPurat--atimukta--latA--pariramBa-na-mukulita--pulakita--cUte |
   vṛndāvana-vīpine parīsara-parigata-yamunā-jala-pūte || GG_1.34 ||	vRndAvana-vIpine parIsara--parigata--yamunA--jala--pUte || Gu-_1.34 ||
   śrī-jayadeva-bhaṇitam idam udayati hari-caraṇa-smṛti-sāram |	SrI-jayadeva--BaNitam idam udayati hari-caraNa--smRti--sAram |
   sarasa-vasanta-samaya-vana-varṇanam anugata-madana-vikāram || GG_1.35 ||	sa-rasa--vasanta--samaya-vana-varNanam anugata--madana--vikAram || Gu-_1.35 ||
   dara-vidalita-mallī-valli-cañcat-parāga-prakaṭita-paṭa-vāsair vāsayan	dara--vidalita-mallI--valli--caQcat-pa-rAga--prakawita-pawa--vAsEH vAsayan
   kānanāni |	kAnanAni |
   iha hi dahati cetaḥ ketakī-gandha-bandhuḥ prasarad-asama-bāṇa-prāṇavad	iha hi dahati cetaH ketakI--ganDa--banDuH prasarad-a-sama-bANa--prANa-vat-
   gandhavāhaḥ || GG_1.36 ||	ganDavAhaH || Gu-_1.36 ||
   NOTE: {atra haridāsa-dāsasya prabodhānanda-ṭīkā-saṃvalita-saṃskaraṇe	NOTE: {atra haridAsa-dAsasya praboDa-Ananda--wIkA--saMvalita--saMskaraNe
   48-saṅkhyaka-padyaṃ dṛśyate }	48-saFKyaka-padyam dRSyate }
   unmīlan-madhu-gandha-lubdha-madhupa-vyādhūta-cūtāṅkura-krīḍat-kokila-kākalī-kalakalair	unmIlan--maDu-ganDa--lubDa--maDu-pa--vyADUta--cUta-aFkura--krIxat--kokila--kAka-lI-kalakalEH-
   udgīrṇa-karṇa-jvaraḥ |	udgIrNa--karNa--jvaraH |
   NOTE: {kala-ravair iti ni-pāṭhāntaraḥ.}	NOTE: {kala--ravEH iti ni-pAWa-antaraH.}
   nīyante pathikaiḥ kathaṃ katham api dhyānāvadhāna-kṣaṇa	nIyante paTikEH kaTam kaTam api DyAna-avaDAna-kzaNa
   prāpta-prāṇa-samāgama-rasollāsair amī vāsarāḥ || GG_1.37 ||	prApta--prANa--samAgama--rasa-ullAsEH amI vAsarAH || Gu-_1.37 ||
   aneka-nārī-parirambha-sambhrama-sphuraṇ-manohāri-vilāsa-lālasam |	aneka-nArI--pariramBa--samBrama--sPuraN--manohAri-vilAsa--lAlasam |
   murārim ārād upadarśayanty asau sakhī samakṣaṃ punar āha rādhikām ||	murArim ArAt upadarSayanti asO saKI samakzam punar Aha rADikAm ||
   GG_1.38 ||	Gu-_1.38 ||
   || prabandhaḥ 4 ||	|| prabanDaH 4 ||
   rāmakarī-rāga-yati-tālābhyāṃ gīyate |	rAma-karI--rAga--yati--tAlAByAm gIyate |
   candana-carcita-nīla-kalevara-pīta-vasana-vana-mālī |	candana--carcita--nIla--kalevara--pIta--vasana-vana--mAlI |
   keli-calan-maṇi-kuṇḍala-maṇḍita-gaṇḍa-yuga-smita-śālī || GG_1.39 ||	keli-cala-n-maNi--kuNxala-maNxita--gaNxa--yuga--smita-SAlI || Gu-_1.39 ||
   harir iha mugdha-vadhū-nikare vilāsini vilāsati kelī-pare ||dhr||	hariH iha mugDa--vaDU-nikare vilAsini vilAsati kelI--pare ||Dr||
   pīna-payodhara-bhāra-bhareṇa hariṃ parirabhya sarāgam |	pIna--payoDara--BAra--BareNa harim pariraBya sa-rAgam |
   gopa-vadhūr anugāyati kācid udañcita-pañcama-rāgam || GG_1.40 ||	gopa--vaDUH anugAyati kAcid udaQcita--paQcama--rAgam || Gu-_1.40 ||
   kāpi vilāsa-vilola-vilocana-khelana-janita-manojam |	kA-api vilAsa--vilola--vilocana--Kela-na--janita--manojam |
   dhyāyati mugdha-vadhūr adhikaṃ madhusūdana-vadana-sarojam || GG_1.41 ||	DyAyati mugDa--vaDUH aDikam maDusUdana-vadana--sarojam || Gu-_1.41 ||
   kāpi kapola-tale militā lapituṃ kim api śruti-mūle |	kA-api kapola-tale militA lapitum kim api Sruti-mUle |
   cāru cucumba nitambavatī dayitaṃ pulakair anukūle || GG_1.42 ||	cAru cucumba nitambavatI dayitam pulakEH anukUle || Gu-_1.42 ||
   keli-kalā-kutukena ca kācid amuṃ yamunā-jala-kūle |	keli-kalA--kutukena ca kAcid amum yamunA--jala-kUle |
   mañjula-vañjula-kuñja-gataṃ vicakarṣa kareṇa dukūle || GG_1.43 ||	maQjula--vaQjula---kuQja--gatam vicakarza kareNa dukUle || Gu-_1.43 ||
   kara-tala-tāla-tarala-valayāvali-kalita-kalasvana-vaṃśe |	kara-tala-tAla--tarala--valaya-Avali-kalita-kala-svana--vaMSe |
   rāsa-rase saha-nṛtya-parā hariṇā yuvatī praśaśaṃse || GG_1.44 ||	rAsa--rase saha--nRtya--parA hariNA yuvatI praSaSaMse || Gu-_1.44 ||
   śliṣyati kām api cumbati kām api kām api ramayati rāmām |	Slizyati kAm api cumbati kAm api kAm api ramayati rAmAm |
   paśyati sa smita-cāru-tarām aparām anugacchati vāmām || GG_1.45 ||	paSyati sa smita-cAru-tarAm aparAm anugacCati vAmAm || Gu-_1.45 ||
   śrī-jayadeva-bhaṇitam idam adbhuta-keśava-keli-rahasyam |	SrI-jaya-deva--BaNitam idam adButa--keSava--keli-rahasyam |
   vṛndāvana-vipine lalitaṃ vitanotu śubhāni yaśasyam || GG_1.46 ||	vRndAvana--vipine lalitam vitanotu SuBAni yaSasyam || Gu-_1.46 ||
   NOTE: {valitam iti ca pāṭhaḥ.}	NOTE: {valitam iti ca pAWaH.}
   viśveṣām anurañjanena janayann ānandam indīvara-śreṇī-śyāmala-komalair	viSvezAm anuraQjanena janayan Anandam indIvara--SreNI-SyAmala--komalEH-
   upanayann aṅgair anaṅgotsavam |	upanayan aFgEH anaFga-utsavam |
   svacchandaṃ vraja-sundarībhir abhitaḥ praty-aṅgam āliṅgitaḥ śṛṅgāraḥ sakhi	svacCandam vraja-sundarIBiH aBitas praty-aFgam AliFgitaH SRFgAraH saKi
   mūrtimān iva madhau mugdho hariḥ krīḍati || GG_1.47 ||	mUrtimAn iva maDO mugDaH hariH krIxati || Gu-_1.47 ||
   nijotsaṅga-vasad-bhujaṅga-kavala-kleśād iveśācalaṃ	nija-utsaFga--vasat--BujaFga--kavala--kleSAt iva-ISa-acalam
   prāleya-plavanecchayānusarati śrī-khaṇḍa-śailānilaḥ |	prAleya--plavana-icCayA-anusarati SrI-KaNxa--SEla-anilaH |
   NOTE: {adryotsaṅgaadyotsaṅga- iti ni-pāṭhāntaraḥ.}	NOTE: {adrya-utsaFga-adyA-utsaFga iti ni-pAWa-antaraH.}
   kiṃ ca snigdha-rasāla-mauli-mukulāny ālokya harṣodayād unmīlanti kuhūḥ	kim ca snigDa---rasAla--mOli--mukulAni Alokya harza-udayAt unmIlanti kuhUH
   kuhūr iti kalottālāḥ pikānāṃ giraḥ || GG_1.48 ||	kuhUH iti kalA-uttAlAH pikAnAm giraH || Gu-_1.48 ||
   NOTE: {ayaṃ ślokaḥ prabodhānandena na paṭhitaḥ }	NOTE: {ayam SlokaH praboDa-Anandena na paWitaH }
   rāsollāsa-bhareṇa vibhrama-bhṛtām ābhīra-vāma-bhruvām abhyarṇaṃ parirabhya	rAsa-ullAsa--BareNa viBrama--BRtAm ABIra--vAma--BruvAm aByarNam pariraBya
   nirbharam uraḥ premāndhayā rādhayā |	nirBaram uraH prema-anDayA rADayA |
   sādhu tvad-vadanaṃ sudhā-mayam iti vyāhṛtya gīta-stuti-vyājād	sADu tvad--vadanam suDA-mayam iti vyAhRtya gIta--stuti--vyAjAt-
   udbhaṭa-cumbitaḥ smita-manohāri hariḥ pātu vaḥ || GG_1.49 ||	udBawa--cumbitaH smita--manohAri hariH pAtu vaH || Gu-_1.49 ||
   NOTE: {smṛta (?)}	NOTE: {smRta (?)}
   || iti śrī-gīta-govinde sāmoda-dāmodaro nāma prathamaḥ sargaḥ ||	|| iti SrI--gIta-govinde sAmoda-dAmodaraH nAma praTamaH sargaH ||
   dvitīyaḥ sargaḥ	dvitIyaH sargaH
   akleśa-keśavaḥ	akleSa--keSavaH
   viharati vane rādhā sādhāraṇa-praṇaye harau vigalita-nijotkarṣād	viharati vane rADA sADAraNa--praNaye harO vigalita-nija-utkarzAt-
   īrṣyā-vaśena gatā'nyataḥ |	IrzyA--vaSena gatA-anyatas |
   kvacid api latā-kuñje guñjan-madhu-vrata-maṇḍalī mukhara-śikhare līna	kvacid api latA-kuQje guQjan--maDu-vrata-maNxalI muKara--SiKare lIna
   dīnāpy uvāca rahaḥ sakhīm || GG_2.1 ||	dInA-api uvAca rahaH saKIm || Gu-_2.1 ||
   || prabandhaḥ 5 ||	|| prabanDaH 5 ||
   gurjarī-rāgeṇa yati-tālena gīyate |	gurjarI--rAgeNa yati-tAlena gIyate |
   sañcarad-adhara-sudhā-madhura-dhvani-mukharita-mohana-vaṃśam |	saQcarat--aDara--suDA--maDura-Dvani-muKarita--mohana--vaMSam |
   calita-dṛg-añcala-cañcala-mauli-kapola-vilola-vataṃsam |	calita-dRS--aQcala--caQcala--mOli--kapola--vilola-vataMsam |
   rāse harim iha vihita-vilāsaṃ smarati mano mama kṛta-parihāsam || dhru. ||	rAse harim iha vihita-vilAsam smarati manaH mama kRta-parihAsam || Dru. ||
   GG_2.2 ||	Gu-_2.2 ||
   candraka-cāru-mayūra-śikhaṇḍaka-maṇḍala-valayita-keśam |	candraka-cAru--mayUra--SiKaNxaka--maNxala--valayita-keSam |
   pracura-purandara-dhanur-anurañjita-medura-mudira-suveśam || GG_2.3 ||	pracura--purandara--DanuH--anuraQjita--medura-mudira--suveSam || Gu-_2.3 ||
   gopa-kadamba-nitambavatī-mukha-cumbana-lambhita-lobham |	gopa-kadamba--nitambavatI--muKa--cumbana--lamBita-loBam |
   bandhujīva-madhurādhara-pallavam ullasita-smita-śobham || GG_2.4 ||	banDujIva--maDura-aDara--pallavam ullasita-smita--SoBam || Gu-_2.4 ||
   vipula-pulaka-bhuja-pallava-valayita-ballava-yuvati-sahasram |	vipula--pulaka-Buja--pallava--valayita--ballava--yuvati--sahasram |
   kara-caraṇorasi maṇi-gaṇa-bhūṣaṇa-kiraṇa-vibhinna-tamisram || GG_2.5 ||	kara-caraNa-urasi maNi--gaNa-BUzaNa--kiraNa--viBinna--tamisram || Gu-_2.5 ||
   jalada-paṭala-calad-indu-vinindaka-candana-tilaka-lalāṭam |	jalada--pawala-cala-d-indu--vinindaka-candana-tila-ka-lalAwam |
   pīna-payodhara-parisara-mardana-nirdaya-hṛdaya-kapāṭam || GG_2.6 ||	pIna--payoDara--parisara--mardana--nirdaya--hRdaya--kapAwam || Gu-_2.6 ||
   maṇi-maya-makara-manohara-kuṇḍala-maṇḍita-gaṇḍam udāram |	maNi-maya--makara--manohara--kuNxala-maNxita--gaNxam udAram |
   pīta-vasanam anugata-muni-manuja-surāsura-vara-parivāram || GG_2.7 ||	pIta-vasanam anugata--muni-manuja--sura-asura--vara--parivAram || Gu-_2.7 ||
   viśada-kadamba-tale militaṃ kali-kaluṣa-bhayaṃ śamayantam |	viSada--kadamba-tale militam kali-kaluza--Bayam Samayantam |
   mām api kim api tarala-taraṅgad-anaṅga-dṛśā manasā ramayantam || GG_2.8 ||	mAm api kim api tarala-taraFga-d-anaFga-dRSAH manasA ramayantam || Gu-_2.8 ||
   śrī-jayadeva-bhaṇitam atisundara-mohana-madhu-ripu-rūpam |	SrI-jaya-deva--BaNitam ati-sundara--mohana--maDu-ripu--rUpam |
   hari-caraṇa-smaraṇaṃ prati samprati puṇyavatām anurūpam || GG_2.9 ||	hari-caraNa-smaraNam prati samprati puNyavatAm anurUpam || Gu-_2.9 ||
   gaṇayati guṇa-grāmaṃ bhāmaṃ bhrāmād api nehate vahati ca paritoṣaṃ doṣaṃ	gaNayati guNa-grAmam BAmam BrAmAt api na-Ihate vahati ca paritozam dozam
   vimuñcati dūrataḥ |	vimuQcati dUratas |
   NOTE: {bhrāmam}	NOTE: {BrAmam}
   yuvatiṣu valat-tṛṣṇe kṛṣṇe vihāriṇi māṃ vinā punar api mano vāmaṃ kāmaṃ	yuvatizu valat--tRzNe kRzNe vihAriNi mAm vinA punar api manaH vAmam kAmam
   karoti karomi kim || GG_2.10 ||	karoti karomi kim || Gu-_2.10 ||
   || prabandhaḥ 6 ||	|| prabanDaH 6 ||
   mālava-gauḍa-rāgena ekatālī-tālena ca gīyate |	mAlava--gOxa--rAgena ekatAlI-tAlena ca gIyate |
   nibhṛta-nikuñja-gṛhaṃ gatayā niśi rahasi nilīya vasantam |	niBRta-nikuQja--gRham gatayA niSi rahasi nilIya vasantam |
   cakīta-vilokita-sakala-diśā rati-rabhasa-bhareṇa hasantam || GG_2.11 ||	cakIta--vilokita-sakala-diSA rati--raBasa-BareNa hasantam || Gu-_2.11 ||
   sakhi he keśī-mathanam udāram	saKi he keSI--maTanam udAram
   ramaya mayā saha madana-manoratha-bhāvitayā sa-vikāram ||dhruvam ||	ramaya mayA saha madana--manoraTa--BAvitayA sa-vikAram ||Druvam ||
   prathama-samāgama-lajjitayā paṭu-cāṭu-śatair anukūlam |	praTama--samAgama--lajjitayA pawu--cAwu--SatEH anukUlam |
   mṛdu-madhura-smita-bhāṣitayā śithilī-kṛta-jaghana-dukūlam || GG_2.12 ||	mRdu-maDura-smita-BAzitayA SiTilI-kRta---jaGana--dukUlam || Gu-_2.12 ||
   kīsala-śayana-niveśitayā ciram urasi mamaiva śayānam |	kIsala--Sayana--niveSitayA ciram urasi mama-eva SayAnam |
