   Śrāvakabhūmiḥ	ŚrAvaka BUmiH
   dharmavinaye śraddhā pratilabdhā bhavati | cetasaḥ prasādaḥ [|] ayamucyate	Darma vinaye SradDA pratilabDA Bavati | cetasaH prasAdaH [|] ayam ucyate
   āyatanagataḥ prasādastadāyatanaṃ tathāgatapravedito dharmavinayaḥ sarveṣāṃ	Ayatana gataH prasAdaH tad Ayatanam taTAgata praveditaH Darma vinayaH sarvezAm
   laukikalokottarāṇāṃ śukladharmāṇāmutpattaye [|] yā punaratra śraddhā, tena	lOkika loka uttarANAm Sukla DarmANAm utpattaye [|] yA punar atra SradDA, tena
   pūrvagamenādhipatyena sa āyatanagataḥ prasādaḥ [|]	pUrva gamena ADipatyena saH Ayatana gataH prasAdaH [|]
   sarvakleśamalakāluṣyāpanayanā aparivṛttakarmāntatā yena	sarva kleSa mala kAluzya apanayanAH aparivRtta karmAnta tA yena
   paṃcānāmānantaryāṇāṃ karmaṇāṃ, tadyathā mātṛvadhāt	paMcAnAm AnantaryANAm karmaNAM, tat yaTA mAtR vaDAt 
   pitṛvadhādarhadvadhātsaṃghabhedāttathāgatasyāntike	pitR vaDAt arhat vaDAt saMGa BedAt taTAgatasya antike
   duṣṭacittarucirotpādādanyatamānyatamadānantaryaṃ karma dṛṣṭa eva dharme na	duzwa citta rucira utpAdAt anyatama anyatamat Anantaryam karma dRzwaH eva Darme na
   kṛtaṃ bhavati nādhyācaritamiyamucyate | aparivṛttakarmāntatā | itīmāni	kRtam Bavati na aDyAcaritam iyam ucyate | aparivRtta karmAnta tA | iti imAni
   pañcānantaryāṇi karmāṇi kṛtopacitāni [|] dṛṣṭa eva dharme parivartyābhavyo	paQca AnantaryANi karmANi kRta upacitAni [|] dRzwaH eva Darme parivartya aBavyaH 
   bhavati parinirvāṇāyāryamārgasyotpattaye tasmādetāni	Bavati parinirvANAya Arya mArgasya utpattaye tasmAt etAni
   parivṛttakarmāntatetyucyate | svayamevānena sa ātmabhāva ebhiḥ	parivRtta karmAnta tA iti ucyate | svayam eva anena saH Atma BAvaH eBiH
   pañcabhiraṅgaiḥ sampādito bhavati | tasmādātmasampadityucyate |	paQcaBiH aFgEH sampAditaH Bavati | tasmAt Atma sampad iti ucyate |
   (Śbh_Sh: 7)	(ŚB_Sh: 7)
   parasampat katamā [|] tadyathā buddhānāmutpādaḥ, saddharmadeśanādeśitānāṃ	para sampat katamA [|] tat yaTA budDAnAm utpAdaH, sadDarma deSanA deSitAnAm
   dharmāṇāṃ avasthānamavasthitānāṃ cānupravarttanaṃ | parataśca	DarmANAm avasTAnam avasTitAnAm ca anupravarttanam | paratas ca
   pratyanukampā [|]	pratyanukampA [|]
   tatraḥ buddhānāmutpādaḥ katamaḥ [|] yathāpīhaikatyaḥ	tatraH budDAnAm utpAdaH katamaH [|] yaTA api iha ekatyaH
   sarvasarvasatve(ttve)ṣu kalyāṇaṃ hitādhyāśayamutpādya	sarva sarva satve(ttve)zu kalyANam hita aDyASayam utpAdya
   prabhūtairduṣkarasahasrairmahatā ca puṇyajñānasambhāreṇa []	praBUtEH duzkara sahasrEH mahatA ca puNya jQAna samBAreNa []
   ātmabhāvapratilambhe bodhimaṇḍe niṣadya, pañcanivaraṇāni prahāya, caturṣu	Atma BAva pratilamBe boDimaNxe nizadya, paQca nivaraNAni prahAya, caturzu
   smṛtyupasthāneṣu sūpasthitacittaḥ, saptatriṃśad bodhipakṣyān dharmān	smRti upasTAnezu su upasTita cittaH, saptatriMSat boDi pakzyAn DarmAn
   bhāvayitvā [a]nuttarāṃ samyaksaṃbodhimabhisaṃbudhyate | ayamucyate	BAvayitvA [a]nuttarAm samyaksaMboDim aBisaMbuDyate | ayam ucyate
   buddhānā[mu]tpādaḥ | atītānāgatapratyutpanneṣvadhvasu evamevā [kleśa ā yā]	budDAnA[mu]t pAdaH | atIta anAgata pratyutpannezu aDvasu evam evA [kleSaH A yA]
   ta evaṃ buddhā bhagavanto loka utpadya tasyaiva ca	te evam budDAH BagavantaH loke utpadya tasya eva ca
   śrāvakalokānukampāmupādāya catvāryāryasatyānyārabhya duḥkha sadbhirayañca	SrAvaka loka anukampAm upAdAya catvAri Arya satyAni AraBya duHKa sadBiH ayaQca
   dharmo niryāto, deśitaḥ, praśasto buddhaiśca buddhaśrāvakaiścā[yamucyate	DarmaH niryAto, deSitaH, praSastaH budDEH ca budDa SrAvakEH ca a[yam ucyate
   buddhānāmutpādaḥ] |	budDAnAm utpAdaH] |
   deśitānāṃ dharmāṇāṃ avasthānaṃ katamat | deśite saddharme, pravartite	deSitAnAm DarmANAm avasTAnam katamat | deSite sat Darme, pravartite
   dharmacakre, yāvacca buddho bhagavāṃ(vān) (Śbh_Sh: 8) jīvati, tiṣṭhati ca,	Darma cakre, yAvat ca budDaH BagavAn(vAn) (ŚB_Sh: 8) jIvati, tizWati ca,
   parinirvṛte ca buddhe bhagavati, yāvatā kālena pratipattirna hīyate,	parinirvRte ca budDe Bagavati, yAvatA kAlena pratipattiH na hIyate,
   saddharmaśca nāntardhīyate [|] idamucyate saddharmasyāvasthānaṃ	sadDarmaH ca na antarDIyate [|] idam ucyate sadDarmasya avasTAnam
   yāva[vasthānaṃ veditavyaṃ] [|]	yO= a[vasTAnam veditavyan] [|]
   avasthitānāṃ dharmāṇāmanupravarttanaṃ katamat | yatta evādhigantāra[ḥ]	avasTitAnAm DarmANAm anupravarttanam katamat | yattaH eva aDigantAra[H]
   saddharmasya, saddharmasākṣātkriyāyai bhavyāṃ pratibalatāṃ jānatāṃ viditvā	sadDarmasya, sat Darma sAkzAt kriyAyE BavyAm pratibala tAm jAnatAm viditvA
   yathādhigatāmevānulomikīmavavādānuśāsanīmanupravarttayantīdamucyate	yaTA aDigatAm eva anulomikImavavAda anuSAsanIm anupravarttayanti idam ucyate
   avasthitānāṃ dharmāṇāmanupravarttanaṃ ||	avasTitAnAm DarmANAm anupravarttanam ||
   parataḥ pratyanukampā katamā | parata ucyante dā yakadānapatayaḥ te yāni	paratas pratyanukampA katamAH | paratas ucyante dA yaka dAna patayaH te yAni
   tasyānulomikāni jīvito padhāraṇāni taiḥ pratyanukampate (nte) yaduta	tasya AnulomikAni jIvitaH paDAraNAni tEH pratyanukampate (nte) yat uta
   cīvarapiṇḍapātaśayanāsanaglānapratyayabhaiṣajyapariṣkārairiyamucyate	cIvara piNxapAta Sayana Asana glAna pratyaya BEzajya parizkArEH iyam ucyate
   parataḥ pratyanukampā ||	paratas pratyanukampAH ||
   kuśalo dharmacchandaḥ katamaḥ [|] yathāpīhaikatyastathāgatasya vā,	kuSalaH Darma= CandaH katamaH [|] yaTA api iha ekatyaH taTAgatasya vA,
   tathāgataśrāvakasya vā antikāddharmaṃ śrutvā śraddhāṃ pratilabhate | sa	taTAgata SrAvakasya vA antikAt Darmam SrutvA SradDAm pratilaBate | sa
   tāṃ pratilabhya idaṃ saṃśikṣate | saṃbādho gṛhāvāso rajasāmāvāsaḥ |	tAm pratilaByaH idam saMSikzate | saMbADaH gRhAvAsaH rajasAm AvAsaH |
   abhyavakāśaṃ pravrajya yanva(yannva)haṃ sarvaṃ kaḍa(la)travargaṃ,	aByavakASam pravrajya yanva(yan= va)ham sarvam kaxa(la)travargaM,
   dhanadhānyahiraṇyaṃ cotsṛjya svākhyāte dharmavinaye	Dana DAnya hiraNyam ca utsRjya su AKyAte Darma vinaye
   samyagevāgārādanāgārikāṃ pravrajeyam | pravrajitvā (Śbh_Sh: 9) (pravrajya)	samyak eva agArAt anAgArikAm pravrajeyam | pravrajitvA (ŚB_Sh: 9) (pravrajya)
   ca pratipattyā sampādayeyamiti | ya evamutpannaśchandaḥ kuśaleṣu	ca pratipattyA sampAdayeyam iti | yaH evam utpannaH CandaH kuSalezu
   dharmeṣvayamucyate kuśalo dharmachandaḥ (cchandaḥ) ||	Darmezu ayam ucyate kuSalaH Darma CandaH (cCandaH) ||
   pravrajyā katamā [|] yā tameva kuśalaṃ dharmacchandamadhipatiṃ kṛtvā	pravrajyA katamA [|] yA tam eva kuSalam Darma= Candam aDipatim kRtvA
   jñapticaturthena vākkarmaṇā upasampatkuśalairaśī(ḥśī)lasamādānaṃ vā [|]	jQapti caturTena vAkkarmaNA upasampat kuSalEH aSI(H SI)la samAdAnam vA [|]
   iyamucyate pravrajyā ||	iyam ucyate pravrajyA ||
   śīlasambaraḥ katamaḥ [|] sa tathā pravrajitaḥ śīlavān viharati,	SIla sambaraH katamaH [|] sa taTA pravrajitaH SIlavAn viharati,
   prātimokṣasamvarasaṃvṛtaḥ | ācāragocarasampannaḥ | aṇumātreṣvavadye ṣu	prAtimokza samvara saMvRtaH | AcAra gocara sampannaH | aNu mAtrezu avadye zu
   bhayadarśī, samādāya śikṣate śikṣāpadeṣu [|] ayamucyate śīlasamvaraḥ ||	Baya darSI, samAdAya Sikzate SikzA padezu [|] ayam ucyate SIla samvaraH ||
   indriyasamvaraḥ katamaḥ || sa tameva śīlasamvaraṃ	indriya samvaraH katamaH || sa tam eva SIla samvaram
   niśrityārakṣitasmṛtirbhavati | nipakasmṛtiḥ | smṛtyārakṣitamānasaḥ	niSritya Arakzita smRtiH Bavati | nipaka smRtiH | smRtyA rakzita mAnasaH
   samāvasthāvacārakaḥ [|] sa cakṣuṣā rūpāṇi dṛṣṭvā | na nimittagrāhī	sama avasTA avacArakaH [|] sa cakzuzA rUpANi dRzwvA | na nimitta grAhI
   bhavati, nānuvyaṃjanagrāhī yato [a]dhikaraṇama sya pāpakā, akuśalā	Bavati, na anuvyaMjana grAhI yatas [a]Di karaNama sya pApakA, akuSalA
   dharmāścittamanusraveyusteṣāṃ samvarāya pratipadyate [|] sa śrotreṇa	DarmAH cittam anusraveyuH tezAm samvarAya pratipadyate [|] sa SrotreNa
   śabdāṃ (bdān), ghrāṇena gandhān, jihvayā rasān, kāyena spraṣṭavyāni (|),	SabdAm (bdAn ), GrANena ganDAn, jihvayA rasAn, kAyena sprazwavyAni (|),
   manasā dharmān vijñāya na nimittagrāhī bhavati nānuvyaṃjanagrāhī yato	manasA DarmAn vijQAya na nimitta grAhI Bavati na anuvyaMjana grAhI yatas 
   [a]dhikaraṇamasya pāpakā (Śbh_Sh: 10) akuśalā	[a]Di karaNam asya pApakA (ŚB_Sh: 10) akuSalA
   dharmāścittamanusraveyusteṣāṃ samvarā [ya pratipadyate, rakṣati] mana	DarmAH cittam anusraveyuH tezAm samvarAH [ya pratipadyate, rakzati] mana
   indriyaṃ mana indriyeṇa samvaramāpadyate | ayamucyate indriyasamvaraḥ |	indriyam manaH indriyeNa samvaram Apadyate | ayam ucyate indriya samvaraH |
   bhojane mātrajñatā katamā [|] sa tathā saṃvṛtendriyaḥ	Bojane mAtra jQa tA katamA [|] sa taTA saMvRta indriyaH
   pratisaṃkhyāyāhāramāharati | na darpārthaṃ, na madārthaṃ, na maṇḍanārthaṃ,	pratisaMKyAya AhAram Aharati | na darpa arTaM, na mada arTaM, na maNxana arTaM,
   na vibhūṣaṇārthaṃ, yāvadevāsya kāyasya sthitaye, [yāpanāyai,	na viBUzaNa arTaM, yAvat eva asya kAyasya sTitaye, [yApanAyE,
   brahmacaryānugrahāya] iti | paurāṇāṃ vedanāṃ prahāsyāmi, navāṃ ca	brahmacarya anugrahAya] iti | pOrANAm vedanAm prahAsyAmi, navAm ca
   notpādayiṣyāmi [|] yātrā ca me bhaviṣyati | balaṃca, sukhaṃ cānavadyatā	na utpAdayizyAmi [|] yAtrA ca me Bavizyati | balaMca, suKam ca anavadyatA
   ca, sparśavihāratā ceyamucyate bhojane mātrajñatā ||	ca, sparSa vihAra tA ca iyam ucyate Bojane mAtra jQa tA ||
   jāgarikānuyogaḥ katamaḥ | [sadivā caṃkramaniṣadyābhyāmāvaraṇīyebhyo	jAgarikA anuyogaH katamaH | [sat ivA caMkrama nizadyAByAm AvaraNIyeByaH 
   (Śbh_Sh: 11) dharmebhyaścittaṃ pari] śodhayati | sa divā	(ŚB_Sh: 11) DarmeByaH cittam pari] SoDayati | sa divA
   caṃkramaniṣadyābhyāmāvaraṇīyebhyo dharmebhyaścittaṃ pariśodhya, tato	caMkramanizadyAByAm AvaraNIyeByaH DarmeByaH cittam pariSoDya, tatas 
   vihārānnirgamya, bahirvihārasya pādau prakṣālya, dakṣiṇena pārśvena	vihArAt nirgamya, bahis vihArasya pAdO prakzAlya, dakziNena pArSvena
   siṃhaśayyāṃ kalpayatyālokasaṃjñī, smṛtaḥ, saṃprajānan, utthānasaṃjñāmeva	siMha SayyAm kalpayati Aloka saMjQI, smRtaH, saMprajA Anan, utTAna saMjQAm eva
   manasi kurvan sa rātryāḥ paścime yāme [laghu laghveva prativibudhya,	manasi kurvan sa rAtryAH paScime yAme [laGu laGu eva prativibuDya,
   caṃkramaniṣadyābhyā] māvaraṇīyebhyo dharmebhyaścittaṃ	caMkramanizadyAByA] mA AvaraNIyeByaH DarmeByaH cittam
   pariśodhayatīyamucyate pūrvarātrāpararātraṃ jāgarikānuyuktatā [|]	pariSoDayati iyam ucyate pUrvarAtra apararAtram jAgarikA anuyukta tA [|]
   saṃprajānadvihāritā katamā [|] sa tathā jāgarikānuyuktaḥ	saMprajAnat vihAritA katamA [|] sa taTA jAgarikA anuyuktaH
   ati(bhi)kramapratikrame saṃprajānadvihārī bhavatyālokitavyavalokite,	ati(Bi)krama pratikrame saMprajAnat vihArI Bavati Alokita vyavalokite,
   sāmmiñjitaprasārite, sāṃghāṭīcīvarapātradhāraṇe, aśitapītakhāditasvādite	sAmmin jita prasArite, sa aMGa awIcIvara pAtra DAraNe, aSita pIta KAdita svAdite
   (Śbh_Sh: 12) nidrāklamavinodane, gate, sthite, niṣaṇṇe, śayite, jāgṛte,	(ŚB_Sh: 12) nidrA klama vinodane, gate, sTite, nizaNNe, Sayite, jAgRte,
   bhāṣite, tūṣṇīmbhāve samprajānadvihārī bhavati | iyamucyate	BAzite, tUzNImBAve samprajAnat vihArI Bavati | iyam ucyate
   samprajānadvihāritā ||	samprajAnat vihAritAH ||
   prāvivekyaṃ katamat [|] sa ebhirdharmaiḥ parikarmabhūmiṃ śodhayitvā	prAvivekyam katamat [|] saH eBiH DarmEH parikarma BUmim SoDayitvA
   viviktāni śayanāsanānyadhyāvasatyaraṇyāni, vṛkṣamūlāni, śūnyāgārāṇi,	viviktAni Sayana AsanAni aDyAvasati araNyAni, vRkza mUlAni, SUnya AgArANi,
   parvatakandaragiriguhāpalāla[puṃjā]bhyavakāśaśmaśānavanaprasthāni prāntāni	parvata kandara giri guhA palAla[ puMjA ] ByavakASa SmaSAna vana prasTAni prAntAni
   śayanāsanādīnīdamucyate prāvivekyam ||	Sayana Asana AdIni idam ucyate prAvivekyam ||
   (Śbh_Sh: 13)	(ŚB_Sh: 13)
   nivaraṇaviśuddhiḥ katamā [|] so [a]raṇyagato vā, vṛkṣamūlagato vā,	nivaraNa viSudDiH katamA [|] saH [a]raNya gataH vA, vRkza mUla gataH vA,
   śūnyāgāragato vā, paṃcabhyo nivaraṇebhyaścittaṃ viśodhayati | kāmacchandād	SUnya AgAra gataH vA, paMcaByaH nivaraNeByaH cittam viSoDayati | kAma= CandAt 
   vyāpādātstyānamiddhādauddhatyakaukṛtyādvicikitsāyāḥ [|] sa ebhyo	vyApAdAt styAnam idDAt OdDatya kOkRtyAt vicikitsAyAH [|] saH eByaH 
   nivaraṇebhyaścittaṃ viśodhya vinivaraṇaṃ	nivaraNeByaH cittam viSoDya vinivaraNam
   samādhikalpatāyāmavasthāpayatīyamucyate nivaraṇa viśuddhiḥ |	samADi kalpatAyAm avasTApayatIyam ucyate nivaraNa viSudDiH |
   (Śbh_Sh: 14)	(ŚB_Sh: 14)
   samādhisanniśraya katamaḥ | sa pañcanivaraṇāni prahāya	samADi sanniSraya katamaH | sa paQca nivaraNAni prahAya
   cetasopakleśa(cetasa upakleśa)karāṇi saṃkleśakarāṇi | viviktaṃ	cetasA upakleSa( cetasaH upakleSa)karANi saMkleSa karANi | viviktam
   kāmairviviktampāpakairakuśalairdharmaiḥ savitarka savicāraṃ vivekajaṃ	kAmEH viviktampApakEH akuSalEH DarmEH savitarka sa vicAram viveka jam
   prītisukhaṃ prathamaṃ dhyānamupasaṃpadya viharati [|] savitarkasavicārāṇāṃ	prIti suKam praTamam DyAnam upasaMpadya viharati [|] sa vitarka sa vicArANAm
   vyupaśamādadhyātmasaṃprasādāccetasa ekotībhāvādavitarkamavicāraṃ (Śbh_Sh:	vyupaSamAt aDyAtma saMprasAdAt cetasaH ekotIBAvAt avitarkam avicAram (ŚB_Sh:
   15) samādhijaṃ prītisukhaṃ dvitīyaṃ dhyānamupasampadya viharati | sa	15) samADi jam prIti suKam dvitIyam DyAnam upasampadya viharati | sa
   prītervirāgādupekṣako viharati smṛtaḥ saṃprajāna[n] sukhaṃ ca kāyena	prIteH virAgAt upekzakaH viharati smRtaH saMprajAna[n] suKam ca kAyena
   pratisamvedayate yat | tadāryā ācakṣate upekṣakaḥ smṛtimān sukhavihārī	pratisamvedayate yat | tad A AryA Acakzate upekzakaH smRtimAn suKa vihArI
   tṛtīyaṃ dhyānamupasampadya viharati sa sukhasya ca prahāṇāt pūrvameva	tRtIyam DyAnam upasampadya viharati sa suKasya ca prahANAt pUrvam eva
   saumanasyadaurmanasyayorastagamā(rastaṅgamā)daduḥkhāsukhamupekṣāsmṛtipariśuddhaṃ	sOmanasya dOrmanasyayaH H asta gamA(ra staFga mA)da duHKa asuKam upekzA smRti pariSudDam
   caturthaṃ dhyānamupasampadya viharati | ayamucyate samādhisanniśrayaḥ [|]	caturTam DyAnam upasampadya viharati | ayam ucyate samADi sanniSrayaH [|]
   so [a]nayānūpūrvyā uttarottarānviśiṣṭān viśiṣṭatarān viśiṣṭatamān	saH [a]nayAnUpUrvyAH uttarottarAn viSizwAn viSizwatarAn viSizwatamAn
   pratyagrānātmasampatpūrvān samādhi] saṃniśrayaparyavasānān samudānayati |	pratyagrAn a Atma sampad pUrvAn samADi] saMniSraya paryavasAnAn samudAnayati |
   evaṃ pariśuddhe citte paryavadāte anaṃgaṇe vigatopakleśe ṛjubhūte karmaṇye	evam pariSudDe citte paryavadAte anaMgaNe vigata upakleSe Rju BUte karmaNye
   sthite āniṃjyaprāpte sa ceccatvāryāryasatyānyārabhya teṣāṃ parijñāyai	sTite AniMjya prApte sa ced catvAri Arya satyAni AraBya tezAm parijQAyE
   prahāṇāya sākṣātkriyāyai bhāvanāyai parato ghoṣamavavā dānuśāsanīṃ	prahANAya sAkzAt kriyAyE BAvanAyE paratas Gozam avavA dAnu SAsanIm
   pratilabhate | evamasau bhavyo bhavati pratibalaśca yoganimittasya	pratilaBate | evam asO BavyaH Bavati pratibalaH ca yoga nimittasya
   manaskārasyotpādanāya | ya (ta)tpūrvikāyāśca samyagdṛṣṭeryayā	manaskArasya utpAdanAya | yaH (ta)t pUrvikAyAH ca samyak dRzweH yayA
   catvāryāryasatyānyabhisamāgacchati | vimuktiñca paripūrayati |	catvAri Arya satyAni aBisamAgacCati | vimuktiQca paripUrayati |
   nirupadhiśeṣe ca nirvāṇadhātau parinirvāti | tatra yā	nirupaDi Seze ca nirvANa DAtO parinirvAti | tatra yA
   samyagdarśanamupādāya vimuktiparipūriḥ | (Śbh_Sh: 16)	samyak darSanam upAdAya vimukti paripUriH | (ŚB_Sh: 16)
   nirupadhiśeṣaparinirvāṇaṃ cāyaṃ gotrasamudāgamo veditavyaḥ |	nirupaDi Seza parinirvANam ca ayam gotra samudAgamaH veditavyaH |
   tatrātmasampadamupādāya yāvatsamādhisanniśrayo [a]yaṃ | hīnaḥ	tatra Atma sampadam upAdAya yAvat samADi sanniSrayaH [a]yam | hInaH
   samudāgamapratyayo veditavyaḥ | tatra yaḥ catuḥsatyadeśanāvavādādhipateyaḥ	samudAgama pratyayaH veditavyaH | tatra yaH catur satya deSanO= avAda ADipateyaH
   parato ghoṣaḥ, yaśca yoniśo manaskāraḥ | ayaṃ pradhānaḥ samudāgamapratyayo	paratas GozaH, yaH ca yoniSas manaskAraH | ayam praDAnaH samudAgama pratyayo
   veditavyaḥ | idamucyate gotravyavasthānaṃ ||	veditavyaH | idam ucyate gotra vyavasTAnam ||
   gotrasthasya pudgalasya katamāni liṃgāni | āha |	gotra sTasya pudgalasya katamAni liMgAni | Aha |
   yānyaparinirvāṇadharmakasya liṃgāni | ( āha | yānyaparinirvāṇadharmakasya	yAni aparinirvANa Darmakasya liMgAni | ( Aha | yAni aparinirvANa Darmakasya
   liṃgāni |) tadviparyayeṇa gotrasthasya pudgalasya liṃgāni veditavyāni |	liMgAni |) tad viparyayeNa gotra sTasya pudgalasya liMgAni veditavyAni |
   kāni punaraparinirvāṇadharmakaliṃgāni yaiḥ samanvāgataḥ	kAni punar aparinirvANa Darma kaliMgAni yEH samanvAgataH
   aparinirvāṇadharmakaḥ | aparinirvāṇadharmako 'yamiti vijñeyaḥ |	aparinirvANa DarmakaH | aparinirvANa DarmakaH ayam iti vijQeyaH |
   bahūnyaparinirvāṇadharmakaliṃgāni | (pradeśamātraṃ |) pradeśamātrantu	bahUni aparinirvANa Darma kaliMgAni | (pradeSa mAtram |) pradeSa m Atrantu
   nirdekṣyāmi | ihāparinirvāṇadharmasya pudgalasyādita evāla [] tṛṣṇā	nirdekzyAmi | iha aparinirvANa Darmasya pudgalasya Aditas eva Ala [] tRzNA
   sarveṇa sarvaṃ sarvathā ca sarvabuddhairāśrayasanniviṣṭā aprahāṇadharmiṇī	sarveNa sarvam sarvaTA ca sarva budDEH ASraya sannivizwA aprahANa DarmiNI
   bhavatyanutpādyā dūrāgatā pragāḍhasanniviṣṭā [idaṃ] | idaṃ	Bavati anutpAdyAH dUra AgatA pragAXa sannivizwA [idan] | idam
   prathama[ma]gotrakasthasya pudgalasya liṃgaṃ || punaraparamagotrasthaḥ	praTama [ma]gotraka sTasya pudgalasya liMgam || punar aparama gotra sTaH
   pudgalaḥ anekaparyāyeṇa saṃsāraguṇān vicitrān prabhūtāṃśca (Śbh_Sh: 17)	pudgalaH aneka paryAyeNa saMsAra guNAn vicitrAn praBUtAn= ca (ŚB_Sh: 17)
   śrutvā nirvāṇaguṇāṃścānekaparyāyeṇa vicitrān | prabhūtāṃśca śrutvā	SrutvA nirvANa guNAn= ca aneka paryAyeNa vicitrAn | praBUtAn= ca SrutvA
   parīttamapi prapaṃce saṃsāradoṣadarśanamādīnavadarśanaṃ | saṃvegamātraṃ	parIttam api prapaMce saMsAra doza darSanam AdInava darSanam | saMvega mAtram
   notpāditavānatītamadhvānamupādāya notpādayiṣyatyānāgata[madhvāna]mupādāya	na utpAditavAn atItam aDvAnam upAdAya na utpAdayizyatyA anAgata[maDu Ana]m upAdAya
   notpādayati [varta]mānamadhvānamupādāya parīttakalpamātrakamavaramātrakaṃ	na utpAdayati [varta]mAnam aDvAnam upAdAya parItta kalpa mAtrakam avara mAtrakam
   nirvāṇe, tṛṣṇākṣaye, virāge, nirodhe guṇadarśanamuśansa (śaṃsa)darśanaṃ	nirvANe, tRzNA kzaye, virAge, niroDe guNa darSanam uSansaH (SaMsa) darSanam
   prasādamātrakamatītānāgatapratyutpannamadhvānamupādāya	prasAda mAtrakam atIta anAgata pratyutpannam aDvAnam upAdAya
   notpāditavānnotpādayiṣyati notpādayati | idaṃ dvitīyamagotrastha[sya	na utpAditavAn na utpAdayizyati na utpAdayati | idam dvitIyam agotra sTa[sya
   pudgalasya] liṃgam | punaraparamagotrasthaḥ pudgalaḥ [anekaparyā]	pudgalasya] liMgam | punar aparama gotra sTaH pudgalaH [aneka paryA]
   [yeṇa..............] gāmīduḥ[khā] patrāpyeṇa samanvāgato bhavati |	[yeNa..............] gAmI duH[KA] patrApyeNa samanvAgataH Bavati |
   yenāyamaghṛṇacittaścāsaṃkucitacittaśca prahṛṣṭacittaśca	yena ayam aGRNa cittaH ca asaMkucita cittaH ca prahRzwa cittaH ca
   sarvasyāyamadhyācarati | na ca kadācittani (nni)dānaṃ vipratisārī bhavati	sarvasya ayam aDyAcarati | na ca kadAcid tani (nni)dAnam vipratisArI Bavati
   | nānyatra // [|] [idaṃ tṛtīyamagotrasthaṃ liṅgaṃ [|]	| na anyatra // [|] [idam tRtIyam agotra sTam liFgam [|]
   puna]raparamagotrasthaḥ (Śbh_Sh: 18) sarvākāraparipūrṇe [a]sya (|)	puna]raparama gotra sTaH (ŚB_Sh: 18) sarva AkAra paripUrNe [a]sya (|)
   do[ṣa]yukte citre (tte) gamake duḥkhaṃ vā ārabhya, samudayaṃ vā,	do[za ] yukte citre (tte) gamake duHKam vA AraBya, samudayam vA,
   nirodhamvā, mārgamvā, saddharme deśyamāne na labhate cetasa āvarjanamātre	niroDamvA, mArgamvA, sadDarme deSyamAne na laBate cetasaH Avarjana mAtre
   karmaṇi, muktimātre [yadutātītamadhvānamupādāyānāgatamadhvānamupādāya ya]	karmaNi, mukti mAtre [yaduta atItam aDvAnam upAdAya anAgatam aDvAnam upAdAya ya]
   duta pratyutpannamadhvānamupādāya | idaṃ caturthamagotrasthaṃ liṃgaṃ |	duta pratyutpannam aDvAnam upAdAya | idam caturTam agotra sTam liMgam |
   punaraparamagotrasthaḥ pudgalaḥ sa cet kadācit karha (rhi)cit svākhyāte	punar aparama gotra sTaH pudgalaH sa ced kadAcid karha (rhi)cit su AKyAte
   dharmavinaye pravrajati | sa rājā bhinirṇīto vā, co (cau)rābhinirṇīto vā,	Darma vinaye pravrajati | sa rAjA BinirNItaH vA, caH (cO)ra aBinirNItaH vA,
