   uparivibhāgaḥ	upari viBAgaH
   taṃ dṛṣṭvā vedavidvāṃsaṃ kālameghasamadyutim /	tam dRzwvA veda vidvAMsam kAla meGa sama dyutim /
   vyāsaṃ kamalapatrākṣaṃ praṇemurdvijapuṅgavāḥ // KūrmP_2,1.7 //	vyAsam kamala patra akzam praNemuH dvija puFgavAH // KUrmP_2,1.7 //
   papāta daṇḍavad bhūmau dṛṣṭvāsau romaharṣaṇaḥ /	papAta daNxa vat BUmO dRzwvA asO romaharzaNaH /
   pradakṣiṇīkṛtya guruṃ prāñjaliḥ pārśvago 'bhavat // KūrmP_2,1.8 //	pradakziNIkRtya gurum prAQjaliH pArSva gaH aBavat // KUrmP_2,1.8 //
   pṛṣṭāste 'nāmayaṃ viprāḥ śaunakādyā mahāmunim /	pRzwAH te anAmayam viprAH SOnaka AdyAH mahA munim /
   samāśvāsyāsanaṃ tasmai tadyogyaṃ samakalpayan // KūrmP_2,1.9 //	samASvAsya Asanam tasmE tad yogyam samakalpayan // KUrmP_2,1.9 //
   athaitānabravīd vākyaṃ parāśarasutaḥ prabhuḥ /	aTa etAn abravIt vAkyam parASara sutaH praBuH /
   kaccinna tapaso hāniḥ svādhyāyasya śrutasya ca // KūrmP_2,1.10 //	kaccit na tapasaH hAniH svADyAyasya Srutasya ca // KUrmP_2,1.10 //
   tataḥ sa sūtaḥ svaguruṃ praṇamyāha mahāmunim /	tatas sa sUtaH sva gurum praNamya Aha mahA munim /
   jñānaṃ tad brahmaviṣayaṃ munīnāṃ vaktumarhasi // KūrmP_2,1.11 //	jQAnam tat brahma vizayam munInAm vaktum arhasi // KUrmP_2,1.11 //
   ime hi munayaḥ śāntāstāpasā dharmatatparāḥ /	ime hi munayaH SAntAH tApasAH Darma tatparAH /
   śuśrūṣā jāyate caiṣāṃ vaktumarhasi tattvataḥ // KūrmP_2,1.12 //	SuSrUzA jAyate ca ezAm vaktum arhasi tattvataH // KUrmP_2,1.12 //
   jñānaṃ vimuktidaṃ divyaṃ yanme sākṣāt tvayoditam /	jQAnam vimukti dam divyam yat me sAkzAt tvayA uditam /
   munīnāṃ vyāhṛtaṃ pūrvaṃ viṣṇunā kūrmarūpiṇā // KūrmP_2,1.13 //	munInAm vyAhRtam pUrvam vizNunA kUrma rUpiNA // KUrmP_2,1.13 //
   śrutvā sūtasya vacanaṃ muniḥ satyavatīsutaḥ /	SrutvA sUtasya vacanam muniH satyavatI sutaH /
   praṇamya śirasā rudraṃ vacaḥ prāha sukhāvaham // KūrmP_2,1.14 //	praNamya SirasA rudram vacaH prAha suKa Avaham // KUrmP_2,1.14 //
   vyāsa uvāca	vyAsaH uvAca
   vakṣye devo mahādevaḥ pṛṣṭo yogīśvaraiḥ purā /	vakzye devaH mahAdevaH pRzwaH yogi ISvarEH purA /
   sanatkumārapramukhaiḥ svayaṃ yatsamabhāṣata // KūrmP_2,1.15 //	sanatkumAra pramuKEH svayam yat samaBAzata // KUrmP_2,1.15 //
   sanatkumāraḥ sanakastathaiva ca sanandanaḥ /	sanatkumAraH sanakaH taTA eva ca sanandanaH /
   aṅgirā rudrasahito bhṛguḥ paramadharmavit // KūrmP_2,1.16 //	aFgirAH rudra sahitaH BRguH parama Darma vid // KUrmP_2,1.16 //
   kaṇādaḥ kapilo yogī vāmadevo mahāmuniḥ /	kaNAdaH kapilaH yogI vAmadevaH mahA muniH /
   śukro vasiṣṭho bhagavān sarve saṃyatamānasāḥ // KūrmP_2,1.17 //	SukraH vasizWaH BagavAn sarve saMyata mAnasAH // KUrmP_2,1.17 //
   parasparaṃ vicāryaite saṃśayāviṣṭacetasaḥ /	parasparam vicArya ete saMSaya Avizwa cetasaH /
   taptavantastapo ghoraṃ puṇye badarikāśrame // KūrmP_2,1.18 //	taptavantaH tapaH Goram puNye badarikASrame // KUrmP_2,1.18 //
   apaśyaṃste mahāyogamṛṣiṃ dharmasutaṃ śucim /	apaSyan= te mahA yogam Rzim Darmasutam Sucim /
   nārāyaṇamanādyantaṃ nareṇa sahitaṃ tadā // KūrmP_2,1.19 //	nArAyaNam anAdi antam nareNa sahitam tadA // KUrmP_2,1.19 //
   saṃstūya vividhaiḥ stotraiḥ sarve vedasamudbhavaiḥ /	saMstUya viviDEH stotrEH sarve veda samudBavEH /
   praṇemurbhaktisaṃyuktā yogino yogavittamam // KūrmP_2,1.20 //	praNemuH Bakti saMyuktAH yoginaH yoga vittamam // KUrmP_2,1.20 //
   vijñāya vāñchitaṃ teṣāṃ bhagavānapi sarvavit /	vijQAya vAQCitam tezAm BagavAn api sarva vid /
   prāha gambhīrayā vācā kimarthaṃ tapyate tapaḥ // KūrmP_2,1.21 //	prAha gamBIrayA vAcA kimarTam tapyate tapaH // KUrmP_2,1.21 //
   abruvan hṛṣṭamanaso viśvātmānaṃ sanātanam /	abruvan hRzwa manasaH viSvAtmAnam sanAtanam /
   sākṣānnārāyaṇaṃ devamāgataṃ siddhisūcakam // KūrmP_2,1.22 //	sAkzAt nArAyaNam devam Agatam sidDi sUcakam // KUrmP_2,1.22 //
   vayaṃ saṃśayamāpannāḥ sarve vai brahmavādinaḥ /	vayam saMSayam ApannAH sarve vE brahma vAdinaH /
   bhavantamekaṃ śaraṇaṃ prapannāḥ puruṣottamam // KūrmP_2,1.23 //	Bavantam ekam SaraNam prapannAH puruzottamam // KUrmP_2,1.23 //
   tvaṃ hi tad vettha paramaṃ sarvajño bhagavānṛṣiḥ /	tvam hi tat vetTa paramam sarvajQaH BagavAn RziH /
   nārāyaṇaḥ svayaṃ sākṣāt purāṇo 'vyaktapūruṣaḥ // KūrmP_2,1.24 //	nArAyaNaH svayam sAkzAt purANaH avyakta pUruzaH // KUrmP_2,1.24 //
   nahyanyo vidyate vettā tvāmṛte parameśvara /	na hi anyaH vidyate vettA tvAm Rte parameSvara /
   śuśrūṣāsmākamakhilaṃ saṃśayaṃ chettumarhasi // KūrmP_2,1.25 //	SuSrUzA asmAkam aKilam saMSayam Cettum arhasi // KUrmP_2,1.25 //
   kiṃ kāraṇamidaṃ kṛtsnaṃ ko 'nusaṃsarate sadā /	kim kAraNam idam kRtsnam kaH anusaMsarate sadA /
   kaścidātmā ca kā muktiḥ saṃsāraḥ kiṃnimittakaḥ // KūrmP_2,1.26 //	kaScid AtmA ca kA muktiH saMsAraH kiMnimittakaH // KUrmP_2,1.26 //
   kaḥ saṃsārayatīśānaḥ ko vā sarvaṃ prapaśyati /	kaH saMsArayati ISAnaH kaH vA sarvam prapaSyati /
   kiṃ tat parataraṃ brahma sarvaṃ no vaktumarhasi // KūrmP_2,1.27 //	kim tat parataram brahma sarvam naH vaktum arhasi // KUrmP_2,1.27 //
   evamukte tu munayaḥ prāpaśyan puruṣottamam /	evam ukte tu munayaH prApaSyan puruzottamam /
   vihāya tāpasaṃ rūpaṃ saṃsthitaṃ svena tejasā // KūrmP_2,1.28 //	vihAya tApasam rUpam saMsTitam svena tejasA // KUrmP_2,1.28 //
   vibhrājamānaṃ vimalaṃ prabhāmaṇḍalamaṇḍitam /	viBrAjamAnam vimalam praBA maNxala maNxitam /
   śrīvatsavakṣasaṃ devaṃ taptajāmbūnadaprabham // KūrmP_2,1.29 //	SrIvatsa vakzasam devam tapta jAmbUnada praBam // KUrmP_2,1.29 //
   śaṅkhacakragadāpāṇiṃ śārṅgahastaṃ śriyāvṛtam /	SaFKa cakra gadA pANim SArFga hastam SriyA AvRtam /
   na dṛṣṭastatkṣaṇādeva narastasyaiva tejasā // KūrmP_2,1.30 //	na dRzwaH tad kzaNAt eva naraH tasya eva tejasA // KUrmP_2,1.30 //
   tadantare mahādevaḥ śaśāṅkāṅkitaśekharaḥ /	tad antare mahAdevaH SaSAFka aFkita SeKaraH /
   prasādābhimukho rudraḥ prādurāsīnmaheśvaraḥ // KūrmP_2,1.31 //	prasAda aBimuKaH rudraH prAdurAsIt maheSvaraH // KUrmP_2,1.31 //
   nirīkṣya te jagannāthaṃ trinetraṃ candrabhūṣaṇam /	nirIkzya te jagannATam trinetram candra BUzaNam /
   tuṣṭuvurhṛṣṭamanaso bhaktyā taṃ parameśvaram // KūrmP_2,1.32 //	tuzwuvuH hRzwa manasaH BaktyA tam parameSvaram // KUrmP_2,1.32 //
   jayeśvara mahādeva jaya bhūtapate śiva /	jaya ISvara mahAdeva jaya BUtapate Siva /
   jayāśeṣamunīśāna tapasābhiprapūjita // KūrmP_2,1.33 //	jaya aSeza muni ISAna tapasA aBiprapUjitaH // KUrmP_2,1.33 //
   sahasramūrte viśvātman jagadyantrapravartaka /	sahasra mUrte viSvAtman jagat yantra pravartaka /
   jayānanta jagajjanmatrāṇasaṃhārakāraṇa // KūrmP_2,1.34 //	jaya ananta jagat janma trANa saMhAra kAraNaH // KUrmP_2,1.34 //
   sahasracaraṇeśāna śaṃbho yogīndravandita /	sahasra caraNa ISAna SaMBo yogi indra vanditaH /
   jayāmbikāpate deva namaste parameśvara // KūrmP_2,1.35 //	jaya ambikApate deva namaH te parameSvaraH // KUrmP_2,1.35 //
   saṃstuto bhagavānīśastryambako bhaktavatsalaḥ /	saMstutaH BagavAn ISaH tryambakaH Bakta vatsalaH /
   samāliṅgya hṛṣīkeśaṃ prāha gambhīrayā girā // KūrmP_2,1.36 //	samAliFgya hRzIkeSam prAha gamBIrayA girA // KUrmP_2,1.36 //
   kimarthaṃ puṇḍarīkākṣa munīndrā brahmavādinaḥ /	kimarTam puNxarIkAkza muni indrAH brahma vAdinaH /
   imaṃ samāgatā deśaṃ kiṃ vā kāryaṃ mayācyuta // KūrmP_2,1.37 //	imam samAgatAH deSam kim vA kAryam mayA acyutaH // KUrmP_2,1.37 //
   ākarṇya bhagavadvākyaṃ devadevo janārdanaḥ /	AkarNya Bagavat vAkyam devadevaH janArdanaH /
   prāha devo mahādevaṃ prasādābhimukhaṃ sthitam // KūrmP_2,1.38 //	prAha devaH mahAdevam prasAda aBimuKam sTitam // KUrmP_2,1.38 //
   ime hi munayo deva tāpasāḥ kṣīṇakalmaṣāḥ /	ime hi munayaH deva tApasAH kzINa kalmazAH /
   abhyāgatā māṃ śaraṇaṃ samyagdarśanakāṅkṣiṇaḥ // KūrmP_2,1.39 //	aByAgatAH mAm SaraNam samyak darSana kAFkziNaH // KUrmP_2,1.39 //
   yadi prasanno bhagavān munīnāṃ bhāvitātmanām /	yadi prasannaH BagavAn munInAm BAvitAtmanAm /
   sannidhau mama tajjñānaṃ divyaṃ vaktumihārhasi // KūrmP_2,1.40 //	sanniDO mama tat jQAnam divyam vaktum iha arhasi // KUrmP_2,1.40 //
   tvaṃ hi vettha svamātmānaṃ na hyanyo vidyate śiva /	tvam hi vetTa svam AtmAnam na hi anyaH vidyate Siva /
   tatastvamātmanātmānaṃ munīndrebhyaḥ pradarśaya // KūrmP_2,1.41 //	tatas tvam AtmanA AtmAnam muni indreByaH pradarSaya // KUrmP_2,1.41 //
   evamuktvā hṛṣīkeśaḥ provāca munipuṅgavān /	evam uktvA hRzIkeSaH provAca muni puFgavAn /
   pradarśayan yogasiddhiṃ nirīkṣya vṛṣabhadhvajam // KūrmP_2,1.42 //	pradarSayan yoga sidDim nirIkzya vRzaBaDvajam // KUrmP_2,1.42 //
   saṃdarśanānmaheśasya śaṅkarasyātha śūlinaḥ /	saMdarSanAt maheSasya SaFkarasya aTa SUlinaH /
   kṛtārthaṃ svayamātmānaṃ jñātumarhatha tattvataḥ // KūrmP_2,1.43 //	kRtArTam svayam AtmAnam jQAtum arhaTa tattvataH // KUrmP_2,1.43 //
   praṣṭumarhatha viśveśaṃ pratyakṣaṃ purataḥ sthitam /	prazwum arhaTa viSveSam pratyakzam puratas sTitam /
   mamaiva sannidhāveṣa yathāvad vaktumīśvaraḥ // KūrmP_2,1.44 //	mama eva sanniDO= eza yaTAvat vaktum ISvaraH // KUrmP_2,1.44 //
   niśamya viṣṇuvacanaṃ praṇamya vṛṣabhadhvajam /	niSamya vizNu vacanam praNamya vRzaBaDvajam /
   sanatkumārapramukhāḥ pṛcchanti sma maheśvaram // KūrmP_2,1.45 //	sanatkumAra pramuKAH pRcCanti sma maheSvaram // KUrmP_2,1.45 //
   athāsminnantare divyamāsanaṃ vimalaṃ śivam /	aTa asmin= antare divyam Asanam vimalam Sivam /
   kimapyacintyaṃ gaganādīśvarārhaṃ samudbabhau // KūrmP_2,1.46 //	kim api acintyam gaganAt ISvara arham samudbaBO // KUrmP_2,1.46 //
   tatrāsasāda yogātmā viṣṇunā saha viśvakṛt /	tatra AsasAda yoga AtmA vizNunA saha viSvakRt /
   tejasā pūrayan viśvaṃ bhāti devo maheśvaraḥ // KūrmP_2,1.47 //	tejasA pUrayan viSvam BAti devaH maheSvaraH // KUrmP_2,1.47 //
   taṃ te devādideveśaṃ śaṅkaraṃ brahmavādinaḥ /	tam te deva AdideveSam SaFkaram brahma vAdinaH /
   vibhrājamānaṃ vimale tasmin dadṛśurāsane // KūrmP_2,1.48 //	viBrAjamAnam vimale tasmin dadRSuH Asane // KUrmP_2,1.48 //
   yaṃ prapaśyantiyogasthāḥ svātmanyātmānamīśvaramā /	yam prapaSyanti yoga sTAH sva Atmani AtmAnam ISvaramAH /
   ananyatejasaṃ śāntaṃ śivaṃ dadṛśire kila // KūrmP_2,1.49 //	ananya tejasam SAntam Sivam dadRSire kila // KUrmP_2,1.49 //
   yataḥ prasūtirbhūtānāṃ yatraitat pravilīyate /	yatas prasUtiH BUtAnAm yatra etat pravilIyate /
   tamāsanasthaṃ bhūtānāmīśaṃ dadṛśire kila // KūrmP_2,1.50 //	tam Asana sTam BUtAnAm ISam dadRSire kila // KUrmP_2,1.50 //
   yadantarā sarvametad yato 'bhinnamidaṃ jagat /	yad antarA sarvam etat yatas aBinnam idam jagat /
   sa vāsudevamāsīnaṃ tamīśaṃ dadṛśuḥ kila // KūrmP_2,1.51 //	sa vAsudevam AsInam tam ISam dadRSuH kila // KUrmP_2,1.51 //
   provāca pṛṣṭo bhagavān munīnāṃ parameśvaraḥ /	provAca pRzwaH BagavAn munInAm parameSvaraH /
   nirīkṣya puṇḍarīkākṣaṃ svātmayogamanuttamam // KūrmP_2,1.52 //	nirIkzya puNxarIkAkzam sva Atma yogam anuttamam // KUrmP_2,1.52 //
   tacchṛṇudhvaṃ yathānyāyamucyamānaṃ mayānaghāḥ /	tat SRNuDvam yaTAnyAyam ucyamAnam mayA anaGAH /
   praśāntamānasāḥ sarve jñānamīśvarabhāṣitam // KūrmP_2,1.53 //	praSAnta mAnasAH sarve jQAnam ISvara BAzitam // KUrmP_2,1.53 //
   iti śrīkūrmapurāṇe ṣaṭsāhastryāṃ saṃhitāyāmuparivibhāge (īśvaragītāsu)	iti SrI kUrmapurANe zawsAhastryAm saMhitAyAm upari viBAge (ISvara gIta asu)
   prathamo 'dhyāyaḥ	praTamaH aDyAyaH
   īśvara uvāca	ISvaraH uvAca
   avācyametad vijñānamātmaguhyaṃ sanātanam /	avAcyam etat vijQAnam Atma guhyam sanAtanam /
   yanna devā vijānanti yatanto 'pi dvijātayaḥ // KūrmP_2,2.1 //	yat na devAH vijAnanti yatantaH api dvijAtayaH // KUrmP_2,2.1 //
   idaṃ jñānaṃ samāśritya brahmabhūtā dvijottamāḥ /	idam jQAnam samASritya brahma BUtAH dvijottamAH /
   na saṃsāraṃ prapadyante pūrve 'pi brahmavādinaḥ // KūrmP_2,2.2 //	na saMsAram prapadyante pUrve api brahma vAdinaH // KUrmP_2,2.2 //
   guhyād guhyatamaṃ sākṣād gopanīyaṃ prayatnataḥ /	guhyAt guhyatamam sAkzAt gopanIyam prayatnataH /
   vakṣye bhaktimatāmadya yuṣmākaṃ brahmavādinām // KūrmP_2,2.3 //	vakzye BaktimatAm adya yuzmAkam brahma vAdinAm // KUrmP_2,2.3 //
   ātmāyaḥ kevalaḥ svasthaḥ śāntaḥ sūkṣmaḥ sanātanaḥ /	Atma ayaH kevalaH svasTaH SAntaH sUkzmaH sanAtanaH /
   asti sarvāntaraḥ sākṣāccinmātrastamasaḥ paraḥ // KūrmP_2,2.4 //	asti sarva antaraH sAkzAt cit mAtraH tamasaH paraH // KUrmP_2,2.4 //
   so 'ntaryāmī sa puruṣaḥ sa prāṇaḥ sa maheśvaraḥ /	saH antaryAmI sa puruzaH sa prANaH sa maheSvaraH /
   sa kālo 'gnistadavyaktaṃ sa evedamiti śrutiḥ // KūrmP_2,2.5 //	sa kAlaH agniH tat avyaktam saH eva idam iti SrutiH // KUrmP_2,2.5 //
   asmād vijāyate viśvamatraiva pravilīyate /	asmAt vijAyate viSvam atra eva pravilIyate /
   sa māyī māyayā baddhaḥ karoti vividhāstanūḥ // KūrmP_2,2.6 //	sa mAyI mAyayA badDaH karoti viviDAH tanUH // KUrmP_2,2.6 //
   na cāpyayaṃ saṃsarati na ca saṃsārayet prabhuḥ /	na ca api ayam saMsarati na ca saMsArayet praBuH /
   nāyaṃ pṛthvī na salilaṃ na tejaḥ pavano nabhaḥ // KūrmP_2,2.7 //	na ayam pRTvI na salilam na tejaH pavanaH naBaH // KUrmP_2,2.7 //
   na prāṇe na mano 'vyaktaṃ na śabdaḥ sparśa eva ca /	na prANe na manaH avyaktam na SabdaH sparSaH eva ca /
   na rūparasagandhāśca nāhaṃ kartā na vāgapi // KūrmP_2,2.8 //	na rUpa rasa ganDAH ca na aham kartA na vAc api // KUrmP_2,2.8 //
   na pāṇipādau no pāyurna copasthaṃ dvijottamāḥ /	na pANi pAdO no pAyuH na ca upasTam dvijottamAH /
   na kartā na ca bhoktā vā na ca prakṛtipūruṣau /	na kartA na ca BoktA vA na ca prakRti pUruzO /
   na māyā naiva ca prāścaitanyaṃ paramārthataḥ // KūrmP_2,2.9 //	na mAyAH na eva ca prAH cEtanyam paramArTataH // KUrmP_2,2.9 //
   yathā prakāśatamasoḥ sambandho nopapadyate /	yaTA prakASa tamasoH sambanDaH na upapadyate /
   tadvadaikyaṃ na saṃbandhaḥ prapañcaparamātmanoḥ // KūrmP_2,2.10 //	tadvat Ekyam na saMbanDaH prapaQca paramAtmanoH // KUrmP_2,2.10 //
   chāyātapau yathā loke parasparavilakṣaṇau /	CAyA AtapO yaTA loke paraspara vilakzaNO /
   tadvat prapañcapuruṣau vibhinnau paramārthataḥ // KūrmP_2,2.11 //	tadvat prapaQca puruzO viBinnO paramArTataH // KUrmP_2,2.11 //
   yadyātmā malino 'svastho vikārī syāt svabhāvataḥ /	yadi AtmA malinaH asvasTaH vikArI syAt svaBAvataH /
   nahi tasya bhavenmuktirjanmāntaraśatairapi // KūrmP_2,2.12 //	na hi tasya Bavet muktiH janma antara SatEH api // KUrmP_2,2.12 //
   paśyanti munayo yuktāḥ svātmānaṃ paramārthataḥ /	paSyanti munayaH yuktAH sva AtmAnam paramArTataH /
   vikārahīnaṃ nirduḥ khamānandātmānamavyayam // KūrmP_2,2.13 //	vikAra hInam nirduH Kam Ananda AtmAnam avyayam // KUrmP_2,2.13 //
   ahaṃ kartā sukhī duḥ khī kṛśaḥ sthūleti yā matiḥ /	aham kartA suKI duH KI kRSaH sTUla iti yA matiH /
   sā cāhaṅkārakartṛtvādātmanyāropyate janaiḥ // KūrmP_2,2.14 //	sA ca ahaFkAra kartR tvAt Atmani Aropyate janEH // KUrmP_2,2.14 //
   vadanti vedavidvāṃsaḥ sākṣiṇaṃ prakṛteḥ param /	vadanti veda vidvAMsaH sAkziNam prakRteH param /
   bhoktāramakṣaraṃ śuddhaṃ sarvatra samavasthitam // KūrmP_2,2.15 //	BoktAram akzaram SudDam sarvatra samavasTitam // KUrmP_2,2.15 //
   tasmādajñānamūlo hi saṃsāraḥ sarvadehinām /	tasmAt ajQAna mUlaH hi saMsAraH sarva dehinAm /
   ajñānādanyathā jñānaṃ tacca prakṛtisaṃgatam // KūrmP_2,2.16 //	ajQAnAt anyaTA jQAnam tat ca prakRti saMgatam // KUrmP_2,2.16 //
   nityoditaḥ svayaṃ jyotiḥ sarvagaḥ puruṣaḥ paraḥ /	nitya uditaH svayam jyotiH sarva gaH puruzaH paraH /
   ahaṅkārāvivekena kartāhamiti manyate // KūrmP_2,2.17 //	ahaFkAra avivekena kartAham iti manyate // KUrmP_2,2.17 //
   paśyanti ṛṣayo 'vyaktaṃ nityaṃ sadasadātmakam /	paSyanti RzayaH avyaktam nityam sat asat Atmakam /
   pradhānaṃ prakṛtiṃ buddhvā kāraṇaṃ brahmavādinaḥ // KūrmP_2,2.18 //	praDAnam prakRtim budDvA kAraNam brahma vAdinaH // KUrmP_2,2.18 //
   tenāyaṃ saṃgato hyātmā kūṭastho 'pi nirañjanaḥ /	tena ayam saMgataH hi AtmA kUwasTaH api niraQjanaH /
   svātmānamakṣaraṃ brahma nāvabuddhyeta tattvataḥ // KūrmP_2,2.19 //	sva AtmAnam akzaram brahma na avabudDyeta tattvataH // KUrmP_2,2.19 //
   anātmanyātmavijñānaṃ tasmād duḥ khaṃ tathetaram /	anAtmani Atma vijQAnam tasmAt duH Kam taTA itaram /
   ragadveṣādayo doṣāḥ sarve bhrāntinibandhanāḥ // KūrmP_2,2.20 //	raga dveza AdayaH dozAH sarve BrAnti nibanDanAH // KUrmP_2,2.20 //
   karmaṇyasya bhaved doṣaḥ puṇyāpuṇyamiti sthitiḥ /	karmaNi asya Bavet dozaH puNya apuNyam iti sTitiH /
   tadvaśādeva sarveṣāṃ sarvadehasamudbhavaḥ // KūrmP_2,2.21 //	tad vaSAt eva sarvezAm sarva deha samudBavaH // KUrmP_2,2.21 //
   nityaḥ sarvatrago hyātmā kūṭastho doṣavarjitaḥ /	nityaH sarvatragaH hi AtmA kUwasTaH doza varjitaH /
   ekaḥ sa bhidyate śaktyā māyayā na svabhāvataḥ // KūrmP_2,2.22 //	ekaH sa Bidyate SaktyA mAyayA na svaBAvataH // KUrmP_2,2.22 //
   tasmādadvaitamevāhurmunayaḥ paramārthataḥ /	tasmAt advEtam eva AhuH munayaH paramArTataH /
   bhedo vyaktasvabhāvena sā ca māyātmasaṃśrayā // KūrmP_2,2.23 //	BedaH vyakta svaBAvena sA ca mAyA Atma saMSrayAH // KUrmP_2,2.23 //
   yathā hi dhūmasaṃparkānnākāśo malino bhavet /	yaTA hi DUma saMparkAt na AkASaH malinaH Bavet /
   antaḥ karaṇajairbhāvairātmā tadvanna lipyate // KūrmP_2,2.24 //	antar karaNa jEH BAvEH AtmA tadvat na lipyate // KUrmP_2,2.24 //
   yathā svaprabhayā bhāti kevalaḥ sphaṭiko 'malaḥ /	yaTA sva praBayA BAti kevalaH sPawikaH amalaH /
   upādhihīno vimalastathaivātmā prakāśate // KūrmP_2,2.25 //	upADi hInaH vimalaH taTA eva AtmA prakASate // KUrmP_2,2.25 //
   jñānasvūpamevāhurjagadetad vicakṣaṇāḥ /	jQAna svUpam eva AhuH jagat etat vicakzaNAH /
   arthasvarūpamevājñāḥ paśyantyanye kudṛṣṭayaḥ // KūrmP_2,2.26 //	arTa svarUpam eva ajQAH paSyanti anye kudRzwayaH // KUrmP_2,2.26 //
   kūṭastho nirguṇo vyāpī caitanyātmā svabhāvataḥ /	kUwasTaH nirguNaH vyApI cEtanya AtmA svaBAvataH /
   dṛśyate hyartharūpeṇa puruṣairbhrāntidṛṣṭibhiḥ // KūrmP_2,2.27 //	dRSyate hi arTa rUpeNa puruzEH BrAnti dRzwiBiH // KUrmP_2,2.27 //
   yathā saṃlakṣyate raktaḥ kevalaḥ sphaṭiko janaiḥ /	yaTA saMlakzyate raktaH kevalaH sPawikaH janEH /
   raktikādyupadhānena tadvat paramapūruṣaḥ // KūrmP_2,2.28 //	raktikA Adi upaDAnena tadvat parama pUruzaH // KUrmP_2,2.28 //
   tasmādātmākṣaraḥ śuddho nityaḥ sarvagato 'vyayaḥ /	tasmAt Atma akzaraH SudDaH nityaH sarva gataH avyayaH /
   upāsitavyo mantavyaḥ śrotavyaśca mumukṣubhiḥ // KūrmP_2,2.29 //	upAsitavyaH mantavyaH SrotavyaH ca mumukzuBiH // KUrmP_2,2.29 //
   yadā manasi caitanyaṃ bhāti sarvatragaṃ sadā /	yadA manasi cEtanyam BAti sarvatragam sadA /
   yogino 'vyavadhānena tadā saṃpadyate svayam // KūrmP_2,2.30 //	yoginaH avyavaDAnena tadA saMpadyate svayam // KUrmP_2,2.30 //
   yadā sarvāṇi būtāni svātmanyevābhipaśyati /	yadA sarvANi bUtAni sva Atmani eva aBipaSyati /
   sarvabhūteṣu cātmānaṃ brahma saṃpadyate tadā // KūrmP_2,2.31 //	sarva BUtezu ca AtmAnam brahma saMpadyate tadA // KUrmP_2,2.31 //
   yadā sarvāṇi bhūtāni samādhistho na paśyati /	yadA sarvANi BUtAni samADi sTaH na paSyati /
   ekībhūtaḥ pareṇāsau tadā bhavati kevalaḥ // KūrmP_2,2.32 //	ekIBUtaH pareNa asO tadA Bavati kevalaH // KUrmP_2,2.32 //
   yadā sarve pramucyante kāmā ye 'sya hṛdi sthitāḥ /	yadA sarve pramucyante kAmAH ye asya hRdi sTitAH /
   tadāsāvamṛtībhūtaḥ kṣemaṃ gacchati paṇḍitaḥ // KūrmP_2,2.33 //	tadA asO= amRtIBUtaH kzemam gacCati paNxitaH // KUrmP_2,2.33 //
   yadā bhūtapṛthagbhāvamekasthamanupaśyati /	yadA BUta pRTagBAvam ekasTam anupaSyati /
   tata eva ca vistāraṃ brahma saṃpadyate tadā // KūrmP_2,2.34 //	tatas eva ca vistAram brahma saMpadyate tadA // KUrmP_2,2.34 //
   yadā paśyati cātmānaṃ kevalaṃ paramārthataḥ /	yadA paSyati ca AtmAnam kevalam paramArTataH /
   māyāmātraṃ jagat kṛtsnaṃ tadā bhavati nirvṛtaḥ // KūrmP_2,2.35 //	mAyA mAtram jagat kRtsnam tadA Bavati nirvRtaH // KUrmP_2,2.35 //
