   āmaraughaśāsana	Amara-oGa-SAsana
   * prathame janavātsalyaṃ dvitīye roganāśanam || 10.33	* praTame jana-vAtsalyam dvitIye roga-nASanam || 10.33
   * tṛtīyena kavitvaṃ ca dūrākarṣaṃ caturthake || 10.34	* tRtIyena kavi-tvam ca dUra-Akarzam caturTake || 10.34
   * pañcame vāci kāmitvaṃ ṣaṣṭhe bhūmiṃ parityajet || 10.35	* paQcame vAci kAmitvam zazWe BUmim parityajet || 10.35
   * saptame dūram ālokya cāṣṭame vajravad bhavet || 10.36	* saptame dUram Alokya ca-azwame vajra-vat Bavet || 10.36
   * navame sphurate kāyo daśame sāmarasyakam || 10.37	* navame sPurate kAyaH daSame sAma-rasyakam || 10.37
   * pṛthvīmadhye bhavet pṛthvī cāpām āpas tathaiva ca || 10.38	* pRTvI-maDye Bavet pRTvI ca-apAm ApaH taTA-eva ca || 10.38
   * tejomadhye bhavet tejo vāyur vāyau pralīyate || 10.39	* tejaH-maDye Bavet tejaH vAyuH vAyO pralIyate || 10.39
   * ākāśo līyate sarvaḥ satattvaḥ piṇḍasaṃgrahaḥ || 10.40	* AkASaH lIyate sarvaH sa-tattvaH piNxa-saMgrahaH || 10.40
   * anāhato divārātrau dhvanate tu dhanaṃjayaḥ || 10.41	* anAhataH divArAtrO Dvanate tu DanaMjayaH || 10.41
   * tatrārūḍho yadā yogī prāpnuyāt paramaṃ padam || 10.42]	* tatra-ArUXaH yadA yogI prApnuyAt paramam padam || 10.42]
   ayaṃ prakṛtibhedaḥ pṛthvī āpaḥ tejaḥ vāyuḥ ākāśaś ca iti śarīre pañcaguṇāḥ	ayam prakRti-BedaH pRTvI ApaH tejaH vAyuH AkASaH ca iti SarIre paQcaguNAH
   mahābhūtāni bhavanti tatraiva tāni pañcavidhāni bhavanti // 11	mahABUtAni Bavanti tatra-eva tAni paQcaviDAni Bavanti // 11
   asthi māṃsaṃ tvak nāḍī romāṇi iti pañcaguṇā pṛthivī // 12	asTi mAMsam tvac nAxI romANi iti paQcaguNA pRTivI // 12
   lālāmūtrāsruniḥsvedaprasvedāḥ iti pañcaguṇā āpaḥ // 13	lAlA-mUtra-asru-niHsveda-prasvedAH iti paQca-guNAH ApaH // 13
   kṣudhā tṛṣṇā nidrā ālasyaṃ kāntiś ca iti pañcaguṇaṃ tejaḥ // 14	kzuDA tRzNA nidrA Alasyam kAntiH ca iti paQcaguNam tejaH // 14
   dhāvanaṃ valganam ākuñcanaṃ prasāraṇaṃ nirodhaś ceti pañcaguṇo vāyuḥ // 15	DAvanam valganam AkuQcanam prasAraNam niroDaH ca-iti paQcaguNaH vAyuH // 15
   rāgo dveṣo lajjā bhayaṃ mohaś ceti pañcaguṇa ākāśaḥ iti pañcaguṇālaṅkṛtāni	rAgaH dvezaH lajjA Bayam mohaH ca-iti paQcaguNaH AkASaH iti paQca-guNa-alaFkRtAni
   pañcatattvāni // 16	paQca-tattvAni // 16
   śabdaḥ sparśaḥ rasaḥ rūpaṃ gandhaś ceti pañca bhūtaguṇāḥ // 17	SabdaH sparSaH rasaH rUpam ganDaH ca-iti paQca BUta-guNAH // 17
   śṛṅgārādinavanāṭyarasāḥ iti hāsyādibhāvāḥ śṛṅgārādīnām // 18	SRFgAra-Adi-nava-nAwya-rasAH iti hAsya-Adi-BAvAH SRFgAra-AdInAm // 18
   kaṭukatiktakaṣāyāmlamadhuralavaṇāś ceti ṣaṭ āsvādāḥ // 19	kawuka-tikta-kazAya-amla-maDura-lavaNAH ca-iti zaw AsvAdAH // 19
   śubham aśubhaṃ ceti karmadvayam // 20	SuBam aSuBam ca-iti karma-dvayam // 20
   prāṇāpānasamānodānavyānā nāgakūrmakṛkaradevadattadhanaṃjayāś ceti daśa	prANa-apAna-samAna-udAna-vyAnAH nAga-kUrma-kRkara-devadatta-DanaMjayAH ca-iti daSa
   vātāḥ // 21	vAtAH // 21
   iḍāpiṅgalāsuṣumnāgāndhārīhastijihvāyaśasvinīpūṣālambusākuhūśaṅkhinīprabhṛtayaḥ	ixA-piFgalA-suzumnAgAn-DArI-hasti-jihvA-yaSasvinI-pUza-alambusA-kuhU-SaFKinI-praBRtayaH
   dvāsaptatir nāḍīsahasrāṇi // 22	dvAsaptatiH nAxI-sahasrANi // 22
   utpattisthitipralayāś ceti mārgatrayam // 23	utpatti-sTiti-pralayAH ca-iti mArga-trayam // 23
   asthisaṃcayaṃ ṣaṣṭyadhikaṃ śatatrayam asty asya prāṇena saṃbandhaḥ // 24	asTi-saMcayam zazwi-aDikam Sata-trayam asti asya prANena saMbanDaH // 24
   kāmakrodhalobhamohamadamānāhaṅkārāś ceti sapta bandhanāni // 25	kAma-kroDa-loBa-moha-mada-mAna-ahaFkArAH ca-iti sapta banDanAni // 25
   vivekabodhasaṃtoṣaharṣapulakakṣamopaśamadhyānajñānotsavarāgavairāgyānandakampamūrchāvikāramanovāsanādīni	viveka-boDa-saMtoza-harza-pulaka-kzamA-upaSama-DyAna-jQAna-utsava-rAga-vErAgya-Ananda-kampa-mUrCA-vikAra-manaH-vAsana-AdIni
   prakṛtisvarūpāṇi // 26	prakRti-svarUpANi // 26
   romṇāṃ koṭitrayaṃ sārdham // 27	romNAm kowi-trayam sArDam // 27
   vātapittaśleṣmāṇa iti prakṛtitrayam // 28	vAta-pitta-SlezmANaH iti prakRti-trayam // 28
   vātaḥ prāṇaprakṛtiḥ pittaṃ hutāśanodbhūtaṃ śleṣmā nirodhāt bhavati // 29	vAtaH prANa-prakRtiH pittam hutASana-udBUtam SlezmA niroDAt Bavati // 29
   tvak asṛk māṃsaṃ medaḥ asthi majjā śukraṃ prāṇo jīvaḥ śaktiḥ iti daśa	tvac asRk mAMsam medaH asTi majjA Sukram prANaH jIvaH SaktiH iti daSa
   dhātavaḥ // 30	DAtavaH // 30
   prāṇarandhradvayaṃ locanarandhradvayaṃ karṇarandhradvayaṃ	prANa-ranDra-dvayam locana-ranDra-dvayam karNa-ranDra-dvayam
   mukharandhradvayam utsargarandhradvayam iti daśa dvārāṇi // 31	muKa-ranDra-dvayam utsarga-ranDra-dvayam iti daSa dvArANi // 31
   atha daśamadvāraṃ dvividhaṃ śukramārgam amṛtaṃ kālamārgaś ceti	aTa daSama-dvAram dviviDam Sukra-mArgam amRtam kAla-mArgaH ca-iti
   brahmadaṇḍamūle raviśaśimadhye bhagākāram asti tasmād	brahmadaNxa-mUle ravi-SaSi-maDye Baga-AkAram asti tasmAt-
   āgatabrahmadaṇḍāśritaṃ paścimaliṅgam asti paścimaśabdena sthānam asti	Agata-brahma-daNxa-ASritam paScima-liFgam asti paScima-Sabdena sTAnam asti
   tasya madhye liṅgākāram asti // 32	tasya maDye liFga-AkAram asti // 32
   puruṣāṇāṃ retomārgaḥ strīṇāṃ rajomārgaḥ sahaiva tena	puruzANAm retaH-mArgaH strINAm rajaH-mArgaH saha-eva tena
   brahmadaṇḍarekhāśritapuṣpasamaye sarvavyāpakanāḍīsamūhāgataṃ kāminīrajaḥ	brahma-daNxa-reKA-ASrita-puzpa-samaye sarva-vyApaka-nAxI-samUha-Agatam kAminI-rajaH
   sravati // 33	sravati // 33
   tatraiva kāmaviṣaharanirañjanānāṃ saṃyogaṃ bījapātāt ānandāgamaḥ	tatra-eva kAma-viza-hara-niraQjanAnAm saMyogam bIja-pAtAt Ananda-AgamaH
   pralayakālaviṣakālayoḥ kartā nirañjanaś ca iti // 34	pralaya-kAla-viza-kAlayoH kartA niraQjanaH ca iti // 34
   śaktitrayavinirbhinne citte bījanirañjanāt // 35	Sakti-traya-vinirBinne citte bIja-niraQjanAt // 35
   vajrapūjāpadānandaṃ yaḥ karoti sa manmathaḥ // 36	vajra-pUjA-pada-Anandam yaH karoti sa manmaTaH // 36
   citte tṛpte manomuktir ūrdhvamārgāśrite 'nale // 37	citte tRpte manaH-muktiH UrDva-mArga-ASrite anale // 37
   udānacalitaṃ reto mṛtyurekhāviṣaṃ viduḥ // 38	udAna-calitam retaH mRtyu-reKA-vizam viduH // 38
   cittamadhye bhaved yas tu bālāgraśatadhāśraye // 39	citta-maDye Bavet yaH tu bAla-agra-SataDA-ASraye // 39
   nānābhāvavinirmuktaḥ sa ca prokto nirañjanaḥ // 40	nAnA-BAva-vinirmuktaH sa ca proktaH niraQjanaH // 40
   nirañjanāśritā śaktiḥ sūkṣmaśaktyā tayāśritam // 41	niraQjana-ASritA SaktiH sUkzma-SaktyA tayA-ASritam // 41
   manasy āśrayatāmeti jñeyaṃ śaktitrayaṃ tu tat // 42	manasi ASraya-tAm-eti jQeyam Sakti-trayam tu tat // 42
   śaktitrayodbhavaṃ bījaṃ bījāt kāmo viṣaṃ tataḥ // 43	Sakti-traya-udBavam bIjam bIjAt kAmaH vizam tatas // 43
   kāmaḥ sṛṣṭitayā prokto viṣaṃ mṛtyupadaṃ bhavet // 44	kAmaH sRzwi-tayA proktaH vizam mRtyu-padam Bavet // 44
   kiṃ bahunā kāmaviṣaharanirañjanānāṃ brahmadaṇḍamūlāṅkure nivāsaḥ ebhir yad	kim bahunA kAma-viza-hara-niraQjanAnAm brahmadaNxa-mUla-aFkure nivAsaH eBiH yat-
   amukho mokṣaḥ bhasmībhūtasya dehasya punar āgamanakāryaṃ nāsti // 45	amuKaH mokzaH BasmIBUtasya dehasya punar Agamana-kAryam na-asti // 45
   aho mūrkhatā lokasya kecid vadanti śubhāśubhakarmavicchedanaṃ mokṣaḥ // 46	aho mUrKa-tA lokasya kecid vadanti SuBa-aSuBa-karma-vicCedanam mokzaH // 46
   kecid vadanti vedapāṭhāśrito mokṣaḥ // 47	kecid vadanti veda-pAWA-ASritaH mokzaH // 47
   kecid vadanti nirālambanalakṣaṇo mokṣaḥ // 48	kecid vadanti nirAlambana-lakzaNaH mokzaH // 48
   kecid vadanti dhyānakalākaraṇasambaddhaprayogasambhavena	kecid vadanti DyAna-kalA-karaNa-sambadDa-prayoga-samBavena
   rūpabindunādacaitanyapiṇḍākāśalakṣaṇo mokṣaḥ // 49	rUpa-bindu-nAda-cEtanya-piNxa-AkASa-lakzaNaH mokzaH // 49
   kecid vadanti pūjāpūjakamadyamāṃsādisurataprasaṅgasānandalakṣaṇo mokṣaḥ //	kecid vadanti pUjA-pUjaka-madya-mAMsa-Adi-surata-prasaFga-sAnanda-lakzaNaH mokzaH //
   kecid vadanti // 51	kecid vadanti // 51
   mūlakandollāsitakuṇḍalinīsaṃcāralakṣaṇo mokṣaḥ // 52	mUla-kanda-ullAsita-kuNxalinI-saMcAra-lakzaNaH mokzaH // 52
   kecid vadanti susamadṛṣṭinipātalakṣaṇo mokṣaḥ ity	kecid vadanti su-sama-dRzwi-nipAta-lakzaNaH mokzaH iti-
   evaṃvidhabhāvanāśritalakṣaṇo mokṣo na bhavati // 53	evaMviDa-BAvanA-ASrita-lakzaNaH mokzaH na Bavati // 53
   atha mokṣapadaṃ kathyate yatra sahajasamādhikrameṇa manasā manaḥ	aTa mokza-padam kaTyate yatra sahaja-samADi-krameNa manasA manaH
   samālokyate sa eva mokṣaḥ // 54	samAlokyate saH eva mokzaH // 54
   kāmaviṣaharasthānaṃ mānasodbhavaḥ manomadhye kāraṇaṃ kāraṇāt	kAma-viza-hara-sTAnam mAnasa-udBavaH manaH-maDye kAraNam kAraNAt-
   utpattisthitipralayāḥ pravartante // 55	utpatti-sTiti-pralayAH pravartante // 55
   uktaṃ ca bhagavatā maheśvareṇa // 56	uktam ca BagavatA maheSvareNa // 56
   jīvanmuktipade devi cittaṃ bījanirañjanam // 57	jIvanmukti-pade devi cittam bIja-niraQjanam // 57
   mṛtyumārgasthito yogī jñātvā karma samabhyaset // 58	mRtyu-mArga-sTitaH yogI jQAtvA karma samaByaset // 58
   iti jīvanmuktipadam anena mārgeṇa sthiratvaṃ bhavati // 59	iti jIvanmukti-padam anena mArgeNa sTira-tvam Bavati // 59
   athādhāraṇakarmoditaśaṅkhinībhedavyavasthāvyākhyā gudameḍhrāntare	aTa-ADAraNa-karma-udita-SaFKinI-Beda-vyavasTA-vyAKyA guda-meXra-antare
   trikoṇatridhāvartabhagamaṇḍalam ucyate tatra ādhāragranthaya ekadvitrayaś	trikoNa-triDA-Avarta-Baga-maNxalam ucyate tatra ADAra-granTayaH eka-dvi-traya-H-
   ceti ekadvitrayāṇāṃ madhye granthīnām upāntare catuṣpatraṃ padmam	ca-iti eka-dvi-trayANAm maDye granTInAm upAntare catuzpatram padmam
   adhomukhaṃ tiṣṭhati tatra karṇikāmadhye mṛṇālasūtraparimāṇā śaṅkhāvartā	aDomuKam tizWati tatra karNikA-maDye mRNAla-sUtra-parimANA SaFKa-AvartA
   tatra pravālāṅkurasannibhā dvitrināḍībhūtā kuṇḍalinī śaktiḥ	tatra pravAla-aFkura-sanniBA dvi-tri-nAxIBUtA kuNxalinI SaktiH
   caitanyabījamukhaṃ gatvā suptā // 60	cEtanya-bIja-muKam gatvA suptA // 60
   tatra tripathamadhye tu sūkṣmībhūtā vyavasthitā // 61	tatra tripaTa-maDye tu sUkzmIBUtA vyavasTitAH // 61
   ūrṇātantunibhākārā gatā sā nābhimaṇḍalam // 62	UrNA-tantu-niBa-AkArA gatA sA nABi-maNxalam // 62
   caturaṅgulamānenāpy aṣṭadhā kuṭilākṛtiḥ // 63	catur-aFgula-mAnena-api azwaDA kuwila-AkRtiH // 63
   sphuritā nābhimadhye tu śākhāśākham anekadhā // 64	sPuritAH nABi-maDye tu SAKA-SAKam anekaDA // 64
   daśanāḍyāśritaṃ cakraṃ nābhimadhye prakīrtitam /	daSa-nAxI-ASritam cakram nABi-maDye prakIrtitam /
   iḍā ca piṅgalā caiva suṣumnā ca tṛtīyakā // 65	ixA ca piFgalA ca-eva suzumnA ca tRtIyakAH // 65
   ūrdhvamārgasthitā hy etā bṛhacchākhāvalambitāḥ // 66	UrDva-mArga-sTitAH hi etAH bRhat-SAKA-avalambitAH // 66
   jayanty alambusā caikā bṛhacchākhāvalambinī // 67	jayanti alambusA ca-ekA bRhat-SAKA-avalambinI // 67
   praṇītā sā hy anekais tu brahmāvartena saṃsthitā // 68	praNItA sA hi anekEH tu brahmAvartena saMsTitA // 68
