   // śrīḥ// 8 6 2001.	// SrIH// 8 6 2001.
   tarkatāṇḍavam	tarka tANxavam
   tvanmatenumānānaṅgatvācca/ na dvitīyaḥ/ sādhyasāhityasya vyabhicāriṇyapi	tvad matenu mAna anaFga tvAt ca/ na dvitIyaH/ sADya sAhityasya vyaBicAriNI api
   satvāt/ sādhyasāhityaniyamobhipretaścet niyamasya	satvAt/ sADya sAhitya niyama uBipretaH ced niyamasya
   nirūcyamānavyāptirūpatvenātmāśrayāt/	nirUcyamAna vyApti rUpa tvena Atma ASrayAt/
   nanu vyāpteḥ karma vyāpyamiti vyāpyasvarūpaṃ vyāptijñānādhīnajñānamiti kā	nanu vyApteH karma vyApyam iti vyApya svarUpam vyApti jQAna aDIna jQAnam iti kA
   vyāptiriti jijñāsāyāṃ paddhatyuktalakṣaṇamāha    avinābhāva iti//	vyAptiH iti jijQAsAyAm padDati ukta lakzaNam Aha   avinA aBAvaH iti//
   tatpariṣkartuṃ vyāptivādapūrvapakṣe maṇyādyukti2 diśākṣipati   nanviti/	tat parizkartum vyApti vAda pUrva pakze maNyAt i ukti2 diSAkzipati  nanu iti/
   naño vyatyāsenānvayamupetyādyaḥ kalpaḥ/ yathāśrutānvayamupetya dvitīyaḥ/	naQaH vyatyAsena anvayam upetya AdyaH kalpaH/ yaTASruta anvayam upetya dvitIyaH/
   phalitārthamāha   sādhyasāhityeneti// kevalānvayinīti// śabdobhidheyaḥ	Palita arTam Aha  sADya sAhityena iti// kevalAn vayinI iti// Sabda uBiDeyaH
   jñeyatvāt guṇatvāt ityadikelānvayisādhyakahetāvityarthaḥ// sādhyādīti//	jQeya tvAt guNa tvAt iti adikela anvayi sADyaka hetO= iti arTaH// sADyAdi iti//
   sādhyasādhanābhāvetyarthaḥ//	sADya sADana aBAva iti arTaH//
   siddhāntino mate sarvasya vyatirekitvādabhāvāprasiddhirnetyarūcerāha   	sidDAntinaH mate sarvasya vyatireki tvAt aBAva aprasidDiH na iti arUceH Aha   
   asyeti//	asya iti//
   sādhyena vinābhāva ityasya sādhyābhāve sādhanābhāve ityarthakatayā asya	sADyena vinA aBAvaH iti asya sADya aBAve sADana aBAve iti arTaka tayA asya
   vyatirekavyāptitvāt/ siddhānte 3 ca vyatirekavāde	vyatireka vyApti tva at/ sidDAnte 3 ca vyatireka vAde
   vakṣyamāṇadiśānumānānaṅgatvāccetyarthaḥ/ tvanmate   siddhāntino mate/	vakzyamANa diSA anumAna anaFga tvAt ca iti arTaH/ tvad mate  sidDAntinaH mate/
   "avinābhāvo vyāptiḥ sāhacaryaniyama iti yāvadi"ti paddhatyukterāha  	"avinA aBAvaH vyAptiH sAhacarya niyamaH iti yAvadi"ti padDati ukteH Aha  
   sādhyasāhityeti// ātmāśrayāt  	sADya sAhitya iti// Atma ASrayAt  
   jñaptāviti bhāvaḥ/	jQaptO= iti BAvaH/
   1.dhyādya  ga. 2. ktadi ṭa.ḍa. 3.ntināpya  ṭha.	1.Di Adya ga. 2. kta di wa.xa. 3.ntinApya  Wa.
   svate vyāni rūṇam) vyāptivādaḥ pu   5.	svate vyAni rUNam) vyAptivAdaH pu  5.
   adhodeśanadīpūrordhvadeśavṛṣṭyordeśataḥ kālato vā sāhityāsaṃbhavācca/	aDas deSa nadIpUra UrDva deSa vRzwyoH deSataH kAlataH vA sAhitya asaMBavAt ca/
   etena sāhacaryaniyamo vānopādhika 1 saṃbandho vā svābhāvikasaṃbandho vā	etena sAhacarya niyamaH vAnopADika 1 saMbanDaH vA svABAvika saMbanDaH vA
   sādhyābhāvavadavṛttitvaṃ vā vyāptiriti nirastam/ vyadhikaraṇayoḥ	sADya aBAva vat avRtti tvam vA vyAptiH iti nirastam/ vyaDikaraNayoH
   pūravṛṣṭyordeśataḥ kālato vā sāhacaryasya saṃbandhasya 2 cābhavāt/	pUra vRzwyoH deSataH kAlataH vA sAhacaryasya saMbanDasya 2 ca aBavAt /
   nadīpūrasya vṛṣṭirūpasādhyābhāvavadadhodeśavṛttitvācceti//	nadI pUrasya vRzwi rUpa sADya aBAva vat aDas deSa vRtti tvAt ca iti//
   ucyate/ yaddeśakālasaṃbaddhasya yasya yaddeśakālasaṃbaddhe yena	ucyate/ yad deSa kAla saMbadDasya yasya yad deSa kAla saMbadDe yena
   vinānupapattistasya tena sā vyāptiḥ/	vinA anupapattiH tasya tena sA vyAptiH/
   adhodeśanadīpūrordhvadeśavṛṣṭyoriti// tayorapi liṅgaliṅgibhāvadarśanāt	aDas deSa nadIpUra UrDva deSa vRzwyoH iti// tayoH api liFga liFgi BAva darSanAt
   bhinnadeśatvādbhinnakālatvācceti bhāvaḥ/ eteneti//	Binna deSa tvAt Binna kAla tvAt ca iti BAvaH/ etena iti//
   bhinnadeśakālavyāpyavyāpakabhāvāpannapūravṛṣṭisthalīyavyāptāvyāptatvenetyarthaḥ//	Binna deSa kAla vyApya vyApaka BAva Apanna pUra vRzwi sTalIyavyApta avyApta tvena iti arTaH//
   sāhacaryaniyama iti// pūrvamavinābhāva ityasyābhipretatvamupetya	sAhacarya niyamaH iti// pUrvam avinABAvaH iti asya aBipreta tvam upetya
   sāhityaniyamo dūṣito 'tra tu pṛthagvyā 3 ptilakṣaṇatvena sākṣādukta 4	sAhitya niyamaH dUzitaH atra tu pRTak vyA 3 pti lakzaNa tvena sAkzAt uktaH 4
   tvamupetya punarupanyāsa iti na punaruktidoṣaḥ//	tvam upetya punar upanyAsaH iti na punarukti dozaH//
   etenetyuktaṃ vyanakti    vyadhikaraṇayoriti//	etena iti uktam vyanakti   vyaDikaraNayoH iti//
   samānadeśakālabhinnadeśakālasarvavyāptaniṣṭhavyāptiṃ nirūpayati//	samAna deSa kAla Binna deSa kAla sarva vyApta nizWa vyAptim nirUpayati//
   yaddeśeti/ yena vineti// kevalānvayinyavyāptistūddhariṣyata iti bhāvaḥ/	yat deSa iti/ yena vinA iti// kevala anvayinI avyAptiH tu udDarizyate iti BAvaH/
   iyaṃ ca sarvasādhāraṇīti svayamevopapādiyiṣyati/ anupapattisvarūpaṃ	iyam ca sarva sADAraNI iti svayam eva upapAdiyizyati/ anupapatti svarUpam
   cānupapattiścāsaṃbhava ityādinā svayameva vakṣyati//	ca anupapattiH ca asaMBavaH ityAdinA svayam eva vakzyati//
   1.kaḥ sa ka. 2.vāsaṃ ka. cāsaṃbha ga.ṭa.rā. 3.ptala ṭha.	1.kaH sa ka. 2.vAsaM ka. ca asaMBa ga.wa.rA. 3.ptala Wa.
   4.dduṣṭatvamabhipretyapu ṭha.	4.dduzwa tvam aBipretya pu Wa.
   pu 6. nyāyadipayutatarkatāṇḍavam (tṛ.paricchedaḥ	pu 6. nyAya dipayuta tarka tANxavam (tR. paricCedaH
   anupapattervyāptitvaṃ ca   pramāṇalakṣaṇe	anupapatteH vyApti tvam ca  pramANa lakzaNe
   pariśeṣorthāpattiranumānamityaviśeṣa itya 1	pariSeza UrTApattiH anumAnam iti aviSezaH itya 1
   rthāpattirivānumānamapyāvaśyakānupapattyai gamakamityuktatvāt; upamānepi	rTApattiH iva anumAnam api AvaSyaka an upapattyE gamakam iti ukta tva at; upamAnepi
   na hi svasadṛṣenādṛśaṃ kva 2 cciddṛṣṭamityanena gavayaniṣṭhagosādṛśyasya	na hi sva sadRzena adRSam kva 2 ccit dRzwam iti anena gavaya nizWa gosAdRSyasya
   goniṣṭhagavayasādṛśyaṃ vinānupapatterevoktatvāt; paddhatau ca	gonizWa gavaya sAdRSyam vinA anupapatteH eva ukta tvAt; padDatO ca
   nirdeṣopapattiranumeti pramāṇalakṣaṇastho 3 papattiśabdo na	nirdeza upapattiH anumA iti pramANa lakzaNa sTaH 3 papatti SabdaH na
   paryāyāntaramātram kiṃ tu sādhye satyupapadyate anyathā tu ne 4	paryAya antara mAtram kim tu sADye sati upapadyate anyaTA tu ne 4
   tyupapattiriti bhāvenopapattirvyāpyamati vyākhyātatvāt;	tyupapattiH iti BAvena upapattiH vyApyam ati vyAKyAta tvAt;
   pramāṇalakṣaṇaṭīkāyāmapi jīvanavatve sati gṛhe asatvarūpe vyāpye	pramANa lakzaNawI kAyAm api jIvanava tve sati gRhe asatva rUpe vyApye
   anupapadyamānārthapramitirarthāpattirityanupapadyamānapadayogāt	anupapadyamAna arTa pramitiH arTApattiH iti anupapadyamAna pada yogAt 
   pariśeṣāderanumānatvānaṅgīkāre dhūmopyanupapatyā gamayannānumānaṃ syā 5	pariSeza AdeH anumAna tva anaFgIkAre DUma upi anupapatyA gamayat na anumAnam syAH 5
   diti coktatvāt;   	diti ca ukta tvAt;   
   anupapattervyāptitvaṃ ceti// bhāṣyakārādyabhipretamevetyanvayaḥ/	anupapatteH vyApti tvam ca iti// BAzya kAra Adi aBipretam eva iti anvayaH/
   aviśeṣaśabdārthaṃ ṭīkoktarītyāha    arthāpattirivetyādi// upamānepīti//	aviSeza Sabda arTam wIkA uktarIti Aha   arTApattiH iva ityAdi// upamAnepI iti//
   śabaropamānasyānumānāntararbhāvoktiprastāvepītyarthaḥ//	Sabara upamAnasya anumAna antararBAva ukti prastAvepi iti arTaH//
   paddhatāvupapattiryuktirliṅgavyāptamiti śabdāḥ/ paryāyā	padDatO= upapattiH yuktiH liFga vyAptam iti SabdAH/ paryAyA
   ityuktergranthāntarāvirodha ekobhiprāpaya uktaḥ/ abhiprāyāntaramapi	iti ukteH granTa antara aviroDaH ekoBiprApayaH uktaH/ aBiprAya antaram api
   prakṛtopayogāyāha   paddhato 6 ceti// pramāṇalakṣaṇākhyanthagatasya	prakRta upayogAya aha  padDataH 6 ca iti// pramANa lakzaNa AKyanTa gatasya
   nardeṣopapattiranupetyetadeva    	nardeza upapattiH anupetyetat eva    
   1.tyanenārthā  ga.ṭa.rā. 2.kiñciddṛ  ga.ka.rā.ṭa. 3.stha u  ga. sdhaṃ u	1.ti anena arTAH  ga.wa.rA. 2.kiQcid dR  ga.ka.rA.wa. 3.sTaH u  ga. sDam u
    rā. 4.neti bhāvena  ga.rā. 5.dityukta ga.rā.ṭa. 6.taive   ṭha.ḍa.	 rA. 4.nA iti BAvena  ga.rA. 5.diti ukta  ga.rA.wa. 6.tA eve  Wa.xa.
   svate vyāni rūṇam) vyāptivādaḥ pu   7.	svate vyAni rUNam) vyAptivAdaH pu  7.
   sudhāyāṃ ca"anumāyuktirevokte"tyanuvyākhyānasthayuktiśabdasya yujyata	suDAyAm ca"anum AyuktiH eva uktA i"ti anuvyAKyAna sTa yukti Sabdasya yujyata
   eveti	eva iti
   yuktiriti vyākhyātatvācca; bhāṣyakārādyabhipretameva//	yuktiH iti vyAKyAta tvAt ca; BAzya kAra Adi aBipretam eva//
   yattu    vimato gaurgavayasadṛśaḥ gavayagatasādṛśyapratiyogitvāditi	yat tu   vimataH gOH ga vaya sadRSaH gavaya gata sAdRSya pratiyogi tvAt iti
   pramāṇalakṣaṇaṭīkāyāṃ hetusādhyayoḥ sāmānādhikaraṇyasaṃpādanaṃ	pramANa lakzaNa wIkAyAm hetu sADyayoH sAmAnADikaraNya saMpAdanam
   tatparamatamāśritya/ ata eva tatraiva iti prayogasaṃbhavādityuktam/ ata	tat paramatamASritya/ atas eva tatra eva iti prayoga saMBavAt iti uktam/ ata
   eva 1 paddhatau ca asau gauretadgavayasadṛśaḥ asya gavayasya 2	eva 1 padDatO ca asO gOH etat gavaya sadRSaH asya gavayasya 2
   tadgosadṛśatvāditi vaiyidhikaraṇyenaiva prayuktam/ ata eva 3 sudhāyāṃ	tad go sadRSa tvAt iti vEyiDi karaNyena eva prayuktam/ atas eva 3 suDAyAm
     "rohiṇyudaya āsannaḥ kṛttikābhyuditāyata"ityanuvyākhyānokte	  "rohiNI udayaH AsannaH kRttikA aByudita Ayata"iti anuvyAKyAna ukte
   vyadhikaraṇaprayoge kālādipakṣīkāreṇaikādhikaraṇyamāśaṅkyaivaṃ	vyaDikaraNa prayoge kAla Adi pakzI kAreNa eka ADikaraNyam ASaFkya evam
   prayogavipariṇāma 4 pramāṇaṃ netyuktam//	prayoga vipariNAmaH 4 pramANam na iti uktam //
      paddhatāvapanyasya 5 vyāpyamiti vyākhyānātpramāṇalakṣaṇasthetyuktam/	  padDatO= apanyasya 5 vyApyam iti vyAKyAnAt pramANa lakzaNa sTA iti uktam/
   etacca mūlākārasammatametaditi jñāpanārtham/ nanvevaṃ śābarokta 6	etat ca mUla AkAra sammatam etat iti jQApana arTam/ nanu evam SAbara uktaH 6
   pramāṇāntarbhāvaprastāve gaurgavayasadṛśī gavayasya gosadṛśatvāditi	pramANa antarBAva prastAve gOH ga vaya sadRSI gavayasya go sadRSa tvAt iti
   prayoge vaiyadhikaraṇyamāśaṅkya sāmānādhaikaraṇyena prayogoktiḥ katham	prayoge vEyaDikaraNyam ASaFkya sAmAnADEkaraNyena prayoga uktiH kaTam
   tayā vyadhikaraṇasya gamakatā neti pratīterityata āha   yattviti//	tayA vyaDikaraNasya gamaka tA na iti pratIteH iti atas Aha  yat tu iti//
   ityanuvyākhyāne 7 ti// bhaktapādīyānuvyakhyānokteḥ 8 //	iti anuvyAKyAne 7 ti// Bakta pAdIya anuvyaKyAna ukteH 8 //
   1.vahipa  ga.rā. 2.syaita ga.rā. 3.vacasu ka.rā. 4.mepra ga.ṭa.rā.	1.vahipa ga.rA. 2.sya eta  ga.rA. 3.vacasu ka.rA. 4.mepra ga.wa.rA.
   5.tatrasthopapapattiśabdasya ityadhikam ṭha. 6.śābaropamānāntarbhā  ṭha.	5.tatrasTa upapapatti Sabdasya iti aDika m Wa. 6.SAbara upamAna antar BA  Wa.
   7. nokta iti   ṭa.ṭha. 8.kte ṭha.ḍa.	7. na uktaH iti   wa.Wa. 8.kte Wa.xa.
   pu    8. nyāyadīpayutatarkatāṇḍavam (tṛ.paricchedaḥ	pu   8. nyAya dIpa yuta tarka tANxavam (tR. paricCedaH
   anupapattiścā 1 ghaṭanaṃ pramāṇavirodha iti yāvat/ uktaṃ hi	anupapattiH cA 1 Gawanam pramANa viroDaH iti yAvat/ uktam hi
   pramāṇalakṣaṇaṭīkāyāṃ anupapattiścāsaṃbhava iti//	pramANa lakzaNa wIkAyAm anupapattiH ca asaMBavaH iti//
   yā tu    pareṇa vyāptyā gamakamanumānam anupapatyā	yA tu   pareNa vyAptyA gamakam anumAnam anupapatyA
   gamikārthāpattirityanumānārthāpatyorbhede śaṅkite taṃ prati ṭīkākārīyā,	gamikA arTa ApattiH iti anumAna arTa apatyoH Bede SaFkite tam prati wIkA kArIyA,
   kena cidvinā kasya cidanupapattirhi tayorvyāptiṃ vinā nopapadyata	kena cit vinA kasya cit anupapattiH hi tayoH vyAptim vinA na upapadyata
   ityanupapattivyāptyorbhedoktiḥ	iti anupapatti vyAptyoH Beda uktiH
   sānupapattiniyāmakordhvādharībhāvakāryakāraṇabhāvādyabhiprāyā,	sa anupapatti niyAmaka UrDva aDarIBAva kArya kAraNa BAva Adi aBiprAyA,
   niyatasāmānādhikaraṇyānaupādhikasaṃbandhādirūpaparābhimatavyāptyabhiprāyā	niyata sAmAnA aDikaraNyAnOpADika saMbanDa Adi rUpa para aBimata vyApti aBiprAyA
   veti na ṭīkāvirodhaḥ//	vA iti na wIkA viroDaH//
   iyameva ca vyāptiḥ sādhyena vinā sādhanasyābhāvo 'nupapattiriti	iyam eva ca vyAptiH sADyena vinA sADanasya aBAvaH anupapattiH iti
   bhāvenāvinābhāva iti sāhacaryaniyama iti cocyate/	BAvena AvinABAvaH iti sAhacarya niyamaH iti ca ucyate/
   evamanupapattervyāptitve saṃmatamuktvā tatsvarūpamidānīmāha  	evam anupapatteH vyApti tve saMmatam uktvA tad svarUpam idAnIm Aha  
   anupapattiśceti// yena vinā yasya sattā pramāṇaviruddhā sā tena tasya	anupapattiH ca iti// yena vinA yasya sattA pramANa virudDA sA tena tasya
   vyāptirityarthaḥ/ upapatteśca vyāptyapekṣā 2 sarvathāṅgīkāryeti	vyAptiH iti arTaH/ upapatteH ca vyApti apekzA 2 sarvaTA aFgIkAryA iti
   pramāṇalakṣaṇavākyaṭīkoktivirodhaṃ nirāha    yātviti// parābhimateti// na	pramANa lakzaNa vAkyawI kokti viroDam nirAha   yAtu iti// para aBimata iti// na
   tvanupapattirūpavyāptyabhiprāyetyarthaḥ/ nanvevamavinābhāvo vyāptiḥ/	tu anupapatti rUpa vyApti aBiprAya iti arTaH/ nanu evam avinA aBAvaH vyAptiH/
   sāhacaryaniyama iti yāvat iti paddhatyuktivirodha ityata āha   iyameveti//	sAhacarya niyamaH iti yAvat iti padDati ukti viroDaH iti atas Aha  iyam eva iti//
   nanvanupapattirvyāptiriti pakṣe vyāpyavyāpakavasthetyata āha    yasyeti//	nanu anupapattiH vyAptiH iti pakze vyApya vyApakavasTA iti atas Aha   yasya iti//
   1.ścāsaṃbhavaḥ ga.rā. 2.kṣeti prabhā  ṭha.ḍa.	1.H ca asaMBavaH  ga.rA. 2.kzA iti praBA  Wa.xa.
   svate vyāni rūpaṇam) vyāptivādaḥ pu   9.	svate  vyAni  rUpaNam) vyAptivAdaH pu  9.
   yasyānupapattiḥ sa vyāpyaḥ/ yena vinānupapattiḥ sa vyāpakaḥ//	yasya anupapattiH sa vyApyaH/ yena vinA anupapattiH sa vyApakaH//
   iyaṃ ca vyāptiḥ prasiddheṣu dhūmādyanumāneṣu adhodeśe 1 na	iyam ca vyAptiH prasidDezu DUma Adi anumAnezu aDas deSe 1 na
   dīpūrādyanumāneṣvarthāpatyādirūpānumāneṣu	dIpUra Adi anumAnezu arTa apatya Adi rUpa anumAnezu
   ātmāśrayānyonyāśrayacakrakānavasthāvyāghātā 2 pādakeṣu tarkeṣu	Atma ASraya anyoni ASraya cakrakAnavasTA vyAGAtAH 2 pAdakezu tarkezu
