   akṛtvā vapanaṃ teṣāṃ YS99v_56c	akRtvA vapanam tezAm YS99u-_56c
   kṛcchreṇa śuddhim āpnoti YS99v_14c	kRcCreNa SudDim Apnoti YS99u-_14c
   kṛmibhir vraṇasaṃbhūtair YS99v_62a	kRmiBiH vraNa-saMBUtEH YS99u-_62a
   kṛṣṇāyā goḥ śakṛt tathā YS99v_71b	kRzNAyAH goH SakRt taTA YS99u-_71b
   kecic caivāvakīrṇinaḥ YS99v_39d	kecid ca-eva-avakIrNinaH YS99u-_39d
   kecid brahmahaṇo vratam YS99v_39b	kecid brahma-haNaH vratam YS99u-_39b
   keśānāṃ rakṣaṇārthaṃ ca YS99v_57a	keSAnAm rakzaNa-arTam ca YS99u-_57a
   keśāṃś ca parirakṣayet YS99v_58b	keSAn ca parirakzayet YS99u-_58b
   kaivartamedabhillāś ca YS99v_33c	kEvarta-meda-BillAH ca YS99u-_33c
   kriyayā bheṣajena tu YS99v_52b	kriyayA Bezajena tu YS99u-_52b
   krodhād ajñānato vāpi YS99v_2c	kroDAt ajQAnataH vA-api YS99u-_2c
   gaṅgātoyeṣu tiṣṭhati YS99v_91b	gaFgA-toyezu tizWati YS99u-_91b
   gaṅgā toyeṣu yasyāsthi YS99v_90a	gaFgA toyezu yasya-asTi YS99u-_90a
   gatvaitāḥ praviśed agniṃ YS99v_35c	gatvA-etAH praviSet agnim YS99u-_35c
   garbhasaṃsravaṇe māse YS99v_76c	garBa-saMsravaNe mAse YS99u-_76c
   garbhasrāve viśudhyati YS99v_77b	garBasrAve viSuDyati YS99u-_77b
   garbhe retaḥ samanvite YS99v_44b	garBe retaH samanvite YS99u-_44b
   garbho 'pi saṃpated yadi YS99v_42b	garBaH api saMpatet yadi YS99u-_42b
   gavāṃ nipātane caiva YS99v_42a	gavAm nipAtane ca-eva YS99u-_42a
   gāyatryāḥ śodhanaṃ param YS99v_9d	gAyatryAH SoDanam param YS99u-_9d
   gurutalpavrataṃ kecit YS99v_39a	gurutalpavratam kecid YS99u-_39a
   gṛhṇantv etāñ jalāñjalīn YS99v_92d	gRhNantu etAn jala-aQjalIn YS99u-_92d
   goghnasya kecid icchanti YS99v_39c	go-Gnasya kecid icCanti YS99u-_39c
   godaṇḍaḥ parikīrtitaḥ YS99v_41d	godaNxaH parikIrtitaH YS99u-_41d
   gobrāhmaṇagṛhaṃ dagdhā YS99v_27a	go-brAhmaNa-gRham dagDA YS99u-_27a
   gomūtrayāvakāhāro YS99v_26c	go-mUtra-yAvaka-AhAraH YS99u-_26c
   gośṛṅgamāṭram uddhṛtya YS99v_93c	go-SRFga-mAwram udDRtya YS99u-_93c
   grahoparāge saṃkrāntau YS99v_83a	graha-uparAge saMkrAntO YS99u-_83a
   grāsaṃ vā yadi gṛhṇīyāt YS99v_47a	grAsam vA yadi gRhNIyAt YS99u-_47a
   caṇḍālapukkasānāṃ ca YS99v_28a	caNxAla-pukkasAnAm ca YS99u-_28a
   caṇḍālaśvapacaiḥ spṛṣṭe YS99v_64a	caNxAla-SvapacEH spRzwe YS99u-_64a
   caṇḍālaṃ patitaṃ spṛśet YS99v_2b	caNxAlam patitam spRSet YS99u-_2b
   caṇḍālānnaṃ kadācana YS99v_26b	caNxAla-annam kadAcana YS99u-_26b
   caṇḍālaiḥ śvapacaiḥ spṛṣṭo YS99v_10a	caNxAlEH SvapacEH spRzwaH YS99u-_10a
   caturthe pañcame caiva YS99v_88a	caturTe paQcame ca-eva YS99u-_88a
   caturthe 'hani rātriṣu YS99v_86b	caturTe ahani rAtrizu YS99u-_86b
   catvāro 'py aviśeṣataḥ YS99v_31b	catvAraH api aviSezatas YS99u-_31b
   cāndrāyaṇābhyāṃ śudhyeta YS99v_24c	cAndrAyaNAByAm SuDyeta YS99u-_24c
   cāndrāyaṇena śudhyanti YS99v_23c	cAndrAyaNena SuDyanti YS99u-_23c
   cchedayed aṅguladvayam YS99v_54b	cCedayet aFgula-dvayam YS99u-_54b
   jalamadhye jalaṃ kṣipet YS99v_93d	jala-maDye jalam kzipet YS99u-_93d
   jalādyudbandhanabhraṣṭāḥ YS99v_22a	jala-Adi-udbanDana-BrazwAH YS99u-_22a
   jale dadyāj jalāñjalīn YS99v_98b	jale dadyAt jala-aQjalIn YS99u-_98b
   jātena śudhyate jātaṃ YS99v_76a	jAtena SuDyate jAtam YS99u-_76a
   jīvato dviśataṃ damaḥ YS99v_20d	jIvataH dvi-Satam damaH YS99u-_20d
   juhuyāt sarpiṣāhutīḥ YS99v_6d	juhuyAt sarpizA-AhutIH YS99u-_6d
   taḍāgaṃ pūrtam ucyate YS99v_69b	taxAgam pUrtam ucyate YS99u-_69b
   tataḥ śuddhir vidhīyate YS99v_63d	tatas SudDiH viDIyate YS99u-_63d
   tat pāpaṃ śatadhā bhūtvā YS99v_60c	tat pApam SataDA BUtvA YS99u-_60c
   tat samaṃ sūtakaṃ yāti YS99v_85c	tat samam sUtakam yAti YS99u-_85c
   tathā piṇḍodake 'pi ca YS99v_85d	taTA piNxa-udake api ca YS99u-_85d
   tathā varṇottamām api YS99v_36b	taTA varNa-uttamAm api YS99u-_36b
   tadā tasya tu tat pāpaṃ YS99v_65c	tadA tasya tu tat pApam YS99u-_65c
   tannārīgāmināṃ tathā YS99v_29b	tad-nArI-gAminAm taTA YS99u-_29b
   taptakṛcchradvayena vā YS99v_23d	taptakRcCra-dvayena vA YS99u-_23d
   taptakṛcchraparikṣipto YS99v_30c	taptakRcCra-parikziptaH YS99u-_30c
   taptakṛcchraṃ tu pāṣāṇe YS99v_49c	taptakRcCram tu pAzANe YS99u-_49c
   tam eva parisarpati YS99v_60d	tam eva parisarpati YS99u-_60d
   tasmād apsu jalaṃ deyaṃ YS99v_95c	tasmAt apsu jalam deyam YS99u-_95c
   tasya vakṣyāmi niṣkṛtim YS99v_2d	tasya vakzyAmi nizkRtim YS99u-_2d
   tasya śaucaṃ vinirdiśet YS99v_4d	tasya SOcam vinirdiSet YS99u-_4d
   tasyāḥ piṇḍodakaṃ kriyāḥ YS99v_78d	tasyAH piNxa-udakam kriyAH YS99u-_78d
   tān dharmavighnakartṝṃś ca YS99v_59c	tAn Darma-viGna-kartLn ca YS99u-_59c
   tāmrāyāś ca payo grāhyaṃ YS99v_71c	tAmrAyAH ca payaH grAhyam YS99u-_71c
   tāmre vā mṛnmaye śubhe YS99v_74d	tAmre vA mRd-maye SuBe YS99u-_74d
   tāvadvarṣasahasrāṇi YS99v_91c	tAvat-varza-sahasrANi YS99u-_91c
   tṛtīye vā caturthake YS99v_87b	tRtIye vA caturTake YS99u-_87b
   tenaivocchiṣṭasaṃspṛṣṭaḥ YS99v_15c	tena-eva-ucCizwa-saMspRzwaH YS99u-_15c
   tailabhaiṣajyapāne ca YS99v_51a	tEla-BEzajya-pAne ca YS99u-_51a
   toyaṃ vāpi pibed yadi YS99v_47b	toyam vA-api pibet yadi YS99u-_47b
   tyajanto 'patitān bandhūn YS99v_19a	tyajantaH apatitAn banDUn YS99u-_19a
   tripāde tu śikhāvarjaṃ YS99v_53c	tri-pAde tu SiKA-varjam YS99u-_53c
   trirātraṃ tu prakurvīta YS99v_10c	tri-rAtram tu prakurvIta YS99u-_10c
   trirātreṇa viśuddhiḥ syād YS99v_11c	tri-rAtreNa viSudDiH syAt YS99u-_11c
   trirātreṇaiva śudhyati YS99v_8d	tri-rAtreNa-eva SuDyati YS99u-_8d
   trīṇy ahāni vinirdiśet YS99v_76d	trINi ahAni vinirdiSet YS99u-_76d
   dakṣiṇā dik tathaiva ca YS99v_94d	dakziNA diS taTA-eva ca YS99u-_94d
   daṇḍād ūrdhvaprahāreṇa YS99v_40a	daNxAt UrDva-prahAreNa YS99u-_40a
   daṇḍenābhihatas tathā YS99v_46b	daNxena-aBihataH taTA YS99u-_46b
   daṇḍyā uttamasāhasam YS99v_19b	daNxyAH uttamasAhasam YS99u-_19b
   daṇḍyā dvādaśakaṃ nārī YS99v_18c	daNxyA dvAdaSakam nArI YS99u-_18c
   daṇḍyās tat putramitrāṇi YS99v_21a	daNxyAH tat putra-mitrANi YS99u-_21a
   dattvā dhenuṃ tathā vṛṣam YS99v_24d	dattvA Denum taTA vRzam YS99u-_24d
   dadad gobrāhmaṇeṣu tu YS99v_50b	dadat go-brAhmaNezu tu YS99u-_50b
   dadyāt teṣāṃ ca dakṣiṇām YS99v_61d	dadyAt tezAm ca dakziNAm YS99u-_61d
   dadyād ekena pāṇinā YS99v_99b	dadyAt ekena pANinA YS99u-_99b
   daṣṭaḥ snātvā śuciḥ sadyo YS99v_25c	dazwaH snAtvA SuciH sadyas YS99u-_25c
   daṃpatī śayanaṃ gatau YS99v_17b	daMpatI Sayanam gatO YS99u-_17b
   dātā ca narakaṃ vrajet YS99v_58d	dAtA ca narakam vrajet YS99u-_58d
   divā saṃdhyāsu rātriṣu YS99v_25d	divA saMDyAsu rAtrizu YS99u-_25d
   divā sūryāṃśubhis taptaṃ YS99v_96a	divA sUrya-aMSuBiH taptam YS99u-_96a
   dīyamāne vipattiḥ syāt YS99v_50c	dIyamAne vipattiH syAt YS99u-_50c
   devatānāṃ pitṝṇāṃ ca YS99v_98a	devatAnAm pitLNAm ca YS99u-_98a
   devatāyatanāni ca YS99v_70b	devatAyatanAni ca YS99u-_70b
   devadroṇyas tathaiva ca YS99v_69d	deva-droNyaH taTA-eva ca YS99u-_69d
   daurātmyād aprakurvatī YS99v_18b	dOrAtmyAt aprakurvatI YS99u-_18b
   dviguṇaṃ go vrataṃ tasya YS99v_40c	dviguNam gaH vratam tasya YS99u-_40c
   dviguṇaṃ cen na dattaṃ ca YS99v_58a	dviguNam ced na dattam ca YS99u-_58a
   dviguṇaṃ vratam ādiśet YS99v_57b	dviguNam vratam AdiSet YS99u-_57b
   dviguṇe tu vrate cīrṇe YS99v_57c	dviguNe tu vrate cIrNe YS99u-_57c
   dviguṇaiva tu dakṣiṇā YS99v_57d	dviguNA-eva tu dakziNA YS99u-_57d
   dvitīye nāsti doṣas tu YS99v_75c	dvitIye na-asti dozaH tu YS99u-_75c
   dvitīye samupasthite YS99v_75b	dvitIye samupasTite YS99u-_75b
   dvi pāde śmaśrukevalam YS99v_53b	dvi pAde SmaSru-kevalam YS99u-_53b
   dve pituḥ piṇḍadānaṃ syāt YS99v_79a	dve pituH piNxa-dAnam syAt YS99u-_79a
   dvau pādau gātrasaṃbhave YS99v_43b	dvO pAdO gAtra-saMBave YS99u-_43b
   na gacchantīm anuvrajet YS99v_55d	na gacCantIm anuvrajet YS99u-_55d
   na grāhyāḥ sapta mṛttikāḥ YS99v_67d	na grAhyAH sapta mRttikAH YS99u-_67d
   na ca goṣṭhe nivāsaṃ ca YS99v_55c	na ca gozWe nivAsam ca YS99u-_55c
   na ca vīrāsanaṃ tathā YS99v_55b	na ca vIrAsanam taTA YS99u-_55b
   na cet tān pīḍayed rājā YS99v_60a	na ced tAn pIxayet rAjA YS99u-_60a
   naṭo buruḍa eva ca YS99v_33b	nawaH buruxaH eva ca YS99u-_33b
   na tasya punar āvṛttir YS99v_90c	na tasya punar AvRttiH YS99u-_90c
   na tu mātā kadācana YS99v_19d	na tu mAtA kadAcana YS99u-_19d
   na doṣo rodha bandhayoḥ YS99v_52d	na dozaH roDa banDayoH YS99u-_52d
   na vaset tatra rātrau tu YS99v_64c	na vaset tatra rAtrO tu YS99u-_64c
   navaite pratyavasitāḥ YS99v_23a	navA-ete pratyavasitAH YS99u-_23a
   na striyā vapanaṃ kāryaṃ YS99v_55a	na striyAH vapanam kAryam YS99u-_55a
   nānyā śuddhir vidhīyate YS99v_35d	na-anyA SudDiH viDIyate YS99u-_35d
   nābhimātre jale sthitvā YS99v_92a	nABi-mAtre jale sTitvA YS99u-_92a
   nigiranyadi meheta YS99v_6a	nigiranyadi meheta YS99u-_6a
   nityaṃ naimittikaṃ kāmyaṃ YS99v_82a	nityam nEmittikam kAmyam YS99u-_82a
   nimittī naiva lipyate YS99v_45d	nimittI na-eva lipyate YS99u-_45d
   nirāhārā śucis tiṣṭhet YS99v_12c	nirAhArA SuciH tizWet YS99u-_12c
   nirvapet trīn naraḥ piṇḍān YS99v_83c	nirvapet trIn naraH piNxAn YS99u-_83c
   niśi snānaṃ vidhīyate YS99v_64b	niSi snAnam viDIyate YS99u-_64b
   niḥśalyakaraṇe caiva YS99v_51c	niHSalya-karaNe ca-eva YS99u-_51c
   pañcagavyena śudhyati YS99v_3d	paQcagavyena SuDyati YS99u-_3d
   pañcagavyena śudhyati YS99v_5d	paQcagavyena SuDyati YS99u-_5d
   pañcarātraṃ kuśodakam YS99v_38d	paQca-rAtram kuSa-udakam YS99u-_38d
   patitāny uddhared yas tu YS99v_70c	patitAni udDaret yaH tu YS99u-_70c
   paradāreṣu sarveṣu YS99v_37c	para-dArezu sarvezu YS99u-_37c
   parvotsavamahālaye YS99v_83b	parva-utsava-mahA-Alaye YS99u-_83b
   pavitraṃ sarvadā jalam YS99v_96d	pavitram sarvadA jalam YS99u-_96d
   pavitraṃ sarvadā jalam YS99v_97d	pavitram sarvadA jalam YS99u-_97d
   paścād apa upaspṛśet YS99v_5b	paScAt apaH upaspRSet YS99u-_5b
   pāṇigrahaṇamantrābhyāṃ YS99v_84c	pANigrahaNa-mantrAByAm YS99u-_84c
   pādam utpannamātre tu YS99v_43a	pAdam utpanna-mAtre tu YS99u-_43a
   pāde caivāsya romāṇi YS99v_53a	pAde ca-eva-asya romANi YS99u-_53a
   pādonaṃ kṛcchram ācaṣṭe YS99v_43c	pAda-Unam kRcCram Acazwe YS99u-_43c
   pāpaṃ na kṣīyate hantur YS99v_58c	pApam na kzIyate hantuH YS99u-_58c
   pārvaṇaṃ ceti vijñeyaṃ YS99v_82c	pArvaNam ca-iti vijQeyam YS99u-_82c
   pālāśe madhyame parṇe YS99v_74a	pAlASe maDyame parNe YS99u-_74a
   pāśāṃś chittvā tathā tasya YS99v_27c	pASAn CittvA taTA tasya YS99u-_27c
   pāṣāṇe vā gavāṃ rujā YS99v_45b	pAzANe vA gavAm rujA YS99u-_45b
   piṇḍam ekaṃ tu nirvapet YS99v_81d	piNxam ekam tu nirvapet YS99u-_81d
   piṇḍe gotre ca sūtake YS99v_84b	piNxe gotre ca sUtake YS99u-_84b
   piṇḍe gotre ca sūtake YS99v_86d	piNxe gotre ca sUtake YS99u-_86d
   piṇḍe piṇḍe dvināmatā YS99v_79b	piNxe piNxe dvi-nAma-tA YS99u-_79b
   pitāmahy api svenaiva YS99v_80c	pitAmahI api svena-eva YS99u-_80c
   pitā hi patitaḥ kāmaṃ YS99v_19c	pitA hi patitaH kAmam YS99u-_19c
   pitṝṇāṃ sthānam ākāśaṃ YS99v_94c	pitLNAm sTAnam AkASam YS99u-_94c
   pitṝṇāṃ hitam icchatā YS99v_95d	pitLNAm hitam icCatA YS99u-_95d
   pibet puṣkaraparṇe vā YS99v_74c	pibet puzkaraparNe vA YS99u-_74c
   pītvāpaḥ pratigṛhya ca YS99v_34b	pItvA-apaH pratigRhya ca YS99u-_34b
   pītvā sakṛt sutaptaṃ ca YS99v_38c	pItvA sakRt su-taptam ca YS99u-_38c
   pūrayitvā jalena ca YS99v_93b	pUrayitvA jalena ca YS99u-_93b
   pūrte mokṣaṃ samaśnute YS99v_68d	pUrte mokzam samaSnute YS99u-_68d
   pūrvavyādhipranaṣṭānāṃ YS99v_47c	pUrva-vyADi-pranazwAnAm YS99u-_47c
   pūrvaṃ kṛtvā dvijaḥ śaucaṃ YS99v_5a	pUrvam kRtvA dvijaH SOcam YS99u-_5a
   praṇavena tu saṃpibet YS99v_73d	praNavena tu saMpibet YS99u-_73d
   praṇavena samāloḍya YS99v_73c	praNavena samAloxya YS99u-_73c
   pratyekaṃ paṇikaṃ damam YS99v_21b	pratyekam paNikam damam YS99u-_21b
   prathamenaiva śudhyati YS99v_75d	praTamena-eva SuDyati YS99u-_75d
   prathame 'hni dvitīye vā YS99v_87a	praTame ahni dvitIye vA YS99u-_87a
   pravrajyānāśakacyutāḥ YS99v_22b	pravrajyA-anASaka-cyutAH YS99u-_22b
   prājāpatyaṃ tu loṣṭake YS99v_49b	prAjApatyam tu lozwake YS99u-_49b
   prājāpatyaṃ samācaret YS99v_15d	prAjApatyam samAcaret YS99u-_15d
   prābravīd ṛṣibhiḥ pṛṣṭo YS99v_1c	prAbravIt RziBiH pRzwaH YS99u-_1c
   prāyaścittaṃ kathaṃ tatra YS99v_48c	prAyaScittam kaTam tatra YS99u-_48c
   prāyaścittaṃ ca kṛtvā vai YS99v_63a	prAyaScittam ca kRtvA vE YS99u-_63a
   prāyaścittaṃ tataḥ kuryur YS99v_21c	prAyaScittam tatas kuryuH YS99u-_21c
   prāyaścittaṃ na vidyate YS99v_47d	prAyaScittam na vidyate YS99u-_47d
   prāyaścittaṃ na vidyate YS99v_50d	prAyaScittam na vidyate YS99u-_50d
   prāyaścittaṃ na vidyate YS99v_51d	prAyaScittam na vidyate YS99u-_51d
   prāyaścittaṃ vadanti ye YS99v_59b	prAyaScittam vadanti ye YS99u-_59b
   prāyaścittaṃ vinirdiśet YS99v_40d	prAyaScittam vinirdiSet YS99u-_40d
   prāyaścittaṃ vinirdiśet YS99v_56d	prAyaScittam vinirdiSet YS99u-_56d
   prāyaścitte tataś cīrṇe YS99v_61a	prAyaScitte tatas cIrNe YS99u-_61a
   plavate śubhakarmaṇaḥ YS99v_90b	plavate SuBa-karmaNaH YS99u-_90b
   bandhane rodhane caiva YS99v_45a	banDane roDane ca-eva YS99u-_45a
   bandhubhir hitabuddhibhiḥ YS99v_87d	banDuBiH hita-budDiBiH YS99u-_87d
   bāhumātrapramāṇakaḥ YS99v_41b	bAhu-mAtra-pramANakaH YS99u-_41b
   brahmakūrcena copari YS99v_13d	brahmakUrcena ca-upari YS99u-_13d
   brahmalokāt kathañcana YS99v_90d	brahma-lokAt kaTaQcana YS99u-_90d
   brāhmaṇena prayatnataḥ YS99v_68b	brAhmaNena prayatnataH YS99u-_68b
   brāhmaṇo vā bahuśrutaḥ YS99v_56b	brAhmaNaH vA bahu-SrutaH YS99u-_56b
   bhakṣayitvā tu tad grāsam YS99v_8a	BakzayitvA tu tat grAsam YS99u-_8a
   bhartuḥ śarīraṃ śuśrūṣāṃ YS99v_18a	BartuH SarIram SuSrUzAm YS99u-_18a
   bhāṇḍasthaṃ dharaṇīsthaṃ vā YS99v_97c	BANxa-sTam DaraNI-sTam vA YS99u-_97c
   bhāṇḍe tāmramaye tathā YS99v_74b	BANxe tAmra-maye taTA YS99u-_74b
   bhuktvā gatvā ca yoṣitam YS99v_28b	BuktvA gatvA ca yozitam YS99u-_28b
   bhuktvā caiṣāṃ striyo gatvā YS99v_34a	BuktvA ca-ezAm striyaH gatvA YS99u-_34a
   bhuktvā vā mehane kṛte YS99v_6b	BuktvA vA mehane kRte YS99u-_6b
   bhuktvocchiṣṭaḥ ṣaḍ ācaret YS99v_10d	BuktvA-ucCizwaH zaw Acaret YS99u-_10d
   bhuñjānasya tu viprasya YS99v_4a	BuQjAnasya tu viprasya YS99u-_4a
   bhūmau nidhāya tad grāsaṃ YS99v_7c	BUmO niDAya tat grAsam YS99u-_7c
   bheṣajānāṃ ca bhakṣaṇe YS99v_51b	BezajAnAm ca BakzaNe YS99u-_51b
   bhojayitvā dvijottamān YS99v_63b	BojayitvA dvijottamAn YS99u-_63b
   makṣikābhiś ca pātitaiḥ YS99v_62b	makzikABiH ca pAtitEH YS99u-_62b
   madyagomāṃsabhaksaṇe YS99v_30b	madya-go-mAMsa-BaksaNe YS99u-_30b
   mahāpātakakartāraś YS99v_31a	mahApAtaka-kartAraH YS99u-_31a
   mahāpātakanāśanam YS99v_72b	mahApAtaka-nASanam YS99u-_72b
   mātaraṃ gurupatnīṃ ca YS99v_35a	mAtaram guru-patnIm ca YS99u-_35a
