   Pariccheda 2	Pari=-CedaH 2
   [- anyo'nyopamā]	[ anyaH-anya-upamA]
   tavānanam ivāmbhojam ambojam iva te mukham /	tava-Ananam iva-amBojam ambojam iva te muKam /
   ity anyo'nyopamā sāyam anyo'nyotkarṣaśaṃsinī // 2.18 //	iti anyaH-anya-upamA sAyam anyaH-anya-utkarza-SaMsinI // 2.18 //
   [- niyamopamā]	[ niyama-upamA]
   tvanmukhaṃ kamalenaiva tulyaṃ nānyena kenacit /	tvad-muKam kamalena-eva tulyam na-anyena kenacid /
   ity anyasāmyavyāvṛtter iyaṃ sā niyamopamā // 2.19 //	iti anya-sAmya-vyAvRtteH iyam sA niyama-upamA // 2.19 //
   [- aniyamopamā]	[ aniyama-upamA]
   padmaṃ tāvat tavānveti mukham anyac ca tādṛśam /	padmam tAvat tava-anveti muKam anyat ca tAdRSam /
   asti ced astu tatkārīty asāv aniyamopamā // 2.20 //	asti ced astu tad-kArI-iti asO aniyama-upamA // 2.20 //
   [- samuccayopamā]	[ samuccaya-upamA]
   samuccayopamāpy asti na kāntyaiva mukhaṃ tava /	samuccaya-upamA-api asti na kAntyA-eva muKam tava /
   hlādanākhyena cānveti karmaṇendum itīdṛśī // 2.21 //	hlAdana-AKyena ca-anveti karmaNA-indum iti-IdRSI // 2.21 //
   [- atiśayopamā]	[ atiSaya-upamA]
   tvayy eva tvanmukhaṃ dṛṣṭaṃ dṛśyate divi candramāḥ /	tvayi eva tvad-muKam dRzwam dRSyate divi candramAH /
   iyaty eva bhidā nānyety asāv atiśayopamā // 2.22 //	iyatI eva BidA na-anyA-iti asO atiSaya-upamA // 2.22 //
   [- utprekṣitopamā]	[ utprekzita-upamA]
   mayy evāsyā mukhaśrīr ity alam indor vikatthanaiḥ /	mayi eva-asyAH muKa-SrIH iti alam indoH vikatTanEH /
   padme 'pi sā yad asty evety asāv utprekṣitopamā // 2.23 //	padme api sA yat asti eva-iti asO utprekzita-upamA // 2.23 //
   [- adbhutopamā]	[ adButa-upamA]
   yadi kiṃcid bhavet padmaṃ subhru vibhrāntalocanam /	yadi kiMcid Bavet padmam suBru viBrAnta-locanam /
   tat te mukhaśriyaṃ dhattām ity asāv adbhutopamā // 2.24 //	tat te muKa-Sriyam DattAm iti asO adButa-upamAH // 2.24 //
   [- mohopamā]	[ moha-upamA]
   śaśīty utprekṣya tanvaṅgi tvanmukhaṃ tvanmukhāśayā /	SaSI-iti utprekzya tanvaFgi tvad-muKam tvad-muKa-ASayAH /
   indum apy anudhāvāmīty eṣā mohopamā smṛtā // 2.25 //	indum api anuDAvAmi-iti ezA moha-upamA smRtAH // 2.25 //
   [- saṃśayopamā]	[ saMSaya-upamA]
   kiṃ padmam antarbhrāntāli kiṃ te lolekṣaṇaṃ mukham /	kim padmam antar-BrAnta-Ali kim te lola-IkzaNam muKam /
   mama dolāyate cittam itīyaṃ saṃśayopamā // 2.26 //	mama dolAyate cittam iti-iyam saMSaya-upamA // 2.26 //
   [- nirṇayopamā]	[ nirNaya-upamA]
   na padmasyendunigrāhyasy- endulajjākarī dyutiḥ /	na padmasya-indu-nigrAhyasy endu-lajjA-karI dyutiH /
   atas tvanmukham evedam ity asau nirṇayopamā // 2.27 //	atas tvad-muKam eva-idam iti asO nirNaya-upamA // 2.27 //
   [- śleṣopamā]	[ Sleza-upamA]
   śiśirāṃśupratispardhi śrīmat surabhigandhi ca /	SiSirAMSu-pratisparDi SrImat suraBi-ganDi ca /
   ambhojam iva te vaktram iti śleṣopamā smṛtā // 2.28 //	amBojam iva te vaktram iti Sleza-upamA smRtAH // 2.28 //
   [- samānopamā]	[ samAna-upamA]
   sarūpaśabdavācyatvāt sā samānopamā yathā /	sarUpa-Sabda-vAcya-tvAt sA samAna-upamA yaTA /
   bālevodyānamāleyaṃ sā(1)la()kā(3)nanaśobhinī // 2.29 //	bAlA-iva-udyAna-mAlA-iyam sa-a(1)la()-kA(3)nana-SoBinI // 2.29 //
   [- nindopamā]	[ nindA-upamA]
   padmaṃ bahurajaś candraḥ kṣayī tābhyāṃ tavānanam /	padmam bahu-rajaH candraH kzayI tAByAm tava-Ananam /
   samānam api sotsekam iti nindopamā smṛtā // 2.30 //	samAnam api sa-utsekam iti nindA-upamA smRtAH // 2.30 //
   [- praśaṃsopamā]	[ praSaMsA-upamA]
   brahmaṇo 'py udbhavaḥ padmaṃ candraḥ śaṃbhuśirodhṛtaḥ /	brahmaNaH api udBavaH padmam candraH SaMBu-SiraH-DRtaH /
   tau tulyau tvanmukheneti sā praśaṃsopamocyate // 2.31 //	tO tulyO tvad-muKena-iti sA praSaMsA-upamA-ucyate // 2.31 //
   [- ācikhyāsopamā]	[ AciKyAsa-upamA]
   candreṇa tvanmukhaṃ tulyam ity ācikhyāsu me manaḥ /	candreNa tvad-muKam tulyam iti AciKyAsu me manaH /
   sa guṇo vāstu doṣo vety ācikhyāsopamāṃ viduḥ // 2.32 //	sa guNaH vA-astu dozaH vA-iti AciKyAsa-upamAm viduH // 2.32 //
   [- virodhopamā]	[ viroDa-upamA]
   śatapattraṃ śaraccandras tvadānanam iti trayam /	Satapattram Sarad-candraH tvad-Ananam iti trayam /
   parasparavirodhīti sā virodhopamā matā // 2.33 //	paraspara-viroDI-iti sA viroDa-upamA matA // 2.33 //
   [- pratiṣedhopamā]	[ pratizeDa-upamA]
   na jātu śaktir indos te mukhena pratigarjitum /	na jAtu SaktiH indoH te muKena pratigarjitum /
   kalaṅkino jaḍasyeti pratiṣedhopamaiva sā // 2.34 //	kalaFkinaH jaxasya-iti pratizeDa-upamA-eva sA // 2.34 //
   [- caṭūpamā]	[ cawUpamA]
   mṛgekṣaṇāṅkaṃ te vaktram mṛgeṇaivāṅkitaḥ śaśī /	mRga-IkzaNa-aFkam te vaktram mRgeNa-eva-aFkitaH SaSI /
   tathāpi sama evāsau notkarṣīti caṭūpamā // 2.35 //	taTA-api samaH eva-asO na-utkarzI-iti cawUpamA // 2.35 //
   [- tattvākhyānopamā]	[ tattva-AKyAna-upamA]
   na padmaṃ mukham evedaṃ na bhṛṅgau cakṣuṣī ime /	na padmam muKam eva-idam na BRFgO cakzuzI ime /
   iti vispaṣṭasādṛśyāt tattvākhyānopamaiva sā // 2.36 //	iti vispazwa-sAdRSyAt tattva-AKyAna-upamA-eva sA // 2.36 //
   [- asādhāraṇopamā]	[ asADAraNa-upamA]
   candrāravindayoḥ kāntim atikramya mukhaṃ tava /	candra-aravindayoH kAntim atikramya muKam tava /
   ātmanaivābhavat tulyam ity asādhāraṇopamā // 2.37 //	AtmanA-eva-aBavat tulyam iti asADAraNa-upamA // 2.37 //
   [- abhūtopamā]	[ aBUta-upamA]
   sarvapadmaprabhāsāraḥ samāhṛta iva kvacit /	sarva-padma-praBA-sAraH samAhRtaH iva kvacid /
   tvadānanaṃ vibhātīti tām abhūtopamāṃ viduḥ // 2.38 //	tvad-Ananam viBAti-iti tAm aBUta-upamAm viduH // 2.38 //
   [- asaṃbhāvitopamā]	[ asaMBAvita-upamA]
   candrabimbād iva viṣaṃ candanād iva pāvakaḥ /	candra-bimbAt iva vizam candanAt iva pAvakaH /
   paruṣā vāg ito vaktrād ity asaṃbhāvitopamā // 2.39 //	paruzA vAc itas vaktrAt iti asaMBAvita-upamA // 2.39 //
   [- bahūpamā]	[ bahu-upamA]
   candanodakacandrāṃśu- candrakāntādiśītalaḥ /	candana-udaka-candra-aMSu candrakAnta-Adi-SItalaH /
   sparśas tavety atiśayaṃ bodhayantī bahūpamā // 2.40 //	sparSaH tava-iti atiSayam boDayantI bahu-upamA // 2.40 //
   [- vikriyopamā]	[ vikriyA-upamA]
   candrabimbād ivotkīrṇaṃ padmagarbhād ivoddhṛtam /	candra-bimbAt iva-utkIrNam padma-garBAt iva-udDRtam /
   tava tanvaṅgi vadanam ity asau vikriyopamā // 2.41 //	tava tanvaFgi vadanam iti asO vikriyA-upamA // 2.41 //
   [- mālopamā]	[ mAlA-upamA]
   pūṣṇy ātapa ivāhnīva pūṣā vyomnīva vāsaraḥ /	pUzNi AtapaH iva-ahni-iva pUzA vyomni-iva vAsaraH /
   vikramas tvayy adhāl lakṣmīm iti mālopamā matā // 2.42 //	vikramaH tvayi aDAt lakzmIm iti mAlA-upamA matA // 2.42 //
   [- vākyārthopamā; zwei Arten]	[ vAkya-arTa-upamA; zwei Arten]
   vākyārtheṇaiva vākyārthaḥ ko 'pi yady upamīyate /	vAkya-arTeNa-eva vAkya-arTaH kaH api yadi upamIyate /
   ekānekevaśabdatvāt sā vākyārthopamā dvidhā // 2.43 //	eka-anekA-iva-Sabda-tvAt sA vAkya-arTa-upamAH dviDA // 2.43 //
   [- (1.) vākyārthopamā mit einem iva]	[ (1.) vAkya-arTa-upamA mid einem iva]
   tvadānanam adhīrākṣam āvirdaśanadīdhiti /	tvad-Ananam aDIra-akzam Avis-daSana-dIDiti /
   bhramadbhṛṅgam ivālakṣya- kesaraṃ bhāti paṅkajam // 2.44 //	Bramat-BRFgam iva-Alakzya kesaram BAti paFkajam // 2.44 //
   [- (2.) vākyārthopamā mit mehreren iva]	[ (2.) vAkya-arTa-upamA mid mehreret iva]
   nalinyā iva tanvaṅgyās tasyāḥ padmam ivānanam /	nalinyAH iva tanvaFgyAH tasyAH padmam iva-Ananam /
   mayā madhuvrateneva pāyaṃ pāyam aramyata // 2.45 //	mayA maDuvratena-iva pAyam pAyam aramyate // 2.45 //
   [- prativastūpamā]	[ prativastu-upamA]
   vastu kiṃcid upanyasya nyasanāt tatsadharmaṇaḥ /	vastu kiMcid upanyasya nyasanAt tad-saDarmaNaH /
   sāmyapratītir astīti prativastūpamā yathā // 2.46 //	sAmya-pratItiH asti-iti prativastU-pamA yaTA // 2.46 //
   naiko 'pi tvādṛśo 'dyāpi jāyamāneṣu rājasu /	na-ekaH api tvAdRSaH adya-api jAyamAnezu rAjasu /
   nanu dvitīyo nāsty eva pārijātasya pādapaḥ // 2.47 //	nanu dvitIyaH na-asti eva pArijAtasya pAdapaH // 2.47 //
   [- tulyayogopamā]	[ tulya-yoga-upamA]
   adhikena samīkṛtya hīnam ekakriyāvidhau /	aDikena samIkRtya hInam eka-kriyA-viDO /
   yad bruvanti smṛtā seyaṃ tulyayogopamā yathā // 2.48 //	yat bruvanti smRtA sA-iyam tulya-yoga-upamA yaTA // 2.48 //
   divo jāgarti rakṣāyai pulomārir bhuvo bhavān /	divaH jAgarti rakzAyE pulomAriH BuvaH BavAn /
   asurās tena hanyante sāvalepās tvayā nṛpāḥ // 2.49 //	asurAH tena hanyante sa-avalepAH tvayA nRpAH // 2.49 //
   [- hetūpamā]	[ hetu-upamA]
   kāntyā candramasaṃ dhāmnā sūryaṃ dhairyeṇa cārṇavam /	kAntyA candramasam DAmnA sUryam DEryeNa ca-arNavam /
   rājann anukaroṣīti saiṣā hetūpamā matā // 2.50 //	rAjan anukarozi-iti sA-ezA hetu-upamA matA // 2.50 //
   na liṅgavacane bhinne na hīnādhikatāpi vā /	na liFga-vacane Binne na hIna-aDika-tA-api vA /
   upamādūṣanāyālaṃ yatrodvego na dhīmatām // 2.51 //	upamA-dUzanAya-alam yatra-udvegaH na DImatAm // 2.51 //
   strīva gacchati ṣaṇḍho 'yaṃ vakty eṣā strī pumān iva /	strI-iva gacCati zaNXaH ayam vakti ezA strI pumAn iva /
   prāṇā iva priyo 'yam me vidyā dhanam ivārjitam // 2.52 //	prANAH iva priyaH ayam me vidyA Danam iva-arjitam // 2.52 //
   bhavān iva mahīpāla devarājo virājate /	BavAn iva mahIpAla devarAjaH virAjate /
   alam aṃśumataḥ kakṣām āroḍhuṃ tejasā nṛpaḥ // 2.53 //	alam aMSumataH kakzAm AroXum tejasA nRpaH // 2.53 //
   ity evam ādau saubhāgyaṃ na jahāty eva jātucit /	iti evam AdO sOBAgyam na jahAti eva jAtucit /
   asty eva kvacid udvegaḥ prayoge vāgvidāṃ yathā // 2.54 //	asti eva kvacid udvegaH prayoge vAc-vidAm yaTA // 2.54 //
   haṃsīva dhavalaś candraḥ sarāṃsīvāmalaṃ nabhaḥ /	haMsI-iva DavalaH candraH sarAMsi-iva-amalam naBaH /
   bhartṛbhakto bhaṭaḥ śveva khadyoto bhāti bhānuvat // 2.55 //	BartR-BaktaH BawaH SvA-iva KadyotaH BAti BAnu-vat // 2.55 //
   īdṛśaṃ varjyate sadbhiḥ kāraṇaṃ tatra cintyatām /	IdRSam varjyate sadBiH kAraNam tatra cintyatAm /
   guṇadoṣavicārāya svayam eva manīṣibhiḥ // 2.56 //	guNa-doza-vicArAya svayam eva manIziBiH // 2.56 //
   ivavadvāyathāśabdāḥ samānanibhasaṃnibhāḥ /	iva-vat-vA-yaTA-SabdAH samAna-niBa-saMniBAH /
   tulyasaṃkāśanikāśa- prakāśapratirūpakāḥ // 2.57 //	tulya-saMkASa-nikASa prakASa-pratirUpakAH // 2.57 //
   pratipakṣapratidvaṃdvi- pratyanīkavirodhinaḥ /	pratipakza-pratidvaMdvi pratyanIka-viroDinaH /
   sadṛksadṛśasaṃvādi- sajātīyānuvādinaḥ // 2.58 //	sadRS-sadRSa-saMvAdi sajAtIya-anuvAdinaH // 2.58 //
   pratibimbapraticchanda- sarūpasamasaṃmitāḥ /	pratibimba-praticCanda sarUpa-sama-saMmitAH /
   salakṣaṇasadṛkṣābha- sapakṣopamitopamāḥ // 2.59 //	sa-lakzaNa-sadRkza-ABa sa-pakza-upamita-upamAH // 2.59 //
   kalpadeśīyadeśyādiḥ prakhyapratinidhī api /	kalpa-deSIya-deSya-AdiH praKya-pratiniDI api /
   savarṇatulatau śabdau ye cānyūnārthavādinaḥ // 2.60 //	savarNa-tulatO SabdO ye ca-anyUna-arTa-vAdinaH // 2.60 //
   samāsaś ca bahuvrīhiḥ śaśāṅkavadanādiṣu /	samAsaH ca bahuvrIhiH SaSAFka-vadana-Adizu /
   spardhate jayati dveṣṭi druhyati pratigarjati // 2.61 //	sparDate jayati dvezwi druhyati pratigarjati // 2.61 //
   ākrośaty avajānāti kadarthayati nindati /	AkroSati avajAnAti kadarTayati nindati /
   viḍambayati saṃdhatte hasatīrṣyaty asūyati // 2.62 //	vixambayati saMDatte hasati-Irzyati asUyati // 2.62 //
   tasya muṣṇāti saubhāgyaṃ tasya kāntiṃ vilumpati /	tasya muzNAti sOBAgyam tasya kAntim vilumpati /
   tena sārdhaṃ vigṛhṇāti tulāṃ tenādhirohati // 2.63 //	tena sArDam vigRhNAti tulAm tena-aDirohati // 2.63 //
   tatpadavyām padaṃ dhatte tasya kakṣāṃ vigāhate /	tad-padavyAm padam Datte tasya kakzAm vigAhate /
   tam anvety anubadhnāti tacchīlaṃ tanniṣedhati // 2.64 //	tam anveti anubaDnAti tat-SIlam tat-nizeDati // 2.64 //
   tasya cānukarotīti śabdāḥ sādṛśyam ūcakāḥ /	tasya ca-anukaroti-iti SabdAH sAdRSyam UcakAH /
   upamāyām ime proktāḥ kavīnāṃ buddhisaukhyadāḥ // 2.65 //	upamAyAm ime proktAH kavInAm budDi-sOKya-dAH // 2.65 //
   [rūpaka]	[rUpaka]
   [- samastarūpaka]	[ samasta-rUpaka]
   upamaiva tirobhūta- bhedā rūpakam ucyate /	upamA-eva tiroBUta BedAH rUpakam ucyate /
   yathā bāhulatā pāṇi- padmaṃ caraṇapallavaḥ // 2.66 //	yaTA bAhu-latA pANi padmam caraNa-pallavaH // 2.66 //
   [- asamastarūpaka]	[ asamasta-rUpaka]
   aṅgulyaḥ pallavāny āsan kusumāni nakhārciṣaḥ /	aFgulyaH pallavAni Asan kusumAni naKa-arcizaH /
   bāhū late vasantaśrīs tvaṃ naḥ pratyakṣacāriṇī // 2.67 //	bAhU late vasanta-SrIH tvam naH pratyakza-cAriNI // 2.67 //
   [- samastavyastarūpaka]	[ samasta-vyasta-rUpaka]
   ity etad asamastākhyaṃ samastaṃ pūrvarūpakam /	iti etat asamasta-AKyam samastam pUrvarUpakam /
   smitaṃ mukhendor jyotsneti samastavyastarūpakam // 2.68 //	smitam muKa-indoH jyotsnA-iti samasta-vyasta-rUpakam // 2.68 //
   [- sakalarūpaka]	[ sakala-rUpaka]
   tāmrāṅgulidalaśreṇi nakhadīdhitikesaram /	tAmra-aFguli-dala-SreNi naKa-dIDiti-kesaram /
   dhriyate mūrdhni bhūpālair bhavaccaraṇapaṅkajam // 2.69 //	Driyate mUrDni BUpAlEH Bavat-caraNa-paFkajam // 2.69 //
   aṅgulyādau dalāditvaṃ pāde cāropya padmatām /	aFguli-AdO dala-Adi-tvam pAde ca-Aropya padma-tAm /
   tadyogyasthānavinyāsād etat sakalarūpakam // 2.70 //	tad-yogya-sTAna-vinyAsAt etat sakala-rUpakam // 2.70 //
   [- avayavarūpaka]	[ avayava-rUpaka]
   akasmād eva te caṇḍi sphuritādharapallavam /	akasmAt eva te caNxi sPurita-aDara-pallavam /
   mukhaṃ muktāruco dhatte gharmāmbhaḥkaṇamañjarīḥ // 2.71 //	muKam mukta-arucaH Datte GarmAmBaH-kaNa-maQjarIH // 2.71 //
   mañjarīkṛtya gharmāmbhaḥ pallavīkṛtya cādharam /	maQjarIkRtya GarmAmBaH pallavIkRtya ca-aDaram /
   nānyathā kṛtam atrāsyam ato 'vayavarūpakam // 2.72 //	na-anyaTA kRtam atra-Asyam atas avayava-rUpakam // 2.72 //
   [- avayavirūpakam]	[ avayavi-rUpakam]
   valgitabhru galadgharma- jalam ālohitekṣaṇam /	valgita-Bru galat-Garma jalam Alohita-IkzaNam /
   vivṛṇāti (!) madāvasthām idam vadanapaṅkajam // 2.73 //	vivRNAti (!) mada-avasTAm idam vadana-paFkajam // 2.73 //
   avikṛtya mukhāṅgāni mukham evāravindatām /	avikRtya muKa-aFgAni muKam eva-aravinda-tAm /
   āsīd gamitam atredam ato 'vayavirūpakam // 2.74 //	AsIt gamitam atra-idam atas avayavirUpakam // 2.74 //
   [- ekāṅgarūpaka]	[ eka-aFga-rUpaka]
   madapāṭalagaṇḍena raktanetrotpalena te /	mada-pAwala-gaNxena rakta-netra-utpalena te /
   mukhena mugdhaḥ so 'py eṣa jano rāgamayaḥ kṛtaḥ // 2.75 //	muKena mugDaH saH api eza janaH rAga-mayaH kRtaH // 2.75 //
   ekāṅgarūpakaṃ caitad evaṃ dviprabhṛtīny api /	eka-aFga-rUpakam ca-etat evam dvi-praBRtIni api /
   aṅgāni rūpayanty atra yogāyogau bhidākarau // 2.76 //	aFgAni rUpayanti atra yoga-ayogO BidAkarO // 2.76 //
   [- yuktarūpaka]	[ yukta-rUpaka]
   smitapuṣpojjvalaṃ lola- netrabhṛṅgam idaṃ mukham /	smita-puzpa-ujjvalam lola netra-BRFgam idam muKam /
   iti puṣpadvirephāṇāṃ saṃgatyā yuktarūpakam // 2.77 //	iti puzpa-dvirePANAm saMgatyA yukta-rUpakam // 2.77 //
   [- ayuktarūpaka]	[ ayukta-rUpaka]
   idam ārdrasmitajyotsnaṃ snigdhanetrotpalaṃ mukham /	idam Ardra-smita-jyotsnam snigDa-netra-utpalam muKam /
   iti jyotsnotpalāyogād ayuktaṃ nāma rūpakam // 2.78 //	iti jyotsnA-utpala-ayogAt ayuktam nAma rUpakam // 2.78 //
   [- viṣamarūpaka]	[ vizama-rUpaka]
   rūpaṇād aṅgino 'ṅgānāṃ rūpaṇārūpaṇāśrayāt /	rUpaNAt aFginaH aFgAnAm rUpaNa-ArUpaNa-ASrayAt /
   rūpakaṃ viṣamaṃ nāma lalitaṃ jāyate yathā // 2.79 //	rUpakam vizamam nAma lalitam jAyate yaTA // 2.79 //
   madaraktakapolena manmathas tvanmukhendunā /	mada-rakta-kapolena manmaTaH tvad-muKa-indunA /
   nartitabhrūlatenālaṃ mardituṃ bhuvanatrayam // 2.80 //	nartita-BrU-latena-alam marditum Buvanatrayam // 2.80 //
   [- saviśeṣaṇarūpaka]	[ sa-viSezaNa-rUpaka]
   haripādaḥ śirolagna- jahnukanyājalāṃśukaḥ /	haripAdaH SiraH-lagna jahnu-kanyA-jala-aMSukaH /
   jayaty asuraniḥśaṅka- surānandotsavadhvajaḥ // 2.81 //	jayati asura-niHSaFka surAnanda-utsava-DvajaH // 2.81 //
   viśeṣaṇasamagrasya rūpaṃ ketor yadīdṛśam /	viSezaNa-samagrasya rUpam ketoH yat-i-IdRSam /
   pāde tadarpaṇād etat saviśeṣaṇarūpakam // 2.82 //	pAde tad-arpaNAt etat sa-viSezaNa-rUpakam // 2.82 //
   [- viruddharūpaka]	[ virudDa-rUpaka]
   na mīlayati padmāni na nabho 'py avagāhate /	na mIlayati padmAni na naBaH api avagAhate /
   tvanmukhendur mamāsūnāṃ haraṇāyaiva kalpate // 2.83 //	tvad-muKa-induH mama-asUnAm haraNAya-eva kalpate // 2.83 //
   akriyā candrakāryāṇām anyakāryasya ca kriyā /	akriyA candra-kAryANAm anya-kAryasya ca kriyA /
   atra saṃdarśyate yasmād viruddhaṃ nāma rūpakam // 2.84 //	atra saMdarSyate yasmAt virudDam nAma rUpakam // 2.84 //
   [- heturūpaka]	[ heturUpaka]
   gāmbhīryeṇa samudro 'si gauraveṇāsi parvataḥ /	gAmBIryeNa samudraH asi gOraveNa-asi parvataH /
   kāmadatvāc ca lokānām asi tvaṃ kalpapādapaḥ // 2.85 //	kAma-da-tvAt ca lokAnAm asi tvam kalpa-pAdapaH // 2.85 //
   gāmbhīryapramukhair atra hetubhiḥ sāgaro giriḥ /	gAmBIrya-pramuKEH atra hetuBiH sAgaraH giriH /
   kalpadrumaś ca kriyate tad idaṃ heturūpakam // 2.86 //	kalpadrumaH ca kriyate tat idam heturUpakam // 2.86 //
   [- śiṣṭarūpaka]	[ Sizwa-rUpaka]
   rājahaṃsopabhogārthaṃ bhramaraprārthyasaurabham /	rAjahaMsa-upaBoga-arTam Bramara-prArTya-sOraBam /
   sakhi vaktrāmbujam idaṃ taveti śliṣṭarūpakam // 2.87 //	saKi vaktra-ambujam idam tava-iti Slizwa-rUpakam // 2.87 //
   iṣṭaṃ sādharmyavaidharmya- darśanād gauṇamukhyayoḥ /	izwam sADarmya-vEDarmya darSanAt gONa-muKyayoH /
   upamāvyatirekākhyaṃ rūpakadvitayaṃ yathā // 2.88 //	upamAvyatireka-AKyam rUpaka-dvitayam yaTA // 2.88 //
   [- upamārūpaka]	[ upamArUpaka]
