   PADA INDEX	PADAH INDEX
   manye matsariṇāṃ nitāntamalinās tena kṣatā vṛttayaḥ Js_6d	manye matsariNAm nitAnta-malinAH tena kzatAH vRttayaH Js_6d
   māras tena dukūlapakṣmataralaṃ nītas tulālāghavam Js_16d	mAraH tena dukUla-pakzma-taralam nItaH tulA-lAGavam Js_16d
   yac cintāmaṇinā narendra badaradvīpāntarālodarāt Js_14b	yat cintAmaNinA narendra badaradvIpa-antarAla-udarAt Js_14b
   yat kopāruṇadṛṣṭinā kalabhuvā kṛtvā bhruvor bhaṅginīṃ Js_11a	yat kopa-aruNa-dRzwinA kala-BuvA kRtvA BruvoH BaFginIm Js_11a
   yat tiryakpratisandhibandham adhamaṃ kṛtvā bhavāñ janmanām Js_17b	yat tiryak-pratisanDi-banDam aDamam kRtvA BavAn janmanAm Js_17b
   yat tvaṃ valkalinīṃ jaṭājanavatīṃ mūrtiṃ samutsṛṣṭavāṃs Js_5c	yat tvam valkalinIm jawA-janavatIm mUrtim samutsRzwavAn Js_5c
   yat parṇāmbuphalāśinīṃ śaśatanuṃ tvaṃ nātha bibhrat purā Js_10a	yat parNa-ambu-Pala-ASinIm SaSa-tanum tvam nATa biBrat purA Js_10a
   yat prāleyasitopalādribahalāṃ mātaṅgatāṃ bibhratā Js_6a	yat prAleya-sitopala-adri-bahalAm mAtaFga-tAm biBratA Js_6a
   yat sandoham iva śriyāḥ phalam iva procchrāyi puṇyaujasāṃ Js_18a	yat sandoham iva SriyAH Palam iva procCrAyi puNya-ojasAm Js_18a
   yad dveṣī kariṇā cirātatadhanur dantais tvayābhyarcitaḥ Js_12a	yat dvezI kariNA cira-Atata-DanuH dantEH tvayA-aByarcitaH Js_12a
   yan niḥsaṅgaratā śivāya śibinā rājñā satā pakṣiṇaḥ Js_16b	yat niHsaFga-ratA SivAya SibinA rAjQA satA pakziNaH Js_16b
   yan māṃsair akṛthāḥ kṣudhāvyupaśamaṃ svair avyapetoṣmabhir Js_15c	yat mAMsEH akRTAH kzuDA-vyupaSamam svEH avyapeta-UzmaBiH Js_15c
   yal lokāmbaracandracandravapuṣā candraprabhatve tvayā Js_7a	yat loka-ambara-candra-candra-vapuzA candra-praBa-tve tvayA Js_7a
   yā vo bodhipathānuyānamahatām utsāhinī karmaṇām Js_3a	yA vaH boDi-paTa-anuyAna-mahatAm utsAhinI karmaNAm Js_3a
   yenāvandhyaphalodayās tvayi bhavanty abhyāhitāḥ pāṃsavas Js_1c	yena-avanDya-Pala-udayAH tvayi Bavanti aByAhitAH pAMsavaH Js_1c
   yogā janmarudho bhavodbhavatṛṣām ucchedinas tena vaḥ Js_15d	yogAH janma-ruDaH BavodBava-tRzAm ucCedinaH tena vaH Js_15d
   raktodgārakalaṅkitātulatulām āropitā te tanur Js_16c	rakta-udgAra-kalaFkita-atula-tulAm AropitA te tanuH Js_16c
   ratnāny ambunidher upāmbupulineṣv āvir bhavanty arthinām Js_2c	ratnAni ambuniDeH upa-ambu-pulinezu Avis Bavanti arTinAm Js_2c
   lakṣmīm apy avadhūya vāñchitaphalām ākhaṇḍam ādhvaṃsinīṃ Js_17a	lakzmIm api avaDUya vAQCita-PalAm AKaNxam ADvaMsinIm Js_17a
   labdhvā pūrṇaphalās tvayā praṇayinām āśāvabandhāḥ kṛtās Js_14c	labDvA pUrNa-PalAH tvayA praNayinAm ASA-avabanDAH kRtAH Js_14c
   lekhām ullasitāsinā vidalitapratyaṅgam āśaṅkinā Js_11b	leKAm ullasita-asinA vidalita-pratyaFgam ASaFkinA Js_11b
   leśasyāpi na kīrtanaṃ jina kṛtaṃ tvadvarṇarāśer mama Js_19b	leSasya-api na kIrtanam jina kRtam tvad-varNa-rASeH mama Js_19b
   vācāṃ gocaratāṃ tu yānti kalayā sthūlā hi vo mādṛśām Js_2b	vAcAm gocaratAm tu yAnti kalayA sTUlAH hi vaH mAdRSAm Js_2b
   vinyasyanta ivāmarās tvayi ciraṃ dharmābhiṣekaśriyaṃ Js_4c	vinyasyante iva-amarAH tvayi ciram Darma-aBizeka-Sriyam Js_4c
   vistāraṃ gamitaṃ vrataṃ vratabhṛtāṃ yan nātha kāpiñjalaṃ Js_9c	vistAram gamitam vratam vrata-BRtAm yat nATa kApiQjalam Js_9c
   velānteṣv iva rodhasāṃ jalalavacchedo hi saṃlakṣyate Js_19d	velA-antezu iva roDasAm jalalava=-CedaH hi saMlakzyate Js_19d
   śayyāsvapnavicāriṇā vanabhuvāṃ bhūtvā purā pakṣiṇā Js_9a	SayyA-svapna-vicAriNA vana-BuvAm BUtvA purA pakziNA Js_9a
   śailān maṇḍalino vilaṅghya viṣayāṃs toyāvalīmekhalān Js_14a	SElAn maNxalinaH vilaFGya vizayAn toya-AvalI-meKalAn Js_14a
   śailendraṃ pṛthulopalaṃ calayatā muktas tvayātmā taṭān Js_6c	SElendram pRTula-upalam calayatA muktaH tvayA-AtmA tawAn Js_6c
   śyenottrāsaviśuṣkakampitagalasyotsaṅgasaṃsarpiṇo Js_16a	Syena-uttrAsa-viSuzka-kampita-galasya-utsaFga-saMsarpiNaH Js_16a
   ṣaḍdantena satā sitonnatabṛhajjīmūtapuñjatviṣā Js_12b	zaz-dantena satA sita-unnata-bRhat-jImUta-puQja-tvizA Js_12b
   sambhāro vipulaprasādavikasadbhaktyācitāṃśasya me Js_20b	samBAraH vipula-prasAda-vikasat-BaktyA-Acita-aMSasya me Js_20b
   saṃkocāñcitapakṣmalocanadalaṃ lajjālasāmantharam Js_8d	saMkoca-AQcita-pakzma-locana-dalam lajjA-alasA-manTaram Js_8d
   saṃrambhāt phaṇināṃ phaṇāhaticalād bhīmormimālād apāṃ Js_13a	saMramBAt PaNinAm PaNa-Ahati-calAt BIma-Urmi-mAlAt apAm Js_13a
   sānekāpacitaḥ punāti bhagavan saṃkīrtyamānādhunā Js_3c	sa-aneka-apacitaH punAti Bagavan saMkIrtyamAna-aDunA Js_3c
   sāndrābhrāntavitānanīlavapuṣām ojomuṣāṃ rakṣasāṃ Js_15a	sAndra-aBra-anta-vitAna-nIla-vapuzAm ojaH-muzAm rakzasAm Js_15a
