   bhaktivilāsākhyaṃ prathamaṃ stotram	BaktivilAsa-AKyam praTamam stotram
   daśā sā māṃ prati svāmin nāsavasyeva śuktatā // UtSst_1.11 //	daSA sA mAm prati svAmin na-Asavasya-iva Sukta-tA // UtSst_1.11 //
   bhavadbhaktimahāvidyā yeṣām abhyāsam āgatā &	Bavat-Bakti-mahAvidyA yezAm aByAsam AgatAH &
   vidyāvidyobhayasyāpi tā ete tattvavedinaḥ // UtSst_1.12 //	vidyA-avidyA-uBayasya-api tAH ete tattva-vedinaH // UtSst_1.12 //
   āmulād vāglatā seyaṃ kramavisphāraśālinī &	AmulAt vAc-latA sA-iyam krama-visPAra-SAlinI &
   tvadbhaktisudhayā siktā tadrasāḍhyaphalāstu me // UtSst_1.13 //	tvad-Bakti-suDayA siktA tad-rasa-AXya-PalA-astu me // UtSst_1.13 //
   śivo bhūtvā yajeteti bhakto bhūtveti kathyate &	SivaH BUtvA yajeta-iti BaktaH BUtvA-iti kaTyate &
   tvam eva hi vapuḥ sāraṃ bhaktair advayaśodhitam // UtSst_1.14 //	tvam eva hi vapuH sAram BaktEH advaya-SoDitam // UtSst-_1.14 //
   bhaktānāṃ bhavadadvaitasiddhyai kā nopapattayaḥ &	BaktAnAm Bavat-advEta-sidDyE kA na-upapattayaH &
   tadasiddhyai nikṛṣṭānāṃ kāni nāvaraṇāni vā // UtSst_1.15 //	tat-asidDyE nikRzwAnAm kAni na-AvaraNAni vA // UtSst-_1.15 //
   kadācit kvāpi labhyo 'si yogenetīśa vañcanā &	kadAcid kvApi laByaH asi yogena-iti-ISa vaQcanA &
   anyathā sarvakakṣyāsu bhāsi bhaktimatāṃ katham // UtSst_1.16 //	anyaTA sarva-kakzyAsu BAsi BaktimatAm kaTam // UtSst-_1.16 //
   pratyāhārādyasaṃspṛṣṭo viśeṣo 'sti mahānayam &	pratyAhAra-AdyasaMspRzwaH viSezaH asti mahAn-ayam &
   yogibhyo bhaktibhājām yad vyutthāne 'pi samāhitāḥ // UtSst_1.17 //	yogiByaH Bakti-BAjAm yat vyutTAne api samAhitAH // UtSst_1.17 //
   na yogo na tapo nārcākramaḥ ko 'pi pranīyate &	na yogaH na tapaH na-arcA-kramaH kaH api pranIyate &
   amāye śivamārge 'smin bhaktir ekā praśasyate // UtSst_1.18 //	amAye Siva-mArge asmin BaktiH ekA praSasyate // UtSst_1.18 //
   sarvato vilasadbhaktitejodhvastāvṛter mama &	sarvatas vilasat-Bakti-tejaH-Dvasta-AvRteH mama &
   pratyakṣasarvabhāvasya cintānām api naśyatu // UtSst_1.19 //	pratyakza-sarva-BAvasya cintAnAm api naSyatu // UtSst_1.19 //
   śiva ity ekaśabdasya jihvāgre tiṣṭhataḥ sadā &	SivaH iti eka-Sabdasya jihvA-agre tizWataH sadA &
   samastaviṣayāsvādo bhakteṣv evāsti ko 'py aho // UtSst_1.20 //	samasta-vizaya-AsvAdaH Baktezu eva-asti kaH api aho // UtSst-_1.20 //
   śāntakallolaśītācchasvādubhaktisudhāmbudhau &	SAnta-kallola-SIta-acCa-svAdu-Bakti-suDA-ambuDO &
   alaukikarasāsvāde susthaiḥ ko 'nāma gaṇyate // UtSst_1.21 //	alOkika-rasa-AsvAde susTEH kaH anAma gaNyate // UtSst_1.21 //
   sādṛśaiḥ kiṃ na carvyeta bhavadbhaktimahauṣadhiḥ &	sAdRSEH kim na carvyeta Bavat-Bakti-mahOzaDiH &
   tādṛśī bhagavan yasyā mokṣākhyo 'nantaro rasaḥ // UtSst_1.22 //	tAdRSI Bagavan yasyAH mokza-AKyaH anantaraH rasaH // UtSst_1.22 //
   tā eva paramarthyante sampadaḥ sadbhir īśa yāḥ &	tAH eva param-arTyante sampadaH sadBiH ISa yAH &
   tvad bhaktirasasambhogavisrambhaparipoṣikāḥ // UtSst_1.23 //	tvat Bakti-rasa-samBoga-visramBa-paripozikAH // UtSst_1.23 //
   bhavadbhaktisudhāsāras taiḥ kim apy upalakṣitaḥ &	Bavat-Bakti-suDA-sAraH tEH kim api upalakzitaH &
   ye na rāgādi paṅke 'smiṃḷ lipyante patitā api // UtSst_1.24 //	ye na rAga-Adi paFke asmiM? lipyante patitAH api // UtSst-_1.24 //
   aṇimādiṣu mokṣānteṣv aṅgeṣv eva phalābhidhā &	aNima-Adizu mokza-antezu aFgezu eva Pala-aBiDA &
   bhavadbhakter vipakvāyā latāyā iva keṣu cit // UtSst_1.25 //	Bavat-BakteH vipakvAyAH latAyAH iva kezu cit // UtSst-_1.25 //
   citraṃ nisargato nātha duḥkhabījam idaṃ manaḥ &	citram nisargataH nATa duHKa-bIjam idam manaH &
   tvadbhaktirasasaṃsiktam niḥśreyasamahāphalam // UtSst_1.26 //	tvad-Bakti-rasa-saMsiktam niHSreyasa-mahA-Palam // UtSst_1.26 //
   sarvātmaparibhāvanākhyaṃ dvitīyaṃ stotram	sarva-Atma-pariBAvana-AKyam dvitIyam stotram
   agnīṣomaravibrahmaviṣṇusthāvarajaṅgama &	agnIzoma-ra-vibrahma-vizNu-sTAvara-jaFgamaH &
   svarūpa bahurūpāya namaḥ saṃvinmayāya te // UtSst_2.1 //	svarUpa bahu-rUpAya namaH saMvid-mayAya te // UtSst_2.1 //
   viśvendhanamahākṣārānulepaśucivarcase &	viSva-inDana-mahA-kzAra-anulepa-Suci-varcase &
   mahānalāya bhavate viśvaikahaviṣe namaḥ // UtSst_2.2 //	mahA-analAya Bavate viSva-eka-havize namaH // UtSst_2.2 //
   paramāmṛtasāndrāya śītalāya śivāgnaye &	parama-amRta-sAndrAya SItalAya Siva-agnaye &
   kasmai cid viśvasaṃploṣaviṣamāya namo 'stu te // UtSst_2.3 //	kasmE cit viSva-saMploza-vizamAya namaH astu te // UtSst_2.3 //
   mahādevāya rudrāya śaṅkarāya śivāya te &	mahAdevAya rudrAya SaFkarAya SivAya te &
   maheśvarāyāpi namaḥ kasmai cin mantramūrtaye // UtSst_2.4 //	maheSvarAya-api namaH kasmE cit mantra-mUrtaye // UtSst_2.4 //
   namo nikṛttaniḥśoṣatrailokyavigaladvasā- &	namaH nikRtta-niHSoza-trElokya-vigala-dvasA &
   vasekaviṣamāyāpi maṅgalāya śivāgnaye // UtSst_2.5 //	vaseka-vizamAya-api maFgalAya Siva-agnaye // UtSst_2.5 //
   samastalakṣanāyoga eva yasyopalakṣaṇam &	samasta-lakzanA-yogaH eva yasya-upalakzaNam &
   tasmai namo 'stu devāya kasmai cid api śambhave // UtSst_2.6 //	tasmE namaH astu devAya kasmE cit api SamBave // UtSst_2.6 //
   vedāgamaviruddhāya vedāgamavidhāyine &	veda-Agama-virudDAya veda-Agama-viDAyine &
   vedāgamasatattvāya guhyāya svāmine namaḥ // UtSst_2.7 //	veda-Agama-sa-tattvAya guhyAya svAmine namaH // UtSst_2.7 //
   saṃsāraikanimittāya saṃsāraikavirodhine &	saMsAra-eka-nimittAya saMsAra-eka-viroDine &
   namaḥ samsārarūpāya niḥsaṃsārāya śambhave // UtSst_2.8 //	namaH samsAra-rUpAya niHsaMsArAya SamBave // UtSst_2.8 //
   mūlāya madhyāyāgrāya mūlamadhyāgramūrtaye &	mUlAya maDyAya-agrAya mUla-maDya-agra-mUrtaye &
   kṣīnāgramadhyamūlāya namaḥ pūrṇāya śambhave // UtSst_2.9 //	kzIna-agra-maDya-mUlAya namaH pUrNAya SamBave // UtSst_2.9 //
   namaḥ sukṛtasaṃbharavipākaḥ sakṛd apy asau &	namaH su-kRta-saMBara-vipAkaH sakRt api asO &
   yasya nāmagrahas tasmai durlabhāya śivāya te // UtSst_2.10 //	yasya nAma-grahaH tasmE durlaBAya SivAya te // UtSst_2.10 //
   namaścarācarākāraparetanicayaiḥ sadā &	namaH-carAcara-AkAra-pareta-nicayEH sadA &
   krīḍate tubhyam ekasmai cinmayāya kapāline // UtSst_2.11 //	krIxate tuByam ekasmE cit-mayAya kapAline // UtSst_2.11 //
   māyāvine viśuddhāya guhyāya prakaṭātmane &	mAyAvine viSudDAya guhyAya prakawa-Atmane &
   sūkṣmāya viśvarūpāya namaś citrāya śambhave // UtSst_2.12 //	sUkzmAya viSvarUpAya namaH citrAya SamBave // UtSst_2.12 //
   brahmendraviṣṇunirvyūḍhajagatsaṃhārakelaye &	brahma-indra-vizNu-nirvyUXa-jagat-saMhAra-kelaye &
   āścaryakaraṇīyāya namas te sarvaśaktaye // UtSst_2.13 //	AScarya-karaNIyAya namaH te sarva-Saktaye // UtSst_2.13 //
   taṭeṣv eva paribhrāntaiḥ labdhās tās tā vibhūtayaḥ &	tawezu eva pariBrAntEH labDAH tAH tAH viBUtayaH &
   yasya tasmai namas tubhyam agādhaharasindhave // UtSst_2.14 //	yasya tasmE namaH tuByam agADa-hara-sinDave // UtSst_2.14 //
   māyāmayajagatsāndrapaṅkamadhyādhivāsine &	mAyA-maya-jagat-sAndra-paFka-maDya-aDivAsine &
   alepāya namaḥ śambhuśatapatrāya śobhine // UtSst_2.15 //	alepAya namaH SamBu-SatapatrAya SoBine // UtSst_2.15 //
   maṅgalāya pavitrāya nidhaye bhūṣaṇātmane &	maFgalAya pavitrAya niDaye BUzaNa-Atmane &
   priyāya paramārthāya sarvotkṛṣṭāya te namaḥ // UtSst_2.16 //	priyAya parama-arTAya sarva-utkRzwAya te namaH // UtSst_2.16 //
   namaḥ satatabaddhāya nityanirmuktibhāgine &	namaH satata-badDAya nitya-nirmukti-BAgine &
   bandhamokṣavihīnāya kasmai ci d api śambhave // UtSst_2.17 //	banDa-mokza-vihInAya kasmE ci d api SamBave // UtSst_2.17 //
   upahāsaikasāre 'sminn etāvati jagattraye &	upahAsa-eka-sAre asmin etAvati jagattraye &
   tubhyam evādvitīyāya namo nityasukhāsine // UtSst_2.18 //	tuByam eva-advitIyAya namaH nitya-suKa-asine // UtSst_2.18 //
   dakṣiṇācārasārāya vāmācārābhilāṣiṇe &	dakziNa-AcAra-sArAya vAma-AcAra-aBilAziNe &
   sarvācārāya śarvāya nirācārāya te namaḥ // UtSst_2.19 //	sarva-AcArAya SarvAya nirAcArAya te namaH // UtSst_2.19 //
   yathā tathāpi yaḥ pūjyo yatra tatrāpi yo 'rcitaḥ &	yaTA taTA-api yaH pUjyaH yatra tatra-api yaH arcitaH &
   yo 'pi vā so 'pi vā yo 'sau devas tasmai namo 'stu te // UtSst_2.20 //	yaH api vA saH api vA yaH asO devaH tasmE namaH astu te // UtSst_2.20 //
   mumukṣujanasevyāya sarvasantāpahāriṇe &	mumukzu-jana-sevyAya sarva-santApa-hAriNe &
   namo vitatalāvaṇyavarāya varadāya te // UtSst_2.21 //	namaH vitata-lAvaNya-varAya vara-dAya te // UtSst_2.21 //
   sadā nirantarānandarasanirbharitākhila- &	sadA nirantara-Ananda-rasa-nirBarita-aKila &
   trilokāya namas tubhyaṃ svāmine nityaparvaṇe // UtSst_2.22 //	trilokAya namaH tuByam svAmine nitya-parvaNe // UtSst_2.22 //
   sukhapradhānasaṃvedyasambhogair bhajate ca yat &	suKa-praDAna-saMvedya-samBogEH Bajate ca yat &
   tvām eva tasmai ghorāya śaktivṛndāya te namaḥ // UtSst_2.23 //	tvAm eva tasmE GorAya Sakti-vRndAya te namaH // UtSst_2.23 //
   munīnām apy avijñeyaṃ bhaktisambandhaceṣṭitāḥ &	munInAm api avijQeyam Bakti-sambanDa-cezwitAH &
   āliṅganty api yaṃ tasmai kasmai cid bhavate namaḥ // UtSst_2.24 //	AliFganti api yam tasmE kasmE cit Bavate namaH // UtSst_2.24 //
   paramāmṛtakośāya paramāmṛtarāśaye &	parama-amRta-koSAya parama-amRta-rASaye &
   sarvapāramyapāramyaprāpyāya bhavate namaḥ // UtSst_2.25 //	sarva-pAramya-pAramya-prApyAya Bavate namaH // UtSst_2.25 //
   mahāmantramayaṃ naumi rūpaṃ te svacchaśītalam &	mahA-mantra-mayam nOmi rUpam te svacCa-SItalam &
   apūrvamodasubhagaṃ parāmṛtarasolvaṇam // UtSst_2.26 //	apUrvam-oda-suBagam para-amRta-rasa-ulvaNam // UtSst-_2.26 //
   svātantryāmṛtapūrṇatvad aikyakhyātimahāpaṭe &	svAtantrya-amRta-pUrNa-tvat Ekya-KyAti-mahApawe &
   citraṃ nāsty eva yatreśa tan naumi tava śāsanam // UtSst_2.27 //	citram na-asti eva yatra-ISa tat nOmi tava SAsanam // UtSst-_2.27 //
   sarvāśaṅkāsaniṃ sarvālakṣmīkālānalaṃ tathā &	sarva-ASaFkA-sanim sarva-alakzmI-kAla-analam taTA &
   sarvāmaṅgalyakalpāntaṃ mārgaṃ māheśvaraṃ numaḥ // UtSst_2.28 //	sarva-amaFgalya-kalpa-antam mArgam mAheSvaram numaH // UtSst-_2.28 //
   jaya deva namo namo 'stu te sakalaṃ viśvam idaṃ tavāśritam &	jaya deva namaH namaH astu te sakalam viSvam idam tava-ASritam &
   jagatāṃ parameśvaro bhavān paramekaḥ śaraṇāgato 'smi te // UtSst_2.29 //	jagatAm parameSvaraH BavAn param-ekaH SaraNa-AgataH asmi te // UtSst_2.29 //
   praṇayaprasādākhyaṃ tṛtīyaṃ stotram	praNaya-prasAda-AKyam tRtIyam stotram
   sadasattvena bhāvānāṃ yuktā yā dvitayī gatiḥ &	sat-asat-tvena BAvAnAm yuktA yA dvitayI gatiH &
   tām ullaṅghya tṛtīyasmai namaś citrāya śambhave // UtSst_3.1 //	tAm ullaFGya tRtIyasmE namaH citrAya SamBave // UtSst_3.1 //
   āsurarṣijanād asminn asvatantre jagattraye &	Asura-Rzi-janAt asmin asvatantre jagattraye &
   svatantrās te svatantrasya ye tavaivānujīvinaḥ // UtSst_3.2 //	svatantrAH te svatantrasya ye tava-eva-anujIvinaH // UtSst_3.2 //
   aśeṣaviśvakhacitabhavadvapur anusmṛtiḥ &	aSeza-viSva-Kacita-Bavat-vapuH anusmRtiH &
   yeṣām bhavarujām ekaṃ bheṣajaṃ te sukhāsinaḥ // UtSst_3.3 //	yezAm Bava-rujAm ekam Bezajam te suKa-asinaH // UtSst_3.3 //
   sitātapatraṃ yasyenduḥ svaprabhāparipūritaḥ &	sita-Atapatram yasya-induH sva-praBA-paripUritaH &
   cāmaraṃ svardhunīsrotaḥ sa ekaḥ parameśvaraḥ // UtSst_3.4 //	cAmaram svarDunI-srotaH saH ekaH parameSvaraH // UtSst_3.4 //
   prakāśāṃ śītalām ekāṃ śuddhāṃ śaśikalām iva &	prakASAm SItalAm ekAm SudDAm SaSi-kalAm iva &
   dṛśaṃ vitara me nātha kām apy amṛtavāhinīm // UtSst_3.5 //	dRSam vitara me nATa kAm api amRta-vAhinIm // UtSst_3.5 //
   tvaccidānandajaladheś cyutāḥ saṃvittivipruṣaḥ &	tvad-cidAnanda-jalaDeH cyutAH saMvitti-vipruzaH &
   imāḥ kathaṃ me bhagavan nāmṛtāsvādasundarāḥ // UtSst_3.6 //	imAH kaTam me Bagavat na-amRta-AsvAda-sundarAH // UtSst_3.6 //
   tvayi rāgarase nātha na magnaṃ hṛdayaṃ prabho &	tvayi rAga-rase nATa na magnam hRdayam praBo &
   yeṣām ahṛdayā eva te 'vajñaspadam īdṛśāḥ // UtSst_3.7 //	yezAm ahRdayAH eva te avajQa-spadam IdRSAH // UtSst_3.7 //
   prabhuṇā bhavatā yasya jātaṃ hṛdayamelanam &	praBuNA BavatA yasya jAtam hRdaya-melanam &
   prābhavīṇāṃ vibhūtīnāṃ paramekaḥ sa bhājanam // UtSst_3.8 //	prABavINAm viBUtInAm param-ekaH sa BAjanam // UtSst_3.8 //
   harṣāṇām atha śokānāṃ sarveṣāṃ plāvakaḥ samam &	harzANAm aTa SokAnAm sarvezAm plAvakaH samam &
   bhavaddhyānāmṛtāpūro nimnāṇimnabhuvām iva // UtSst_3.9 //	Bavat-DyAna-amRtA-pUraH nimnANimna-BuvAm iva // UtSst_3.9 //
   keva na syād dṛśā teṣāṃ sukhasambhāranirbharā &	kA-iva na syAt dRSA tezAm suKa-samBAra-nirBarAH &
   yeṣām ātmādhikeneśa na kvāpi virahas tvayā // UtSst_3.10 //	yezAm Atma-aDikena-ISa na kvApi virahaH tvayA // UtSst_3.10 //
   garjāmi bata nṛtyāmi pūrṇā mama manorathāḥ &	garjAmi bata nRtyAmi pUrNAH mama manoraTAH &
   svāmī mamaiṣa ghaṭito yat tvam atyantarocanaḥ // UtSst_3.11 //	svAmI mama-eza GawitaH yat tvam atyanta-rocanaH // UtSst_3.11 //
   nānyad vedyaṃ kriyā yatra nānyo yogo vidā ca yat &	na-anyat vedyam kriyA yatra na-anyaH yogaH vidA ca yat &
   jñānaṃ syāt kiṃ tu viśvaikapūrṇā cittvaṃ vijṛmbhate // UtSst_3.12 //	jQAnam syAt kim tu viSva-eka-pUrNA cittvam vijRmBate // UtSst_3.12 //
   durjayānām anantānām duḥkhānāṃ sahasaiva te &	durjayAnAm anantAnAm duHKAnAm sahasA-eva te &
   hastāt palāyitā yeṣāṃ vāci śaśvacchivadhvaniḥ // UtSst_3.13 //	hastAt palAyitA yezAm vAci SaSvat-Siva-DvaniH // UtSst_3.13 //
   uttamaḥ puruṣo 'nyo 'sti yuṣmaccheṣaviśeṣitaḥ &	uttamaH puruzaH anyaH asti yuzmad-Seza-viSezitaH &
   tvaṃ mahāpuruṣas tv eko niḥśeṣapuruṣāśrayaḥ // UtSst_3.14 //	tvam mahApuruzaH tu ekaH niHSeza-puruza-ASrayaH // UtSst_3.14 //
   jayanti te jagadvandyā dāsās te jagatāṃ vibho &	jayanti te jagat-vandyAH dAsAH te jagatAm viBo &
   saṃsārārṇava evaiṣa yeṣāṃ krīḍāmahāsaraḥ // UtSst_3.15 //	saMsAra-arNavaH eva-eza yezAm krIxA-mahA-saraH // UtSst_3.15 //
   āsatāṃ tāvad anyāni dainyānīha bhavajjuṣām &	AsatAm tAvat anyAni dEnyAni-iha Bavat-juzAm &
   tvam eva prakaṭībhūyā ity anenaiva lajjyate // UtSst_3.16 //	tvam eva prakawIBUyAH iti anena-eva lajjyate // UtSst_3.16 //
   matparaṃ nāsti tatrāpi jāpako 'smi tadaikyataḥ &	mad-param na-asti tatra-api jApakaH asmi tat-EkyataH &
   tattvena japa ity akṣamālayā diśasi kvacit // UtSst_3.17 //	tattvena japaH iti akzamAlayA diSasi kvacid // UtSst_3.17 //
   sato 'vaśyaṃ paramasat sac ca tasmāt paraṃ prabho &	sataH avaSyam parama-sat sat ca tasmAt param praBo &
   tvaṃ cāsataḥ sataś cānyas tenāsi sadasanmayaḥ // UtSst_3.18 //	tvam ca-asataH sataH ca-anyaH tena-asi sat-asat-mayaH // UtSst_3.18 //
   sahasrasūryakiraṇādhikaśuddhaprakāśavān &	sahasra-sUrya-kiraNa-aDika-SudDa-prakASavAn &
   api tvaṃ sarvabhuvanavyāpako 'pi na dṛśyase // UtSst_3.19 //	api tvam sarva-Buvana-vyApakaH api na dRSyase // UtSst_3.19 //
   jaḍe jagati cidrūpaḥ kila vedye 'pi vedakaḥ &	jaxe jagati cit-rUpaH kila vedye api vedakaH &
   vibhur mite ca yenāsi tena sarvottamo bhavān // UtSst_3.20 //	viBuH mite ca yena-asi tena sarva-uttamaH BavAn // UtSst_3.20 //
   alam ākranditair anyair iyad eva puraḥ prabhoḥ &	alam AkranditEH anyEH iyat eva puras praBoH &
   tīvraṃ viraumi yan nātha muhyāmy evaṃ vidann api // UtSst_3.21 //	tIvram virOmi yat nATa muhyAmi evam vidan api // UtSst-_3.21 //
   surasodbalākhyāṃ caturthaṃ stotram	surasA-udbala-AKyAm caturTam stotram
   capalam asi yad api mānasa tatrāpi ślāghyase yato bhajase &	capalam asi yat api mAnasa tatra-api SlAGyase yatas Bajase &
   śaraṇānām api śaraṇaṃ tribhuvanagurum ambikākāntam // UtSst_4.1 //	SaraNAnAm api SaraNam triBuvana-gurum ambikA-kAntam // UtSst-_4.1 //
   ullaṅghya vividhadaivatasopānakramam upeya śivacaraṇān &	ullaFGya viviDa-dEvata-sopAna-kramam upeya Siva-caraNAn &
   āśrityāpy adharatarāṃ bhūmiṃ nādyāpi citram ujjhāmi // UtSst_4.2 //	ASritya-api aDaratarAm BUmim na-adya-api citram ujJAmi // UtSst_4.2 //
   prakaṭaya nijam adhvānaṃ sthagayatarām akhilalokacaritāni &	prakawaya nijam aDvAnam sTagayatarAm aKila-loka-caritAni &
   yāvad bhavāmi bhagavaṃs tava sapadi sadodito dāsaḥ // UtSst_4.3 //	yAvat BavAmi Bagavan tava sapadi sadA-uditaH dAsaH // UtSst_4.3 //
   śiva śiva śambho śaṅkara śaraṇāgatavatsalāśu kuru karuṇām &	Siva Siva SamBo SaFkara SaraNa-Agata-vatsala-ASu kuru karuNAm &
   tava caraṇakamalayugalasmaraṇaparasya hi sampado 'dūre // UtSst_4.4 //	tava caraNa-kamala-yugala-smaraNa-parasya hi sampadaH adUre // UtSst-_4.4 //
   tāvakāṅghrikamalāsanalīnā ye yathāruci jagad racayanti &	tAvaka-aFGri-kamala-Asana-lInAH ye yaTAruci jagat racayanti &
   te viriñcim adhikāramalenāliptam asvavaśam īśa hasanti // UtSst_4.5 //	te viriQcim aDikAra-malena-Aliptam asvavaSam ISa hasanti // UtSst_4.5 //
   tvatprakāśavapuṣo na vibhinnaṃ kiṃ cana prabhavati pratibhātum &	tvad-prakASa-vapuzaH na viBinnam kim cana praBavati pratiBAtum &
   tat sadaiva bhagavan parilabdho 'sīśvara prakṛtito 'pi vidūraḥ //	tat sadA-eva Bagavan parilabDaH asi-ISvara prakRtitaH api vidUraH //
   UtSst_4.6 //	UtSst-_4.6 //
   pādapaṅkajarasaṃ tava ke cid bhedaparyuṣitavṛttim upetāḥ &	pAda-paFkaja-rasam tava ke cit Beda-paryuzita-vRttim upetAH &
   ke canāpi rasayanti tu sadhyo bhātam akṣatavapur dvayaśūnyam // UtSst_4.7	ke cana-api rasayanti tu saDyaH BAtam akzata-vapuH dvaya-SUnyam // UtSst_4.7
   nātha vidyud iva bhāti vibhāte yā kadā cana mamāmṛtadigdhā &	nATa vidyut iva BAti viBAte yA kadA cana mama-amRta-digDA &
   sā yadi sthirataraiva bhavet tat pūjito 'si vidhivat kim utānyat //	sA yadi sTiratarA-eva Bavet tat pUjitaH asi viDivat kim uta-anyat //
   UtSst_4.8 //	UtSst-_4.8 //
   sarvam asyaparam asti na kiṃ cid vastv avastu yadi veti mahatyā &	sarvam asyaparam asti na kim cit vastu avastu yadi vA-iti mahatyA &
   prajñāya vyavasito 'tra yathaiva tvaṃ tathaiva bhava suprakaṭo me //	prajQAya vyavasitaH atra yaTA-eva tvam taTA-eva Bava su-prakawaH me //
   UtSst_4.9 //	UtSst-_4.9 //
   svecchayaiva bhagavan nijamārge kāritaḥ padam ahaṃ prabhunaiva &	sva-icCayA-eva Bagavat nija-mArge kAritaH padam aham praBunA-eva &
   tat kathaṃ janavad eva carāmi tvatpadocitam avaimi na kiṃ cit //	tat kaTam jana-vat eva carAmi tvad-pada-ucitam avEmi na kim cit //
   UtSst_4.10 //	UtSst-_4.10 //
   ko 'pi deva hṛdi teṣu tāvako jṛmbhate subhagabhāva uttamaḥ &	kaH api deva hRdi tezu tAvakaH jRmBate suBaga-BAvaH uttamaH &
   tvatkathāmbudaninādacātakā yena te 'pi subhagīkṛtāś ciram // UtSst_4.11 //	tvad-kaTA-ambuda-ninAda-cAtakAH yena te api suBagIkRtAH ciram // UtSst_4.11 //
   tvajjuṣāṃ tvayi kayāpi līlayā rāga eṣa paripoṣam āgataḥ &	tvad-juzAm tvayi kayA-api lIlayA rAgaH eza paripozam AgataH &
   yad viyogabhuvi saṅkathā tathā saṃsmṛtiḥ phalati saṃgamotsavam //	yat viyoga-Buvi saFkaTA taTA saMsmRtiH Palati saMgama-utsavam //
   UtSst_4.12 //	UtSst-_4.12 //
   yo vicitrarasasekavardhitaḥ śaṅkareti śataśo 'py udīritaḥ &	yaH vicitra-rasa-seka-varDitaH SaFkara-iti SataSas api udIritaH &
   śabda āviśati tiryagāśayeṣv apy ayaṃ navanavaprayojanaḥ // UtSst_4.13 //	SabdaH AviSati tiryak-ASayezu api ayam nava-nava-prayojanaH // UtSst_4.13 //
   te jayanti mukhamaṇḍale bhraman asti yeṣu niyataṃ śivadhvaniḥ &	te jayanti muKa-maNxale Braman asti yezu niyatam Siva-DvaniH &
   yaḥ śāśīva prasṛto 'mṛtāśayāt svādu saṃsravati cāmṛtaṃ param // UtSst_4.14	yaH SASI-iva prasRtaH amRta-ASayAt svAdu saMsravati ca-amRtam param // UtSst-_4.14
