   Mahāsāṃghikānāṃ prātimokṣasūtram	MahAsAMGikAnAm prAtimokza-sUtram
   kṣaṇalavamuhurttarātrindivasamāsārddhamāsaṛtusamvatsarāḥ /	kzaNa-lava-muhurttara-atrindiva-sa-mAsa-ardDamAsa-Rtu-samvatsarAH /
   girinadījalacapalacañcalopamā āyuḥ / saṃskārāmuddharttamapi nāvatiṣṭhante	giri-nadI-jala-capala-caQcala-upamAH AyuH / saMskArAm-udDarttam-api na-avatizWante
   / apramādenāyuṣmante hi sampādayitavyam / tatkasya hetoḥ /	/ apramAdena-Ayuzmante hi sampAdayitavyam / tat-kasya hetoH /
   apramādādhigatānāṃ hi tathāgatānāmarhatāṃ samyaksambuddhānāṃ vaidhiḥ /	apramAda-aDigatAnAm hi taTAgatAnAm-arhatAm samyaksambudDAnAm vEDiH /
   apramādādhigato cānuttaro upadhi saṃkṣapīti vadāma / tenāpramādenāyuṣmante	apramAda-aDigataH ca-anuttaraH upaDi saMkzapi-iti vadAma / tena-apramAdena-Ayuzmante
   hi saṃpādayitavyaṃ / daśānvasan sampaśyamānāstathāgatā'rhantaḥ samyak	hi saMpAdayitavyam / daSAn-vasan sampaSyamAnAH-taTAgatA-arhantaH samyak-
   saṃbuddhāḥ // śrāvakāṇāmadhiśīlaṃ śikṣaṃ padaṃ prajñāpayanti / pratimokṣa	saMbudDAH // SrAvakANAm-aDiSIlam Sikzam padam prajQApayanti / pratimokza
   ca sūtramuddiśanti / katamāndaśa / saṃyyathīdaṃ / saṃghasaṃgrahāya	ca sUtram-uddiSanti / katamAn-daSa / saMyyaTi-idam / saMGa-saMgrahAya
   saṃghasuṣṭhutāya / durmatkuṇnāṃ pudgalānānnigrahāya peśalānāñca bhikṣuṇā	saMGa-suzWutAya / durmatkuNnAm pudgalAnAt-nigrahAya peSalAnAQca BikzuNA
   phāsu vihārāya / aprasannānāṃ pramādāya / prasannānāñca trayobhāvāya	PAsu vihArAya / aprasannAnAm pramAdAya / prasanna-anAQca trayoBAvAya
   dṛṣṭadhārmikāṇāmāśravāṇāṃ nirghātāya	dRzwa-DArmikANAm-ASravANAm nirGAtAya
   samparāyikāṇāmāśravāṇāmāpatyāmananuśravaṇatāya / yathemaṃ syātpra vacanaṃ	samparAyikANAm-ASravANAm-ApatyAm-ananuSravaNa-tAya / yaTA-imam syAt-pra vacanam
   virakṣitikaṃ vā bhujanyaṃvivṛtaṃ suprakāśitaṃ yāvandevamanuṣyeṣviti /	virakzitikam vA BujanyaMvivRtam su-prakASitam yAvat-deva-manuzyezu-iti /
   imāndaśāncavasānsaṃpaśyamānāstathāgatā arhantaḥ samyak sambuddhāḥ /	imAn-daSAn-ca-vasAn-saMpaSyamAnAH-taTAgatAH arhantaH samyak sambudDAH /
   śrāvakāṇāmadhiśīlaṃ śikṣapadaṃ prajñāpayanti / pratimokṣañca	SrAvakANAm-aDiSIlam Sikza-padam prajQApayanti / pratimokzaQca
   sutramuddiśanti /	sutram-uddiSanti /
   PrMoSū(Mā)_Einl. prātimokṣamāyuṣmānto sūtramuddiśiṣyāmi / tāṃ śṛṇuta sādhu	PrMoSU(MA)_Einl. prAtimokzam-AyuzmAntaH sUtram-uddiSizyAmi / tAm SRNuta sADu
   ca suṣṭhu ca manasi kuruta bhāṣiṣyāmi / paśya vo siyāpattiḥ so'viṣkarottu	ca suzWu ca manasi kuruta BAzizyAmi / paSya vaH siyApattiH saH-avizkara-ut-tu
   / asantīye āpattīye tūṣṇī bhavitavyaṃ / tūṣṇīmbhāvena / kho punarāyuṣmanto	/ asantIye ApattIye tUzNI Bavitavyam / tUzNImBAvena / KaH punar-AyuzmantaH-
   pariśuddha iti vedayiṣyāmi yathā kho punarāyuṣmanto pratyekaṃ pratyekaṃ	pariSudDaH iti vedayizyAmi yaTA Ko punar-AyuzmantaH pratyekam pratyekam
   pṛcchitasya bhikṣusya vyākaraṇaṃ bhavati / evameva mevaṃ rūpāye	pRcCitasya Bikzusya vyAkaraNam Bavati / evam-eva mevam rUpAye
   bhikṣuparyāye yāvantṛtīyakaṃ samanuśrāvayiṣyati / yo punabhikṣu evaṃ	Bikzu-paryAye yAvantRtIyakam samanuSrAvayizyati / yaH puna-Bikzu evam
   rūpāye bhikṣuparyāye yāvantṛtīyakaṃ samanuśrāviyamāṇo smaramāṇo santī	rUpAye Bikzu-paryAye yAvantRtIyakam samanuSrAviyamANaH smaramANaH santI
   māpattīnnāviṣkaroti / saṃprajñānaṃ mṛṣāvādo me bhavati /	mApattIn-na-Avizkaroti / saMprajQAnam mRzAvAdaH me Bavati /
   saṃprajānamṛṣāvādo kho punarāyuṣmanto antarāyiko dhammo ukto bhagavatā /	saMprajAnamRzA-vAdaH KaH punar-AyuzmantaH antarAyikaH DammaH uktaH BagavatA /
   tasmātsmaramāṇena bhikṣuṇa āpanne viśuddhi prekṣeṇa santī āpattī	tasmAt-smaramANena BikzuNaH Apanne viSudDi prekzeNa santI ApattI
   āviṣkarttavyā / āviṣkṛtvā ca me phāsu bhavati no anāviṣkṛtvā / nidānaṃ //	AvizkarttavyA / AvizkRtvA ca me PAsu Bavati naH anAvizkRtvA / nidAnam //
   I. THE FOUR PARAJIKA DHARMAS.	I. THEH FOUR PARA-JIKAH DHARMAS.
   ime kho punarāyuṣmanto catvāraḥ pārājikā dharmā anvarddhamāsaṃ sūtre	ime KaH punar-AyuzmantaH catvAraH pArAjikA DarmAH anvardDa-mAsam sUtre
   prātimokṣe uddeśamāgacchanti /	prAtimokze uddeSam-AgacCanti /
   PrMoSū(Mā)_Pār.1. yo punabhikṣu bhikṣuṇā śikṣā sāmīcīsamāpanno	PrMoSU(MA)_PAr.1. yaH puna-Bikzu BikzuNA SikzA sAmIcIsam-ApannaH-
   śikṣāmāpratyākhyāya daurvvalyamanāviṣkṛtvā maithunaṃ grāmyadharmmaṃ	SikzAm-a-apratyAKyAya dOrvvalyam-anAvizkRtvA mETunam grAmya-Darmmam
   pratiṣeveya antamaśato tiryagyonigatāyamapi sārddhamayaṃ bhikṣuḥ pārājiko	pratizeveya antam-aSataH tiryagyoni-gata-ayam-api sArdDa-mayam BikzuH pArAjikaH-
   bhavatyasaṃvāsyo na labhate bhikṣu hi sārddha saṃvāsaṃ /	Bavati-asaMvAsyaH na laBate Bikzu hi sArdDa saMvAsam /
   PrMoSū(Mā)_idaṃ bhagavatā veśālīyaṃ śikṣāpadaṃ prajñaptaṃ	PrMoSU(MA)_idam BagavatA veSAlIyam SikzA-padam prajQaptam
   pañcavarṣābhisaṃbuddhena hemante pakṣe pañcame divase dvādaśame pūre	paQca-varza-aBisaMbudDena hemante pakze paQcame divase dvAdaSame pUre
   bhuktamuttarāmukhaniṣaṇṇena dvyarddhapauruṣāyāṃcchāyāyāṃ āyuṣmantaṃ	Buktam-uttarA-muKa-nizaNNena dvi-ardDa-pOruzAyAn=-CAyAyAm Ayuzmantam
   yaśikakalandakaputramārabhya imasya ca śikṣāpadasya prajñaptirdharmo yathā	yaSika-kalandaka-putram-AraByaH imasya ca SikzA-padasya prajQaptiH-DarmaH yaTA
   praṇihitasya ca yā anuvartanatā ayamucyate anudharmo /	praNihitasya ca yA anuvartana-tA ayam-ucyate anuDarmaH /
   PrMoSū(Mā)_Pār.2. yo punabhikṣū grāmādvā araṇyādvā adinnamanyātakaṃ	PrMoSU(MA)_PAr.2. yaH puna-BikzU grAmAt-vA araNyAt-vA adinnam-anyAtakam
   stainyasaṃskāramādiyeya yathārūpeṇādinnādānena jāno gṛhītvā hanyemvā	stEnya-saMskAram-Adiyeya yaTArUpeNa-AdinnAdAnena jAnaH gRhItvA hanyemvA
   vadhemvā pravrājemvā hambho puruṣa corosi bālosi mūḍhosi stainyosīti vā	vaDemvA pravrAjemvA hamBaH puruza ca-urosi bAlosi mUXosi stEnyosi-iti vA
   vadem tathārūpaṃ bhikṣūradinnamādeyamāno ayame bhikṣūḥ pārājiko	vadem taTArUpam BikzUradinnam-AdeyamAnaH ayame BikzUH pArAjikaH-
   bhavatyasamvāsyo na labhate bhikṣū hi sārddhasaṃvāsaṃ /	Bavati-asamvAsyaH na laBate BikzuH hi sArdDa-saMvAsam /
   PrMoSū(Mā)_idaṃ bhagavatā rājagṛhe śikṣāpadaṃ prajñaptaṃ	PrMoSU(MA)_idam BagavatA rAja-gRhe SikzA-padam prajQaptam
   ṣaḍvarṣābhisambuddhena hemante pakṣe dvitīvase navame paścādbhuktaṃ	zaz-varza-aBisambudDena hemante pakze dvitIvase navame paScAt-Buktam
   purastānmukhaniṣaṇṇena / arddhatīyapauruṣāyāṃ cchāyāyāmāyuṣmantaṃ dhanikaṃ	purastAt-muKa-nizaNNena / ardDatIya-pOruzAyAm cCAyAyAm-Ayuzmantam Danikam
   kuṃbhakārajātiyamārabhya rājānañca śreṇīyaṃ bimbasāraṃ pāṃsukulikaṃ ca	kuMBakAra-jAtiyam-AraBya rAjAnaQca SreNIyam bimba-sAram pAMsu-kulikam ca
   bhikṣu / imasya ca śikṣāpadasya prajñaptirdharmo yathā praṇihitasya ca yā	Bikzu / imasya ca SikzA-padasya prajQaptiH-DarmaH yaTA praNihitasya ca yA
   anuvarttanatā ayamucyate anudharmo /	anuvarttana-tA ayam-ucyate anuDarmaH /
   PrMoSū(Mā)_Pār.3. yo punabhikṣuḥ svahastaṃ manuṣyavigrahaṃ jīvitād	PrMoSU(MA)_PAr.3. yaH puna-BikzuH sva-hastam manuzya-vigraham jIvitAt-
   vyāparopeya śastrahārakaṃ vāsya paryeyeya maraṇāya cainaṃ samādāpeya	vyAparopeya Sastra-hArakam vA-asya paryeyeya maraNAya ca-enam samAdApeya
   maraṇāvaṇṇaṃ vāsya saṃvaṇṇeya hambho puruṣa kinte iminā pāpakena	maraNa-avaNNam vA-asya saMvaNNeya hamBaH puruza kinte iminA pApakena
   durjjīvitena viśjīvitena mṛtante jīvitācchreyo iti cittamalaṃ	durjjIvitena viSjIvitena mRtante jIvitAt-SreyaH iti cittam-alam
   cittasaṃkalpamanekaparyāyeṇa maraṇāya cainaṃ samādāpeya maraṇavaṇṇavāsya	citta-saMkalpam-aneka-paryAyeNa maraNAya ca-enam samAdApeya maraNa-vaNNavAsya
   saṃvaṇṇeya so ca puruṣo tenopakrameṇa kālaṃ kuryānnānyena ayaṃ pi bhikṣūḥ	saMvaNNeya saH ca puruzaH tena-upakrameNa kAlam kuryAt-na-anyena ayam pi BikzUH
   pārājiko bhavatyasaṃvāsyo na labhate bhikṣuhi sārdhasaṃvāsaṃ /	pArAjikaH Bavati-asaMvAsyaH na laBate Bikzuhi sArDa-saMvAsam /
   idaṃ bhagavatā veśālīyaṃ śikṣāpadaṃ prajñaptaṃ ṣaḍvarṣo'bhisaṃmbuddhena	idam BagavatA veSAlIyam SikzA-padam prajQaptam zaz-varzaH-aBisaMmbudDena
   hemante pakṣe tṛtīye divase daśame paścād bhuktaṃ purastābhimukhāniṣaṇṇena	hemante pakze tRtIye divase daSame paScAt Buktam purasta-aBimuKa-AnizaNNena
   arddhatṛtīyena pauruṣāyāṃcchāyāyāṃ sambahulāna gilānopasthāpakān	ardDa-tRtIyena pOruzAyAn=-CAyAyAm sambahulAna gilAna-upasTApakAn
   bhikṣūnārabhya mṛgadaṇḍikaṃ ca parivrajakamimasya ca śikṣāpadasya	BikzUn-AraBya mRgadaNxikam ca parivrajakam-imasya ca SikzA-Apadasya
   prajñaptirddharmo yathā praṇihitasya ca yā anuvarttanatā ayamucyate	prajQaptirdDarmaH yaTA praNihitasya ca yA anuvarttana-tA ayam-ucyate
   anudharmo /	anuDarmaH /
   PrMoSū(Mā)_Pār.4. yo punabhikṣuranabhijānanuparijānannātmopanāyikamuttari	PrMoSU(MA)_PAr.4. yaH puna-BikzuH-anaBijAnanu-parijAnan=-AtmA-upanAyikam-uttari
   manuṣya [dharmaṃ] it / ayaṃ pi bhikṣūḥ dharmmamalamāryajñānadaśanaṃ	manuzya [Darman] id / ayam pi BikzUH Darmma-malam-Arya-jQAna-daSanam
   viśeṣādhiśeṣādhigama pratijāneya iti jānāmi iti paśyāmīti / so tadapareṇa	viSeza-aDiSeza-aDigama pratijAneyaH iti jAnAmi iti paSyAmi-iti / saH tad-apareNa
   samayena samanugrāhiyamāṇo, vā a[sa] manugrāhiyamāṇo vā āpanno	samayena samanugrAhiyamANo, vA a[sa] manu-grAhiyamANaH vA ApannaH-
   viśuddhiprokṣo evamavaci / ajānannevāhamāyuṣmanto avaci jānāmi / ayaṃ pi	viSudDi-prokzaH evam-avaci / ajAnan=-eva-aham-AyuzmantaH avaci jAnAmi / ayam pi
   paśyāmīti iti tucchaṃ mṛṣāvilāpamanyatrābhimānāt / ayaṃ pi bhikṣūḥ	paSyAmi-iti iti tucCam mRzA-vilApam-anyatra-aBimAnAt / ayam pi BikzUH
   pārājiko bhavatyasaṃvāsyo na labhate bhikṣūhi sārddhaṃsaṃ [vāsaṃ] /	pArAjikaH Bavati-asaMvAsyaH na laBate BikzUhi sArdDaMsam [vAsaM] /
   idaṃ bhagavatā śrāvastīyaṃ śikṣāpadaṃ prajñaptaṃ ṣaḍvarṣābhisaṃbuddhena	idam BagavatA SrAvastIyam SikzA-padam prajQaptam zaz-varza-aBisaMbudDena
   hemante pakṣe catuththe divase trayodaśame pūre bhuktaṃ uttarāmu	hemante pakze catuTTe divase trayodaSame pUre Buktam uttarAmu
   khaniṣaṇṇena arddhantha pauruṣāyāṃcchāyāyāṃ sambahulān grāmavāsikā	KanizaNNena ardDanTa pOruzAyAn=-CAyAyAm sambahulAn grAmavAsikA
   bhikṣunārabhya ābhimānikaṃ ca bhikṣu imasya ca śikṣāpadasya	Bikzut-A-AraByaH ABimAnikam ca Bikzu imasya ca SikzA-Apadasya
   prajñaptirddharmo yathāpraṇihitasya ca yā anuvarttanatā ayamucyate	prajQaptirdDarmaH yaTApraNihitasya ca yA anuvarttana-tA ayam-ucyate
   anudharmo /	anuDarmaH /
   udyānaṃ // [1] maithunaṃ [2] adinnādānaṃ [3] vadho manuṣyavigrahaṃ [4]	udyAnam // [1] mETunam [2] adinna-AdAnam [3] vaDaH manuzya-vigraham [4]
   syātkṛtena cottarimanuṣyadharma pratijānatīti //	syAt-kRtena ca-uttari-manuzya-Darma pratijAnati-iti //
   uddiṣtāḥ // kho punarāyuṣmano catvāraḥ pārājikā dharmāḥ / yeṣāṃ	uddiztAH // KaH punar-AyuzmanaH catvAraH pArAjikAH DarmAH / yezAm
   bhikṣuritonyatarāmāpattimāpadyetvā pārājiko bhavatyasamvāsyo na labhate hi	BikzuH-ita-unyatarAmApattim-ApadyetvA pArAjikaH Bavati-asamvAsyaH na laBate hi
   bhikṣuhi sārddhasaṃvāsaṃ / yathāpūrvve tathā paścādyathāpaścāttathā pūrvve	Bikzuhi sArdDa-saMvAsam / yaTApUrvve taTA paScAt-yaTA-paScAt-taTA pUrvve
