   namas tārāyai	namaH tArAyE
   (79.24) nyāyabhūṣaṇo 'pi lapati / prathamakāryotpādanakāle hi	(79.24) nyAya-BUzaNaH api lapati / praTama-kArya-utpAdana-kAle hi
   uttarakāryotpādanasvabhāvaḥ / ataḥ prathamakāla evāśeṣāṇi kāryāṇi kuryād	uttara-kArya-utpAdana-svaBAvaH / atas praTama-kAle eva-aSezANi kAryANi kuryAt-
   iti cet /	iti ced /
   (79.26) tad idaṃ mātā me vandhyety ādivat svavacanavirodhād ayuktam / yo	(79.26) tat idam mAtA me vanDyA-iti Adi-vat sva-vacana-viroDAt ayuktam / yaH-
   hi uttarakāryajananasvabhāvaḥ sa katham ādau tat kāryaṃ kuryāt / na tarhi	hi uttara-kArya-janana-svaBAvaH sa kaTam AdO tat kAryam kuryAt / na tarhi
   tatkāryakaraṇasvabhāvaḥ / na hi nīlotpādanasvabhāvaḥ pītādikam api	tad-kArya-karaNa-svaBAvaH / na hi nIla-utpAdana-svaBAvaH pIta-Adikam api
   karotīti /	karoti-iti /
   (80.1) vācaspatir api paṭhati / nanv ayam akṣaṇikaḥ svarūpeṇa kāryaṃ	(80.1) vAcaspatiH api paWati / nanu ayam akzaNikaH sva-rUpeNa kAryam
   janayati / tac cāsya svarūpaṃ tṛtīyādiṣiva kṣaṇeṣu dvitīye 'pi kṣaṇe sad	janayati / tat ca-asya svarUpam tRtIya-Adiziva kzaNezu dvitIye api kzaNe sad
   iti tadāpi janayet / akurvan vā tṛtīyādiṣv api na kurvīta / tasya	iti tadA-api janayet / akurvan vA tRtIya-Adizu api na kurvIta / tasya
   tādāvasthyāt / atādavasthye vā tad evāsya kṣaṇikatvam /	tAdO=-asTyAt / atAdavasTye vA tat eva-asya kzaNika-tvam /
   (80.4) atrocyate / satyaṃ svarūpeṇa kāryaṃ janayati na tu tenaiva /	(80.4) atra-ucyate / satyam svarUpeNa kAryam janayati na tu tena-eva /
   sahakārisahitād eva tataḥ kāryotpattidarśanāt / tasmād	sahakAri-sahitAt eva tatas kArya-utpatti-darSanAt / tasmAt-
   vyāptivatkāryakāraṇabhāvo 'py ekatrānyayogavyavacchedena /	vyApti-vat-kArya-kAraNa-BAvaH api ekatra-anya-yoga-vyavacCedena /
   anyatrāyogavyavacchedenanāvaboddhavyaḥ / tathaiva laukikaparīkṣakāṇāṃ	anyatra-ayoga-vyavacCedenana-avabodDavyaH / taTA-eva lOkika-parIkzakANAm
   sampratipatter iti na kramikāryakāritvapakṣoktadoṣāvasaraḥ /	sampratipatteH iti na krami-kArya-kAri-tva-pakza-ukta-doza-avasaraH /
   (80.8) nāpy akṣaṇike yaugapadyapakṣoktadoṣāvakāśaḥ / ye hi kāryam	(80.8) na-api akzaNike yOgapadya-pakza-ukta-doza-avakASaH / ye hi kAryam
   utpāditavanto dravyaviśeṣās teṣāṃ vyāpārasya niyatakāryotpādanasamarthasya	utpAditavantaH dravya-viSezAH tezAm vyApArasya niyata-kArya-utpAdana-samarTasya
   niṣpādite kārye 'nuvartamāneṣv api teṣu dravyeṣu nivṛttārthād ūnā sāmagrī	nizpAdite kArye anuvartamAnezu api tezu dravyezu nivRtta-arTAt UnA sAmagrI
   jāyate / tat kathaṃ niṣpāditaṃ niṣpādayiṣyati / na hi daṇḍādayaḥ	jAyate / tat kaTam nizpAditam nizpAdayizyati / na hi daNxa-AdayaH
   svabhāvenaiva kartāro yenāmi niṣpatter ārabhya kāryaṃ vidadhyuḥ / kiṃ	svaBAvena-eva kartAraH yenAmi nizpatteH AraBya kAryam vidaDyuH / kim
   tarhi vyāpārāveśinaḥ / na ceyatā svarūpeṇa na kartāraḥ /	tarhi vyApAra-AveSinaH / na ceyatA svarUpeNa na kartAraH /
   svarūpakārakatvanirvāhaparatayā vyāpārasamāveśād iti /	sva-rUpa-kAraka-tva-nirvAha-para-tayA vyApAra-samAveSAt iti /
   (80.13) kiṃ ca kramākramābhāvaś ca bhaviṣyati / na ca sattvābhāva iti	(80.13) kim ca krama-akrama-aBAvaH ca Bavizyati / na ca sattva-aBAvaH iti
   sandigdhavyatireko 'py ayaṃ vyāpakānupalambhaḥ / na hi kramākramābhyām	sandigDa-vyatirekaH api ayam vyApaka-anupalamBaH / na hi krama-AkramAByAm
   anyasya prakārasyābhāvaḥ siddhaḥ / viśeṣaniṣedhasya	anyasya prakArasya-aBAvaH sidDaH / viSeza-nizeDasya
   śeṣābhyanujñāviṣayatvāt /	Seza-aByanujQA-vizaya-tvAt /
   (80.16) kiṃ ca prakārāntarasya dṛśyatve nātyantaniṣedhaḥ / adṛśyatve tu	(80.16) kim ca prakAra-antarasya dRSya-tve na-atyanta-nizeDaH / adRSya-tve tu
   nāsattāniścayo viprakarṣiṇām iti na kramākramābhyām arthakriyāsāmarthyasya	na-asattA-niScayaH vipra-karziNAm iti na krama-AkramAByAm arTa-kriyA-sAmarTyasya
   vyāptisiddhiḥ / ataḥ sandigdhavyatireko 'pi vyāpakānupalambhaḥ /	vyApti-sidDiH / atas sandigDa-vyatirekaH api vyApaka-anupalamBaH /
   (80.19) kiṃ ca dṛśyādṛśyasahakāripratyayasākalyavataḥ	(80.19) kim ca dRSya-adRSya-sahakAri-pratyaya-sAkalyavataH
   kramayaugapadyasyātyantaparokṣatvāt tena vyāptaṃ sattvam api parokṣam	krama-yOgapadyasya-atyanta-parokza-tvAt tena vyAptam sattvam api parokzam
   eveti na tāvat pratibandhaḥ pratyakṣataḥ sidhyati / nāpy anumānataḥ /	eva-iti na tAvat pratibanDaH pratyakzataH siDyati / na-api anumAnataH /
   tatpratibaddhaliṅgābhāvād iti /	tad-pratibadDa-liFga-aBAvAt iti /
   (80.22) api ca kramākramābhyām arthakriyākāritvaṃ vyāptam ity	(80.22) api ca krama-AkramAByAm arTa-kriyA-kAritvam vyAptam iti-
   atisubhāṣitam / yadi krameṇa vyāptaṃ katham akrameṇa, athākrameṇa na tarhi	ati-su-BAzitam / yadi krameNa vyAptam kaTam akrameNa, aTa-akrameNa na tarhi
   krameṇa / kramākramābhyāṃ vyāptim iti tu bruvatā vyāpter evābhāvaḥ	krameNa / krama-AkramAByAm vyAptim iti tu bruvatA vyApteH eva-aBAvaH
   pradarśito bhavati / na hi bhavaty agnir dhūmabhāvābhāvābhyāṃ vyāpta iti /	pradarSitaH Bavati / na hi Bavati agniH DUma-BAva-aBAvAByAm vyAptaH iti /
   ato vyāpter anaikāntikatvam /	atas vyApteH anEkAntika-tvam /
   (80.26) api ca kim idaṃ bādhakam akṣaṇikānām asattāṃ sādhayati / utasvid	(80.26) api ca kim idam bADakam akzaNikAnAm asattAm sADayati / uta-svid
   akṣaṇikāt sattvasya vyatirekam / atha sattvakṣaṇikatvayoḥ pratibandham /	akzaNikAt sattvasya vyatirekam / aTa sattva-kzaNika-tvayoH pratibanDam /
   (80.28) na pūrvo vikalpaḥ / uktakrameṇa hetor āśrayāsiddhatvāt /	(80.28) na pUrvaH vikalpaH / ukta-krameNa hetoH ASraya-asidDa-tvAt /
   (80.29) na ca dvitīyaḥ / yato vyāpakanivṛttisahitā vyāpyanivṛttir	(80.29) na ca dvitIyaH / yatas vyApaka-nivRtti-sahitA vyApya-nivRttiH-
   vyatirekaśabdasyārthaḥ / sā ca yadi pratyakṣeṇa pratīyate tadā taddhetuḥ	vyatireka-Sabdasya-arTaH / sA ca yadi pratyakzeNa pratIyate tadA tad-hetuH
   syād iti sattvam anaikāntikam / vyāpakānupalambhaḥ svarūpāsiddhiḥ / atha	syAt iti sattvam anEkAntikam / vyApaka-anupalamBaH svarUpa-asidDiH / aTa
   sā vikalpyate tadā pūrvoktakrameṇa pañcadhā vikalpya vikalpo dūṣaṇīyaḥ /	sA vikalpyate tadA pUrva-ukta-krameNa paQcaDA vikalpya vikalpaH dUzaNIyaH /
   (81.1) ata eva na tṛtīyo 'pi vikalpaḥ / vyatirekāsiddhau sambandhāsiddheḥ	(81.1) atas eva na tRtIyaH api vikalpaH / vyatireka-asidDO sambanDa-asidDeH
   (81.2) kiṃ ca na bhūtalavad atrākṣaṇiko dharmi dṛśyate / na ca	(81.2) kim ca na BU-tala-vat atra-akzaNikaH Darmi dRSyate / na ca
   svabhāvānupalambhe vyāpakānupalambhaḥ kasya cit dṛśyasya pratipattim	svaBAva-anupalamBe vyApaka-anupalamBaH kasya cit dRSyasya pratipattim
   antareṇāntarbhāvayituṃ śakyata iti /	antareNa-antar-BAvayitum Sakyate iti /
   (81.4) kiṃ cāsyābhāvadharmatve āśrayāsiddhatvam itaretarāśrayatvaṃ ca /	(81.4) kim ca-asya-aBAva-Darma-tve ASraya-asidDa-tvam itaretara-ASraya-tvam ca /
   bhāvadharmatve viruddhatvaṃ ca / ubhayadharmatve cānaikāntikatvam iti na	BAva-Darma-tve virudDa-tvam ca / uBaya-Darma-tve ca-anEkAntika-tvam iti na
   trayīṃ doṣajātim atipatati /	trayIm doza-jAtim atipatati /
   (81.6) yat punar uktam akṣaṇikatve kramayaugapadyābhyām arthakriyāvirodhād	(81.6) yat punar uktam akzaNika-tve krama-yOgapadyAByAm arTa-kriyA-viroDAt-
   iti / tatra virodhasiddhim anusaratā virodhy api pratipattavyaḥ /	iti / tatra viroDa-sidDim anusaratA viroDi api pratipattavyaH /
   tatpratītināntarīyakatvād virodhasiddheḥ / yathā tuhinadahanayoḥ	tad-pratItinA-antarIyaka-tvAt viroDa-sidDeH / yaTA tuhinadahanayoH
   sāpekṣadhruvabhāvayoś ca /	sa-apekzaDruva-BAvayoH ca /
   (81.8) pratiyogī cākṣaṇikaḥ pratīyamānaḥ pratītikāritvāt sann eva syāt	(81.8) pratiyogI ca-akzaNikaH pratIyamAnaH pratIti-kAri-tvAt san eva syAt-
   ajanakasyāprameyatvāt /	ajanakasya-aprameya-tvAt /
   (81.10) saṃvṛtisiddhenākṣaṇikatvena virodhasiddhir iti cet /	(81.10) saMvRti-sidDena-akzaNika-tvena viroDa-sidDiH iti ced /
   saṃvṛtisiddham api vāstavaṃ kālpanikaṃ vā syāt /	saMvRti-sidDam api vAstavam kAlpanikam vA syAt /
   (81.12) yadi vāstavaṃ kathaṃ tasyāsattvam / kathaṃ	(81.12) yadi vAstavam kaTam tasya-asattvam / kaTam
   cārthakriyākāritvavirodhaḥ / arthakriyāṃ kurvad dhi vāstavam ucyate /	ca-arTa-kriyA-kAritva-viroDaH / arTa-kriyAm kurvat Di vAstavam ucyate /
   (81.14) atha kālpanikam / tatra kiṃ virodho vāstavaḥ, kālpaniko vā / na	(81.14) aTa kAlpanikam / tatra kim viroDaH vAstavaH, kAlpanikaH vA / na
   tāvad vāstavaḥ / kalpitavirodhivirodhatvāt, vandhyāputravirodhavat / atha	tAvat vAstavaH / kalpita-viroDi-viroDa-tvAt, vanDyA-putra-viroDa-vat / aTa
   virodho 'pi kālpanikaḥ / na tarhi sattvasya vyatirekaḥ pāramārthika iti	viroDaH api kAlpanikaH / na tarhi sattvasya vyatirekaH pAramArTikaH iti
   kṣaṇabhaṅgo dattajalāñjalir iti /	kzaNa-BaFgaH datta-jala-aQjaliH iti /
   (81.17) ayam eva codyaprabandho 'smad gurūbhiḥ saṃgṛhītaḥ /	(81.17) ayam eva codya-prabanDaH asmat gurUBiH saMgRhItaH /
   (81.18) nityaṃ nāsti na vā pratītiviṣayas tenāśrayāsiddhatā hetoḥ	(81.18) nityam na-asti na vA pratIti-vizayaH tena-ASraya-asidDa-tA hetoH
   svānubhavasya ca kṣatir ataḥ kṣiptaḥ sapakṣo 'pi ca / śūnyaṃ ca dvitayena	sva-anuBavasya ca kzatiH atas kziptaH sa-pakzaH api ca / SUnyam ca dvitayena
   sidhyati na cāsattāpi sattā yathā no nityena virodhasiddhir asatā śakṣā	siDyati na ca-asattA-api sattA yaTA naH nityena viroDa-sidDiH asatA SakzA
   kramāder api / iti (kṣaṇabhaṅgādhyāye) /	krama-AdeH api / iti (kzaNa-BaFga-aDyAye) /
   (81.23) atrocyate / iha vastuny api dharmidharmavyavahāro dṛṣṭo yathā gavi	(81.23) atra-ucyate / iha vastuni api Darmi-Darma-vyavahAraH dRzwaH yaTA gavi
   gotvam, paṭe śuklatvam turage gamanam ityādi / avastuny api	go-tvam, pawe Sukla-tvam turage gamanam ityAdi / avastuni api
   dharmidharmavyavahāro dṛṣṭo yathā śaśaviṣāṇe tīkṣṇatvābhāvo vandhyāputre	Darmi-Darma-vyavahAraH dRzwaH yaTA SaSa-vizANe tIkzNa-tva-aBAvaH vanDyA-putre
   vaktṛtvābhāvo gaganāravinde gandhābhāva ityādi / tatrāvastuni dharmitvaṃ	vaktR-tva-aBAvaH gagana-aravinde ganDa-aBAvaH ityAdi / tatra-avastuni Darmi-tvam
   nāstīti kiṃ vastudharmeṇa dharmitvaṃ nāsti / āhosvid avastudharmeṇāpi /	na-asti-iti kim vastu-DarmeNa Darmi-tvam na-asti / Ahosvit avastu-DarmeNa-api /
   (81.27) prathamapakṣe siddhasādhanam / dvitīyapakṣe tu svavacanavirodhaḥ /	(81.27) praTama-pakze sidDa-sADanam / dvitIya-pakze tu sva-vacana-viroDaH /
   yad āhur guravaḥ //	yat AhuH guravaH //
   (81.28) dharmasya kasya cid avastuni mānasiddhā bādhāvidhivyavahṛtiḥ kim	(81.28) Darmasya kasya cit avastuni mAna-sidDA bADA-viDi-vyavahRtiH kim
   ihāsti no vā kvāpy asti cet katham iyanti na dūṣaṇāni nāsty eva cet	iha-asti no vA kvApi asti ced kaTam iyanti na dUzaNAni na-asti eva ced-
   svavacanapratirodhasiddhiḥ /	sva-vacana-pratiroDa-sidDiH /
   (82.1) avastuno dharmitvasvīkārapūrvakatvasya vyāpakasyābhāvād	(82.1) avastunaH Darmi-tva-svIkAra-pUrvaka-tvasya vyApakasya-aBAvAt-
   āśrayāsiddhidūṣaṇasyānupanyāsaprasaṅga ity arthaḥ / yenaiva hi	ASraya-asidDi-dUzaNasya-anupanyAsa-prasaFgaH iti arTaH / yena-eva hi
   vacanenāvastuno dharmitvaṃ pratiṣidhyate / tenaivāvastuno dharmitvābhāvena	vacanena-avastunaH Darmi-tvam pratiziDyate / tena-eva-avastunaH Darmi-tva-aBAvena
   dharmeṇa dharmitvam abhyupagatam / paraṃ tu pratiṣidhyata iti vyaktam idam	DarmeNa Darmi-tvam aByupagatam / param tu pratiziDyate iti vyaktam idam
   īśvaraceṣṭitam / tathā hy avastuno dharmitvaṃ nāstīti vacanena	ISvara-cezwitam / taTA hi avastunaH Darmi-tvam na-asti-iti vacanena
   dharmitvābhāvaḥ kim avastuni vidhīyata, anyatra vā, na vā kva cid apīti	Darmi-tva-aBAvaH kim avastuni viDIyata, anyatra vA, na vA kva cit api-iti
   trayaḥ pakṣāḥ /	trayaH pakzAH /
   (82.6) prathamapakṣe 'vastuno na dharmitvaniṣedhaḥ / dharmitvābhāvasya	(82.6) praTama-pakze avastunaH na Darmi-tva-nizeDaH / Darmitva-aBAvasya
   dharmasya tatraiva vidhānāt /	Darmasya tatra-eva viDAnAt /
   (82.7) dvitīye 'vastuni kimāyātam / anyatra dharmitvābhāvavidhānāt /	(82.7) dvitIye avastuni kim-AyAtam / anyatra Darmi-tva-aBAva-viDAnAt /
   (82.8) tṛtīyas tu pakṣo vyartha eva nirāśrayatvād iti katham avastuno	(82.8) tRtIyaH tu pakzaH vyarTaH eva nirASraya-tvAt iti kaTam avastunaH-
   dharmitvaniṣedhaḥ / tasmād yathā pramāṇopanyāsaḥ prameyatvasvīkāra	Darmitva-nizeDaH / tasmAt yaTA pramANa-upanyAsaH prameya-tva-svIkAra
