   śrī gaṇapataye namaḥ |	SrI gaNapataye namaH |
   pramāṇabuddhiprakarā yatkriyāyā vikalpanāḥ |	pramANa-budDi-prakarAH yat-kriyAyAH vikalpanAH |
   saiva vicchinnavicchinnakriyā jñānodyamā yadā || 14 ||	sA-eva vicCinna-vicCinna-kriyA jQAna-udyamA yadA || 14 ||
   karmabuddhyakṣatāṃ prāptā tadāsau paśur ucyate |	karma-budDi-akzatAm prAptA tadA-asO paSuH ucyate |
   itīcchayā sa bhagavān bhairavaḥ parimīyate || 15 ||	iti-icCayA sa BagavAn BEravaH parimIyate || 15 ||
   mitavṛttis satī sā ca śaktis tam anuvartate |	mita-vRttiH satI sA ca SaktiH tam anuvartate |
   tasya vidyeśasādākhyaśivatās saṃkucatsthiteḥ |	tasya vidyeSa-sAda-AKya-Siva-tAH saMkucat-sTiteH |
   dehaprāṇabuddhiśūnyapramātṛtvam upāgaman || 16 ||	deha-prANa-budDi-SUnya-pramAtR-tvam upAgaman || 16 ||
   tasyāsādhāraṇī sṛṣṭis tattannānāvikalpanā |	tasya-asADAraNI sRzwiH tad-tad-nAnA-vikalpanA |
   śaivasargotthasaṃskārasaṃskṛtasya tadāśrayā || 17 ||	SEva-sarga-utTa-saMskAra-saMskRtasya tad-ASrayAH || 17 ||
   pramātaivāyam etāvatprakāro 'vagrahotsave |	pramAtA-eva-ayam etAvat-prakAraH avagraha-utsave |
   avyagro vartate svātmany avikalpe cidātmake || 18 ||	avyagraH vartate sva-Atmani avikalpe cit-Atmake || 18 ||
   vatsa paśya tvam evaitat advayatvena saṃvidaḥ |	vatsa paSya tvam eva-etat advaya-tvena saMvidaH |
   viditaṃ tanmayaṃ viśvam anyat tuccham asad yataḥ || 19 ||	viditam tad-mayam viSvam anyat tucCam asat yatas || 19 ||
   kim upāyam idaṃ tattvaṃ yato 'nyan naiva sambhavi |	kim upAyam idam tattvam yatas anyat na-eva samBavi |
   ananyopāyam etat tadātmopāyaṃ pracakṣate || 20 ||	ananya-upAyam etat tadAtma-upAyam pracakzate || 20 ||
   saṃhṛtya sarvataś cintām [aha]m ity anuśīlayan |	saMhRtya sarvatas cintAm [aha]m iti anuSIlayan |
   avikalpāṃ svasaṃvittiṃ pratyakṣāṃ pratipadyate || 21 ||	avikalpAm sva-saMvittim pratyakzAm pratipadyate || 21 ||
   anantaitāvadākārasvīkāre 'py ekalakṣaṇām |	ananta-etAvat-AkAra-svIkAre api eka-lakzaNAm |
   tāṃ svasaṃvidam āviśya vikalpān na vikalpayet || 22 ||	tAm sva-saMvidam AviSya vikalpAt na vikalpayet || 22 ||
   khecaryādicatussrotovāhapūrṇamahāhradām |	KecarI-Adi-catussrotaH-vAha-pUrNa-mahA-hradAm |
   vyomeśvarīm ātmacitiṃ vigāhya broḍayej jaḍam || 23 ||	vyomeSvarIm Atma-citim vigAhya broxayet jaxam || 23 ||
   sargasthāpanasaṃhāranigrahānugrahakramāt |	sarga-sTApana-saMhAra-nigraha-anugraha-kramAt |
   pañcakṛtyāni kurvāṇaḥ śivo 'ham iti viśvaset || 24 ||	paQca-kRtyAni kurvANaH SivaH aham iti viSvaset || 24 ||
   kṣepajñānaprasaṃkhyā[naga]tinādakrameṇa vā |	kzepa-jQAna-prasaMKyA[-naga]ti-nAda-krameNa vA |
   guruvaktreṇa tāny ātmany ākalayya kṛtī bhavet || 25 ||	guru-vaktreNa tAni Atmani Akalayya kRtI Bavet || 25 ||
   vikalpayitvā viśvātmā bhairavo 'haṃ mamaiva tāḥ |	vikalpayitvA viSvAtmA BEravaH aham mama-eva tAH |
   viśvabhaṅgyo yathā vahner jvālābhaṅgyaḥ prabhā raveḥ || 26 ||	viSva-BaFgyaH yaTA vahneH jvAlA-BaFgyaH praBA raveH || 26 ||
   eko 'haṃ mātṛvijñānamānameyaprakāravān |	ekaH aham mAtR-vijQAna-mAnameya-prakAravAn |
   śuddhabodhādirūpeṇa khecaryādicaturdaśaḥ || 27 ||	SudDa-boDa-Adi-rUpeNa KecarI-Adi-caturdaSaH || 27 ||
   medāmedaprakāreṇa bandhamokṣau vibhāvayan |	medA-meda-prakAreNa banDa-mokzO viBAvayan |
   bhairavo 'smīti visrambhāt svācchandyaṃ paramaṃ vrajet || 28 ||	BEravaH asmi-iti visramBAt svAcCandyam paramam vrajet || 28 ||
   antaḥkārabahiṣkārāv akālakramam ātmanaḥ |	antaHkAra-bahizkArO akAla-kramam AtmanaH |
   aparādhīnam ādhatse yat tvaṃ prābhavanirbharaḥ || 29 ||	apara-aDInam ADatse yat tvam prABava-nirBaraH || 29 ||
   anuttaravisargātmaviśramodayayāmalam |	anuttara-visarga-Atma-viSrama-udayayAmalam |
   saṃghaṭṭaś śivaśaktyos tadantare cānyaśaktayaḥ || 30 ||	saMGawwaH Siva-SaktyoH tad-antare ca-anya-SaktayaH || 30 ||
   ānandeccheśanonmeṣā ūnatā ceśanecchayoḥ |	Ananda-icCeSana-unmezA Una-tA ca-ISana-icCayoH |
   asphuṭasphuṭabhedena vedyollāsas tayor vidaḥ || 31 ||	asPuwa-sPuwa-Bedena vedya-ullAsaH tayoH vidaH || 31 ||
   ānandānuttarābhyāṃ ca sandhībhāvo 'tha vedanā |	Ananda-anuttarAByAm ca sanDIBAvaH aTa vedanA |
   vedyānāṃ prāṇabhūteti pūrṇaṃ tad bhairavaṃ vapuḥ || 32 ||	vedyAnAm prANaBUtA-iti pUrNam tat BEravam vapuH || 32 ||
   vedyollāso 'yam icchāyām īśane caikataḥ sthitaḥ |	vedya-ullAsaH ayam icCAyAm ISane ca-ekatas sTitaH |
   sthūlatvena pṛthivyādibhūtapañcakatām iyāt || 33 ||	sTUla-tvena pRTivI-Adi-BUta-paQcaka-tAm iyAt || 33 ||
   sūkṣmatvena ca gandhādipañcatanmātratāṃ tataḥ |	sUkzma-tvena ca ganDa-Adi-paQca-tanmAtra-tAm tatas |
   karaṇatvena saṃsparśād indriyāṇāṃ dvipañcatām || 34 ||	karaNa-tvena saMsparSAt indriyANAm dvi-paQcatAm || 34 ||
   vedyatāyāḥ chādanena vettṛtodbhāsanakrame |	vedya-tAyAH CAdanena vettR-ta-udBAsana-krame |
   mano 'haṃbuddhitāṃ eṣām avibhāge pradhānatām |	manaH ahaMbudDi-tAm ezAm aviBAge praDAna-tAm |
   puruṣatvaṃ ca saṃkocavikāsau yadapekṣayā || 35 ||	puruza-tvam ca saMkoca-vikAsO yad-apekzayA || 35 ||
   abhūvann iṣyasaṃyogād dvirūpād ubhayātmanaḥ |	aBUvan izya-saMyogAt dvi-rUpAt uBaya-AtmanaH |
   icchāsvarūpād unmeṣād anyathānuttarāyutāt || 36 ||	icCA-svarUpAt unmezAt anyaTA-anuttara-ayutAt || 36 ||
   catasraś śaktyo 'ntaḥsthāḥ puṃso 'syāntaś ca dhārikāḥ |	catasraH SaktyaH antaHsTAH puMsaH asya-antar ca DArikAH |
   cidvyomno jaḍabhūmeś ca māyāmayyas triśaṅkuvat || 37 ||	cit-vyomnaH jaxa-BUmeH ca mAyA-mayyaH triSaFku-vat || 37 ||
   icchāśaktes trirūpāyās tisro 'nyāś śaktyo 'bhavan |	icCA-SakteH trirUpAyAH tisraH anyAH SaktyaH aBavan |
   visargo 'yam athātyarthaṃ sphuṭo 'bhūt sṛjyavistarāt || 38 ||	visargaH ayam aTa-atyarTam sPuwaH aBUt sRjya-vistarAt || 38 ||
   etat sṛṣṭvātmaśaktīnām itaretaramiśrāt |	etat sRzwvA-Atma-SaktInAm itaretara-miSrAt |
   bhavet kṣobhāntaraṃ nāsmād visargād bāhyato bhavet || 39 ||	Bavet kzoBa-antaram na-asmAt visargAt bAhyatas Bavet || 39 ||
   iyatsarvaṃ sad icchādidvārānuttarabhairave |	iyat-sarvam sat icCA-Adi-dvAra-anuttaraBErave |
   viśramya viśramya muhus tata eva visṛjyate || 40 ||	viSramya viSramya muhur tatas eva visRjyate || 40 ||
   antarnilīnānantārthasvātmāmarśaś citiḥ parā |	antar-nilIna-ananta-arTasva-Atma-AmarSaH citiH parA |
   ekavāravahād yeyaṃ mantrī vāk śuddhakartṛtā || 41 ||	eka-vAra-vahAt yA-iyam mantrI vAc SudDa-kartR-tA || 41 ||
   trivahaṃ tripathaṃ tristhaṃ kālaṃ sā karṣati svataḥ |	tri-vaham tripaTam tri-sTam kAlam sA karzati svatas |
   bahis tataś cātmanīti śrīparā kālakarṣiṇī || 42 ||	bahis tatas ca-Atmani-iti SrI-parA kAla-karziNI || 42 ||
   bheditāntaḥkṛtākha.ṅdabhāvāvekṣā parāparā |	Bedita-antar-kRta-AKa.Fda-BAva-avekzA para-aparA |
   kartṛtā saiva paśyantī tasyaiveśadaśāśrayā || 43	kartR-tA sA-eva paSyantI tasya-eva-ISa-daSA-ASrayAH || 43
   madhyamā sakramā sthūlā antaḥkaraṇavartinī |	maDyamA sa-kramA sTUlA antaHkaraNa-vartinI |
   vikalpanābhinnavācyā prāṇavṛttivibheditā || 44 ||	vikalpana-aBinna-vAcyA prANa-vRtti-viBeditAH || 44 ||
   svavāsanātādavasthyād daśayoḥ pūrvayor api |	sva-vAsanA-tAdavasTyAt daSayoH pUrvayoH api |
   māyāmātur mitatvaṃ syāt paśyantyāś ca kramo hy aṇuḥ || 45 ||	mAyA-mAtuH mita-tvam syAt paSyantyAH ca kramaH hi aNuH || 45 ||
   tayor āviśya daśayoḥ kramāc chāntavikalpayoḥ |	tayoH AviSya daSayoH kramAt SAnta-vikalpayoH |
   dhanyas svasaṃvidvistāraṃ sāścaryam anupaśyati || 46 ||	DanyaH sva-saMvid-vistAram sa-AScaryam anupaSyati || 46 ||
   sā sthānakaraṇāghātapuṃvyāpārātmikā satī |	sA sTAna-karaNa-AGAta-puMvyApAra-AtmikA satI |
   vaikharī vṛttayo yasyāstā imāḥ śrutigocarāḥ || 47 ||	vEKarI vRttayaH yasyAH-tAH imAH Sruti-gocarAH || 47 ||
   ābhiḥ parasparaṃ jñānasaṃkrāntyātmā sa laukikaḥ |	ABiH parasparam jQAna-saMkrAnti-AtmA sa lOkikaH |
   vyavahāro 'tha śāstrīyo nānāsaṃkocasaṃkaṭaḥ || 48 ||	vyavahAraH aTa SAstrIyaH nAnA-saMkoca-saMkawaH || 48 ||
   iti vāgvyāptividvāṃsam etadvargādhidevatāḥ |	iti vAc-vyApti-vidvAMsam etad-varga-aDidevatAH |
   māheśvarīmukhā devyo jāgare 'pi na bhuñjate || 49 ||	mAheSvarI-muKAH devyaH jAgare api na BuQjate || 49 ||
   upāyenāgrahaḥ kārya upeyā bhairavīsthitiḥ |	upAyena-AgrahaH kAryaH upeyA BEravI-sTitiH |
   yāsau svasaṃvit tām eva sarvopāyāṃ samāviśet || 50 ||	yA-asO sva-saMvid tAm eva sarva-upAyAm samAviSet || 50 ||
   ādyantāntargatānantavācyavācakanirbharam |	Adi-anta-antargata-ananta-vAcya-vAcaka-nirBaram |
   rahasyaṃ mantramudrāṇāṃ prapadye 'nuttaraṃ mahaḥ || 51 ||	rahasyam mantra-mudrANAm prapadye anuttaram mahaH || 51 ||
   śambhor abhinnahṛdayā jayanti guravaḥ purā |	SamBoH aBinna-hRdayAH jayanti guravaH purA |
   nirvyutthānasamādhānaprāptaparyantasaṃpadaḥ || 52 ||	nirvyutTAna-samADAna-prApta-paryanta-saMpadaH || 52 ||
   || namaḥ śivāya ||	|| namaH SivAya ||
   || paripūrṇā kṛtir iyaṃ śrimadābhinavaguptanāthasya	|| paripUrNA kRtiH iyam Srima-dA-aBinava-gupta-nATasya
   paryantapañcāśikā nāma ||	paryantapaQcASikA nAma ||
   Gandharva-nagaram / DSO Sanskrit Archive	GanDarva--nagaram / DSO Sanskrit ArCive
