   laghusiddhāntakaumudī	laGu-sidDAnta-kOmudI
   vānto yi pratyaye // VLk_24 = P_6,1.79 //	vAntaH yi pratyaye // VLk-_24  P_6,1.79 //
   yakārādau pratyaye pare odautorav āv etau staḥ / gavyam / nāvyam /	yakAra-AdO pratyaye pare odOtorav A etO staH / gavyam / nAvyam /
   (adhvaparamāṇe ci) / gavyūtiḥ //	(aDva-paramANe ci) / gavyUtiH //
   adeṅ guṇaḥ // VLk_25 = P_1,1.2 //	adeF guNaH // VLk-_25  P_1,1.2 //
   at eṅ ca guṇasaṃjñaḥ syāt //	at ek ca guNa-saMjQaH syAt //
   taparastatkālasya // VLk_26 = P_1,1.70 //	taparaH-tad-kAlasya // VLk-_26  P_1,1.70 //
   taḥ paro yasmātsa ca tātparaścoccāryamāṇasamakālasyaiva saṃjñā syāt //	tas paraH yasmAt-sa ca tAtparaH-ca-uccAryamANa-sama-kAlasya-eva saMjQA syAt //
   ādguṇaḥ // VLk_27 = P_6,1.87 //	AdguNaH // VLk-_27  P_6,1.87 //
   avarṇādaci pare pūrvaparayoreko guṇa ādeśaḥ syāt / upendraḥ / gaṅgodakam	avarNAt-aci pare pUrva-parayoH-ekaH guNaH AdeSaH syAt / upendraH / gaFgA-udakam
   upadeśe 'janunāsika it // VLk_28 = P_1,3.2 //	upadeSe ajanu-nAsikaH id // VLk-_28  P_1,3.2 //
   upadeśe 'nunāsiko 'jitsaṃjñaḥ syāt / pratijñānunāsikyāḥ pāṇinīyāḥ /	upadeSe anunAsikaH ajit-saMjQaH syAt / pratijQAnu-nAsikyAH pANinIyAH /
   laṇsūtrasthāvarṇena sahoccāryamāṇo repho ralayoḥ saṃjñā //	laNsUtra-sTAvarNena saha-uccAryamANaH rePaH ralayoH saMjQA //
   uraṇ raparaḥ // VLk_29 = P_1,1.51 //	uraj raparaH // VLk-_29  P_1,1.51 //
   ṛ iti triṃśataḥ saṃjñetyuktam / tatsthāne yo 'ṇ sa raparaḥ sanneva	R iti triMSataH saMjQA-iti-uktam / tad-sTAne yaH aN sa raparaH san=-A-iva
   pravartate / kṛṣṇarddhiḥ / tavalkāraḥ //	pravartate / kRzNa-RdDiH / tavalkAraH //
   lopaḥ śākalyasya // VLk_30 = P_8,3.19 //	lopaH SAkalyasya // VLk-_30  P_8,3.19 //
   avarṇapūrvayoḥ padāntayoryavayorlopo vāśi pare //	avarNa-pUrvayoH pada-antayoH-yavayoH-lopaH vASi pare //
   pūrvatrāsiddham // VLk_31 = P_8,2.1 //	pUrvatra-asidDam // VLk-_31  P_8,2.1 //
   sapādasaptādhyāyīṃ prati tripādyasiddhā, tripādyāmapi pūrvaṃ prati paraṃ	sa-pAda-sapta-aDyAyIm prati tripAdya-sidDA, tripAdyAm-api pUrvam prati param
   śāstramasiddham / hara iha, harayiha / viṣṇa iha, viṣṇaviha //	SAstram-asidDam / haraH iha, harayiha / vizNa iha, vizNaviha //
   vṛddhirādaic // VLk_32 = P_1,1.1 //	vRdDiH-AdEt // VLk-_32  P_1,1.1 //
   ādaicca vṛddhisaṃjñaḥ syāt //	AdEt-ca vRdDi-saMjQaH syAt //
   vṛddhireci // VLk_33 = P_6,1.88 //	vRdDireci // VLk-_33  P_6,1.88 //
   ādeci pare vṛddhirekādeśaḥ syāt / guṇāpavādaḥ / kṛṣṇaikatvam / gaṅgaughaḥ	Adeci pare vRdDiH-ekAdeSaH syAt / guNa-apavAdaH / kRzNa-eka-tvam / gaFgA-oGaH
   / devaiśvaryam / kṛṣṇautkaṇṭhyam //	/ deva-ESvaryam / kRzNA-OtkaNWyam //
   etyedhatyūṭhsu // VLk_34 = P_6,1.89 //	etyeDati-UWsu // VLk-_34  P_6,1.89 //
   avarṇādejādyoretyedhatyorūṭhi ca pare vṛddhirekādeśaḥ syāt / upaiti /	avarNAt-eja-AdyoH-etyeDatyaH-rUWi ca pare vRdDiH-ekAdeSaH syAt / upEti /
   upaidhate / praṣṭhauhaḥ / ejādyoḥ kim ? upetaḥ / mā bhavānpredidhat /	upEDate / prazWOhaH / eja-AdyoH kim ? upetaH / mA BavAn-prediDat /
   (akṣādūhanyāmupisaṃkhyānam) / akṣauhaṇī senā / (prādūhoḍhoḍhyeṣaiṣyeṣu) /	(akzAdUhanyAm-upisaMKyA-nam) / akzOhaNI senA / (prAdUha-UXoXyeza-ezya-izu) /
   prauhaḥ / prauḍhaḥ / prauḍhiḥ / praiṣaḥ / praiṣyaḥ / (ṛte ca tṛtīyāsamāse)	prOhaH / prOXaH / prOXiH / prEzaH / prEzyaH / (Rte ca tRtIyA-samAse)
   / sukhena ṛtaḥ sukhārtaḥ / tṛtīyeti kim ? paramartaḥ /	/ suKena RtaH suKa-ArtaH / tRtIyA-iti kim ? parama-rtaH /
   (pravatsatarakambalavasanārṇadaśānāmṛṇe) / prārṇam, vatsatarrāṇam, ityādi	(pravatsatara-kambala-vasana-arNa-daSAnAm-RNe) / prArNam, vatsatarrANam, ityAdi
   upasargāḥ kriyāyoge // VLk_35 = P_1,4.59 //	upasargAH kriyA-yoge // VLk-_35  P_1,4.59 //
   prādayaḥ kriyāyoge upasargasaṃjñāḥ syuḥ / pra parā apa sam anu ava nis	prAdayaH kriyA-yoge upasarga-saMjQAH syuH / pra parA apa sam anu ava nis
   nira dus dura vi āṅ ni adhi api ati su ut abhi prati para upi - ete	nira dus dura vi Ak ni aDi api ati su ud aBi prati paraH upi  ete
   prādayaḥ //	prAdayaH //
   bhūvādayo dhātavaḥ // VLk_36 = P_1,3.1 //	BUva-AdayaH DAtavaH // VLk-_36  P_1,3.1 //
   kriyāvācino bhvādayo dhātusaṃjñāḥ syuḥ //	kriyA-vAcinaH Bva-AdayaH DAtu-saMjQAH syuH //
   upasargādṛti dhātau // VLk_37 = P_6,1.91 //	upasargAt-Rti DAtO // VLk-_37  P_6,1.91 //
   avarṇāntādupasargāddakārādau dhātau pare vṛddhirekādeśaḥ syāt / prārcchati	avarNa-antAt-upasargAt-dakAra-AdO DAtO pare vRdDiH-ekAdeSaH syAt / prArcCati
   eṅi pararūpam // VLk_38 = P_6,1.94 //	eFi para-rUpam // VLk-_38  P_6,1.94 //
   ādupasargādeṅādau dhātau pararūpamekādeśaḥ syāt / prejate / upoṣati //	Adupasarga-AdeFa-AdO DAtO para-rUpam-ekAdeSaH syAt / prejate / upozati //
   aco 'ntyādi ṭi // VLk_39 = P_1,1.64 //	acaH antyAdi wi // VLk-_39  P_1,1.64 //
   acāṃ madhye yo 'ntyaḥ sa ādiryasya taṭ ṭisaṃjñaṃ syāt / (śakandhvādiṣu	acAm maDye yaH antyaH saH AdiH-yasya taw wi-saMjQam syAt / (Sa-kanDvAdizu
   pararūpaṃ vācyam) / tacca ṭeḥ / śakandhuḥ / karkandhuḥ manīṣā / ākṛtigaṇo	para-rUpam vAcyam) / tat-ca weH / SakanDuH / karkanDuH manIzA / AkRti-gaNaH-
   'yam / mārttaṇḍaḥ //	ayam / mArttaNxaH //
   omāṅośca // VLk_40 = P_6,1.95 //	omAFoH-ca // VLk-_40  P_6,1.95 //
   omi āṅi cātpare pararūpamekādeśaḥ syāt / śivāyoṃṃ namaḥ / śiva ehi //	omi AFi ca-atpare para-rUpam-ekAdeSaH syAt / SivAyoMm namaH / SivaH ehi //
   antādivacca // VLk_41 = P_6,1.85 //	anta-Adi-vat-ca // VLk-_41  P_6,1.85 //
   yo 'yamekādeśaḥ sa pūrvasyāntavatparasyādivat / śivehi //	yaH ayam-eka-AdeSaH sa pUrvasya-antavat-parasya-Adi-vat / Sivehi //
   akaḥ savarṇe dīrghaḥ // VLk_42 = P_6,1.101 //	akaH savarNe dIrGaH // VLk-_42  P_6,1.101 //
   akaḥ savarṇe 'ci pare pūrvaparayordīrgha ekādeśaḥ syāt / daityāraḥ /	akaH savarNe aci pare pUrva-parayoH-dIrGaH ekAdeSaH syAt / dEtya-AraH /
   śrīśiḥ / viṣṇūdayaḥ / hotṝkāraḥ //	SrI-SiH / vizNu-udayaH / hotLkAraH //
   eṅaḥ padāntādati // VLk_43 = P_6,1.109 //	eFaH padAntAt-ati // VLk-_43  P_6,1.109 //
   padāntādeṅo'ti pare pūrvarūpamekādeśaḥ syāt / hare'va / viṣṇo 'va //	pada-anta-At-eFaH-ati pare pUrvarUpam-ekAdeSaH syAt / hare-avaH / vizNo avaH //
   sarvatra vibhāṣāḥ goḥ // VLk_44 = P_6,1.122 //	sarvatra viBAzAH goH // VLk-_44  P_6,1.122 //
   loke vede caiṅantasya gorati vā prakṛtibhāvaḥ padānte / goagram, go 'gram	loke vede ca-eFantasya gorati vA prakRti-BAvaH pada-ante / goagram, gaH agram
   / eṅantasya kim ? citragvagram / padānte kim? goḥ //	/ eFantasya kim ? citragvagram / pada-ante kim? goH //
   anekāl śitsarvasya // VLk_45 = P_1,1.55 //	anekAt Sitsarvasya // VLk-_45  P_1,1.55 //
   iti prāpte //	iti prApte //
   ṅicca // VLk_46 = P_1,1.53 //	Ficca // VLk-_46  P_1,1.53 //
   ṅidanekālapyantyasyayaiva syāt //	FidanekAlapyantyasyayA-eva syAt //
   avaṅ sphoṭāyanasya // VLk_47 = P_6,1.133 //	avaF sPowAyanasya // VLk-_47  P_6,1.133 //
   padānte eṅantasya goravaṅ vāci / gavāgram, go 'gram / padānte kim ? gavi	pada-ante eFantasya goravaF vAci / gavAgram, gaH agram / pada-ante kim ? gavi
   indre ca // VLk_48 = P_6,1.124 //	indre ca // VLk-_48  P_6,1.124 //
   goravaṅ syādindre / gavendraḥ //	goravaF syAt-indre / gavA-indraH //
   dūrāddhūte ca // VLk_49 = P_8,2.84 //	dUrAt-DUte ca // VLk-_49  P_8,2.84 //
   dūrātsambodhane vākyasya ṭeḥ pluto vā //	dUrAt-samboDane vAkyasya weH plutaH vA //
   plutapragṛhyā aci nityam // VLk_50 = P_6,1.125 //	pluta-pragRhyAH aci nityam // VLk-_50  P_6,1.125 //
   ete 'ci prakṛtyā syuḥ / āgaccha kṛṣṇa 3 atra gauścarati //	ete aci prakRtyA syuH / AgacCa kRzNa 3 atra gOH-carati //
   īdūded dvivacanaṃ pragṛhyam // VLk_51 = P_1,1.11 //	IdUdet dvivacanam pragRhyam // VLk-_51  P_1,1.11 //
   īdūdedantaṃ dvivacanaṃ pragṛhyaṃ syāt / harī etau / viṣṇū imau / gaṅge amū	IdUdet-antam dvivacanam pragRhyam syAt / harI etO / vizNU imO / gaFge amU
   adaso māt // VLk_52 = P_1,1.12 //	adasaH mAt // VLk-_52  P_1,1.12 //
   asmātparāvīdūtau pragṛhyau staḥ / amī īśāḥ / rāmakṛṣṇāvamū āsāte / mātkim	asmAt-parAvIdUtO pragRhyO staH / amI ISAH / rAma-kRzNO=-amU AsAte / mAt-kim
   ? amuke 'tra //	? amuke atra //
   cādayo 'satve // VLk_53 = P_1,4.57 //	ca-AdayaH asatve // VLk-_53  P_1,4.57 //
   adravyārthāścādayo nipātāḥ syuḥ //	adravya-arTAH-ca-AdayaH nipAtAH syuH //
   prādayaḥ // VLk_54 = P_1,4.58 //	prAdayaH // VLk-_54  P_1,4.58 //
   ete 'pi tathā //	ete api taTA //
   nipāta ekājanāṅ // VLk_55 = P_1,1.14 //	nipAtaH eka-ajanAF // VLk-_55  P_1,1.14 //
   eko 'j nipāta āṅvarjaḥ pragṛhyaḥ syāt / i indraḥ / u umeśaḥ /	ekaH aj nipAtaH AFvarjaH pragRhyaH syAt / i indraH / u umA-ISaH /
   'vākyasmaraṇayoraṅit; ā evaṃ nu manyase / ā evaṃ kila tat / anyatra ṅit ;	avAkya-smaraNayoH-aFit; A evam nu manyase / A evam kila tat / anyatra Fit ;
   ā īṣaduṣṇam oṣṇam //	A Izat-uzNam ozNam //
   ot // VLk_56 = P_1,1.15 //	ot // VLk-_56  P_1,1.15 //
   odanto nipātaḥ pragṛhyaḥ syāt / aho īśāḥ //	odantaH nipAtaH pragRhyaH syAt / aho ISAH //
   sambuddhau śākalyasyetāvanārṣe // VLk_57 = P_1,1.16 //	sambudDO SAkalyasya-itAvana-Arze // VLk-_57  P_1,1.16 //
   sambuddhinimittaka okāro vā pragṛhyo 'vaidike itau pare / viṣṇo iti, viṣṇa	sambudDi-nimittakaH okAraH vA pragRhyaH avEdike itO pare / vizNo iti, vizNa
   iti, viṣṇaviti //	iti, vizNa-viti //
   maya uño vo vā // VLk_58 = P_8,3.33 //	mayaH uQaH vaH vA // VLk-_58  P_8,3.33 //
   mayaḥ parasya uño vo vāci / kimvuktam, kimu uktam //	mayaH parasya uQaH vaH vAci / kimvuktam, kimu uktam //
   iko 'savarṇe śākalyasya hrasvaśca // VLk_59 = P_6,1.127 //	ikaH asavarNe SAkalyasya hrasvaH-ca // VLk-_59  P_6,1.127 //
   padāntā iko hrasvā vā syurasavarṇe 'ci / hrasvavidhisāmarthyānna	pada-antA ikaH hrasvA vA syuH-asavarNe aci / hrasva-viDi-sAmarTyAn-na
   svarasandhiḥ / cakri atra, cakraytra / padāntā iti kim ? gauryau -.	svara-sanDiH / cakri atra, cakraytra / pada-antAH iti kim ? gOryO -.
   aco rahābhyāṃ dve // VLk_60 = P_8,4.46 //	acaH rahAByAm dve // VLk-_60  P_8,4.46 //
   acaḥ parābhyāṃ rephahakārābhyāṃ parasya yaro dve vā staḥ / gauryyau / (na	acaH parAByAm rePa-hakArAByAm parasya yaraH dve vA staH / gOryyO / (na
   samāse) / vāpyaśvaḥ //	samAse) / vA-api-aSvaH //
   ṛtyakaḥ // VLk_61 = P_6,1.128 //	RtyakaH // VLk-_61  P_6,1.128 //
   ṛti pare padāntā akaḥ prāgvadvā / brahma ṛṣiḥ, brahmarṣiḥ / padāntāḥ kim ?	Rti pare pada-antAH akaH prAgvat-vA / brahma RziH, brahmarziH / pada-antAH kim ?
   ārchat //	ArCat //
   ityacsandhiḥ	iti-acsanDiH
   atha hal sandhiḥ	aTa hal sanDiH
   stoḥ ścunā ścuḥ // VLk_62 = P_8,4.40 //	stoH ScunA ScuH // VLk-_62  P_8,4.40 //
   sakāratavargayoḥ śakāracavargābhyāṃ yoge śakāracavargau staḥ / rāmaśśete /	sa-kArata-vargayoH SakAra-cavargAByAm yoge SakAra-cavargO staH / rAmaH-Sete /
   rāmaścinoti / saccit / śārṅgiñjaya //	rAmaH-cinoti / saccit / SArFgiQjaya //
   śāt // VLk_63 = P_8,4.44 //	SAt // VLk-_63  P_8,4.44 //
   śātparasya tavargasya cutvaṃ na syāt / viśnaḥ / praśnaḥ //	SAtparasya tavargasya cu-tvam na syAt / viSnaH / praSnaH //
   ṣṭunā ṣṭuḥ // VLk_64 = P_8,4.41 //	zwunA zwuH // VLk-_64  P_8,4.41 //
   stoḥ ṣṭunā yoge ṣṭuḥ syāt / rāmaṣṣaṣṭhaḥ / rāmaṣṭīkate / peṣṭā / taṭṭīkā /	stoH zwunA yoge zwuH syAt / rAmazzazWaH / rAmazwIkate / pezwA / tawwIkAH /
   cakriṇḍhaukase //	cakriNXOkase //
   na padāntāṭṭoranām // VLk_65 = P_8,4.42 //	na padAnta-awwa-uranAm // VLk-_65  P_8,4.42 //
   padāntāṭṭavargātparasyānāmaḥ stoḥ ṣṭurna syāt / ṣaṭ santaḥ / ṣaṭ te /	pada-anta-awwa-vargAt-parasya-anAmaH stoH zwuH-na syAt / zaw santaH / zaw te /
   padāntātkim ? īṭṭe / ṭoḥ kim ? sarpiṣṭamam / (anāmnavatinagarīṇāmiti	pada-antAt-kim ? Iwwe / woH kim ? sarpizwamam / (a-nAmnavati-nagarINAm-iti
   vācyam) / ṣaṇṇavatiḥ / ṣaṇṇagaryyaḥ //	vAcyam) / zaNNavatiH / zaNNagaryyaH //
   toḥ ṣi // VLk_66 = P_8,4.43 //	toH zi // VLk-_66  P_8,4.43 //
