   Kṣemendraviracitā	Kzema indra viracitA
   etadākarṇya nṛpatirnirgatyāmātyasaṃmataḥ /	etat AkarNya nRpatiH nirgatya amAtya saMmataH /
   dadarśa dviradaṃ dvāri kailāsamiva jaṅgamam // KAvk_1.13 //	dadarSa dviradam dvAri kElAsam iva jaFgamam // Ka avc _1.13 //
   uddāmasaurabhāhūtairbhramarairgaṇḍaḍiṇḍimaiḥ /	uddAma sOraBA hUtEH BramarEH gaNxa xiNximEH /
   śṛṅgārābharaṇodāraṃ vasantamiva sevitam // KAvk_1.14 //	SRFgAra ABaraNa udAram vasantam iva sevitam // Ka avc _1.14 //
   dantaparyantaviśrāntakaraṃ mīlitalocanam /	danta paryanta viSrAnta karam mIlita locanam /
   smarantaṃ vindhyakadalīsallakīkānanaśriyaḥ // KAvk_1.15 //	smarantam vinDya kadalI sallakI kAnana SriyaH // Ka avc _1.15 //
   agastyaśāsanād yātaṃ bhuvi kuñjararājatām /	agastya SAsanAt yAtam Buvi kuQjara rAja tAm /
   sphuratsaptacchadāmodaṃ vindhyācalamivonnatam // KAvk_1.16 //	sPurat saptacCada Amodam vinDya acalam iva unnatam // Ka avc _1.16 //
   taṃ vilokya kṣitipatirdantastambhavibhūṣitam /	tam vilokya kzitipatiH danta stamBa viBUzitam /
   lakṣmīvilāsabhavanaṃ vismayādityacintayat // KAvk_1.17 //	lakzmI vilAsa Bavanam vismayAt iti acintayat // Ka avc _1.17 //
   aho navanavotkarṣā nirmāṇāścaryaśālinām /	aho nava nava utkarzAH nirmANa AScarya SAlinAm /
   karmaṇāmanavacchinnā saṃsārasargasaṃtatiḥ // KAvk_1.18 //	karmaNAm anavacCinnA saMsAra sarga saMtatiH // Ka avc _1.18 //
   amanthena sudhāmbhodheranāyāsena vāsukeḥ /	amanTena suDA amBoDeH anAyAsena vAsukeH /
   anākarṣeṇa śailasya kenāyaṃ janito gajaḥ // KAvk_1.19 //	anAkarzeNa SElasya kena ayam janitaH gajaH // Ka avc _1.19 //
   atha hastimahāmātraṃ saṃyātaṃ nāma bhūpatiḥ /	aTa hasti mahAmAtram saMyAtam nAma BUpatiH /
   ādideśārcitādeśaṃ gajo 'yaṃ damyatāmiti // KAvk_1.20 //	AdideSa arcita AdeSam gajaH ayam damyatAm iti // Ka avc _1.20 //
   tadādiśya mahīpāle yāte 'ntaḥpuramandiram /	tat AdiSya mahIpAle yAte antaHpura mandiram /
   nāgaṃ jagrāha saṃyātaḥ sarvaśikṣābharakṣamam // KAvk_1.21 //	nAgam jagrAha saMyAtaH sarva SikzA Bara kzamam // Ka avc _1.21 //
   sa sacchiṣya iva prājñaḥ prāgjanmābhyāsayantritaḥ /	sa sat SizyaH iva prAjQaH prAc janma aByAsa yantritaH /
   nītastena prayatnena sarvaśikṣāvinītatām // KAvk_1.22 //	nItaH tena prayatnena sarva SikzA vinIta tAm // Ka avc _1.22 //
   bahudānanirudvegaḥ śaktyutsāhayutaḥ kṣamī /	bahu dAna nirudvegaH Sakti utsAha yutaH kzamI /
   ripupraghātasugatiḥ sa rājñastulyatāṃ yayau // KAvk_1.23 //	ripu praGAta su gatiH sa rAjQaH tulya tAm yayO // Ka avc _1.23 //
   damyakriyāsamuttīrṇaṃ tatastaṃ kuñjareśvaram /	damya kriyA samuttIrNam tatas tam kuQjara ISvaram /
   nareśvarāya saṃyātaḥ kṛtakṛtyo nyavedayat // KAvk_1.24 //	nareSvarAya saMyAtaH kRtakRtyaH nyavedayat // Ka avc _1.24 //
   dṛṣṭvā tamaṅkuśāyattaṃ nirvikārabalodayam /	dRzwvA tam aFkuSa Ayattam nirvikAra bala udayam /
   utsāhaśikharārūḍhaṃ mene rājā jayaśriyam // KAvk_1.25 //	utsAha SiKara ArUXam mene rAjA jaya Sriyam // Ka avc _1.25 //
   sa saṃjātapraharṣotthadākṣyaśikṣādidṛkṣayā /	sa saMjAta praharza utTa dAkzya SikzA Adi dRkzayA /
   tamāruroha sotsāhaḥ sahasrāṃśurivodayam // KAvk_1.26 //	tam Aruroha sa utsAhaH sahasrAMSuH iva udayam // Ka avc _1.26 //
   saṃyāto 'tha gajendrasya mantrīva vaśavartinaḥ /	saMyAtaH aTa gaja indrasya mantrI iva vaSa vartinaH /
   sarvamaṇḍalasaṃcāracāturthaṃ samadarśayat // KAvk_1.27 //	sarva maNxala saMcAra cAturTam samadarSayat // Ka avc _1.27 //
   gajaprekṣāprasaṅgena mṛgayākelilālasaḥ /	gaja prekzA prasaFgena mRgayA keli lAlasaH /
   rājā nijotsāhamiva vyagāhata vanaṃ mahat // KAvk_1.28 //	rAjA nija utsAham iva vyagAhata vanam mahat // Ka avc _1.28 //
   sa yayau ratnakeyūrakiraṇairdūrasarpībhiḥ /	sa yayO ratna keyUra kiraNEH dUra sarpIBiH /
   sallakīpallavavarairdignāgānāhvayanniva // KAvk_1.29 //	sallakI pallava varEH diS na AgAn Ahvayan= iva // Ka avc _1.29 //
   vrajantaṃ tatra dadṛśustaṃ vane vanadevatāḥ /	vrajantam tatra dadRSuH tam vane vana devatAH /
   praharṣavismayākīrṇakarṇapūrīkṛtekṣaṇāḥ // KAvk_1.30 //	praharza vismaya AkIrNa karNa pUrIkRta IkzaNAH // Ka avc _1.30 //
   śabarīkabarīpāśapuṣpasaurabhanirbharāḥ /	SabarI kabarI pASa puzpa sOraBa nirBarAH /
   vaindhyā vasuṃdharādhīśaṃ marutastaṃ siṣevire // KAvk_1.31 //	vEnDyAH vasuMDarA aDISam marutaH tam sizevire // Ka avc _1.31 //
   atha vindhyopakaṇṭheṣu svacchandasukhaśākhiṣu /	aTa vinDya upakaNWezu svacCanda suKa SAKizu /
   smṛtvā vilāsavṛttāntaṃ gajaḥ sotkaṇṭhatāṃ yayau // KAvk_1.32 //	smRtvA vilAsa vRttAntam gajaH sa utkaNWa tAm yayO // Ka avc _1.32 //
   kariṇyāḥ premabaddhāyā gandhamāghrāya sa dvipaḥ /	kariNyAH prema badDAyAH ganDam AGrAya sa dvipaH /
   nītiṃ nṛpa ivotsiktastatyājāṅkuśayantraṇām // KAvk_1.33 //	nItim nRpaH iva utsiktaH tatyAja aFkuSa yantraNAm // Ka avc _1.33 //
   savegaṃ dhāvatastasya rāgākṛṣṭasya daṇḍinaḥ /	sa vegam DAvataH tasya rAga AkRzwasya daNxinaH /
   vimūḍhasyeva saṃsāre nābhavadviratiḥ kkacit // KAvk_1.34 //	vimUXasya iva saMsAre na aBavat viratiH kkacid // Ka avc _1.34 //
   dṛṣṭvā prabhañjanajavaṃ kuñjaraṃ rājakuñjaraḥ /	dRzwvA praBaQjana javam kuQjaram rAja kuQjaraH /
   vrajantaṃ jātasaṃdehaḥ saṃyātamidamabravīt // KAvk_1.35 //	vrajantam jAta saMdehaH saMyAtam idam abravIt // Ka avc _1.35 //
   aho batāyaṃ bhavatā vinayaṃ grāhito gajaḥ /	aho bata ayam BavatA vinayam grAhitaH gajaH /
   dṛṣṭaḥ prayāto vaimukhyaṃ gurorasyāṅkuśasya yaḥ // KAvk_1.36 //	dRzwaH prayAtaH vEmuKyam guroH asya aFkuSasya yaH // Ka avc _1.36 //
   bhramatīva diśāṃ cakramanuyāntīva pādapāḥ /	Bramati iva diSAm cakram anuyAnti iva pAdapAH /
   pādanyāsabhareṇāsya kṣībeṇādhūrṇate kṣitiḥ // KAvk_1.37 //	pAda nyAsa BareNa asya kzIbeNa ADUrNate kzitiH // Ka avc _1.37 //
   asmin deva ivākāle prayāte pratikūlatām /	asmin devaH iva akAle prayAte pratikUla tAm /
   sarvāḥ puruṣakārasya niṣphalā yatnavṛttayaḥ // KAvk_1.38 //	sarvAH puruzakArasya nizPalAH yatna vRttayaH // Ka avc _1.38 //
   vacaḥ śrutveti saṃyātaḥ prabhorāyātasādhvasaḥ /	vacaH SrutvA iti saMyAtaH praBoH AyAta sADvasaH /
   śikṣāpavādavailakṣyāduvāca racitāñjaliḥ // KAvk_1.39 //	SikzA apavAda vElakzyAt uvAca racita aQjaliH // Ka avc _1.39 //
   deva sarvakriyāyattaḥ kuñjaro 'yaṃ mayā kṛtaḥ /	deva sarva kriyA AyattaH kuQjaraH ayam mayA kRtaH /
   kariṇīgandhamāghrāya yātaḥ kiṃ tvadya vikriyām // KAvk_1.40 //	kariNI ganDam AGrAya yAtaH kim tu adya vikriyAm // KAvc _1.40 //
   nopadeśaṃ na niyamaṃ na dākṣiṇyaṃ na sādhutām /	na upadeSam na niyamam na dAkziNyam na sADu tAm /
   smaranti jantavaḥ kāmaṃ kāmasya vaśamāgatāḥ // KAvk_1.41 //	smaranti jantavaH kAmam kAmasya vaSam AgatAH // KAvc _1.41 //
   kena ratirasotsiktā viṣayābhimukhī matiḥ /	kena rati rasa utsiktA vizaya aBimuKI matiH /
   adabhraśvabhravibhraṣṭaśaolakulyeva vāryate // KAvk_1.42 //	adaBra SvaBra viBrazwa Saola kulyA iva vAryate // Ka avc _1.42 //
   śarīraśramaśikṣāyāṃ damakāḥ kuśalā vayam /	SarIra Srama SikzAyAm damakAH kuSalAH vayam /
   manoniyamaśikṣāyāṃ munayo 'pi na paṇḍitāḥ // KAvk_1.43 //	manaH niyama SikzAyAm munayaH api na paNxitAH // KAvc _1.43 //
   rāgādagaṇitāyāsaḥ skhalitākhilasaṃyamaḥ /	rAgAt agaNita AyAsaH sKalita aKila saMyamaH /
   eṣa dhāvatyamāreṇa mūrkhaḥ khala iva dvipaḥ // KAvk_1.44 //	eza DAvatyamAreNa mUrKaH KalaH iva dvipaH // Ka avc _1.44 //
   vṛkṣaśākhāṃ samālambya tyajemaṃ pṛthivīpate /	vRkza SAKAm samAlambya tyaja imam pRTivIpate /
   vyasanī patitaḥ satyaṃ pātayatyeva durjanaḥ // KAvk_1.45 //	vyasanI patitaH satyam pAtayati eva durjanaH // Ka avc _1.45 //
   saṃyātasya vacaḥ śrutvā tatkālasadṛśaṃ nṛpaḥ /	saMyAtasya vacaH SrutvA tad kAla sadRSam nRpaH /
   tenaiva sahitaḥ śākhāmālalambe mahātaroḥ // KAvk_1.46 //	tena eva sahitaH SAKAm Ala lambe mahA taroH // Ka avc _1.46 //
   avatīrya taroraśvamāruhya nṛpatau gate /	avatIrya taroH aSvam Aruhya nRpatO gate /
   prāpyāliliṅga kariṇīṃ vigāhya gahanaṃ gajaḥ // KAvk_1.47 //	prApya aliliFga kariNIm vigAhya gahanam gajaH // Ka avc _1.47 //
   tataḥ śāntasmaro hastī dinairabhyetya saptabhiḥ /	tatas SAntasmaraH hastI dinEH aByetya saptaBiH /
   svayamālānasaṃbaddhastasthau bhuktvā yathāsukham // KAvk_1.48 //	svayam AlAna saMbadDaH tasTO BuktvA yaTAsuKam // Ka avc _1.48 //
   śikṣāsaṃyamayantritaṃ taṃ dṛṣṭvā svayamāgatam /	SikzA saMyama yantritam tam dRzwvA svayam Agatam /
   saṃyātaḥ kauśalotkarṣaharṣādrājñe nyavedayat // KAvk_1.49 //	saMyAtaH kOSala utkarza harzAt rAjQe nyavedayat // Ka avc _1.49 //
   rāgavāgurayākṛṣṭaḥ prayayau yaḥ smarāturaḥ /	rAga vAgurayA AkRzwaH prayayO yaH smara AturaH /
   śikṣāyāmavisaṃvādī so 'yaṃ prāptaḥ svayaṃ gajaḥ // KAvk_1.50 //	SikzAyAm avisaMvAdI saH ayam prAptaH svayam gajaH // KAvc _1.50 //
   saṃketayantrito vaśyo rasajñaḥ sallakībhuvām /	saMketa yantritaH vaSyaH rasa jQaH sallakIBuvAm /
   saṃtaptalohakavalaṃ gṛhṇāti vinaye sthitaḥ // KAvk_1.51 //	saMtapta loha kavalam gRhNAti vinaye sTitaH // Ka avc _1.51 //
   eṣa kāmarasākṛṣṭaḥ kaṣṭāṃ vikṛtimāyayau /	eza kAma rasa AkRzwaH kazwAm vikRtim AyayO /
   punaḥ prakṛtimāpannaḥ praśāntamadanajvaraḥ // KAvk_1.52 //	punar prakRtim ApannaH praSAnta madana jvaraH // KAvc _1.52 //
   śakyā damayituṃ deva siṃhavyāghragajādayaḥ /	SakyA damayitum deva siMha vyAGra gaja AdayaH /
   na tu rāgāsavakṣībaviṣayābhimukhaṃ manaḥ // KAvk_1.53 //	na tu rAga AsavakzIba vizaya aBimuKam manaH // Ka avc _1.53 //
   etadākarṇya bhūpālastattatheti vicintayan /	etat AkarNya BUpAlaH tat taTA iti vicintayan /
   uvāca satyamucitaṃ saṃyāta kathitaṃ tvayā // KAvk_1.54 //	uvAca satyam ucitam saMyAta kaTitam tvayA // Ka avc _1.54 //
   apyasti kaścilloke 'smin yena cittamadadvipaḥ /	api asti kaScid loke asmin yena citta mada dvipaH /
   nītaḥ praśamaśīlena saṃyamālānalīnatām // KAvk_1.55 //	nItaH praSama SIlena saMyamAlAna lIna tAm // KAvc _1.55 //
   ityukte de vatāviṣṭaḥ saṃyātastamabhāṣata /	iti ukte de vata AvizwaH saMyAtaH tam aBAzata /
   deva santi jagatkleśaniḥśeṣonmūlanodyatāḥ // KAvk_1.56 //	deva santi jagat kleSa niHSeza unmUlana udyatAH // Ka avc _1.56 //
   vivekālokitā loke vairāgyajanitāgrahāḥ /	viveka AlokitAH loke vErAgya janita AgrahAH /
   śamasaṃtoṣaviśadā buddhā eva prabodhinaḥ // KAvk_1.57 //	Sama saMtoza viSadAH budDAH eva praboDinaH // Ka avc _1.57 //
   iti buddhābhidhāṃ śrutvā samyaksaṃbodhicetasaḥ /	iti budDa aBiDAm SrutvA samyaksaMboDi cetasaH /
   rājñaḥ prāgjanmajābhyāsapraṇidhānamajāyata // KAvk_1.58 //	rAjQaH prAc janma ja aByAsa praNiDAnam ajAyata // Ka avc _1.58 //
   vinimajjajjagadidaṃ saṃsāre makarākare /	vinimajjat jagat idam saMsAre makarAkare /
   saṃtārayeyaṃ saṃbodhimuktaḥ kuśalasetunā // KAvk_1.59 //	saMtArayeyam saMboDi muktaH kuSala setunA // Ka avc _1.59 //
   athocurdevatā vyonmastaṃ śuddhāvāsakāyikāḥ /	aTa UcuH devatAH vyonmaH tam SudDAvAsa kAyikAH /
   samyaksaṃbodhisaṃbuddho bhaviṣyasi mahāmate // KAvk_1.60 //	samyaksaMboDi saMbudDaH Bavizyasi mahAmate // Ka avc _1.60 //
   iti tadvacanaṃ śrutvā rājā virajasāṃ varaḥ /	iti tat vacanam SrutvA rAjA virajasAm varaH /
   jātismaro divyacakṣuḥ prayayau bodhisattvatām // KAvk_1.61 //	jAtismaraH divya cakzuH prayayO boDisattva tAm // Ka avc _1.61 //
   atha sa vipulasattvastattvanikṣiptacakṣur	aTa sa vipula sattvaH tattva nikzipta cakzuH 
   bhavajalanidhimajjatsarvabhūtānukampī /	Bava jalaniDi majjat sarva BUta anukampI /
   abhavadabhinavodyatsaṃvuditsāhayogād	aBavat aBinavA udyat saMvuditsAha yogAt 
   dalitakuśalasetuḥ sattvasaṃtāraṇāya // KAvk_1.62 //	dalita kuSala setuH sattva saMtAraNAya // Ka avc _1.62 //
   iti kṣemendraviracitāyāṃ bodhisattvāvadānakalpalatāyāṃ prabhāsāvadānaṃ	iti kzema indra viracitAyAm boDisattva avadAna kalpa latAyAm praBAsa avadAnam
   nāma prathamaḥ pallavaḥ samāptaḥ //	nAma praTamaH pallavaH samAptaH //
   2. śrīsenāvadānam /	2. SrI senA avadAnam /
   te jayanti jagatyasjin puṇyacandanapādapāḥ /	te jayanti jagati asjin puNya candana pAdapAH /
   chedanirgharṣadāhe 'pi ye parārtheṣu nirvyathāḥ // KAvk_2.1 //	Ceda nirGarza dAhe api ye para arTezu nirvyaTAH // Ka avc _2.1 //
   gaṇanīyā guṇagaṇairastyariṣṭābhidhā purī /	gaNanIyA guNa gaNEH asti arizwa aBiDA purI /
   spardhayā śakranagarī yasyā na syādgarīyasī // KAvk_2.2 //	sparDayA Sakra nagarI yasyAH na syAt garIyasI // Ka avc _2.2 //
   tasyāṃ babhūva bhūpālaḥ śrīsena iti viśrutaḥ /	tasyAm baBUva BUpAlaH SrI senaH iti viSrutaH /
   samagraguṇaratnānāṃ ratnākara ivākaraḥ // KAvk_2.3 //	samagra guNa ratnAnAm ratnAkaraH iva AkaraH // Ka avc _2.3 //
   paropakāraśaktasya caturasya prabhāvataḥ /	para upakAra Saktasya caturasya praBAvataH /
   anuraktā diśaḥ sarvāḥ sūryasyeva prabhāvataḥ // KAvk_2.4 //	anuraktAH diSaH sarvAH sUryasya iva praBAvataH // Ka avc _2.4 //
   yaśobhi śobhitaṃ yena dhanadānasugandhibhiḥ /	yaSoBi SoBitam yena Dana dAna suganDiBiH /
   gajaiśca bhūtidhavalairjagatkalpadrumairiva // KAvk_2.5 //	gajEH ca BUti DavalEH jagat kalpadrumEH iva // Ka avc _2.5 //
   kalālayo 'pi saralaḥ saralo 'pi mahāmatiḥ /	kalA AlayaH api saralaH saralaH api mahAmatiH /
   yo babhūva prajāpuṇyairmatimānapyavañcakaḥ // KAvk_2.6 //	yaH baBUva prajA puNyEH matimAn api avaQcakaH // Ka avc _2.6 //
   yāvattapati tigmāṃśuryāvadvahati mārutaḥ /	yAvat tapati tigmAMSuH yAvat vahati mArutaH /
   tāvadājñā ca kīrtiśca yasyāpratihatābhavat // KAvk_2.7 //	tAvat AjQA ca kIrtiH ca yasya apratihatA aBavat // Ka avc _2.7 //
   śamavyāyāmaviduṣāṃ ṣasṅguṇajñānacakṣuṣām /	Sama vyAyAma viduzAm zasFguNa jQAna cakzuzAm /
   yaṃ dvādaśasahasrāṇi mantriṇāṃ paryupāsate // KAvk_2.8 //	yam dvAdaSa sahasrANi mantriNAm paryupAsate // Ka avc _2.8 //
   tasmindharmapare rājñi babhūva sukṛtī janaḥ /	tasmin Darma pare rAjQi baBUva sukRtI janaH /
   bhartṛtulyā bhavantyeva guṇaiḥ striya iva prajāḥ // KAvk_2.9 //	BartR tulyAH Bavanti eva guNEH striyaH iva prajAH // Ka avc _2.9 //
   tasya puṇyādhivāsena janāstridivagāminah /	tasya puNya aDivAsena janAH tridiva gAminah /
   vimānaiḥ śakranagarīṃ niḥsaṃcārāḥ pravakrire // KAvk_2.10 //	vimAnEH Sakra nagarIm niHsaMcArAH pravakrire // Ka avc _2.10 //
   dṛṣṭvā manujalokena suralokasamāvṛtim /	dRzwvA manuja lokena sura loka samAvRtim /
   jātavairaḥ kṣitiopatau śatakraturacintayat // KAvk_2.11 //	jAta vEraH kzitiA upatO SatakratuH acintayat // Ka avc _2.11 //
   seneva lakṣmī vasudheṣu cārasyāścaryakartavya ca dattanityam /	senA iva lakzmI vasuDezu cArasya AScarya kartavya ca datta nityam /
   kalyāṇaśīlena ca sa rvacetanyapravyahāsāmana asmakāśca (?) // KAvk_2.12 //	kalyANa SIlena ca sa rva cetanya pravyaha AsAmanaH asmakAH ca (?) // Ka avc _2.12 //
   tasyākhaṇḍitacetasaḥ daddhidvalyānubhāvapām (?) /	tasya aKaNxita cetasaH dadDi dvalya anuBAvapAm (?) /
   kartavyā dhairyājijñāsā mayā māyāvidhāyinā // KAvk_2.13 //	kartavyA DErya ajijQAsA mayA mAyA viDAyinA // KAvc _2.13 //
   iti saṃcintya suciraṃ sarvairanugataḥ suraiḥ /	iti saMcintya su ciram sarvEH anugataH surEH /
   rūpaṃ śakraḥ parāvartya martyalokamavātarat // KAvk_2.14 //	rUpam SakraH parAvartya martya lokam avAtarat // Ka avc _2.14 //
   atrāntare prajākāryaparyālocanatatparaḥ /	atra antare prajA kArya paryAlocana tatparaH /
   rājyarakṣāgururmantrī nṛpamūce mahāmatiḥ // KAvk_2.15 //	rAjya rakzA guruH mantrI nRpam Uce mahAmatiH // Ka avc _2.15 //
   rājan virajasā rājyarājamānena nirjitaḥ /	rAjan virajasA rAjya rAjamAnena nirjitaH /
   nirvyājadānairbhavatā lajjate tridaśeśvaraḥ // KAvk_2.16 //	nirvyAja dAnEH BavatA lajjate tridaSa ISvaraH // Ka avc _2.16 //
   parasya pūrṇaguṇatāmātmanastadvihīnatām /	parasya pUrNa guNa tAm AtmanaH tad vihIna tAm /
   dṛṣṭvā ko nāma nāyāti mātsaryasya vidheyatām // KAvk_2.17 //	dRzwvA kaH nAma na AyAti mAtsaryasya viDeya tAm // KAvc _2.17 //
   īrṣyālavaḥ parotkarṣasaṃgharṣasya juṣo janāḥ /	IrzyA lavaH para utkarza saMGarzasya juzaH janAH /
   prāyeṇodvegamāyānti mahatām sukṛteṣvapi // KAvk_2.18 //	prAyeNa udvegam AyAnti mahatAm sukRtezu api // KAvc _2.18 //
   sarvasvadānamaryādādānavyasanino 'stu te /	sarva sva dAna maryAdA dAna vyasaninaH astu te /
   putradārātmadāne tu saṃkalpo hyatisāhasaḥ // KAvk_2.19 //	putra dAra Atma dAne tu saMkalpaH hi ati sAhasaH // KAvc _2.19 //
   dṛśyante dāruṇāste te svapnāḥ sādhvasahetavaḥ /	dRSyante dAruNAH te te svapnAH sADvasa hetavaH /
   jagataḥ sūcyate tīvraṃ yaiścūḍāmaṇikhaṇḍanam // KAvk_2.20 //	jagataH sUcyate tIvram yEH cUxAmaNi KaNxanam // Ka avc _2.20 //
   daivajñānāṃ pravādaśca śrūyate tattvavādinām /	dEvajQAnAm pravAdaH ca SrUyate tattva vAdinAm /
   śarīraṃ pṛthivīpālo dāsyatīti suduḥsahaḥ // KAvk_2.21 //	SarIram pRTivIpAlaH dAsyati iti su duHsahaH // KAvc _2.21 //
   śarīradānaṃ sarvārthisārthanaiṣphalyakāraṇam /	SarIra dAnam sarva arTi sArTa nEzPalya kAraNam /
   sarvaprado bhavatyeva tiṣṭhan kalpamahīruhaḥ // KAvk_2.22 //	sarva pradaH Bavati eva tizWan kalpa mahIruhaH // Ka avc _2.22 //
   tasmādasmānmahīpāla virama tyāgasāhasāt /	tasmAt asmAt mahIpAla virama tyAga sAhasAt /
   rakṣāratnaṃ hi jagataḥ prajāyattaṃ vapustava // KAvk_2.23 //	rakzA ratnam hi jagataH prajAyattam vapuH tava // Ka avc _2.23 //
   iti mantrireṇoktamākarṇya vasudhādhipaḥ /	iti mantrireNa uktam AkarNya vasuDADipaH /
   tamūce sattvadhavalasmitaghautādharadyutiḥ // KAvk_2.24 //	tam Uce sattva Davala smita GOta aDara dyutiH // Ka avc _2.24 //
   uktaṃ hitaṃ mhāmātya bhavatā sacivocitam /	uktam hitam mhAmAtya BavatA saciva ucitam /
   kiṃ tvarthinavaimukhyasaṃtāpaṃ nāhamutsahe // KAvk_2.25 //	kim tu arTina vEmuKya saMtApam na aham utsahe // Ka avc _2.25 //
   dehīti vādiṣu giro niṣedhaparuṣākṣarāḥ /	dehi iti vAdizu giraH nizeDa paruza akzarAH /
   sphuranti vadane yeṣāṃ sajīvāste gatāsavaḥ // KAvk_2.26 //	sPuranti vadane yezAm sa jIvAH te gatAsavaH // Ka avc _2.26 //
   idamasmādavāpsyāmītyādhāya hṛdi yācakaḥ /	idam asmAt avApsyAmi iti ADAya hRdi yAcakaH /
   prāpyaḥ prayāti vaimukhyaṃ yasmin kiṃ tena jīvatā // KAvk_2.27 //	prApyaH prayAti vEmuKyam yasmin kim tena jIvatA // Ka avc _2.27 //
   dhigjanma puṇyahīnasya tasya niṣkaruṇātmanaḥ /	Dik janma puNya hInasya tasya nizkaruNa AtmanaH /
   yasyārtajanasaṃtāpaśravaṇe śītalaṃ manaḥ // KAvk_2.28 //	yasya Arta jana saMtApa SravaNe SItalam manaH // Ka avc _2.28 //
