   akalpā pariṣadyatra Ang_2,6.2a	akalpA parizadyatra Ank-_2,6.2a
   aṅgirā idamabravīt Ang_2,1.1d	aFgirAH idam-abravIt Ank-_2,1.1d
   aṅgīkurmaśca sāṃpratam Ang_1.578b	aFgIkurmaH-ca sAMpratam Ank-_1.578b
   aṅguṣṭhamātraṃ sthūlaḥ syād Ang_2,10.2a	aFguzWa-mAtram sTUlaH syAt Ank-_2,10.2a
   aṅgairunmīlyate śanaiḥ Ang_2,4.10b	aFgEH-unmIlyate SanEs Ank-_2,4.10b
   acañcalaṃ sthiraṃ tuṣṭaṃ Ang_1.386c	acaQcalam sTiram tuzwam Ang_1.386c
   acchidraṃ sadguṇaṃ sāṅgaṃ Ang_1.904a	acCidram sat-guNam sa-aFgam Ank-_1.904a
   ajaśrīrajacarmākhyo Ang_1.511c	ajaSrIrajacarma-AKyaH Ank-_1.511c
   ajānan yastu vibrūyāj Ang_2,6.13a	ajAnan yaH-tu vibrUyAt Ank-_2,6.13a
   ajānānāṃ ca dātḥṇām Ang_2,6.14a	ajAnAnAm ca dAtHNAm Ank-_2,6.14a
   ajīrṇavamane snānam Ang_1.173a	ajIrNa-vamane snAnam Ank-_1.173a
   ajīrṇaḥ syāttadā doṣaḥ Ang_1.291a	ajIrNaH syAt-tadA dozaH Ank-_1.291a
   ajñātagrāmatātādir Ang_1.1050a	ajQAta-grAma-tAta-AdiH Ank-_1.1050a
   ajñātagrāmasaṃbhavaḥ Ang_1.1051d	ajQAta-grAma-saMBavaH Ank-_1.1051d
   ajñātvā pūrvavṛttāntaṃ Ang_1.354c	ajQAtvA pUrva-vRttAntam Ank-_1.354c
   ajñānādupadeṣṭavyaḥ Ang_2,7.3c	ajQAnAt-upadezwavyaH Ank-_2,7.3c
   ajñānināṃ jñānināṃ ca Ang_1.14c	ajQAninAm jQAninAm ca Ank-_1.14c
   aṭan dhāvan khalan bhraman Ang_1.463d	awan DAvan Kalan Braman Ang_1.463d
   ata ūrdhvaṃ tu yatsnātaḥ Ang_2,9.13a	atas UrDvam tu yat-snAtaH Ank-_2,9.13a
   ata ūrdhvaṃ tu ye viprāḥ Ang_2,4.8a	atas UrDvam tu ye viprAH Ank-_2,4.8a
   ata ūrdhvaṃ tu snātānāṃ Ang_2,9.4a	atas UrDvam tu snAtAnAm Ank-_2,9.4a
   ata ūrdhvaṃ pravakṣyāmi Ang_2,2.1a	atas UrDvam pravakzyAmi Ank-_2,2.1a
   ata ūrdhvaṃ pravakṣyāmi Ang_2,12.1a	atas UrDvam pravakzyAmi Ank-_2,12.1a
   atastaddvividhaṃ smṛtam Ang_1.680d	atas-tat-dviviDam smRtam Ank-_1.680d
   atasmin tattvamāropya Ang_1.123a	atasmin tattvam-Aropya Ank-_1.123a
   ataḥ ṣaṭtriṃśatkasaṃkhyā Ang_1.505c	atas zawtriMSat-ka-saMKyAH Ank-_1.505c
   atikrauryaṃ kalāvapi Ang_1.98b	atikrOryam kalO=-api Ank-_1.98b
   atikṣudraikakāleṣu Ang_1.213a	ati-kzudra-eka-kAlezu Ank-_1.213a
   atikṣudhāturo rogī Ang_1.259c	atikzuDA-AturaH rogI Ank-_1.259c
   aticāturyato 'tīva Ang_1.582a	ati-cAtuH-yatas atIva Ank-_1.582a
   atituṣṭā mahātuṣṭāḥ Ang_1.1088c	ati-tuzwAH mahA-tuzwAH Ank-_1.1088c
   atitṛptyaikakārakaḥ Ang_1.615d	ati-tRptya-eka-kArakaH Ank-_1.615d
   atithau taddinabhrāntyā Ang_1.948a	atiTO tad-dina-BrAntyA Ank-_1.948a
   atiduḥkhaikajīvitam Ang_1.1056b	ati-duHKa-eka-jIvitam Ank-_1.1056b
   atipraśasyaṃ covāca Ang_1.590c	ati-praSasyam ca-uvAca Ank-_1.590c
   atibālye tato bhūyo Ang_1.1056c	ati-bAlye tatas BUyas Ank-_1.1056c
   atimāninamagrāhyaṃ Ang_1.746c	atimAninam-agrAhyam Ank-_1.746c
   atiśuddhamatiśreṣṭhaṃ Ang_1.243c	ati-SudDam-ati-SrezWam Ank-_1.243c
   atiharṣaṃ gatāḥ sadyas Ang_1.564c	ati-harzam gatAH sadyas Ank-_1.564c
   atīto yadi pakṣaḥ sa Ang_1.712c	atItaH yadi pakzaH saH Ank-_1.712c
   atītyāprāpya tatkālaṃ Ang_1.643c	atItya-aprApya tad-kAlam Ank-_1.643c
   atṛptā eva no te syur Ang_1.1093a	atRptAH eva no te syuH Ank-_1.1093a
   atyakramaṃ cātyaśāstraṃ Ang_1.98c	atyakramam ca-atyaSAstram Ank-_1.98c
   atyantacapalaṃ śrāntam Ang_1.756a	atyanta-capalam SrAntam Ank-_1.756a
   atyantatṛptimuktyaika- Ang_1.477c	atyanta-tRpti-muktyA-eka Ank-_1.477c
   atyantapitṛtṛptyaika- Ang_1.603a	atyanta-pitR-tRptyA-eka Ank-_1.603a
   atyantāvaśyako na syād Ang_1.636a	atyanta-AvaSyakaH na syAt Ank-_1.636a
   atyantaikapavitrā hi Ang_1.910a	atyanta-eka-pavitrAH hi Ank-_1.910a
   atyanyāyamatidroham Ang_1.98a	atyanyAyam-ati-droham Ank-_1.98a
   atyutkrāntipravṛttasya Ang_1.295a	ati-utkrAnti-pravRttasya Ank-_1.295a
   atra kecitpunaḥ procuḥ Ang_1.983c	atra kecid-punar procuH Ank-_1.983c
   atra pitaro 'mutra ca Ang_1.855a	atra pitaraH amutra ca Ank-_1.855a
   atra viṣṇurmataṃ svasya Ang_1.997a	atra vizNuH-matam svasya Ank-_1.997a
   atra saṃskāraśabdataḥ Ang_1.141d	atra saMskAra-SabdataH Ank-_1.141d
   atrānuktairmahākāla- Ang_1.844a	atra-anuktEH-mahAkAla Ank-_1.844a
   atraiva pitṛyajñaśca Ang_1.615a	atra-eva pitR-yajQaH-ca Ank-_1.615a
   atroktāḥ kila karmaṇi Ang_1.818b	atra-uktAH kila karmaNi Ank-_1.818b
   atha tatkartṛto 'khilam Ang_1.430d	aTa tad-kartRtaH aKilam Ang_1.430d
   atha trayāṇāṃ vakṣyāmi Ang_2,1.2a	aTa trayANAm vakzyAmi Ank-_2,1.2a
   athavā taṃ triyambakam Ang_1.837b	aTavA tam triyambakam Ank-_1.837b
   athavā pañcasaṃkhyayā Ang_1.680b	aTavA paQca-saMKyayA Ank-_1.680b
   athavaitaddine tu yaiḥ Ang_1.617d	aTavA-etat-dine tu yEH Ang_1.617d
   athopapātakāścintyās Ang_2,12.9a	aTa-upapAtakAH-cintyAH Ank-_2,12.9a
   adatḥṇāṃ ca jānatām Ang_2,6.14b	adatHNAm ca jAnatAm Ank-_2,6.14b
   adarśane vṛścikasya Ang_1.714a	adarSane vRScikasya Ank-_1.714a
   adaivaṃ pārvaṇaśrāddhaṃ Ang_1.876c	adEvam pArvaNa-SrAdDam Ank-_1.876c
   adaivikāni ca punas Ang_1.681c	adEvikAni ca punar Ank-_1.681c
   adaivikāni proktāni Ang_1.683c	adEvikAni proktAni Ank-_1.683c
   adbhiḥ kurvīta kevalam Ang_2,11.3b	adBiH kurvIta kevalam Ank-_2,11.3b
   adrirājo dharmadeśī Ang_1.518c	adrirAjaH Darma-deSI Ank-_1.518c
   adhikāraprabhedena Ang_1.288a	aDikAra-praBedena Ank-_1.288a
   adhikāritvasidhyarthaṃ Ang_1.116a	aDikAri-tva-siDi-arTam Ank-_1.116a
   adhikāro na cānyasya Ang_1.161a	aDikAraH na ca-anyasya Ank-_1.161a
   adhikāro militayor Ang_1.384a	aDikAraH militayoH Ank-_1.384a
   adhikā vandanīyāśca Ang_1.230a	aDikAH vandanIyAH-ca Ank-_1.230a
   adhikāśamatṛptaṃ ca Ang_1.751a	aDikASam-atRptam ca Ank-_1.751a
   adhvagaḥ kṣīṇavṛttiśca Ang_2,9.9c	aDvagaH kzINa-vRttiH-ca Ank-_2,9.9c
   adhvānaṃ vā prayātasya Ang_2,9.10c	aDvAnam vA prayAtasya Ank-_2,9.10c
   anagniko na putrī syād Ang_1.320a	anagnikaH na putrI syAt Ank-_1.320a
   anantaraṃ viprabhukteḥ Ang_1.1096a	anantaram vipraBukteH Ank-_1.1096a
   anarthitairanāhutair Ang_2,7.5a	anarTitEH-anA-hutEH Ank-_2,7.5a
   anarhaḥ sarvakarmasu Ang_1.54d	anarhaH sarva-karmasu Ank-_1.54d
   anāthapretasaṃskārād Ang_1.141a	anATa-preta-saMskArAt Ank-_1.141a
   anāpatsu caredbhaikṣyaṃ Ang_2,9.6c	anApatsu caret-BEkzyam Ank-_2,9.6c
   aniketo nimigrīvo Ang_1.519a	aniketaH nimigrIvaH Ank-_1.519a
   anirvācyo 'khilaiḥ śāstrair Ang_1.702c	anirvAcyaH aKilEH SAstrEH Ank-_1.702c
   anuktamantrapaṭhanāt Ang_1.806c	anukta-mantra-paWanAt Ank-_1.806c
   anuktamantraiḥ kāścittu Ang_1.803a	anukta-mantrEH kAScid-tu Ank-_1.803a
   anuktābādhakaṃ na tu Ang_1.800d	anukta-AbADakam na tu Ank-_1.800d
   anugacchantu devatāḥ Ang_1.894d	anugacCantu devatAH Ank-_1.894d
   anugacchettayoḥ śrāddhaṃ Ang_1.993c	anugacCet-tayoH SrAdDam Ank-_1.993c
   anugrahaṃ tu vakṣyāmi Ang_2,8.4c	anugraham tu vakzyAmi Ank-_2,8.4c
   anujñāpya ca parṣadam Ang_2,7.6b	anujQApya ca parzadam Ank-_2,7.6b
   anupeto 'pyasau yadyapy Ang_1.430c	anupetaH api-asO yadi-api Ank-_1.430c
   anumāsikabhoktāraṃ Ang_1.760a	anumAsika-BoktAram Ank-_1.760a
   anumāsike 'tra kartavya Ang_1.951c	anumAsike atra kartavyaH Ank-_1.951c
   anuvrajya vidhānena Ang_1.897c	anuvrajya viDAnena Ank-_1.897c
   anuṣṭheyā hi santatam Ang_1.1113b	anuzWeyAH hi santatam Ank-_1.1113b
   anūdakaṃ tu tatsarvaṃ Ang_2,8.11a	anUdakam tu tat-sarvam Ank-_2,8.11a
   anṛtaṃ maurkhyacoditam Ang_1.374b	anRtam mOrKya-coditam Ank-_1.374b
   anekadharmaśāstrajñaḥ Ang_2,5.5c	aneka-Darma-SAstra-jQaH Ank-_2,5.5c
   anekaviprapakṣe tu Ang_1.697c	aneka-vipra-pakze tu Ank-_1.697c
   anena vidhinā goghno Ang_2,11.9a	anena viDinA go-GnaH Ank-_2,11.9a
   anenaiva tu mantreṇa Ang_1.788c	anena-eva tu mantreNa Ank-_1.788c
   antarā brāhmaṇaṃ kṛtvā Ang_2,5.12c	antarA brAhmaNam kRtvA Ank-_2,5.12c
   antarjalā kheyatoyā Ang_1.933a	antar-jalA Keya-toyAH Ank-_1.933a
   antardaśāhe bhuktvānnaṃ Ang_2,9.1a	antar-daSa-ahe BuktvA-annam Ank-_2,9.1a
   antaḥpracchannapāpānāṃ Ang_2,6.7c	antar-pracCanna-pApAnAm Ank-_2,6.7c
   ante naiva vadedapi Ang_1.1076d	ante na-eva vadet-api Ank-_1.1076d
   annatyāgaṃ tataḥ kṛtvā Ang_1.955c	anna-tyAgam tatas kRtvA Ank-_1.955c
   annatyāgaṃ prakurvīta Ang_1.971a	anna-tyAgam prakurvIta Ang_1.971a
   annamājyenābhighārya Ang_1.815c	annam-Ajyena-aBiGArya Ank-_1.815c
   annamādāya pakvāttu Ang_1.809a	annam-AdAya pakvAt-tu Ank-_1.809a
   annaśeṣo 'khilaḥ punaḥ Ang_1.895b	anna-SezaH aKilaH punar Ank-_1.895b
   annaṃ ca pāyasaṃ bhakṣyaṃ Ang_1.813c	annam ca pAyasam Bakzyam Ank-_1.813c
   annaṃ pakvāt samuddhṛtya Ang_1.240c	annam pakvAt samudDRtya Ank-_1.240c
   annaṃ vastūni yānīha Ang_1.819c	annam vastUni yAni-iha Ank-_1.819c
   annābhimarśane proktam Ang_1.829a	anna-aBimarSane proktam Ank-_1.829a
   annenaiva prakurvīta Ang_1.277c	annena-eva prakurvIta Ang_1.277c
   anyagotraparigrahāt Ang_1.178d	anya-gotra-parigrahAt Ank-_1.178d
   anyagotrapradattaścet Ang_1.999a	anya-gotra-pradattaH-ced Ank-_1.999a
   anyatkabalitaṃ tayā Ang_1.37d	anyat-ka-balitam tayA Ank-_1.37d
   anyatra tu na kārayet Ang_1.305b	anyatra tu na kArayet Ank-_1.305b
   anyatra patinā saha Ang_1.663b	anyatra patinA saha Ank-_1.663b
   anyatrāṅkanalakṣmabhyāṃ Ang_2,10.12a	anyatra-aFkana-lakzmaByAm Ank-_2,10.12a
   anyathā te vṛthā bhavet Ang_2,3.10d	anyaTA te vRTA Bavet Ang_2,3.10d
   anyathā na bhavedeva Ang_1.63c	anyaTA na Bavet-eva Ank-_1.63c
   anyathā niṣkṛtirnāsti Ang_1.183c	anyaTA nizkRtiH-na-asti Ank-_1.183c
   anyathā patito bhavet Ang_2,9.8b	anyaTA patitaH Bavet Ank-_2,9.8b
   anyadvakṣyāmi śobhanam Ang_1.992d	anyat-vakzyAmi SoBanam Ang_1.992d
   anyapātre ca panasaṃ Ang_1.531c	anya-pAtre ca panasam Ank-_1.531c
   anyasya guṇataḥ sutaḥ Ang_1.127d	anyasya guNataH sutaH Ang_1.127d
   anyaṃ homaṃ tu taddine Ang_1.1022b	anyam homam tu tad-dine Ank-_1.1022b
   anyonyaṃ spṛśato yadi Ang_1.960b	anyonyam spRSataH yadi Ank-_1.960b
   anvaye liṅgato 'rthādvā Ang_1.8a	anvaye liFgataH arTAt-vA Ank-_1.8a
   anveva bhojanaṃ taṣāṃ Ang_1.1094c	anu-eva Bojanam tazAm Ank-_1.1094c
   apa eva samāśritya Ang_1.1111a	apaH eva samASritya Ank-_1.1111a
   aparāhne ca madhyāhne Ang_1.73c	aparAhne ca maDyAhne Ank-_1.73c
   aparāhne na madhyāhne Ang_1.283c	aparAhne na maDyAhne Ank-_1.283c
   aparijñātavarṇakaḥ Ang_1.465d	aparijQAta-varNakaH Ank-_1.465d
   apavitrasahasrebhyo Ang_1.911a	apavitra-sahasreByaH Ank-_1.911a
   apasavyaṃ tathā śūnya- Ang_1.666a	apasavyam taTA SUnya Ank-_1.666a
   apātrīkaraṇe 'nyatra Ang_1.168c	apAtrIkaraNe anyatra Ank-_1.168c
   apārasaṃsārasamudrasetavaḥ Ang_2,12.16c	apAra-saMsAra-samudra-setavaH Ank-_2,12.16c
   apāvṛtte tṛtīye ca Ang_1.84a	apAvRtte tRtIye ca Ank-_1.84a
   apāṃ madhyena cācchindya Ang_1.851c	apAm maDyena ca-AcCindyaH Ank-_1.851c
   api kartā kṛtārthaḥ syāt Ang_1.492a	api kartA kRtArTaH syAt Ank-_1.492a
   api kṛcchragato naraḥ Ang_1.277b	api kRcCra-gataH naraH Ank-_1.277b
   api jīvatpitā piṇḍa- Ang_1.104a	api jIvat-pitA piNxa Ank-_1.104a
   apiṇḍakāni khyātāni Ang_1.690c	apiNxakAni KyAtAni Ank-_1.690c
   api pātakināmapi Ang_1.156d	api pAtakinAm-api Ank-_1.156d
   api prāpte 'pi vamane Ang_1.1079c	api prApte api vamane Ank-_1.1079c
   api vā mārgamālambya Ang_2,5.12a	api vA mArgam-Alambya Ank-_2,5.12a
   api vā śāstradṛṣṭitaḥ Ang_1.298d	api vA SAstra-dRzwitaH Ank-_1.298d
   api śakto 'pi tannyūne Ang_1.279c	api SaktaH api tat-nyUne Ank-_1.279c
   api śāstrakṛtaṃ karma Ang_1.146a	api SAstra-kRtam karma Ank-_1.146a
   api snānaṃ samācaret Ang_1.138d	api snAnam samAcaret Ang_1.138d
   aputradattavṛtyā yaḥ Ang_1.329a	aputra-datta-vRtyAH yaH Ank-_1.329a
   aputrāṇāṃ pitṛvyānāṃ Ang_1.725a	aputrANAm pitRvyAnAm Ank-_1.725a
   aputrāyāḥ kṛtaṃ tu tat Ang_1.444b	aputrAyAH kRtam tu tat Ank-_1.444b
   aputrā vā saputrā vā Ang_1.398c	aputrA vA sa-putrAH vA Ank-_1.398c
   aputro 'nagnimān smṛtaḥ Ang_1.320b	aputraH anagnimAn smRtaH Ank-_1.320b
   apṛṣṭaiśca yathāvidhi Ang_2,7.5b	apRzwEH-ca yaTAviDi Ank-_2,7.5b
   apekṣitaṃ mṛtasyātra Ang_1.472c	apekzitam mRtasya-atra Ank-_1.472c
   apyanye kulajā eva Ang_1.912c	api-anye kula-jAH eva Ang_1.912c
   apyayaṃ mukhyakartā na Ang_1.445c	api-ayam muKya-kartA naH Ang_1.445c
   apyayaṃ vayasādhikaḥ Ang_1.380b	api-ayam vayasA-aDikaH Ank-_1.380b
   apyāgataṃ tena taddhi Ang_1.28a	api-Agatam tena tat-hi Ank-_1.28a
   apraṇodyāni medhyāni Ang_2,8.18c	apraNodyAni meDyAni Ank-_2,8.18c
   apratyakṣā hi pitaro Ang_1.865a	apratyakzAH hi pitaraH Ank-_1.865a
   aprameyapramāṇasya Ang_2,1.4c	aprameya-pramANasya Ank-_2,1.4c
   aprāṇāhutipūrvakam Ang_1.245b	aprANa-Ahuti-pUrvakam Ank-_1.245b
   aprāśanotpannamṛti- Ang_1.295c	aprASana-utpanna-mRti Ank-_1.295c
   aprokṣyāpariṣicyaivam Ang_1.245a	aprokzya-aparizicya-evam Ank-_1.245a
   abdaṃ dṛṣṭvā tato yatnāt Ang_1.50c	abdam dRzwvA tatas yatnAt Ank-_1.50c
   abhakṣyāṇāṃ ca bhakṣaṇe Ang_1.167d	aBakzyANAm ca BakzaNe Ank-_1.167d
   abhāve tasya sūtrasya Ang_1.55a	aBAve tasya sUtrasya Ank-_1.55a
   abhimṛśya tataḥ punaḥ Ang_1.824d	aBimRSya tatas punar Ank-_1.824d
   abhiśravaṇamevaṃ syād Ang_1.1074c	aBiSravaNam-evam syAt Ank-_1.1074c
   abhiṣekaṃ kārayitvā Ang_1.85a	aBizekam kArayitvA Ank-_1.85a
   abhiṣekaṃ samantrakaiḥ Ang_1.87d	aBizekam sa-mantrakEH Ank-_1.87d
   abhojyabhojaneṣvevaṃ Ang_1.170c	aBojya-Bojanezu-evam Ank-_1.170c
   abhojyānnaṃ durāgasam Ang_1.756d	aBojya-annam durAgasam Ank-_1.756d
   abhyaktaśca tathā snāyāc Ang_1.251a	aByaktaH-ca taTA snAyAt Ank-_1.251a
   abhyanujñāpi paramā Ang_1.684c	aByanujQA-api paramA Ank-_1.684c
   amadhaḥśāyī bhavetsadā Ang_2,12.4d	am-aDas-SAyI Bavet-sadA Ank-_2,12.4d
   amantrakaṃ vidhānena Ang_1.812a	amantrakam viDAnena Ank-_1.812a
   amantrāya prayacchati Ang_1.737b	amantrAya prayacCati Ank-_1.737b
   amādīnyakhilānyapi Ang_1.682d	amA-AdIni-aKilAni-api Ank-_1.682d
   amāmanuyugakrānti- Ang_1.606a	amAm-anu-yuga-krAnti Ank-_1.606a
   amāyāṃ tu sahasrakam Ang_1.707d	amAyAm tu sahasrakam Ank-_1.707d
   amāvākyasya sāṃpratam Ang_1.609d	amA-vAkyasya sAMpratam Ank-_1.609d
   amāvāsyā dvādaśa syur Ang_1.610a	amAvAsyAH dvAdaSa syuH Ank-_1.610a
   amāvāsyāmāsike ca Ang_1.952c	amAvAsyA-mAsike ca Ank-_1.952c
   amāvāsyāstatra kḷptā Ang_1.614c	amAvAsyAH-tatra k?ptAH Ank-_1.614c
   amāvāsyāṃ vinā sadā Ang_1.877d	amAvAsyAm vinA sadA Ank-_1.877d
   amāvyākhyānamucyate Ang_1.609b	amAvyAKyAnam-ucyate Ank-_1.609b
   amī madamataḥ param Ang_1.855b	amI madam-atas param Ank-_1.855b
   amṛtopastarāṇakam Ang_1.829b	amRta-upastarANakam Ank-_1.829b
   ameyaiḥ saṃvṛto vedaḥ Ang_1.159a	ameyEH saMvRtaH vedaH Ank-_1.159a
   ayanagrahaṇe mukhye Ang_1.286a	ayana-grahaNe muKye Ank-_1.286a
   ayane dve ca viṣuve Ang_1.645a	ayane dve ca vizuve Ank-_1.645a
   ayane dve ca viṣuvau Ang_1.639a	ayane dve ca vizuvO Ank-_1.639a
   ayaṃ vo viṣṭaraśceti Ang_1.787c	ayam vaH vizwaraH-ca-iti Ank-_1.787c
   ayaṃ hi paramo mantraḥ Ang_1.789a	ayam hi paramaH mantraH Ank-_1.789a
   ayogyatvaṃ tathāvidham Ang_1.584d	ayogya-tvam taTAviDam Ank-_1.584d
   ayogyaṃ satataṃ syāddhi Ang_1.232a	ayogyam satatam syAt-hi Ank-_1.232a
   arkaśrutivyatīpāta- Ang_1.180c	arka-Sruti-vyatIpAta Ank-_1.180c
   arghyaṃ kṛtvā kṛtaḥ proktaḥ Ang_1.792c	arGyam kRtvA kRtaH proktaH Ang_1.792c
   artimān dharaṇīṃ vrajan Ang_2,2.8b	artimAn DaraNIm vrajan Ank-_2,2.8b
   ardhatṛptā hi pitaro Ang_1.1084c	arDa-tRptAH hi pitaraH Ank-_1.1084c
   ardharātrāttadūrdhvaṃ vā Ang_1.648a	arDarAtrAt-tad-UrDvam vA Ank-_1.648a
   ardharātrādadhastūṣṇe Ang_1.177c	arDarAtrAt-aDas-tu-uzNe Ank-_1.177c
   ardhaṃ kṣipedviprapātre Ang_1.812c	arDam kzipet-vipra-pAtre Ank-_1.812c
   ardhodaye mahodaye Ang_1.914a	arDa-udaye mahA-udaye Ank-_1.914a
   arvāktu dvādaśādabdāt Ang_2,10.20c	arvAk-tu dvAdaSAt-abdAt Ank-_2,10.20c
   arvāktu lājahomasya Ang_1.77a	arvAk-tu lAja-homasya Ank-_1.77a
   arvāktu śeṣahomasya Ang_1.83a	arvAk-tu Seza-homasya Ank-_1.83a
   arhati svargavāse 'pi Ang_1.977a	arhati svarga-vAse api Ank-_1.977a
   alakālarkakārūṣā- Ang_1.504a	alaka-alarka-kArUzA Ank-_1.504a
   alarkaścājarāstrayaḥ Ang_1.504d	alarkaH-ca-ajarAH-trayaH Ank-_1.504d
   alolupamadāmbhikam Ang_1.770b	alolupa-madAmBikam Ank-_1.770b
   alpakālamṛtāyāṃ tu Ang_1.1048a	alpa-kAla-mRtAyAm tu Ank-_1.1048a
   alpaṃ mahadaśakyaṃ vā Ang_1.370c	alpam mahat-aSakyam vA Ank-_1.370c
   avatīrṇo na sandeha Ang_1.495c	avatIrNaH na sandehaH Ank-_1.495c
   avalepaṃ tathāvidham Ang_1.582d	avalepam taTAviDam Ank-_1.582d
   avalepaikarahitaś Ang_1.592c	avalepa-eka-rahitaH Ank-_1.592c
   avaśādeti cākhilam Ang_1.310b	avaSAda-iti ca-aKilam Ank-_1.310b
   avaśāddaivayogataḥ Ang_1.39b	avaSAt-dEva-yogataH Ank-_1.39b
   avaśādvahnito vāpi Ang_1.59a	avaSAt-vahnitaH vA-api Ank-_1.59a
   avaśiṣṭaṃ prāśayecca Ang_1.76a	avaSizwam prASayet-ca Ank-_1.76a
   avaśyatvena kartavyaṃ Ang_1.726a	avaSya-tvena kartavyam Ank-_1.726a
   avasthābhedataḥ sarve Ang_1.1055c	avasTA-BedataH sarve Ank-_1.1055c
   avidyamāne sarvasvaṃ Ang_2,11.10c	avidyamAne sarva-svam Ank-_2,11.10c
   avīrāpatimeva ca Ang_1.756b	avIrA-patim-eva ca Ank-_1.756b
   avṛtastena tatpreṣya- Ang_1.134c	avRtaH-tena tat-prezya Ank-_1.134c
   avekṣaṇaṃ jāgarūka- Ang_1.1009a	avekzaNam jAgarUka Ank-_1.1009a
   avratī savratī vāpi Ang_2,9.14a	avratI sa-vratI vA-api Ank-_2,9.14a
   aśaktaścettadācaret Ang_1.250d	aSaktaH-ced-tat-Acaret Ank-_1.250d
   aśaktasya kadācana Ang_1.265d	aSaktasya kadAcana Ank-_1.265d
   aśītiryasya cāpūrṇā Ang_2,10.21a	aSItiH-yasya ca-ApUrNAH Ank-_2,10.21a
   aśuciṃ parasūtakam Ang_1.754d	aSucim para-sUtakam Ank-_1.754d
   aśuddhāśca kadācitsyuḥ Ang_1.909c	aSudDAH-ca kadAcid-syuH Ank-_1.909c
   aśṛtaṃ cāranālaṃ ca Ang_2,8.17c	aSRtam ca-AranAlam ca Ank-_2,8.17c
   aśaucabhuktāvāśauci- Ang_1.947c	aSOca-BuktO=-ASOci Ank-_1.947c
