   Śayanāsanavastu	Śayana-Asana-vastu
   saṃbahulānāṃ bhikṣūṇām upasthānaśālāyaṃ saṃniṣaṇṇānāṃ saṃnipatitānām ayam	saMbahulAnAm BikzUNAm upasTAna-SAlA-ayam saMnizaNNAnAm saMnipatitAnAm ayam
   evaṃrūpo 'bhūd antarākathāsamudāhāraḥ; pūrvavad yāvad yathāsmākaṃ bhagavān	evaMrUpaH aBUt antarAkaTA-samudAhAraH; pUrvavat yAvat yaTA-asmAkam BagavAn
   vyākariṣyati tathainaṃ dhārayiṣyāma iti; te vayaṃ bhadanta bhagavantam	vyAkarizyati taTA-enam DArayizyAmaH iti; te vayam Badanta Bagavantam
   etam evārthaṃ patipṛcchāmaḥ; ko 'smābhiḥ (MSV III 123) satkartavyo	etam eva-arTam pati-pRcCAmaH; kaH asmABiH (MSV III 123) satkartavyaH-
   gurukartavyo mānayitavyaḥ pūjayitavyaḥ? pūrvavad yāvad agrapiṇḍapātam	guru-kartavyaH mAnayitavyaH pUjayitavyaH? pUrvavat yAvat agra-piNxapAtam
   paribhoktum iti; bhagavān āha: vṛddhatarako yuṣmābhir bhikṣavaḥ	pariBoktum iti; BagavAn Aha: vRdDatarakaH yuzmABiH BikzavaH
   satkartavyo gurukartavyo mānayitavyaḥ pūjayitavyaḥ;	satkartavyaH guru-kartavyaH mAnayitavyaH pUjayitavyaH;
   abhivādanavandanapratyutthānāṃjalisāmīcīkarma kartavyam; sa ca yuṣmākam	aBivAdana-vandana-pratyutTAna-aMjali-sAmIcIkarma kartavyam; sa ca yuzmAkam
   arhaty agrāsanam agrodakam agrapiṇḍapātam paribhkotum iti	arhati agrAsanam agrodakam agra-piNxapAtam pariBkotum iti
        uktaṃ bhagavatā: vṛddhatarako bhikṣur yuṣmābhiḥ satkartavyah;	uktam BagavatA: vRdDatarakaH BikzuH yuzmABiH satkartavya-h;
   pūrvavad yāvad agrāsanaṃ paribhoktum iti	pUrvavat yAvat agrAsanam pariBoktum iti
   Old house-holders, etc., are not entitled to veneration	Old house-ha-ulda-IH-s, ed-c., are na-ut enti-tlet taH veneration
        bhikṣavaḥ āgārikān vṛddhān satkurvanti gurukurvanti mānayanti	BikzavaH AgArikAn vRdDAn satkurvanti gurukurvanti mAnayanti
   pūjayanti; śrutvā brāhmaṇagṛhapatayo 'vadhyāyanti kṣipanti vivācayanti;	pUjayanti; SrutvA brAhmaNa-gRhapatayaH avaDyAyanti kzipanti vivAcayanti;
   āryā vayaṃ kāmabhoginaḥ kāmapaṃkanimagnāḥ; kathaṃ yūyam asmākaṃ	AryAH vayam kAma-BoginaH kAma-paMka-nimagnAH; kaTam yUyam asmAkam
   satkurvatha? etat prakaraṇaṃ bhikṣavo bhagavata ārocayanti; bhagvān āha:	satkuru-aTa? etat prakaraNam BikzavaH BagavataH Arocayanti; BagvAn Aha:
   pravrajitān bhikṣavo mayā sandhāyoktaṃ no tv āgarikān iti	pravrajitAn BikzavaH mayA sanDAya-uktam no tu AgarikAn iti
        bhikṣavaḥ anyatīrthikān vṛddhān dṛṣṭvā satkurvanti gurukurvanti	BikzavaH anya-tIrTikAn vRdDAn dRzwvA satkurvanti gurukurvanti
   mānayanti pūjayanti; bhagavān āha; iha dhārmikān mayā sandhāyoktaṃ no tu	mAnayanti pUjayanti; BagavAn Aha; iha DArmikAt mayA sanDAya-uktam no tu
   bāhyakān iti	bAhyakAn iti
        te śrāmaṇerakān vṛddhapravrajitān dṛṣṭvā satkurvanti gurukurvanti	te SrAmaNerakAn vRdDa-pravrajitAn dRzwvA satkurvanti gurukurvanti
   mānayanti pūjayanti; bhagavān āha: upasaṃpannān bhikṣavo mayā sandhāyoktaṃ	mAnayanti pUjayanti; BagavAn Aha: upasaMpannAn BikzavaH mayA sanDAya-uktam
   no tu śrāmaṇerakān iti	no tu SrAmaNerakAn iti
        te navopasaṃpannān vṛddhān satkurvani gurukurvanti mānayanti	te nava-upasaMpannAn vRdDAn satkurvani gurukurvanti mAnayanti
   pūjayanti; bhagavān āha: anyonyaṃ varṣāgraṃ pṛṣṭvā vanditavyaṃ; te pṛṣṭāḥ	pUjayanti; BagavAn Aha: anyonyam varza-agram pRzwvA vanditavyan; te pRzwAH
   santo janmavarṣāṇi kathayanti; bhagavān āha; upasaṃpadvarṣāgraṃ praṣṭavyam	santaH janma-varzANi kaTayanti; BagavAn Aha; upasaMpad-varza-agram prazwavyam
   iti; bhikṣavo na jānate ḥkati varṣāgrāṇītiḥ; (MSV III 124) bhagavān āha;	iti; BikzavaH na jAnate Hkati varzA-grANi-itiH; (MSV III 124) BagavAn Aha;
   sāmayikam ārocayitavyam; bhikṣavo na jānate kati sāmayikānīti; bhagabān	sAmayikam Arocayitavyam; BikzavaH na jAnate kati sAmayikAni-iti; Baga-bAn
   āha: paṃceme bhikṣavaḥ samayāḥ, haimantikaṃ graiṣmikaṃ vārṣikaṃ	Aha: paMca-ime BikzavaH samayAH, hEmantikam grEzmikam vArzikam
   mṛtavārṣikaṃ dīrghavārṣikam iti; tatra haimantikaṃ catvāro māsāḥ;	mRta-vArzikam dIrGa-vArzikam iti; tatra hEmantikam catvAraH mAsAH;
   graiṣmikaṃ catvāro māsāḥ; ḥvārṣikam eko māsaḥḥ; mṛtavārṣikam ekaṃ	grEzmikam catvAraH mAsAH; HvArzikam ekaH mAsaHH; mRta-vArzikam ekam
   rātrindivasam; dīrghavārṣikaṃ rātryūnās trayo māsāḥ; ity evaṃ sāmayikam	rAtrindiva-sam; dIrGa-vArzikam rAtryUnAH trayaH mAsAH; iti evam sAmayikam
   ārocayitvā yaḥ pūrvopasaṃpannaḥ sa vanditavyaḥ	ArocayitvA yaH pUrva-upasaMpannaH sa vanditavyaH
        apare bhikṣavaś catvāro vandyāḥ; katame catvāro vandyāḥ? sadevakasya	apare BikzavaH catvAraH vandyAH; katame catvAraH vandyAH? sa-devakasya
   (Śay-v 5) tāval lokasya samārakasya sabrahmakasya saśramaṇabrāhmaṇikāyā	(Śay-u 5) tAvat lokasya samArakasya sa-brahmakasya sa-SramaNa-brAhmaNikAyAH-
   prajāyāḥ sadevamānuṣāyās tathāgatārhatsamyaksaṃbuddho vandyaḥ; sarveṣāṃ	prajAyAH sa-deva-mAnuzAyAH taTAgata-arhat-samyaksaMbudDaH vandyaH; sarvezAm
   gṛhiṇaḥ pravrajitā vandyāḥ; sarveṣām upasaṃpannānāṃ pūrvopasaṃpannā	gRhiNaH pravrajitAH vandyAH; sarvezAm upasaMpannAnAm pUrva-upasaMpannA
   vandyāḥ (A 315a) sthāpayitvā bhikṣuṇīm; tasyā varṣaśatopasaṃpannāyā api	vandyAH (A 315a) sTApayitvA BikzuNIm; tasyAH varza-Sata-upasaMpannAyAH api
   tadahaḥ upasaṃpanno bhikṣur vandyaḥ; sarvasyānupasaṃpannakasyopasaṃpannako	tat-ahar upasaMpannaH BikzuH vandyaH; sarvasya-anupasaMpannakasya-upasaMpanna-ko
   vandyaḥ	vandyaH
        daśāvandyāḥ; katame ḥdaśa?ḥ pārivāsiko mūlapārivāsikaḥ	daSA-vandyAH; katame HdaSa?H pArivAsikaH mUla-pArivAsikaH
   paryuṣitaparivāsaḥ mānāpyacārikaś caritamānāpyo 'darśanāyotkṣiptakaḥ	paryuzita-parivAsaH mAna-api-acArikaH caritam-AnApyaH adarSanAya-utkziptakaH
   apratikarmāyotkṣiptakaḥ apratinisṛṣṭe pāpake dṛṣṭigate utkṣiptakaḥ sarvo	apratikarmAya-utkziptakaH apratinisRzwe pApake dRzwi-gate utkziptakaH sarvaH-
   gṛhī ḥsarvāśḥ cānupasaṃpannaḥ	gRhI Hsarva-ASH ca-anupasaMpannaH
        yadā bhagavatā yathāvṛddhikayā prajñaptās tadā bhikṣavo 'nyonyaṃ	yadA BagavatA yaTAvRdDikayA prajQaptAH tadA BikzavaH anyonyam
   satkurvanti gurukurvanti mānayanti pūjayanti; te 'nyonyaṃ satkurvvanto	satkurvanti gurukurvanti mAnayanti pUjayanti; te anyonyam satkurvvantaH-
   ḥgurukurvantoḥ mānayantaḥ pūjayanto vardhante kuśalair dharmair utpalaṃ vā	HgurukurvantoH mAnayantaH pUjayantaH varDante kuSalEH DarmEH utpalam vA
   (MSV III 125) yathodake	(MSV III 125) yaTA-udake
        bhikṣavaḥ saṃśayajātāḥ sarvasaṃśayacchettāraṃ buddhaṃ bhagavantaṃ	BikzavaH saMSaya-jAtAH sarva-saMSaya=-CettAram budDam Bagavantam
   papracchuḥ: paśya bhadanta yadā bhagavatā yathāvṛddhikayā prajñaptās tadā	papracCuH: paSya Badanta yadA BagavatA yaTAvRdDikayA prajQaptAH tadA
   bhikṣavo 'nyonyaṃ satkurvanti gurukurvanti mānayanti pūjayanti; te	BikzavaH anyonyam satkurvanti gurukurvanti mAnayanti pUjayanti; te
   'nyonyaṃ satkurvanto gurukurvanto mānayantaḥ pūjayanto vardhante kuśalair	anyonyam satkurvantaH gurukurvantaH mAnayantaH pUjayantaH varDante kuSalEH-
   dharmair utpalaṃ vā yathodake iti; bhagavān āha: kim atra bhikṣavaḥ	DarmEH utpalam vA yaTA-udake iti; BagavAn Aha: kim atra BikzavaH
   āścaryaṃ yad idānīm mayā vigatarāgeṇa vigatadveṣeṇa vigatamohena	AScaryam yat idAnIm mayA vigata-rAgeNa vigata-dvezeNa vigata-mohena
   parimuktena jātijarāvyādhimaraṇaśokaparidevaduḥkhadaurmanasyopāyāsaiḥ	parimuktena jAti-jarA-vyADi-maraNa-Soka-parideva-duHKa-dOrmanasya-upAyAsEH
   sarvajñena sarvākārajñena sarvajñānajñeyavaśiprāptena yathāvṛddhikāyāṃ	sarvajQena sarva-AkAra-jQena sarva-jQAna-jQeya-vaSi-prAptena yaTAvRdDikAyAm
   prajñaptāyāṃ yathāvṛddhikām āgamya bhikṣavo 'nyonyaṃ satkurvanti	prajQaptAyAm yaTA-vRdDikAm Agamya BikzavaH anyonyam satkurvanti
   gurukurvanti pūrvavad yāvad utpalaṃ vā yathodake iti; yat tu mayā sarāgeṇa	gurukurvanti pUrvavat yAvat utpalam vA yaTA-udake iti; yat tu mayA sa-rAgeNa
   sadveṣeṇa samohenāparimuktena	sa-dvezeNa sa-mohena-aparimuktena
   jātijarāvyādhimaraṇaśokaparidevaduḥkhadaurmanasyopāyāsair	jAti-jarA-vyADi-maraNa-Soka-parideva-duHKa-dOrmanasya-upAyAsEH-
   vinipatitaśarīreṇa yathāvṛddhikāyāṃ prajñaptāyāṃ yathāvṛddhikām āgamya	vinipatita-SarIreNa yaTAvRdDikAyAm prajQaptAyAm yaTA-vRdDikAm Agamya
   sakalo jambūdvīpanivāsī janakāyo yadbhūyasā praṇīte trayastriṃśe	sakalaH jambUdvIpa-nivAsI jana-kAyaH yat-BUyasA praNIte trayastriMSe
   devanikāye upapannas tac chrūyatām	deva-nikAye upapannaH tat SrUyatAm
   The story of the francoline, the hare, the monkey and the elephant	The storI of Te francoline, Te hare, Te monkey and Te elePant
        bhūtapūrvaṃ bhikṣavaḥ kāśīṣu janapade anyatamasmin vanagahane	BUta-pUrvam BikzavaH kASIzu janapade anyatamasmin vana-gahane
   catvāraḥ prāṇinaḥ prativasanti kapiñjalaḥ śaśo markaṭo gajaś (Śay-v 6) ca;	catvAraH prANinaH prativasanti kapiQjalaH SaSaH markawaH gajaH (Śay-u 6) ca;
   te ca parasparaṃ sakhyenāvasthitāḥ sahitāḥ samagrāḥ saṃmodamānā	te ca parasparam saKyena-avasTitAH sahitAH samagrAH saMmodamAnA
   avivadamānā aśaṃkino yatheṣṭavihāratayā kālam atināmayanti; yāvad apareṇa	avivadamAnAH aSaMkinaH yaTezwa-vihAra-tayA kAlam atinAmayanti; yAvat apareNa
   samayena teṣāṃ buddhir utpannā; (MSV III 126) asti vayaṃ bhavantaḥ	samayena tezAm budDiH utpannA; (MSV III 126) asti vayam BavantaH
   parasparaṃ sakhyenāvasthitāḥ sahitāḥ samagrāḥ saṃmodamānā avivadamānāḥ;	parasparam saKyena-avasTitAH sahitAH samagrAH saMmodamAnAH avivadamAnAH;
   kin tu na jānīmaḥ ko 'smābhiḥ satkartavyo gurukartavyo mānayitavyaḥ	kin tu na jAnImaH kaH asmABiH satkartavyaH guru-kartavyaH mAnayitavyaH
   pūjayitavyaḥ iti; yan nu vayaṃ yathāvṛddhikāṃ prajñapayema iti; te	pUjayitavyaH iti; yat nu vayam yaTA-vRdDikAm prajQapayema iti; te
   parasparaṃ saṃjalpaṃ kartum ārabdhā iti; ko 'smākaṃ vṛddha iti; tataḥ	parasparam saMjalpam kartum ArabDAH iti; kaH asmAkam vRdDaH iti; tatas-
   kapiṃjalena vaṭavṛkṣo darśitaḥ; bhavantaḥ eṣa vaṭavṛkṣaḥ kena kiyatpramāṇo	kapiMjalena vawa-vRkzaH darSitaH; BavantaH eza vawa-vRkzaH kena kiyat-pramANaH-
   dṛṣṭa iti; hastī kathayati; mayā yūthena sahānena pathā gacchatā ayaṃ	dRzwaH iti; hastI kaTayati; mayA yUTena saha-anena paTA gacCatA ayam
   dṛṣṭo matpramāṇa eva uccatveneti; markaṭaḥ kathayati; mayā yūthena	dRzwaH mad-pramANaH eva ucca-tvena-iti; markawaH kaTayati; mayA yUTena
   sahānena pathā gacchatā ayaṃ dṛṣṭo mama tulya evoccatveneti; te	saha-anena paTA gacCatA ayam dRzwaH mama tulyaH eva-uccatvena-iti; te
   kathayanti; tvam asya vṛddha iti; śaśaḥ kathayati; mayāpy asya	kaTayanti; tvam asya vRdDaH iti; SaSaH kaTayati; mayA-api asya
   dvipatrakasya patreṣv evāvaśyayanbindavo jihvayā nirlīḍhā iti; te	dvi-patrakasya patrezu eva-avaSyayan-bindavaH jihvayA nirlIXA iti; te
   kathayanti: tvam apy anayor vṛddha iti; kapiñjalaḥ kathayati; paśyata	kaTayanti: tvam api anayoH vRdDaH iti; kapiQjalaH kaTayati; paSyata
   yūyam enaṃ vaṭavṛkṣaṃ mahatpramāṇākāram; te kathayanti: paśyāmaḥ; etasmān	yUyam enam vawa-vRkzam mahat-pramANa-AkAram; te kaTayanti: paSyAmaH; etasmAt-
   mayā phalāni bhakṣayitvāsmin pradeśe uccāraḥ kṛtas tasmād ayaṃ jāta iti;	mayA PalAni BakzayitvA-asmin pradeSe uccAraH kRtaH tasmAt ayam jAtaH iti;
   (A 315b) te kathayanti: yady evaṃ tvam asmākaṃ sarveṣāṃ vṛddha iti; tato	(A 315b) te kaTayanti: yadi evam tvam asmAkam sarvezAm vRdDaH iti; tatas-
   hastī sarveṣāṃ satkartuṃ ārabdhaḥ; markaṭaḥ śaśaṃ kapiṃjalaṃ ca; śāśaḥ	hastI sarvezAm satkartum ArabDaH; markawaH SaSam kapiMjalam ca; SASaH
   kapiṃjalam eva; te evaṃ yathāvṛddhikayā satkurvantas tasmin vanagahane	kapiMjalam eva; te evam yaTAvRdDikayA satkurvantaH tasmin vana-gahane
   itaś cāmutaś ca paribhramanti; yadā viṣamanimnāḥ pradeśā gantavyā bhavanti	itas ca-amutas ca pariBramanti; yadA vizama-nimnAH pradeSAH gantavyAH Bavanti
   tadā hastinaṃ markaṭo 'bhirohati markaṭam śaśaḥ śaśam api kapiṃjalaḥ	tadA hastinam markawaH aBirohati markawam SaSaH SaSam api kapiMjalaH
        teṣām evaṃ pravṛddhasnehānāṃ sagauravāṇāṃ ca buddhir utpannā; asti	tezAm evam pravRdDa-snehAnAm sa-gOravANAm ca budDiH utpannA; asti
   vayaṃ bhavantaḥ pravṛddhasnehāḥ sagauravāś ca; anyad api (MSV III 127)	vayam BavantaH pravRdDa-snehAH sa-gOravAH ca; anyat api (MSV III 127)
   tāvat kiṃcit kuśalaṃ samādāya vartema iti; kiṃ kurmaḥ; kapiṃjalaḥ	tAvat kiMcid kuSalam samAdAya vartemaH iti; kim kurmaH; kapiMjalaH
   kathayati; prāṇātipātāt prativiramāmaḥ; kīdṛṣo 'smākaṃ prāṇātipātaḥ?	kaTayati; prANa-atipAtAt prativiramAmaH; kIdRzaH asmAkam prANa-atipAtaH?
   kapiṃjalaḥ kathayati: santi tṛṇapuṣpaphalāni sapṛāṇakāni santi	kapiMjalaH kaTayati: santi tRNa-puzpa-PalAni sa-pRANakAni santi
   niṣprāṇakāni; tad asmābhir adyāgreṇa saprāṇakāni parityajya niṣprāṇakāni;	nizprANakAni; tat asmABiH adya-agreNa sa-prANakAni parityajya nizprANakAni;
   paribhoktavyāni; te saprāṇakāni parityajya niṣprāṇakāni paribhoktum	pariBokta-vyAni; te sa-prANakAni parityajya nizprANakAni pariBoktum
   ārabdhāḥ	ArabDAH
        teṣām etad abhavat; asti vayaṃ prāṇātipātāt prativiratā no tv	tezAm etat aBavat; asti vayam prANa-atipAtAt prativiratA no tu-
   adattādānāt prativiramāmaḥ; kīdṛśo 'smākam adattādānam? kapiṃjalaḥ	adatta-AdAnAt prativiramAmaH; kIdRSaH asmAkam adatta-AdAnam? kapiMjalaH
   kathayati: santi saparigrahāṇi tṛṇapatrapuṣpaphalāni santi niṣparigrahāṇi;	kaTayati: santi sa-parigrahANi tRNa-patra-puzpa-PalAni santi nizparigrahANi;
   tad asmābhir adyāgreṇa saparigrahāṇi parityajya niṣparigrahāṇi (Śay-v 7)	tat asmABiH adya-agreNa sa-parigrahANi parityajya nizparigrahANi (Śay-u 7)
   paribhoktavyāni; te saparigrahāṇi parityajya niṣparigrahāṇi paribhoktum	pariBokta-vyAni; te sa-parigrahANi parityajya nizparigrahANi pariBoktum
   ārabdhāḥ	ArabDAH
        teṣām etad abhavat; asti vayam adattādānāt prativiratāḥ no tu	tezAm etat aBavat; asti vayam adatta-AdAnAt prativiratAH no tu
   kāmamithyācārāt; yan nu vayaṃ kāmamithyācārāt prativiramāmaḥ; kīdṛśo	kAma-miTyA-AcAra-at; yat nu vayam kAma-miTyA-AcArAt prativiramAmaH; kIdRSaH-
   'smākaṃ kāmamithyācāraḥ? kapiṃjalaḥ katyayati: vayam gamyā api gacchāmaḥ;	asmAkam kAma-miTyA-AcAraH? kapiMjalaH katyayati: vayam gamyAH api gacCAmaH;
   agamyā api gacchāmaḥ; tad asmābhir adyāgreṇa gamyaiva gantavyā nāgamyā te	agamyAH api gacCAmaH; tat asmABiH adya-agreNa gamya-eva gantavyA na-agamyA te
   gamyāṃ gacchanti nāgamyām.	gamyAm gacCanti na-agamyAm.
        teṣām etad abhavat: asti vayaṃ kāmamithyācārāt prativiratāḥ; no tu	tezAm etat aBavat: asti vayam kAma-miTyA-AcArAt prativiratAH; no tu
   mṛṣāvādāt; yan nu vayaṃ mṛṣāvādāt prativiramāmaḥ; kīdṛśo 'smākaṃ	mRzA=-AdAt; yat nu vayam mRzAvAdAt prativiramAmaH; kIdRSaH asmAkam
   mṛṣāvādaḥ? kapiṃjalaḥ kathayati: vayaṃ yadvā tadvā vipralapāmaḥ; tad	mRzAvAdaH? kapiMjalaH kaTayati: vayam yat-vA tat-vA vipralapAmaH; tat-
   asmābhir adyāgreṇa na yadvā tadvā vipralapitavyam; (MSV III 128) vicārya	asmABiH adya-agreNa na yat-vA tat-vA vipralapitavyam; (MSV III 128) vicArya
   vicārya kāle vāg udīrayitavyā; te na yadvā tadvā vipralapanti kiṃ tu	vicArya kAle vAc udIrayitavyA; te na yat-vA tat-vA vipralapanti kim tu
   vicārya vicārya kālena vācam udīrayanti	vicArya vicArya kAlena vAcam udIrayanti
        teṣām etad abhavat; asti vayaṃ mṛṣāvādāt prativiratāḥ; no tu	tezAm etat aBavat; asti vayam mRzAvAdAt prativiratAH; no tu
   surāmaireyamadyapramādasthānāt prativiratāḥ; yan nu vayaṃ	surA-mEreya-madya-pramAda-sTAnAt prativiratAH; yat nu vayam
   surāmaireyamadyapramādasthānāt prativiramāmaḥ; kidṛśam asmākaṃ	surA-mEreya-madya-pramAda-sTAnAt prativiramAmaH; kidRSam asmAkam
   surāmaireyamadyapramādasthānam? kapiṃjalaḥ kathayati: santi mādanīyāni	surA-mEreya-madya-pramAda-sTAnam? kapiMjalaH kaTayati: santi mAdanIyAni
   phalāni santy amādanīyāni; tad asmābhir adyāgreṇa mādanīyāni phalāni	PalAni santi amAdanIyAni; tat asmABiH adya-agreNa mAdanIyAni PalAni
   parityajyamādanīyāni phalāni paribhoktavyāni; te mādanīyāni phalāni	parityajyamAdanIyAni PalAni pariBokta-vyAni; te mAdanIyAni PalAni
   parityajyamādanīyāni phalāni paribhoktum ārabdhāḥ	parityajyamAdanIyAni PalAni pariBoktum ArabDAH
        yadā te pañcasu vratapadeṣu pratiṣṭhāpitās tadā kapiṃjalaḥ kathayati:	yadA te paQcasu vrata-padezu pratizWApitAH tadA kapiMjalaH kaTayati:
   asti vayaṃ bhavantaḥ paṃcasu vratapadeṣu pratiṣṭhitāḥ; yan nu vayam anyān	asti vayam BavantaH paMcasu vrata-padezu pratizWitAH; yat nu vayam anyAn
   api paṃcasu vratapadeṣu pratiṣṭhāpayāmaḥ; te kathayanti: evaṃ kurmaḥ; ko	api paMcasu vrata-padezu pratizWApayAmaH; te kaTayanti: evam kurmaH; kaH-
   yuṣmākaṃ pratiṣṭhāpayati? markaṭaḥ kathayati: ahaṃ sarvān śākhāmṛgān	yuzmAkam pratizWApayati? markawaH kaTayati: aham sarvAn SAKAmRgAn
   pratiṣṭhāpayāmi; tataḥ śaśaḥ kathayati: ahaṃ sarvān śaśān lomaśān mṛgāṃś	pratizWApayAmi; tatas SaSaH kaTayati: aham sarvAn SaSAn lomaSAn mRgAnS
   ca pratiṣṭhāpayāmi; (A 316a) hastī kathayati: ahaṃ sarvān hastinaḥ siṃhān	ca pratizWApayAmi; (A 316a) hastI kaTayati: aham sarvAn hastinaH siMhAn
   vyāghradvīpinaś ca pratiṣṭhāpayāmi; kapiṃjalaḥ kathayati: yady evam etat	vyAGradvIpinaH ca pratizWApayAmi; kapiMjalaH kaTayati: yadi evam etat-
   saṃkṣepād yuṣmākam avinayā apadā dvipadāś catuṣpadāḥ pakṣiṇaś ca tān ahaṃ	saMkzepAt yuzmAkam avinayAH apadAH dvipadAH catuzpadAH pakziNaH ca tAn aham
   sarvān paṃcasu vratapadeṣu pratiṣṭhāpayāmīti (Śay-v 8)	sarvAn paMcasu vrata-padezu pratizWApayAmi-iti (Śay-u 8)
        tatas te kāśīviṣaye (MSV III 129) yāvattiryagyonigatāḥ prāṇinas te	tatas te kASI-vizaye (MSV III 129) yAvat-tiryagyoni-gatAH prANinaH te
   sarve paṃcasu vratapadeṣu pratiṣṭhāpitāḥ; te anyonyam avyābādhamānās	sarve paMcasu vrata-padezu pratizWApitAH; te anyonyam avyAbADamAnAH-
