   dvitīyo 'dhyāyaḥ /	dvitIyaH aDyAyaH /
   smṛtiśca tantrākhyā paramarṣipraṇītā śiṣṭaparigṛhītā anyāśca	smRtiH ca tantra AKyA parama Rzi praNItA Sizwa parigRhItAH anyAH ca
   tadanusīriṇyaḥ smṛtayaḥ, evaṃ satyanavākāśāḥ prasajyeran /	tad anusIriNyaH smRtayaH, evam satya nava AkASAH prasajyeran /
   tāsu hyacetanaṃ pradhānaṃ svatantraṃ jagataḥ kāraṇamupanibadhyate /	tAsu hi acetanam praDAnam svatantram jagataH kAraNam upanibaDyate /
   manvādisamṛtayastāvaccodanālakṣaṇenāgnihotrādinā	manu Adi samRtayaH tAvat codanA lakzaNena agnihotra AdinA
   dharmajātenāpekṣitamarthaṃ samarpayantyaḥsāvakāśā bhavanti /	Darma jAtena apekzitam arTam samarpayanti aHsa avakASAH Bavanti /
   asya varṇasyāsminkāle 'nena vidhānaṃnopanayanaṃ, īdṛśaścācāraḥ, itthaṃ	asya varNasya asmin kAle anena viDAnaMna upanayanan, IdRSaH ca AcAraH, itTam
   vedādhyayanaṃ, itthaṃ sahadharmacāriṇīsaṃyoga iti /	veda aDyayanan, itTam saha Darma cAriNI saMyogaH iti /
   tathā puruṣārthāśca varṇāśramadharmānnānāvidhānvidadhati /	taTA puruza arTAH ca varNa ASrama DarmAn nAnAviDAn vidaDati /
   naivaṃ kapilādismṛtīnāmanuṣṭheye viṣaye 'vakāśo 'sti /	na evam kapila Adi smRtInAm anuzWeye vizaye avakASaH asti /
   mokṣasādhanameva hi samyagdarśanamadhikṛtya tāḥ praṇītāḥ /	mokza sADanam eva hi samyak darSanam aDikRtya tAH praNItAH /
   yadi tatrāpyanavakāśāḥ syurānarthakyamevāsāṃ prasajyeta /	yadi tatra api anavakASAH syuH AnarTakyam eva AsAm prasajyeta /
   tasmāttadavirodhena vedāntā vyākhyātavyāḥ /	tasmAt tat aviroDena vedAntAH vyAKyAtavyAH /
   kathaṃ punarīkṣatyādibhyo hetubhyo brahmaiva sarvajñaṃ jagataḥ	kaTam punar Ikzati AdiByaH hetuByaH brahma eva sarvajQam jagataH
   kāraṇamityavadhāritaḥ śrutyarthaḥ smṛtyanavakāśadoṣaprasaṅgena	kAraNam iti avaDAritaH Sruti arTaH smRti anavakASa doza prasaFgena
   punarākṣipyate /	punar Akzipyate /
   bhavadeyamanākṣepaḥ svatantraprajñānām /	Bava deyam anAkzepaH svatantra prajQAnAm /
   paratantraprajñāstu prāyeṇa janāḥ svātantryeṇa	paratantra prajQAH tu prAyeNa janAH svAtantryeNa
   śrutyarthamavadhārayitumaśaknuvantaḥ prakhyātapraṇetṛkāsu	Sruti arTam avaDArayitum aSaknuvantaH praKyAta praNetRkAsu
   smṛtiṣvavalamberan /	smRtizu avalamberan /
   tadbalena ca śrutyarthaṃ pratipitseran /	tad balena ca Sruti arTam pratipitseran /
   asmatkṛte ca vyākhyāne na viśvasyurbahumānātsmṛtīnāṃ praṇetṛṣu /	asmad kRte ca vyAKyAne na viSvasyuH bahu mAnAt smRtInAm praNetRzu /
   kapilaprabhṛtīnāṃ cārṣaṃ jñānamapratihataṃ smaryate /	kapila praBRtInAm ca Arzam jQAnam apratihatam smaryate /
   śrutiśca bhavati  'ṛṣiṃ prasūtaṃ kapilaṃ yastamagre jñānairbibharti	SrutiH ca Bavati aRzim prasUtam kapilam yaH tam agre jQAnEH biBarti
   jāyamānaṃ ca paśyet' (śve. 5.2) iti /	jAyamAnam ca paSyet a (Sve. 5.2) iti /
   tasmānnaiṣāṃ matamayathārthaṃ śakyaṃ saṃbhāvayitum /	tasmAt na ezAm matam ayaTArTam Sakyam saMBAvayitum /
   tarkāvaṣṭambhena caiter'thaṃ pratiṣṭhāpayanti /	tarka avazwamBena ca eter aTam pratizWApayanti /
   tasmādapi smṛtibalena vedāntā vyākhyeyā iti punarākṣepaḥ /	tasmAt api smRti balena vedAntAH vyAKyeyAH iti punar AkzepaH /
   tasya samādhiḥ nānyasmṛtyanavakāśadoṣaprasaṅgāditi /	tasya samADiH na anya smRti anavakASa doza prasaFgAt iti /
   yadi smṛtyanavakāśadoṣaprasaṅgeneśvarakāraṇavāda ākṣipyeta, evamapyanyā	yadi smRti anavakASa doza prasaFgena ISvara kAraNa vAdaH Akzipya ita, evam api anyA
   īśvarakāraṇavādinyaḥ smṛtayo 'navakāśāḥ prasajyeran /	ISvara kAraNa vAdinyaH smRtayaH anavakASAH prasajyeran /
   tā udāhariṣyāmaḥ   'yattatsūkṣmamavijñeyam' iti paraṃ brahma prakṛtya 'sa	tAH udAharizyAmaH  ayat tat sUkzmam avijQeyam a iti param brahma prakRtya asa
   hyantarātmā bhūtānāṃ kṣetrajñaśceti kathyate' iti coktvā	hi antarAtmA BUtAnAm kzetrajQaH ca iti kaTyate a iti ca uktvA
   'tasmādavyaktamutpannaṃ triguṇaṃ dvijasattama' ityāha /	atasmAt avyaktam utpannam triguNam dvijasattamaH a iti Aha /
   tathānyatrāpi 'avyaktaṃ puruṣe brahmannirguṇe saṃpralīyate' ityāha /	taTA anyatra api aavyaktam puruze brahman nirguNe saMpralIyate a iti Aha /
   'ataśca saṃkṣepamimaṃ śṛṇudhvaṃ nārāyaṇaḥ sarvamidaṃ purāṇaḥ /	aatas ca saMkzepam imam SRNuDvam nArAyaNaH sarvam idam purANaH /
   sa sargakāle ca karoti sarvaṃ saṃhārakāle ca tadatti bhūyaḥ' iti purāṇe /	sa sarga kAle ca karoti sarvam saMhAra kAle ca tat atti BUyaH a iti purANe /
   bhagavadgītāsu ca  'ahaṃ kṛtsnasya jagataḥ prabhavaḥ pralayastathā'	BagavadgItAsu ca  aaham kRtsnasya jagataH praBavaH pralayaH taTA a
   (bha.gī. 7.6) iti /	(Ba.gI. 7.6) iti /
   paramātmānameva ca prakṛtyāpastamabaḥ paṭhati  'tasmātkāyāḥ prabhavanti	paramAtmAnam eva ca prakRti A apaH tamabaH paWati atasmAt kAyAH praBavanti
   sarve sa mūlaṃ śāśvatikaḥ sa nityaḥ (dha.sū. 1.8.23.2) iti /	sarve sa mUlam SASvatikaH sa nityaH (Da.sU. 1.8.23.2) iti /
   evamanekaśaḥ smṛtiśvapīśvaraḥ kāraṇatvenopādānatvena ca prakāśyate /	evam anekaSas smRti Svapi ISvaraH kAraNa tvena upAdAna tvena ca prakASyate /
   samṛtibalena pratyavatiṣṭamānasya smṛtibalenaivottaraṃ vakṣyāmītyato	sa mRti balena pratyavatizwamAnasya smRti balena eva uttaram vakzyAmi iti atas 
   'yamanyasmṛtyanavakāśadoṣopanyāsaḥ /	ayam anya smRti anavakASa doza upanyAsaH /
   darśitaṃ tu śrutīnāmīśvarakāraṇavādaṃ prati tātparyam /	darSitam tu SrutInAm ISvara kAraNa vAdam prati tAtparyam /
   vipratipattau ca smṛtīnāmavaśyakartavye 'nyataraparigrahe	vipratipattO ca smRtInAm avaSya kartavye anyatara parigrahe
   'nyataraparityāge ca śrutyanusāriṇyaḥ smṛtayaḥ pramāṇamanapekṣyā itarāḥ /	anyatara parityAge ca Sruti anusAriNyaH smRtayaH pramANam anapekzyAH itarAH /
   taduktaṃ pramāṇalakṣaṇe  'virodhe tvanapekṣaṃ syādasti hyanumānam'	tat uktam pramANa lakzaNe  aviroDe tu anapekzam syAt asti hi anumAnam a
   (jai.sū. 1.3.3) iti /	(jE. sU. 1.3.3) iti /
   nacātīndriyānarthañśrutimantareṇa kaścidupalabhata iti śakyaṃ	na ca atIndriya anarTan Srutim antareNa kaScid upalaBate iti Sakyam
   saṃbhāvayituṃ nimittābhāvāt /	saMBAvayitum nimitta aBAvAt /
   śakyaṃ kapilādīnāṃ siddhānāmapratihatajñānatvāditi cet /	Sakyam kapila AdInAm sidDAnAm apratihata jQAna tvAt iti ced /
   na /	na /
   siddherapi sāpekṣatvāt /	sidDeH api sa apekza tvAt /
   dharmānuṣṭhānāpekṣā hi siddhiḥ /	Darma anuzWAna apekzA hi sidDiH /
   sa ca dharmaścodanālakṣaṇaḥ /	sa ca DarmaH codanA lakzaNaH /
   tataśca pūrvasiddhāyāścodanāyā artho na	tatas ca pUrva sidDAyAH codanAyAH arTaH na
   paścimasiddhapuruṣavacanavaśenātiśaṅkituṃ śakyate /	paScima sidDa puruza vacana vaSena atiSaFkitum Sakyate /
   siddhavyapāśrayakalpanāyāmapi bahutvātsiddhānāṃ pradraśitena prakāreṇa	sidDa vyapASraya kalpanAyAm api bahu tvAt sidDAnAm pradraSitena prakAreNa
   smṛtivipratipattau satyāṃ na śrutivyapāśrayādanyannirṇayakāraṇamasti /	smRti vipratipattO satyAm na Sruti vyapASrayAt anyat nirNaya kAraNam asti /
   paratantraprajñasyāpi nākasmātsmṛtiviśeṣaviṣayaḥ pakṣapāto yuktaḥ /	paratantra prajQasya api na akasmAt smRti viSeza vizayaH pakzapAtaH yuktaH /
   kasyacitkvacitpakṣapāte sati puruṣamativauśvarūpyeṇa	kasyacid kvacid pakza pAte sati puruzam ativOSvarUpyeNa
   tattvāvyavasthānaprasaṅgāt /	tattva avyavasTAna prasaFgAt /
   tasmāttasyāpi smṛtivipratipattyupanyāsena smṛtyanusārāviṣayavivecanena ca	tasmAt tasya api smRti vipratipatti upanyAsena smRti anusAra avizaya vivecanena ca
   sanmārge prajñā saṃgrahaṇīyā /	sat mArge prajQA saMgrahaNIyAH /
   yā tu śrutiḥ kapilasya jñānātiśayaṃ pradarśayantī pradarśitā na tayā	yA tu SrutiH kapilasya jQAna atiSayam pradarSayantI pradarSitA na tayA
   śrutiviruddhamapi kāpilaṃ mataṃ śraddhātuṃ śakyaṃ, kāpilamiti	Sruti virudDam api kApilam matam SradDAtum Sakyan, kApilam iti
   śrutisāmānyamātratvāt /	Sruti sAmAnya mAtra tvAt /
   anyasya ca kapilasya sagaraputrāṇāṃ pratapturvāsudevanāmnaḥ smaraṇāt /	anyasya ca kapilasya sagara putrANAm prataptuH vAsudeva nAmnaH smaraNAt /
   anyārthadarśanasya ca prāptirahitasyāsādhakatvāt /	anya arTa darSanasya ca prApti rahitasya asADaka tvAt /
   bhavati cānyā manormāhātmyaṃ prakhyāpayantī śrutiḥ   'yadvai kiñca	Bavati ca anyA manoH mAhAtmyam praKyApayantI SrutiH  ayat vE kiQca
   manuravadattadbheṣajam' (tai.saṃ 2.2.10.2) iti /	manuH avadat tat Bezajam a (tE.sam 2.2.10.2) iti /
   manunā ca 'sarvabhūteṣu cātmānaṃ sarvabhūtāni cātmani /	manunA ca asarva BUtezu ca AtmAnam sarva BUtAni ca Atmani /
   saṃpaśyannātmayājī vai svārājyamadhigacchati //	saMpaSyan= Atma yAjI vE svArAjyam aDigacCati //
   ' (12.11) iti sarvātmatvadarśanaṃ praśaṃsatā kāpilaṃ mataṃ nindyata iti	a (12.11) iti sarva Atma tva darSanam praSaMsatA kApilam matam nindyate iti
   gamyate /	gamyate /
   kapilo hi na sarvātmatvadarśanamanumanyate, ātmabhedābhyupagamāt /	kapilaH hi na sarva Atma tva darSanam anumanyate, Atma Beda aByupagamAt /
   mahābhārate 'pi ca 'bahavaḥ puruṣā brahmannutāho eka eva tu' iti vicārya	mahABArate api ca abahavaH puruzAH brahman= uta aho ekaH eva tu a iti vicArya
   'bahavaḥ puruṣā rājansāṃkhyayogavicāriṇām' iti parapakṣamupanyasya	abahavaH puruzAH rAjan sAMKya yoga vicAriNAm a iti para pakzam upanyasya
   tadvyudāsena  'bahūnāṃ puruṣāṇāṃ hi yathaikā yonirucyate /	tat vyudAsena abahUnAm puruzANAm hi yaTA ekA yoniH ucyate /
   tathā taṃ puruṣaṃ viśvamākhyāsyāmi guṇādhikam //	taTA tam puruzam viSvam AKyAsyAmi guNa aDikam //
   ' ityupakramya 'mamāntarātmā tava ca ye cānye dehasaṃsthitāḥ /	a iti upakramya amama antarAtmA tava ca ye ca anye deha saMsTitAH /
   sarveṣāṃ sākṣibhūto 'sau na grāhyaḥ kenacitkvacit //	sarvezAm sAkzi BUtaH asO na grAhyaH kenacid kvacid //
   viśvamūrdhā viśvabhujo visvapādākṣināsikaḥ /	viSvamUrDA viSvaBujaH visvapAda akzi nAsikaH /
   ekaścarati bhūteṣu svairacārī yathāsukham //	ekaH carati BUtezu svEra cArI yaTAsuKam //
   ' iti sarvātmataiva nirdhāritā /	a iti sarva Atma tA eva nirDAritAH /
   śrutiśca sarvātmatāyāṃ bhavati  'yasminsarvāṇi bhūtānyātmaivābhūdvijānataḥ	SrutiH ca sarva Atma tAyAm Bavati ayasmin sarvANi BUtAni AtmA eva aBUt vijAnataH
   tatra ko mohaḥ kaḥ śokaḥ ekatvamanupaśyataḥ' (ī. 7) ityevaṃvidhā /	tatra kaH mohaH kaH SokaH eka tvam anupaSyataH a (I. 7) iti evaMviDAH /
   ataśca siddhamātmabhedakalpanayāpi kapilasya tantraṃ vedaviruddhaṃ	atas ca sidDam Atma Beda kalpanayA api kapilasya tantram veda virudDam
   vedānusārimanuvacanaviruddhaṃ ca, na kevalaṃ	veda anusAri manu vacana virudDam ca, na kevalam
   svatantraprakṛtikalpanayaiveti /	svatantra prakRti kalpanayA eva iti /
   vedasya hi nirapekṣaṃ svārthe prāmāṇyaṃ raveriva rūpaviṣaye /	vedasya hi nirapekzam sva arTe prAmANyam raveH iva rUpa vizaye /
   puruṣavacasāṃ tu mūlāntarāpekṣaṃ vaktusmṛtivyavahitaṃ ceti viprakarṣaḥ /	puruza vacasAm tu mUla antara apekzam vaktu smRti vyavahitam ca iti viprakarzaH /
   tasmādvedaviruddhe viṣaye smṛtyanavakāśaprasaṅgo na doṣaḥ //1//	tasmAt veda virudDe vizaye smRti anavakASa prasaFgaH na dozaH //1//
   FN: 'dvitīye smṛtitarkābhyāmavirodho 'nyaduṣṭatā /	FN: advitIye smRti tarkAByAm aviroDaH anya duzwa tA /
   bhūtabhoktṛśruterliṅgaśruterapyaviruddhatā' iti saṃgrahaślokaḥ /	BUta BoktR SruteH liFga SruteH api avirudDa tA a iti saMgraha SlokaH /
   paramarṣiḥ kapilaḥ /	parama RziH kapilaH /
   anyā āsuripañcaśikhādipraṇītāḥ /	anyAH Asuri paQca SiKA Adi praNItAH /
   upacaritaṃ śrutyarthaṃ pratipadyerannityarthaḥ /	upacaritam Sruti arTam pratipadyeran= iti arTaH /
   sūkṣmatvamatīndriyatvam /	sUkzma tvam atIndriya tvam /
   avijñeyatvaṃ pramāṇāntarāvagāhyatvam /	avijQeya tvam pramANa antara avagAhya tvam /
   kāyā brahmādayaḥ /	kAyAH brahma AdayaH /
   śāśvatikaḥ kūṭasthaḥ /	SASvatikaH kUwasTaH /
   śrutivirodhe smṛtiprāmāṇyaṃ anapekṣaṃ heyam /	Sruti viroDe smRti prAmANyam anapekzam heyam /
   hi yato 'sati virodhe śrutyanumānaṃ bhavati /	hi yatas asati viroDe Sruti anumAnam Bavati /
   pratapturdāhakasya /	prataptuH dAhakasya /
   viśve mūrdhano 'syaiva sarvatra pratibimbitatvāt /	viSve mUrDanaH asya eva sarvatra pratibimbita tvAt /
   evaṃ viśvabhujādau yojyam /	evam viSva Buja AdO yojyam /
   kutaśca smṛtyanavakāśaprasaṅgo na doṣaḥ  	kutas ca smRti anavakASa prasaFgaH na dozaH  
   itareṣāṃ cānupalabdheḥ | BBs_2,1.2 |	itarezAm ca anupalabDeH | BBH _2,1.2 |
   pradhānāditarāṇi yāni pradhānapariṇāmatvaṃ na samṛtau kalpitāni mahadādīni	praDAnAt itarANi yAni praDAna pariNAma tvam na samRtO kalpitAni mahat AdIni
   na tāni vede loke vopalabhyante /	na tAni vede loke vA upalaByante /
   bhūtendriyāṇi tāvallokavedaprasiddhatvācchakyante smartum /	BUta indriyANi tAvat loka veda prasidDa tvAt Sakyante smartum /
   alokavedaprasiddhatvāttu mahadādīnāṃ ṣaṣṭhasyevendriyārthasya na	aloka veda prasidDa tvAt tu mahat AdInAm zazWasi a iva indriya arTasya na
   smṛtiravakalpate /	smRtiH avakalpate /
   yadapi kvacittatparamiva śravaṇamavabhāsate tadapyatatparaṃ vyākhyātam	yat api kvacid tad param iva SravaNam avaBAsate tat api atat param vyAKyAtam
   'ānumānikamapyekeṣām' (bra. 1.4.1) ityatra /	aAnumAnikam api ekezAm a (bra. 1.4.1) iti atra /
   kāryasmṛteraprāmāṇyātkāraṇasmṛterapyaprāmāṇyaṃ yuktamityabhiprāyaḥ /	kArya smRteH aprAmANyAt kAraNa smRteH api aprAmANyam yuktam iti aBiprAyaH /
   tasmādapi na smṛtyanavakāśaprasaṅgo doṣaḥ /	tasmAt api na smRti anavakASa prasaFgaH dozaH /
   tarkāvaṣṭambhaṃ tu 'na vilakṣaṇatvāt' (bra. 2.1.4) ityārabhyonmathiṣyati	tarka avazwamBam tu ana vilakzaNa tvAt a (bra. 2.1.4) iti AraByonmaTizyati
   2 yogapratyuktyadhikaraṇam / sū. 3	2 yoga pratyukti aDikaraNam / sU. 3
   etena yogaḥ pratyuktaḥ | BBs_2,1.3 |	etena yogaH pratyuktaH | BBH _2,1.3 |
   etena sāṃkhyasmṛtipratyākhyānena yogasmṛtirapi pratyākhyātā	etena sAMKya smRti pratyAKyAnena yoga smRtiH api pratyAKyAtA
   draṣṭavyetyatidiśati /	drazwavyA iti atidiSati /
   tatrāpi śrutivirodhena pradhānaṃ svatantrameva kāraṇaṃ, mahadādīni ca	tatra api Sruti viroDena praDAnam svatantram eva kAraNan, mahat AdIni ca
   kāryāṇyalokavedaprasiddhāni kalpyante /	kAryANi aloka veda prasidDAni kalpyante /
   nanvevaṃ sati samānanyāyatvātpūrveṇaivaitadgataṃ kimarthaṃ punaratidiśyate	nanu evam sati samAna nyAya tvAt pUrveNa eva etat gatam kim arTam punar atidiSyate
   asti hyatrābhyadhikāśaṅkā /	asti hi atra aByaDika ASaFkA /
   samyagdarśanābhyupāyo hi yogo vede vihitaḥ 'śrotavyo mantavyo	samyak darSana aByupAyaH hi yogaH vede vihitaH aSrotavyaH mantavyaH 
   nididhyāsitavyaḥ' (bṛ. 2.4.5) iti /	nidiDya asitavyaH a (bR. 2.4.5) iti /
   'tryunnataṃ sthāpya samaṃ śarīram' (śve. 2.8) ityādinā	atri unnatam sTApya samam SarIram a (Sve. 2.8) ityAdinA
   cāsanādikalpanāpuraḥsaraṃ bahuprapañcaṃ yogavidhānaṃ śvetāśvataropaniṣadi	ca Asana Adi kalpanA puraHsaram bahu prapaQcam yoga viDAnam SvetASvatara upanizadi
   dṛśyate /	dRSyate /
   liṅgāni ca vaidikāni yogaviṣayāṇi sahasraśa upalabhyante 'tāṃ yogamiti	liFgAni ca vEdikAni yoga vizayANi sahasraSas upalaByante atAm yogam iti
   manyante sthirāmindriyadhāraṇām' (kā. 2.6.18) iti 'vidyāmetāṃ yogavidhiṃ	manyante sTirAm indriya DAraNAm a (kA. 2.6.18) iti avidyAm etAm yoga viDim
   ca kṛtsnam (kā. 2.6.18) iti caivamādīni /	ca kRtsnam (kA. 2.6.18) iti ca evamAdIni /
   yogaśāstre 'pi 'atha tattvadarśanopāyo yogaḥ' iti	yoga SAstre api aaTa tattva darSana upAyaH yogaHa iti
   samyagdarśanābhyupāyatvenaiva yogoṅgīkriyate /	samyak darSanAByupAya tvena eva yoga uFgIkriyate /
   ataḥ	atas 
   saṃpratipannārthaikadeśatvādaṣṭakādismṛtivadyogasmṛtirapyanapavadanīyā	saMpratipanna arTa eka deSa tvAt azwaka Adi smRti vat yoga smRtiH api anapavadanIyA
   bhaviṣyatīti /	Bavizyati iti /
   iyamapyadhikā śaṅkātideśena nivartyate /	iyam api aDikA SaFkA atideSena nivartyate /
   arthaikadeśasaṃpratipattāvapyarthaikadeśavipratipatteḥ pūrvoktāyā darśanāt	arTa eka deSa saMpratipattO= api arTa eka deSa vipratipatteH pUrva uktAyAH darSanAt 
   satīṣvapyadhyātmaviṣayāsu bahvīṣu smṛtiṣu sāṃkhyayogasmṛtyoreva nirākaraṇe	satIzu api aDyAtma vizayAsu bahvIzu smRtizu sAMKya yoga smRtyoH eva nirAkaraNe
   yatnaḥ kṛtaḥ /	yatnaH kRtaH /
   sāṃkhyayogau hi paramapuruṣārthasādhanatvena loke prakhyātau, śiṣṭaiśca	sAMKya yogO hi parama puruza arTa sADana tvena loke praKyAtO, SizwEH ca
   parigṛhītau, liṅgena na śrautenopabṛṃhitau /	parigRhItO, liFgena na SrOtena upabRMhitO /
   'tatkāraṇaṃ sāṃkhyayogābhipannaṃ jñātvā devaṃ mucyate sarvapāśaiḥ' (śvaṃ.	atad kAraNam sAMKya yoga aBipannam jQAtvA devam mucyate sarva pASEH a (SvaM.
   6.13) iti /	6.13) iti /
   nirākaraṇaṃ tu na sāṃkhyajñānena vedanirapekṣeṇa yogamārgeṇa vā	nirAkaraNam tu na sAMKya jQAnena veda nirapekzeNa yoga mArgeNa vA
   niḥśreyasamadhigamyata iti /	niHSreyasam aDigamyate iti /
   śrutirhi vaidikādātmaikatvavijñānādanyanniḥśreyasasādhanaṃ vārayati	SrutiH hi vEdikAt AtmA ekatva vijQAnAt anyat niHSreyasa sADanam vArayati
   'tameva viditvātimṛtyumeti nānyaḥ panthā vidyate 'yanāya' (śvaṃ. 3.8) iti	atam eva viditvA atimRtyum eti na anyaH panTAH vidyate ayanAya a (Svan. 3.8) iti
   dvaitino hi te sāṃkhyā yogāśca nātmaikatvadarśinaḥ /	dvEtinaH hi te sAMKyAH yogAH ca na Atma ekatva darSinaH /
   yattu darśanamuktaṃ 'tatkāraṇaṃ sāṃkhyayogābhipannam' iti, vaidikameva	yat tu darSanam uktam atad kAraNam sAMKya yoga aBipannam a iti, vEdikam eva
   tatra jñānaṃ dhyānaṃ ca sāṃkhyayogaśabdābhyāmabhilapyate	tatra jQAnam DyAnam ca sAMKya yoga SabdAByAm aBilapyate
   pratyāsatterityavagantavyam /	pratyAsatteH iti avagantavyam /
   yena tvaṃśena na virudhyete teneṣṭameva sāṃkhyayogasmṛtyoḥ sāvakāśatvam /	yena tu aMSena na viruDyete tena izwam eva sAMKya yoga smRtyoH sa avakASa tvam /
   tadyathā  'asaṅgo hyayaṃ puruṣaḥ' (bṛ. 4.3.16)	tat yaTA  aasaFgaH hi ayam puruzaH a (bR. 4.3.16)
   ityevamādiśrutiprasiddhameva puruṣasya viśuddhatvaṃ	iti evamAdi Sruti prasidDam eva puruzasya viSudDa tvam
   nirguṇapuruṣanirūpaṇena sāṃkhyairabhyupagamyate /	nirguNa puruza nirUpaNena sAMKyEH aByupagamyate /
   tathāca yogairapi 'atha parivrāḍvivarṇavāsā muṇḍo 'parigrahaḥ' (jābā. 5)	taTA ca yogEH api aaTa parivrAj vivarNa vAsAH muNxaH aparigrahaH a (jAbA. 5)
   ityevamādi śrutiprasiddhameva nivṛttiniṣṭhatvaṃ	iti evamAdi Sruti prasidDam eva nivRtti nizWa tvam
   pravrajyādyupadeśenānugamyate /	pravrajyA Adi upadeSena anugamyate /
   etena sarvāṇi tarkasmaraṇāni prativaktavyāni /	etena sarvANi tarka smaraNAni prativaktavyAni /
   tānyapi tarkopapattibhyāṃ tattvajñānāyopakurvantīti cedupakurvantu nāma /	tAni api tarka upapattiByAm tattva jQAnAya upakurvanti iti ced upakurvantu nAma /
   tattvajñānaṃ tu vedāntavākyebhya eva bhavati 'nāvedavinmanute taṃ	tattva jQAnam tu vedAnta vAkyeByaH eva Bavati anAveda vinmanute tam
   bṛhantam' (tai. brā. 3.12.9.7) 'taṃ tvaupaniṣadaṃ puruṣaṃ pṛcchāmi' (bṛ.	bRhantam a (tE. brA. 3.12.9.7) atam tu Opanizadam puruzam pRcCAmi a (bR.
   3.9.23) ityevamādiśrutibhyaḥ // 3 //	3.9.23) iti evamAdi SrutiByaH // 3 //
   FN: trīṇi urogrīvaśirāṃsyunnatāni yasmiñśarīre tattryunnatam /	FN: trINi uraH grIva SirAMsi unnatAni yasmin SarIre tat tri unnatam /
   tarko 'numānamanugrāhyaṃ mānam /	tarkaH anumAnam anugrAhyam mAnam /
   upapattiranugrāhikā yuktiriti bhedaḥ /	upapattiH anugrAhikA yuktiH iti BedaH /
   vilakṣaṇatvādhikaraṇam / sū. 4 12	vilakzaNa tva aDikaraNam / sU. 4 12
   na vilakṣaṇatvād asya tathātvaṃ ca śabdāt | BBs_2,1.4 |	na vilakzaNa tvAt asya taTAtvam ca SabdAt | BBH _2,1.4 |
   brahmāsya jagato nimittakāraṇaṃ prakṛtiścetyasya pakṣasyākṣepaḥ	brahmA asya jagataH nimitta kAraNam prakRtiH cetyasya pakzasya AkzepaH
   smṛtinimittaḥ parihṛtaḥ /	smRti nimittaH parihRtaH /
   tarkanimitta idānīmākṣepaḥ parihriyate /	tarka nimittaH idAnIm AkzepaH parihriyate /
   kutaḥ punarasminnavadhārita āgamārthe tarkanimittasyākṣepasyāvakāśaḥ /	kutas punar asmin= avaDAritaH Agama arTe tarka nimittasya Akzepasya avakASaH /
