   Vinayaviniścaya upāliparipṛcchā	Vinaya-viniScayaH upAli-paripRcCA
   bhagavatā vinayaparāṇāmagro nirddiṣṭaḥ / tasya me bhagavan	BagavatA vinaya-parANAm-agraH nirddizwaH / tasya me Bagavan
   vijñāpayatūpāyakauśalyaṃ samprakāśayatu bhagavan yathā bhagavataḥ sakāśāt	vijQApayatu-upAya-kOSalyam samprakASayatu Bagavan yaTA BagavataH sakASAt-
   sammukhaṃ śrutvā sammukhaṃ pratigṛhya vaiśāradyaprāptaḥ parṣatsu vistareṇa	sammuKam SrutvA sammuKam pratigRhya vESAradya-prAptaH parzatsu vistareNa
   saṃprakāśayeyam / ayaṃ me bhagavannekākino rahogatasya	saMprakASayeyam / ayam me Bagavan=-ekAkinaH rahaH-gatasya
   pratisaṃlīnasyaivaṃrupaścetasi cetaḥ parivitarka udapādi yattvahaṃ	pratisaMlInasya-evaMrupaH-cetasi cetaH parivitarkaH udapAdi yat-tu-aham
   bhagavantamusaṃkramya vinayaviniścayaṃ paripṛccheyamiti / tat sādhu	Bagavantam-usaMkramya vinaya-viniScayam paripRcCeyam-iti / tat sADu
   bhagavan vyākarotu tathāgato vinayaviniścayaṃ vistareṇa mahatī	Bagavan vyAkarotu taTAgataH vinaya-viniScayam vistareNa mahatI
   bhikṣuparṣata sannipatitā bodhisattvaparṣacca /	Bikzu-parzata sannipatitAH boDisattva-parzat-ca /
   evamukte bhagavānāyuṣmantamupālimetadavocat / tasmāttarhitvamupāle anyena	evam-ukte BagavAn-Ayuzmantam-upAlim-etat-avocat / tasmAt-tarhi-tvam-upAle anyena
   prayogeṇānyenādhyāśayena śrāvakayānikānāṃ śikṣāpariśuddhiṃ vada / anyena	prayogeNa-anyena-aDyASayena SrAvaka-yAnikAnAm SikzA-pariSudDim vada / anyena
   prayogeṇānyenādhyāśayena mahāyānasampratiṣṭhitānāṃ śikṣāpariśuddhiṃ vada /	prayogeNa-anyena-aDyASayena mahAyAna-sampratizWitAnAm SikzA-pariSudDim vada /
   tat kasmāddhetoḥ / anyo hyupāle śrāvakayānikānāṃ prayogo 'nyo 'dhyāśayaḥ /	tat kasmAt-hetoH / anyaH hi-upAle SrAvaka-yAnikAnAm prayogaH anyaH aDyASayaH /
   anyo mahāyānasaṃprasthitānāṃ prayogo 'nyo 'dhyāśayaḥ / tatropāleyā	anyaH mahAyAna-saMprasTitAnAm prayogaH anyaH aDyASayaH / tatra-upAleyA
   śrāvakayānikasya pariśuddhaśīlatā sā mahāyānikasya	SrAvaka-yAnikasya pariSudDa-SIla-tA sA mahAyAnikasya
   bodhisattvasyāpariśuddhaśīlatā paramadauḥśīlyañca / yā	boDisattvasya-apariSudDa-SIla-tA parama-dOHSIlyaQca / yA
   mahāyānasamprasthitasya bodhisattvasya pariśuddhaśīlatā sā	mahAyAna-samprasTitasya boDisattvasya pariSudDa-SIla-tA sA
   śrāvakayānikasyāpariśuddhaśīlatā paramadauḥśīlyañca / tat kasmāddhetoḥ /	SrAvaka-yAnikasya-apariSudDa-SIla-tA parama-dOHSIlyaQca / tat kasmAt-hetoH /
   ihopāle śrāvakayānikastatkṣaṇikacitte 'pi bhavopapattiṃ na parigṛṇhāti /	iha-upAle SrAvaka-yAnikaH-tad-kzaNika-citte api Bava-upapattim na parigRNhAti /
   iyaṃ śrāvakayānikasya pariśuddhaśīlatā sā mahāyānikasya bodhisatvasyā	iyam SrAvaka-yAnikasya pariSudDa-SIla-tA sA mahAyAnikasya boDisatvasya-a
   pariśuddhaśīlata paramadauḥ śīlyañca / katamopāle mahāyānasamprasthitasya	pariSudDa-SIlata parama-dOH SIlyaQca / katamopAle mahAyAna-samprasTitasya
   bodhisattvasya pariśuddhaśīlatā yā śrāvakayānikasyāpariśuddhaśīlatā	boDisattvasya pariSudDa-SIla-tA yA SrAvaka-yAnikasya-apariSudDa-SIla-tA
   paramadauḥśilyañca / ihopāle mahāyāne samprasthito bodhisattvo	parama-dOHSilyaQca / iha-upAle mahAyAne samprasTitaH boDisattvaH-
   'prameyāsaṃkhyeyān kalpān bhavopapattiṃ parigṛṇhāti aparikhinnacitto	aprameya-asaMKyeyAn kalpAn Bava-upapattim parigRNhAti apariKinna-cittaH-
   'parikhinnamānasaḥ / iyaṃ mahāyānasamprasthitasya bodhisattvasya	apariKinna-mAnasaH / iyam mahAyAna-samprasTitasya boDisattvasya
   pariśuddhaśīlatā sā śrāvakayānikasyāpariśuddhaśīlatā paramadauḥśīlyañca /	pariSudDa-SIla-tA sA SrAvaka-yAnikasya-apariSudDa-SIla-tA parama-dOHSIlyaQca /
   tasmāttarhi tvamupāle sānurakṣāṃ śikṣāṃ mahāyānasaṃprasthitānāṃ	tasmAt-tarhi tvam-upAle sa-anurakzAm SikzAm mahAyAna-saMprasTitAnAm
   bodhisattvānāṃ vada / niranurakṣāṃ śikṣāṃ śrāvakayānikānāṃ vada /	boDisattvAnAm vada / niranurakzAm SikzAm SrAvaka-yAnikAnAm vada /
   saparihārāṃ śikṣāṃ mahāyānasamprasthitānāṃ bodhisattvānāṃ vada /	sa-parihArAm SikzAm mahAyAna-samprasTitAnAm boDisattvAnAm vada /
   niḥparihārāṃ śikṣāṃ śrāvakayānikānāṃ vada / dūrānupraviṣṭāṃ śikṣāṃ	niHparihArAm SikzAm SrAvaka-yAnikAnAm vada / dUra-anupravizwAm SikzAm
   mahāyānasamprasthitānāṃ bodhisattvānāṃ vada / sāvadānāṃ śikṣāṃ	mahAyAna-samprasTitAnAm boDisattvAnAm vada / sAvadAnAm SikzAm
   śrāvakayānikānāṃ vada /	SrAvaka-yAnikAnAm vada /
   kathaṃ copāle sānurakṣā śikṣā mahāyānasaṃprasthitānāṃ bodhisattvānāṃ	kaTam ca-upAle sa-anurakzA SikzA mahAyAna-saMprasTitAnAm boDisattvAnAm
   niranurakṣā śikṣā śrāvaka yānikānām / ihopāle mahāyāna saṃprasthitena	niranurakzA SikzA SrAvaka yAnikAnAm / iha-upAle mahAyAna saMprasTitena
   bodhisattvena parasattvānāṃ parapudgalānāṃ hitamanuvartitavyaṃ na punaḥ	boDisattvena para-sattvAnAm para-pudgalAnAm hitam-anuvartitavyam na punar-
   śrāvakayānikena / anenopāle paryyāyeṇa sānurakṣā śikṣā mahāyānikānām	SrAvaka-yAnikena / anena-upAle paryyAyeNa sa-anurakzA SikzA mahAyAnikAnAm
   bodhisattvānāṃ niranurakṣā śikṣā śrāvakayānikānām /	boDisattvAnAm niranurakzA SikzA SrAvaka-yAnikAnAm /
   kathaṃ copāle saparihārā śikṣā mahāyānasamprasthitānāṃ bodhisattvānāṃ niḥ	kaTam ca-upAle sa-parihArA SikzA mahAyAna-samprasTitAnAm boDisattvAnAm niH
   parihārāśikṣā śrāvakayānikānām / ihopāle mahānasaṃprasthitobodhisattvo 'pi	parihAra-aSikzA SrAvaka-yAnikAnAm / iha-upAle mahAn-asaMprasTitaH-boDisattvaH api
   saceta pūrvvāṇhasamaye āpattimāpadyeta madhyānhakāle	saceta pUrvvANha-samaye Apattim-Apadyeta maDya-anha-kAle
   sarvvajñatācittenāvirahito viharedaparyyantaḥ / evaṃ	sarvu-ajQa-tA-cittena-avirahitaH viharet-aparyyantaH / evam
   mahāyānasamprasthitasya bodhisattvasya śīlaskandha / sacenmadhyānhasamaye	mahAyAna-samprasTitasya boDisattvasya SIla-skanDaH / saced-maDya-anha-samaye
   āpattimāpadyate sāyānhakāle sarvvajñatācittenāvirahito viharedaparyyantaḥ	Apattim-Apadyate sAyAnha-kAle sarvu-ajQa-tA-cittena-avirahitaH viharet-aparyyantaH
   / evaṃ mahāyānasaṃprasthitasya bodhisattvasya śīlaskandhaḥ / sacet	/ evam mahAyAna-saMprasTitasya boDisattvasya SIla-skanDaH / saced-
   sāyānhasamaey āpattimāpadyeta rātryāḥ purimayāme	sAyAnha-samaeI Apattim-Apadyeta rAtryAH purimaya-Ame
   sarvvajñatācittenāvirahito viharedaparyyantaḥ / evaṃ	sarvu-ajQa-tA-cittena-avirahitaH viharet-aparyyantaH / evam
   mahāyānasaṃpratisthatasya bodhisattvasyaśīlaskandhaḥ / sacet rātryāḥ	mahAyAna-saMpratisTatasya boDisattvasya-SIla-skanDaH / saced rAtryAH
   purimayāme āpattimāpadyeta rātryāśca madhyamayāme	purimaya-Ame Apattim-Apadyeta rAtryAH-ca maDyama-yAme
   sarvvajñatācittenāvirahito viharedaparyyantaḥ / evaṃ	sarvu-ajQa-tA-cittena-avirahitaH viharet-aparyyantaH / evam
   mahāyānasaṃprasthitasya bodhisattvasya śīlaskandhaḥ / sacet rātryā	mahAyAna-saMprasTitasya boDisattvasya SIla-skanDaH / saced rAtryA
   madhyamayāme āpattimāpadyeta rātryāśca paścimayāme	maDyama-yAme Apattim-Apadyeta rAtryAH-ca paScima-yAme
   sarvvajñatācittenāvirahito viharedaparyyantaḥ / evaṃ	sarvu-ajQa-tA-cittena-avirahitaH viharet-aparyyantaH / evam
   mahāyānasaṃprasthitasya bodhisattvasya śīlaskandho veditavyaḥ / evaṃ	mahAyAna-saMprasTitasya boDisattvasya SIla-skanDaH veditavyaH / evam
   hyupāle saparihārā śikṣā mahāyānasaṃprasthitānāṃ bodhisattvānāṃ / tatra	hi-upAle sa-parihArA SikzA mahAyAna-saMprasTitAnAm boDisattvAnAm / tatra
   bodhisattvena nātra kaukṛtyaparyyutthānamutpādyaṃ nātivipratisāriṇā	boDisattvena na-atra kOkRtya-paryyutTAnam-utpAdyam na-ati-vipratisAriNA
   bhavitavyaṃ / tatropāle sacecchrāvakayānikaḥ punaḥ punarāpattimāpadyeta	Bavitavyam / tatra-upAle saced-SrAvaka-yAnikaH punar punar-Apattim-Apadyeta
   naṣṭaḥ śrāvakayānikasya śīlaskandho veditavyaḥ / tat kasmāddhetoḥ / ādīpta	nazwaH SrAvaka-yAnikasya SIla-skanDaH veditavyaH / tat kasmAt-hetoH / AdIpta
   śiraścailopamena hi śrāvakayānikena bhavitavyaṃ sarvakleśaprahāṇāya / evaṃ	SiraH-ca-ela-upamena hi SrAvaka-yAnikena Bavitavyam sarva-kleSa-prahANAya / evam
   niḥparihārā śikṣā śrāvakayānikasya hyupāle parinirvvāṇakāmasya /	niHparihArA SikzA SrAvaka-yAnikasya hi-upAle parinirvvANa-kAmasya /
   katham copāle dūrānupraviṣṭā śikṣā mahāyānasaṃprasthitānāṃ bodhisattvnāṃ	kaTam ca-upAle dUra-anupravizwA SikzA mahAyAna-saMprasTitAnAm boDisattvnAm
   sāvadānā śikṣā śrāvakayānikānāṃ / ihopāle mahāyānasaṃprasthito bodhisattvo	sa-avadAnA SikzA SrAvaka-yAnikAnAm / iha-upAle mahAyAna-saMprasTitaH boDisattvaH-
   gaṅgānadīvālikāsamān kalpān pañcabhiḥ kāmaguṇaiḥ krīḍitvā ramitvā	gaFgA-nadI-vAlikA-samAn kalpAn paQcaBiH kAma-guNEH krIxitvA ramitvA
   paricārayitvā bodhicittaṃ notsṛjati / ayamupāle mahāyānasaṃprasthitasya	paricArayitvA boDi-cittam na-utsRjati / ayam-upAle mahAyAna-saMprasTitasya
   bodhisattvasya śikṣā veditavyā / tat kasmāddhetoḥ / bhaviṣyatyupāle sa	boDisattvasya SikzA veditavyA / tat kasmAt-hetoH / Bavizyati-upAle sa
   kālaḥ sa samayo yanmahāyānasaṃprasthito bodhisattvastenaiva bodhicittena	kAlaH sa samayaH yat-mahAyAna-saMprasTitaH boDisattvaH-tena-eva boDi-cittena
   suparigṛhītena svapnāntaragato 'pi sarvvakleśairnna saṃhariṣyate / api ca	su-parigRhItena svapna-antara-gataH api sarvu-akleSEH-nna saMharizyate / api ca
   mahāyānasaṃprasthitena bodhisattvena naikasminneva bhave sarvvakleśāḥ	mahAyAna-saMprasTitena boDisattvena na-ekasmin=-eva Bave sarvu-akleSAH
   kṣapayitavyāḥ / anupūrvveṇa bodhisattvnāṃ kleśāḥ kṣayaṃ gacchantiḥ /	kzapayitavyAH / anupUrvveNa boDisattvnAm kleSAH kzayam gacCantiH /
   paripakvakuśalamūlena ca śrāvakayānikenādīptaśi śacailopamena hi	paripakva-kuSala-mUlena ca SrAvaka-yAnikena-AdIptaSi Saca-elA-upamena hi
   tatkṣaṇikokapi bhavopapattirnnotpāditavyā / evamupāle dūrānupraviṣṭā śikṣā	tad-kzaNikokapi Bava-upapattiH-nna-utpAditavyA / evam-upAle dUra-anupravizwA SikzA
   mahāyānasaṃprasthitānāṃ bodhisattvānāṃ sāvadānāṃ śikṣā śrāvakayānikānām //	mahAyAna-saMprasTitAnAm boDisattvAnAm sa-avadAnAm SikzA SrAvaka-yAnikAnAm //
   tasmāttarhi tvamupāle sānurakṣāṃ saparihārāṃ dūrānupraviṣṭāṃ śikṣāṃ	tasmAt-tarhi tvam-upAle sa-anurakzAm sa-parihArAm dUra-anupravizwAm SikzAm
   mahāyānasamprasthitānāṃ bodhisattvānāṃ vada / niranurakṣāṃ niḥparihārām	mahAyAna-samprasTitAnAm boDisattvAnAm vada / niranurakzAm niHparihArAm
   sāvadānāṃ śikṣāṃ śrāvakayānikānāṃ vada / tat kasmāddhetoḥ / mahāsaṃbhārā	sa-avadAnAm SikzAm SrAvaka-yAnikAnAm vada / tat kasmAt-hetoH / mahA-saMBArA
   hyupāle 'nuttarā samyaksaṃbodhirna sukarā ekāntaniviṣṭena	hi-upAle anuttarA samyaksaMboDiH-na sukarAH ekAnta-nivizwena
   mahāyānasaṃprasthitena bodhisattvenā prameyāsaṃkhyeyān kalpān	mahAyAna-saMprasTitena boDisattvenA prameya-asaMKyeyAn kalpAn
   saṃdhārayituṃ saṃsarituma / idaṃ copāle 'rthavaśaṃ sampaśyan tathāgataḥ	saMDArayitum saMsarituma / idam ca-upAle arTa-vaSam sampaSyan taTAgataH
   samyaksambuddho mahāyānāsaṃprasthitānāṃ bodhisattvnāṃ	samyaksambudDaH mahAyAna-asaMprasTitAnAm boDisattvnAm
   naikāntanirvvedakathāṃ kathayati naikāntavirāgakathāṃ kathayati	na-ekAnta-nirvveda-kaTAm kaTayati na-ekAnta-virAga-kaTAm kaTayati
   naikāntavirāgakathāṃ kathayati naikāntasaṃvegakathāṃkathaṃyati / api tu	na-ekAnta-virAga-kaTAm kaTayati na-ekAnta-saMvega-kaTA-aMkaTaMyati / api tu
   khalu punaḥ prītikathāṃ prāmodyakathām pratityasamutpādasamprayuktakathāṃ	Kalu punar prIti-kaTAm prAmodya-kaTAm pratitya-samutpAda-samprayukta-kaTAm
   kathayati / gambhīrāmasaṃkliṣṭāṃ sūkṣmāṃ niḥkaukṛtyakathāṃ kathayati /	kaTayati / gamBIra-Ama-saMklizwAm sUkzmAm niHkOkRtya-kaTAm kaTayati /
   niḥparyyutthānakathāṃ kathayati / asaṅgāmanāvaraṇāṃ śūnyatākathāṃ	niHparyyutTAna-kaTAm kaTayati / asaFgAm-anAvaraNAm SUnyatA-kaTAm
   kathayati / ta imāṃ kathāṃ śrutvā 'bhiratāḥ saṃprāptā na parikhidyante	kaTayati / te imAm kaTAm SrutvA aBiratAH saMprAptAH na pariKidyante
   bodhisambhārañca paripūrayanti /	boDisamBAraQca paripUrayanti /
   atha hyāyuṣmānupāliḥ bhagavantametadavocat / yā imā bhagavannāpattayaḥ	aTa hi-Ayuzma-anupAliH Bagavantam-etat-avocat / yAH imAH Bagavat-=-ApattayaH
   kāścidrāgasaṃyuktāḥ kāścit dveṣāsaṃyuktāḥ kāścinmohasaṃyuktāḥ / tatra	kAScid-rAga-saMyuktAH kAScid dveza-asaMyuktAH kAScid-moha-saMyuktAH / tatra
   katamā bhagavan mahāyānasaṃprasthitasya bodhisattvasya gurutarā āpattayaḥ	katamA Bagavat mahAyAna-saMprasTitasya boDisattvasya gurutarAH ApattayaH
   / kiṃ rāgasaṃprayuktā utāho dveṣasaṃprayuktāḥ utāho mohasaṃprayuktāḥ /	/ kim rAga-saMprayuktAH uta-aho dveza-saMprayuktAH uta-aho moha-saMprayuktAH /
   evamukte bhagavānāyuṣmantamupālimetadavocat / sacedupāle	evam-ukte BagavAn-Ayuzmantam-upAlim-etat-avocat / saced-upAle
   mahāyānasaṃprasthito bodhisattvo gaṅgānadīvālikāsamā rāgasaṃprayuktā	mahAyAna-saMprasTitaH boDisattvaH gaFgA-nadI-vAlikA-samA rAga-saMprayuktA
   āpattīrāpadyeta yāñcaikāṃ dveṣasaṃprayuktāmāpattimāpadyeta	ApattIH-Apadyeta yAQca-ekAm dveza-saMprayuktAm-Apattim-Apadyeta
   bodhisattvayānaṃ pramāṇīkṛtyeya tābhyo gurutarā āpattiryeyam dveṣaprayuktā	boDisattva-yAnam pramANIkRtyeya tAByaH gurutarA ApattiH-yeyam dveza-prayuktA
   / tat kasmāddhetordveṣa upāle sattvaparityāgāya saṃvarttate rāgaḥ	/ tat kasmAt-hetoH-dvezaH upAle sattva-parityAgAya saMvarttate rAgaH
   sattvasaṃgrahāya saṃvarttate iti / tatropāle yaḥ kleśaḥ sattvasaṃgrahāya	sattva-saMgrahAya saMvarttate iti / tatra-upAle yaH kleSaH sattva-saMgrahAya
   saṃvarttate tatra bodhisattvasya na chalaṃ na bhayam / yaḥ kleśaḥ	saMvarttate tatra boDisattvasya na Calam na Bayam / yaH kleSaH
   sattvaparityāgāya saṃvarttate tatra bodhisattvasya chalañca bhayañca / api	sattva-parityAgAya saMvarttate tatra boDisattvasya CalaQca BayaQca / api
   tūpāle uktam pūrvvameva rāgo bandhavirāgo 'lpasāvadyo dveṣah kṣipravirāgo	tUpAle uktam pUrvvam-eva rAgaH banDa-virAgaH alpasAvadyaH dvezah kzipra-virAgaH-
   mahāsāvadyaḥ / tatropāle yo bandhavirāgokalpasāvadyaḥ	mahAsa-avadyaH / tatra-upAle yaH banDa-virAga-ukalpasAvadyaH
   saṃkleśaḥ............... bodhisattvasya / yaḥ kṣipravirāgo mahāsāvadyaḥ	saMkleSaH............... boDisattvasya / yaH kzipra-virAgaH mahA-sAvadyaH
   kleśaḥ sa bodhisattvasya svapnāntaragatasyāpi naiva yuktaḥ / tasmāttarhi	kleSaH sa boDisattvasya svapna-antara-gatasya-api na-eva yuktaH / tasmAt-tarhi
   tvamupāle bodhisattvānaṃ yāḥ kāścid rāgasaṃprayuktā āpattayaḥ sarvvāstā	tvam-upAle boDisattvAnam yAH kAScid rAga-saMprayuktAH ApattayaH sarvvAstA
   anāpattaya iti dhāraya / tatropāle ye 'nupāyakuśalā bodhisattvāste	anApattayaH iti DAraya / tatra-upAle ye anupAya-kuSalAH boDisattvAH-te
   rāgasaṃprayuktābhya āpatibhyo vibhyati na dveṣasamprayuktābhyaḥ / ye	rAga-saMprayuktAByaH ApatiByaH viByati na dveza-samprayuktAByaH / ye
   punarupāyakuśalā bodhisattvāste dveṣasaṃprayuktābhya āpattibhyo vibhyati	punar-upAya-kuSalAH boDisattvAH-te dveza-saMprayuktAByaH ApattiByaH viByati
   na rāgasamprayuktābhyaḥ / atha khalu te tasyāmeva parṣadi	na rAga-samprayuktAByaH / aTa Kalu te tasyAm-eva parzadi
   mañjuśrīkumarabhūtaḥ sannipatito 'bhūt / sa niṣaṇṇaḥ bhagavantametadavocat	maQjuSrI-kumara-BUtaH sannipatitaH aBUt / sa nizaNNaH Bagavantam-etat-avocat-
   / atyantavinītānāṃ bhagavan sarvvadharmāṇāṃbodhāya vinayaḥ / evamukte	/ atyanta-vinItAnAm Bagavan sarvu-aDarmANAMboDAya vinayaH / evam-ukte
   bhagavān mañjuśriyaṃ kumārabhūtametadavocat / sacenmañjuśrīrbbāla	BagavAn maQju-Sriyam kumAra-BUtam-etat-avocat / saced-maQju-SrIH-bbAla
   pṛthagjanā / ātyantavinītān sarvvadharmān jānīyustadapi na bhūyastathāgato	pRTagjanAH / Atyanta-vinItAn sarvu-aDarmAn jAnIyuH-tat-api na BUyas-taTAgataH-
   vinayaḥ prajñāpyeta / sattvā na prīṇanti tasmāt tathāgato 'tyantavinītānāṃ	vinayaH prajQApyeta / sattvAH na prINanti tasmAt taTAgataH atyanta-vinItAnAm
   sarvvadharmmānāṃ bodhāya vinayaṃ prajñāpayatyanupūrveṇeti yoniśamupādāya	sarvu-aDarmmAnAm boDAya vinayam prajQApayati-anupUrveNa-iti yoni-Sam-upAdAya
   iti bodhisattvaprātimokṣāḥ // 0 //	iti boDisattva-prAtimokzAH // 0 //
